Fairleigh Dickinson,2132,Cincinnati,161
8:47,2132,Quadri Moore Steal.,49,94
8:42,2132,Justin Jenifer missed Jumper.,49,94
8:42,161,Fairleigh Dickinson Deadball Team Rebound.,49,94
8:41,2132,Foul on Jarron Cumberland.,49,94
8:24,161,Stephan Jiggetts Turnover.,49,94
8:23,2132,Quadri Moore Steal.,49,94
8:20,2132,Justin Jenifer made Layup.,49,96
8:10,161,Fairleigh Dickinson  Timeout,49,96
8:10,2132,Official TV Timeout,49,96
7:47,161,Darian Anderson missed Three Point Jumper.,49,96
7:47,2132,Jarron Cumberland Defensive Rebound.,49,96
7:34,2132,Quadri Moore made Three Point Jumper. Assisted by Troy Caupain.,49,99
7:12,2132,Foul on Nysier Brooks.,49,99
7:12,2132,Official TV Timeout,49,99
7:12,161,Mike Schroback made Free Throw.,50,99
7:12,161,Mike Schroback made Free Throw.,51,99
6:52,2132,Jarron Cumberland made Three Point Jumper. Assisted by Troy Caupain.,51,102
6:36,161,Foul on Tyrone O'Garro.,51,102
6:36,161,Tyrone O'Garro Turnover.,51,102
6:11,2132,Jarron Cumberland missed Three Point Jumper.,51,102
6:11,2132,Nysier Brooks Offensive Rebound.,51,102
6:07,161,Foul on Darnell Edge.,51,102
5:49,2132,Justin Jenifer Turnover.,51,102
5:41,161,Nadi Beciri Turnover.,51,102
5:39,2132,Nysier Brooks Steal.,51,102
5:36,2132,Foul on Zack Tobler.,51,102
5:36,2132,Zack Tobler Turnover.,51,102
5:21,2132,Foul on Quadri Moore.,51,102
5:21,161,Stephan Jiggetts made Free Throw.,52,102
5:21,161,Stephan Jiggetts made Free Throw.,53,102
5:08,161,Foul on Darnell Edge.,53,102
5:05,2132,Nysier Brooks made Dunk. Assisted by Justin Jenifer.,53,104
4:49,161,Darian Anderson Turnover.,53,104
4:49,2132,Justin Jenifer Steal.,53,104
4:32,2132,Zack Tobler made Layup. Assisted by Jarron Cumberland.,53,106
4:22,161,Darian Anderson missed Three Point Jumper.,53,106
4:22,2132,Zack Tobler Defensive Rebound.,53,106
4:09,2132,Nysier Brooks missed Layup.,53,106
4:09,161,Earl Potts Jr Defensive Rebound.,53,106
4:01,161,Mike Schroback Turnover.,53,106
3:59,2132,Zack Tobler Steal.,53,106
3:54,2132,Quadri Moore missed Three Point Jumper.,53,106
3:54,161,Mike Schroback Defensive Rebound.,53,106
3:50,2132,Foul on Jarron Cumberland.,53,106
3:50,2132,Official TV Timeout,53,106
3:50,161,Stephan Jiggetts made Free Throw.,54,106
3:50,161,Stephan Jiggetts made Free Throw.,55,106
3:36,2132,Foul on Justin Jenifer.,55,106
3:36,2132,Justin Jenifer Turnover.,55,106
3:28,161,Darian Anderson missed Jumper.,55,106
3:28,2132,Quadri Moore Defensive Rebound.,55,106
3:21,2132,Justin Jenifer missed Jumper.,55,106
3:21,161,Mike Schroback Defensive Rebound.,55,106
3:15,161,Stephan Jiggetts made Three Point Jumper. Assisted by Mike Schroback.,58,106
2:57,2132,Nysier Brooks made Jumper.,58,108
2:49,161,Mike Schroback missed Three Point Jumper.,58,108
2:49,2132,Nysier Brooks Defensive Rebound.,58,108
2:37,2132,Justin Jenifer missed Three Point Jumper.,58,108
2:37,161,Darnell Edge Defensive Rebound.,58,108
2:29,161,Darnell Edge missed Layup.,58,108
2:29,161,Malik Miller Offensive Rebound.,58,108
2:26,161,Malik Miller made Layup.,60,108
2:10,2132,Quadri Moore made Jumper. Assisted by Jarron Cumberland.,60,110
2:06,161,Fairleigh Dickinson  Timeout,60,110
1:56,161,Malik Miller Turnover.,60,110
1:54,2132,Justin Jenifer Steal.,60,110
1:52,2132,Justin Jenifer made Layup.,60,112
1:45,161,Darnell Edge made Three Point Jumper. Assisted by Stephan Jiggetts.,63,112
1:31,2132,Quadri Moore missed Three Point Jumper.,63,112
1:31,2132,Zack Tobler Offensive Rebound.,63,112
1:23,161,Foul on Malik Miller.,63,112
1:23,2132,Zack Tobler made Free Throw.,63,113
1:23,2132,Zack Tobler made Free Throw.,63,114
1:23,2132,Zack Tobler made Free Throw.,63,115
1:03,2132,Foul on Jackson Bart.,63,115
1:03,161,Stephan Jiggetts missed Free Throw.,63,115
1:03,161,Fairleigh Dickinson Deadball Team Rebound.,63,115
1:03,161,Stephan Jiggetts made Free Throw.,64,115
0:55,2132,Justin Jenifer made Layup.,64,117
0:48,2132,Foul on Quadri Moore.,64,117
0:48,161,Stephan Jiggetts made Free Throw.,65,117
0:48,161,Stephan Jiggetts made Free Throw.,66,117
0:30,161,Foul on Ashton Malone-Dunson.,66,117
0:30,2132,Quadri Moore made Free Throw.,66,118
0:30,2132,Quadri Moore made Free Throw.,66,119
0:02,161,Ashton Malone-Dunson made Jumper. Assisted by Nadi Beciri.,68,119
0:00,2132,End of Game,68,119
