Charleston Southern,61,Georgia,2127
7:09,61,Yante Maten made Free Throw.,13,29
6:52,2127,Cortez Mitchell made Layup.,15,29
6:37,61,Kenny Paul Geno Turnover.,15,29
6:37,2127,Antwan Maxwell Jr. Steal.,15,29
6:29,2127,Antwan Maxwell Jr. made Layup.,17,29
6:15,61,Jordan Harris made Three Point Jumper. Assisted by Yante Maten.,17,32
5:53,2127,Armel Potter missed Three Point Jumper.,17,32
5:53,61,Yante Maten Defensive Rebound.,17,32
5:41,61,William Jackson II made Jumper. Assisted by Kenny Paul Geno.,17,34
5:22,2127,Cortez Mitchell made Jumper.,19,34
4:53,61,Yante Maten made Three Point Jumper. Assisted by Jordan Harris.,19,37
4:31,61,Foul on William Jackson II.,19,37
4:20,2127,Patrick Wallace missed Three Point Jumper.,19,37
4:20,61,Mike Edwards Defensive Rebound.,19,37
4:08,61,J.J. Frazier Turnover.,19,37
3:57,2127,Raemond Robinson made Three Point Jumper.,22,37
3:44,2127,Foul on Ugo Mmonu.,22,37
3:44,61,Official TV Timeout,22,37
3:44,61,Mike Edwards missed Free Throw.,22,37
3:44,61,Georgia Deadball Team Rebound.,22,37
3:44,61,Mike Edwards made Free Throw.,22,38
3:31,2127,Raemond Robinson missed Three Point Jumper.,22,38
3:31,61,J.J. Frazier Defensive Rebound.,22,38
3:22,61,Foul on Mike Edwards.,22,38
3:22,61,Mike Edwards Turnover.,22,38
3:15,2127,Raemond Robinson missed Three Point Jumper.,22,38
3:15,2127,Christian Keeling Offensive Rebound.,22,38
3:05,2127,Christian Keeling made Jumper.,24,38
2:59,61,Mike Edwards Turnover.,24,38
2:59,2127,Jordan Jones Steal.,24,38
2:51,2127,Foul on Patrick Wallace.,24,38
2:51,2127,Patrick Wallace Turnover.,24,38
2:42,61,Juwan Parker missed Jumper.,24,38
2:42,2127,Christian Keeling Block.,24,38
2:42,61,Derek Ogbeide Offensive Rebound.,24,38
2:42,61,Derek Ogbeide missed Two Point Tip Shot.,24,38
2:42,61,Mike Edwards Offensive Rebound.,24,38
2:29,61,J.J. Frazier made Three Point Jumper. Assisted by Mike Edwards.,24,41
2:20,61,Foul on Juwan Parker.,24,41
2:20,2127,Christian Keeling made Free Throw.,25,41
2:20,2127,Christian Keeling made Free Throw.,26,41
2:16,61,Yante Maten made Jumper. Assisted by Kenny Paul Geno.,26,43
2:02,2127,Jordan Jones Turnover.,26,43
1:50,61,Kenny Paul Geno made Three Point Jumper. Assisted by J.J. Frazier.,26,46
1:17,2127,Jamal Thomas missed Layup.,26,46
1:17,61,E'Torrion Wilridge Block.,26,46
1:17,2127,Charleston Southern Offensive Rebound.,26,46
1:06,61,Foul on Kenny Paul Geno.,26,46
1:06,2127,Cortez Mitchell made Free Throw.,27,46
1:06,2127,Cortez Mitchell missed Free Throw.,27,46
1:06,2127,Charleston Southern Deadball Team Rebound.,27,46
1:06,2127,Cortez Mitchell made Free Throw.,28,46
0:48,61,J.J. Frazier missed Three Point Jumper.,28,46
0:48,2127,Charleston Southern Defensive Rebound.,28,46
0:30,2127,Cortez Mitchell missed Layup.,28,46
0:30,61,E'Torrion Wilridge Defensive Rebound.,28,46
0:21,61,J.J. Frazier missed Jumper.,28,46
0:21,2127,Christian Keeling Defensive Rebound.,28,46
0:12,61,Georgia  Timeout,28,46
0:03,2127,Armel Potter missed Three Point Jumper.,28,46
0:03,2127,Christian Keeling Offensive Rebound.,28,46
0:03,2127,Christian Keeling made Layup.,30,46
0:00,61,End of 1st half,30,46
20:00,2127,Jump Ball won by Charleston Southern,30,46
19:52,61,Foul on J.J. Frazier.,30,46
19:42,2127,Antwan Maxwell Jr. made Layup.,32,46
19:25,61,Juwan Parker missed Jumper.,32,46
19:25,61,Yante Maten Offensive Rebound.,32,46
19:11,61,Yante Maten missed Jumper.,32,46
19:11,61,Juwan Parker Offensive Rebound.,32,46
19:05,2127,Foul on Antwan Maxwell Jr..,32,46
19:05,61,Juwan Parker made Free Throw.,32,47
19:05,61,Juwan Parker made Free Throw.,32,48
18:54,2127,Antwan Maxwell Jr. made Jumper.,34,48
18:40,61,J.J. Frazier missed Three Point Jumper.,34,48
18:40,2127,Jordan Jones Defensive Rebound.,34,48
18:26,2127,Armel Potter made Jumper.,36,48
18:12,61,Derek Ogbeide made Layup. Assisted by Jordan Harris.,36,50
17:45,2127,Cortez Mitchell missed Jumper.,36,50
17:45,61,Juwan Parker Defensive Rebound.,36,50
17:19,61,Derek Ogbeide Turnover.,36,50
17:10,2127,Patrick Wallace Turnover.,36,50
17:10,61,Jordan Harris Steal.,36,50
17:04,61,Jordan Harris made Dunk.,36,52
16:32,2127,Patrick Wallace missed Layup.,36,52
16:32,61,J.J. Frazier Defensive Rebound.,36,52
16:23,61,Yante Maten missed Three Point Jumper.,36,52
16:23,2127,Raemond Robinson Defensive Rebound.,36,52
16:13,2127,Jamal Thomas missed Three Point Jumper.,36,52
16:13,61,Mike Edwards Defensive Rebound.,36,52
16:02,2127,Foul on Jamal Thomas.,36,52
16:02,2127,Charleston Southern  Timeout,36,52
16:02,61,Yante Maten made Free Throw.,36,53
16:02,61,Yante Maten missed Free Throw.,36,53
16:02,2127,Christian Keeling Defensive Rebound.,36,53
15:54,2127,Armel Potter made Layup. Assisted by Christian Keeling.,38,53
15:29,61,Jordan Harris Turnover.,38,53
15:28,61,Official TV Timeout,38,53
15:20,2127,Armel Potter missed Jumper.,38,53
15:20,2127,Armel Potter Offensive Rebound.,38,53
15:13,2127,Armel Potter made Layup.,40,53
14:53,2127,Foul on Javis Howard.,40,53
14:32,61,Mike Edwards Turnover.,40,53
14:23,2127,Armel Potter Turnover.,40,53
14:17,2127,Foul on Cortez Mitchell.,40,53
14:06,61,J.J. Frazier missed Three Point Jumper.,40,53
14:06,61,Houston Kessler Offensive Rebound.,40,53
13:43,2127,Foul on Jamar Martin.,40,53
13:43,61,E'Torrion Wilridge missed Free Throw.,40,53
13:43,61,Georgia Deadball Team Rebound.,40,53
13:43,61,E'Torrion Wilridge made Free Throw.,40,54
13:12,2127,Charleston Southern  Turnover.,40,54
12:56,2127,Foul on Jordan Jones.,40,54
12:42,61,Yante Maten made Layup. Assisted by E'Torrion Wilridge.,40,56
12:31,2127,Christian Keeling made Jumper.,42,56
12:20,61,Yante Maten made Dunk. Assisted by Kenny Paul Geno.,42,58
11:56,2127,Cortez Mitchell made Jumper.,44,58
11:46,61,Yante Maten made Layup. Assisted by Juwan Parker.,44,60
11:26,61,Foul on William Jackson II.,44,60
11:26,61,Official TV Timeout,44,60
11:26,2127,Armel Potter missed Free Throw.,44,60
11:26,2127,Charleston Southern Deadball Team Rebound.,44,60
11:26,2127,Armel Potter made Free Throw.,45,60
11:12,61,Derek Ogbeide missed Jumper.,45,60
11:12,2127,Antwan Maxwell Jr. Block.,45,60
11:12,61,Derek Ogbeide Offensive Rebound.,45,60
10:59,61,Derek Ogbeide made Layup.,45,62
10:53,2127,Antwan Maxwell Jr. missed Three Point Jumper.,45,62
10:53,61,Derek Ogbeide Defensive Rebound.,45,62
10:39,2127,Foul on Ugo Mmonu.,45,62
10:39,61,Derek Ogbeide missed Free Throw.,45,62
10:39,2127,Ugo Mmonu Defensive Rebound.,45,62
10:39,2127,Armel Potter missed Jumper.,45,62
10:39,61,Pape Diatta Defensive Rebound.,45,62
10:13,2127,Foul on Raemond Robinson.,45,62
10:13,61,Kenny Paul Geno made Free Throw.,45,63
10:13,61,Kenny Paul Geno made Free Throw.,45,64
9:54,2127,Christian Keeling made Jumper. Assisted by Jamar Martin.,47,64
9:36,61,Pape Diatta made Three Point Jumper. Assisted by Derek Ogbeide.,47,67
9:10,61,Foul on Derek Ogbeide.,47,67
9:10,2127,Cortez Mitchell missed Free Throw.,47,67
9:10,2127,Charleston Southern Deadball Team Rebound.,47,67
9:10,2127,Cortez Mitchell missed Free Throw.,47,67
9:10,2127,Charleston Southern Offensive Rebound.,47,67
8:45,2127,Christian Keeling missed Layup.,47,67
8:45,61,William Jackson II Defensive Rebound.,47,67
8:38,61,Derek Ogbeide Turnover.,47,67
8:24,2127,Christian Keeling made Three Point Jumper. Assisted by Patrick Wallace.,50,67
8:07,61,Derek Ogbeide made Layup. Assisted by Pape Diatta.,50,69
7:47,61,Foul on Kenny Paul Geno.,50,69
7:47,61,Official TV Timeout,50,69
7:47,2127,Christian Keeling made Free Throw.,51,69
7:47,2127,Christian Keeling made Free Throw.,52,69
7:28,2127,Foul on Christian Keeling.,52,69
7:28,2127,Charleston Southern  Timeout,52,69
7:28,61,Derek Ogbeide missed Free Throw.,52,69
7:28,61,Georgia Deadball Team Rebound.,52,69
7:28,61,Derek Ogbeide made Free Throw.,52,70
7:23,2127,Raemond Robinson made Three Point Jumper.,55,70
7:00,2127,Foul on Jamar Martin.,55,70
7:00,61,E'Torrion Wilridge made Free Throw.,55,71
7:00,61,E'Torrion Wilridge missed Free Throw.,55,71
7:00,2127,Jamar Martin Defensive Rebound.,55,71
6:49,2127,Raemond Robinson missed Three Point Jumper.,55,71
6:49,61,Juwan Parker Defensive Rebound.,55,71
6:23,61,Juwan Parker Turnover.,55,71
6:23,2127,Jamar Martin Steal.,55,71
6:15,2127,Armel Potter Turnover.,55,71
6:15,61,E'Torrion Wilridge Steal.,55,71
5:58,61,J.J. Frazier missed Three Point Jumper.,55,71
5:58,2127,Armel Potter Block.,55,71
5:58,61,Jordan Harris Offensive Rebound.,55,71
5:50,61,Georgia  Turnover.,55,71
5:41,2127,Armel Potter Turnover.,55,71
5:41,61,Houston Kessler Steal.,55,71
5:31,61,Yante Maten made Layup. Assisted by J.J. Frazier.,55,73
5:03,2127,Jamal Thomas missed Three Point Jumper.,55,73
5:03,61,Yante Maten Defensive Rebound.,55,73
4:54,2127,Foul on Jamal Thomas.,55,73
4:54,61,Juwan Parker made Free Throw.,55,74
4:54,61,Juwan Parker made Free Throw.,55,75
4:35,2127,Christian Keeling made Layup.,57,75
4:26,2127,Foul on Antwan Maxwell Jr..,57,75
4:26,61,Yante Maten made Free Throw.,57,76
4:26,61,Yante Maten made Free Throw.,57,77
4:11,2127,Christian Keeling Turnover.,57,77
4:11,61,J.J. Frazier Steal.,57,77
3:40,61,J.J. Frazier made Three Point Jumper.,57,80
3:34,61,Georgia  Timeout,57,80
3:34,61,Official TV Timeout,57,80
3:17,2127,Raemond Robinson missed Three Point Jumper.,57,80
3:17,61,Mike Edwards Defensive Rebound.,57,80
3:06,61,Tyree Crump missed Jumper.,57,80
3:06,61,Mike Edwards Offensive Rebound.,57,80
3:02,61,Mike Edwards made Layup.,57,82
2:45,2127,Raemond Robinson missed Three Point Jumper.,57,82
2:45,61,Georgia Defensive Rebound.,57,82
2:27,61,Georgia  Timeout,57,82
2:09,61,Georgia  Turnover.,57,82
2:00,61,Foul on Connor O'Neill.,57,82
2:00,2127,Christian Keeling made Free Throw.,58,82
2:00,2127,Christian Keeling made Free Throw.,59,82
1:53,61,Pape Diatta Turnover.,59,82
1:53,2127,Christian Keeling Steal.,59,82
1:46,2127,Christian Keeling missed Layup.,59,82
1:46,61,Connor O'Neill Defensive Rebound.,59,82
1:32,61,Mike Edwards missed Jumper.,59,82
1:32,61,Tyree Crump Offensive Rebound.,59,82
1:23,61,Tyree Crump made Layup.,59,84
1:19,2127,Charleston Southern  Timeout,59,84
1:06,2127,Cortez Mitchell made Layup.,61,84
1:06,61,Foul on Connor O'Neill.,61,84
1:06,2127,Cortez Mitchell missed Free Throw.,61,84
1:06,61,Pape Diatta Defensive Rebound.,61,84
0:45,61,Brandon Young missed Three Point Jumper.,61,84
0:45,61,Pape Diatta Offensive Rebound.,61,84
0:36,61,Brandon Young missed Jumper.,61,84
0:36,2127,Jamar Martin Defensive Rebound.,61,84
0:27,61,Foul on Pape Diatta.,61,84
0:27,2127,Jamal Thomas missed Free Throw.,61,84
0:27,2127,Jamal Thomas made Free Throw.,62,84
0:27,2127,Charleston Southern Deadball Team Rebound.,61,84
0:16,61,Tyree Crump Turnover.,62,84
0:16,2127,Patrick Wallace Steal.,62,84
0:09,2127,Patrick Wallace made Layup.,64,84
