Eastern Kentucky,97,Louisville,2198
6:39,2198,Zach Charles Offensive Rebound.,42,75
6:39,97,Foul on Jaylen Johnson.,42,75
6:39,2198,Zach Charles missed Free Throw.,42,75
6:39,97,Mangok Mathiang Defensive Rebound.,42,75
6:24,97,Ryan McMahon Turnover.,42,75
6:15,2198,Lachlan Anderson missed Jumper.,42,75
6:15,97,Mangok Mathiang Defensive Rebound.,42,75
5:57,97,Ray Spalding made Layup. Assisted by Quentin Snider.,42,77
5:40,2198,Asante Gist made Three Point Jumper.,45,77
5:31,2198,Foul on Zach Charles.,45,77
5:31,97,V.J. King missed Free Throw.,45,77
5:31,97,Louisville Deadball Team Rebound.,45,77
5:31,97,V.J. King made Free Throw.,45,78
5:18,2198,Lachlan Anderson missed Jumper.,45,78
5:18,2198,Lachlan Anderson Offensive Rebound.,45,78
5:15,2198,Lachlan Anderson made Layup.,47,78
5:00,97,Ray Spalding missed Layup.,47,78
5:00,2198,DeAndre Dishman Defensive Rebound.,47,78
4:43,2198,Parker Chitty missed Jumper.,47,78
4:43,97,Ryan McMahon Block.,47,78
4:41,2198,DeAndre Dishman Offensive Rebound.,47,78
4:39,2198,DeAndre Dishman missed Layup.,47,78
4:39,2198,Marlon Adams Offensive Rebound.,47,78
4:36,2198,Marlon Adams made Layup.,49,78
4:19,97,Tony Hicks missed Jumper.,49,78
4:19,2198,DeAndre Dishman Defensive Rebound.,49,78
4:10,97,Foul on Mangok Mathiang.,49,78
4:10,2198,Marlon Adams made Free Throw.,50,78
4:10,2198,Marlon Adams made Free Throw.,51,78
4:01,97,Ryan McMahon missed Three Point Jumper.,51,78
4:01,97,Matz Stockman Offensive Rebound.,51,78
3:53,97,Tony Hicks Turnover.,51,78
3:53,97,Official TV Timeout,51,78
3:41,2198,DeAndre Dishman missed Jumper.,51,78
3:41,97,V.J. King Defensive Rebound.,51,78
3:27,2198,Foul on Parker Chitty.,51,78
3:27,97,Ray Spalding missed Free Throw.,51,78
3:27,2198,DeAndre Dishman Defensive Rebound.,51,78
3:12,2198,Asante Gist missed Three Point Jumper.,51,78
3:12,97,Ray Spalding Defensive Rebound.,51,78
3:04,97,V.J. King missed Three Point Jumper.,51,78
3:04,97,V.J. King Offensive Rebound.,51,78
2:59,2198,Foul on Asante Gist.,51,78
2:59,97,V.J. King made Free Throw.,51,79
2:59,97,V.J. King made Free Throw.,51,80
2:29,2198,Asante Gist made Jumper.,53,80
2:09,97,Tony Hicks Turnover.,53,80
2:08,2198,Asante Gist Steal.,53,80
2:02,2198,Parker Chitty Turnover.,53,80
1:52,97,Tony Hicks made Jumper.,53,82
1:36,2198,Marlon Adams missed Three Point Jumper.,53,82
1:36,97,Ray Spalding Block.,53,82
1:34,97,Matz Stockman Defensive Rebound.,53,82
1:25,97,Ray Spalding missed Dunk.,53,82
1:25,2198,Marlon Adams Defensive Rebound.,53,82
1:15,2198,Parker Chitty Turnover.,53,82
0:56,97,Tyler Sharpe Turnover.,53,82
0:51,2198,Asante Gist made Layup.,55,82
0:45,97,Ryan McMahon made Three Point Jumper. Assisted by Tyler Sharpe.,55,85
0:28,2198,Kirkland Humphrey Turnover.,55,85
0:27,97,Jay Henderson Steal.,55,85
0:25,97,Ray Spalding made Dunk. Assisted by Jay Henderson.,55,87
0:08,97,Foul on Ryan McMahon.,55,87
0:08,2198,Daniel Parke made Free Throw.,56,87
0:08,2198,Daniel Parke missed Free Throw.,56,87
0:08,97,Matz Stockman Defensive Rebound.,56,87
0:00,97,End of Game,56,87
