Grambling,2348,Louisiana Tech,2755
12:42,2755,Ervin Mitchell Block.,3,7
12:42,2348,Louisiana Tech Offensive Rebound.,3,7
12:32,2348,Derric Jean missed Three Point Jumper.,3,7
12:32,2348,Joniah White Offensive Rebound.,3,7
12:25,2348,Jy'lan Washington made Layup. Assisted by Joniah White.,3,9
12:07,2348,Foul on Derric Jean.,3,9
11:54,2755,Drake Wilks missed Three Point Jumper.,3,9
11:54,2348,Jacobi Boykins Defensive Rebound.,3,9
11:40,2348,Jacobi Boykins missed Three Point Jumper.,3,9
11:40,2755,Nigel Ribeiro Defensive Rebound.,3,9
11:35,2755,Ervin Mitchell made Layup. Assisted by Nigel Ribeiro.,5,9
11:35,2348,Foul on Jalen Harris.,5,9
11:35,2348,Official TV Timeout,5,9
11:35,2755,Ervin Mitchell made Free Throw.,6,9
11:24,2348,Jalen Harris made Layup.,6,11
10:54,2755,Ervin Mitchell made Three Point Jumper. Assisted by Chase Cormier.,9,11
10:38,2348,Jalen Harris made Three Point Jumper. Assisted by Jacobi Boykins.,9,14
10:22,2755,Ervin Mitchell missed Layup.,9,14
10:22,2348,Omar Sherman Defensive Rebound.,9,14
10:18,2348,DaQuan Bracey made Layup. Assisted by Jalen Harris.,9,16
10:00,2755,Chase Cormier missed Three Point Jumper.,9,16
10:00,2348,Jacobi Boykins Defensive Rebound.,9,16
9:46,2348,Jacobi Boykins Turnover.,9,16
9:45,2755,Remond Brown Steal.,9,16
9:43,2755,Remond Brown made Layup.,11,16
9:14,2348,DaQuan Bracey missed Layup.,11,16
9:14,2755,Drake Wilks Defensive Rebound.,11,16
8:43,2755,Nigel Ribeiro missed Three Point Jumper.,11,16
8:43,2348,Jy'lan Washington Defensive Rebound.,11,16
8:40,2348,DaQuan Bracey Turnover.,11,16
8:31,2755,Remond Brown missed Three Point Jumper.,11,16
8:31,2348,Erik McCree Defensive Rebound.,11,16
8:06,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,11,19
7:44,2755,Ervin Mitchell Turnover.,11,19
7:44,2348,Jacobi Boykins Steal.,11,19
7:42,2348,Jacobi Boykins made Dunk.,11,21
7:24,2755,Remond Brown made Jumper.,13,21
6:57,2348,Erik McCree made Layup. Assisted by DaQuan Bracey.,13,23
6:34,2755,Nigel Ribeiro Turnover.,13,23
6:34,2348,Official TV Timeout,13,23
6:20,2348,Erik McCree made Layup. Assisted by Joniah White.,13,25
6:16,2755,Grambling  Timeout,13,25
6:01,2755,Ervin Mitchell made Jumper. Assisted by Remond Brown.,15,25
5:43,2348,Derric Jean made Three Point Jumper. Assisted by DaQuan Bracey.,15,28
5:19,2755,Remond Brown missed Three Point Jumper.,15,28
5:19,2755,Remond Brown Offensive Rebound.,15,28
5:14,2348,Foul on Joniah White.,15,28
5:11,2755,Remond Brown missed Free Throw.,15,28
5:11,2755,Grambling Deadball Team Rebound.,15,28
5:11,2755,Remond Brown made Free Throw.,16,28
4:50,2755,Foul on Drake Wilks.,16,28
4:50,2348,Erik McCree made Free Throw.,16,29
4:50,2348,Erik McCree made Free Throw.,16,30
4:42,2755,Ervin Mitchell missed Jumper.,16,30
4:42,2348,Erik McCree Defensive Rebound.,16,30
4:32,2348,Jacobi Boykins made Three Point Jumper. Assisted by Erik McCree.,16,33
4:14,2755,Remond Brown Turnover.,16,33
4:10,2348,Jacobi Boykins Steal.,16,33
3:56,2348,Jalen Harris made Three Point Jumper. Assisted by Derric Jean.,16,36
3:45,2755,Marcel Thompson made Three Point Jumper. Assisted by Remond Brown.,19,36
3:33,2348,Louisiana Tech  Timeout,19,36
3:33,2348,Official TV Timeout,19,36
3:14,2348,Louisiana Tech  Turnover.,19,36
2:51,2755,Marcel Thompson Turnover.,19,36
2:34,2348,Joniah White Turnover.,19,36
2:15,2755,Marcel Thompson made Jumper. Assisted by Chase Cormier.,21,36
1:56,2348,Oliver Powell made Layup. Assisted by Jacobi Boykins.,21,38
1:38,2755,Ervin Mitchell made Jumper.,23,38
1:18,2348,Derric Jean made Three Point Jumper. Assisted by Jalen Harris.,23,41
0:48,2348,Foul on DaQuan Bracey.,23,41
0:48,2755,Ivy Smith Jr. made Free Throw.,24,41
0:48,2755,Ivy Smith Jr. made Free Throw.,25,41
0:31,2348,Jalen Harris Turnover.,25,41
0:30,2755,Remond Brown Steal.,25,41
0:27,2348,Foul on Derric Jean.,25,41
0:27,2755,Remond Brown missed Free Throw.,25,41
0:27,2755,Grambling Deadball Team Rebound.,25,41
0:27,2755,Remond Brown made Free Throw.,26,41
0:00,2348,Jalen Harris missed Three Point Jumper.,26,41
0:00,2755,Grambling Deadball Team Rebound.,26,41
0:00,2348,End of 1st half,26,41
19:51,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,26,44
19:24,2755,Remond Brown made Jumper. Assisted by Ervin Mitchell.,28,44
19:15,2348,Erik McCree made Layup. Assisted by Jacobi Boykins.,28,46
18:53,2755,Remond Brown missed Jumper.,28,46
18:53,2755,Chase Cormier Offensive Rebound.,28,46
18:46,2755,Diontae Jones missed Jumper.,28,46
18:46,2348,Erik McCree Defensive Rebound.,28,46
18:30,2755,Foul on Diontae Jones.,28,46
18:17,2348,Omar Sherman made Layup. Assisted by Erik McCree.,28,48
18:00,2755,Drake Wilks missed Three Point Jumper.,28,48
18:00,2348,DaQuan Bracey Defensive Rebound.,28,48
17:49,2348,Erik McCree missed Jumper.,28,48
17:49,2755,Ivy Smith Jr. Block.,28,48
17:44,2348,Derric Jean Offensive Rebound.,28,48
17:36,2348,Jacobi Boykins made Three Point Jumper. Assisted by DaQuan Bracey.,28,51
17:14,2755,Ervin Mitchell Turnover.,28,51
16:39,2755,Foul on Drake Wilks.,28,51
16:39,2348,Omar Sherman made Free Throw.,28,52
16:39,2348,Omar Sherman made Free Throw.,28,53
16:35,2755,Ervin Mitchell made Three Point Jumper.,31,53
16:30,2348,Jacobi Boykins made Layup. Assisted by DaQuan Bracey.,31,55
16:26,2348,Foul on Omar Sherman.,31,55
16:26,2755,Ervin Mitchell made Free Throw.,32,55
16:26,2755,Ervin Mitchell made Free Throw.,33,55
16:06,2348,DaQuan Bracey made Layup.,33,57
15:48,2755,Ervin Mitchell missed Jumper.,33,57
15:48,2348,Omar Sherman Defensive Rebound.,33,57
15:39,2348,Derric Jean missed Layup.,33,57
15:39,2348,Omar Sherman Offensive Rebound.,33,57
15:39,2348,Omar Sherman made Dunk.,33,59
15:20,2348,Foul on Jacobi Boykins.,33,59
15:20,2348,Official TV Timeout,33,59
15:20,2755,Ervin Mitchell missed Free Throw.,33,59
15:20,2755,Grambling Deadball Team Rebound.,33,59
15:20,2755,Ervin Mitchell made Free Throw.,34,59
15:13,2348,Erik McCree made Layup.,34,61
15:11,2755,Foul on Drake Wilks.,34,61
15:11,2348,Erik McCree made Free Throw.,34,62
15:09,2755,Nigel Ribeiro Turnover.,34,62
14:44,2348,DaQuan Bracey made Layup. Assisted by Jalen Harris.,34,64
14:19,2755,Drake Wilks made Jumper. Assisted by Ervin Mitchell.,36,64
13:55,2348,Derric Jean missed Three Point Jumper.,36,64
13:55,2348,Joniah White Offensive Rebound.,36,64
13:49,2348,Joniah White Turnover.,36,64
13:48,2755,Ervin Mitchell Steal.,36,64
13:45,2755,Marcel Thompson missed Three Point Jumper.,36,64
13:45,2348,Jalen Harris Defensive Rebound.,36,64
13:34,2348,DaQuan Bracey Turnover.,36,64
13:30,2755,Remond Brown Steal.,36,64
13:28,2755,Remond Brown made Layup. Assisted by Chase Cormier.,38,64
13:05,2755,Foul on Remond Brown.,38,64
12:56,2348,Jy'lan Washington missed Three Point Jumper.,38,64
12:56,2755,Ervin Mitchell Defensive Rebound.,38,64
12:47,2755,Marcel Thompson missed Three Point Jumper.,38,64
12:47,2348,Joniah White Defensive Rebound.,38,64
12:47,2755,Foul on Drake Wilks.,38,64
12:27,2348,Jacobi Boykins missed Three Point Jumper.,38,64
12:27,2755,Ervin Mitchell Defensive Rebound.,38,64
12:24,2348,Foul on Joniah White.,38,64
12:04,2755,Marcel Thompson missed Three Point Jumper.,38,64
12:04,2755,Ervin Mitchell Offensive Rebound.,38,64
12:04,2348,Foul on Joniah White.,38,64
12:04,2755,Ervin Mitchell made Free Throw.,39,64
12:04,2755,Ervin Mitchell missed Free Throw.,39,64
12:04,2348,Oliver Powell Defensive Rebound.,39,64
11:45,2348,Oliver Powell Turnover.,39,64
11:43,2755,Ervin Mitchell Steal.,39,64
11:41,2755,Ervin Mitchell made Layup.,41,64
11:24,2348,Jalen Harris missed Three Point Jumper.,41,64
11:24,2755,Marcel Thompson Defensive Rebound.,41,64
11:16,2755,Ivy Smith Jr. missed Jumper.,41,64
11:16,2348,Joniah White Defensive Rebound.,41,64
10:49,2348,Oliver Powell made Jumper. Assisted by Jy'lan Washington.,41,66
10:33,2755,Remond Brown missed Layup.,41,66
10:33,2348,Joniah White Block.,41,66
10:28,2348,Oliver Powell Defensive Rebound.,41,66
10:24,2348,Jalen Harris missed Three Point Jumper.,41,66
10:24,2348,Oliver Powell Offensive Rebound.,41,66
10:18,2348,Jalen Harris Turnover.,41,66
10:18,2348,Foul on Jalen Harris.,41,66
10:18,2348,Official TV Timeout,41,66
10:02,2755,Ivy Smith Jr. made Jumper.,43,66
10:02,2755,Foul on Diontae Jones.,43,66
9:36,2348,Derric Jean missed Three Point Jumper.,43,66
9:36,2348,Omar Sherman Offensive Rebound.,43,66
9:29,2348,Derric Jean Turnover.,43,66
9:27,2755,Marcel Thompson Steal.,43,66
9:26,2348,Foul on Jacobi Boykins.,43,66
9:26,2755,Carlton Lowe missed Free Throw.,43,66
9:26,2755,Grambling Deadball Team Rebound.,43,66
9:26,2755,Carlton Lowe made Free Throw.,44,66
9:09,2755,Foul on Diontae Jones.,44,66
9:09,2348,Erik McCree missed Free Throw.,44,66
9:09,2755,Drake Wilks Defensive Rebound.,44,66
8:56,2755,Drake Wilks missed Jumper.,44,66
8:56,2348,Erik McCree Defensive Rebound.,44,66
8:49,2348,Jacobi Boykins made Three Point Jumper. Assisted by Erik McCree.,44,69
8:41,2755,Drake Wilks made Layup. Assisted by Ivy Smith Jr..,46,69
8:13,2348,Erik McCree missed Jumper.,46,69
8:13,2348,DaQuan Bracey Offensive Rebound.,46,69
7:53,2348,Jalen Harris made Layup. Assisted by Omar Sherman.,46,71
7:36,2755,Remond Brown Turnover.,46,71
7:35,2348,DaQuan Bracey Steal.,46,71
7:32,2348,Jalen Harris made Jumper. Assisted by DaQuan Bracey.,46,73
7:23,2755,Drake Wilks Turnover.,46,73
7:22,2348,Omar Sherman Steal.,46,73
7:19,2348,DaQuan Bracey made Layup. Assisted by Omar Sherman.,46,75
7:12,2755,Grambling  Timeout,46,75
7:12,2348,Official TV Timeout,46,75
7:00,2755,Ivy Smith Jr. missed Three Point Jumper.,46,75
7:00,2348,DaQuan Bracey Defensive Rebound.,46,75
6:56,2348,DaQuan Bracey made Jumper.,46,77
6:32,2755,Remond Brown Turnover.,46,77
6:22,2348,Jy'lan Washington Turnover.,46,77
6:21,2755,Ervin Mitchell Steal.,46,77
6:16,2348,Jacobi Boykins missed Layup.,46,77
6:16,2755,Remond Brown Block.,46,77
6:14,2348,Jalen Harris Offensive Rebound.,46,77
6:08,2348,Jalen Harris made Layup.,46,79
6:02,2755,Remond Brown missed Jumper.,46,79
6:02,2348,Jacobi Boykins Defensive Rebound.,46,79
5:35,2348,Jalen Harris missed Three Point Jumper.,46,79
5:35,2755,Grambling Defensive Rebound.,46,79
5:26,2755,Remond Brown missed Layup.,46,79
5:26,2348,Joniah White Block.,46,79
5:26,2755,Remond Brown Offensive Rebound.,46,79
5:26,2755,Remond Brown missed Free Throw.,46,79
5:26,2348,Joniah White Defensive Rebound.,46,79
5:26,2348,Foul on DaQuan Bracey.,46,79
5:23,2348,Joniah White made Layup.,46,81
5:02,2755,Nigel Ribeiro Turnover.,46,81
5:01,2348,Jy'lan Washington Steal.,46,81
4:40,2348,DaQuan Bracey missed Three Point Jumper.,46,81
4:40,2755,Drake Wilks Defensive Rebound.,46,81
4:30,2755,Chase Cormier made Layup. Assisted by Remond Brown.,48,81
4:17,2348,Jalen Harris made Three Point Jumper. Assisted by DaQuan Bracey.,48,84
3:55,2755,Marcel Thompson missed Three Point Jumper.,48,84
3:55,2348,Jalen Harris Defensive Rebound.,48,84
3:53,2348,DaQuan Bracey made Layup. Assisted by Jalen Harris.,48,86
3:33,2755,Drake Wilks made Three Point Jumper. Assisted by Nigel Ribeiro.,51,86
3:15,2348,Erik McCree Turnover.,51,86
3:14,2755,Nigel Ribeiro Steal.,51,86
3:07,2755,Remond Brown Turnover.,51,86
3:06,2348,Jalen Harris Steal.,51,86
2:34,2755,Foul on Nigel Ribeiro.,51,86
2:34,2348,Official TV Timeout,51,86
2:34,2348,Jy'lan Washington made Free Throw.,51,87
2:34,2348,Jy'lan Washington made Free Throw.,51,88
2:05,2755,Drake Wilks made Layup.,53,88
1:50,2348,Omar Sherman made Layup. Assisted by Derric Jean.,53,90
1:50,2755,Foul on Anthony Gaston.,53,90
1:50,2348,Omar Sherman made Free Throw.,53,91
