IUPUI,253,Southern Utah,85
0:46,85,Matt O'Leary made Three Point Jumper. Assisted by Kellon Thomas.,49,29
0:25,253,James McGee Turnover.,49,29
0:25,253,Foul on James McGee.,49,29
0:16,85,Kellon Thomas made Layup.,51,29
0:03,253,Randy Onwuasor missed Jumper.,51,29
0:03,85,IUPUI Deadball Team Rebound.,51,29
0:00,253,End of 1st half,51,29
19:49,85,Evan Hall made Layup.,53,29
19:47,253,Foul on Ivan Madunic.,53,29
19:44,85,Evan Hall made Free Throw.,54,29
19:30,253,Southern Utah  Timeout,54,29
19:19,253,Randy Onwuasor Turnover.,54,29
19:17,85,Matt O'Leary Steal.,54,29
19:11,85,Matt O'Leary Turnover.,54,29
19:11,85,Foul on Matt O'Leary.,54,29
18:55,253,Ivan Madunic made Three Point Jumper. Assisted by John Marshall.,54,32
18:38,85,Matt O'Leary made Three Point Jumper.,57,32
18:19,253,John Marshall missed Three Point Jumper.,57,32
18:19,85,Kellon Thomas Defensive Rebound.,57,32
18:12,253,Foul on Matthew Johnson.,57,32
18:12,85,IUPUI  Turnover.,57,32
17:53,253,Will Joyce missed Jumper.,57,32
17:53,253,Will Joyce Offensive Rebound.,57,32
17:50,85,Foul on Evan Hall.,57,32
17:49,253,Will Joyce missed Free Throw.,57,32
17:49,253,Southern Utah Deadball Team Rebound.,57,32
17:49,253,Will Joyce missed Free Throw.,57,32
17:49,85,Darell Combs Defensive Rebound.,57,32
17:39,253,Foul on Randy Onwuasor.,57,32
17:26,85,D.J. McCall missed Layup.,57,32
17:26,85,Evan Hall Offensive Rebound.,57,32
17:14,85,Darell Combs missed Three Point Jumper.,57,32
17:14,85,D.J. McCall Offensive Rebound.,57,32
17:08,85,D.J. McCall Turnover.,57,32
16:59,253,Brayden Holker made Layup. Assisted by Randy Onwuasor.,57,34
16:33,85,D.J. McCall made Layup. Assisted by Darell Combs.,59,34
16:07,253,Will Joyce Turnover.,59,34
16:06,85,Darell Combs Steal.,59,34
16:02,85,Darell Combs made Layup. Assisted by D.J. McCall.,61,34
15:47,253,John Marshall Turnover.,61,34
15:45,85,Evan Hall Steal.,61,34
15:44,85,Matt O'Leary made Layup. Assisted by Evan Hall.,63,34
15:33,253,Southern Utah  Timeout,63,34
15:33,253,Official TV Timeout,63,34
15:17,253,Randy Onwuasor made Jumper.,63,36
15:06,85,Matt O'Leary made Layup.,65,36
14:41,85,Foul on Kellon Thomas.,65,36
14:41,253,James McGee missed Free Throw.,65,36
14:41,253,Southern Utah Deadball Team Rebound.,65,36
14:41,253,James McGee made Free Throw.,65,37
14:39,85,Aaron Brennan made Layup. Assisted by T.J. Henderson.,67,37
14:20,253,Brayden Holker made Layup. Assisted by Randy Onwuasor.,67,39
13:41,85,Ron Patterson missed Layup.,67,39
13:41,85,Josh James Offensive Rebound.,67,39
13:37,85,Josh James made Layup.,69,39
13:22,85,Foul on Ron Patterson.,69,39
13:20,253,James McGee Turnover.,69,39
13:18,85,T.J. Henderson Steal.,69,39
13:16,85,Ron Patterson missed Dunk.,69,39
13:16,85,D.J. McCall Offensive Rebound.,69,39
13:12,85,D.J. McCall made Layup.,71,39
13:07,253,Jacob Calloway missed Jumper.,71,39
13:07,85,Aaron Brennan Defensive Rebound.,71,39
12:58,85,T.J. Henderson Turnover.,71,39
12:45,253,Randy Onwuasor Turnover.,71,39
12:32,85,D.J. McCall Turnover.,71,39
12:32,85,Foul on D.J. McCall.,71,39
12:13,253,Ivan Madunic Turnover.,71,39
12:11,85,T.J. Henderson Steal.,71,39
12:07,85,Aaron Brennan made Three Point Jumper. Assisted by Ron Patterson.,74,39
11:49,253,Christian Musoko missed Layup.,74,39
11:49,253,Christian Musoko Offensive Rebound.,74,39
11:46,85,Foul on T.J. Henderson.,74,39
11:46,253,Official TV Timeout,74,39
11:46,253,Christian Musoko made Free Throw.,74,40
11:46,253,Christian Musoko made Free Throw.,74,41
11:37,85,D.J. McCall Turnover.,74,41
11:36,253,Christian Musoko Steal.,74,41
11:29,85,Foul on D.J. McCall.,74,41
11:29,253,James McGee made Free Throw.,74,42
11:29,253,James McGee made Free Throw.,74,43
11:10,85,Darell Combs made Layup.,76,43
11:00,253,Christian Musoko Turnover.,76,43
10:40,85,Ron Patterson made Dunk. Assisted by Darell Combs.,78,43
10:17,253,Christian Musoko made Jumper.,78,45
9:59,85,Darell Combs made Layup.,80,45
9:43,253,Christian Musoko made Jumper.,80,47
9:26,85,Aaron Brennan missed Three Point Jumper.,80,47
9:26,253,Decardo Day Defensive Rebound.,80,47
9:14,253,Ivan Madunic Turnover.,80,47
9:12,85,Ron Patterson Steal.,80,47
9:09,85,Darell Combs Turnover.,80,47
9:09,85,Foul on Darell Combs.,80,47
9:09,253,Christian Musoko missed Layup.,80,47
9:09,253,Will Joyce Offensive Rebound.,80,47
9:09,253,Will Joyce made Layup.,80,49
9:09,85,Foul on T.J. Henderson.,80,49
9:06,253,Will Joyce made Free Throw.,80,50
8:37,85,Kellon Thomas missed Three Point Jumper.,80,50
8:37,253,Randy Onwuasor Defensive Rebound.,80,50
8:29,253,Randy Onwuasor missed Layup.,80,50
8:29,85,Evan Hall Block.,80,50
8:29,85,Kellon Thomas Defensive Rebound.,80,50
8:22,85,Evan Hall made Layup. Assisted by T.J. Henderson.,82,50
7:58,253,James McGee missed Three Point Jumper.,82,50
7:58,85,Ron Patterson Defensive Rebound.,82,50
7:48,85,Evan Hall made Layup. Assisted by Ron Patterson.,84,50
7:40,253,Southern Utah  Timeout,84,50
7:40,253,Official TV Timeout,84,50
7:27,253,James McGee missed Jumper.,84,50
7:27,253,Will Joyce Offensive Rebound.,84,50
7:24,253,Will Joyce made Layup.,84,52
7:06,85,Matt O'Leary made Layup. Assisted by Ron Patterson.,86,52
6:57,253,Randy Onwuasor made Jumper.,86,54
6:33,85,Ron Patterson made Three Point Jumper.,89,54
6:14,253,Randy Onwuasor made Three Point Jumper. Assisted by James McGee.,89,57
5:49,85,Ron Patterson made Three Point Jumper. Assisted by Aaron Brennan.,92,57
5:27,85,Foul on Kellon Thomas.,92,57
5:27,253,James McGee made Free Throw.,92,58
5:27,253,James McGee made Free Throw.,92,59
5:27,85,Kellon Thomas made Jumper.,94,59
4:53,253,Brayden Holker made Layup. Assisted by John Marshall.,94,61
4:53,253,Brayden Holker made Layup. Assisted by John Marshall.,94,61
4:49,85,Foul on Giovanni Fraser.,94,61
4:49,253,Brayden Holker missed Free Throw.,94,61
4:49,85,D.J. McCall Defensive Rebound.,94,61
4:39,253,Foul on Randy Onwuasor.,94,61
4:39,85,Giovanni Fraser made Free Throw.,95,61
4:39,85,Giovanni Fraser missed Free Throw.,95,61
4:39,253,Ivan Madunic Defensive Rebound.,95,61
4:29,253,Brayden Holker made Dunk. Assisted by James McGee.,95,63
4:12,253,Foul on Jacob Calloway.,95,63
4:12,85,Giovanni Fraser missed Free Throw.,95,63
4:12,85,IUPUI Deadball Team Rebound.,95,63
4:12,85,Giovanni Fraser missed Free Throw.,95,63
4:12,253,Brayden Holker Defensive Rebound.,95,63
4:06,253,James McGee made Three Point Jumper.,95,66
3:41,85,D.J. McCall missed Three Point Jumper.,95,66
3:39,253,Foul on Brayden Holker.,95,66
3:39,253,Official TV Timeout,95,66
3:39,85,IUPUI Offensive Rebound.,95,66
3:39,85,Josh James made Layup.,97,66
3:16,253,Ivan Madunic missed Layup.,97,66
3:16,85,Giovanni Fraser Defensive Rebound.,97,66
3:12,253,Foul on Brayden Holker.,97,66
3:03,85,Giovanni Fraser made Free Throw.,98,66
3:03,85,Giovanni Fraser missed Free Throw.,98,66
3:03,253,Christian Musoko Defensive Rebound.,98,66
3:03,85,Foul on Chad Hudson.,98,66
2:58,253,Randy Onwuasor made Free Throw.,98,67
2:58,253,Randy Onwuasor made Free Throw.,98,68
2:43,85,Josh James missed Jumper.,98,68
2:43,253,Christian Musoko Defensive Rebound.,98,68
2:37,253,Jacob Calloway made Three Point Jumper. Assisted by James McGee.,98,71
2:15,85,T.J. Henderson missed Jumper.,98,71
2:15,85,T.J. Henderson Offensive Rebound.,98,71
2:12,253,Randy Onwuasor Defensive Rebound.,98,71
2:12,85,Grant Sinn missed Three Point Jumper.,98,71
1:58,85,Foul on Grant Sinn.,98,71
1:58,253,James McGee made Free Throw.,98,72
1:58,253,James McGee missed Free Throw.,98,72
1:58,253,Southern Utah Deadball Team Rebound.,98,72
1:58,253,James McGee made Free Throw.,98,73
1:48,253,Foul on Decardo Day.,98,73
1:48,85,T.J. Henderson made Free Throw.,99,73
1:48,85,T.J. Henderson missed Free Throw.,99,73
1:48,253,Ivan Madunic Defensive Rebound.,99,73
1:46,253,James McGee made Three Point Jumper. Assisted by Decardo Day.,99,76
1:20,85,Grant Sinn missed Three Point Jumper.,99,76
1:20,85,IUPUI Offensive Rebound.,99,76
1:13,85,Noah Thomas missed Three Point Jumper.,99,76
1:13,253,James McGee Defensive Rebound.,99,76
1:05,253,Jacob Calloway made Layup.,99,78
1:04,85,Foul on Noah Thomas.,99,78
1:03,253,Jacob Calloway made Free Throw.,99,79
0:45,85,Noah Thomas Turnover.,99,79
0:45,85,Foul on Noah Thomas.,99,79
0:39,253,Ivan Madunic missed Three Point Jumper.,99,79
0:39,253,Southern Utah Offensive Rebound.,99,79
0:34,253,James McGee missed Three Point Jumper.,99,79
0:31,85,Noah Thomas Defensive Rebound.,99,79
0:31,85,Noah Thomas Turnover.,99,79
0:30,253,Christian Musoko missed Layup.,99,79
0:30,253,Jacob Calloway Offensive Rebound.,99,79
0:26,253,Jacob Calloway made Layup.,99,81
0:20,85,Noah Thomas made Layup. Assisted by Chad Hudson.,101,81
0:10,253,Christian Musoko missed Layup.,101,81
0:10,85,T.J. Henderson Defensive Rebound.,101,81
0:00,253,End of 2nd half,101,81
0:00,253,End of Game,101,81
