Eastern Illinois,142,Missouri,2197
14:06,2197,Aboubacar Diallo Defensive Rebound.,6,9
13:57,142,Foul on Russell Woods.,6,9
13:57,2197,Montell Goodwin made Free Throw.,7,9
13:57,2197,Montell Goodwin made Free Throw.,8,9
13:48,142,Jordan Barnett missed Three Point Jumper.,8,9
13:48,2197,Aboubacar Diallo Defensive Rebound.,8,9
13:32,2197,Demetrius McReynolds Turnover.,8,9
13:12,142,Jordan Geist made Three Point Jumper.,8,12
12:45,2197,Aboubacar Diallo missed Jumper.,8,12
12:45,142,Jordan Barnett Defensive Rebound.,8,12
12:22,142,Cullen VanLeer made Jumper.,8,14
12:02,2197,Demetrius McReynolds missed Three Point Jumper.,8,14
12:02,2197,Aboubacar Diallo Offensive Rebound.,8,14
11:55,142,Jump Ball won by Missouri,8,14
11:55,2197,Eastern Illinois  Turnover.,8,14
11:55,142,Official TV Timeout,8,14
11:46,2197,Foul on Cornell Johnston.,8,14
11:37,142,Jordan Geist Turnover.,8,14
11:31,2197,Cornell Johnston missed Three Point Jumper.,8,14
11:31,2197,Aboubacar Diallo Offensive Rebound.,8,14
11:31,2197,Cornell Johnston missed Three Point Jumper.,8,14
11:31,2197,Aboubacar Diallo Offensive Rebound.,8,14
11:23,2197,Aboubacar Diallo missed Jumper.,8,14
11:23,142,Missouri Defensive Rebound.,8,14
11:23,2197,Foul on Aboubacar Diallo.,8,14
10:57,142,Jordan Geist made Jumper.,8,16
10:39,2197,Montell Goodwin Turnover.,8,16
10:39,142,K.J. Walton Steal.,8,16
10:33,142,K.J. Walton made Layup.,8,18
10:10,2197,Demetrius McReynolds made Jumper.,10,18
9:55,142,Jordan Barnett missed Three Point Jumper.,10,18
9:55,2197,Patrick Muldoon Defensive Rebound.,10,18
9:51,142,Foul on K.J. Walton.,10,18
9:42,2197,Demetrius McReynolds made Jumper.,12,18
9:26,142,Foul on Willie Jackson.,12,18
9:26,142,Willie Jackson Turnover.,12,18
9:08,2197,Demetrius McReynolds made Jumper.,14,18
8:56,142,Kevin Puryear missed Jumper.,14,18
8:56,142,Reed Nikko Offensive Rebound.,14,18
8:43,142,Reed Nikko made Jumper.,14,20
8:34,2197,Demetrius McReynolds missed Jumper.,14,20
8:34,2197,Eastern Illinois Offensive Rebound.,14,20
8:32,2197,Casey Teson missed Three Point Jumper.,14,20
8:32,142,Reed Nikko Defensive Rebound.,14,20
8:25,2197,Foul on Cornell Johnston.,14,20
8:11,142,Terrence Phillips missed Three Point Jumper.,14,20
8:11,2197,Aboubacar Diallo Defensive Rebound.,14,20
8:07,142,Foul on Reed Nikko.,14,20
8:07,2197,Aboubacar Diallo made Free Throw.,15,20
8:07,2197,Aboubacar Diallo missed Free Throw.,15,20
8:07,142,Kevin Puryear Defensive Rebound.,15,20
7:51,142,Official TV Timeout,15,20
7:48,142,Kevin Puryear Turnover.,15,20
7:48,2197,Aboubacar Diallo Steal.,15,20
7:29,2197,Montell Goodwin missed Layup.,15,20
7:29,142,Reed Nikko Block.,15,20
7:29,142,Reed Nikko Defensive Rebound.,15,20
7:27,142,Terrence Phillips Turnover.,15,20
7:27,2197,Montell Goodwin Steal.,15,20
7:22,2197,Foul on Ray Crossland.,15,20
7:22,2197,Ray Crossland Turnover.,15,20
7:08,142,Foul on Russell Woods.,15,20
7:08,142,Russell Woods Turnover.,15,20
6:57,2197,Montell Goodwin made Jumper.,17,20
6:48,142,Kevin Puryear missed Three Point Jumper.,17,20
6:48,2197,Demetrius McReynolds Defensive Rebound.,17,20
6:24,2197,Demetrius McReynolds missed Three Point Jumper.,17,20
6:24,142,Cullen VanLeer Defensive Rebound.,17,20
6:14,142,Kevin Puryear made Jumper. Assisted by Terrence Phillips.,17,22
6:14,2197,Foul on Aboubacar Diallo.,17,22
6:14,142,Kevin Puryear missed Free Throw.,17,22
6:14,2197,Montell Goodwin Defensive Rebound.,17,22
5:56,142,Foul on Frankie Hughes.,17,22
5:56,2197,Demetrius McReynolds made Free Throw.,18,22
5:56,2197,Demetrius McReynolds made Free Throw.,19,22
5:38,142,Jordan Barnett Turnover.,19,22
5:38,2197,Aboubacar Diallo Steal.,19,22
5:16,2197,Montell Goodwin missed Three Point Jumper.,19,22
5:16,2197,Marshawn Blackmon Offensive Rebound.,19,22
5:09,2197,Demetrius McReynolds missed Three Point Jumper.,19,22
5:09,142,Kevin Puryear Defensive Rebound.,19,22
5:05,2197,Foul on Marshawn Blackmon.,19,22
5:05,142,K.J. Walton made Free Throw.,19,23
5:05,142,K.J. Walton made Free Throw.,19,24
4:54,2197,Patrick Muldoon made Layup. Assisted by Logan Koch.,21,24
4:46,142,K.J. Walton missed Layup.,21,24
4:46,142,Kevin Puryear Offensive Rebound.,21,24
4:40,142,Kevin Puryear made Jumper.,21,26
4:23,142,Foul on Terrence Phillips.,21,26
4:23,2197,Patrick Muldoon made Free Throw.,22,26
4:23,2197,Patrick Muldoon made Free Throw.,23,26
4:11,142,K.J. Walton made Layup. Assisted by Cullen VanLeer.,23,28
4:11,2197,Foul on Joe Kuligoski.,23,28
4:11,142,K.J. Walton made Free Throw.,23,29
3:59,142,Official TV Timeout,23,29
3:45,2197,Marshawn Blackmon made Jumper. Assisted by Montell Goodwin.,25,29
3:38,142,Jordan Barnett missed Three Point Jumper.,25,29
3:38,2197,Demetrius McReynolds Defensive Rebound.,25,29
3:22,2197,Casey Teson missed Three Point Jumper.,25,29
3:22,2197,Joe Kuligoski Offensive Rebound.,25,29
3:14,2197,Montell Goodwin missed Three Point Jumper.,25,29
3:14,2197,Joe Kuligoski Offensive Rebound.,25,29
3:08,2197,Demetrius McReynolds missed Three Point Jumper.,25,29
3:08,142,Jordan Geist Defensive Rebound.,25,29
2:59,2197,Foul on Marshawn Blackmon.,25,29
2:59,142,Jordan Geist missed Free Throw.,25,29
2:59,142,Missouri Deadball Team Rebound.,25,29
2:59,142,Jordan Geist made Free Throw.,25,30
2:43,2197,Patrick Muldoon missed Layup.,25,30
2:43,2197,Aboubacar Diallo Offensive Rebound.,25,30
2:37,2197,Aboubacar Diallo made Dunk.,27,30
2:20,142,Reed Nikko Turnover.,27,30
2:20,2197,Montell Goodwin Steal.,27,30
2:11,2197,Demetrius McReynolds missed Jumper.,27,30
2:11,2197,Patrick Muldoon Offensive Rebound.,27,30
2:01,2197,Demetrius McReynolds missed Three Point Jumper.,27,30
2:01,142,Jordan Geist Defensive Rebound.,27,30
1:48,142,Reed Nikko Turnover.,27,30
1:48,2197,Casey Teson Steal.,27,30
1:31,2197,Montell Goodwin made Three Point Jumper. Assisted by Casey Teson.,30,30
1:28,142,Missouri  Timeout,30,30
1:09,142,Willie Jackson missed Jumper.,30,30
1:09,2197,Patrick Muldoon Block.,30,30
1:09,142,Reed Nikko Offensive Rebound.,30,30
1:00,142,Reed Nikko made Jumper.,30,32
0:34,2197,Patrick Muldoon missed Jumper.,30,32
0:34,142,Cullen VanLeer Defensive Rebound.,30,32
0:26,142,K.J. Walton missed Jumper.,30,32
0:26,2197,Aboubacar Diallo Block.,30,32
0:26,2197,Demetrius McReynolds Defensive Rebound.,30,32
0:03,2197,Demetrius McReynolds missed Jumper.,30,32
0:03,142,Jordan Geist Defensive Rebound.,30,32
0:00,142,End of 1st half,30,32
20:00,142,Jump Ball won by Missouri,30,32
19:51,142,Kevin Puryear made Layup. Assisted by Terrence Phillips.,30,34
19:35,2197,Cornell Johnston made Three Point Jumper. Assisted by Ray Crossland.,33,34
19:18,142,Frankie Hughes missed Three Point Jumper.,33,34
19:18,142,Russell Woods Offensive Rebound.,33,34
19:08,142,Russell Woods missed Jumper.,33,34
19:08,2197,Muusa Dama Defensive Rebound.,33,34
19:03,2197,Montell Goodwin made Three Point Jumper. Assisted by Cornell Johnston.,36,34
18:52,142,Foul on Kevin Puryear.,36,34
18:52,142,Kevin Puryear Turnover.,36,34
18:35,2197,Ray Crossland Turnover.,36,34
18:35,142,Kevin Puryear Steal.,36,34
18:34,2197,Foul on Ray Crossland.,36,34
18:17,142,Terrence Phillips made Three Point Jumper. Assisted by Kevin Puryear.,36,37
17:55,142,Foul on Russell Woods.,36,37
17:55,2197,Ray Crossland made Free Throw.,37,37
17:55,2197,Ray Crossland made Free Throw.,38,37
17:55,2197,Ray Crossland missed Free Throw.,38,37
17:55,142,Missouri Defensive Rebound.,38,37
17:30,142,Cullen VanLeer made Jumper. Assisted by Terrence Phillips.,38,39
17:15,2197,Muusa Dama missed Jumper.,38,39
17:15,142,Kevin Puryear Defensive Rebound.,38,39
17:05,142,Kevin Puryear missed Three Point Jumper.,38,39
17:05,2197,Demetrius McReynolds Defensive Rebound.,38,39
16:59,2197,Cornell Johnston missed Jumper.,38,39
16:59,142,Cullen VanLeer Defensive Rebound.,38,39
16:47,2197,Foul on Muusa Dama.,38,39
16:47,142,Jordan Barnett missed Free Throw.,38,39
16:47,142,Missouri Deadball Team Rebound.,38,39
16:47,142,Jordan Barnett made Free Throw.,38,40
16:39,2197,Demetrius McReynolds missed Jumper.,38,40
16:39,142,Missouri Defensive Rebound.,38,40
16:26,142,Frankie Hughes Turnover.,38,40
16:26,2197,Montell Goodwin Steal.,38,40
16:20,2197,Patrick Muldoon made Layup. Assisted by Montell Goodwin.,40,40
16:00,142,Cullen VanLeer missed Three Point Jumper.,40,40
16:00,2197,Ray Crossland Defensive Rebound.,40,40
15:50,2197,Montell Goodwin made Jumper.,42,40
15:31,2197,Foul on Patrick Muldoon.,42,40
15:31,142,Official TV Timeout,42,40
15:31,142,Cullen VanLeer made Free Throw.,42,41
15:31,142,Cullen VanLeer made Free Throw.,42,42
15:12,2197,Cornell Johnston missed Three Point Jumper.,42,42
15:12,142,Jordan Barnett Defensive Rebound.,42,42
15:03,142,Frankie Hughes Turnover.,42,42
15:03,2197,Ray Crossland Steal.,42,42
14:56,2197,Casey Teson missed Three Point Jumper.,42,42
14:56,142,Terrence Phillips Defensive Rebound.,42,42
14:47,142,Kevin Puryear made Jumper. Assisted by Terrence Phillips.,42,44
14:22,2197,Patrick Muldoon missed Layup.,42,44
14:22,2197,Muusa Dama Offensive Rebound.,42,44
14:13,2197,Muusa Dama made Dunk.,44,44
14:04,142,Cullen VanLeer missed Jumper.,44,44
14:04,142,Kevin Puryear Offensive Rebound.,44,44
13:52,142,Kevin Puryear missed Jumper.,44,44
13:52,2197,Patrick Muldoon Defensive Rebound.,44,44
13:29,2197,Patrick Muldoon made Jumper. Assisted by Muusa Dama.,46,44
13:06,2197,Foul on Patrick Muldoon.,46,44
13:06,142,Terrence Phillips made Free Throw.,46,45
13:06,142,Terrence Phillips made Free Throw.,46,46
12:57,2197,Montell Goodwin made Jumper.,48,46
12:45,142,Terrence Phillips Turnover.,48,46
12:45,2197,Ray Crossland Steal.,48,46
12:44,142,Foul on Terrence Phillips.,48,46
12:44,2197,Ray Crossland made Free Throw.,49,46
12:44,2197,Ray Crossland made Free Throw.,50,46
12:36,2197,Cornell Johnston made Three Point Jumper.,53,46
12:20,142,Jordan Geist missed Three Point Jumper.,53,46
12:20,2197,Montell Goodwin Defensive Rebound.,53,46
12:08,2197,Cornell Johnston Turnover.,53,46
12:08,142,Reed Nikko Steal.,53,46
11:46,142,K.J. Walton made Layup.,53,48
11:20,2197,Montell Goodwin made Jumper. Assisted by Cornell Johnston.,55,48
11:05,142,Willie Jackson made Layup. Assisted by Jordan Geist.,55,50
10:42,142,Official TV Timeout,55,50
10:38,2197,Montell Goodwin missed Jumper.,55,50
10:38,2197,Ray Crossland Offensive Rebound.,55,50
10:27,142,Foul on K.J. Walton.,55,50
10:20,2197,Muusa Dama missed Jumper.,55,50
10:20,142,Reed Nikko Block.,55,50
10:20,142,Jordan Geist Defensive Rebound.,55,50
10:14,142,Willie Jackson made Layup. Assisted by Jordan Geist.,55,52
10:00,2197,Eastern Illinois  Timeout,55,52
9:52,2197,Ray Crossland Turnover.,55,52
9:52,142,K.J. Walton Steal.,55,52
9:35,142,Willie Jackson missed Jumper.,55,52
9:35,142,Reed Nikko Offensive Rebound.,55,52
9:30,2197,Foul on Montell Goodwin.,55,52
9:30,142,Reed Nikko missed Free Throw.,55,52
9:30,142,Missouri Deadball Team Rebound.,55,52
9:30,142,Reed Nikko missed Free Throw.,55,52
9:30,2197,Eastern Illinois Defensive Rebound.,55,52
9:05,2197,Cornell Johnston missed Jumper.,55,52
9:05,142,Jordan Barnett Defensive Rebound.,55,52
8:56,2197,Foul on Casey Teson.,55,52
8:56,142,K.J. Walton missed Free Throw.,55,52
8:56,142,Missouri Deadball Team Rebound.,55,52
8:56,142,K.J. Walton missed Free Throw.,55,52
8:56,2197,Ray Crossland Defensive Rebound.,55,52
8:31,2197,Jump Ball won by Eastern Illinois,55,52
8:28,2197,Demetrius McReynolds missed Jumper.,55,52
8:28,142,Willie Jackson Defensive Rebound.,55,52
8:10,142,Jordan Geist Turnover.,55,52
8:04,2197,Montell Goodwin missed Jumper.,55,52
8:04,2197,Montell Goodwin Offensive Rebound.,55,52
7:51,2197,Montell Goodwin Turnover.,55,52
7:51,142,Terrence Phillips Steal.,55,52
7:42,142,Official TV Timeout,55,52
7:41,2197,Montell Goodwin Turnover.,55,52
7:41,142,Jordan Barnett Steal.,55,52
7:34,142,Jordan Barnett made Dunk.,55,54
7:00,2197,Casey Teson missed Three Point Jumper.,55,54
7:00,2197,Eastern Illinois Offensive Rebound.,55,54
6:57,142,Foul on Willie Jackson.,55,54
6:44,2197,Cornell Johnston missed Three Point Jumper.,55,54
6:44,142,Jordan Barnett Defensive Rebound.,55,54
6:22,2197,Foul on Cornell Johnston.,55,54
6:22,142,Terrence Phillips made Free Throw.,55,55
6:22,142,Terrence Phillips made Free Throw.,55,56
6:15,2197,Demetrius McReynolds missed Jumper.,55,56
6:15,2197,Demetrius McReynolds Offensive Rebound.,55,56
6:10,2197,Demetrius McReynolds made Three Point Jumper. Assisted by Cornell Johnston.,58,56
5:51,142,Jordan Barnett missed Jumper.,58,56
5:51,142,Willie Jackson Offensive Rebound.,58,56
5:47,142,Willie Jackson made Jumper.,58,58
5:47,2197,Foul on Ray Crossland.,58,58
5:47,142,Willie Jackson made Free Throw.,58,59
5:36,2197,Demetrius McReynolds missed Three Point Jumper.,58,59
5:36,142,Missouri Defensive Rebound.,58,59
5:18,142,Willie Jackson missed Layup.,58,59
5:18,2197,Patrick Muldoon Defensive Rebound.,58,59
5:00,142,Foul on Frankie Hughes.,58,59
4:50,2197,Muusa Dama Turnover.,58,59
4:50,142,Russell Woods Steal.,58,59
4:33,142,Terrence Phillips missed Layup.,58,59
4:33,2197,Muusa Dama Block.,58,59
4:33,142,Missouri Offensive Rebound.,58,59
4:24,142,Terrence Phillips missed Three Point Jumper.,58,59
4:24,142,Willie Jackson Offensive Rebound.,58,59
4:19,142,Willie Jackson made Dunk.,58,61
4:06,2197,Montell Goodwin made Three Point Jumper.,61,61
3:51,142,Russell Woods missed Layup.,61,61
3:51,142,Willie Jackson Offensive Rebound.,61,61
3:44,142,Willie Jackson missed Jumper.,61,61
3:44,2197,Patrick Muldoon Defensive Rebound.,61,61
3:39,2197,Montell Goodwin missed Three Point Jumper.,61,61
3:39,142,Terrence Phillips Defensive Rebound.,61,61
3:34,142,Frankie Hughes made Dunk. Assisted by Jordan Barnett.,61,63
3:15,2197,Demetrius McReynolds made Three Point Jumper. Assisted by Cornell Johnston.,64,63
2:55,142,Jordan Barnett missed Three Point Jumper.,64,63
2:55,2197,Muusa Dama Defensive Rebound.,64,63
2:44,2197,Patrick Muldoon missed Jumper.,64,63
2:44,142,Willie Jackson Block.,64,63
2:44,2197,Eastern Illinois Offensive Rebound.,64,63
2:42,142,Official TV Timeout,64,63
2:24,2197,Cornell Johnston Turnover.,64,63
2:06,142,Frankie Hughes missed Jumper.,64,63
2:06,142,Missouri Offensive Rebound.,64,63
2:03,142,Jump Ball won by Missouri,64,63
1:59,142,Kevin Puryear missed Jumper.,64,63
1:59,2197,Montell Goodwin Defensive Rebound.,64,63
1:42,2197,Montell Goodwin made Three Point Jumper.,67,63
1:30,142,Missouri  Timeout,67,63
1:22,142,Terrence Phillips missed Jumper.,67,63
1:22,2197,Ray Crossland Defensive Rebound.,67,63
0:54,2197,Cornell Johnston missed Layup.,67,63
0:54,142,Willie Jackson Defensive Rebound.,67,63
0:48,2197,Foul on Muusa Dama.,67,63
0:48,142,Terrence Phillips made Free Throw.,67,64
0:48,142,Terrence Phillips missed Free Throw.,67,64
0:48,2197,Ray Crossland Defensive Rebound.,67,64
0:20,2197,Cornell Johnston missed Three Point Jumper.,67,64
0:20,142,Cullen VanLeer Defensive Rebound.,67,64
0:03,142,Terrence Phillips missed Three Point Jumper.,67,64
0:03,2197,Ray Crossland Defensive Rebound.,67,64
0:00,142,End of Game,67,64
