St. Francis (BKN),399,Albany,2597
9:22,2597,Yunus Hopkinson made Layup. Assisted by Rasheem Dunn.,18,18
8:57,399,Joe Cremo missed Jumper.,18,18
8:57,2597,Keon Williams Defensive Rebound.,18,18
8:40,399,Foul on Dallas Ennema.,18,18
8:20,2597,Robert Montgomery missed Jumper.,18,18
8:20,399,Dallas Ennema Defensive Rebound.,18,18
8:14,399,Mike Rowley made Layup. Assisted by David Nichols.,18,20
7:54,2597,Rasheem Dunn Turnover.,18,20
7:53,399,Official TV Timeout,18,20
7:35,399,Joe Cremo Turnover.,18,20
7:34,2597,Yunus Hopkinson Steal.,18,20
7:21,2597,Gianni Ford Turnover.,18,20
7:14,399,Foul on Greig Stire.,18,20
7:14,399,Greig Stire Turnover.,18,20
7:00,2597,Glenn Sanabria made Jumper.,20,20
6:41,399,David Nichols missed Jumper.,20,20
6:41,2597,Robert Montgomery Defensive Rebound.,20,20
6:31,2597,Glenn Sanabria made Three Point Jumper.,23,20
6:02,2597,Foul on Keon Williams.,23,20
6:02,399,Travis Charles made Free Throw.,23,21
6:02,399,Travis Charles made Free Throw.,23,22
5:49,2597,Glenn Sanabria missed Three Point Jumper.,23,22
5:49,399,Albany Defensive Rebound.,23,22
5:37,399,Joe Cremo made Three Point Jumper. Assisted by Mike Rowley.,23,25
5:08,2597,Gianni Ford missed Three Point Jumper.,23,25
5:08,399,Mike Rowley Defensive Rebound.,23,25
4:58,399,David Nichols Turnover.,23,25
4:57,2597,Glenn Sanabria Steal.,23,25
4:46,399,Foul on Marqueese Grayson.,23,25
4:46,2597,Rasheem Dunn missed Free Throw.,23,25
4:46,2597,St. Francis BKN Deadball Team Rebound.,23,25
4:46,2597,Rasheem Dunn made Free Throw.,24,25
4:33,399,Marqueese Grayson missed Three Point Jumper.,24,25
4:33,2597,Darelle Porter Defensive Rebound.,24,25
4:21,2597,Yunus Hopkinson missed Three Point Jumper.,24,25
4:21,2597,St. Francis BKN Offensive Rebound.,24,25
4:20,399,Foul on Travis Charles.,24,25
4:20,2597,Robert Montgomery made Free Throw.,25,25
4:20,2597,Robert Montgomery made Free Throw.,26,25
4:19,399,Mike Rowley Turnover.,26,25
4:18,2597,Yunus Hopkinson Steal.,26,25
4:16,2597,Glenn Sanabria made Three Point Jumper. Assisted by Yunus Hopkinson.,29,25
4:02,399,David Nichols missed Layup.,29,25
4:02,399,David Nichols Offensive Rebound.,29,25
3:59,399,David Nichols missed Jumper.,29,25
3:59,399,Travis Charles Offensive Rebound.,29,25
3:57,399,Travis Charles made Layup.,29,27
3:57,2597,Foul on Darelle Porter.,29,27
3:57,399,Official TV Timeout,29,27
3:57,399,Travis Charles made Free Throw.,29,28
3:47,399,Foul on Travis Charles.,29,28
3:47,2597,Glenn Sanabria missed Free Throw.,29,28
3:47,399,Joe Cremo Defensive Rebound.,29,28
3:31,399,Marqueese Grayson made Layup. Assisted by Dallas Ennema.,29,30
3:15,2597,Jahmel Bodrick made Layup.,31,30
3:00,399,David Nichols Turnover.,31,30
2:59,2597,Darelle Porter Steal.,31,30
2:56,2597,Rasheem Dunn made Layup. Assisted by Darelle Porter.,33,30
2:40,399,David Nichols missed Layup.,33,30
2:40,399,Mike Rowley Offensive Rebound.,33,30
2:38,399,Mike Rowley missed Layup.,33,30
2:38,399,Dallas Ennema Offensive Rebound.,33,30
2:36,2597,Foul on Jahmel Bodrick.,33,30
2:36,399,Dallas Ennema made Free Throw.,33,31
2:36,399,Dallas Ennema made Free Throw.,33,32
2:14,2597,Jahmel Bodrick missed Layup.,33,32
2:14,399,Dallas Ennema Block.,33,32
2:12,399,Dallas Ennema Defensive Rebound.,33,32
2:05,399,Dallas Ennema made Three Point Jumper. Assisted by Joe Cremo.,33,35
2:01,2597,St. Francis BKN  Timeout,33,35
1:35,2597,Rasheem Dunn missed Jumper.,33,35
1:35,399,Dallas Ennema Defensive Rebound.,33,35
1:27,399,Mike Rowley made Layup. Assisted by Dallas Ennema.,33,37
1:27,2597,Foul on Jahmel Bodrick.,33,37
1:27,399,Mike Rowley made Free Throw.,33,38
1:04,2597,Yunus Hopkinson missed Jumper.,33,38
1:04,399,Joe Cremo Defensive Rebound.,33,38
0:51,399,Mike Rowley missed Layup.,33,38
0:51,2597,Robert Montgomery Defensive Rebound.,33,38
0:40,2597,Yunus Hopkinson missed Three Point Jumper.,33,38
0:40,399,Dallas Ennema Defensive Rebound.,33,38
0:32,399,Foul on Joe Cremo.,33,38
0:32,399,Joe Cremo Turnover.,33,38
0:06,2597,Yunus Hopkinson missed Layup.,33,38
0:06,399,Dallas Ennema Block.,33,38
0:04,399,Marqueese Grayson Defensive Rebound.,33,38
0:01,399,Marqueese Grayson missed Three Point Jumper.,33,38
0:01,399,Albany Offensive Rebound.,33,38
0:00,399,End of 1st half,33,38
19:37,2597,Gunnar Olafsson missed Layup.,33,38
19:37,399,Greig Stire Block.,33,38
19:35,399,Dallas Ennema Defensive Rebound.,33,38
19:24,399,Joe Cremo missed Layup.,33,38
19:24,399,Greig Stire Offensive Rebound.,33,38
19:23,2597,Foul on Joshua Nurse.,33,38
19:23,399,Greig Stire made Free Throw.,33,39
19:23,399,Greig Stire made Free Throw.,33,40
19:02,2597,Keon Williams missed Layup.,33,40
19:02,399,Mike Rowley Defensive Rebound.,33,40
18:33,399,Dallas Ennema missed Jumper.,33,40
18:33,399,Albany Offensive Rebound.,33,40
18:17,2597,Foul on Keon Williams.,33,40
17:59,399,Dallas Ennema missed Three Point Jumper.,33,40
17:59,2597,St. Francis BKN Defensive Rebound.,33,40
17:42,2597,Glenn Sanabria missed Three Point Jumper.,33,40
17:42,399,Marqueese Grayson Defensive Rebound.,33,40
17:33,399,Marqueese Grayson missed Layup.,33,40
17:33,2597,Joshua Nurse Block.,33,40
17:33,399,Albany Offensive Rebound.,33,40
17:27,2597,Foul on Joshua Nurse.,33,40
17:19,399,Greig Stire made Layup.,33,42
17:02,2597,Gunnar Olafsson missed Three Point Jumper.,33,42
17:02,399,Greig Stire Defensive Rebound.,33,42
16:45,399,Mike Rowley missed Layup.,33,42
16:45,2597,Gunnar Olafsson Defensive Rebound.,33,42
16:41,399,Foul on Dallas Ennema.,33,42
16:29,2597,Robert Montgomery Turnover.,33,42
16:15,399,Marqueese Grayson made Layup.,33,44
16:00,2597,Yunus Hopkinson missed Three Point Jumper.,33,44
16:00,399,Marqueese Grayson Defensive Rebound.,33,44
15:48,399,Joe Cremo made Three Point Jumper. Assisted by Mike Rowley.,33,47
15:43,2597,St. Francis BKN  Timeout,33,47
15:43,399,Official TV Timeout,33,47
15:30,2597,Yunus Hopkinson Turnover.,33,47
15:29,399,Marqueese Grayson Steal.,33,47
15:13,399,Joe Cremo Turnover.,33,47
15:12,2597,Rasheem Dunn Steal.,33,47
15:09,2597,Rasheem Dunn made Layup.,35,47
14:43,399,Joe Cremo made Three Point Jumper. Assisted by Dallas Ennema.,35,50
14:24,2597,Yunus Hopkinson made Jumper.,37,50
14:02,399,Greig Stire missed Layup.,37,50
14:02,399,Greig Stire Offensive Rebound.,37,50
13:59,399,Greig Stire made Layup.,37,52
13:46,2597,Glenn Sanabria missed Layup.,37,52
13:46,399,Dallas Ennema Defensive Rebound.,37,52
13:34,399,Joe Cremo made Layup.,37,54
13:08,2597,Robert Montgomery made Layup.,39,54
12:37,399,Mike Rowley Turnover.,39,54
12:36,2597,Glenn Sanabria Steal.,39,54
12:32,2597,Rasheem Dunn missed Three Point Jumper.,39,54
12:32,399,Joe Cremo Defensive Rebound.,39,54
12:12,399,Mike Rowley missed Layup.,39,54
12:12,2597,Robert Montgomery Defensive Rebound.,39,54
12:06,2597,Yunus Hopkinson made Three Point Jumper.,42,54
11:37,399,Dallas Ennema missed Three Point Jumper.,42,54
11:37,399,Joe Cremo Offensive Rebound.,42,54
11:30,399,Joe Cremo missed Three Point Jumper.,42,54
11:30,2597,Yunus Hopkinson Defensive Rebound.,42,54
11:26,2597,Rasheem Dunn made Layup. Assisted by Yunus Hopkinson.,44,54
11:16,399,Albany  Timeout,44,54
11:16,399,Official TV Timeout,44,54
10:58,399,Marqueese Grayson made Layup. Assisted by Mike Rowley.,44,56
10:44,2597,Glenn Sanabria missed Three Point Jumper.,44,56
10:44,399,Albany Defensive Rebound.,44,56
10:41,399,Official TV Timeout,44,56
10:30,399,David Nichols made Jumper. Assisted by Joe Cremo.,44,58
10:15,2597,Jahmel Bodrick made Layup. Assisted by Rasheem Dunn.,46,58
9:59,399,Travis Charles made Layup. Assisted by Mike Rowley.,46,60
9:59,2597,Foul on Gunnar Olafsson.,46,60
9:59,399,Travis Charles missed Free Throw.,46,60
9:59,399,Mike Rowley Offensive Rebound.,46,60
9:58,399,Mike Rowley made Layup.,46,62
9:40,399,Foul on David Nichols.,46,62
9:37,2597,Glenn Sanabria missed Jumper.,46,62
9:37,399,Marqueese Grayson Defensive Rebound.,46,62
9:21,399,David Nichols missed Layup.,46,62
9:21,2597,Darelle Porter Block.,46,62
9:21,399,Albany Offensive Rebound.,46,62
9:12,399,Marqueese Grayson missed Layup.,46,62
9:12,399,Albany Offensive Rebound.,46,62
9:10,399,David Nichols made Three Point Jumper. Assisted by Mike Rowley.,46,65
8:52,2597,Keon Williams missed Layup.,46,65
8:52,2597,Jahmel Bodrick Offensive Rebound.,46,65
8:51,2597,Jahmel Bodrick made Layup.,48,65
8:33,399,David Nichols made Jumper.,48,67
8:10,2597,Yunus Hopkinson missed Three Point Jumper.,48,67
8:10,399,Marqueese Grayson Defensive Rebound.,48,67
8:01,2597,Foul on Jahmel Bodrick.,48,67
7:56,399,David Nichols missed Three Point Jumper.,48,67
7:56,2597,Keon Williams Defensive Rebound.,48,67
7:32,2597,Foul on Robert Montgomery.,48,67
7:32,399,Foul on Greig Stire.,48,67
7:32,399,Official TV Timeout,48,67
7:23,2597,Glenn Sanabria missed Jumper.,48,67
7:23,399,David Nichols Defensive Rebound.,48,67
7:16,399,David Nichols made Layup.,48,69
7:08,399,Foul on Greig Stire.,48,69
7:05,2597,Foul on Robert Montgomery.,48,69
7:05,2597,Robert Montgomery Turnover.,48,69
6:50,399,Dallas Ennema missed Three Point Jumper.,48,69
6:50,399,Travis Charles Offensive Rebound.,48,69
6:47,2597,Foul on Darelle Porter.,48,69
6:47,399,Travis Charles made Free Throw.,48,70
6:47,399,Travis Charles made Free Throw.,48,71
6:31,2597,Keon Williams missed Three Point Jumper.,48,71
6:31,399,Mike Rowley Defensive Rebound.,48,71
6:26,399,Mike Rowley Turnover.,48,71
6:26,2597,Keon Williams Steal.,48,71
6:24,2597,Keon Williams missed Layup.,48,71
6:24,2597,St. Francis BKN Offensive Rebound.,48,71
6:24,399,Foul on Mike Rowley.,48,71
6:14,2597,Rasheem Dunn Turnover.,48,71
6:14,2597,St. Francis BKN  Timeout,48,71
6:11,399,Joe Cremo made Layup. Assisted by Dallas Ennema.,48,73
6:03,2597,Yunus Hopkinson Turnover.,48,73
5:46,399,Travis Charles made Layup.,48,75
5:44,2597,Foul on Robert Montgomery.,48,75
5:44,399,Travis Charles missed Free Throw.,48,75
5:44,2597,Darelle Porter Defensive Rebound.,48,75
5:18,2597,Rasheem Dunn made Jumper.,50,75
4:47,399,David Nichols missed Layup.,50,75
4:47,399,Travis Charles Offensive Rebound.,50,75
4:46,2597,Foul on Sam Harris.,50,75
4:46,399,Travis Charles made Free Throw.,50,76
4:46,399,Travis Charles made Free Throw.,50,77
4:31,2597,Jagos Lasic missed Layup.,50,77
4:31,2597,Gianni Ford Offensive Rebound.,50,77
4:28,2597,Gianni Ford made Jumper.,52,77
3:56,399,Travis Charles missed Jumper.,52,77
3:56,2597,Jagos Lasic Defensive Rebound.,52,77
3:43,399,Foul on Terrel Martin-Garcia.,52,77
3:43,399,Official TV Timeout,52,77
3:37,2597,Rasheem Dunn missed Jumper.,52,77
3:37,399,Costa Anderson Defensive Rebound.,52,77
3:31,399,David Nichols missed Layup.,52,77
3:31,2597,Darelle Porter Block.,52,77
3:29,2597,Darelle Porter Defensive Rebound.,52,77
3:25,2597,Keon Williams made Layup. Assisted by Rasheem Dunn.,54,77
3:09,399,Albany  Timeout,54,77
2:54,399,Marqueese Grayson missed Three Point Jumper.,54,77
2:54,2597,Gunnar Olafsson Defensive Rebound.,54,77
2:51,399,Foul on Terrel Martin-Garcia.,54,77
2:51,2597,Gunnar Olafsson made Free Throw.,55,77
2:51,2597,Gunnar Olafsson missed Free Throw.,55,77
2:51,2597,St. Francis BKN Deadball Team Rebound.,55,77
2:26,399,Costa Anderson made Layup.,55,79
1:57,2597,Jagos Lasic missed Layup.,55,79
1:57,399,Costa Anderson Defensive Rebound.,55,79
1:46,399,Terrel Martin-Garcia missed Layup.,55,79
1:46,2597,Keon Williams Block.,55,79
1:45,399,Greig Stire Offensive Rebound.,55,79
1:42,399,Greig Stire missed Layup.,55,79
1:42,399,Greig Stire Offensive Rebound.,55,79
1:41,2597,Foul on Jagos Lasic.,55,79
1:41,399,Greig Stire made Free Throw.,55,80
1:41,399,Greig Stire made Free Throw.,55,81
1:27,2597,Joshua Nurse made Dunk. Assisted by Gianni Ford.,57,81
1:27,399,Foul on Greig Stire.,57,81
1:25,2597,Joshua Nurse made Free Throw.,58,81
1:14,399,Costa Anderson made Three Point Jumper. Assisted by David Nichols.,58,84
1:06,399,Foul on David Nichols.,58,84
1:06,2597,Rasheem Dunn missed Free Throw.,58,84
1:06,2597,St. Francis BKN Deadball Team Rebound.,58,84
1:06,2597,Rasheem Dunn made Free Throw.,59,84
0:41,399,David Nichols made Layup. Assisted by Marqueese Grayson.,59,86
0:41,2597,Foul on Keon Williams.,59,86
0:41,399,David Nichols made Free Throw.,59,87
0:29,399,Foul on Terrel Martin-Garcia.,59,87
0:29,2597,Joshua Nurse missed Free Throw.,59,87
0:29,2597,St. Francis BKN Deadball Team Rebound.,59,87
0:29,2597,Joshua Nurse made Free Throw.,60,87
0:00,399,End of Game,60,87
