Northern Arizona,2638,UTEP,2464
7:29,2638,Dominic Artis missed Three Point Jumper.,17,22
7:29,2464,JoJo Anderson Defensive Rebound.,17,22
7:09,2464,Marcus DeBerry made Jumper.,19,22
6:43,2638,Official TV Timeout,19,22
6:37,2638,Omega Harris Turnover.,19,22
6:21,2464,Ako Kaluna missed Jumper.,19,22
6:21,2464,JoJo Anderson Offensive Rebound.,19,22
6:15,2464,Mike Green missed Three Point Jumper.,19,22
6:15,2464,Ako Kaluna Offensive Rebound.,19,22
6:08,2464,JoJo Anderson made Three Point Jumper. Assisted by Ako Kaluna.,22,22
5:42,2638,Deon Barrett missed Jumper.,22,22
5:42,2464,Jordyn Martin Defensive Rebound.,22,22
5:27,2464,Jordyn Martin made Jumper. Assisted by Ako Kaluna.,24,22
5:27,2638,Foul on Dominic Artis.,24,22
5:27,2464,Jordyn Martin made Free Throw.,25,22
5:07,2638,Omega Harris Turnover.,25,22
4:54,2464,Jordyn Martin Turnover.,25,22
4:52,2638,Paul Thomas Steal.,25,22
4:40,2638,Dominic Artis Turnover.,25,22
4:28,2464,Jordyn Martin made Layup. Assisted by Marcus DeBerry.,27,22
4:05,2638,Matt Willms made Jumper. Assisted by Trey Touchet.,27,24
3:56,2464,Jordyn Martin missed Layup.,27,24
3:56,2638,Matt Willms Defensive Rebound.,27,24
3:35,2638,Paul Thomas missed Jumper.,27,24
3:35,2464,Marcus DeBerry Defensive Rebound.,27,24
3:16,2464,JoJo Anderson Turnover.,27,24
3:16,2638,Official TV Timeout,27,24
2:57,2464,Foul on Jordyn Martin.,27,24
2:57,2638,Dominic Artis made Free Throw.,27,25
2:57,2638,Dominic Artis made Free Throw.,27,26
2:45,2464,Mike Green missed Layup.,27,26
2:45,2638,Matt Willms Defensive Rebound.,27,26
2:32,2638,Ivan Venegas Turnover.,27,26
2:18,2464,JoJo Anderson made Jumper.,29,26
1:57,2638,Deon Barrett missed Three Point Jumper.,29,26
1:57,2464,JoJo Anderson Defensive Rebound.,29,26
1:36,2464,Aziz Seck missed Jumper.,29,26
1:36,2638,Matt Willms Defensive Rebound.,29,26
1:27,2464,Foul on Aziz Seck.,29,26
1:27,2638,Dominic Artis made Free Throw.,29,27
1:27,2638,Dominic Artis missed Free Throw.,29,27
1:27,2464,Marcus DeBerry Defensive Rebound.,29,27
1:03,2464,Mike Green made Layup.,31,27
0:54,2638,Matt Willms made Layup. Assisted by Dominic Artis.,31,29
0:39,2464,Mike Green made Three Point Jumper. Assisted by Marcus DeBerry.,34,29
0:25,2638,Dominic Artis missed Three Point Jumper.,34,29
0:25,2464,Marcus DeBerry Defensive Rebound.,34,29
0:07,2464,Felix Rivera-Vega Turnover.,34,29
0:06,2638,Dominic Artis Steal.,34,29
0:02,2638,Omega Harris missed Three Point Jumper.,34,29
0:02,2464,Felix Rivera-Vega Defensive Rebound.,34,29
0:00,2638,End of 1st half,34,29
19:48,2638,Foul on Dominic Artis.,34,29
19:46,2464,JoJo Anderson Turnover.,34,29
19:45,2638,Matt Willms Steal.,34,29
19:40,2638,Dominic Artis made Layup.,34,31
19:23,2464,Jordyn Martin made Jumper. Assisted by JoJo Anderson.,36,31
19:03,2638,Trey Touchet missed Three Point Jumper.,36,31
19:03,2464,Jordyn Martin Defensive Rebound.,36,31
18:36,2464,Marcus DeBerry made Jumper.,38,31
18:19,2638,Omega Harris made Jumper.,38,33
18:05,2464,JoJo Anderson Turnover.,38,33
17:55,2638,Jake Flaggert made Three Point Jumper. Assisted by Dominic Artis.,38,36
17:39,2464,Mike Green made Jumper.,40,36
17:26,2638,Dominic Artis missed Three Point Jumper.,40,36
17:26,2638,Kelvin Jones Offensive Rebound.,40,36
17:21,2464,Foul on Ako Kaluna.,40,36
17:14,2638,Omega Harris missed Three Point Jumper.,40,36
17:14,2638,Kelvin Jones Offensive Rebound.,40,36
17:10,2638,Trey Touchet missed Three Point Jumper.,40,36
17:10,2464,Northern Arizona Defensive Rebound.,40,36
16:53,2464,Corey Brown missed Jumper.,40,36
16:53,2638,Kelvin Jones Defensive Rebound.,40,36
16:42,2638,Kelvin Jones made Dunk. Assisted by Dominic Artis.,40,38
16:30,2638,Foul on Omega Harris.,40,38
16:22,2464,Marcus DeBerry missed Jumper.,40,38
16:22,2638,Kelvin Jones Block.,40,38
16:20,2638,Kelvin Jones Defensive Rebound.,40,38
16:16,2638,Omega Harris made Layup. Assisted by Kelvin Jones.,40,40
16:01,2464,Jordyn Martin Turnover.,40,40
16:01,2464,Foul on Jordyn Martin.,40,40
15:48,2638,UTEP  Timeout,40,40
15:48,2638,Omega Harris made Three Point Jumper. Assisted by Dominic Artis.,40,43
15:27,2464,Ako Kaluna made Jumper. Assisted by Jaleni Neely.,42,43
15:27,2638,Foul on Kelvin Jones.,42,43
15:27,2638,Official TV Timeout,42,43
15:27,2464,Ako Kaluna made Free Throw.,43,43
15:12,2638,Omega Harris missed Jumper.,43,43
15:12,2464,Corey Brown Defensive Rebound.,43,43
14:52,2464,Marcus DeBerry missed Three Point Jumper.,43,43
14:52,2638,Omega Harris Defensive Rebound.,43,43
14:41,2464,Foul on Corey Brown.,43,43
14:33,2638,Jake Flaggert missed Three Point Jumper.,43,43
14:33,2638,Trey Touchet Offensive Rebound.,43,43
14:16,2638,Kelvin Jones made Dunk. Assisted by Trey Touchet.,43,45
13:56,2464,Aziz Seck made Dunk. Assisted by Ako Kaluna.,45,45
13:56,2638,Foul on Kelvin Jones.,45,45
13:56,2464,Aziz Seck made Free Throw.,46,45
13:41,2464,Foul on Ako Kaluna.,46,45
13:34,2638,Trey Touchet missed Three Point Jumper.,46,45
13:34,2464,Aziz Seck Defensive Rebound.,46,45
13:02,2464,Jaleni Neely made Three Point Jumper. Assisted by JoJo Anderson.,49,45
12:40,2638,Omega Harris made Three Point Jumper. Assisted by Dominic Artis.,49,48
12:21,2464,Brooks DeBisschop Turnover.,49,48
12:00,2464,Foul on Ako Kaluna.,49,48
12:00,2638,Omega Harris made Free Throw.,49,49
12:00,2638,Omega Harris made Free Throw.,49,50
11:48,2464,Marcus DeBerry made Three Point Jumper. Assisted by Jaleni Neely.,52,50
11:28,2638,Deon Barrett missed Three Point Jumper.,52,50
11:28,2464,Marcus DeBerry Defensive Rebound.,52,50
11:11,2464,Marcus DeBerry missed Three Point Jumper.,52,50
11:11,2638,Matt Willms Defensive Rebound.,52,50
10:55,2638,Matt Willms made Layup. Assisted by Dominic Artis.,52,52
10:35,2638,Foul on Jake Flaggert.,52,52
10:35,2638,Official TV Timeout,52,52
10:21,2464,Jordyn Martin made Jumper. Assisted by Mike Green.,54,52
9:59,2638,Jake Flaggert made Three Point Jumper. Assisted by Dominic Artis.,54,55
9:58,2638,UTEP  Timeout,54,55
9:37,2464,Mike Green made Layup.,56,55
9:20,2638,Deon Barrett Turnover.,56,55
9:07,2464,Marcus DeBerry made Three Point Jumper. Assisted by Mike Green.,59,55
8:53,2638,Omega Harris missed Three Point Jumper.,59,55
8:53,2464,Mike Green Defensive Rebound.,59,55
8:40,2464,Mike Green Turnover.,59,55
8:32,2638,Deon Barrett made Layup.,59,57
8:10,2464,JoJo Anderson missed Three Point Jumper.,59,57
8:10,2464,Jordyn Martin Offensive Rebound.,59,57
8:09,2638,Foul on Dominic Artis.,59,57
7:42,2464,Aziz Seck made Jumper. Assisted by JoJo Anderson.,61,57
7:13,2638,Kelvin Jones Turnover.,61,57
7:10,2464,Aziz Seck Steal.,61,57
7:00,2464,Marcus DeBerry missed Jumper.,61,57
7:00,2464,Jordyn Martin Offensive Rebound.,61,57
6:57,2464,Marcus DeBerry made Three Point Jumper. Assisted by Jordyn Martin.,64,57
6:34,2464,Foul on Aziz Seck.,64,57
6:34,2638,Official TV Timeout,64,57
6:18,2638,Jake Flaggert made Three Point Jumper. Assisted by Trey Touchet.,64,60
5:54,2464,Brooks DeBisschop made Jumper. Assisted by Mike Green.,66,60
5:40,2638,Deon Barrett missed Three Point Jumper.,66,60
5:40,2638,Trey Touchet Offensive Rebound.,66,60
5:31,2464,Foul on JoJo Anderson.,66,60
5:31,2638,Trey Touchet made Free Throw.,66,61
5:31,2638,Trey Touchet made Free Throw.,66,62
5:13,2638,Foul on Kelvin Jones.,66,62
5:13,2638,Technical Foul on Kelvin Jones.,66,62
5:13,2464,Mike Green made Free Throw.,67,62
5:13,2464,Mike Green made Free Throw.,68,62
5:13,2464,Ako Kaluna made Free Throw.,69,62
5:13,2464,Ako Kaluna missed Free Throw.,69,62
5:13,2638,Dominic Artis Defensive Rebound.,69,62
5:04,2464,Foul on Jaleni Neely.,69,62
5:04,2638,Dominic Artis made Free Throw.,69,63
5:04,2638,Dominic Artis made Free Throw.,69,64
4:38,2464,Mike Green Turnover.,69,64
4:38,2464,Foul on Mike Green.,69,64
4:16,2638,Dominic Artis missed Jumper.,69,64
4:16,2464,Ako Kaluna Defensive Rebound.,69,64
3:52,2464,Ako Kaluna missed Three Point Jumper.,69,64
3:52,2638,Dominic Artis Defensive Rebound.,69,64
3:48,2638,Matt Willms Turnover.,69,64
3:46,2464,Ako Kaluna Steal.,69,64
3:29,2464,Jordyn Martin missed Jumper.,69,64
3:29,2464,Jordyn Martin Offensive Rebound.,69,64
3:16,2464,Jordyn Martin made Jumper.,71,64
3:16,2638,Foul on Jake Flaggert.,71,64
3:16,2638,Official TV Timeout,71,64
3:16,2464,Jordyn Martin made Free Throw.,72,64
3:05,2638,Matt Willms made Dunk. Assisted by Dominic Artis.,72,66
2:33,2464,Marcus DeBerry Turnover.,72,66
2:32,2638,Omega Harris Steal.,72,66
2:25,2638,Omega Harris made Three Point Jumper. Assisted by Deon Barrett.,72,69
2:10,2464,Ako Kaluna made Dunk. Assisted by Jaleni Neely.,74,69
2:09,2464,Northern Arizona  Timeout,74,69
1:45,2638,Dominic Artis missed Jumper.,74,69
1:45,2464,Marcus DeBerry Defensive Rebound.,74,69
1:18,2464,Mike Green Turnover.,74,69
1:17,2638,Dominic Artis Steal.,74,69
1:14,2638,Omega Harris made Layup. Assisted by Dominic Artis.,74,71
0:57,2464,Mike Green missed Layup.,74,71
0:57,2464,Jordyn Martin Offensive Rebound.,74,71
0:32,2464,Jaleni Neely missed Jumper.,74,71
0:32,2464,Jordyn Martin Offensive Rebound.,74,71
0:30,2464,Jordyn Martin missed Jumper.,74,71
0:30,2638,Matt Willms Block.,74,71
0:30,2464,Jordyn Martin Offensive Rebound.,74,71
0:30,2464,Jordyn Martin Turnover.,74,71
0:25,2638,UTEP  Timeout,74,71
0:17,2638,Omega Harris missed Three Point Jumper.,74,71
0:17,2464,Aziz Seck Defensive Rebound.,74,71
0:14,2638,Foul on Deon Barrett.,74,71
0:14,2464,Aziz Seck made Free Throw.,75,71
0:14,2464,Aziz Seck missed Free Throw.,75,71
0:14,2638,Jake Flaggert Defensive Rebound.,75,71
0:07,2638,Omega Harris missed Layup.,75,71
0:07,2464,Ako Kaluna Defensive Rebound.,75,71
0:04,2638,Foul on Omega Harris.,75,71
0:04,2464,Jaleni Neely missed Free Throw.,75,71
0:04,2464,Northern Arizona Deadball Team Rebound.,75,71
0:04,2464,Jaleni Neely made Free Throw.,76,71
0:01,2638,Deon Barrett made Three Point Jumper. Assisted by Dominic Artis.,76,74
0:00,2638,End of Game,76,74
