Western Illinois,270,Milwaukee,2710
14:08,2710,Mike Miklusak Defensive Rebound.,7,2
13:52,2710,Jabari Sandifer made Three Point Jumper. Assisted by Mike Miklusak.,10,2
13:32,270,Cody Wichmann made Layup. Assisted by Bryce Barnes.,10,4
13:11,2710,Chris Snyder made Layup. Assisted by Jabari Sandifer.,12,4
12:58,270,Jeremy Johnson missed Layup.,12,4
12:58,270,Dan Studer Offensive Rebound.,12,4
12:57,2710,Foul on Chris Snyder.,12,4
12:57,270,Dan Studer missed Free Throw.,12,4
12:57,270,Milwaukee Deadball Team Rebound.,12,4
12:57,270,Dan Studer made Free Throw.,12,5
12:38,2710,C.J. Duff made Three Point Jumper. Assisted by Jabari Sandifer.,15,5
12:19,270,Dan Studer missed Jumper.,15,5
12:19,2710,Western Illinois Defensive Rebound.,15,5
12:02,2710,Brandon Gilbeck missed Jumper.,15,5
12:02,270,Bryce Barnes Defensive Rebound.,15,5
11:56,270,Jeremiah Bell missed Three Point Jumper.,15,5
11:56,2710,Mike Miklusak Defensive Rebound.,15,5
11:35,270,Official TV Timeout,15,5
11:29,2710,Garret Covington made Jumper. Assisted by Jabari Sandifer.,17,5
11:16,270,Bryce Barnes missed Three Point Jumper.,17,5
11:16,2710,Western Illinois Defensive Rebound.,17,5
10:41,2710,Garret Covington missed Jumper.,17,5
10:41,270,Bryce Nze Defensive Rebound.,17,5
10:27,2710,Foul on Jabari Sandifer.,17,5
10:10,270,August Haas Turnover.,17,5
10:09,2710,Garret Covington Steal.,17,5
9:44,2710,Delo Bruster missed Jumper.,17,5
9:44,270,Cody Wichmann Defensive Rebound.,17,5
9:27,270,Cody Wichmann missed Three Point Jumper.,17,5
9:27,2710,Garret Covington Defensive Rebound.,17,5
9:04,270,Foul on August Haas.,17,5
9:04,2710,Mike Miklusak missed Free Throw.,17,5
9:04,2710,Western Illinois Deadball Team Rebound.,17,5
9:04,2710,Mike Miklusak made Free Throw.,18,5
8:41,270,Bryce Nze missed Layup.,18,5
8:41,2710,Mike Miklusak Defensive Rebound.,18,5
8:14,2710,C.J. Duff made Three Point Jumper. Assisted by Delo Bruster.,21,5
7:59,2710,Foul on Delo Bruster.,21,5
7:55,270,Jeremiah Bell made Jumper.,21,7
7:39,2710,Mike Miklusak missed Three Point Jumper.,21,7
7:39,270,August Haas Defensive Rebound.,21,7
7:33,270,August Haas Turnover.,21,7
7:28,2710,Foul on Mike Miklusak.,21,7
7:28,2710,Mike Miklusak Turnover.,21,7
7:28,270,Official TV Timeout,21,7
7:14,270,Bryce Barnes Turnover.,21,7
7:13,2710,Delo Bruster Steal.,21,7
7:06,2710,Mike Miklusak missed Three Point Jumper.,21,7
7:06,270,Cody Wichmann Defensive Rebound.,21,7
6:57,270,Cody Wichmann made Three Point Jumper.,21,10
6:51,2710,Western Illinois  Timeout,21,10
6:42,270,Foul on Cameron Harvey.,21,10
6:32,2710,Garret Covington made Layup.,23,10
6:09,270,Dan Studer missed Layup.,23,10
6:09,2710,Mike Miklusak Block.,23,10
6:08,270,Milwaukee Offensive Rebound.,23,10
5:59,270,Bryce Barnes made Three Point Jumper. Assisted by Jeremy Johnson.,23,13
5:34,2710,C.J. Duff made Three Point Jumper. Assisted by Delo Bruster.,26,13
5:18,270,Jeremy Johnson missed Jumper.,26,13
5:18,2710,Brandon Gilbeck Defensive Rebound.,26,13
4:50,2710,Delo Bruster made Three Point Jumper. Assisted by Garret Covington.,29,13
4:40,270,Cody Wichmann made Three Point Jumper. Assisted by Bryce Barnes.,29,16
4:14,2710,Delo Bruster made Three Point Jumper. Assisted by Garret Covington.,32,16
4:01,2710,Foul on C.J. Duff.,32,16
4:01,270,Jeremiah Bell missed Free Throw.,32,16
4:01,270,Cody Wichmann Offensive Rebound.,32,16
3:50,270,Jeremiah Bell made Layup.,32,18
3:29,2710,Delo Bruster made Layup.,34,18
3:23,270,Official TV Timeout,34,18
3:11,270,Brock Stull missed Three Point Jumper.,34,18
3:11,2710,Brandon Gilbeck Defensive Rebound.,34,18
2:44,2710,Mike Miklusak missed Layup.,34,18
2:44,270,Bryce Nze Block.,34,18
2:42,2710,Brandon Gilbeck Offensive Rebound.,34,18
2:40,2710,Brandon Gilbeck made Dunk.,36,18
2:29,2710,Foul on Brandon Gilbeck.,36,18
2:29,270,August Haas made Free Throw.,36,19
2:29,270,August Haas made Free Throw.,36,20
2:25,2710,Delo Bruster Turnover.,36,20
2:24,270,Brock Stull Steal.,36,20
2:22,270,Brock Stull made Layup.,36,22
1:57,2710,C.J. Duff missed Three Point Jumper.,36,22
1:57,270,Cody Wichmann Defensive Rebound.,36,22
1:48,270,Bryce Nze Turnover.,36,22
1:47,2710,Garret Covington Steal.,36,22
1:45,2710,Delo Bruster missed Jumper.,36,22
1:45,2710,C.J. Duff Offensive Rebound.,36,22
1:40,2710,C.J. Duff made Two Point Tip Shot.,38,22
1:39,270,Milwaukee  Timeout,38,22
1:27,270,Cody Wichmann made Three Point Jumper. Assisted by Bryce Nze.,38,25
1:06,2710,Brandon Gilbeck made Dunk. Assisted by Garret Covington.,40,25
0:48,270,Brock Stull missed Layup.,40,25
0:48,2710,C.J. Duff Defensive Rebound.,40,25
0:32,2710,Brandon Gilbeck made Layup. Assisted by Delo Bruster.,42,25
0:18,270,Foul on Cody Wichmann.,42,25
0:18,270,Cody Wichmann Turnover.,42,25
0:06,2710,Mike Miklusak made Layup. Assisted by Delo Bruster.,44,25
0:00,270,End of 1st half,44,25
19:35,2710,Jabari Sandifer missed Layup.,44,25
19:35,270,Cameron Harvey Defensive Rebound.,44,25
19:03,2710,Brandon Gilbeck missed Layup.,44,25
19:03,270,Brock Stull Defensive Rebound.,44,25
18:38,2710,Foul on Mike Miklusak.,44,25
18:37,270,Cody Wichmann made Jumper. Assisted by August Haas.,44,27
18:12,2710,Mike Miklusak missed Three Point Jumper.,44,27
18:12,2710,Brandon Gilbeck Offensive Rebound.,44,27
18:08,2710,Jabari Sandifer Turnover.,44,27
18:01,270,August Haas Turnover.,44,27
17:39,2710,C.J. Duff missed Three Point Jumper.,44,27
17:39,270,Bryce Nze Defensive Rebound.,44,27
17:25,270,Brock Stull missed Layup.,44,27
17:25,2710,Brandon Gilbeck Block.,44,27
17:23,2710,Garret Covington Defensive Rebound.,44,27
17:09,2710,Garret Covington made Three Point Jumper. Assisted by C.J. Duff.,47,27
16:44,270,Foul on Cameron Harvey.,47,27
16:44,270,Cameron Harvey Turnover.,47,27
16:38,270,Foul on Bryce Nze.,47,27
16:38,2710,Mike Miklusak made Free Throw.,48,27
16:38,2710,Mike Miklusak missed Free Throw.,48,27
16:38,2710,Brandon Gilbeck Offensive Rebound.,48,27
16:28,270,Foul on Cameron Harvey.,48,27
16:25,2710,Garret Covington Turnover.,48,27
16:25,270,Cody Wichmann Steal.,48,27
16:08,270,Jeremiah Bell made Layup.,48,29
15:50,2710,Garret Covington made Three Point Jumper. Assisted by Jabari Sandifer.,51,29
15:26,270,Cameron Harvey missed Three Point Jumper.,51,29
15:26,2710,Brandon Gilbeck Defensive Rebound.,51,29
14:59,2710,Brandon Gilbeck missed Layup.,51,29
14:59,270,Bryce Barnes Defensive Rebound.,51,29
14:54,270,August Haas made Three Point Jumper. Assisted by Bryce Barnes.,51,32
14:51,270,Official TV Timeout,51,32
14:44,2710,Garret Covington missed Layup.,51,32
14:44,270,Bryce Barnes Defensive Rebound.,51,32
14:24,270,Jeremiah Bell missed Layup.,51,32
14:24,2710,Brandon Gilbeck Block.,51,32
14:22,2710,C.J. Duff Defensive Rebound.,51,32
14:01,270,Foul on Cody Wichmann.,51,32
14:01,2710,Foul on Brandon Gilbeck.,51,32
13:56,2710,Mike Miklusak made Jumper.,53,32
13:38,270,Jeremy Johnson made Three Point Jumper. Assisted by Jeremiah Bell.,53,35
13:10,2710,Jabari Sandifer Turnover.,53,35
13:10,270,Bryce Barnes Steal.,53,35
13:10,2710,Foul on Jabari Sandifer.,53,35
12:58,270,Jeremy Johnson missed Layup.,53,35
12:58,2710,Delo Bruster Defensive Rebound.,53,35
12:31,2710,Mike Miklusak missed Three Point Jumper.,53,35
12:31,270,August Haas Defensive Rebound.,53,35
12:14,2710,Foul on C.J. Duff.,53,35
12:13,270,Bryce Barnes made Free Throw.,53,36
12:13,270,Bryce Barnes missed Free Throw.,53,36
12:13,2710,Mike Miklusak Defensive Rebound.,53,36
11:54,2710,Brandon Gilbeck made Jumper.,55,36
11:40,270,Jeremiah Bell made Jumper.,55,38
11:24,2710,Garret Covington made Three Point Jumper.,58,38
11:02,2710,Foul on Garret Covington.,58,38
11:02,270,Official TV Timeout,58,38
10:54,270,Cameron Harvey missed Jumper.,58,38
10:54,2710,C.J. Duff Defensive Rebound.,58,38
10:36,2710,Mike Miklusak made Layup. Assisted by Delo Bruster.,60,38
10:09,270,Cameron Harvey missed Layup.,60,38
10:09,2710,Brandon Gilbeck Block.,60,38
10:08,2710,Mike Miklusak Defensive Rebound.,60,38
9:58,2710,Foul on Brandon Gilbeck.,60,38
9:58,2710,Brandon Gilbeck Turnover.,60,38
9:38,270,August Haas missed Layup.,60,38
9:38,2710,Mike Miklusak Defensive Rebound.,60,38
9:16,2710,C.J. Duff missed Three Point Jumper.,60,38
9:16,270,Brock Stull Defensive Rebound.,60,38
9:07,270,Cody Wichmann made Three Point Jumper. Assisted by August Haas.,60,41
8:38,2710,Garret Covington Turnover.,60,41
8:37,270,Bryce Barnes Steal.,60,41
8:37,2710,Foul on C.J. Duff.,60,41
8:37,270,Bryce Barnes made Free Throw.,60,42
8:37,270,Bryce Barnes missed Free Throw.,60,42
8:37,2710,Mike Miklusak Defensive Rebound.,60,42
8:19,270,Foul on August Haas.,60,42
8:11,2710,Brandon Gilbeck made Jumper. Assisted by Mike Miklusak.,62,42
7:55,270,Bryce Barnes missed Layup.,62,42
7:55,270,Milwaukee Offensive Rebound.,62,42
7:55,270,Official TV Timeout,62,42
7:53,2710,Foul on C.J. Duff.,62,42
7:53,270,August Haas made Free Throw.,62,43
7:53,270,August Haas made Free Throw.,62,44
7:38,270,Foul on Bryce Barnes.,62,44
7:27,2710,Mike Miklusak missed Layup.,62,44
7:27,2710,Brandon Gilbeck Offensive Rebound.,62,44
7:27,270,Foul on Bryce Barnes.,62,44
7:27,2710,Brandon Gilbeck missed Free Throw.,62,44
7:27,2710,Western Illinois Deadball Team Rebound.,62,44
7:27,2710,Brandon Gilbeck made Free Throw.,63,44
7:04,270,August Haas Turnover.,63,44
7:02,2710,Garret Covington Steal.,63,44
6:45,2710,Garret Covington missed Layup.,63,44
6:45,270,Jeremiah Bell Defensive Rebound.,63,44
6:38,270,August Haas missed Layup.,63,44
6:38,2710,Mike Miklusak Block.,63,44
6:36,2710,Mike Miklusak Defensive Rebound.,63,44
6:18,2710,Jabari Sandifer missed Three Point Jumper.,63,44
6:18,270,August Haas Defensive Rebound.,63,44
6:16,2710,Foul on Brandon Gilbeck.,63,44
6:13,270,August Haas missed Free Throw.,63,44
6:13,2710,Brandon Gilbeck Defensive Rebound.,63,44
5:57,270,Foul on Bryce Barnes.,63,44
5:57,2710,Delo Bruster missed Free Throw.,63,44
5:57,2710,Western Illinois Deadball Team Rebound.,63,44
5:57,2710,Delo Bruster made Free Throw.,64,44
5:44,270,Cody Wichmann missed Three Point Jumper.,64,44
5:44,2710,Jabari Sandifer Defensive Rebound.,64,44
5:13,2710,Delo Bruster made Layup.,66,44
5:06,2710,Foul on Delo Bruster.,66,44
5:06,270,Bryce Barnes missed Free Throw.,66,44
5:06,270,Milwaukee Deadball Team Rebound.,66,44
5:06,270,Bryce Barnes made Free Throw.,66,45
5:01,270,Foul on Bryce Nze.,66,45
5:01,2710,Brandon Gilbeck made Free Throw.,67,45
5:01,2710,Brandon Gilbeck made Free Throw.,68,45
4:49,2710,Foul on Mike Miklusak.,68,45
4:49,270,Jeremiah Bell made Free Throw.,68,46
4:49,270,Jeremiah Bell missed Free Throw.,68,46
4:49,2710,Mike Miklusak Defensive Rebound.,68,46
4:18,2710,Western Illinois  Turnover.,68,46
4:18,270,Milwaukee  Timeout,68,46
4:02,270,Jeremy Johnson missed Three Point Jumper.,68,46
4:02,270,Jeremiah Bell Offensive Rebound.,68,46
3:58,270,Jeremiah Bell made Layup.,68,48
3:28,2710,Mike Miklusak missed Jumper.,68,48
3:28,270,Jeremiah Bell Defensive Rebound.,68,48
3:22,270,Cody Wichmann made Three Point Jumper. Assisted by Jeremiah Bell.,68,51
2:50,270,Official TV Timeout,68,51
2:49,2710,Western Illinois  Turnover.,68,51
2:39,270,Jeremiah Bell made Layup.,68,53
2:03,2710,Garret Covington missed Layup.,68,53
2:03,270,Jeremiah Bell Defensive Rebound.,68,53
1:57,2710,Foul on Mike Miklusak.,68,53
1:57,270,Jeremy Johnson made Free Throw.,68,54
1:57,270,Jeremy Johnson made Free Throw.,68,55
1:56,270,Foul on Bryce Barnes.,68,55
1:55,2710,Jabari Sandifer missed Free Throw.,68,55
1:55,2710,Western Illinois Deadball Team Rebound.,68,55
1:55,2710,Jabari Sandifer made Free Throw.,69,55
1:47,270,Bryce Barnes Turnover.,69,55
1:46,2710,Garret Covington Steal.,69,55
1:38,2710,Mike Miklusak made Layup.,71,55
1:28,270,Jeremiah Bell missed Three Point Jumper.,71,55
1:28,270,Jeremy Johnson Offensive Rebound.,71,55
1:26,2710,Foul on C.J. Duff.,71,55
1:26,270,Jeremy Johnson made Free Throw.,71,56
1:26,270,Jeremy Johnson made Free Throw.,71,57
1:13,2710,Mike Miklusak made Layup. Assisted by Dalan Ancrum.,73,57
0:59,270,Bryce Barnes made Layup.,73,59
0:59,270,Foul on Bryce Barnes.,73,59
0:59,2710,Delo Bruster made Free Throw.,74,59
0:59,2710,Delo Bruster made Free Throw.,75,59
0:37,270,Jeremy Johnson missed Layup.,75,59
0:37,2710,Mike Miklusak Defensive Rebound.,75,59
0:09,2710,Garret Covington missed Jumper.,75,59
0:09,270,Brock Stull Defensive Rebound.,75,59
0:01,270,Baylor Peterson missed Three Point Jumper.,75,59
0:00,270,Cody Wichmann Offensive Rebound.,75,59
0:00,270,End of Game,75,59
