James Madison,2026,Appalachian State,256
10:48,2026,Kelvin Robinson missed Layup.,13,11
10:48,256,Ivan Lukic Block.,13,11
10:43,256,Dimitrije Cabarkapa Defensive Rebound.,13,11
10:33,256,Ivan Lukic made Layup. Assisted by Jackson Kent.,15,11
10:18,2026,Kelvin Robinson made Three Point Jumper. Assisted by Isaac Johnson.,15,14
9:54,256,Jackson Kent missed Three Point Jumper.,15,14
9:54,256,Ivan Lukic Offensive Rebound.,15,14
9:34,256,Ivan Lukic Turnover.,15,14
9:15,2026,Isaac Johnson missed Layup.,15,14
9:15,256,Dimitrije Cabarkapa Defensive Rebound.,15,14
8:45,2026,Foul on Griffin Kinney.,15,14
8:33,256,Yohanny Dalembert made Layup.,17,14
8:13,2026,Griffin Kinney Turnover.,17,14
8:00,256,Tom Vodanovich missed Layup.,17,14
8:00,2026,Jake Wilson Defensive Rebound.,17,14
7:52,2026,Kelvin Robinson missed Three Point Jumper.,17,14
7:52,256,Jackson Kent Defensive Rebound.,17,14
7:49,2026,Foul on Craig Hinton.,17,14
7:42,256,Foul on Tom Vodanovich.,17,14
7:42,256,Tom Vodanovich Turnover.,17,14
7:15,2026,Jake Wilson Turnover.,17,14
7:01,2026,Foul on Jake Wilson.,17,14
7:01,256,Yohanny Dalembert made Free Throw.,18,14
7:01,256,Yohanny Dalembert missed Free Throw.,18,14
7:01,2026,Ronshad Shabazz Defensive Rebound.,18,14
6:44,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Jake Wilson.,18,17
6:21,256,Foul on Joey McLean.,18,17
6:21,256,Joey McLean Turnover.,18,17
6:02,2026,Jake Wilson missed Layup.,18,17
6:02,256,Joey McLean Defensive Rebound.,18,17
5:46,256,Yohanny Dalembert missed Layup.,18,17
5:46,2026,Jake Wilson Block.,18,17
5:43,2026,Jake Wilson Defensive Rebound.,18,17
5:34,2026,Ronshad Shabazz missed Three Point Jumper.,18,17
5:34,256,James Madison Defensive Rebound.,18,17
5:13,2026,Foul on Isaac Johnson.,18,17
5:13,256,Yohanny Dalembert missed Free Throw.,18,17
5:13,256,James Madison Deadball Team Rebound.,18,17
5:13,256,Yohanny Dalembert made Free Throw.,19,17
4:52,2026,Ronshad Shabazz missed Three Point Jumper.,19,17
4:52,2026,Kelvin Robinson Offensive Rebound.,19,17
4:47,256,Foul on Vince Holmes.,19,17
4:30,2026,Jake Wilson Turnover.,19,17
4:30,256,Ramone Snowden Steal.,19,17
4:05,256,Yohanny Dalembert missed Jumper.,19,17
4:05,256,Ivan Lukic Offensive Rebound.,19,17
3:59,2026,Foul on Patrick Good.,19,17
3:59,256,Yohanny Dalembert made Free Throw.,20,17
3:59,256,Yohanny Dalembert made Free Throw.,21,17
3:36,2026,Jake Wilson missed Jumper.,21,17
3:36,256,Yohanny Dalembert Block.,21,17
3:33,256,Jackson Kent Defensive Rebound.,21,17
3:20,256,Yohanny Dalembert made Dunk. Assisted by Vince Holmes.,23,17
3:11,2026,Tyrell Johnson missed Three Point Jumper.,23,17
3:11,256,Vince Holmes Defensive Rebound.,23,17
2:53,2026,Foul on Kelvin Robinson.,23,17
2:53,256,Yohanny Dalembert made Free Throw.,24,17
2:25,256,Foul on Jackson Kent.,24,17
2:25,2026,Ronshad Shabazz missed Free Throw.,24,17
2:25,256,Dimitrije Cabarkapa Defensive Rebound.,24,17
1:59,2026,Foul on Kelvin Robinson.,24,17
1:59,256,Jackson Kent made Free Throw.,25,17
1:59,256,Jackson Kent made Free Throw.,26,17
1:45,2026,Jake Babic made Three Point Jumper. Assisted by Griffin Kinney.,26,20
1:18,256,Ivan Lukic missed Three Point Jumper.,26,20
1:18,256,Vince Holmes Offensive Rebound.,26,20
1:11,256,Vince Holmes Turnover.,26,20
1:10,2026,Patrick Good Steal.,26,20
0:59,256,Foul on Vince Holmes.,26,20
0:59,2026,Tyrell Johnson made Free Throw.,26,21
0:59,2026,Tyrell Johnson made Free Throw.,26,22
0:46,256,Vince Holmes Turnover.,26,22
0:46,2026,Patrick Good Steal.,26,22
0:46,256,Foul on Vince Holmes.,26,22
0:46,2026,Patrick Good made Free Throw.,26,23
0:46,2026,Patrick Good made Free Throw.,26,24
0:19,256,Ivan Lukic made Jumper. Assisted by Joey McLean.,28,24
0:01,2026,Griffin Kinney missed Jumper.,28,24
0:01,256,Ramone Snowden Defensive Rebound.,28,24
0:00,256,Ramone Snowden missed Three Point Jumper.,28,24
0:00,2026,Appalachian St Defensive Rebound.,28,24
0:00,2026,End of 1st half,28,24
19:39,256,Foul on Tom Vodanovich.,28,24
19:15,2026,Kelvin Robinson missed Layup.,28,24
19:15,256,Yohanny Dalembert Defensive Rebound.,28,24
19:07,256,Foul on Ramone Snowden.,28,24
19:07,256,Ramone Snowden Turnover.,28,24
18:37,2026,Griffin Kinney made Layup. Assisted by Emarius Logan.,28,26
18:17,256,Ramone Snowden made Layup. Assisted by Joey McLean.,30,26
17:59,2026,Kelvin Robinson missed Three Point Jumper.,30,26
17:59,256,Yohanny Dalembert Defensive Rebound.,30,26
17:33,2026,Foul on Ronshad Shabazz.,30,26
17:33,256,Ramone Snowden made Free Throw.,31,26
17:33,256,Ramone Snowden made Free Throw.,32,26
17:23,256,Foul on Ivan Lukic.,32,26
17:17,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Kelvin Robinson.,32,29
17:04,256,Joey McLean missed Jumper.,32,29
17:04,2026,Ronshad Shabazz Defensive Rebound.,32,29
16:50,256,Foul on Ivan Lukic.,32,29
16:50,2026,Kelvin Robinson made Free Throw.,32,30
16:50,2026,Kelvin Robinson made Free Throw.,32,31
16:39,2026,Foul on Griffin Kinney.,32,31
16:29,256,Jackson Kent made Jumper.,34,31
16:22,2026,Ronshad Shabazz missed Three Point Jumper.,34,31
16:22,256,Ramone Snowden Defensive Rebound.,34,31
16:06,256,Ivan Lukic missed Three Point Jumper.,34,31
16:06,2026,Kelvin Robinson Defensive Rebound.,34,31
15:51,2026,Griffin Kinney made Layup. Assisted by Tyrell Johnson.,34,33
15:33,256,Ramone Snowden Turnover.,34,33
15:31,2026,Ronshad Shabazz Steal.,34,33
15:26,2026,Kelvin Robinson made Three Point Jumper. Assisted by Ronshad Shabazz.,34,36
14:58,256,Ramone Snowden Turnover.,34,36
14:58,2026,Griffin Kinney Steal.,34,36
14:58,2026,Official TV Timeout,34,36
14:43,2026,Craig Hinton missed Three Point Jumper.,34,36
14:43,2026,Isaac Johnson Offensive Rebound.,34,36
14:36,2026,Isaac Johnson missed Layup.,34,36
14:36,256,Dimitrije Cabarkapa Defensive Rebound.,34,36
14:15,256,Dimitrije Cabarkapa missed Three Point Jumper.,34,36
14:15,256,Ivan Lukic Offensive Rebound.,34,36
13:53,256,Jackson Kent Turnover.,34,36
13:50,2026,Isaac Johnson Steal.,34,36
13:30,2026,Isaac Johnson missed Jumper.,34,36
13:30,256,Ivan Lukic Defensive Rebound.,34,36
13:14,2026,Foul on Ronshad Shabazz.,34,36
12:52,256,Dimitrije Cabarkapa made Layup. Assisted by Jackson Kent.,36,36
12:28,2026,Foul on Craig Hinton.,36,36
12:28,2026,Craig Hinton Turnover.,36,36
12:08,256,Vince Holmes made Layup. Assisted by Jackson Kent.,38,36
11:48,2026,Jake Babic missed Three Point Jumper.,38,36
11:48,256,Vince Holmes Defensive Rebound.,38,36
11:34,256,Jackson Kent made Jumper.,40,36
11:20,2026,Foul on Griffin Kinney.,40,36
11:20,2026,Griffin Kinney Turnover.,40,36
11:20,2026,Official TV Timeout,40,36
11:08,256,Dimitrije Cabarkapa made Jumper. Assisted by Vince Holmes.,42,36
10:54,2026,Emarius Logan missed Three Point Jumper.,42,36
10:54,256,Vince Holmes Defensive Rebound.,42,36
10:44,256,Dimitrije Cabarkapa missed Jumper.,42,36
10:44,2026,Tyrell Johnson Block.,42,36
10:41,256,Dimitrije Cabarkapa Offensive Rebound.,42,36
10:19,256,Vince Holmes missed Layup.,42,36
10:19,2026,Tyrell Johnson Block.,42,36
10:17,2026,Griffin Kinney Defensive Rebound.,42,36
9:55,2026,Griffin Kinney Turnover.,42,36
9:54,256,Jackson Kent Steal.,42,36
9:49,2026,Foul on Griffin Kinney.,42,36
9:48,256,Vince Holmes Turnover.,42,36
9:34,2026,Patrick Good made Three Point Jumper. Assisted by Kelvin Robinson.,42,39
9:03,256,Jackson Kent made Layup.,44,39
8:54,2026,Kelvin Robinson missed Jumper.,44,39
8:54,256,Ivan Lukic Defensive Rebound.,44,39
8:32,256,Tom Vodanovich missed Layup.,44,39
8:32,2026,Isaac Johnson Defensive Rebound.,44,39
8:18,2026,Patrick Good made Three Point Jumper. Assisted by Emarius Logan.,44,42
7:55,2026,Foul on Tyrell Johnson.,44,42
7:55,2026,Official TV Timeout,44,42
7:55,256,Tom Vodanovich made Free Throw.,45,42
7:55,256,Tom Vodanovich made Free Throw.,46,42
7:37,2026,Tyrell Johnson made Jumper. Assisted by Emarius Logan.,46,44
7:16,256,Foul on Dimitrije Cabarkapa.,46,44
7:16,256,Dimitrije Cabarkapa Turnover.,46,44
7:09,2026,Patrick Good made Three Point Jumper. Assisted by Emarius Logan.,46,47
6:44,256,Tom Vodanovich made Layup.,48,47
6:18,2026,Ronshad Shabazz made Jumper. Assisted by Isaac Johnson.,48,49
5:48,256,Foul on Vince Holmes.,48,49
5:48,256,Vince Holmes Turnover.,48,49
5:25,2026,Emarius Logan Turnover.,48,49
4:57,256,Jackson Kent missed Three Point Jumper.,48,49
4:57,256,Tom Vodanovich Offensive Rebound.,48,49
4:52,256,Tom Vodanovich Turnover.,48,49
4:50,2026,Kelvin Robinson Steal.,48,49
4:36,256,Foul on Jackson Kent.,48,49
4:36,2026,Ronshad Shabazz made Free Throw.,48,50
4:36,2026,Ronshad Shabazz made Free Throw.,48,51
4:36,2026,Appalachian St  Timeout,48,51
4:17,256,Ramone Snowden made Three Point Jumper. Assisted by Jackson Kent.,51,51
4:01,2026,Griffin Kinney missed Layup.,51,51
4:01,256,Ramone Snowden Defensive Rebound.,51,51
3:45,2026,Foul on Kelvin Robinson.,51,51
3:45,2026,Official TV Timeout,51,51
3:45,256,Ramone Snowden made Free Throw.,52,51
3:45,256,Ramone Snowden missed Free Throw.,52,51
3:45,256,Yohanny Dalembert Offensive Rebound.,52,51
3:30,256,Tom Vodanovich made Three Point Jumper. Assisted by Yohanny Dalembert.,55,51
3:11,2026,Ronshad Shabazz made Three Point Jumper.,55,54
3:07,2026,Appalachian St  Timeout,55,54
2:41,256,Yohanny Dalembert made Dunk. Assisted by Vince Holmes.,57,54
2:21,2026,Griffin Kinney missed Layup.,57,54
2:21,256,Yohanny Dalembert Block.,57,54
2:21,256,James Madison Defensive Rebound.,57,54
2:09,256,Vince Holmes Turnover.,57,54
1:59,2026,Patrick Good made Jumper. Assisted by Emarius Logan.,57,56
1:39,256,Foul on Yohanny Dalembert.,57,56
1:39,256,Yohanny Dalembert Turnover.,57,56
1:26,2026,Ronshad Shabazz missed Jumper.,57,56
1:26,256,Ramone Snowden Block.,57,56
1:24,256,Ramone Snowden Defensive Rebound.,57,56
1:16,256,James Madison  Timeout,57,56
0:56,256,Jackson Kent missed Jumper.,57,56
0:56,2026,Tyrell Johnson Block.,57,56
0:53,2026,Emarius Logan Defensive Rebound.,57,56
0:49,2026,Ronshad Shabazz missed Three Point Jumper.,57,56
0:49,256,Jackson Kent Defensive Rebound.,57,56
0:23,256,Yohanny Dalembert Turnover.,57,56
0:19,2026,Appalachian St  Timeout,57,56
0:07,2026,Ronshad Shabazz missed Layup.,57,56
0:07,256,Yohanny Dalembert Block.,57,56
0:06,256,Jackson Kent Defensive Rebound.,57,56
0:06,2026,Foul on Tyrell Johnson.,57,56
0:06,256,Jackson Kent made Free Throw.,58,56
0:06,256,Jackson Kent made Free Throw.,59,56
0:06,256,James Madison  Timeout,59,56
0:06,256,James Madison  Timeout,59,56
0:02,2026,Kelvin Robinson made Three Point Jumper. Assisted by Patrick Good.,59,59
0:00,2026,End of 2nd half,59,59
4:51,2026,Ronshad Shabazz missed Three Point Jumper.,59,59
4:51,256,Tom Vodanovich Defensive Rebound.,59,59
4:29,2026,Foul on Tyrell Johnson.,59,59
4:29,256,Tom Vodanovich made Free Throw.,60,59
4:29,256,Tom Vodanovich missed Free Throw.,60,59
4:29,2026,Appalachian St Defensive Rebound.,60,59
4:15,256,Foul on Ramone Snowden.,60,59
4:15,2026,Ronshad Shabazz missed Free Throw.,60,59
4:15,2026,Griffin Kinney Offensive Rebound.,60,59
4:15,2026,Griffin Kinney made Layup.,60,61
3:56,2026,Foul on Tyrell Johnson.,60,61
3:56,256,Tom Vodanovich missed Free Throw.,60,61
3:56,256,James Madison Deadball Team Rebound.,60,61
3:56,256,Tom Vodanovich made Free Throw.,61,61
3:44,2026,Griffin Kinney made Layup. Assisted by Patrick Good.,61,63
3:44,256,Foul on Yohanny Dalembert.,61,63
3:44,2026,Griffin Kinney missed Free Throw.,61,63
3:44,256,Yohanny Dalembert Defensive Rebound.,61,63
3:29,256,Tom Vodanovich Turnover.,61,63
3:27,2026,Isaac Johnson Steal.,61,63
3:01,256,Foul on Tom Vodanovich.,61,63
3:01,2026,Isaac Johnson made Free Throw.,61,64
3:01,2026,Isaac Johnson missed Free Throw.,61,64
3:01,256,Jackson Kent Defensive Rebound.,61,64
2:48,256,Vince Holmes Turnover.,61,64
2:47,2026,Ronshad Shabazz Steal.,61,64
2:44,2026,Ronshad Shabazz made Dunk.,61,66
2:39,256,James Madison  Timeout,61,66
2:13,256,Jackson Kent missed Three Point Jumper.,61,66
2:13,2026,Appalachian St Defensive Rebound.,61,66
2:11,256,Foul on Ramone Snowden.,61,66
2:11,2026,Ronshad Shabazz missed Free Throw.,61,66
2:11,2026,Appalachian St Deadball Team Rebound.,61,66
2:11,2026,Ronshad Shabazz made Free Throw.,61,67
1:59,2026,Foul on Griffin Kinney.,61,67
1:59,256,Yohanny Dalembert missed Free Throw.,61,67
1:59,256,James Madison Deadball Team Rebound.,61,67
1:59,256,Yohanny Dalembert missed Free Throw.,61,67
1:59,2026,Emarius Logan Defensive Rebound.,61,67
1:58,256,Foul on Joey McLean.,61,67
1:58,2026,Emarius Logan made Free Throw.,61,68
1:58,2026,Emarius Logan made Free Throw.,61,69
1:43,256,Tom Vodanovich missed Three Point Jumper.,61,69
1:43,2026,Jake Babic Defensive Rebound.,61,69
1:21,2026,Jake Babic Turnover.,61,69
1:14,256,Joey McLean missed Layup.,61,69
1:14,2026,Kelvin Robinson Defensive Rebound.,61,69
0:47,2026,Emarius Logan made Layup.,61,71
0:32,256,Tom Vodanovich missed Layup.,61,71
0:32,2026,Isaac Johnson Defensive Rebound.,61,71
0:09,2026,Patrick Good missed Jumper.,61,71
0:09,2026,Ronshad Shabazz Offensive Rebound.,61,71
0:01,2026,Ronshad Shabazz made Dunk.,61,73
0:00,256,Joey McLean missed Three Point Jumper.,61,73
0:00,2026,Patrick Good Defensive Rebound.,61,73
0:00,2026,End of Game,61,73
