Prairie View A&amp;M,254,Utah,2504
11:00,254,Devon Daniels made Free Throw.,9,18
11:00,254,Devon Daniels made Free Throw.,9,19
10:44,2504,Troy Thompson Turnover.,9,19
10:44,254,Parker Van Dyke Steal.,9,19
10:40,254,Tyler Rawson made Layup. Assisted by Lorenzo Bonam.,9,21
10:32,2504,Troy Thompson missed Three Point Jumper.,9,21
10:32,254,Devon Daniels Defensive Rebound.,9,21
10:21,254,Devon Daniels Turnover.,9,21
10:21,2504,Troy Thompson Steal.,9,21
10:16,2504,Troy Thompson Turnover.,9,21
10:05,2504,Foul on JD Wallace.,9,21
9:58,254,Jayce Johnson missed Layup.,9,21
9:58,2504,JD Wallace Block.,9,21
9:57,2504,JD Wallace Defensive Rebound.,9,21
9:28,2504,Tevin Bellinger Turnover.,9,21
9:28,254,Lorenzo Bonam Steal.,9,21
9:17,254,JoJo Zamora made Layup. Assisted by Lorenzo Bonam.,9,23
8:52,2504,Jordan Giddings missed Layup.,9,23
8:52,254,Kyle Kuzma Defensive Rebound.,9,23
8:34,254,Kyle Kuzma made Layup.,9,25
8:34,2504,Foul on JD Wallace.,9,25
8:34,254,Kyle Kuzma missed Free Throw.,9,25
8:34,2504,Ja'Donta Blakley Defensive Rebound.,9,25
8:28,2504,Jordan Giddings made Three Point Jumper. Assisted by Ja'Donta Blakley.,12,25
8:26,254,Utah  Timeout,12,25
8:26,254,Official TV Timeout,12,25
8:09,254,JoJo Zamora made Three Point Jumper. Assisted by Sedrick Barefield.,12,28
7:42,2504,Shay'rone Jett made Jumper.,14,28
7:22,254,Jayce Johnson made Layup. Assisted by Kyle Kuzma.,14,30
7:02,2504,Shay'rone Jett missed Jumper.,14,30
7:02,2504,Shay'rone Jett Offensive Rebound.,14,30
6:59,2504,Shay'rone Jett Turnover.,14,30
6:47,254,Jayce Johnson made Layup. Assisted by Sedrick Barefield.,14,32
6:47,2504,Foul on Shay'rone Jett.,14,32
6:47,254,Jayce Johnson missed Free Throw.,14,32
6:47,254,Kyle Kuzma Offensive Rebound.,14,32
6:46,254,Kyle Kuzma made Layup.,14,34
6:46,2504,Foul on Shay'rone Jett.,14,34
6:46,254,Kyle Kuzma made Free Throw.,14,35
6:20,2504,Daquan Cook missed Three Point Jumper.,14,35
6:20,254,Lorenzo Bonam Defensive Rebound.,14,35
6:10,254,Kyle Kuzma made Layup.,14,37
5:55,2504,Tevin Bellinger missed Three Point Jumper.,14,37
5:55,254,Kyle Kuzma Defensive Rebound.,14,37
5:46,254,JoJo Zamora missed Three Point Jumper.,14,37
5:46,254,Utah Offensive Rebound.,14,37
5:34,254,Sedrick Barefield made Three Point Jumper. Assisted by Kyle Kuzma.,14,40
5:08,2504,Avery Lomax made Layup.,16,40
5:02,254,JoJo Zamora missed Layup.,16,40
5:02,2504,Nolan Wilson Block.,16,40
5:01,254,Utah Offensive Rebound.,16,40
4:55,254,Lorenzo Bonam made Layup. Assisted by Tyler Rawson.,16,42
4:40,2504,Avery Lomax missed Jumper.,16,42
4:40,254,Kyle Kuzma Defensive Rebound.,16,42
4:19,254,Foul on Kyle Kuzma.,16,42
4:19,254,Kyle Kuzma Turnover.,16,42
3:59,254,Foul on Tyler Rawson.,16,42
3:59,254,Official TV Timeout,16,42
3:47,254,Foul on Jake Connor.,16,42
3:47,2504,Daquan Cook missed Free Throw.,16,42
3:47,2504,Prairie View Deadball Team Rebound.,16,42
3:47,2504,Daquan Cook made Free Throw.,17,42
3:37,254,Sedrick Barefield missed Layup.,17,42
3:37,2504,Nolan Wilson Block.,17,42
3:37,254,Utah Offensive Rebound.,17,42
3:18,254,Jake Connor missed Three Point Jumper.,17,42
3:18,254,Tyler Rawson Offensive Rebound.,17,42
3:14,254,Tyler Rawson missed Two Point Tip Shot.,17,42
3:14,2504,Prairie View Defensive Rebound.,17,42
2:49,2504,Daquan Cook made Layup.,19,42
2:35,254,Sedrick Barefield made Three Point Jumper. Assisted by Tyler Rawson.,19,45
2:23,2504,Zachary Hamilton Turnover.,19,45
2:22,254,Tyler Rawson Steal.,19,45
2:19,2504,Foul on Avery Lomax.,19,45
2:19,254,Lorenzo Bonam missed Free Throw.,19,45
2:19,2504,Troy Thompson Defensive Rebound.,19,45
2:09,2504,Zachary Hamilton made Jumper. Assisted by Avery Lomax.,21,45
2:02,2504,Foul on Shay'rone Jett.,21,45
2:02,254,Kyle Kuzma missed Free Throw.,21,45
2:02,254,Utah Deadball Team Rebound.,21,45
2:02,254,Kyle Kuzma made Free Throw.,21,46
1:43,254,Foul on Tyler Rawson.,21,46
1:43,2504,Troy Thompson missed Free Throw.,21,46
1:43,254,Parker Van Dyke Defensive Rebound.,21,46
1:35,254,Sedrick Barefield Turnover.,21,46
1:34,2504,Zachary Hamilton Steal.,21,46
1:32,2504,Zachary Hamilton made Layup. Assisted by Daquan Cook.,23,46
1:26,254,Kyle Kuzma made Dunk. Assisted by Lorenzo Bonam.,23,48
1:15,254,Foul on Tyler Rawson.,23,48
1:15,2504,Zachary Hamilton made Free Throw.,24,48
1:15,2504,Zachary Hamilton made Free Throw.,25,48
1:02,254,Jayce Johnson made Layup. Assisted by Kyle Kuzma.,25,50
0:36,2504,Ja'Donta Blakley missed Jumper.,25,50
0:36,254,Parker Van Dyke Defensive Rebound.,25,50
0:28,2504,Foul on Zachary Hamilton.,25,50
0:28,254,Kyle Kuzma made Free Throw.,25,51
0:28,254,Kyle Kuzma made Free Throw.,25,52
0:05,2504,Zachary Hamilton missed Jumper.,25,52
0:05,2504,Ja'Donta Blakley Offensive Rebound.,25,52
0:02,2504,Ja'Donta Blakley missed Layup.,25,52
0:02,254,Jayce Johnson Block.,25,52
0:01,254,Parker Van Dyke Defensive Rebound.,25,52
0:00,254,End of 1st half,25,52
19:30,254,JoJo Zamora missed Three Point Jumper.,25,52
19:30,2504,Ja'Donta Blakley Defensive Rebound.,25,52
19:15,2504,Daquan Cook made Jumper.,27,52
18:49,254,Lorenzo Bonam made Jumper.,27,54
18:35,2504,Daquan Cook missed Jumper.,27,54
18:35,254,Devon Daniels Block.,27,54
18:33,2504,Troy Thompson Offensive Rebound.,27,54
18:20,2504,Zachary Hamilton missed Three Point Jumper.,27,54
18:20,254,Devon Daniels Defensive Rebound.,27,54
18:00,254,Lorenzo Bonam made Layup.,27,56
17:35,254,Foul on Lorenzo Bonam.,27,56
17:35,2504,Zachary Hamilton made Free Throw.,28,56
17:35,2504,Zachary Hamilton made Free Throw.,29,56
17:10,2504,Foul on Ja'Donta Blakley.,29,56
17:10,254,Devon Daniels made Free Throw.,29,57
17:10,254,Devon Daniels made Free Throw.,29,58
16:52,254,Foul on JoJo Zamora.,29,58
16:52,2504,Zachary Hamilton missed Free Throw.,29,58
16:52,2504,Prairie View Deadball Team Rebound.,29,58
16:52,2504,Zachary Hamilton made Free Throw.,30,58
16:33,254,Kyle Kuzma missed Jumper.,30,58
16:33,254,David Collette Offensive Rebound.,30,58
16:30,254,David Collette missed Two Point Tip Shot.,30,58
16:30,254,David Collette Offensive Rebound.,30,58
16:28,2504,Foul on Nolan Wilson.,30,58
16:28,254,David Collette made Free Throw.,30,59
16:28,254,David Collette missed Free Throw.,30,59
16:28,2504,Ja'Donta Blakley Defensive Rebound.,30,59
16:17,2504,Zachary Hamilton missed Jumper.,30,59
16:17,254,Kyle Kuzma Defensive Rebound.,30,59
16:13,2504,Foul on Zachary Hamilton.,30,59
16:10,254,David Collette made Layup.,30,61
15:54,2504,Troy Thompson made Layup.,32,61
15:54,254,Foul on David Collette.,32,61
15:54,254,Official TV Timeout,32,61
15:54,2504,Troy Thompson missed Free Throw.,32,61
15:54,254,Kyle Kuzma Defensive Rebound.,32,61
15:34,254,Kyle Kuzma Turnover.,32,61
15:33,2504,Zachary Hamilton Steal.,32,61
15:27,2504,Zachary Hamilton missed Three Point Jumper.,32,61
15:27,2504,JD Wallace Offensive Rebound.,32,61
15:24,254,Foul on Jayce Johnson.,32,61
15:21,2504,Daquan Cook missed Jumper.,32,61
15:21,254,Parker Van Dyke Defensive Rebound.,32,61
15:09,254,Jayce Johnson Turnover.,32,61
15:08,2504,JD Wallace Steal.,32,61
15:04,2504,Troy Thompson missed Three Point Jumper.,32,61
15:04,254,Parker Van Dyke Defensive Rebound.,32,61
14:58,254,Kyle Kuzma made Dunk. Assisted by Sedrick Barefield.,32,63
14:33,2504,Troy Thompson missed Three Point Jumper.,32,63
14:33,2504,Daquan Cook Offensive Rebound.,32,63
14:30,2504,Daquan Cook missed Jumper.,32,63
14:30,254,Kyle Kuzma Block.,32,63
14:28,254,Utah Defensive Rebound.,32,63
14:06,254,Kyle Kuzma Turnover.,32,63
14:06,2504,JD Wallace Steal.,32,63
14:02,2504,Daquan Cook missed Three Point Jumper.,32,63
14:02,254,Jayce Johnson Defensive Rebound.,32,63
13:45,254,Sedrick Barefield made Three Point Jumper.,32,66
13:17,2504,Avery Lomax made Jumper.,34,66
13:08,2504,Foul on JD Wallace.,34,66
12:52,254,Sedrick Barefield Turnover.,34,66
12:52,2504,Jordan Giddings Steal.,34,66
12:24,2504,Zachary Hamilton missed Jumper.,34,66
12:24,254,Sedrick Barefield Defensive Rebound.,34,66
12:14,254,Jayce Johnson made Dunk.,34,68
11:57,2504,Jordan Giddings missed Three Point Jumper.,34,68
11:57,254,Tyler Rawson Defensive Rebound.,34,68
11:40,254,Jayce Johnson made Jumper. Assisted by Tyler Rawson.,34,70
11:40,2504,Foul on Shay'rone Jett.,34,70
11:40,254,Official TV Timeout,34,70
11:40,254,Jayce Johnson made Free Throw.,34,71
11:15,2504,Jordan Giddings missed Layup.,34,71
11:15,254,Tyler Rawson Defensive Rebound.,34,71
11:01,254,David Collette missed Layup.,34,71
11:01,2504,Ja'Donta Blakley Defensive Rebound.,34,71
10:55,2504,Zachary Hamilton made Jumper. Assisted by Avery Lomax.,36,71
10:34,2504,Foul on Nolan Wilson.,36,71
10:26,2504,Foul on Nolan Wilson.,36,71
10:26,254,JoJo Zamora made Free Throw.,36,72
10:26,254,JoJo Zamora made Free Throw.,36,73
10:09,2504,Ja'Donta Blakley Turnover.,36,73
10:09,254,JoJo Zamora Steal.,36,73
10:04,254,Kyle Kuzma Turnover.,36,73
9:54,2504,Zachary Hamilton made Jumper. Assisted by Ja'Donta Blakley.,38,73
9:28,254,Foul on Sedrick Barefield.,38,73
9:28,254,Sedrick Barefield Turnover.,38,73
9:20,2504,Troy Thompson missed Jumper.,38,73
9:20,254,Kyle Kuzma Defensive Rebound.,38,73
9:10,254,Tyler Rawson missed Layup.,38,73
9:10,2504,Troy Thompson Block.,38,73
9:09,2504,Prairie View Defensive Rebound.,38,73
8:58,2504,Ja'Donta Blakley missed Jumper.,38,73
8:58,254,Kyle Kuzma Defensive Rebound.,38,73
8:51,2504,Foul on Jordan Giddings.,38,73
8:51,254,JoJo Zamora missed Free Throw.,38,73
8:51,254,JoJo Zamora Offensive Rebound.,38,73
8:43,254,JoJo Zamora missed Layup.,38,73
8:43,2504,Daquan Cook Defensive Rebound.,38,73
8:29,2504,Jordan Giddings made Layup. Assisted by Avery Lomax.,40,73
8:13,254,Gabe Bealer missed Three Point Jumper.,40,73
8:13,254,David Collette Offensive Rebound.,40,73
8:05,254,David Collette missed Layup.,40,73
8:05,254,David Collette Offensive Rebound.,40,73
8:01,254,Kyle Kuzma missed Two Point Tip Shot.,40,73
8:01,254,Kyle Kuzma Offensive Rebound.,40,73
7:59,2504,Foul on Tevin Bellinger.,40,73
7:59,254,Official TV Timeout,40,73
7:59,254,David Collette missed Free Throw.,40,73
7:59,254,Utah Deadball Team Rebound.,40,73
7:59,254,David Collette missed Free Throw.,40,73
7:59,2504,Zachary Hamilton Defensive Rebound.,40,73
7:36,2504,Troy Thompson made Layup.,42,73
7:21,2504,Foul on Troy Thompson.,42,73
7:21,254,Kyle Kuzma made Free Throw.,42,74
7:21,254,Kyle Kuzma missed Free Throw.,42,74
7:21,2504,Tevin Bellinger Defensive Rebound.,42,74
7:03,2504,Zachary Hamilton made Jumper. Assisted by Jordan Giddings.,44,74
6:46,254,Jake Connor missed Three Point Jumper.,44,74
6:46,254,Kyle Kuzma Offensive Rebound.,44,74
6:45,2504,Foul on Jordan Giddings.,44,74
6:45,254,Kyle Kuzma made Free Throw.,44,75
6:45,254,Kyle Kuzma made Free Throw.,44,76
6:30,2504,Zachary Hamilton missed Jumper.,44,76
6:30,254,Gabe Bealer Defensive Rebound.,44,76
6:17,254,David Collette missed Layup.,44,76
6:17,2504,Tevin Bellinger Defensive Rebound.,44,76
6:11,2504,Tevin Bellinger made Layup.,46,76
5:59,2504,Foul on Zachary Hamilton.,46,76
5:59,254,Sedrick Barefield made Free Throw.,46,77
5:59,254,Sedrick Barefield missed Free Throw.,46,77
5:59,254,Utah Offensive Rebound.,46,77
5:49,254,Sedrick Barefield made Three Point Jumper. Assisted by Jake Connor.,46,80
5:31,2504,Zachary Hamilton missed Layup.,46,80
5:31,2504,Jordan Giddings Offensive Rebound.,46,80
5:28,2504,Jordan Giddings made Layup.,48,80
5:16,254,Gabe Bealer missed Three Point Jumper.,48,80
5:16,254,David Collette Offensive Rebound.,48,80
5:11,254,David Collette made Two Point Tip Shot.,48,82
4:55,2504,Troy Thompson missed Three Point Jumper.,48,82
4:55,254,Kyle Kuzma Defensive Rebound.,48,82
4:45,254,David Collette missed Layup.,48,82
4:45,2504,Troy Thompson Defensive Rebound.,48,82
4:39,2504,Avery Lomax made Layup.,50,82
4:39,254,Foul on Sedrick Barefield.,50,82
4:39,2504,Avery Lomax missed Free Throw.,50,82
4:39,254,David Collette Defensive Rebound.,50,82
4:19,2504,Foul on JD Wallace.,50,82
4:19,254,Tyler Rawson made Free Throw.,50,83
4:19,254,Tyler Rawson missed Free Throw.,50,83
4:19,2504,Zachary Hamilton Defensive Rebound.,50,83
4:01,2504,Avery Lomax made Layup.,52,83
3:45,254,Gabe Bealer made Three Point Jumper. Assisted by Tyler Rawson.,52,86
3:17,2504,Zachary Hamilton made Jumper.,54,86
3:04,254,Tyler Rawson made Layup. Assisted by Sedrick Barefield.,54,88
2:43,2504,Avery Lomax missed Layup.,54,88
2:43,254,Jayce Johnson Block.,54,88
2:43,254,Gabe Bealer Defensive Rebound.,54,88
2:31,254,Tyler Rawson made Dunk. Assisted by Gabe Bealer.,54,90
2:22,2504,Prairie View  Timeout,54,90
2:21,254,Foul on Sedrick Barefield.,54,90
2:21,254,Official TV Timeout,54,90
2:21,2504,Zachary Hamilton made Free Throw.,55,90
2:21,2504,Zachary Hamilton made Free Throw.,56,90
1:54,2504,Foul on Troy Thompson.,56,90
1:54,254,Gabe Bealer missed Free Throw.,56,90
1:54,254,Utah Deadball Team Rebound.,56,90
1:54,254,Gabe Bealer made Free Throw.,56,91
1:30,2504,Avery Lomax missed Layup.,56,91
1:30,254,Jake Connor Defensive Rebound.,56,91
1:11,2504,Foul on Zachary Hamilton.,56,91
1:11,254,Jakub Jokl missed Free Throw.,56,91
1:11,254,Utah Deadball Team Rebound.,56,91
1:11,254,Jakub Jokl made Free Throw.,56,92
1:05,2504,Zachary Hamilton made Three Point Jumper. Assisted by Avery Lomax.,59,92
0:43,254,Marc Reininger Turnover.,59,92
0:42,2504,Troy Thompson Steal.,59,92
0:40,254,Foul on Marc Reininger.,59,92
0:40,2504,Troy Thompson made Free Throw.,60,92
0:40,2504,Troy Thompson missed Free Throw.,60,92
0:40,254,Jakub Jokl Defensive Rebound.,60,92
0:12,254,Sedrick Barefield missed Three Point Jumper.,60,92
0:12,2504,Shay'rone Jett Defensive Rebound.,60,92
0:09,254,Foul on Jakub Jokl.,60,92
0:09,2504,Shay'rone Jett missed Free Throw.,60,92
0:09,254,Gabe Bealer Defensive Rebound.,60,92
0:00,254,End of Game,60,92
