North Carolina Central,2377,McNeese,2428
1:58,2428,Ron Trapps Offensive Rebound.,31,33
1:54,2428,Ron Trapps missed Jumper.,31,33
1:54,2377,Lance Potier Defensive Rebound.,31,33
1:53,2377,Foul on LaBarrius Hill.,31,33
1:53,2377,LaBarrius Hill Turnover.,31,33
1:53,2428,Michael Wolfe made Free Throw.,32,33
1:53,2428,Michael Wolfe made Free Throw.,33,33
1:34,2377,Lance Potier Turnover.,33,33
1:32,2428,Michael Wolfe Steal.,33,33
1:17,2428,Rashaun Madison missed Layup.,33,33
1:17,2428,Marius McAllister Offensive Rebound.,33,33
1:14,2428,Marius McAllister made Two Point Tip Shot.,35,33
1:02,2377,Lance Potier missed Jumper.,35,33
1:02,2428,Ron Trapps Defensive Rebound.,35,33
0:51,2428,North Carolina Central  Timeout,35,33
0:37,2428,C.J. Wiggins missed Layup.,35,33
0:37,2377,Adrian Brown Block.,35,33
0:35,2377,Adrian Brown Defensive Rebound.,35,33
0:29,2377,Jacob Ledoux made Dunk. Assisted by Adrian Brown.,35,35
0:05,2428,C.J. Wiggins missed Jumper.,35,35
0:05,2377,Jacob Ledoux Defensive Rebound.,35,35
0:04,2428,Foul on Marius McAllister.,35,35
0:04,2377,Jacob Ledoux missed Free Throw.,35,35
0:04,2377,McNeese Deadball Team Rebound.,35,35
0:04,2377,Jacob Ledoux made Free Throw.,35,36
0:00,2377,End of 1st half,35,36
19:34,2377,Jamaya Burr missed Jumper.,35,36
19:34,2428,Will Ransom Defensive Rebound.,35,36
19:24,2428,Patrick Cole missed Jumper.,35,36
19:24,2377,LaBarrius Hill Defensive Rebound.,35,36
19:15,2377,Stephen Ugochukwu missed Jumper.,35,36
19:15,2428,Del'Vin Dickerson Defensive Rebound.,35,36
19:05,2428,Dajuan Graf missed Jumper.,35,36
19:05,2377,Stephen Ugochukwu Defensive Rebound.,35,36
18:52,2377,Jarren Greenwood Turnover.,35,36
18:51,2428,Rashaun Madison Steal.,35,36
18:48,2428,Patrick Cole missed Layup.,35,36
18:48,2377,Lance Potier Defensive Rebound.,35,36
18:38,2377,LaBarrius Hill made Jumper. Assisted by Jarren Greenwood.,35,38
18:09,2428,Patrick Cole made Jumper.,37,38
17:44,2377,Stephen Ugochukwu made Layup.,37,40
17:22,2428,Patrick Cole missed Three Point Jumper.,37,40
17:22,2377,LaBarrius Hill Defensive Rebound.,37,40
17:12,2377,Jamaya Burr Turnover.,37,40
17:10,2428,Rashaun Madison Steal.,37,40
17:08,2428,Dajuan Graf made Layup.,39,40
16:50,2377,Stephen Ugochukwu missed Layup.,39,40
16:50,2428,Will Ransom Defensive Rebound.,39,40
16:36,2428,Dajuan Graf missed Jumper.,39,40
16:36,2377,Stephen Ugochukwu Defensive Rebound.,39,40
16:31,2377,Stephen Ugochukwu Turnover.,39,40
16:30,2428,Will Ransom Steal.,39,40
16:21,2428,Patrick Cole missed Three Point Jumper.,39,40
16:21,2377,Stephen Ugochukwu Defensive Rebound.,39,40
16:21,2428,Foul on Will Ransom.,39,40
16:01,2377,Jarren Greenwood made Layup. Assisted by Stephen Ugochukwu.,39,42
15:56,2428,Will Ransom made Layup. Assisted by Del'Vin Dickerson.,41,42
15:46,2377,Lance Potier missed Layup.,41,42
15:46,2428,Del'Vin Dickerson Defensive Rebound.,41,42
15:41,2428,Rashaun Madison missed Three Point Jumper.,41,42
15:41,2428,Ron Trapps Offensive Rebound.,41,42
15:36,2428,Ron Trapps made Two Point Tip Shot.,43,42
15:30,2377,McNeese  Timeout,43,42
15:20,2377,Adrian Brown missed Jumper.,43,42
15:20,2428,Del'Vin Dickerson Defensive Rebound.,43,42
15:11,2428,Foul on Dajuan Graf.,43,42
15:11,2428,Dajuan Graf Turnover.,43,42
15:11,2377,Official TV Timeout,43,42
14:45,2377,Jarren Greenwood missed Layup.,43,42
14:45,2428,Will Ransom Defensive Rebound.,43,42
14:42,2428,Will Ransom Turnover.,43,42
14:40,2377,Stephen Ugochukwu Steal.,43,42
14:38,2377,Stephen Ugochukwu missed Dunk.,43,42
14:38,2377,Adrian Brown Offensive Rebound.,43,42
14:34,2377,Adrian Brown made Layup.,43,44
14:17,2377,Foul on Kalob Ledoux.,43,44
14:17,2428,Del'Vin Dickerson made Free Throw.,44,44
14:17,2428,Del'Vin Dickerson made Free Throw.,45,44
14:04,2377,Kalob Ledoux missed Jumper.,45,44
14:04,2377,Stephen Ugochukwu Offensive Rebound.,45,44
14:00,2377,Stephen Ugochukwu Turnover.,45,44
13:59,2428,Del'Vin Dickerson Steal.,45,44
13:55,2428,Ron Trapps missed Jumper.,45,44
13:55,2428,Del'Vin Dickerson Offensive Rebound.,45,44
13:51,2428,Del'Vin Dickerson missed Dunk.,45,44
13:51,2377,Stephen Ugochukwu Defensive Rebound.,45,44
13:49,2428,Foul on Will Ransom.,45,44
13:49,2377,Jamaya Burr made Free Throw.,45,45
13:49,2377,Jamaya Burr missed Free Throw.,45,45
13:49,2428,Del'Vin Dickerson Defensive Rebound.,45,45
13:28,2428,Del'Vin Dickerson missed Layup.,45,45
13:28,2377,Adrian Brown Defensive Rebound.,45,45
13:21,2377,Jamaya Burr Turnover.,45,45
13:08,2428,Dajuan Graf missed Layup.,45,45
13:08,2377,Stephen Ugochukwu Defensive Rebound.,45,45
13:01,2377,Kalob Ledoux missed Layup.,45,45
13:01,2428,Patrick Cole Defensive Rebound.,45,45
12:52,2428,Patrick Cole made Layup.,47,45
12:33,2377,Kalob Ledoux missed Three Point Jumper.,47,45
12:33,2428,Patrick Cole Defensive Rebound.,47,45
12:26,2428,Patrick Cole made Jumper.,49,45
11:55,2377,Stephen Ugochukwu missed Layup.,49,45
11:55,2377,Stephen Ugochukwu Offensive Rebound.,49,45
11:51,2377,Stephen Ugochukwu missed Two Point Tip Shot.,49,45
11:51,2428,Del'Vin Dickerson Defensive Rebound.,49,45
11:46,2428,Dajuan Graf made Layup.,51,45
11:37,2377,Official TV Timeout,51,45
11:18,2377,Jamaya Burr missed Three Point Jumper.,51,45
11:18,2428,North Carolina Central Defensive Rebound.,51,45
11:05,2428,Dajuan Graf made Layup. Assisted by Patrick Cole.,53,45
10:57,2377,Foul on Jacob Ledoux.,53,45
10:57,2377,Jacob Ledoux Turnover.,53,45
10:55,2428,Del'Vin Dickerson Turnover.,53,45
10:45,2428,Foul on Rashaun Madison.,53,45
10:41,2377,James Harvey missed Three Point Jumper.,53,45
10:41,2428,Patrick Cole Defensive Rebound.,53,45
10:32,2428,Patrick Cole missed Layup.,53,45
10:32,2377,Jacob Ledoux Defensive Rebound.,53,45
10:05,2377,Jacob Ledoux made Three Point Jumper.,53,48
9:49,2428,Patrick Cole missed Three Point Jumper.,53,48
9:49,2428,Del'Vin Dickerson Offensive Rebound.,53,48
9:47,2377,Foul on Lance Potier.,53,48
9:47,2428,Del'Vin Dickerson made Free Throw.,54,48
9:47,2428,Del'Vin Dickerson made Free Throw.,55,48
9:45,2428,Dajuan Graf Turnover.,55,48
9:30,2428,Pablo Rivas made Layup. Assisted by Dajuan Graf.,57,48
9:25,2377,Jacob Ledoux missed Layup.,57,48
9:25,2428,Dajuan Graf Defensive Rebound.,57,48
9:18,2428,Del'Vin Dickerson made Layup. Assisted by Patrick Cole.,59,48
8:53,2377,Stephen Ugochukwu missed Layup.,59,48
8:53,2377,Lance Potier Offensive Rebound.,59,48
8:53,2428,Foul on Del'Vin Dickerson.,59,48
8:38,2377,James Harvey missed Three Point Jumper.,59,48
8:38,2377,Jamaya Burr Offensive Rebound.,59,48
8:33,2428,Foul on Dajuan Graf.,59,48
8:33,2377,Jamaya Burr missed Free Throw.,59,48
8:33,2377,McNeese Deadball Team Rebound.,59,48
8:33,2377,Jamaya Burr made Free Throw.,59,49
8:17,2377,Foul on Lance Potier.,59,49
8:17,2428,Patrick Cole made Free Throw.,60,49
8:17,2428,Patrick Cole missed Free Throw.,60,49
8:17,2377,Lance Potier Defensive Rebound.,60,49
8:02,2377,James Harvey missed Three Point Jumper.,60,49
8:02,2428,Del'Vin Dickerson Defensive Rebound.,60,49
7:55,2377,Foul on Lance Potier.,60,49
7:55,2377,Official TV Timeout,60,49
7:55,2428,Patrick Cole made Free Throw.,61,49
7:55,2428,Patrick Cole made Free Throw.,62,49
7:30,2377,Jamaya Burr Turnover.,62,49
7:29,2428,Pablo Rivas Steal.,62,49
7:10,2428,Patrick Cole missed Jumper.,62,49
7:10,2377,Jarren Greenwood Defensive Rebound.,62,49
7:01,2377,Jarren Greenwood missed Layup.,62,49
7:01,2428,C.J. Wiggins Defensive Rebound.,62,49
6:53,2428,Rashaun Madison missed Three Point Jumper.,62,49
6:53,2428,Pablo Rivas Offensive Rebound.,62,49
6:52,2377,Foul on Lance Potier.,62,49
6:27,2428,Del'Vin Dickerson missed Layup.,62,49
6:27,2377,James Harvey Block.,62,49
6:25,2377,Kalob Ledoux Defensive Rebound.,62,49
6:24,2377,Kalob Ledoux Turnover.,62,49
6:00,2428,Rashaun Madison missed Jumper.,62,49
6:00,2428,North Carolina Central Offensive Rebound.,62,49
5:46,2377,Foul on Jarren Greenwood.,62,49
5:46,2428,C.J. Wiggins made Free Throw.,63,49
5:46,2428,C.J. Wiggins made Free Throw.,64,49
5:32,2377,Stephen Ugochukwu missed Three Point Jumper.,64,49
5:32,2428,Rashaun Madison Defensive Rebound.,64,49
5:24,2428,C.J. Wiggins Turnover.,64,49
5:23,2377,Jarren Greenwood Steal.,64,49
5:20,2377,Jarren Greenwood made Layup.,64,51
4:50,2428,Patrick Cole missed Jumper.,64,51
4:50,2377,Stephen Ugochukwu Defensive Rebound.,64,51
4:38,2377,Adrian Brown made Jumper. Assisted by Jarren Greenwood.,64,53
4:29,2428,North Carolina Central  Timeout,64,53
4:17,2428,Foul on Del'Vin Dickerson.,64,53
4:17,2428,Del'Vin Dickerson Turnover.,64,53
4:09,2377,Jarren Greenwood made Jumper. Assisted by Jamaya Burr.,64,55
3:56,2428,Foul on Dajuan Graf.,64,55
3:56,2428,Dajuan Graf Turnover.,64,55
3:50,2428,Foul on C.J. Wiggins.,64,55
3:50,2377,Jarren Greenwood made Free Throw.,64,56
3:50,2377,Jarren Greenwood missed Free Throw.,64,56
3:50,2428,Pablo Rivas Defensive Rebound.,64,56
3:39,2377,Foul on Jamaya Burr.,64,56
3:39,2428,C.J. Wiggins made Free Throw.,65,56
3:39,2428,C.J. Wiggins made Free Throw.,66,56
3:29,2377,Jamaya Burr made Layup.,66,58
3:05,2428,Patrick Cole made Layup.,68,58
2:54,2377,Kalob Ledoux missed Three Point Jumper.,68,58
2:54,2428,Del'Vin Dickerson Defensive Rebound.,68,58
2:31,2428,Foul on Patrick Cole.,68,58
2:31,2428,Patrick Cole Turnover.,68,58
2:17,2377,Jamaya Burr missed Jumper.,68,58
2:17,2377,Stephen Ugochukwu Offensive Rebound.,68,58
2:14,2428,Foul on Del'Vin Dickerson.,68,58
2:14,2377,Stephen Ugochukwu made Free Throw.,68,59
2:14,2377,Stephen Ugochukwu made Free Throw.,68,60
2:13,2377,Foul on Kalob Ledoux.,68,60
2:13,2428,Patrick Cole made Free Throw.,69,60
2:13,2428,Patrick Cole made Free Throw.,70,60
2:05,2377,Jamaya Burr missed Layup.,70,60
2:05,2428,Patrick Cole Defensive Rebound.,70,60
1:56,2428,Patrick Cole Turnover.,70,60
1:55,2377,James Harvey Steal.,70,60
1:53,2377,Kalob Ledoux made Three Point Jumper.,70,63
1:34,2428,Patrick Cole Turnover.,70,63
1:27,2377,Jamaya Burr missed Layup.,70,63
1:27,2377,Jamaya Burr Offensive Rebound.,70,63
1:25,2377,Jamaya Burr missed Layup.,70,63
1:25,2428,Pablo Rivas Block.,70,63
1:23,2428,Pablo Rivas Defensive Rebound.,70,63
1:15,2428,North Carolina Central  Timeout,70,63
1:01,2377,Foul on Kalob Ledoux.,70,63
1:01,2428,Patrick Cole made Free Throw.,71,63
1:01,2428,Patrick Cole made Free Throw.,72,63
0:55,2377,Kalob Ledoux made Three Point Jumper.,72,66
0:49,2428,North Carolina Central  Timeout,72,66
0:45,2428,Patrick Cole made Layup. Assisted by Rashaun Madison.,74,66
0:38,2377,Jamaya Burr missed Three Point Jumper.,74,66
0:38,2428,C.J. Wiggins Defensive Rebound.,74,66
0:14,2428,Patrick Cole missed Jumper.,74,66
0:14,2377,Stephen Ugochukwu Defensive Rebound.,74,66
0:08,2377,James Harvey missed Three Point Jumper.,74,66
0:08,2428,Patrick Cole Defensive Rebound.,74,66
0:00,2377,End of Game,74,66
