Texas Tech,257,Richmond,2641
12:31,2641,Justin Gray missed Jumper.,13,12
12:31,2641,Zach Smith Offensive Rebound.,13,12
12:31,257,Foul on T.J. Cline.,13,12
12:06,2641,Zach Smith missed Jumper.,13,12
12:06,257,Grant Golden Block.,13,12
12:06,2641,Zach Smith Offensive Rebound.,13,12
12:03,2641,Zach Smith made Jumper.,15,12
11:40,257,Grant Golden made Layup.,15,14
11:31,257,Foul on Grant Golden.,15,14
11:31,257,Official TV Timeout,15,14
11:29,257,Foul on Nick Sherod.,15,14
11:19,2641,Devon Thomas made Layup.,17,14
10:55,257,Khwan Fore made Layup.,17,16
10:43,2641,Zach Smith made Dunk. Assisted by Justin Gray.,19,16
10:26,257,Grant Golden missed Three Point Jumper.,19,16
10:26,2641,Devon Thomas Defensive Rebound.,19,16
10:05,2641,Devon Thomas missed Jumper.,19,16
10:05,257,Nick Sherod Defensive Rebound.,19,16
9:56,257,Khwan Fore made Jumper.,19,18
9:41,2641,Shadell Millinghaus Turnover.,19,18
9:40,257,Nick Sherod Steal.,19,18
9:29,257,Khwan Fore Turnover.,19,18
9:27,2641,Devon Thomas Steal.,19,18
9:24,2641,Shadell Millinghaus made Layup. Assisted by Devon Thomas.,21,18
9:02,257,T.J. Cline missed Three Point Jumper.,21,18
9:02,2641,Justin Gray Defensive Rebound.,21,18
8:49,2641,Aaron Ross missed Jumper.,21,18
8:49,257,T.J. Cline Defensive Rebound.,21,18
8:31,2641,Foul on Zach Smith.,21,18
8:31,257,Marshall Wood made Free Throw.,21,19
8:31,257,Marshall Wood made Free Throw.,21,20
8:21,2641,Justin Gray made Layup. Assisted by Keenan Evans.,23,20
8:14,257,T.J. Cline Turnover.,23,20
8:05,2641,Zach Smith made Dunk. Assisted by Anthony Livingston.,25,20
7:51,257,ShawnDre' Jones Turnover.,25,20
7:51,257,Foul on ShawnDre' Jones.,25,20
7:51,257,Official TV Timeout,25,20
7:39,2641,Keenan Evans missed Jumper.,25,20
7:39,257,Khwan Fore Defensive Rebound.,25,20
7:35,257,ShawnDre' Jones made Three Point Jumper. Assisted by Khwan Fore.,25,23
7:08,2641,Zach Smith missed Jumper.,25,23
7:08,257,Marshall Wood Defensive Rebound.,25,23
6:58,257,De'Monte Buckingham made Three Point Jumper. Assisted by Khwan Fore.,25,26
6:37,2641,Justin Gray missed Three Point Jumper.,25,26
6:37,257,Khwan Fore Defensive Rebound.,25,26
6:26,257,Marshall Wood missed Three Point Jumper.,25,26
6:26,2641,Justin Gray Defensive Rebound.,25,26
5:53,2641,Aaron Ross Turnover.,25,26
5:53,2641,Foul on Aaron Ross.,25,26
5:36,2641,Foul on Justin Gray.,25,26
5:36,257,T.J. Cline made Free Throw.,25,27
5:36,257,T.J. Cline made Free Throw.,25,28
5:22,2641,Devon Thomas Turnover.,25,28
5:22,2641,Foul on Devon Thomas.,25,28
5:09,257,Nick Sherod missed Three Point Jumper.,25,28
5:09,2641,Justin Gray Defensive Rebound.,25,28
4:52,2641,Zach Smith missed Layup.,25,28
4:52,2641,Aaron Ross Offensive Rebound.,25,28
4:50,2641,Aaron Ross missed Layup.,25,28
4:50,2641,Zach Smith Offensive Rebound.,25,28
4:47,2641,Zach Smith missed Jumper.,25,28
4:47,257,ShawnDre' Jones Defensive Rebound.,25,28
4:43,257,Julius Johnson Turnover.,25,28
4:43,257,Foul on Julius Johnson.,25,28
4:26,2641,Keenan Evans made Layup.,27,28
4:10,257,ShawnDre' Jones missed Jumper.,27,28
4:10,2641,Zach Smith Defensive Rebound.,27,28
4:08,257,Foul on ShawnDre' Jones.,27,28
4:08,2641,Zach Smith made Free Throw.,28,28
4:08,2641,Zach Smith missed Free Throw.,28,28
4:08,257,Julius Johnson Defensive Rebound.,28,28
3:55,257,De'Monte Buckingham made Three Point Jumper. Assisted by Khwan Fore.,28,31
3:31,2641,Justin Gray made Jumper. Assisted by Keenan Evans.,30,31
3:31,257,Foul on Julius Johnson.,30,31
3:31,257,Official TV Timeout,30,31
3:31,2641,Justin Gray made Free Throw.,31,31
3:04,257,Khwan Fore missed Jumper.,31,31
3:04,2641,Aaron Ross Block.,31,31
3:03,257,Khwan Fore Offensive Rebound.,31,31
3:01,257,Marshall Wood made Jumper. Assisted by Khwan Fore.,31,33
2:30,2641,Zach Smith made Jumper. Assisted by Justin Gray.,33,33
2:08,257,T.J. Cline missed Jumper.,33,33
2:08,257,De'Monte Buckingham Offensive Rebound.,33,33
2:06,2641,Foul on Justin Gray.,33,33
2:06,257,De'Monte Buckingham made Free Throw.,33,34
2:06,257,De'Monte Buckingham made Free Throw.,33,35
1:41,2641,Niem Stevenson missed Three Point Jumper.,33,35
1:41,257,De'Monte Buckingham Defensive Rebound.,33,35
1:26,257,Julius Johnson missed Three Point Jumper.,33,35
1:26,2641,Anthony Livingston Defensive Rebound.,33,35
1:16,2641,Keenan Evans Turnover.,33,35
1:15,257,De'Monte Buckingham Steal.,33,35
1:13,257,De'Monte Buckingham made Layup. Assisted by Khwan Fore.,33,37
1:13,2641,Foul on Anthony Livingston.,33,37
1:13,257,De'Monte Buckingham missed Free Throw.,33,37
1:13,2641,Aaron Ross Defensive Rebound.,33,37
0:42,2641,Aaron Ross missed Jumper.,33,37
0:42,2641,Devon Thomas Offensive Rebound.,33,37
0:38,2641,Texas Tech  Timeout,33,37
0:15,2641,Anthony Livingston made Jumper.,35,37
0:15,257,Foul on De'Monte Buckingham.,35,37
0:15,2641,Anthony Livingston made Free Throw.,36,37
0:04,257,T.J. Cline Turnover.,36,37
0:00,257,End of 1st half,36,37
19:50,257,T.J. Cline made Three Point Jumper. Assisted by Khwan Fore.,36,40
19:26,2641,Keenan Evans made Jumper.,38,40
18:57,257,T.J. Cline Turnover.,38,40
18:32,2641,Zach Smith made Jumper.,40,40
18:15,257,ShawnDre' Jones made Layup.,40,42
18:03,2641,Zach Smith made Dunk. Assisted by Devon Thomas.,42,42
17:52,257,Foul on Khwan Fore.,42,42
17:52,257,Khwan Fore Turnover.,42,42
17:30,2641,Justin Gray missed Jumper.,42,42
17:30,257,T.J. Cline Defensive Rebound.,42,42
17:13,257,Khwan Fore made Three Point Jumper. Assisted by ShawnDre' Jones.,42,45
16:52,257,Foul on Julius Johnson.,42,45
16:34,2641,Niem Stevenson missed Layup.,42,45
16:34,2641,Justin Gray Offensive Rebound.,42,45
16:33,2641,Justin Gray made Dunk.,44,45
16:21,257,Marshall Wood Turnover.,44,45
16:04,2641,Keenan Evans missed Jumper.,44,45
16:04,2641,Aaron Ross Offensive Rebound.,44,45
16:03,2641,Aaron Ross made Jumper.,46,45
15:48,257,T.J. Cline missed Jumper.,46,45
15:48,2641,Zach Smith Defensive Rebound.,46,45
15:14,2641,Justin Gray made Jumper. Assisted by Keenan Evans.,48,45
14:57,257,ShawnDre' Jones missed Three Point Jumper.,48,45
14:57,2641,Zach Smith Defensive Rebound.,48,45
14:38,2641,Zach Smith missed Jumper.,48,45
14:38,2641,Niem Stevenson Offensive Rebound.,48,45
14:36,2641,Niem Stevenson made Jumper.,50,45
14:36,257,Official TV Timeout,50,45
14:25,257,De'Monte Buckingham Turnover.,50,45
14:22,2641,Devon Thomas Steal.,50,45
14:22,2641,Devon Thomas made Jumper.,52,45
14:13,257,Nick Sherod made Layup. Assisted by De'Monte Buckingham.,52,47
13:55,2641,Shadell Millinghaus Turnover.,52,47
13:55,257,Khwan Fore Steal.,52,47
13:46,257,T.J. Cline missed Layup.,52,47
13:46,2641,Aaron Ross Defensive Rebound.,52,47
13:29,2641,Anthony Livingston missed Jumper.,52,47
13:29,2641,Anthony Livingston Offensive Rebound.,52,47
13:20,2641,Aaron Ross missed Jumper.,52,47
13:20,257,ShawnDre' Jones Defensive Rebound.,52,47
13:10,257,T.J. Cline made Layup.,52,49
12:46,2641,Anthony Livingston made Jumper.,54,49
12:09,257,ShawnDre' Jones missed Three Point Jumper.,54,49
12:09,2641,Justin Gray Defensive Rebound.,54,49
11:45,2641,Devon Thomas made Three Point Jumper. Assisted by Justin Gray.,57,49
11:25,257,Nick Sherod missed Three Point Jumper.,57,49
11:25,2641,Anthony Livingston Defensive Rebound.,57,49
11:06,257,Foul on T.J. Cline.,57,49
11:06,257,Official TV Timeout,57,49
10:58,2641,Devon Thomas made Layup. Assisted by Zach Smith.,59,49
10:36,257,De'Monte Buckingham missed Jumper.,59,49
10:36,2641,Devon Thomas Defensive Rebound.,59,49
10:26,2641,Devon Thomas missed Jumper.,59,49
10:26,257,De'Monte Buckingham Block.,59,49
10:23,2641,Keenan Evans Offensive Rebound.,59,49
10:21,257,Foul on De'Monte Buckingham.,59,49
10:21,2641,Keenan Evans made Free Throw.,60,49
10:21,2641,Keenan Evans missed Free Throw.,60,49
10:21,257,T.J. Cline Defensive Rebound.,60,49
9:58,257,De'Monte Buckingham missed Three Point Jumper.,60,49
9:58,2641,Niem Stevenson Defensive Rebound.,60,49
9:43,257,Foul on De'Monte Buckingham.,60,49
9:43,2641,Zach Smith made Free Throw.,61,49
9:43,2641,Zach Smith made Free Throw.,62,49
9:30,257,Julius Johnson missed Three Point Jumper.,62,49
9:30,2641,Devon Thomas Defensive Rebound.,62,49
9:11,2641,Devon Thomas missed Jumper.,62,49
9:11,257,T.J. Cline Defensive Rebound.,62,49
9:11,2641,Foul on Zach Smith.,62,49
8:58,257,T.J. Cline missed Three Point Jumper.,62,49
8:58,2641,Shadell Millinghaus Defensive Rebound.,62,49
8:30,2641,Devon Thomas made Jumper.,64,49
8:18,257,Marshall Wood missed Three Point Jumper.,64,49
8:18,2641,Keenan Evans Defensive Rebound.,64,49
8:09,257,Foul on Julius Johnson.,64,49
7:50,2641,Aaron Ross Turnover.,64,49
7:50,257,Official TV Timeout,64,49
7:35,257,T.J. Cline Turnover.,64,49
7:35,257,Foul on T.J. Cline.,64,49
7:08,2641,Anthony Livingston missed Three Point Jumper.,64,49
7:08,2641,Zach Smith Offensive Rebound.,64,49
6:58,2641,Keenan Evans missed Three Point Jumper.,64,49
6:58,2641,Anthony Livingston Offensive Rebound.,64,49
6:56,2641,Anthony Livingston Turnover.,64,49
6:33,257,Khwan Fore missed Layup.,64,49
6:33,2641,Zach Smith Block.,64,49
6:33,2641,Zach Smith Defensive Rebound.,64,49
6:04,2641,Zach Smith missed Jumper.,64,49
6:04,2641,Aaron Ross Offensive Rebound.,64,49
6:04,257,Foul on De'Monte Buckingham.,64,49
6:04,2641,Aaron Ross made Free Throw.,65,49
6:04,2641,Aaron Ross made Free Throw.,66,49
5:53,257,T.J. Cline missed Layup.,66,49
5:53,2641,Zach Smith Defensive Rebound.,66,49
5:43,257,Foul on Marshall Wood.,66,49
5:43,2641,Aaron Ross missed Free Throw.,66,49
5:43,257,T.J. Cline Defensive Rebound.,66,49
5:28,257,Khwan Fore made Three Point Jumper. Assisted by ShawnDre' Jones.,66,52
5:09,2641,Aaron Ross Turnover.,66,52
5:08,257,Khwan Fore Steal.,66,52
5:03,257,Khwan Fore missed Jumper.,66,52
5:03,257,T.J. Cline Offensive Rebound.,66,52
4:49,257,Khwan Fore made Layup.,66,54
4:19,257,Foul on T.J. Cline.,66,54
4:19,2641,Texas Tech  Timeout,66,54
4:19,2641,Devon Thomas missed Free Throw.,66,54
4:19,2641,Texas Tech Deadball Team Rebound.,66,54
4:19,2641,Devon Thomas missed Free Throw.,66,54
4:19,257,Marshall Wood Defensive Rebound.,66,54
4:09,2641,Foul on Anthony Livingston.,66,54
4:09,257,T.J. Cline made Free Throw.,66,55
4:09,257,T.J. Cline made Free Throw.,66,56
3:40,2641,Zach Smith missed Jumper.,66,56
3:40,257,De'Monte Buckingham Defensive Rebound.,66,56
3:28,257,ShawnDre' Jones Turnover.,66,56
3:25,2641,Justin Gray Steal.,66,56
2:59,2641,Zach Smith missed Jumper.,66,56
2:59,257,Kwesi Abakah Defensive Rebound.,66,56
2:47,257,ShawnDre' Jones made Three Point Jumper.,66,59
2:46,257,Richmond  Timeout,66,59
2:16,2641,Zach Smith missed Jumper.,66,59
2:16,2641,Justin Gray Offensive Rebound.,66,59
2:01,2641,Devon Thomas made Layup.,68,59
1:43,257,De'Monte Buckingham missed Three Point Jumper.,68,59
1:43,2641,Justin Gray Defensive Rebound.,68,59
1:22,2641,Keenan Evans Turnover.,68,59
1:21,257,De'Monte Buckingham Steal.,68,59
1:14,2641,Foul on Zach Smith.,68,59
1:14,257,De'Monte Buckingham made Free Throw.,68,60
1:14,257,De'Monte Buckingham missed Free Throw.,68,60
1:14,2641,Devon Thomas Defensive Rebound.,68,60
1:03,257,Foul on Khwan Fore.,68,60
1:03,2641,Keenan Evans made Free Throw.,69,60
1:03,2641,Keenan Evans made Free Throw.,70,60
0:57,257,ShawnDre' Jones made Three Point Jumper. Assisted by T.J. Cline.,70,63
0:57,257,Richmond  Timeout,70,63
0:55,2641,Devon Thomas made Layup. Assisted by Justin Gray.,72,63
0:48,257,ShawnDre' Jones made Three Point Jumper.,72,66
0:47,257,Foul on Joe Kirby.,72,66
0:47,2641,Devon Thomas made Free Throw.,73,66
0:47,2641,Devon Thomas made Free Throw.,74,66
0:44,2641,Foul on Devon Thomas.,74,66
0:39,257,Khwan Fore made Layup.,74,68
0:39,257,Richmond  Timeout,74,68
0:37,257,Foul on ShawnDre' Jones.,74,68
0:37,2641,Anthony Livingston made Free Throw.,75,68
0:37,2641,Anthony Livingston made Free Throw.,76,68
0:37,2641,Texas Tech  Timeout,76,68
0:28,257,De'Monte Buckingham missed Jumper.,76,68
0:28,257,De'Monte Buckingham Offensive Rebound.,76,68
0:27,2641,Foul on Aaron Ross.,76,68
0:27,257,De'Monte Buckingham made Free Throw.,76,69
0:27,257,De'Monte Buckingham made Free Throw.,76,70
0:26,257,Foul on Marshall Wood.,76,70
0:26,2641,Anthony Livingston made Free Throw.,77,70
0:26,2641,Anthony Livingston missed Free Throw.,77,70
0:26,2641,Justin Gray Offensive Rebound.,77,70
0:23,257,Foul on Khwan Fore.,77,70
0:23,2641,Justin Gray missed Free Throw.,77,70
0:23,2641,Texas Tech Deadball Team Rebound.,77,70
0:23,2641,Justin Gray missed Free Throw.,77,70
0:23,257,T.J. Cline Defensive Rebound.,77,70
0:19,257,ShawnDre' Jones missed Three Point Jumper.,77,70
0:19,257,De'Monte Buckingham Offensive Rebound.,77,70
0:11,257,Khwan Fore made Jumper.,77,72
0:11,2641,Foul on Justin Gray.,77,72
0:11,257,Khwan Fore missed Free Throw.,77,72
0:11,257,Kwesi Abakah Offensive Rebound.,77,72
0:07,257,ShawnDre' Jones Turnover.,77,72
0:07,257,Foul on Kwesi Abakah.,77,72
0:07,2641,Aaron Ross made Free Throw.,78,72
0:07,2641,Aaron Ross made Free Throw.,79,72
0:03,257,ShawnDre' Jones missed Three Point Jumper.,79,72
0:03,2641,Keenan Evans Defensive Rebound.,79,72
0:00,257,End of Game,79,72
