Lander,2579,South Carolina,2322
16:23,-1,JR Washington made Three Point Jumper. Assisted by Rahu Purdie.,26,59
15:56,-1,Foul on TJ Knight.,26,59
15:56,2579,Official TV Timeout,26,59
15:56,2579,Khadim Gueye missed Free Throw.,26,59
15:56,2579,South Carolina Deadball Team Rebound.,26,59
15:56,2579,Khadim Gueye missed Free Throw.,26,59
15:56,-1,Taylor Buffkin Defensive Rebound.,26,59
15:43,-1,JR Washington missed Three Point Jumper.,26,59
15:43,2579,Khadim Gueye Defensive Rebound.,26,59
15:32,2579,Duane Notice made Jumper.,26,61
15:10,-1,TJ Knight missed Jumper.,26,61
15:10,-1,Taylor Buffkin Offensive Rebound.,26,61
15:05,-1,Taylor Buffkin missed Three Point Jumper.,26,61
15:05,2579,Chris Silva Defensive Rebound.,26,61
15:01,-1,Foul on TJ Knight.,26,61
14:50,2579,PJ Dozier made Three Point Jumper. Assisted by Rakym Felder.,26,64
14:24,2579,Foul on PJ Dozier.,26,64
14:24,-1,JR Washington made Free Throw.,27,64
14:24,-1,JR Washington made Free Throw.,28,64
14:24,-1,JR Washington made Free Throw.,29,64
14:24,-1,Lander  Timeout,29,64
14:01,2579,PJ Dozier made Jumper.,29,66
13:37,-1,Jordan Dingle missed Layup.,29,66
13:37,2579,Maik Kotsar Block.,29,66
13:37,2579,Maik Kotsar Defensive Rebound.,29,66
13:29,2579,PJ Dozier made Dunk. Assisted by Hassani Gravett.,29,68
13:22,-1,Jordan Dingle made Jumper.,31,68
12:57,2579,Rakym Felder made Layup.,31,70
12:38,-1,JR Washington made Jumper.,33,70
12:19,2579,Rakym Felder made Three Point Jumper.,33,73
12:03,2579,Foul on Rakym Felder.,33,73
12:02,-1,Clenzo Ross made Three Point Jumper. Assisted by JR Washington.,36,73
11:52,-1,Foul on Srdjan Ivic.,36,73
11:52,2579,Official TV Timeout,36,73
11:43,2579,Rakym Felder missed Three Point Jumper.,36,73
11:43,-1,Srdjan Ivic Defensive Rebound.,36,73
11:35,-1,JR Washington made Three Point Jumper. Assisted by Clenzo Ross.,39,73
11:11,2579,Duane Notice missed Three Point Jumper.,39,73
11:11,2579,South Carolina Deadball Team Rebound.,39,73
11:07,-1,Foul on JR Washington.,39,73
11:04,2579,Hassani Gravett missed Three Point Jumper.,39,73
11:04,-1,Jordan Dingle Defensive Rebound.,39,73
10:53,-1,Chris Tate made Layup. Assisted by Jarryd Coleman.,41,73
10:46,2579,Rakym Felder Turnover.,41,73
10:46,-1,Telvin Gabriel Steal.,41,73
10:33,-1,Telvin Gabriel made Jumper. Assisted by Jarryd Coleman.,43,73
10:07,2579,Sedee Keita missed Jumper.,43,73
10:07,-1,Clenzo Ross Defensive Rebound.,43,73
9:57,-1,Jordan Dingle missed Three Point Jumper.,43,73
9:57,2579,Maik Kotsar Defensive Rebound.,43,73
9:46,2579,Rakym Felder missed Jumper.,43,73
9:46,2579,Sedee Keita Offensive Rebound.,43,73
9:46,2579,Sedee Keita made Two Point Tip Shot.,43,75
9:28,-1,Chris Tate missed Jumper.,43,75
9:28,2579,Maik Kotsar Block.,43,75
9:28,2579,Maik Kotsar Defensive Rebound.,43,75
9:14,2579,Maik Kotsar made Layup. Assisted by Rakym Felder.,43,77
9:14,-1,Foul on Clenzo Ross.,43,77
9:14,2579,Maik Kotsar missed Free Throw.,43,77
9:14,-1,Jarryd Coleman Defensive Rebound.,43,77
8:47,2579,Foul on Chris Silva.,43,77
8:47,-1,Telvin Gabriel made Free Throw.,44,77
8:47,-1,Telvin Gabriel missed Free Throw.,44,77
8:47,2579,Chris Silva Defensive Rebound.,44,77
8:39,2579,Duane Notice missed Three Point Jumper.,44,77
8:39,2579,Chris Silva Offensive Rebound.,44,77
8:33,-1,Foul on Jordan Dingle.,44,77
8:29,2579,Duane Notice missed Three Point Jumper.,44,77
8:29,-1,TJ Knight Defensive Rebound.,44,77
8:08,-1,JR Washington Turnover.,44,77
7:47,2579,Duane Notice missed Layup.,44,77
7:47,2579,Justin McKie Offensive Rebound.,44,77
7:44,-1,Foul on Clenzo Ross.,44,77
7:44,2579,Official TV Timeout,44,77
7:44,2579,Justin McKie made Free Throw.,44,78
7:44,2579,Justin McKie made Free Throw.,44,79
7:25,-1,Clenzo Ross made Jumper.,46,79
7:14,2579,Justin McKie missed Three Point Jumper.,46,79
7:14,-1,Jarryd Coleman Defensive Rebound.,46,79
7:05,-1,JR Washington missed Three Point Jumper.,46,79
7:05,2579,Maik Kotsar Defensive Rebound.,46,79
6:39,2579,Chris Silva missed Jumper.,46,79
6:39,-1,TJ Knight Defensive Rebound.,46,79
6:30,-1,Jarryd Coleman made Three Point Jumper. Assisted by Clenzo Ross.,49,79
6:10,2579,Maik Kotsar missed Jumper.,49,79
6:10,-1,Clenzo Ross Defensive Rebound.,49,79
6:04,-1,Jordan Dingle made Layup. Assisted by Clenzo Ross.,51,79
5:53,2579,Justin McKie missed Jumper.,51,79
5:53,-1,Clenzo Ross Defensive Rebound.,51,79
5:35,-1,TJ Knight missed Layup.,51,79
5:35,-1,Clenzo Ross Offensive Rebound.,51,79
5:29,-1,TJ Knight missed Jumper.,51,79
5:29,2579,Chris Silva Block.,51,79
5:29,2579,PJ Dozier Defensive Rebound.,51,79
5:22,2579,Duane Notice made Layup. Assisted by PJ Dozier.,51,81
5:07,-1,Jarryd Coleman missed Three Point Jumper.,51,81
5:07,-1,TJ Knight Offensive Rebound.,51,81
5:01,-1,Jordan Dingle missed Three Point Jumper.,51,81
5:01,2579,Chris Silva Defensive Rebound.,51,81
4:37,2579,Chris Silva missed Layup.,51,81
4:37,-1,JR Washington Defensive Rebound.,51,81
4:25,-1,Jarryd Coleman missed Three Point Jumper.,51,81
4:25,2579,Chris Silva Defensive Rebound.,51,81
4:17,2579,Chris Silva Turnover.,51,81
4:00,-1,TJ Knight missed Jumper.,51,81
4:00,2579,Khadim Gueye Defensive Rebound.,51,81
3:44,2579,PJ Dozier made Three Point Jumper. Assisted by Hassani Gravett.,51,84
3:24,-1,Rahu Purdie made Jumper.,53,84
3:16,2579,Sedee Keita made Dunk. Assisted by Hassani Gravett.,53,86
2:48,-1,Jarryd Coleman Turnover.,53,86
2:48,2579,Official TV Timeout,53,86
2:19,-1,Foul on Taylor Buffkin.,53,86
2:19,2579,Hassani Gravett made Free Throw.,53,87
2:19,2579,Hassani Gravett made Free Throw.,53,88
2:04,-1,Rahu Purdie made Jumper.,55,88
1:49,2579,Justin McKie made Jumper.,55,90
1:33,-1,Nicklas Jonsson made Layup. Assisted by TJ Knight.,57,90
1:23,2579,South Carolina  Timeout,57,90
1:17,2579,Sedee Keita missed Jumper.,57,90
1:17,2579,Ran Tut Offensive Rebound.,57,90
1:06,2579,Rakym Felder Turnover.,57,90
1:06,-1,JR Washington Steal.,57,90
0:59,2579,Foul on Tommy Corchiani.,57,90
0:59,-1,JR Washington made Free Throw.,58,90
0:59,-1,JR Washington made Free Throw.,59,90
0:44,2579,Rakym Felder missed Layup.,59,90
0:44,2579,Sedee Keita Offensive Rebound.,59,90
0:44,2579,Sedee Keita missed Two Point Tip Shot.,59,90
0:44,-1,JR Washington Defensive Rebound.,59,90
0:35,-1,JR Washington Turnover.,59,90
0:35,2579,Rakym Felder Steal.,59,90
0:33,2579,Tommy Corchiani Turnover.,59,90
0:33,-1,JR Washington Steal.,59,90
0:24,-1,Nicklas Jonsson missed Three Point Jumper.,59,90
0:24,2579,Ran Tut Block.,59,90
0:24,-1,Lander Offensive Rebound.,59,90
0:20,-1,Rahu Purdie made Three Point Jumper.,62,90
0:00,2579,End of Game,62,90
