Le Tourneau,Error,Northwestern State,2466
4:12,2466,Tanner Hamilton missed Free Throw.,40,28
4:12,2466,Sabri Thompson Offensive Rebound.,40,28
4:09,2466,Sabri Thompson made Layup.,40,30
3:52,2326,Jeff Martin missed Jumper.,40,30
3:52,2466,Sabri Thompson Defensive Rebound.,40,30
3:45,2466,Josh Boyd Turnover.,40,30
3:45,2466,Official TV Timeout,40,30
3:35,2326,Nate West missed Jumper.,40,30
3:35,2466,Tra'von Joseph Defensive Rebound.,40,30
3:27,2466,Josh Boyd made Three Point Jumper. Assisted by Tra'von Joseph.,40,33
3:00,2466,Foul on Josh Boyd.,40,33
3:00,2326,Cordele Jackson made Free Throw.,41,33
3:00,2326,Cordele Jackson made Free Throw.,42,33
2:50,2326,Foul on Caylab Herrera.,42,33
2:50,2466,Ishmael Lane missed Free Throw.,42,33
2:50,2466,Northwestern St Deadball Team Rebound.,42,33
2:50,2466,Ishmael Lane missed Free Throw.,42,33
2:50,2326,Sam Talbert Defensive Rebound.,42,33
2:45,2326,Le Tourneau  Timeout,42,33
2:30,2326,Nate West Turnover.,42,33
2:16,2466,Ishmael Lane Turnover.,42,33
2:14,2326,C.J. Bird Steal.,42,33
1:53,2326,Jeff Martin missed Layup.,42,33
1:53,2466,Tra'von Joseph Block.,42,33
1:51,2466,Ishmael Lane Defensive Rebound.,42,33
1:46,2466,Devonte Hall missed Jumper.,42,33
1:46,2466,Tra'von Joseph Offensive Rebound.,42,33
1:42,2326,Foul on Sam Talbert.,42,33
1:42,2466,Tra'von Joseph made Free Throw.,42,34
1:42,2466,Tra'von Joseph missed Free Throw.,42,34
1:42,2326,Caleb Loggins Defensive Rebound.,42,34
1:20,2326,C.J. Bird Turnover.,42,34
1:19,2466,Iziahiah Sweeney Steal.,42,34
1:07,2466,Zeek Woodley Turnover.,42,34
1:07,2326,Sam Talbert Steal.,42,34
1:02,2326,Caleb Loggins Turnover.,42,34
0:49,2466,Ishmael Lane made Layup.,42,36
0:49,2326,Foul on Erick Roberson.,42,36
0:49,2466,Ishmael Lane missed Free Throw.,42,36
0:49,2326,Caleb Loggins Defensive Rebound.,42,36
0:23,2326,Jeff Martin made Layup.,44,36
0:03,2466,Zeek Woodley made Three Point Jumper.,44,39
0:00,2466,End of 1st half,44,39
19:43,2326,Alec Colhoff made Three Point Jumper. Assisted by Caylab Herrera.,47,39
19:17,2326,Foul on Jeff Martin.,47,39
19:17,2466,Devonte Hall made Free Throw.,47,40
19:17,2466,Devonte Hall made Free Throw.,47,41
18:58,2326,Alec Colhoff made Three Point Jumper. Assisted by Caleb Loggins.,50,41
18:43,2466,Sabri Thompson made Jumper.,50,43
18:19,2326,Alec Colhoff made Layup. Assisted by Sam Talbert.,52,43
18:06,2466,Sabri Thompson missed Layup.,52,43
18:06,2326,Alec Colhoff Defensive Rebound.,52,43
17:56,2326,Jeff Martin missed Layup.,52,43
17:56,2466,Tra'von Joseph Defensive Rebound.,52,43
17:38,2466,Sabri Thompson missed Layup.,52,43
17:38,2326,Alec Colhoff Defensive Rebound.,52,43
17:29,2326,Alec Colhoff made Jumper.,54,43
17:29,2466,Foul on Ishmael Lane.,54,43
17:29,2326,Alec Colhoff missed Free Throw.,54,43
17:29,2466,Malik Metoyer Defensive Rebound.,54,43
17:28,2326,Foul on Caleb Loggins.,54,43
17:14,2466,Iziahiah Sweeney missed Jumper.,54,43
17:14,2466,Tanner Hamilton Offensive Rebound.,54,43
17:10,2466,Tanner Hamilton missed Layup.,54,43
17:10,2466,Iziahiah Sweeney Offensive Rebound.,54,43
17:07,2326,Foul on Caylab Herrera.,54,43
17:07,2466,Iziahiah Sweeney made Free Throw.,54,44
17:07,2466,Iziahiah Sweeney made Free Throw.,54,45
16:43,2326,Sam Talbert missed Jumper.,54,45
16:41,2326,Le Tourneau Offensive Rebound.,54,45
16:32,2326,Alec Colhoff made Three Point Jumper. Assisted by Jeff Martin.,57,45
16:09,2466,Tanner Hamilton Turnover.,57,45
16:08,2326,Caleb Loggins Steal.,57,45
16:08,2466,Foul on Malik Metoyer.,57,45
15:50,2326,Caleb Loggins made Layup.,59,45
15:31,2466,Iziahiah Sweeney made Jumper.,59,47
15:07,2326,Caleb Loggins made Jumper. Assisted by Sam Talbert.,61,47
14:56,2326,Foul on Alec Colhoff.,61,47
14:56,2466,Official TV Timeout,61,47
14:52,2466,Zeek Woodley missed Jumper.,61,47
14:52,2466,Ishmael Lane Offensive Rebound.,61,47
14:48,2466,Ishmael Lane missed Layup.,61,47
14:48,2466,Sabri Thompson Offensive Rebound.,61,47
14:45,2466,Sabri Thompson made Layup.,61,49
14:22,2326,Jeff Martin made Layup.,63,49
14:11,2466,Sabri Thompson missed Three Point Jumper.,63,49
14:11,2466,Zeek Woodley Offensive Rebound.,63,49
14:07,2466,Zeek Woodley made Layup.,63,51
13:47,2326,Jeff Martin missed Layup.,63,51
13:47,2326,Alec Colhoff Offensive Rebound.,63,51
13:43,2326,Alec Colhoff made Layup.,65,51
13:31,2466,Zeek Woodley missed Layup.,65,51
13:31,2466,Ishmael Lane Offensive Rebound.,65,51
13:28,2466,Ishmael Lane made Layup.,65,53
13:10,2326,Alec Colhoff missed Three Point Jumper.,65,53
13:10,2466,Sabri Thompson Defensive Rebound.,65,53
12:59,2326,Foul on Alec Colhoff.,65,53
12:59,2466,Zeek Woodley made Free Throw.,65,54
12:59,2466,Zeek Woodley made Free Throw.,65,55
12:33,2326,Christian Seidl made Three Point Jumper. Assisted by Caleb Loggins.,68,55
12:22,2326,Foul on Caleb Loggins.,68,55
12:22,2466,Iziahiah Sweeney made Free Throw.,68,56
12:22,2466,Iziahiah Sweeney made Free Throw.,68,57
11:57,2326,Sam Talbert missed Three Point Jumper.,68,57
11:57,2326,Christian Seidl Offensive Rebound.,68,57
11:45,2326,Christian Seidl made Layup. Assisted by Caleb Loggins.,70,57
11:28,2466,Tra'von Joseph made Layup.,70,59
11:07,2326,Jeff Martin Turnover.,70,59
11:06,2466,Ishmael Lane Steal.,70,59
11:02,2326,Foul on Jeff Martin.,70,59
11:02,2466,Official TV Timeout,70,59
11:02,2466,Zeek Woodley made Free Throw.,70,60
11:02,2466,Zeek Woodley made Free Throw.,70,61
10:50,2326,Alec Colhoff missed Layup.,70,61
10:50,2466,Ishmael Lane Block.,70,61
10:49,2326,Caleb Loggins Offensive Rebound.,70,61
10:48,2466,Foul on Ishmael Lane.,70,61
10:48,2326,Caleb Loggins missed Free Throw.,70,61
10:48,2326,Le Tourneau Deadball Team Rebound.,70,61
10:48,2326,Caleb Loggins made Free Throw.,71,61
10:37,2466,Ishmael Lane made Jumper. Assisted by Devonte Hall.,71,63
10:13,2326,Alec Colhoff missed Three Point Jumper.,71,63
10:13,2466,Tra'von Joseph Defensive Rebound.,71,63
10:05,2466,Iziahiah Sweeney missed Jumper.,71,63
10:05,2326,Christian Seidl Offensive Rebound.,71,63
9:55,2326,Sam Talbert made Three Point Jumper. Assisted by Bryson Erby.,74,63
9:34,2466,Tra'von Joseph missed Layup.,74,63
9:34,2466,Tra'von Joseph Offensive Rebound.,74,63
9:32,2466,Tra'von Joseph made Layup.,74,65
9:12,2326,Sam Talbert Turnover.,74,65
9:11,2466,Iziahiah Sweeney Steal.,74,65
9:01,2466,Iziahiah Sweeney missed Layup.,74,65
9:01,2326,Caleb Loggins Defensive Rebound.,74,65
8:47,2326,Christian Seidl missed Three Point Jumper.,74,65
8:47,2466,Tra'von Joseph Defensive Rebound.,74,65
8:36,2466,Foul on Devonte Hall.,74,65
8:36,2466,Devonte Hall Turnover.,74,65
8:26,2326,Le Tourneau  Timeout,74,65
8:12,2326,Alec Colhoff missed Layup.,74,65
8:12,2466,Sabri Thompson Defensive Rebound.,74,65
8:05,2466,Zeek Woodley missed Layup.,74,65
8:05,2326,Alec Colhoff Defensive Rebound.,74,65
8:02,2466,Foul on Devonte Hall.,74,65
7:40,2326,Caleb Loggins missed Jumper.,74,65
7:40,2466,Sabri Thompson Defensive Rebound.,74,65
7:34,2466,Sabri Thompson missed Layup.,74,65
7:34,2326,Caleb Loggins Block.,74,65
7:34,2466,Northwestern St Offensive Rebound.,74,65
7:33,2466,Official TV Timeout,74,65
7:31,2466,Zeek Woodley Turnover.,74,65
7:16,2326,Jeff Martin made Jumper.,76,65
7:07,2326,Foul on Nate West.,76,65
7:07,2466,Josh Boyd missed Free Throw.,76,65
7:07,2326,Bryson Erby Defensive Rebound.,76,65
7:00,2326,Caleb Loggins made Layup.,78,65
6:43,2466,Josh Boyd Turnover.,78,65
6:43,2326,Nate West Steal.,78,65
6:43,2326,Nate West Turnover.,78,65
6:41,2466,Zeek Woodley made Layup. Assisted by Devonte Hall.,78,67
6:15,2326,Alec Colhoff missed Three Point Jumper.,78,67
6:15,2466,Tra'von Joseph Defensive Rebound.,78,67
6:06,2466,Josh Boyd missed Three Point Jumper.,78,67
6:06,2466,Zeek Woodley Offensive Rebound.,78,67
6:01,2466,Zeek Woodley missed Layup.,78,67
6:01,2466,Tra'von Joseph Offensive Rebound.,78,67
5:58,2466,Tra'von Joseph made Layup.,78,69
5:29,2326,Jeff Martin missed Jumper.,78,69
5:29,2466,Josh Boyd Defensive Rebound.,78,69
5:21,2326,Foul on Alec Colhoff.,78,69
5:21,2466,Josh Boyd made Free Throw.,78,70
5:21,2466,Josh Boyd missed Free Throw.,78,70
5:21,2326,Alec Colhoff Defensive Rebound.,78,70
5:06,2326,Jeff Martin Turnover.,78,70
5:05,2466,Josh Boyd Steal.,78,70
5:03,2326,Foul on Alec Colhoff.,78,70
5:03,2466,Zeek Woodley made Free Throw.,78,71
5:03,2466,Zeek Woodley made Free Throw.,78,72
4:36,2326,Caleb Loggins made Jumper. Assisted by Sam Talbert.,80,72
4:25,2466,Josh Boyd made Three Point Jumper.,80,75
4:21,2466,Northwestern St  Timeout,80,75
3:50,2326,Jeff Martin missed Jumper.,80,75
3:50,2466,Tra'von Joseph Defensive Rebound.,80,75
3:48,2326,Foul on Christian Seidl.,80,75
3:48,2466,Tra'von Joseph made Free Throw.,80,76
3:48,2466,Tra'von Joseph made Free Throw.,80,77
3:40,2326,Jeff Martin Turnover.,80,77
3:39,2466,Iziahiah Sweeney Steal.,80,77
3:37,2466,Iziahiah Sweeney made Dunk. Assisted by Tra'von Joseph.,80,79
3:34,2326,Le Tourneau  Timeout,80,79
3:14,2326,Nate West missed Jumper.,80,79
3:14,2466,Tra'von Joseph Block.,80,79
3:10,2466,Josh Boyd Defensive Rebound.,80,79
2:56,2326,Foul on Christian Seidl.,80,79
2:56,2466,Devonte Hall missed Free Throw.,80,79
2:56,2466,Northwestern St Deadball Team Rebound.,80,79
2:56,2466,Devonte Hall made Free Throw.,80,80
2:39,2326,Jeff Martin made Layup.,82,80
2:29,2466,Tra'von Joseph made Layup. Assisted by Devonte Hall.,82,82
2:05,2326,Bryson Erby made Three Point Jumper. Assisted by Alec Colhoff.,85,82
1:52,2326,Foul on Bryson Erby.,85,82
1:52,2466,Zeek Woodley made Free Throw.,85,83
1:52,2466,Zeek Woodley made Free Throw.,85,84
1:41,2326,Sam Talbert Turnover.,85,84
1:33,2466,Zeek Woodley made Jumper. Assisted by Devonte Hall.,85,86
1:20,2326,Jeff Martin made Jumper.,87,86
1:03,2466,Zeek Woodley missed Layup.,87,86
1:03,2466,Ishmael Lane Offensive Rebound.,87,86
0:58,2466,Ishmael Lane missed Layup.,87,86
0:58,2466,Ishmael Lane Offensive Rebound.,87,86
0:54,2466,Ishmael Lane made Layup.,87,88
0:41,2326,Alec Colhoff missed Jumper.,87,88
0:41,2466,Sabri Thompson Defensive Rebound.,87,88
0:10,2466,Zeek Woodley made Jumper.,87,90
0:04,2326,Sam Talbert Turnover.,87,90
0:02,2466,Josh Boyd Steal.,87,90
0:00,2466,Ishmael Lane made Dunk. Assisted by Josh Boyd.,87,92
0:00,2466,End of Game,87,92
