UT Arlington,8,Arkansas,250
16:01,250,Jorge Bilbao Offensive Rebound.,11,2
15:55,250,Jorge Bilbao Turnover.,11,2
15:54,8,Dustin Thomas Steal.,11,2
15:51,8,Daryl Macon made Layup. Assisted by Jaylen Barford.,11,4
15:36,250,Drew Charles made Jumper.,13,4
15:27,8,Jaylen Barford Turnover.,13,4
15:21,250,Erick Neal missed Three Point Jumper.,13,4
15:21,8,Dustin Thomas Defensive Rebound.,13,4
15:13,8,Daryl Macon Turnover.,13,4
15:13,250,Erick Neal Steal.,13,4
15:13,8,Official TV Timeout,13,4
14:56,8,Foul on Dustin Thomas.,13,4
14:54,8,Foul on Anton Beard.,13,4
14:36,250,DJ Bryant made Layup.,15,4
14:26,8,Manuale Watkins made Jumper.,15,6
13:59,250,Kevin Hervey made Layup. Assisted by Kaelon Wilson.,17,6
13:33,8,Moses Kingsley missed Jumper.,17,6
13:33,250,Kevin Hervey Defensive Rebound.,17,6
13:26,250,Kaelon Wilson made Jumper. Assisted by Kevin Hervey.,19,6
13:23,8,Arkansas  Timeout,19,6
13:15,250,Foul on DJ Bryant.,19,6
13:08,8,Arlando Cook missed Jumper.,19,6
13:08,250,UT-Arlington Defensive Rebound.,19,6
12:56,250,Kevin Hervey made Three Point Jumper. Assisted by Kaelon Wilson.,22,6
12:45,8,Manuale Watkins made Jumper. Assisted by Anton Beard.,22,8
12:37,250,Kaelon Wilson made Three Point Jumper. Assisted by DJ Bryant.,25,8
12:22,8,Arlando Cook Turnover.,25,8
12:22,250,DJ Bryant Steal.,25,8
12:20,8,Foul on Anton Beard.,25,8
12:17,8,Anton Beard missed Jumper.,25,8
12:17,8,Arlando Cook Offensive Rebound.,25,8
11:56,250,Kaelon Wilson Turnover.,25,8
11:56,8,Arlando Cook Steal.,25,8
11:54,8,Arkansas  Timeout,25,8
11:40,8,Arlando Cook missed Jumper.,25,8
11:40,8,Trey Thompson Offensive Rebound.,25,8
11:37,8,Trey Thompson made Layup.,25,10
11:35,250,Foul on Nathan Hawkins.,25,10
11:35,8,Trey Thompson made Free Throw.,25,11
11:16,250,Kevin Hervey missed Three Point Jumper.,25,11
11:16,8,Arkansas Defensive Rebound.,25,11
10:45,8,Jaylen Barford missed Three Point Jumper.,25,11
10:45,8,Trey Thompson Offensive Rebound.,25,11
10:39,8,Jaylen Barford missed Jumper.,25,11
10:39,8,Trey Thompson Offensive Rebound.,25,11
10:36,8,Trey Thompson missed Jumper.,25,11
10:36,8,Arkansas Offensive Rebound.,25,11
10:21,8,Foul on Trey Thompson.,25,11
10:21,8,Trey Thompson Turnover.,25,11
9:53,8,Foul on Trey Thompson.,25,11
9:53,250,Jorge Bilbao made Free Throw.,26,11
9:53,250,Jorge Bilbao made Free Throw.,27,11
9:30,250,Foul on Faith Pope.,27,11
9:29,8,Daryl Macon missed Three Point Jumper.,27,11
9:29,8,Jaylen Barford Offensive Rebound.,27,11
9:18,8,Jaylen Barford Turnover.,27,11
8:56,250,Faith Pope missed Jumper.,27,11
8:56,8,Manuale Watkins Defensive Rebound.,27,11
8:55,250,Foul on Faith Pope.,27,11
8:47,250,Foul on Link Kabadyundi.,27,11
8:47,8,Daryl Macon made Free Throw.,27,12
8:47,8,Daryl Macon made Free Throw.,27,13
8:34,250,Kevin Hervey missed Jumper.,27,13
8:34,8,Dustin Thomas Defensive Rebound.,27,13
8:23,250,Foul on Kevin Hervey.,27,13
8:23,8,Dustin Thomas made Free Throw.,27,14
8:23,8,Dustin Thomas made Free Throw.,27,15
7:52,250,Julian Harris missed Jumper.,27,15
7:52,8,Moses Kingsley Block.,27,15
7:52,8,Arkansas Deadball Team Rebound.,27,15
7:52,8,Official TV Timeout,27,15
7:27,8,Manuale Watkins missed Jumper.,27,15
7:27,250,Nathan Hawkins Block.,27,15
7:26,250,Julian Harris Defensive Rebound.,27,15
7:03,250,Foul on Kevin Hervey.,27,15
7:03,250,Kevin Hervey Turnover.,27,15
6:52,250,Foul on Kevin Hervey.,27,15
6:52,8,Dustin Thomas missed Free Throw.,27,15
6:52,8,Arkansas Deadball Team Rebound.,27,15
6:52,8,Dustin Thomas made Free Throw.,27,16
6:38,8,Foul on Daryl Macon.,27,16
6:38,250,Erick Neal made Free Throw.,28,16
6:38,250,Erick Neal missed Free Throw.,28,16
6:38,8,Moses Kingsley Defensive Rebound.,28,16
6:24,8,Daryl Macon missed Three Point Jumper.,28,16
6:24,250,Erkam Kiris Defensive Rebound.,28,16
5:48,250,Erick Neal missed Jumper.,28,16
5:48,250,Julian Harris Offensive Rebound.,28,16
5:46,250,Julian Harris made Two Point Tip Shot.,30,16
5:33,8,Dusty Hannahs missed Three Point Jumper.,30,16
5:33,250,Erick Neal Defensive Rebound.,30,16
5:07,250,Nathan Hawkins missed Three Point Jumper.,30,16
5:07,8,Jaylen Barford Defensive Rebound.,30,16
5:00,8,Dusty Hannahs made Three Point Jumper. Assisted by Jaylen Barford.,30,19
4:33,250,Julian Harris missed Jumper.,30,19
4:33,8,Dustin Thomas Defensive Rebound.,30,19
4:26,250,Foul on Nathan Hawkins.,30,19
4:26,8,Dusty Hannahs made Free Throw.,30,20
4:26,8,Dusty Hannahs made Free Throw.,30,21
4:04,250,Kaelon Wilson missed Three Point Jumper.,30,21
4:04,8,Daryl Macon Defensive Rebound.,30,21
3:42,8,Moses Kingsley made Dunk. Assisted by Dusty Hannahs.,30,23
3:39,250,UT-Arlington  Timeout,30,23
3:29,250,DJ Bryant Turnover.,30,23
3:28,8,Daryl Macon Steal.,30,23
3:27,250,Foul on DJ Bryant.,30,23
3:27,8,Daryl Macon made Free Throw.,30,24
3:27,8,Daryl Macon missed Free Throw.,30,24
3:27,8,Arkansas Deadball Team Rebound.,30,24
3:27,250,Foul on Jalen Jones.,30,24
3:27,8,Dustin Thomas made Free Throw.,30,25
3:27,8,Dustin Thomas made Free Throw.,30,26
2:57,250,Drew Charles made Three Point Jumper. Assisted by Jalen Jones.,33,26
2:30,8,Moses Kingsley missed Jumper.,33,26
2:30,8,Dusty Hannahs Offensive Rebound.,33,26
2:19,8,Dusty Hannahs made Three Point Jumper. Assisted by Moses Kingsley.,33,29
1:54,250,Kaelon Wilson Turnover.,33,29
1:53,8,Moses Kingsley Steal.,33,29
1:49,8,Foul on Moses Kingsley.,33,29
1:49,8,Moses Kingsley Turnover.,33,29
1:34,250,Kaelon Wilson made Three Point Jumper. Assisted by Drew Charles.,36,29
1:18,250,Foul on Drew Charles.,36,29
1:18,8,Arlando Cook missed Free Throw.,36,29
1:18,8,Arkansas Deadball Team Rebound.,36,29
1:18,8,Arlando Cook made Free Throw.,36,30
1:13,8,Foul on Dustin Thomas.,36,30
1:13,250,Erick Neal made Free Throw.,37,30
1:13,250,Erick Neal made Free Throw.,38,30
0:59,8,Jaylen Barford made Jumper.,38,32
0:46,250,Erick Neal made Jumper.,40,32
0:30,8,Dusty Hannahs missed Three Point Jumper.,40,32
0:30,250,Erick Neal Defensive Rebound.,40,32
0:25,250,Drew Charles made Three Point Jumper. Assisted by Erick Neal.,43,32
0:03,8,Jaylen Barford missed Jumper.,43,32
0:03,250,Kaelon Wilson Block.,43,32
0:00,250,Drew Charles Defensive Rebound.,43,32
0:00,8,End of 1st half,43,32
19:49,8,Foul on Daryl Macon.,43,32
19:34,250,Erick Neal missed Jumper.,43,32
19:34,8,Arkansas Defensive Rebound.,43,32
19:17,250,Foul on Faith Pope.,43,32
19:17,8,Jaylen Barford made Free Throw.,43,33
19:17,8,Jaylen Barford missed Free Throw.,43,33
19:17,250,Faith Pope Defensive Rebound.,43,33
19:01,250,Erick Neal Turnover.,43,33
18:48,8,Dusty Hannahs missed Jumper.,43,33
18:48,250,Jorge Bilbao Defensive Rebound.,43,33
18:34,250,Drew Charles Turnover.,43,33
18:13,8,Dustin Thomas made Jumper.,43,35
17:56,250,Erick Neal Turnover.,43,35
17:55,8,Dusty Hannahs Steal.,43,35
17:51,8,Daryl Macon made Layup. Assisted by Dusty Hannahs.,43,37
17:36,250,Jalen Jones missed Jumper.,43,37
17:36,250,Jorge Bilbao Offensive Rebound.,43,37
17:33,250,Jorge Bilbao made Two Point Tip Shot.,45,37
17:19,8,Jaylen Barford missed Jumper.,45,37
17:19,8,Jaylen Barford Offensive Rebound.,45,37
17:15,8,Jaylen Barford Turnover.,45,37
16:53,250,Kevin Hervey Turnover.,45,37
16:46,8,Jaylen Barford missed Jumper.,45,37
16:46,8,Jaylen Barford Offensive Rebound.,45,37
16:43,8,Jaylen Barford missed Jumper.,45,37
16:43,8,Dustin Thomas Offensive Rebound.,45,37
16:41,250,Foul on Kevin Hervey.,45,37
16:41,8,Dustin Thomas missed Free Throw.,45,37
16:41,8,Arkansas Deadball Team Rebound.,45,37
16:41,8,Dustin Thomas made Free Throw.,45,38
16:14,250,Nathan Hawkins Turnover.,45,38
16:14,8,Dustin Thomas Steal.,45,38
15:55,8,Dusty Hannahs missed Jumper.,45,38
15:55,250,UT-Arlington Deadball Team Rebound.,45,38
15:53,8,Foul on Moses Kingsley.,45,38
15:41,250,Jorge Bilbao missed Jumper.,45,38
15:41,8,Moses Kingsley Block.,45,38
15:39,8,Jaylen Barford Defensive Rebound.,45,38
15:31,250,Foul on Nathan Hawkins.,45,38
15:31,8,Jaylen Barford made Free Throw.,45,39
15:31,8,Jaylen Barford missed Free Throw.,45,39
15:31,250,Kaelon Wilson Defensive Rebound.,45,39
15:09,8,Foul on Daryl Macon.,45,39
15:07,250,Faith Pope missed Jumper.,45,39
15:07,8,Moses Kingsley Block.,45,39
15:06,8,Anton Beard Defensive Rebound.,45,39
14:58,8,Dusty Hannahs missed Three Point Jumper.,45,39
14:58,250,Jorge Bilbao Defensive Rebound.,45,39
14:38,250,Kaelon Wilson missed Three Point Jumper.,45,39
14:38,8,Arkansas Deadball Team Rebound.,45,39
14:35,250,Foul on Jorge Bilbao.,45,39
14:20,8,Dustin Thomas missed Jumper.,45,39
14:20,250,Kaelon Wilson Defensive Rebound.,45,39
14:18,250,Kaelon Wilson Turnover.,45,39
14:18,8,Jaylen Barford Steal.,45,39
14:16,8,Jaylen Barford made Layup.,45,41
13:51,250,DJ Bryant missed Three Point Jumper.,45,41
13:51,250,Jorge Bilbao Offensive Rebound.,45,41
13:41,250,Jorge Bilbao missed Jumper.,45,41
13:41,8,Moses Kingsley Defensive Rebound.,45,41
13:26,8,Anton Beard missed Jumper.,45,41
13:26,8,Anton Beard Offensive Rebound.,45,41
13:14,8,Foul on Moses Kingsley.,45,41
13:14,8,Moses Kingsley Turnover.,45,41
13:14,250,UT-Arlington  Turnover.,45,41
13:03,8,Jaylen Barford made Three Point Jumper. Assisted by Anton Beard.,45,44
12:49,250,Erick Neal Turnover.,45,44
12:48,8,Jaylen Barford Steal.,45,44
12:46,8,Jaylen Barford made Dunk.,45,46
12:45,250,UT-Arlington  Timeout,45,46
12:31,250,Link Kabadyundi missed Jumper.,45,46
12:31,8,Manuale Watkins Defensive Rebound.,45,46
12:13,8,Anton Beard made Three Point Jumper. Assisted by Manuale Watkins.,45,49
11:57,8,Official TV Timeout,45,49
11:57,250,Jalen Jones missed Jumper.,45,49
11:57,8,Arlando Cook Block.,45,49
11:57,250,UT-Arlington Offensive Rebound.,45,49
11:40,250,Drew Charles missed Three Point Jumper.,45,49
11:40,8,Jaylen Barford Defensive Rebound.,45,49
11:16,8,Anton Beard missed Three Point Jumper.,45,49
11:16,250,Kevin Hervey Defensive Rebound.,45,49
11:09,250,Jalen Jones missed Three Point Jumper.,45,49
11:09,8,Anton Beard Defensive Rebound.,45,49
10:36,8,Anton Beard made Three Point Jumper.,45,52
10:22,250,Erick Neal made Three Point Jumper. Assisted by Drew Charles.,48,52
10:04,8,Trey Thompson Turnover.,48,52
9:48,250,Kaelon Wilson missed Jumper.,48,52
9:48,8,Trey Thompson Defensive Rebound.,48,52
9:34,8,Manuale Watkins missed Jumper.,48,52
9:34,250,Nathan Hawkins Defensive Rebound.,48,52
9:16,250,Kevin Hervey missed Jumper.,48,52
9:16,250,Jorge Bilbao Offensive Rebound.,48,52
8:49,250,Nathan Hawkins made Layup.,50,52
8:22,8,Anton Beard missed Jumper.,50,52
8:22,8,Manuale Watkins Offensive Rebound.,50,52
7:53,8,Anton Beard made Layup.,50,54
7:26,250,Kaelon Wilson missed Jumper.,50,54
7:26,250,UT-Arlington Deadball Team Rebound.,50,54
7:25,8,Foul on Moses Kingsley.,50,54
7:25,8,Official TV Timeout,50,54
7:09,250,Jorge Bilbao Turnover.,50,54
6:41,8,Dusty Hannahs missed Three Point Jumper.,50,54
6:41,250,Jalen Jones Defensive Rebound.,50,54
6:32,8,Foul on Daryl Macon.,50,54
6:32,250,Jalen Jones missed Free Throw.,50,54
6:32,250,UT-Arlington Deadball Team Rebound.,50,54
6:32,250,Jalen Jones made Free Throw.,51,54
6:17,8,Dustin Thomas Turnover.,51,54
6:16,250,Kaelon Wilson Steal.,51,54
6:12,250,Kevin Hervey missed Three Point Jumper.,51,54
6:12,250,Jalen Jones Offensive Rebound.,51,54
5:48,250,Jalen Jones made Three Point Jumper. Assisted by DJ Bryant.,54,54
5:26,8,Moses Kingsley made Layup. Assisted by Dustin Thomas.,54,56
5:12,250,Kevin Hervey Turnover.,54,56
5:11,8,Jaylen Barford Steal.,54,56
5:09,8,Jaylen Barford made Dunk.,54,58
4:43,250,Kevin Hervey missed Three Point Jumper.,54,58
4:43,8,Anton Beard Defensive Rebound.,54,58
4:41,250,Foul on Jalen Jones.,54,58
4:29,8,Jaylen Barford Turnover.,54,58
4:28,250,Faith Pope Steal.,54,58
4:25,8,Foul on Dustin Thomas.,54,58
4:25,250,Faith Pope made Free Throw.,55,58
4:25,250,Faith Pope made Free Throw.,56,58
4:21,8,Jaylen Barford Turnover.,56,58
4:21,250,Erick Neal Steal.,56,58
4:20,250,Erick Neal made Layup.,58,58
3:57,250,Foul on Erick Neal.,58,58
3:57,8,Official TV Timeout,58,58
3:57,8,Dusty Hannahs missed Free Throw.,58,58
3:57,8,Arkansas Deadball Team Rebound.,58,58
3:57,8,Dusty Hannahs made Free Throw.,58,59
3:27,250,Kaelon Wilson missed Three Point Jumper.,58,59
3:27,250,Faith Pope Offensive Rebound.,58,59
3:25,8,Foul on Dustin Thomas.,58,59
3:25,250,Faith Pope made Free Throw.,59,59
3:25,250,Faith Pope missed Free Throw.,59,59
3:25,8,Anton Beard Defensive Rebound.,59,59
3:01,250,Foul on Julian Harris.,59,59
3:01,8,Dusty Hannahs made Free Throw.,59,60
3:01,8,Dusty Hannahs made Free Throw.,59,61
2:31,250,Jalen Jones Turnover.,59,61
2:21,250,Foul on Kaelon Wilson.,59,61
2:21,8,Anton Beard made Free Throw.,59,62
2:21,8,Anton Beard made Free Throw.,59,63
2:01,250,Drew Charles Turnover.,59,63
2:00,8,Manuale Watkins Steal.,59,63
1:58,8,Manuale Watkins made Layup.,59,65
1:58,250,Foul on Jalen Jones.,59,65
1:58,8,Manuale Watkins made Free Throw.,59,66
1:49,250,Erick Neal made Layup.,61,66
1:40,250,Foul on Jorge Bilbao.,61,66
1:40,8,Moses Kingsley made Free Throw.,61,67
1:40,8,Moses Kingsley missed Free Throw.,61,67
1:40,250,Kevin Hervey Defensive Rebound.,61,67
1:35,250,Jalen Jones missed Three Point Jumper.,61,67
1:35,250,Jorge Bilbao Offensive Rebound.,61,67
1:30,250,Kevin Hervey made Three Point Jumper.,64,67
1:27,250,UT-Arlington  Timeout,64,67
0:58,8,Anton Beard made Jumper.,64,69
0:58,8,Arkansas  Timeout,64,69
0:41,250,Erick Neal made Three Point Jumper.,67,69
0:35,8,Arkansas  Timeout,67,69
0:25,250,Foul on Jalen Jones.,67,69
0:25,8,Jaylen Barford made Free Throw.,67,70
0:25,8,Jaylen Barford made Free Throw.,67,71
0:15,250,Erick Neal missed Three Point Jumper.,67,71
0:15,250,Jorge Bilbao Offensive Rebound.,67,71
0:04,250,Drew Charles missed Three Point Jumper.,67,71
0:03,8,Dustin Thomas Block.,67,71
0:02,8,Anton Beard Defensive Rebound.,67,71
0:00,8,End of Game,67,71
