Cleveland State,2630,UT Martin,325
6:33,325,Kasheem Thomas missed Free Throw.,11,25
6:33,2630,Javier Martinez Defensive Rebound.,11,25
6:31,325,Foul on Kasheem Thomas.,11,25
6:31,2630,Javier Martinez made Free Throw.,11,26
6:31,2630,Javier Martinez made Free Throw.,11,27
6:04,325,Daniel Levitt missed Three Point Jumper.,11,27
6:04,2630,Jacolby Mobley Defensive Rebound.,11,27
5:49,2630,Kedar Edwards made Jumper.,11,29
5:42,325,Cleveland St  Timeout,11,29
5:28,325,Kenny Carpenter missed Three Point Jumper.,11,29
5:28,2630,Javier Martinez Defensive Rebound.,11,29
5:22,2630,Kedar Edwards made Layup. Assisted by Javier Martinez.,11,31
5:16,325,Rob Edwards Turnover.,11,31
5:00,2630,Matthew Butler made Three Point Jumper. Assisted by Kedar Edwards.,11,34
4:44,325,Daniel Levitt missed Three Point Jumper.,11,34
4:44,2630,Fatodd Lewis Defensive Rebound.,11,34
4:35,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,11,36
4:20,325,Daniel Levitt made Jumper.,13,36
4:01,2630,Matthew Butler missed Three Point Jumper.,13,36
4:01,2630,Fatodd Lewis Offensive Rebound.,13,36
3:55,325,Foul on Jamarcus Hairston.,13,36
3:55,2630,Official TV Timeout,13,36
3:55,2630,Jacolby Mobley made Free Throw.,13,37
3:55,2630,Jacolby Mobley made Free Throw.,13,38
3:36,325,Kenny Carpenter missed Jumper.,13,38
3:36,2630,Javier Martinez Defensive Rebound.,13,38
3:27,2630,Jacolby Mobley made Three Point Jumper. Assisted by Matthew Butler.,13,41
3:08,325,Rob Edwards missed Jumper.,13,41
3:08,2630,Matthew Butler Defensive Rebound.,13,41
2:59,2630,Jacolby Mobley missed Jumper.,13,41
2:59,2630,Javier Martinez Offensive Rebound.,13,41
2:57,2630,Javier Martinez made Two Point Tip Shot.,13,43
2:51,325,Rob Edwards made Layup. Assisted by Kenny Carpenter.,15,43
2:51,2630,Foul on Fatodd Lewis.,15,43
2:51,325,Rob Edwards made Free Throw.,16,43
2:36,2630,Fatodd Lewis missed Jumper.,16,43
2:36,2630,Javier Martinez Offensive Rebound.,16,43
2:34,325,Foul on Rob Edwards.,16,43
2:34,2630,Javier Martinez missed Free Throw.,16,43
2:34,325,Cleveland St Deadball Team Rebound.,16,43
2:34,2630,Javier Martinez made Free Throw.,16,44
2:16,325,Bobby Word Turnover.,16,44
2:15,2630,Matthew Butler Steal.,16,44
2:11,325,Foul on Evan Clayborne.,16,44
2:11,2630,Kahari Beaufort missed Free Throw.,16,44
2:11,325,Cleveland St Deadball Team Rebound.,16,44
2:11,2630,Kahari Beaufort made Free Throw.,16,45
1:58,325,Bobby Word made Layup. Assisted by Evan Clayborne.,18,45
1:42,2630,Javier Martinez made Layup. Assisted by Matthew Butler.,18,47
1:27,325,Rob Edwards made Three Point Jumper.,21,47
1:09,2630,Matthew Butler Turnover.,21,47
1:08,325,Evan Clayborne Steal.,21,47
1:04,325,Bobby Word missed Three Point Jumper.,21,47
1:04,325,Jibri Blount Offensive Rebound.,21,47
1:02,325,Jibri Blount made Layup.,23,47
0:42,2630,Malik Pugh made Three Point Jumper. Assisted by Fatodd Lewis.,23,50
0:18,325,Jibri Blount missed Three Point Jumper.,23,50
0:18,2630,Matthew Butler Defensive Rebound.,23,50
0:01,2630,Matthew Butler Turnover.,23,50
0:01,325,Jibri Blount Turnover.,23,50
0:01,2630,Fatodd Lewis Steal.,23,50
0:00,2630,End of 1st half,23,50
19:46,325,Bobby Word Turnover.,23,50
19:45,2630,Javier Martinez Steal.,23,50
19:30,2630,Chandler Rowe missed Layup.,23,50
19:30,325,Derek Sloan Block.,23,50
19:28,2630,Chandler Rowe Offensive Rebound.,23,50
19:23,2630,Jacolby Mobley missed Three Point Jumper.,23,50
19:23,325,Kasheem Thomas Defensive Rebound.,23,50
19:12,325,Bobby Word made Three Point Jumper. Assisted by Jibri Blount.,26,50
18:54,2630,Jacolby Mobley Turnover.,26,50
18:52,325,Bobby Word Steal.,26,50
18:46,325,Bobby Word missed Three Point Jumper.,26,50
18:46,2630,Javier Martinez Defensive Rebound.,26,50
18:38,2630,Kedar Edwards Turnover.,26,50
18:27,325,Foul on Jibri Blount.,26,50
18:27,325,Jibri Blount Turnover.,26,50
18:00,2630,Kedar Edwards missed Layup.,26,50
18:00,325,Derek Sloan Defensive Rebound.,26,50
17:52,325,Kasheem Thomas missed Layup.,26,50
17:52,2630,Javier Martinez Defensive Rebound.,26,50
17:39,2630,Kedar Edwards made Layup. Assisted by Chandler Rowe.,26,52
17:23,325,Jibri Blount missed Jumper.,26,52
17:23,325,Jibri Blount Offensive Rebound.,26,52
17:23,2630,Foul on Chandler Rowe.,26,52
17:20,325,Jibri Blount Turnover.,26,52
17:19,2630,Jacolby Mobley Steal.,26,52
17:15,2630,Kedar Edwards missed Dunk.,26,52
17:15,2630,Javier Martinez Offensive Rebound.,26,52
17:12,2630,Javier Martinez made Two Point Tip Shot.,26,54
17:00,2630,Foul on Matthew Butler.,26,54
16:56,2630,Foul on Javier Martinez.,26,54
16:56,325,Derek Sloan missed Free Throw.,26,54
16:56,2630,UT Martin Deadball Team Rebound.,26,54
16:56,325,Derek Sloan made Free Throw.,27,54
16:31,2630,Foul on Jacolby Mobley.,27,54
16:31,2630,Jacolby Mobley Turnover.,27,54
16:23,325,Kasheem Thomas Turnover.,27,54
16:22,2630,Fatodd Lewis Steal.,27,54
16:19,325,Foul on Rob Edwards.,27,54
16:19,2630,Kedar Edwards made Free Throw.,27,55
16:19,2630,Kedar Edwards missed Free Throw.,27,55
16:19,325,Jibri Blount Defensive Rebound.,27,55
16:06,325,Daniel Levitt missed Three Point Jumper.,27,55
16:06,325,Derek Sloan Offensive Rebound.,27,55
16:01,325,Derek Sloan made Layup.,29,55
15:36,2630,Official TV Timeout,29,55
15:31,2630,Kedar Edwards Turnover.,29,55
15:30,325,Kenny Carpenter Steal.,29,55
15:27,325,Kenny Carpenter made Jumper.,31,55
15:04,2630,Jacolby Mobley Turnover.,31,55
14:45,325,Daniel Levitt missed Three Point Jumper.,31,55
14:45,2630,Matthew Butler Defensive Rebound.,31,55
14:39,2630,Javier Martinez made Layup. Assisted by Jacolby Mobley.,31,57
14:27,2630,Foul on Kedar Edwards.,31,57
14:25,325,Jamarcus Hairston missed Jumper.,31,57
14:25,2630,Kedar Edwards Defensive Rebound.,31,57
14:16,2630,Kedar Edwards missed Jumper.,31,57
14:16,325,Jamarcus Hairston Defensive Rebound.,31,57
14:07,325,Daniel Levitt made Three Point Jumper. Assisted by Kasheem Thomas.,34,57
13:56,325,Foul on Kasheem Thomas.,34,57
13:44,2630,Kedar Edwards missed Three Point Jumper.,34,57
13:44,325,Kasheem Thomas Defensive Rebound.,34,57
13:38,325,Kasheem Thomas missed Layup.,34,57
13:38,2630,Jacolby Mobley Block.,34,57
13:37,325,Jibri Blount Offensive Rebound.,34,57
13:34,325,Daniel Levitt made Three Point Jumper. Assisted by Jibri Blount.,37,57
13:21,2630,UT Martin  Timeout,37,57
13:00,2630,Matthew Butler missed Jumper.,37,57
13:00,2630,Jacolby Mobley Offensive Rebound.,37,57
12:53,2630,Fatodd Lewis missed Three Point Jumper.,37,57
12:53,325,Jibri Blount Defensive Rebound.,37,57
12:44,325,Rob Edwards missed Layup.,37,57
12:44,325,Rob Edwards Offensive Rebound.,37,57
12:41,325,Rob Edwards made Jumper.,39,57
12:12,2630,Jacolby Mobley missed Jumper.,39,57
12:12,325,Bobby Word Block.,39,57
12:10,325,Jibri Blount Defensive Rebound.,39,57
12:03,325,Rob Edwards made Jumper.,41,57
11:46,325,Foul on Jibri Blount.,41,57
11:46,2630,Official TV Timeout,41,57
11:46,2630,Fatodd Lewis missed Free Throw.,41,57
11:46,325,Cleveland St Deadball Team Rebound.,41,57
11:46,2630,Fatodd Lewis made Free Throw.,41,58
11:23,325,Rob Edwards made Jumper.,43,58
11:11,2630,Fatodd Lewis Turnover.,43,58
10:48,325,Kasheem Thomas missed Three Point Jumper.,43,58
10:48,2630,Chandler Rowe Defensive Rebound.,43,58
10:48,325,Foul on Derek Sloan.,43,58
10:40,2630,Foul on Chandler Rowe.,43,58
10:40,2630,Chandler Rowe Turnover.,43,58
10:20,325,Kasheem Thomas Turnover.,43,58
10:19,2630,Fatodd Lewis Steal.,43,58
10:15,2630,Kedar Edwards made Layup. Assisted by Javier Martinez.,43,60
10:06,325,Rob Edwards missed Three Point Jumper.,43,60
10:06,2630,Fatodd Lewis Defensive Rebound.,43,60
10:00,2630,Kedar Edwards Turnover.,43,60
9:50,325,Jamarcus Hairston Turnover.,43,60
9:31,2630,Matthew Butler Turnover.,43,60
9:30,325,Derek Sloan Steal.,43,60
9:28,325,Derek Sloan made Dunk.,45,60
9:22,2630,Kahari Beaufort made Layup. Assisted by Jacolby Mobley.,45,62
9:10,325,Rob Edwards missed Jumper.,45,62
9:10,2630,UT Martin Defensive Rebound.,45,62
9:00,2630,Kahari Beaufort Turnover.,45,62
8:59,325,Rob Edwards Steal.,45,62
8:54,325,Daniel Levitt missed Three Point Jumper.,45,62
8:54,2630,Matthew Butler Defensive Rebound.,45,62
8:49,2630,Foul on Matthew Butler.,45,62
8:49,2630,Matthew Butler Turnover.,45,62
8:44,325,Derek Sloan made Layup. Assisted by Bobby Word.,47,62
8:44,2630,Foul on Fatodd Lewis.,47,62
8:44,325,Derek Sloan made Free Throw.,48,62
8:44,325,Foul on Bobby Word.,48,62
8:23,2630,Jacolby Mobley missed Three Point Jumper.,48,62
8:23,325,Anthony Wright Defensive Rebound.,48,62
8:03,325,Rob Edwards made Three Point Jumper. Assisted by Anthony Wright.,51,62
7:52,325,Foul on Daniel Levitt.,51,62
7:52,2630,Official TV Timeout,51,62
7:52,2630,Jalen Jackson made Free Throw.,51,63
7:52,2630,Jalen Jackson made Free Throw.,51,64
7:35,325,Daniel Levitt missed Three Point Jumper.,51,64
7:35,325,Jamarcus Hairston Offensive Rebound.,51,64
7:32,325,Anthony Wright missed Layup.,51,64
7:32,325,Anthony Wright Offensive Rebound.,51,64
7:30,325,Anthony Wright made Two Point Tip Shot.,53,64
7:11,2630,Matthew Butler made Layup.,53,66
6:49,2630,Foul on Fatodd Lewis.,53,66
6:49,325,Bobby Word missed Free Throw.,53,66
6:49,2630,UT Martin Deadball Team Rebound.,53,66
6:49,325,Bobby Word made Free Throw.,54,66
6:39,2630,Jacolby Mobley missed Three Point Jumper.,54,66
6:39,325,Anthony Wright Defensive Rebound.,54,66
6:27,325,Jamarcus Hairston made Layup.,56,66
6:27,2630,Foul on Fatodd Lewis.,56,66
6:27,325,Jamarcus Hairston made Free Throw.,57,66
6:02,2630,Javier Martinez made Layup. Assisted by Jacolby Mobley.,57,68
5:49,325,Daniel Levitt missed Three Point Jumper.,57,68
5:49,325,Anthony Wright Offensive Rebound.,57,68
5:47,325,Anthony Wright missed Layup.,57,68
5:47,325,Bobby Word Offensive Rebound.,57,68
5:45,325,Bobby Word missed Two Point Tip Shot.,57,68
5:45,2630,Matthew Butler Defensive Rebound.,57,68
5:32,2630,Jacolby Mobley missed Layup.,57,68
5:32,325,Jibri Blount Defensive Rebound.,57,68
5:16,325,Bobby Word missed Jumper.,57,68
5:16,325,Jibri Blount Offensive Rebound.,57,68
5:16,2630,Foul on Kedar Edwards.,57,68
5:16,325,Anthony Wright missed Free Throw.,57,68
5:16,2630,UT Martin Deadball Team Rebound.,57,68
5:16,325,Anthony Wright made Free Throw.,58,68
5:06,2630,Matthew Butler Turnover.,58,68
5:05,325,Daniel Levitt Steal.,58,68
5:02,325,Rob Edwards made Three Point Jumper. Assisted by Bobby Word.,61,68
4:42,2630,Jacolby Mobley Turnover.,61,68
4:32,325,Jibri Blount missed Jumper.,61,68
4:32,2630,Kedar Edwards Block.,61,68
4:30,2630,Chandler Rowe Defensive Rebound.,61,68
4:11,2630,Matthew Butler missed Three Point Jumper.,61,68
4:11,325,Jibri Blount Defensive Rebound.,61,68
4:05,325,Rob Edwards Turnover.,61,68
3:57,2630,Jalen Jackson Turnover.,61,68
3:56,325,Bobby Word Steal.,61,68
3:55,2630,Official TV Timeout,61,68
3:34,325,Jamarcus Hairston missed Three Point Jumper.,61,68
3:34,2630,Matthew Butler Defensive Rebound.,61,68
3:16,2630,Matthew Butler made Layup. Assisted by Chandler Rowe.,61,70
2:57,325,Bobby Word made Three Point Jumper. Assisted by Anthony Wright.,64,70
2:28,2630,Jacolby Mobley missed Three Point Jumper.,64,70
2:28,325,Jibri Blount Defensive Rebound.,64,70
2:27,2630,Foul on Javier Martinez.,64,70
2:27,325,Jibri Blount made Free Throw.,65,70
2:27,325,Jibri Blount made Free Throw.,66,70
2:00,2630,Javier Martinez missed Layup.,66,70
2:00,2630,Javier Martinez Offensive Rebound.,66,70
1:58,2630,Javier Martinez made Two Point Tip Shot.,66,72
1:57,2630,UT Martin  Timeout,66,72
1:42,325,Foul on Rob Edwards.,66,72
1:42,325,Rob Edwards Turnover.,66,72
1:42,325,Technical Foul on Cleveland St.,66,72
1:42,2630,Jacolby Mobley made Free Throw.,66,73
1:42,2630,Jacolby Mobley missed Free Throw.,66,73
1:42,325,Cleveland St Deadball Team Rebound.,66,73
1:19,2630,Javier Martinez made Layup. Assisted by Kedar Edwards.,66,75
1:10,325,Bobby Word missed Three Point Jumper.,66,75
1:10,2630,Kedar Edwards Defensive Rebound.,66,75
1:01,2630,Matthew Butler Turnover.,66,75
1:00,325,Bobby Word Steal.,66,75
0:58,325,Bobby Word made Layup.,68,75
0:58,325,Cleveland St  Timeout,68,75
0:53,325,Foul on Anthony Wright.,68,75
0:53,2630,Kedar Edwards made Free Throw.,68,76
0:53,2630,Kedar Edwards made Free Throw.,68,77
0:49,2630,Foul on Javier Martinez.,68,77
0:49,325,Rob Edwards missed Free Throw.,68,77
0:49,2630,UT Martin Deadball Team Rebound.,68,77
0:49,325,Rob Edwards made Free Throw.,69,77
0:47,2630,Jacolby Mobley Turnover.,69,77
0:44,325,Daniel Levitt missed Three Point Jumper.,69,77
0:44,325,Anthony Wright Offensive Rebound.,69,77
0:42,325,Anthony Wright made Layup.,71,77
0:39,325,Foul on Rob Edwards.,71,77
0:39,2630,Jacolby Mobley made Free Throw.,71,78
0:39,2630,Jacolby Mobley made Free Throw.,71,79
0:32,325,Bobby Word missed Three Point Jumper.,71,79
0:32,2630,Javier Martinez Defensive Rebound.,71,79
0:26,2630,Kedar Edwards made Dunk. Assisted by Matthew Butler.,71,81
0:22,325,Rob Edwards made Three Point Jumper. Assisted by Jibri Blount.,74,81
0:19,325,Foul on Daniel Levitt.,74,81
0:19,2630,Chandler Rowe made Free Throw.,74,82
0:19,2630,Chandler Rowe made Free Throw.,74,83
0:13,325,Rob Edwards missed Three Point Jumper.,74,83
0:13,2630,Jacolby Mobley Defensive Rebound.,74,83
0:05,2630,Kedar Edwards made Dunk. Assisted by Jacolby Mobley.,74,85
0:00,2630,End of Game,74,85
