Mississippi Valley State,127,Michigan State,2400
15:40,2400,Isaac Williams Offensive Rebound.,29,63
15:37,2400,Isaac Williams missed Jumper.,29,63
15:37,127,Miles Bridges Defensive Rebound.,29,63
15:19,127,Nick Ward made Layup.,29,65
15:05,2400,Miss. Valley St  Timeout,29,65
15:05,127,Official TV Timeout,29,65
14:44,2400,Ronald Strother Jr. missed Jumper.,29,65
14:44,127,Kenny Goins Defensive Rebound.,29,65
14:34,2400,Foul on Jevon Smith.,29,65
14:34,127,Official TV Timeout,29,65
14:16,127,Eron Harris made Three Point Jumper. Assisted by Lourawls Nairn Jr..,29,68
13:50,2400,Jevon Smith made Layup.,31,68
13:50,127,Foul on Kenny Goins.,31,68
13:50,2400,Jevon Smith made Free Throw.,32,68
13:41,127,Kenny Goins made Layup. Assisted by Cassius Winston.,32,70
13:16,2400,Vacha Vaughn missed Jumper.,32,70
13:16,2400,Jevon Smith Offensive Rebound.,32,70
13:12,2400,Jevon Smith missed Layup.,32,70
13:12,127,Kenny Goins Defensive Rebound.,32,70
13:07,2400,Foul on Terence Traylor.,32,70
13:06,127,Alvin Ellis III missed Three Point Jumper.,32,70
13:06,127,Kenny Goins Offensive Rebound.,32,70
12:59,127,Joshua Langford missed Three Point Jumper.,32,70
12:59,127,Joshua Langford Offensive Rebound.,32,70
12:53,127,Kenny Goins Turnover.,32,70
12:52,2400,Darrell Riley Steal.,32,70
12:41,2400,Amos Given made Jumper.,34,70
12:34,127,Cassius Winston Turnover.,34,70
12:34,127,Foul on Cassius Winston.,34,70
12:22,2400,Terence Traylor missed Three Point Jumper.,34,70
12:22,127,Miles Bridges Defensive Rebound.,34,70
12:12,127,Joshua Langford Turnover.,34,70
12:11,2400,Terence Traylor Steal.,34,70
11:53,2400,Amos Given made Jumper. Assisted by Jevon Smith.,36,70
11:40,127,Official TV Timeout,36,70
11:26,127,Nick Ward made Layup. Assisted by Matt McQuaid.,36,72
11:09,2400,Amos Given missed Layup.,36,72
11:09,127,Nick Ward Defensive Rebound.,36,72
10:58,127,Nick Ward made Dunk. Assisted by Cassius Winston.,36,74
10:50,127,Foul on Cassius Winston.,36,74
10:36,2400,Amos Given missed Jumper.,36,74
10:36,127,Alvin Ellis III Defensive Rebound.,36,74
10:30,2400,Foul on Amos Given.,36,74
10:14,127,Foul on Alvin Ellis III.,36,74
10:14,127,Alvin Ellis III Turnover.,36,74
9:54,2400,Darrell Riley missed Jumper.,36,74
9:54,127,Nick Ward Defensive Rebound.,36,74
9:45,127,Matt McQuaid made Three Point Jumper. Assisted by Alvin Ellis III.,36,77
9:28,2400,Ronald Strother Jr. missed Three Point Jumper.,36,77
9:28,127,Lourawls Nairn Jr. Defensive Rebound.,36,77
9:22,127,Matt McQuaid made Three Point Jumper. Assisted by Lourawls Nairn Jr..,36,80
8:59,2400,Ronald Strother Jr. made Three Point Jumper. Assisted by Rashaan Surles.,39,80
8:47,127,Matt McQuaid made Three Point Jumper. Assisted by Lourawls Nairn Jr..,39,83
8:31,2400,Amos Given made Jumper.,41,83
8:24,127,Michigan St  Timeout,41,83
8:24,127,Official TV Timeout,41,83
7:54,127,Lourawls Nairn Jr. missed Three Point Jumper.,41,83
7:54,2400,Rashaan Surles Block.,41,83
7:53,2400,Jamal Watson Defensive Rebound.,41,83
7:37,2400,Rashaan Surles missed Jumper.,41,83
7:37,127,Eron Harris Defensive Rebound.,41,83
7:25,127,Eron Harris missed Jumper.,41,83
7:25,127,Miles Bridges Offensive Rebound.,41,83
7:11,127,Miles Bridges made Three Point Jumper. Assisted by Lourawls Nairn Jr..,41,86
6:54,2400,Isaac Williams made Three Point Jumper. Assisted by Hasaan Buggs.,44,86
6:47,127,Michigan St  Timeout,44,86
6:30,127,Joshua Langford Turnover.,44,86
6:02,2400,Isaac Williams missed Three Point Jumper.,44,86
6:02,2400,Hasaan Buggs Offensive Rebound.,44,86
5:56,2400,Isaac Williams made Jumper.,46,86
5:45,127,Matt Van Dyk made Layup. Assisted by Cassius Winston.,46,88
5:20,2400,Rashaan Surles missed Jumper.,46,88
5:20,2400,Miss. Valley St Offensive Rebound.,46,88
5:01,2400,Hasaan Buggs Block.,46,88
5:01,127,Miles Bridges missed Layup.,46,88
4:56,127,Matt Van Dyk Offensive Rebound.,46,88
4:54,127,Matt Van Dyk made Dunk.,46,90
4:44,127,Foul on Kyle Ahrens.,46,90
4:44,2400,Hasaan Buggs missed Free Throw.,46,90
4:44,2400,Miss. Valley St Deadball Team Rebound.,46,90
4:44,2400,Hasaan Buggs made Free Throw.,47,90
4:31,127,Foul on Nick Ward.,47,90
4:31,2400,Foul on Jamal Watson.,47,90
4:21,127,Kyle Ahrens made Three Point Jumper. Assisted by Cassius Winston.,47,93
4:01,2400,Lorenzo Hunt missed Three Point Jumper.,47,93
4:01,127,Kyle Ahrens Defensive Rebound.,47,93
3:45,127,Miles Bridges Turnover.,47,93
3:45,127,Official TV Timeout,47,93
3:23,2400,Jamal Watson missed Jumper.,47,93
3:23,127,Cassius Winston Defensive Rebound.,47,93
3:14,127,Miles Bridges missed Layup.,47,93
3:14,127,Miles Bridges Offensive Rebound.,47,93
3:09,127,Nick Ward made Layup. Assisted by Miles Bridges.,47,95
2:45,2400,Isaac Williams missed Jumper.,47,95
2:45,127,Nick Ward Defensive Rebound.,47,95
2:32,2400,Foul on Lorenzo Hunt.,47,95
2:32,127,Nick Ward missed Free Throw.,47,95
2:32,127,Michigan St Deadball Team Rebound.,47,95
2:32,127,Nick Ward made Free Throw.,47,96
2:18,2400,Jamal Watson Turnover.,47,96
2:18,127,Cassius Winston Steal.,47,96
2:13,127,Matt McQuaid missed Three Point Jumper.,47,96
2:13,2400,Jamal Watson Defensive Rebound.,47,96
2:05,2400,Lorenzo Hunt made Layup. Assisted by Darrell Riley.,49,96
1:57,127,Kyle Ahrens made Three Point Jumper. Assisted by Cassius Winston.,49,99
1:46,2400,Darrell Riley missed Layup.,49,99
1:46,127,Nick Ward Block.,49,99
1:45,2400,Miss. Valley St Offensive Rebound.,49,99
1:29,2400,Ronald Strother Jr. made Three Point Jumper. Assisted by Jamal Watson.,52,99
1:26,2400,Miss. Valley St  Timeout,52,99
1:16,127,Greg Roy missed Layup.,52,99
1:16,127,Greg Roy Offensive Rebound.,52,99
1:01,127,Greg Roy missed Three Point Jumper.,52,99
1:01,2400,Darrell Riley Defensive Rebound.,52,99
0:56,127,Foul on Greg Roy.,52,99
0:56,2400,Darrell Riley made Free Throw.,53,99
0:56,2400,Darrell Riley missed Free Throw.,53,99
0:56,127,Conner George Defensive Rebound.,53,99
0:48,127,Cassius Winston Turnover.,53,99
0:48,2400,Darrell Riley Steal.,53,99
0:43,2400,Darrell Riley missed Layup.,53,99
0:43,127,Alvin Ellis III Defensive Rebound.,53,99
0:36,2400,Foul on Hasaan Buggs.,53,99
0:36,127,Greg Roy missed Free Throw.,53,99
0:36,127,Michigan St Deadball Team Rebound.,53,99
0:36,127,Greg Roy made Free Throw.,53,100
0:06,2400,Jevon Smith missed Layup.,53,100
0:06,127,Matt Van Dyk Block.,53,100
0:05,127,Conner George Defensive Rebound.,53,100
0:00,127,End of Game,53,100
