Austin Peay,94,Northern Kentucky,2046
5:26,94,Drew McDonald made Two Point Tip Shot.,23,26
4:55,2046,John Murry made Jumper.,25,26
4:37,94,Jeff Garrett missed Layup.,25,26
4:37,2046,John Murry Defensive Rebound.,25,26
4:30,2046,Zach Glotta missed Three Point Jumper.,25,26
4:30,94,Lavone Holland II Defensive Rebound.,25,26
4:23,94,Jeff Garrett made Layup. Assisted by Lavone Holland II.,25,28
4:10,94,Foul on Jeff Garrett.,25,28
4:10,2046,John Murry missed Free Throw.,25,28
4:10,2046,Austin Peay Deadball Team Rebound.,25,28
4:10,2046,John Murry missed Free Throw.,25,28
4:10,94,Blake Spellman Defensive Rebound.,25,28
3:48,94,Lavone Holland II missed Three Point Jumper.,25,28
3:48,94,Drew McDonald Offensive Rebound.,25,28
3:43,94,Drew McDonald made Jumper.,25,30
3:31,2046,Josh Robinson Turnover.,25,30
3:30,94,Jalen Tate Steal.,25,30
3:27,94,Carson Williams made Layup.,25,32
3:27,2046,Foul on John Murry.,25,32
3:27,94,Official TV Timeout,25,32
3:27,94,Carson Williams made Free Throw.,25,33
3:02,94,Foul on Carson Williams.,25,33
3:02,2046,Kenny Jones missed Free Throw.,25,33
3:02,2046,Austin Peay Deadball Team Rebound.,25,33
3:02,2046,Kenny Jones made Free Throw.,26,33
2:50,94,Lavone Holland II Turnover.,26,33
2:35,2046,John Murry missed Jumper.,26,33
2:35,2046,John Murry Offensive Rebound.,26,33
2:24,2046,Josh Robinson missed Layup.,26,33
2:24,94,Jalen Tate Defensive Rebound.,26,33
2:15,94,Lavone Holland II missed Jumper.,26,33
2:15,2046,John Murry Defensive Rebound.,26,33
1:59,2046,Kenny Jones Turnover.,26,33
1:58,94,Jalen Tate Steal.,26,33
1:49,94,Drew McDonald Turnover.,26,33
1:37,2046,Assane Diop Turnover.,26,33
1:37,94,Northern Kentucky  Timeout,26,33
1:25,94,Drew McDonald missed Three Point Jumper.,26,33
1:25,2046,Kenny Jones Defensive Rebound.,26,33
1:22,94,Foul on Dantez Walton.,26,33
1:22,2046,Kenny Jones made Free Throw.,27,33
1:22,2046,Kenny Jones missed Free Throw.,27,33
1:22,94,Cole Murray Defensive Rebound.,27,33
1:05,94,Cole Murray Turnover.,27,33
1:04,2046,Kenny Jones Steal.,27,33
1:00,2046,Kenny Jones Turnover.,27,33
0:59,94,Lavone Holland II Steal.,27,33
0:54,94,Lavone Holland II missed Layup.,27,33
0:54,94,Brandon Maxwell Offensive Rebound.,27,33
0:49,94,Jalen Tate made Layup. Assisted by Brandon Maxwell.,27,35
0:49,2046,Foul on Assane Diop.,27,35
0:49,94,Jalen Tate missed Free Throw.,27,35
0:49,2046,Kenny Jones Defensive Rebound.,27,35
0:25,2046,John Murry missed Jumper.,27,35
0:25,94,Drew McDonald Defensive Rebound.,27,35
0:07,94,Lavone Holland II Turnover.,27,35
0:00,2046,Josh Robinson missed Three Point Jumper.,27,35
0:00,94,Drew McDonald Defensive Rebound.,27,35
0:00,94,End of 1st half,27,35
19:45,2046,Kenny Jones missed Jumper.,27,35
19:45,94,Brandon Maxwell Defensive Rebound.,27,35
19:31,2046,Foul on Kenny Jones.,27,35
19:31,94,Carson Williams missed Free Throw.,27,35
19:31,94,Northern Kentucky Deadball Team Rebound.,27,35
19:31,94,Carson Williams missed Free Throw.,27,35
19:31,94,Drew McDonald Offensive Rebound.,27,35
19:29,94,Drew McDonald missed Layup.,27,35
19:29,2046,Kenny Jones Block.,27,35
19:28,2046,Josh Robinson Defensive Rebound.,27,35
19:16,2046,Jared Savage missed Three Point Jumper.,27,35
19:16,94,Lavone Holland II Defensive Rebound.,27,35
18:53,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,27,37
18:29,2046,Chris Porter-Bunton missed Jumper.,27,37
18:29,94,Drew McDonald Defensive Rebound.,27,37
18:20,94,Lavone Holland II missed Layup.,27,37
18:20,94,Carson Williams Offensive Rebound.,27,37
18:18,2046,Foul on Chris Porter-Bunton.,27,37
18:18,94,Carson Williams missed Free Throw.,27,37
18:18,94,Northern Kentucky Deadball Team Rebound.,27,37
18:18,94,Carson Williams missed Free Throw.,27,37
18:18,2046,Kenny Jones Defensive Rebound.,27,37
17:59,2046,Josh Robinson missed Layup.,27,37
17:59,94,Carson Williams Block.,27,37
17:58,94,Carson Williams Defensive Rebound.,27,37
17:46,94,Drew McDonald made Jumper. Assisted by Lavone Holland II.,27,39
17:29,2046,Tre' Ivory missed Layup.,27,39
17:29,94,Carson Williams Defensive Rebound.,27,39
17:19,94,Brandon Maxwell Turnover.,27,39
17:18,2046,Jared Savage Steal.,27,39
17:02,2046,Assane Diop missed Jumper.,27,39
17:02,94,Drew McDonald Defensive Rebound.,27,39
16:52,94,Carson Williams made Layup. Assisted by Lavone Holland II.,27,41
16:50,2046,Austin Peay  Timeout,27,41
16:35,2046,Josh Robinson Turnover.,27,41
16:34,94,Carson Williams Steal.,27,41
16:31,94,Jeff Garrett missed Layup.,27,41
16:31,94,Carson Williams Offensive Rebound.,27,41
16:30,94,Carson Williams missed Jumper.,27,41
16:30,2046,Austin Peay Defensive Rebound.,27,41
16:30,94,Foul on Carson Williams.,27,41
16:20,2046,Jared Savage made Jumper.,29,41
16:00,94,Northern Kentucky  Timeout,29,41
16:00,94,Official TV Timeout,29,41
15:46,94,Lavone Holland II missed Layup.,29,41
15:46,94,Jeff Garrett Offensive Rebound.,29,41
15:44,94,Jeff Garrett missed Jumper.,29,41
15:44,2046,Kenny Jones Defensive Rebound.,29,41
15:25,2046,Kenny Jones Turnover.,29,41
15:13,94,Lavone Holland II missed Jumper.,29,41
15:13,2046,Kenny Jones Defensive Rebound.,29,41
15:02,2046,Assane Diop Turnover.,29,41
14:51,94,Brandon Maxwell made Layup.,29,43
14:21,2046,Kenny Jones missed Jumper.,29,43
14:21,94,Blake Spellman Defensive Rebound.,29,43
14:12,94,Brennan Gillis made Jumper.,29,45
13:49,94,Foul on Brennan Gillis.,29,45
13:49,2046,Dre'Kalo Clayton missed Free Throw.,29,45
13:49,2046,Austin Peay Deadball Team Rebound.,29,45
13:49,2046,Dre'Kalo Clayton made Free Throw.,30,45
13:30,2046,Foul on Kenny Jones.,30,45
13:25,94,Foul on Brennan Gillis.,30,45
13:25,94,Brennan Gillis Turnover.,30,45
13:15,2046,Josh Robinson made Layup.,32,45
13:02,2046,Foul on Jared Savage.,32,45
12:52,94,Cole Murray missed Three Point Jumper.,32,45
12:52,2046,John Murry Defensive Rebound.,32,45
12:43,2046,Steve Harris missed Layup.,32,45
12:43,94,Jeff Garrett Block.,32,45
12:42,94,Jeff Garrett Defensive Rebound.,32,45
12:36,94,Jeff Garrett missed Layup.,32,45
12:36,2046,Steve Harris Block.,32,45
12:36,94,Northern Kentucky Offensive Rebound.,32,45
12:15,94,Blake Spellman missed Three Point Jumper.,32,45
12:15,94,Jeff Garrett Offensive Rebound.,32,45
12:00,94,Drew McDonald made Layup.,32,47
12:00,2046,Foul on John Murry.,32,47
12:00,94,Drew McDonald made Free Throw.,32,48
11:43,2046,Dre'Kalo Clayton made Layup. Assisted by Kenny Jones.,34,48
11:25,94,Blake Spellman missed Three Point Jumper.,34,48
11:25,2046,Dre'Kalo Clayton Defensive Rebound.,34,48
11:06,2046,Josh Robinson made Jumper.,36,48
10:57,2046,Foul on Dre'Kalo Clayton.,36,48
10:57,94,Official TV Timeout,36,48
10:51,94,Jeff Garrett made Layup.,36,50
10:39,94,Foul on Jeff Garrett.,36,50
10:39,2046,John Murry made Free Throw.,37,50
10:39,2046,John Murry made Free Throw.,38,50
10:20,94,Drew McDonald missed Layup.,38,50
10:20,2046,Kenny Jones Defensive Rebound.,38,50
10:14,94,Foul on Brandon Maxwell.,38,50
10:14,2046,Josh Robinson made Free Throw.,39,50
10:14,2046,Josh Robinson made Free Throw.,40,50
9:45,94,Lavone Holland II missed Jumper.,40,50
9:45,94,Jalen Tate Offensive Rebound.,40,50
9:42,94,Lavone Holland II Turnover.,40,50
9:21,2046,Josh Robinson made Three Point Jumper.,43,50
8:59,94,Brandon Maxwell missed Three Point Jumper.,43,50
8:59,94,Jalen Tate Offensive Rebound.,43,50
8:52,94,Carson Williams made Layup. Assisted by Jalen Tate.,43,52
8:32,2046,Kenny Jones made Layup. Assisted by Josh Robinson.,45,52
8:15,94,Carson Williams Turnover.,45,52
8:02,2046,Josh Robinson made Three Point Jumper.,48,52
7:43,2046,Foul on Steve Harris.,48,52
7:43,94,Official TV Timeout,48,52
7:43,94,Drew McDonald made Free Throw.,48,53
7:43,94,Drew McDonald made Free Throw.,48,54
7:22,2046,Kenny Jones made Jumper.,50,54
7:05,94,Brandon Maxwell made Three Point Jumper. Assisted by Drew McDonald.,50,57
6:30,2046,Kenny Jones made Three Point Jumper. Assisted by Josh Robinson.,53,57
6:05,94,Drew McDonald missed Three Point Jumper.,53,57
6:05,2046,Kenny Jones Defensive Rebound.,53,57
5:37,2046,Josh Robinson made Three Point Jumper.,56,57
5:25,94,Lavone Holland II made Layup.,56,59
5:00,2046,Josh Robinson made Three Point Jumper. Assisted by John Murry.,59,59
4:42,94,Jeff Garrett made Layup. Assisted by Carson Williams.,59,61
4:41,2046,Technical Foul on Josh Robinson.,59,61
4:41,2046,Foul on Josh Robinson.,59,61
4:41,2046,Foul on Chris Porter-Bunton.,59,61
4:41,94,Drew McDonald made Free Throw.,59,62
4:41,94,Drew McDonald made Free Throw.,59,63
4:41,94,Jeff Garrett made Free Throw.,59,64
4:33,2046,Zach Glotta missed Three Point Jumper.,59,64
4:33,94,Jeff Garrett Defensive Rebound.,59,64
4:24,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,59,66
4:09,2046,John Murry made Layup.,61,66
3:52,94,Carson Williams Turnover.,61,66
3:51,2046,Chris Porter-Bunton Steal.,61,66
3:38,2046,Chris Porter-Bunton made Layup.,63,66
3:14,94,Jeff Garrett missed Jumper.,63,66
3:14,94,Jeff Garrett Offensive Rebound.,63,66
3:12,94,Jeff Garrett missed Jumper.,63,66
3:12,94,Drew McDonald Offensive Rebound.,63,66
3:08,94,Lavone Holland II missed Three Point Jumper.,63,66
3:08,2046,John Murry Defensive Rebound.,63,66
2:59,2046,John Murry made Layup.,65,66
2:37,94,Drew McDonald missed Jumper.,65,66
2:37,94,Carson Williams Offensive Rebound.,65,66
2:35,94,Carson Williams missed Two Point Tip Shot.,65,66
2:35,2046,Kenny Jones Defensive Rebound.,65,66
2:22,94,Foul on Jeff Garrett.,65,66
2:22,94,Official TV Timeout,65,66
2:22,2046,John Murry made Free Throw.,66,66
2:22,2046,John Murry made Free Throw.,67,66
1:56,94,Drew McDonald missed Jumper.,67,66
1:56,2046,John Murry Defensive Rebound.,67,66
1:49,94,Foul on Lavone Holland II.,67,66
1:49,2046,John Murry made Free Throw.,68,66
1:49,2046,John Murry made Free Throw.,69,66
1:28,94,Lavone Holland II missed Jumper.,69,66
1:28,2046,John Murry Defensive Rebound.,69,66
1:21,2046,John Murry missed Layup.,69,66
1:21,2046,Kenny Jones Offensive Rebound.,69,66
1:18,2046,Kenny Jones made Two Point Tip Shot.,71,66
1:05,2046,Foul on John Murry.,71,66
1:05,94,Brandon Maxwell missed Free Throw.,71,66
1:05,94,Northern Kentucky Deadball Team Rebound.,71,66
1:05,94,Brandon Maxwell made Free Throw.,71,67
0:49,2046,John Murry missed Three Point Jumper.,71,67
0:49,2046,Chris Porter-Bunton Offensive Rebound.,71,67
0:43,94,Foul on Jalen Tate.,71,67
0:43,2046,Josh Robinson missed Free Throw.,71,67
0:43,94,Drew McDonald Defensive Rebound.,71,67
0:31,94,Brandon Maxwell missed Three Point Jumper.,71,67
0:31,2046,Austin Peay Deadball Team Rebound.,71,67
0:28,2046,Austin Peay  Timeout,71,67
0:28,94,Foul on Lavone Holland II.,71,67
0:28,2046,John Murry made Free Throw.,72,67
0:28,94,Northern Kentucky  Timeout,72,67
0:28,2046,John Murry made Free Throw.,73,67
0:17,2046,Foul on John Murry.,73,67
0:17,94,Dantez Walton made Free Throw.,73,68
0:17,94,Dantez Walton made Free Throw.,73,69
0:17,94,Foul on Dantez Walton.,73,69
0:17,2046,John Murry made Free Throw.,74,69
0:17,2046,John Murry made Free Throw.,75,69
0:07,94,Dantez Walton missed Three Point Jumper.,75,69
0:07,2046,Chris Porter-Bunton Defensive Rebound.,75,69
0:05,94,Foul on Jalen Tate.,75,69
0:05,2046,Steve Harris made Free Throw.,76,69
0:05,2046,Steve Harris made Free Throw.,77,69
0:01,94,Lavone Holland II missed Three Point Jumper.,77,69
0:01,2046,Josh Robinson Defensive Rebound.,77,69
0:00,94,End of Game,77,69
