Florida Gulf Coast,239,Baylor,526
13:14,526,Christian Terrell made Jumper.,50,53
13:05,239,Terry Maston Turnover.,50,53
13:03,526,Christian Terrell Steal.,50,53
12:49,239,Foul on Manu Lecomte.,50,53
12:49,526,Zach Johnson missed Free Throw.,50,53
12:49,526,Florida Gulf Coast Deadball Team Rebound.,50,53
12:49,526,Zach Johnson made Free Throw.,51,53
12:30,239,Wendell Mitchell Turnover.,51,53
12:05,526,Christian Terrell missed Three Point Jumper.,51,53
12:05,526,Rayjon Tucker Offensive Rebound.,51,53
12:01,526,Rayjon Tucker missed Jumper.,51,53
12:01,239,Jo Lual-Acuil Jr. Block.,51,53
11:57,239,Jo Lual-Acuil Jr. Defensive Rebound.,51,53
11:53,239,King McClure missed Three Point Jumper.,51,53
11:53,526,Rayjon Tucker Defensive Rebound.,51,53
11:46,526,Antravious Simmons made Jumper. Assisted by Rayjon Tucker.,53,53
11:29,526,Foul on Rayjon Tucker.,53,53
11:29,239,Official TV Timeout,53,53
11:27,239,King McClure missed Three Point Jumper.,53,53
11:27,239,Johnathan Motley Offensive Rebound.,53,53
11:18,239,Terry Maston made Jumper. Assisted by Johnathan Motley.,53,55
10:48,526,Brandon Goodwin made Jumper.,55,55
10:31,239,Johnathan Motley Turnover.,55,55
10:21,526,Zach Johnson made Three Point Jumper. Assisted by Brandon Goodwin.,58,55
9:55,239,Al Freeman missed Three Point Jumper.,58,55
9:55,526,Florida Gulf Coast Defensive Rebound.,58,55
9:29,526,Brandon Goodwin missed Jumper.,58,55
9:29,239,Johnathan Motley Defensive Rebound.,58,55
9:11,526,Foul on Kevin Mickle.,58,55
9:08,239,Terry Maston made Jumper.,58,57
9:08,526,Foul on Demetris Morant.,58,57
9:08,239,Terry Maston made Free Throw.,58,58
8:57,526,Zach Johnson Turnover.,58,58
8:56,239,Ishmail Wainright Steal.,58,58
8:55,526,Foul on Zach Johnson.,58,58
8:55,239,Ishmail Wainright made Free Throw.,58,59
8:55,239,Ishmail Wainright missed Free Throw.,58,59
8:55,526,Kevin Mickle Defensive Rebound.,58,59
8:41,526,Antravious Simmons missed Jumper.,58,59
8:40,239,Johnathan Motley Defensive Rebound.,58,59
8:16,239,Al Freeman missed Three Point Jumper.,58,59
8:16,526,Kevin Mickle Defensive Rebound.,58,59
7:56,526,Zach Johnson missed Jumper.,58,59
7:56,239,Baylor Defensive Rebound.,58,59
7:56,239,Official TV Timeout,58,59
7:26,239,Ishmail Wainright missed Jumper.,58,59
7:26,239,Terry Maston Offensive Rebound.,58,59
7:12,239,Manu Lecomte made Layup.,58,61
6:41,526,Christian Terrell missed Jumper.,58,61
6:41,239,Terry Maston Defensive Rebound.,58,61
6:22,239,Ishmail Wainright made Jumper.,58,63
6:22,526,Florida Gulf Coast  Timeout,58,63
6:22,526,Foul on Antravious Simmons.,58,63
6:22,239,Ishmail Wainright made Free Throw.,58,64
6:05,526,Zach Johnson missed Jumper.,58,64
6:05,239,Johnathan Motley Defensive Rebound.,58,64
5:48,239,Ishmail Wainright missed Jumper.,58,64
5:48,526,Zach Johnson Block.,58,64
5:46,526,Kevin Mickle Defensive Rebound.,58,64
5:35,526,Brandon Goodwin made Jumper.,60,64
5:35,239,Foul on Johnathan Motley.,60,64
5:35,526,Brandon Goodwin made Free Throw.,61,64
5:12,239,Manu Lecomte missed Three Point Jumper.,61,64
5:12,526,Zach Johnson Defensive Rebound.,61,64
5:05,526,Christian Terrell missed Three Point Jumper.,61,64
5:05,239,Manu Lecomte Defensive Rebound.,61,64
4:58,239,Manu Lecomte Turnover.,61,64
4:54,239,Foul on Manu Lecomte.,61,64
4:39,526,Brandon Goodwin made Jumper.,63,64
4:11,239,Manu Lecomte Turnover.,63,64
4:11,239,Baylor  Timeout,63,64
3:55,526,Zach Johnson missed Jumper.,63,64
3:55,239,Johnathan Motley Block.,63,64
3:52,526,Antravious Simmons Offensive Rebound.,63,64
3:50,526,Antravious Simmons missed Jumper.,63,64
3:50,239,Jo Lual-Acuil Jr. Block.,63,64
3:48,239,Al Freeman Defensive Rebound.,63,64
3:40,239,Johnathan Motley missed Jumper.,63,64
3:39,239,Jo Lual-Acuil Jr. Offensive Rebound.,63,64
3:38,239,Jo Lual-Acuil Jr. made Two Point Tip Shot.,63,66
3:10,239,Foul on Al Freeman.,63,66
3:10,526,Zach Johnson made Free Throw.,64,66
3:10,526,Zach Johnson made Free Throw.,65,66
2:58,526,Foul on Demetris Morant.,65,66
2:58,239,Johnathan Motley made Free Throw.,65,67
2:58,239,Johnathan Motley made Free Throw.,65,68
2:46,526,Zach Johnson missed Jumper.,65,68
2:46,526,Zach Johnson Offensive Rebound.,65,68
2:41,526,Zach Johnson made Two Point Tip Shot.,67,68
2:29,239,Johnathan Motley missed Jumper.,67,68
2:29,526,Kevin Mickle Block.,67,68
2:26,239,Al Freeman Offensive Rebound.,67,68
2:17,239,Manu Lecomte missed Three Point Jumper.,67,68
2:17,239,Jo Lual-Acuil Jr. Offensive Rebound.,67,68
2:15,239,Jo Lual-Acuil Jr. made Dunk.,67,70
1:57,526,Zach Johnson missed Jumper.,67,70
1:57,239,Jo Lual-Acuil Jr. Block.,67,70
1:56,239,Jo Lual-Acuil Jr. Defensive Rebound.,67,70
1:33,239,Manu Lecomte made Layup.,67,72
1:19,526,Brandon Goodwin missed Jumper.,67,72
1:19,239,Johnathan Motley Defensive Rebound.,67,72
0:57,239,Manu Lecomte made Three Point Jumper. Assisted by Johnathan Motley.,67,75
0:49,526,Florida Gulf Coast  Timeout,67,75
0:44,526,Brandon Goodwin missed Jumper.,67,75
0:44,239,Ishmail Wainright Defensive Rebound.,67,75
0:37,526,Foul on Brandon Goodwin.,67,75
0:37,239,Manu Lecomte made Free Throw.,67,76
0:37,239,Manu Lecomte made Free Throw.,67,77
0:24,526,Zach Johnson missed Jumper.,67,77
0:24,526,Florida Gulf Coast Deadball Team Rebound.,67,77
0:23,239,Foul on Johnathan Motley.,67,77
0:23,526,Kevin Mickle made Free Throw.,68,77
0:23,526,Kevin Mickle made Free Throw.,69,77
0:17,526,Foul on Rayjon Tucker.,69,77
0:17,239,Al Freeman made Free Throw.,69,78
0:17,239,Al Freeman made Free Throw.,69,79
0:09,526,Brandon Goodwin made Three Point Jumper. Assisted by Rayjon Tucker.,72,79
0:07,526,Foul on Brandon Goodwin.,72,79
0:07,239,Al Freeman made Free Throw.,72,80
0:07,239,Al Freeman made Free Throw.,72,81
0:03,526,Zach Johnson missed Three Point Jumper.,72,81
0:03,239,Jo Lual-Acuil Jr. Defensive Rebound.,72,81
0:00,239,End of Game,72,81
