Ohio,59,Georgia Tech,195
14:16,195,Foul on Kenny Kaminski.,38,41
14:16,59,Josh Okogie made Free Throw.,38,42
13:51,195,Antonio Campbell missed Jumper.,38,42
13:51,59,Josh Okogie Defensive Rebound.,38,42
13:21,59,Justin Moore missed Jumper.,38,42
13:21,195,Antonio Campbell Defensive Rebound.,38,42
13:12,195,Jordan Dartis made Layup. Assisted by Jaaron Simmons.,40,42
13:08,195,Foul on Jordan Dartis.,40,42
12:59,59,Tadric Jackson made Layup.,40,44
12:46,195,Jaaron Simmons made Three Point Jumper.,43,44
12:23,195,Foul on Rodney Culver.,43,44
12:23,59,Tadric Jackson made Free Throw.,43,45
12:23,59,Tadric Jackson made Free Throw.,43,46
12:04,195,Jason Carter missed Layup.,43,46
12:04,59,Ben Lammers Block.,43,46
12:02,195,Jason Carter Offensive Rebound.,43,46
11:59,59,Official TV Timeout,43,46
11:57,195,Jordan Dartis missed Three Point Jumper.,43,46
11:57,59,Abdoulaye Gueye Defensive Rebound.,43,46
11:41,59,Tadric Jackson missed Jumper.,43,46
11:41,195,Jordan Dartis Block.,43,46
11:40,195,Antonio Campbell Defensive Rebound.,43,46
11:40,59,Foul on Ben Lammers.,43,46
11:26,195,Kenny Kaminski made Three Point Jumper. Assisted by Jordan Dartis.,46,46
11:09,59,Quinton Stephens missed Jumper.,46,46
11:09,195,Antonio Campbell Defensive Rebound.,46,46
11:02,195,Kenny Kaminski made Three Point Jumper. Assisted by Jordan Dartis.,49,46
10:38,195,Foul on Kenny Kaminski.,49,46
10:26,195,Foul on Kenny Kaminski.,49,46
10:26,59,Ben Lammers made Free Throw.,49,47
10:26,59,Ben Lammers made Free Throw.,49,48
10:10,195,Jordan Dartis missed Layup.,49,48
10:10,59,Corey Heyward Defensive Rebound.,49,48
10:03,59,Josh Okogie missed Jumper.,49,48
10:03,195,Gavin Block Defensive Rebound.,49,48
9:56,59,Foul on Josh Okogie.,49,48
9:56,195,Antonio Campbell missed Free Throw.,49,48
9:56,195,Ohio Deadball Team Rebound.,49,48
9:56,195,Antonio Campbell missed Free Throw.,49,48
9:56,195,Ohio Deadball Team Rebound.,49,48
9:47,195,Antonio Campbell made Three Point Jumper. Assisted by Jaaron Simmons.,52,48
9:19,59,Ben Lammers missed Layup.,52,48
9:19,195,Jordan Dartis Defensive Rebound.,52,48
8:56,195,Jaaron Simmons Turnover.,52,48
8:53,59,Justin Moore made Layup.,52,50
8:38,195,Mike Laster missed Jumper.,52,50
8:38,195,Gavin Block Offensive Rebound.,52,50
8:21,195,Antonio Campbell missed Three Point Jumper.,52,50
8:21,59,Tadric Jackson Defensive Rebound.,52,50
8:11,59,Tadric Jackson made Jumper. Assisted by Justin Moore.,52,52
8:04,195,Mike Laster missed Three Point Jumper.,52,52
8:04,59,Corey Heyward Defensive Rebound.,52,52
7:54,59,Josh Okogie missed Three Point Jumper.,52,52
7:54,59,Ben Lammers Offensive Rebound.,52,52
7:30,59,Josh Okogie missed Jumper.,52,52
7:30,59,Josh Okogie Offensive Rebound.,52,52
7:25,59,Foul on Josh Okogie.,52,52
7:25,59,Josh Okogie Turnover.,52,52
7:25,59,Official TV Timeout,52,52
7:14,59,Foul on Abdoulaye Gueye.,52,52
7:08,195,Foul on Antonio Campbell.,52,52
7:08,195,Antonio Campbell Turnover.,52,52
6:47,59,Ben Lammers Turnover.,52,52
6:37,195,Doug Taylor missed Layup.,52,52
6:37,59,Abdoulaye Gueye Defensive Rebound.,52,52
6:28,59,Justin Moore missed Layup.,52,52
6:28,195,Doug Taylor Block.,52,52
6:26,195,Jordan Dartis Defensive Rebound.,52,52
6:15,195,Gavin Block made Layup.,54,52
6:14,59,Foul on Justin Moore.,54,52
6:14,195,Gavin Block made Free Throw.,55,52
5:52,59,Ben Lammers missed Jumper.,55,52
5:52,195,Gavin Block Defensive Rebound.,55,52
5:31,195,Gavin Block Turnover.,55,52
5:09,59,Ben Lammers missed Jumper.,55,52
5:09,195,Kenny Kaminski Defensive Rebound.,55,52
5:00,195,Jaaron Simmons made Layup.,57,52
4:52,59,Ben Lammers made Dunk. Assisted by Justin Moore.,57,54
4:48,59,Georgia Tech  Timeout,57,54
4:37,195,Antonio Campbell made Layup. Assisted by Jaaron Simmons.,59,54
4:02,59,Josh Okogie missed Layup.,59,54
4:02,59,Tadric Jackson Offensive Rebound.,59,54
4:01,59,Georgia Tech  Turnover.,59,54
3:49,195,Jaaron Simmons made Jumper.,61,54
3:24,59,Josh Okogie Turnover.,61,54
3:23,195,Jaaron Simmons Steal.,61,54
3:19,195,Jordan Dartis Turnover.,61,54
3:19,59,Abdoulaye Gueye Steal.,61,54
3:19,59,Official TV Timeout,61,54
3:08,59,Ben Lammers missed Layup.,61,54
3:08,59,Quinton Stephens Offensive Rebound.,61,54
3:05,195,Foul on Kenny Kaminski.,61,54
3:05,59,Quinton Stephens made Free Throw.,61,55
3:05,59,Quinton Stephens made Free Throw.,61,56
3:05,195,Ohio  Timeout,61,56
2:59,195,Jordan Dartis Turnover.,61,56
2:47,59,Ben Lammers made Dunk. Assisted by Justin Moore.,61,58
2:16,195,Jaaron Simmons missed Layup.,61,58
2:16,59,Quinton Stephens Defensive Rebound.,61,58
2:06,59,Foul on Quinton Stephens.,61,58
2:06,195,Antonio Campbell made Free Throw.,62,58
2:06,195,Antonio Campbell made Free Throw.,63,58
1:55,59,Tadric Jackson missed Layup.,63,58
1:55,195,Antonio Campbell Defensive Rebound.,63,58
1:24,195,Jaaron Simmons missed Jumper.,63,58
1:24,59,Ben Lammers Block.,63,58
1:23,59,Ben Lammers Defensive Rebound.,63,58
1:20,59,Foul on Tadric Jackson.,63,58
1:20,59,Tadric Jackson Turnover.,63,58
0:54,195,Jordan Dartis missed Layup.,63,58
0:54,59,Ben Lammers Defensive Rebound.,63,58
0:42,59,Tadric Jackson missed Jumper.,63,58
0:42,195,Antonio Campbell Defensive Rebound.,63,58
0:33,59,Foul on Corey Heyward.,63,58
0:33,195,Jaaron Simmons made Free Throw.,64,58
0:33,195,Jaaron Simmons missed Free Throw.,64,58
0:33,59,Quinton Stephens Defensive Rebound.,64,58
0:20,59,Ben Lammers missed Jumper.,64,58
0:20,195,Gavin Block Defensive Rebound.,64,58
0:18,59,Foul on Quinton Stephens.,64,58
0:18,195,Gavin Block missed Free Throw.,64,58
0:18,195,Ohio Deadball Team Rebound.,64,58
0:18,195,Gavin Block made Free Throw.,65,58
0:13,195,Foul on Jordan Dartis.,65,58
0:13,59,Justin Moore missed Free Throw.,65,58
0:13,59,Georgia Tech Deadball Team Rebound.,65,58
0:13,59,Justin Moore made Free Throw.,65,59
0:13,59,Georgia Tech  Timeout,65,59
0:07,195,Antonio Campbell made Dunk. Assisted by Jaaron Simmons.,67,59
0:04,59,Justin Moore missed Layup.,67,59
0:04,59,Josh Okogie Offensive Rebound.,67,59
0:03,59,Josh Okogie missed Layup.,67,59
0:03,59,Abdoulaye Gueye Offensive Rebound.,67,59
0:01,59,Abdoulaye Gueye made Layup.,67,61
0:00,59,End of Game,67,59
