Eastern Michigan,2241,Gardner-Webb,2199
11:44,2241,Laquincy Rideau Turnover.,10,17
11:44,2241,Official TV Timeout,10,17
11:32,2199,James Thompson IV missed Layup.,10,17
11:32,2241,Gardner-Webb Defensive Rebound.,10,17
11:16,2199,Foul on Ray Lee.,10,17
10:55,2241,David Efianayi Turnover.,10,17
10:45,2199,Willie Mangum IV made Three Point Jumper. Assisted by Ray Lee.,13,17
10:23,2241,Liam O'Reilly Turnover.,13,17
10:09,2199,Tim Bond made Three Point Jumper. Assisted by Willie Mangum IV.,16,17
9:44,2241,Christian Turner made Layup.,16,19
9:38,2199,Ray Lee made Jumper.,18,19
9:11,2241,Tyrell Nelson made Jumper.,18,21
9:00,2241,Foul on Christian Turner.,18,21
9:00,2199,Willie Mangum IV made Free Throw.,19,21
9:00,2199,Willie Mangum IV missed Free Throw.,19,21
9:00,2241,Christian Turner Defensive Rebound.,19,21
8:51,2199,Foul on Nick Madray.,19,21
8:37,2199,Foul on Nick Madray.,19,21
8:33,2241,Liam O'Reilly Turnover.,19,21
8:22,2199,Ray Lee made Jumper.,21,21
8:01,2241,Tyrell Nelson missed Jumper.,21,21
8:01,2199,James Thompson IV Defensive Rebound.,21,21
7:49,2199,Willie Mangum IV made Three Point Jumper. Assisted by Jordan Nobles.,24,21
7:30,2241,Brandon Miller made Layup. Assisted by Tyrell Nelson.,24,23
7:15,2241,Foul on Christian Turner.,24,23
7:15,2241,Official TV Timeout,24,23
7:15,2199,Willie Mangum IV missed Free Throw.,24,23
7:15,2199,Eastern Michigan Deadball Team Rebound.,24,23
7:15,2199,Willie Mangum IV made Free Throw.,25,23
7:04,2199,Foul on Jordan Nobles.,25,23
7:04,2241,Brandon Miller missed Free Throw.,25,23
7:04,2241,Gardner-Webb Deadball Team Rebound.,25,23
7:04,2241,Brandon Miller made Free Throw.,25,24
6:47,2241,Foul on Brandon Miller.,25,24
6:47,2199,James Thompson IV made Free Throw.,26,24
6:47,2199,James Thompson IV made Free Throw.,27,24
6:19,2241,Jamaal Robateau missed Three Point Jumper.,27,24
6:19,2199,James Thompson IV Defensive Rebound.,27,24
6:05,2199,Ty Toney missed Three Point Jumper.,27,24
6:05,2241,Christian Turner Defensive Rebound.,27,24
5:58,2241,Liam O'Reilly missed Jumper.,27,24
5:58,2199,Ty Toney Block.,27,24
5:57,2241,Gardner-Webb Offensive Rebound.,27,24
5:55,2241,Tyrell Nelson made Layup. Assisted by Christian Turner.,27,26
5:39,2199,Ty Toney made Jumper.,29,26
5:14,2241,Liam O'Reilly missed Three Point Jumper.,29,26
5:14,2241,Tyrell Nelson Offensive Rebound.,29,26
5:11,2199,Foul on Jordan Nobles.,29,26
5:11,2241,Tyrell Nelson missed Free Throw.,29,26
5:11,2199,Baylee Steele Defensive Rebound.,29,26
4:59,2199,Ray Lee missed Jumper.,29,26
4:59,2241,Tyrell Nelson Defensive Rebound.,29,26
4:53,2241,Christian Turner Turnover.,29,26
4:51,2199,Tim Bond Steal.,29,26
4:47,2199,Foul on Ray Lee.,29,26
4:22,2241,Christian Turner Turnover.,29,26
4:18,2199,Ty Toney missed Jumper.,29,26
4:15,2241,Liam O'Reilly made Free Throw.,29,27
4:15,2241,Liam O'Reilly Defensive Rebound.,29,26
4:15,2199,Foul on Baylee Steele.,29,26
4:15,2241,Liam O'Reilly made Free Throw.,29,28
4:04,2241,Foul on David Efianayi.,29,28
4:04,2199,Tim Bond made Free Throw.,30,28
4:04,2199,Tim Bond made Free Throw.,31,28
3:44,2199,Foul on Lamar Wofford-Humphrey.,31,28
3:44,2241,Official TV Timeout,31,28
3:44,2241,Tyrell Nelson made Free Throw.,31,29
3:44,2241,Tyrell Nelson missed Free Throw.,31,29
3:44,2199,James Thompson IV Defensive Rebound.,31,29
3:24,2199,James Thompson IV missed Layup.,31,29
3:24,2241,Tyrell Nelson Defensive Rebound.,31,29
3:04,2241,DJ Laster Turnover.,31,29
2:55,2199,Willie Mangum IV made Three Point Jumper. Assisted by Tim Bond.,34,29
2:29,2241,DJ Laster Turnover.,34,29
2:27,2199,Ty Toney Steal.,34,29
2:26,2241,Foul on Liam O'Reilly.,34,29
2:26,2241,Gardner-Webb  Timeout,34,29
2:26,2199,Willie Mangum IV made Free Throw.,35,29
2:26,2199,Willie Mangum IV made Free Throw.,36,29
2:11,2199,Foul on Willie Mangum IV.,36,29
2:11,2241,David Efianayi missed Free Throw.,36,29
2:11,2241,Gardner-Webb Deadball Team Rebound.,36,29
2:11,2241,David Efianayi made Free Throw.,36,30
1:58,2199,Ty Toney made Layup.,38,30
1:33,2241,DJ Laster missed Jumper.,38,30
1:33,2199,Lamar Wofford-Humphrey Defensive Rebound.,38,30
1:31,2199,Lamar Wofford-Humphrey Turnover.,38,30
1:30,2241,Liam O'Reilly Turnover.,38,30
1:29,2199,Ty Toney Steal.,38,30
1:26,2199,Willie Mangum IV made Layup. Assisted by Ty Toney.,40,30
1:05,2241,DJ Laster missed Jumper.,40,30
1:05,2199,James Thompson IV Defensive Rebound.,40,30
0:54,2199,Willie Mangum IV made Jumper.,42,30
0:45,2199,Foul on Lamar Wofford-Humphrey.,42,30
0:45,2241,Tyrell Nelson made Free Throw.,42,31
0:45,2241,Tyrell Nelson made Free Throw.,42,32
0:17,2199,James Thompson IV made Dunk. Assisted by Tim Bond.,44,32
0:03,2199,Foul on Tim Bond.,44,32
0:03,2241,Tyrell Nelson missed Free Throw.,44,32
0:03,2241,Gardner-Webb Deadball Team Rebound.,44,32
0:03,2241,Tyrell Nelson missed Free Throw.,44,32
0:03,2199,Lamar Wofford-Humphrey Defensive Rebound.,44,32
0:00,2241,End of 1st half,42,34
19:50,2199,Willie Mangum IV missed Three Point Jumper.,44,32
19:50,2199,Nick Madray Offensive Rebound.,44,32
19:39,2199,Ray Lee missed Three Point Jumper.,44,32
19:39,2199,Eastern Michigan Offensive Rebound.,44,32
19:38,2241,Foul on Tyrell Nelson.,44,32
19:34,2199,James Thompson IV missed Jumper.,44,32
19:34,2199,Tim Bond Offensive Rebound.,44,32
19:31,2199,Tim Bond missed Layup.,44,32
19:31,2241,Laquincy Rideau Defensive Rebound.,44,32
19:29,2199,Ray Lee missed Jumper.,44,32
19:29,2241,David Efianayi Block.,44,32
19:23,2199,Nick Madray missed Layup.,44,32
19:23,2199,Willie Mangum IV Offensive Rebound.,44,32
19:20,2241,Brandon Miller Block.,44,32
19:20,2241,Jamaal Robateau Defensive Rebound.,44,32
19:19,2241,Jamaal Robateau made Jumper.,44,34
19:19,2199,Foul on Nick Madray.,44,34
19:19,2241,Jamaal Robateau made Free Throw.,44,35
19:16,2241,Brandon Miller missed Layup.,44,35
19:16,2199,Tim Bond Defensive Rebound.,44,35
19:06,2199,Ty Toney missed Layup.,44,35
19:06,2241,L'Hassane Niangane Block.,44,35
19:06,2199,Eastern Michigan Offensive Rebound.,44,35
18:51,2241,Foul on Laquincy Rideau.,44,35
18:32,2199,Ray Lee made Three Point Jumper. Assisted by Ty Toney.,47,35
18:31,2241,Foul on Tyrell Nelson.,47,35
18:20,2199,Baylee Steele missed Jumper.,47,35
18:20,2241,Tyrell Nelson Defensive Rebound.,47,35
18:03,2241,Laquincy Rideau made Three Point Jumper. Assisted by Tyrell Nelson.,47,38
17:55,2199,Lamar Wofford-Humphrey missed Jumper.,47,38
17:55,2241,Jamaal Robateau Defensive Rebound.,47,38
17:47,2241,Liam O'Reilly missed Layup.,47,38
17:47,2199,Baylee Steele Block.,47,38
17:45,2199,Tim Bond Defensive Rebound.,47,38
17:41,2199,Ray Lee made Dunk. Assisted by Tim Bond.,49,38
17:20,2241,Tyrell Nelson Turnover.,49,38
17:18,2199,Ray Lee Steal.,49,38
16:55,2199,Lamar Wofford-Humphrey missed Three Point Jumper.,49,38
16:55,2241,Laquincy Rideau Defensive Rebound.,49,38
16:41,2241,Tyrell Nelson Turnover.,49,38
16:39,2199,Ray Lee Steal.,49,38
16:36,2199,Ray Lee missed Layup.,49,38
16:36,2241,L'Hassane Niangane Defensive Rebound.,49,38
16:30,2241,Jamaal Robateau made Layup.,49,40
16:30,2199,Foul on Lamar Wofford-Humphrey.,49,40
16:30,2241,Jamaal Robateau made Free Throw.,49,41
16:17,2199,Tim Bond made Jumper.,51,41
16:00,2241,Jamaal Robateau made Three Point Jumper. Assisted by Liam O'Reilly.,51,44
15:59,2199,Foul on Willie Mangum IV.,51,44
15:59,2241,Official TV Timeout,51,44
15:59,2241,Jamaal Robateau made Free Throw.,51,45
15:45,2241,Foul on DJ Laster.,51,45
15:29,2199,Baylee Steele missed Layup.,51,45
15:29,2199,James Thompson IV Offensive Rebound.,51,45
15:27,2199,James Thompson IV made Two Point Tip Shot.,53,45
15:15,2241,Jamaal Robateau missed Three Point Jumper.,53,45
15:15,2199,Baylee Steele Defensive Rebound.,53,45
14:58,2199,Foul on Ty Toney.,53,45
14:58,2199,Ty Toney Turnover.,53,45
14:39,2241,Brandon Miller missed Layup.,53,45
14:39,2199,Tim Bond Defensive Rebound.,53,45
14:10,2199,Tim Bond missed Jumper.,53,45
14:10,2241,Brandon Miller Defensive Rebound.,53,45
13:45,2241,Laquincy Rideau Turnover.,53,45
13:44,2199,Ty Toney Steal.,53,45
13:41,2241,Foul on Liam O'Reilly.,53,45
13:41,2199,James Thompson IV made Free Throw.,54,45
13:41,2199,James Thompson IV made Free Throw.,55,45
13:26,2241,Gardner-Webb  Timeout,55,45
13:26,2241,Official TV Timeout,55,45
13:19,2241,David Efianayi missed Jumper.,55,45
13:19,2199,James Thompson IV Defensive Rebound.,55,45
12:50,2199,Willie Mangum IV made Three Point Jumper.,58,45
12:31,2241,David Efianayi missed Jumper.,58,45
12:31,2241,David Efianayi Offensive Rebound.,58,45
12:02,2241,Laquincy Rideau made Three Point Jumper.,58,48
11:47,2199,Baylee Steele missed Jumper.,58,48
11:47,2199,Eastern Michigan Offensive Rebound.,58,48
11:43,2241,Official TV Timeout,58,48
11:27,2199,Baylee Steele Turnover.,58,48
11:25,2241,David Efianayi Steal.,58,48
11:14,2241,Laquincy Rideau Turnover.,58,48
11:04,2199,Willie Mangum IV Turnover.,58,48
10:52,2241,Tyrell Nelson missed Jumper.,58,48
10:52,2199,James Thompson IV Defensive Rebound.,58,48
10:22,2199,Ty Toney missed Jumper.,58,48
10:22,2199,James Thompson IV Offensive Rebound.,58,48
10:18,2199,James Thompson IV made Two Point Tip Shot.,60,48
10:04,2241,Jamaal Robateau Turnover.,60,48
10:03,2199,Ty Toney Steal.,60,48
10:03,2241,Foul on Laquincy Rideau.,60,48
10:03,2199,Ty Toney missed Free Throw.,60,48
10:03,2199,Eastern Michigan Deadball Team Rebound.,60,48
10:03,2199,Ty Toney made Free Throw.,61,48
9:44,2199,Ray Lee missed Jumper.,61,48
9:44,2199,Ray Lee Offensive Rebound.,61,48
9:03,2199,Ray Lee missed Jumper.,61,48
9:03,2241,L'Hassane Niangane Defensive Rebound.,61,48
8:56,2199,Jordan Nobles missed Three Point Jumper.,61,48
8:56,2241,Laquincy Rideau Defensive Rebound.,61,48
8:55,2241,Laquincy Rideau missed Jumper.,61,48
8:55,2199,James Thompson IV Defensive Rebound.,61,48
8:54,2199,James Thompson IV made Dunk.,63,48
8:48,2199,Eastern Michigan  Timeout,63,48
8:48,2241,Gardner-Webb  Timeout,63,48
8:36,2241,Brandon Miller Turnover.,63,48
8:13,2199,Lamar Wofford-Humphrey missed Three Point Jumper.,63,48
8:13,2241,L'Hassane Niangane Defensive Rebound.,63,48
7:56,2241,Jamaal Robateau Turnover.,63,48
7:56,2241,Official TV Timeout,63,48
7:29,2199,Lamar Wofford-Humphrey missed Jumper.,63,48
7:29,2241,Gardner-Webb Defensive Rebound.,63,48
7:28,2199,Foul on Nick Madray.,63,48
7:02,2241,Christian Turner made Jumper.,63,50
6:37,2199,Tim Bond missed Three Point Jumper.,63,50
6:37,2241,Gardner-Webb Defensive Rebound.,63,50
6:14,2241,Tyrell Nelson missed Jumper.,63,50
6:14,2199,Jordan Nobles Block.,63,50
6:13,2241,Gardner-Webb Offensive Rebound.,63,50
6:12,2241,Jamaal Robateau Turnover.,63,50
5:47,2199,Willie Mangum IV missed Jumper.,63,50
5:47,2241,Patrick Zeck Block.,63,50
5:46,2199,Nick Madray Offensive Rebound.,63,50
5:45,2241,Foul on Patrick Zeck.,63,50
5:45,2199,Nick Madray missed Free Throw.,63,50
5:45,2199,Eastern Michigan Deadball Team Rebound.,63,50
5:45,2199,Nick Madray made Free Throw.,64,50
5:32,2241,Brandon Miller missed Layup.,64,50
5:32,2241,Tyrell Nelson Offensive Rebound.,64,50
5:30,2241,Tyrell Nelson made Two Point Tip Shot.,64,52
5:10,2199,Nick Madray made Layup.,66,52
5:02,2241,Brandon Miller made Dunk. Assisted by David Efianayi.,66,54
5:02,2199,Foul on Tim Bond.,66,54
5:02,2241,Brandon Miller made Free Throw.,66,55
4:42,2199,Willie Mangum IV Turnover.,66,55
4:40,2241,David Efianayi Steal.,66,55
4:39,2241,David Efianayi made Dunk.,66,57
4:38,2199,Eastern Michigan  Timeout,66,57
4:12,2241,Foul on L'Hassane Niangane.,66,57
4:12,2199,James Thompson IV made Free Throw.,67,57
4:12,2199,James Thompson IV made Free Throw.,68,57
4:07,2199,Foul on Ty Toney.,68,57
4:07,2241,Laquincy Rideau missed Free Throw.,68,57
4:07,2241,Gardner-Webb Offensive Rebound.,68,57
4:04,2199,Foul on Willie Mangum IV.,68,57
4:04,2241,Laquincy Rideau missed Free Throw.,68,57
4:04,2199,Nick Madray Defensive Rebound.,68,57
3:43,2199,Tim Bond missed Jumper.,68,57
3:43,2241,Liam O'Reilly Defensive Rebound.,68,57
3:37,2241,David Efianayi Turnover.,68,57
3:37,2199,Ty Toney Steal.,68,57
3:37,2241,Official TV Timeout,68,57
3:16,2241,Foul on L'Hassane Niangane.,68,57
3:16,2199,James Thompson IV made Free Throw.,69,57
3:16,2199,James Thompson IV missed Free Throw.,69,57
3:16,2241,Brandon Miller Defensive Rebound.,69,57
3:02,2241,Liam O'Reilly missed Three Point Jumper.,69,57
2:59,2241,Gardner-Webb Offensive Rebound.,69,57
2:51,2241,Brandon Miller missed Layup.,69,57
2:51,2199,James Thompson IV Block.,69,57
2:50,2199,Ty Toney Defensive Rebound.,69,57
2:24,2241,Foul on Laquincy Rideau.,69,57
2:24,2199,Nick Madray missed Free Throw.,69,57
2:24,2199,Eastern Michigan Deadball Team Rebound.,69,57
2:24,2199,Nick Madray made Free Throw.,70,57
2:06,2241,Liam O'Reilly missed Three Point Jumper.,70,57
2:06,2199,Baylee Steele Defensive Rebound.,70,57
1:49,2199,Tim Bond made Layup.,72,57
1:28,2241,Jamaal Robateau made Three Point Jumper. Assisted by Brandon Miller.,72,60
1:16,2241,Foul on Jamaal Robateau.,72,60
1:16,2199,Ty Toney missed Free Throw.,72,60
1:16,2199,Eastern Michigan Deadball Team Rebound.,72,60
1:16,2199,Ty Toney missed Free Throw.,72,60
1:16,2241,Jamaal Robateau Defensive Rebound.,72,60
1:00,2241,Liam O'Reilly Turnover.,72,60
0:59,2199,Jalen Brown Steal.,72,60
0:54,2199,Jalen Brown Turnover.,72,60
0:52,2241,Jamaal Robateau Steal.,72,60
0:49,2241,Jamaal Robateau made Three Point Jumper. Assisted by David Efianayi.,72,63
0:45,2199,Ty Toney Turnover.,72,63
0:45,2241,David Efianayi Steal.,72,63
0:45,2199,Foul on Ty Toney.,72,63
0:45,2241,David Efianayi missed Free Throw.,72,63
0:45,2241,Gardner-Webb Deadball Team Rebound.,72,63
0:45,2241,David Efianayi made Free Throw.,72,64
0:40,2241,Foul on David Efianayi.,72,64
0:40,2199,Willie Mangum IV missed Free Throw.,72,64
0:40,2199,Eastern Michigan Deadball Team Rebound.,72,64
0:40,2199,Willie Mangum IV made Free Throw.,73,64
0:29,2241,Liam O'Reilly missed Three Point Jumper.,73,64
0:29,2241,Tyrell Nelson Offensive Rebound.,73,64
0:25,2199,Foul on Baylee Steele.,73,64
0:25,2241,Tyrell Nelson made Free Throw.,73,65
0:25,2241,Tyrell Nelson made Free Throw.,73,66
0:19,2199,Quaran Jones made Dunk. Assisted by Tim Bond.,75,66
0:14,2199,Foul on Jordan Nobles.,75,66
0:14,2241,Jamaal Robateau made Free Throw.,75,67
0:14,2241,Jamaal Robateau made Free Throw.,75,68
0:12,2199,Ty Toney missed Layup.,75,68
0:12,2241,Liam O'Reilly Block.,75,68
0:12,2199,Eastern Michigan Offensive Rebound.,75,68
0:07,2241,Foul on Liam O'Reilly.,75,68
0:07,2199,Willie Mangum IV missed Free Throw.,75,68
0:07,2199,Eastern Michigan Deadball Team Rebound.,75,68
0:07,2199,Willie Mangum IV made Free Throw.,76,68
