Lipscomb,2612,Saint Peter's,288
2:15,2612,Trevis Wyche missed Free Throw.,69,78
2:00,288,Garrison Mathews made Free Throw.,70,78
2:00,288,Garrison Mathews made Free Throw.,71,78
2:00,2612,Foul on Trevis Wyche.,69,78
1:47,288,Foul on Eli Pepper.,71,78
1:47,2612,Quadir Welton made Free Throw.,71,79
1:47,2612,Quadir Welton made Free Throw.,71,80
1:37,288,Michael Buckland Turnover.,71,80
1:36,2612,Trevis Wyche Steal.,71,80
1:34,288,Foul on Garrison Mathews.,71,80
1:34,2612,Trevis Wyche made Free Throw.,71,81
1:34,2612,Trevis Wyche made Free Throw.,71,82
1:31,288,Rob Marberry made Layup. Assisted by Nathan Moran.,73,82
1:29,288,Lipscomb  Timeout,73,82
1:22,288,Foul on Cam Miller.,73,82
1:22,2612,Quadir Welton missed Free Throw.,73,82
1:22,2612,Saint Peter's Deadball Team Rebound.,73,82
1:22,2612,Quadir Welton made Free Throw.,73,83
1:16,288,Garrison Mathews missed Layup.,73,83
1:16,2612,Quadir Welton Defensive Rebound.,73,83
1:05,288,Foul on Josh Williams.,73,83
1:05,2612,Trevis Wyche made Free Throw.,73,84
1:05,2612,Trevis Wyche made Free Throw.,73,85
0:57,288,Aaron Korn made Layup. Assisted by Michael Buckland.,75,85
0:56,288,Lipscomb  Timeout,75,85
0:51,288,Foul on Michael Buckland.,75,85
0:51,2612,Antwon Portley made Free Throw.,75,86
0:51,2612,Antwon Portley made Free Throw.,75,87
0:42,288,Garrison Mathews missed Three Point Jumper.,75,87
0:42,2612,Chazz Patterson Defensive Rebound.,75,87
0:38,288,Foul on Rob Marberry.,75,87
0:38,2612,Chazz Patterson made Free Throw.,75,88
0:38,2612,Chazz Patterson made Free Throw.,75,89
0:32,288,Nathan Moran missed Layup.,75,89
0:32,2612,Quadir Welton Defensive Rebound.,75,89
0:30,288,Foul on Nathan Moran.,75,89
0:30,288,Josh Williams Defensive Rebound.,75,90
0:30,2612,Quadir Welton made Free Throw.,75,90
0:30,2612,Quadir Welton missed Free Throw.,75,90
0:23,288,Josh Williams made Layup.,77,90
0:00,2612,End of Game,77,90
