Fairleigh Dickinson,2230,Fordham,161
13:53,2230,Will Tavares Steal.,2,12
13:50,2230,Will Tavares Turnover.,2,12
13:50,161,Darian Anderson Steal.,2,12
13:39,161,DaRon Curry made Layup.,4,12
13:18,2230,Joseph Chartouny Turnover.,4,12
13:17,161,Kaleb Bishop Steal.,4,12
13:11,161,Kaleb Bishop Turnover.,4,12
13:10,2230,Joseph Chartouny Steal.,4,12
13:08,2230,Joseph Chartouny Turnover.,4,12
13:07,161,Mike Holloway Steal.,4,12
13:05,161,Mike Holloway made Layup.,6,12
12:39,2230,Jesse Bunting missed Layup.,6,12
12:39,161,Darian Anderson Defensive Rebound.,6,12
12:24,161,Kaleb Bishop missed Three Point Jumper.,6,12
12:24,2230,Nemanja Zarkovic Defensive Rebound.,6,12
12:07,2230,Christian Sengfelder missed Three Point Jumper.,6,12
12:07,2230,Jesse Bunting Offensive Rebound.,6,12
11:51,2230,Christian Sengfelder made Three Point Jumper. Assisted by Joseph Chartouny.,6,15
11:28,2230,Foul on Joseph Chartouny.,6,15
11:28,2230,Official TV Timeout,6,15
11:25,2230,Jesse Bunting Steal.,6,15
11:25,161,Stephan Jiggetts Turnover.,6,15
11:25,2230,Joseph Chartouny made Layup.,6,17
11:14,2230,Foul on Javontae Hawkins.,6,17
11:00,161,Darian Anderson made Three Point Jumper. Assisted by Kaleb Bishop.,9,17
10:38,2230,Prokop Slanina made Layup. Assisted by Joseph Chartouny.,9,19
10:16,2230,Foul on Will Tavares.,9,19
10:16,161,Nadi Beciri made Free Throw.,10,19
10:16,161,Nadi Beciri missed Free Throw.,10,19
10:16,2230,Prokop Slanina Defensive Rebound.,10,19
9:46,2230,Christian Sengfelder missed Jumper.,10,19
9:46,2230,Christian Sengfelder Offensive Rebound.,10,19
9:39,161,Foul on Stephan Jiggetts.,10,19
9:39,2230,Javontae Hawkins made Free Throw.,10,20
9:39,2230,Javontae Hawkins made Free Throw.,10,21
9:15,161,Stephan Jiggetts made Layup.,12,21
8:56,2230,Antwoine Anderson missed Three Point Jumper.,12,21
8:56,161,Darnell Edge Defensive Rebound.,12,21
8:46,161,Stephan Jiggetts Turnover.,12,21
8:45,2230,Jesse Bunting Steal.,12,21
8:37,2230,David Pekarek missed Three Point Jumper.,12,21
8:37,161,Kaleb Bishop Defensive Rebound.,12,21
8:26,161,Kaleb Bishop Turnover.,12,21
8:13,2230,Javontae Hawkins Turnover.,12,21
8:13,161,Darnell Edge Steal.,12,21
8:13,2230,Foul on Christian Sengfelder.,12,21
8:13,161,Darnell Edge made Free Throw.,13,21
8:13,161,Darnell Edge made Free Throw.,14,21
8:02,2230,Antwoine Anderson missed Three Point Jumper.,14,21
8:02,161,Malik Miller Defensive Rebound.,14,21
7:48,161,Darnell Edge Turnover.,14,21
7:48,2230,Joseph Chartouny Steal.,14,21
7:47,2230,Official TV Timeout,14,21
7:47,161,Foul on Darian Anderson.,14,21
7:47,2230,Joseph Chartouny made Free Throw.,14,22
7:47,2230,Joseph Chartouny made Free Throw.,14,23
7:31,161,Darian Anderson missed Three Point Jumper.,14,23
7:31,161,Mike Holloway Offensive Rebound.,14,23
7:26,161,Darnell Edge Turnover.,14,23
7:25,2230,Joseph Chartouny Steal.,14,23
7:20,2230,Joseph Chartouny made Layup.,14,25
7:13,161,Fairleigh Dickinson  Timeout,14,25
6:53,161,Darian Anderson missed Jumper.,14,25
6:53,2230,Jesse Bunting Defensive Rebound.,14,25
6:41,2230,Nemanja Zarkovic missed Three Point Jumper.,14,25
6:41,2230,Jesse Bunting Offensive Rebound.,14,25
6:35,2230,Javontae Hawkins Turnover.,14,25
6:26,2230,Foul on Prokop Slanina.,14,25
6:26,161,Stephan Jiggetts missed Free Throw.,14,25
6:26,161,Fairleigh Dickinson Deadball Team Rebound.,14,25
6:26,161,Stephan Jiggetts missed Free Throw.,14,25
6:26,2230,Christian Sengfelder Defensive Rebound.,14,25
6:18,2230,Javontae Hawkins Turnover.,14,25
6:02,161,Mike Holloway made Layup. Assisted by Stephan Jiggetts.,16,25
5:46,2230,Javontae Hawkins made Dunk. Assisted by Antwoine Anderson.,16,27
5:25,2230,Foul on Christian Sengfelder.,16,27
5:25,161,Mike Holloway missed Free Throw.,16,27
5:25,161,Fairleigh Dickinson Deadball Team Rebound.,16,27
5:25,161,Mike Holloway made Free Throw.,17,27
5:09,161,Fairleigh Dickinson  Timeout,17,27
5:09,2230,Javontae Hawkins made Three Point Jumper. Assisted by Antwoine Anderson.,17,30
4:56,161,Darian Anderson made Three Point Jumper. Assisted by Kaleb Bishop.,20,30
4:46,2230,David Pekarek missed Three Point Jumper.,20,30
4:46,161,Fairleigh Dickinson Defensive Rebound.,20,30
4:28,161,Stephan Jiggetts Turnover.,20,30
4:27,2230,Jesse Bunting Steal.,20,30
4:07,2230,David Pekarek missed Jumper.,20,30
4:07,161,Mike Holloway Defensive Rebound.,20,30
3:50,161,Mike Holloway made Jumper.,22,30
3:33,2230,David Pekarek missed Jumper.,22,30
3:33,2230,Jesse Bunting Offensive Rebound.,22,30
3:32,161,Foul on Stephan Jiggetts.,22,30
3:32,2230,Official TV Timeout,22,30
3:32,2230,Jesse Bunting made Free Throw.,22,31
3:32,2230,Jesse Bunting missed Free Throw.,22,31
3:32,161,Kaleb Bishop Defensive Rebound.,22,31
3:32,2230,Foul on Joseph Chartouny.,22,31
3:31,161,Kaleb Bishop made Free Throw.,23,31
3:31,161,Kaleb Bishop made Free Throw.,24,31
3:14,2230,Joseph Chartouny Turnover.,24,31
3:14,161,Mike Holloway Steal.,24,31
3:14,2230,Foul on Joseph Chartouny.,24,31
3:14,161,Mike Holloway made Free Throw.,25,31
3:14,161,Mike Holloway made Free Throw.,26,31
3:10,2230,Fordham  Timeout,26,31
2:50,2230,Antwoine Anderson made Layup.,26,33
2:45,161,Kaleb Bishop Turnover.,26,33
2:25,2230,Will Tavares made Three Point Jumper. Assisted by Nemanja Zarkovic.,26,36
2:10,2230,Foul on Will Tavares.,26,36
2:10,161,Mike Schroback made Free Throw.,27,36
2:10,161,Mike Schroback made Free Throw.,28,36
1:56,161,Foul on DaRon Curry.,28,36
1:56,2230,Will Tavares made Free Throw.,28,37
1:56,2230,Will Tavares made Free Throw.,28,38
1:24,161,Fairleigh Dickinson  Turnover.,28,38
1:05,161,Foul on DaRon Curry.,28,38
1:05,2230,Javontae Hawkins made Free Throw.,28,39
1:05,2230,Javontae Hawkins made Free Throw.,28,40
0:56,161,Mike Holloway made Dunk. Assisted by Stephan Jiggetts.,30,40
0:32,2230,Will Tavares missed Three Point Jumper.,30,40
0:32,161,Mike Holloway Defensive Rebound.,30,40
0:07,161,Darian Anderson missed Three Point Jumper.,30,40
0:07,2230,Javontae Hawkins Defensive Rebound.,30,40
0:02,161,Foul on Darnell Edge.,30,40
0:02,2230,Javontae Hawkins made Free Throw.,30,41
0:02,2230,Javontae Hawkins made Free Throw.,30,42
0:02,2230,Javontae Hawkins made Free Throw.,30,43
0:00,2230,End of 1st half,30,43
19:46,161,Mike Holloway missed Layup.,30,43
19:46,2230,Javontae Hawkins Defensive Rebound.,30,43
19:20,2230,Antwoine Anderson missed Three Point Jumper.,30,43
19:20,161,Malik Miller Defensive Rebound.,30,43
19:12,161,Darnell Edge missed Three Point Jumper.,30,43
19:12,2230,Jesse Bunting Defensive Rebound.,30,43
18:52,2230,Javontae Hawkins missed Jumper.,30,43
18:52,2230,Javontae Hawkins Offensive Rebound.,30,43
18:51,2230,Javontae Hawkins missed Layup.,30,43
18:51,161,Darnell Edge Defensive Rebound.,30,43
18:34,2230,Foul on Jesse Bunting.,30,43
18:28,161,Malik Miller missed Three Point Jumper.,30,43
18:28,2230,Antwoine Anderson Defensive Rebound.,30,43
18:05,2230,Jesse Bunting missed Three Point Jumper.,30,43
18:05,161,Malik Miller Defensive Rebound.,30,43
17:48,161,Stephan Jiggetts Turnover.,30,43
17:47,2230,Jesse Bunting Steal.,30,43
17:43,2230,Christian Sengfelder made Dunk. Assisted by Jesse Bunting.,30,45
17:33,2230,Foul on Javontae Hawkins.,30,45
17:28,2230,Foul on Will Tavares.,30,45
17:11,161,Darian Anderson missed Three Point Jumper.,30,45
17:11,2230,Antwoine Anderson Defensive Rebound.,30,45
16:38,2230,Javontae Hawkins missed Jumper.,30,45
16:38,161,Darian Anderson Defensive Rebound.,30,45
16:29,161,Stephan Jiggetts missed Jumper.,30,45
16:29,161,Malik Miller Offensive Rebound.,30,45
16:26,161,Malik Miller made Layup.,32,45
16:09,2230,Foul on Javontae Hawkins.,32,45
16:09,2230,Javontae Hawkins Turnover.,32,45
15:57,2230,Official TV Timeout,32,45
15:38,161,Stephan Jiggetts made Three Point Jumper. Assisted by Darnell Edge.,35,45
15:07,2230,Christian Sengfelder made Layup.,35,47
14:41,161,Darian Anderson missed Three Point Jumper.,35,47
14:41,161,Mike Holloway Offensive Rebound.,35,47
14:36,161,Mike Holloway missed Three Point Jumper.,35,47
14:36,2230,Christian Sengfelder Defensive Rebound.,35,47
14:23,2230,Will Tavares made Layup.,35,49
14:09,161,Stephan Jiggetts made Free Throw.,36,49
14:09,161,Stephan Jiggetts made Free Throw.,37,49
14:09,161,Stephan Jiggetts made Free Throw.,38,49
13:55,2230,Antwoine Anderson missed Layup.,38,49
13:55,161,Mike Holloway Defensive Rebound.,38,49
13:50,161,Darnell Edge Turnover.,38,49
13:22,2230,Joseph Chartouny missed Three Point Jumper.,38,49
13:22,161,Stephan Jiggetts Defensive Rebound.,38,49
13:04,161,Malik Miller made Dunk. Assisted by Stephan Jiggetts.,40,49
12:43,2230,Joseph Chartouny missed Three Point Jumper.,40,49
12:43,161,Malik Miller Defensive Rebound.,40,49
12:15,161,Darnell Edge missed Jumper.,40,49
12:15,161,Mike Holloway Offensive Rebound.,40,49
12:11,161,Mike Holloway missed Layup.,40,49
12:11,161,Malik Miller Offensive Rebound.,40,49
12:09,161,Malik Miller made Layup.,42,49
11:55,2230,Antwoine Anderson missed Three Point Jumper.,42,49
11:55,161,Fairleigh Dickinson Defensive Rebound.,42,49
11:53,2230,Official TV Timeout,42,49
11:24,161,Stephan Jiggetts missed Three Point Jumper.,42,49
11:24,2230,Jesse Bunting Defensive Rebound.,42,49
10:57,2230,Javontae Hawkins missed Three Point Jumper.,42,49
10:57,161,Stephan Jiggetts Defensive Rebound.,42,49
10:48,161,Darian Anderson missed Three Point Jumper.,42,49
10:48,2230,Jesse Bunting Defensive Rebound.,42,49
10:21,2230,Javontae Hawkins missed Jumper.,42,49
10:21,161,Mike Holloway Defensive Rebound.,42,49
10:02,161,Malik Miller made Layup. Assisted by Darian Anderson.,44,49
9:42,161,Foul on Mike Holloway.,44,49
9:42,2230,Jesse Bunting missed Free Throw.,44,49
9:42,2230,Fordham Deadball Team Rebound.,44,49
9:42,2230,Jesse Bunting missed Free Throw.,44,49
9:42,161,Malik Miller Defensive Rebound.,44,49
9:31,2230,Foul on Antwoine Anderson.,44,49
9:00,161,DaRon Curry made Jumper. Assisted by Darnell Edge.,46,49
8:43,2230,Christian Sengfelder made Three Point Jumper. Assisted by Joseph Chartouny.,46,52
8:22,161,Stephan Jiggetts Turnover.,46,52
8:22,2230,Prokop Slanina Steal.,46,52
7:55,2230,Will Tavares missed Layup.,46,52
7:55,161,Mike Holloway Defensive Rebound.,46,52
7:45,161,Malik Miller missed Layup.,46,52
7:45,161,Mike Holloway Offensive Rebound.,46,52
7:43,161,Mike Holloway made Layup.,48,52
7:28,161,Foul on Mike Holloway.,48,52
7:28,2230,Official TV Timeout,48,52
7:24,2230,Christian Sengfelder made Three Point Jumper. Assisted by Prokop Slanina.,48,55
7:00,161,Stephan Jiggetts Turnover.,48,55
6:37,2230,Joseph Chartouny missed Three Point Jumper.,48,55
6:37,161,Malik Miller Defensive Rebound.,48,55
6:24,161,Darian Anderson Turnover.,48,55
5:49,2230,Christian Sengfelder missed Three Point Jumper.,48,55
5:49,161,Malik Miller Defensive Rebound.,48,55
5:30,2230,Foul on Javontae Hawkins.,48,55
5:30,161,Mike Holloway made Free Throw.,49,55
5:30,161,Mike Holloway missed Free Throw.,49,55
5:30,2230,Christian Sengfelder Defensive Rebound.,49,55
5:04,2230,Joseph Chartouny made Layup.,49,57
4:57,161,Stephan Jiggetts Turnover.,49,57
4:56,2230,Christian Sengfelder Steal.,49,57
4:52,2230,Antwoine Anderson Turnover.,49,57
4:43,161,Darnell Edge missed Jumper.,49,57
4:43,2230,Joseph Chartouny Defensive Rebound.,49,57
4:32,2230,Antwoine Anderson missed Three Point Jumper.,49,57
4:32,2230,Fordham Offensive Rebound.,49,57
4:25,2230,Joseph Chartouny missed Three Point Jumper.,49,57
4:25,2230,Will Tavares Offensive Rebound.,49,57
4:02,2230,Joseph Chartouny made Three Point Jumper. Assisted by Antwoine Anderson.,49,60
3:44,2230,Foul on Christian Sengfelder.,49,60
3:44,2230,Official TV Timeout,49,60
3:44,161,Malik Miller made Free Throw.,50,60
3:44,161,Malik Miller missed Free Throw.,50,60
3:44,2230,Christian Sengfelder Defensive Rebound.,50,60
3:16,2230,Antwoine Anderson made Layup.,50,62
3:02,161,Foul on Stephan Jiggetts.,50,62
3:02,161,Stephan Jiggetts Turnover.,50,62
2:50,161,Foul on Mike Holloway.,50,62
2:50,2230,Christian Sengfelder made Free Throw.,50,63
2:50,2230,Christian Sengfelder made Free Throw.,50,64
2:37,2230,Christian Sengfelder Defensive Rebound.,50,64
2:37,161,Stephan Jiggetts missed Three Point Jumper.,50,64
2:18,2230,Javontae Hawkins Turnover.,50,64
2:16,161,Darian Anderson Steal.,50,64
1:59,2230,Foul on Antwoine Anderson.,50,64
1:59,161,Malik Miller made Free Throw.,51,64
1:59,161,Malik Miller missed Free Throw.,51,64
1:59,2230,Joseph Chartouny Defensive Rebound.,51,64
1:45,2230,Nemanja Zarkovic missed Three Point Jumper.,51,64
1:45,161,Kaleb Bishop Defensive Rebound.,51,64
1:30,161,Fairleigh Dickinson  Timeout,51,64
1:24,161,Malik Miller made Dunk. Assisted by Stephan Jiggetts.,53,64
1:07,161,Foul on Darnell Edge.,53,64
1:02,161,Foul on Darnell Edge.,53,64
0:59,161,Foul on Darnell Edge.,53,64
0:59,2230,Antwoine Anderson made Free Throw.,53,65
0:59,2230,Antwoine Anderson made Free Throw.,53,66
0:46,161,Mike Holloway made Layup. Assisted by Darian Anderson.,55,66
0:45,161,Fairleigh Dickinson  Timeout,55,66
0:44,161,Foul on Darian Anderson.,55,66
0:44,2230,Antwoine Anderson made Free Throw.,55,67
0:44,2230,Antwoine Anderson made Free Throw.,55,68
0:27,161,Mike Schroback missed Jumper.,55,68
0:27,2230,Jesse Bunting Defensive Rebound.,55,68
0:25,161,Foul on Mike Schroback.,55,68
0:25,2230,Jesse Bunting missed Free Throw.,55,68
0:25,161,Malik Miller Defensive Rebound.,55,68
0:08,161,Kaleb Bishop Turnover.,55,68
0:06,2230,Joseph Chartouny Steal.,55,68
0:00,2230,End of Game,55,68
