James Madison,147,Montana State,256
11:19,147,Devonte Klines Turnover.,14,15
11:18,256,Shakir Brown Steal.,14,15
11:11,147,Foul on Tyler Hall.,14,15
11:11,256,James Madison  Timeout,14,15
11:11,256,Shakir Brown made Free Throw.,15,15
11:11,256,Shakir Brown made Free Throw.,16,15
10:39,147,Devonte Klines missed Jumper.,16,15
10:39,147,Sam Neumann Offensive Rebound.,16,15
10:28,147,Harald Frey made Three Point Jumper. Assisted by Devonte Klines.,16,18
10:13,256,Shakir Brown Turnover.,16,18
10:11,147,Quinton Everett Steal.,16,18
9:57,147,Quinton Everett missed Jumper.,16,18
9:57,256,Shakir Brown Defensive Rebound.,16,18
9:46,256,Jackson Kent made Three Point Jumper. Assisted by Shakir Brown.,19,18
9:21,147,Harald Frey missed Three Point Jumper.,19,18
9:21,256,Shakir Brown Defensive Rebound.,19,18
9:13,256,Shakir Brown made Three Point Jumper.,22,18
9:09,147,Montana St  Timeout,22,18
8:59,147,Tyler Hall made Jumper.,22,20
8:41,256,Shakir Brown missed Three Point Jumper.,22,20
8:41,147,Montana St Defensive Rebound.,22,20
8:40,256,Foul on Yohanny Dalembert.,22,20
8:40,147,Sam Neumann made Free Throw.,22,21
8:40,147,Sam Neumann made Free Throw.,22,22
8:12,256,Terrence Johnson Turnover.,22,22
8:11,147,Zach Green Steal.,22,22
7:55,256,Foul on Joey McLean.,22,22
7:55,147,Montana St  Timeout,22,22
7:55,147,Tyler Hall made Free Throw.,22,23
7:55,147,Tyler Hall missed Free Throw.,22,23
7:55,256,Yohanny Dalembert Defensive Rebound.,22,23
7:33,256,Yohanny Dalembert missed Layup.,22,23
7:33,147,Sam Neumann Defensive Rebound.,22,23
7:26,147,Quinton Everett made Layup.,22,25
7:01,256,Jackson Kent missed Three Point Jumper.,22,25
7:01,147,Quinton Everett Defensive Rebound.,22,25
6:49,147,Zach Green missed Three Point Jumper.,22,25
6:49,256,Yohanny Dalembert Defensive Rebound.,22,25
6:42,256,Foul on Shakir Brown.,22,25
6:42,256,Shakir Brown Turnover.,22,25
6:16,147,Tyler Hall missed Jumper.,22,25
6:16,256,Shakir Brown Defensive Rebound.,22,25
6:09,256,Shakir Brown missed Layup.,22,25
6:09,147,Sarp Gobeloglu Block.,22,25
6:06,256,Shakir Brown Offensive Rebound.,22,25
6:00,256,Shakir Brown missed Layup.,22,25
6:00,147,Harald Frey Defensive Rebound.,22,25
5:55,147,Sarp Gobeloglu missed Jumper.,22,25
5:55,256,Terrence Johnson Defensive Rebound.,22,25
5:43,147,Foul on Sarp Gobeloglu.,22,25
5:43,256,Ramone Snowden made Free Throw.,23,25
5:43,256,Ramone Snowden made Free Throw.,24,25
5:23,147,Harald Frey missed Jumper.,24,25
5:23,256,Shakir Brown Defensive Rebound.,24,25
5:09,147,Foul on Sarp Gobeloglu.,24,25
5:09,256,Yohanny Dalembert missed Free Throw.,24,25
5:09,256,James Madison Deadball Team Rebound.,24,25
5:09,256,Yohanny Dalembert made Free Throw.,25,25
4:53,147,Joe Mvuezolo Jr. made Jumper.,25,27
4:43,147,Foul on Devonte Klines.,25,27
4:43,256,Jackson Kent made Free Throw.,26,27
4:43,256,Jackson Kent made Free Throw.,27,27
4:29,147,Joe Mvuezolo Jr. missed Jumper.,27,27
4:29,147,Devonte Klines Offensive Rebound.,27,27
4:25,147,Devonte Klines made Layup.,27,29
4:24,256,Foul on Shakir Brown.,27,29
4:24,147,Joe Mvuezolo Jr. missed Free Throw.,27,29
4:24,147,Montana St Deadball Team Rebound.,27,29
4:24,147,Joe Mvuezolo Jr. made Free Throw.,27,30
4:02,256,Dimitrije Cabarkapa missed Layup.,27,30
4:02,147,Benson Osayande Defensive Rebound.,27,30
3:51,147,Zach Green made Jumper.,27,32
3:38,147,Foul on Benson Osayande.,27,32
3:38,256,James Madison  Timeout,27,32
3:38,256,Terrence Johnson made Free Throw.,28,32
3:38,256,Terrence Johnson made Free Throw.,29,32
3:24,147,Harald Frey Turnover.,29,32
3:07,256,Dimitrije Cabarkapa missed Three Point Jumper.,29,32
3:07,147,Zach Green Defensive Rebound.,29,32
2:57,147,Zach Green missed Three Point Jumper.,29,32
2:57,256,Jackson Kent Defensive Rebound.,29,32
2:41,256,Dimitrije Cabarkapa made Layup. Assisted by Paulius Satkus.,31,32
2:18,147,Devonte Klines missed Jumper.,31,32
2:18,256,Terrence Johnson Defensive Rebound.,31,32
2:08,147,Foul on Sam Neumann.,31,32
2:08,256,Dimitrije Cabarkapa missed Free Throw.,31,32
2:08,256,James Madison Deadball Team Rebound.,31,32
2:08,256,Dimitrije Cabarkapa made Free Throw.,32,32
1:54,147,Quinton Everett missed Three Point Jumper.,32,32
1:54,256,Terrence Johnson Defensive Rebound.,32,32
1:31,256,Foul on Dimitrije Cabarkapa.,32,32
1:31,256,Dimitrije Cabarkapa Turnover.,32,32
1:18,147,Sam Neumann missed Three Point Jumper.,32,32
1:18,147,Zach Green Offensive Rebound.,32,32
1:11,256,Foul on Terrence Johnson.,32,32
1:11,147,Tyler Hall made Free Throw.,32,33
1:11,147,Tyler Hall made Free Throw.,32,34
1:11,147,Tyler Hall made Free Throw.,32,35
0:58,256,Terrence Johnson missed Jumper.,32,35
0:58,147,Quinton Everett Defensive Rebound.,32,35
0:53,256,Foul on Terrence Johnson.,32,35
0:53,147,Quinton Everett made Free Throw.,32,36
0:53,147,Quinton Everett missed Free Throw.,32,36
0:53,256,Tom Vodanovich Defensive Rebound.,32,36
0:29,256,Jackson Kent Turnover.,32,36
0:10,147,Tyler Hall made Three Point Jumper. Assisted by Harald Frey.,32,39
0:03,256,Jackson Kent missed Three Point Jumper.,32,39
0:03,147,Zach Green Defensive Rebound.,32,39
0:00,147,End of 1st half,32,39
19:43,147,Foul on Quinton Everett.,32,39
19:36,256,Joey McLean made Three Point Jumper.,35,39
19:10,147,Harald Frey made Jumper.,35,41
19:10,256,Foul on Joey McLean.,35,41
19:10,147,Harald Frey missed Free Throw.,35,41
19:10,256,Yohanny Dalembert Defensive Rebound.,35,41
18:57,256,Ivan Lukic missed Three Point Jumper.,35,41
18:57,147,Montana St Defensive Rebound.,35,41
18:54,256,Foul on Yohanny Dalembert.,35,41
18:46,147,Zach Green missed Jumper.,35,41
18:46,256,Yohanny Dalembert Defensive Rebound.,35,41
18:40,256,Jackson Kent made Layup.,37,41
18:22,147,Tyler Hall missed Layup.,37,41
18:22,256,Yohanny Dalembert Defensive Rebound.,37,41
18:14,256,Foul on Yohanny Dalembert.,37,41
18:14,256,Yohanny Dalembert Turnover.,37,41
18:10,147,Quinton Everett missed Jumper.,37,41
18:10,147,Sam Neumann Offensive Rebound.,37,41
18:06,147,Harald Frey made Three Point Jumper. Assisted by Zach Green.,37,44
17:44,256,Jackson Kent missed Three Point Jumper.,37,44
17:44,147,Quinton Everett Defensive Rebound.,37,44
17:15,147,Zach Green made Jumper.,37,46
17:02,256,Ramone Snowden missed Three Point Jumper.,37,46
17:02,256,Ivan Lukic Offensive Rebound.,37,46
16:57,147,Foul on Tyler Hall.,37,46
16:57,256,Yohanny Dalembert missed Free Throw.,37,46
16:57,256,James Madison Deadball Team Rebound.,37,46
16:57,256,Yohanny Dalembert made Free Throw.,38,46
16:44,256,Foul on Paulius Satkus.,38,46
16:28,147,Harald Frey missed Three Point Jumper.,38,46
16:28,256,James Madison Defensive Rebound.,38,46
16:26,147,Foul on Sam Neumann.,38,46
16:14,256,Shakir Brown made Three Point Jumper. Assisted by Jackson Kent.,41,46
15:55,147,Tyler Hall made Jumper.,41,48
15:39,256,Tom Vodanovich missed Layup.,41,48
15:39,147,Devin Kirby Defensive Rebound.,41,48
15:29,147,Harald Frey missed Three Point Jumper.,41,48
15:29,256,Jackson Kent Defensive Rebound.,41,48
15:28,147,Foul on Quinton Everett.,41,48
15:28,256,James Madison  Timeout,41,48
15:14,256,Jackson Kent missed Three Point Jumper.,41,48
15:14,256,Paulius Satkus Offensive Rebound.,41,48
15:10,256,Paulius Satkus made Layup.,43,48
15:10,147,Foul on Devin Kirby.,43,48
15:10,256,Paulius Satkus made Free Throw.,44,48
14:55,147,Tyler Hall made Jumper.,44,50
14:40,256,Tom Vodanovich made Layup. Assisted by Paulius Satkus.,46,50
14:27,147,Joe Mvuezolo Jr. made Jumper.,46,52
14:11,256,Shakir Brown made Layup.,48,52
13:45,147,Tyler Hall missed Three Point Jumper.,48,52
13:45,256,Paulius Satkus Defensive Rebound.,48,52
13:32,256,Joey McLean made Three Point Jumper. Assisted by Tom Vodanovich.,51,52
13:30,147,Montana St  Timeout,51,52
13:18,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Tyler Hall.,51,55
13:17,256,Foul on Joey McLean.,51,55
13:13,147,Joe Mvuezolo Jr. made Jumper. Assisted by Tyler Hall.,51,57
12:53,256,Jackson Kent missed Layup.,51,57
12:53,147,Tyler Hall Defensive Rebound.,51,57
12:42,147,Sarp Gobeloglu missed Three Point Jumper.,51,57
12:42,147,Quinton Everett Offensive Rebound.,51,57
12:39,256,Foul on Tom Vodanovich.,51,57
12:21,147,Joe Mvuezolo Jr. Turnover.,51,57
12:11,147,Foul on Benson Osayande.,51,57
12:02,256,Shakir Brown missed Three Point Jumper.,51,57
12:02,256,Paulius Satkus Offensive Rebound.,51,57
11:40,256,Jackson Kent missed Three Point Jumper.,51,57
11:40,147,Sarp Gobeloglu Defensive Rebound.,51,57
11:13,147,Sarp Gobeloglu made Three Point Jumper. Assisted by Harald Frey.,51,60
11:13,256,Foul on Paulius Satkus.,51,60
11:13,147,Montana St  Timeout,51,60
11:13,147,Sam Neumann made Free Throw.,51,61
11:13,147,Sam Neumann made Free Throw.,51,62
10:51,256,Paulius Satkus missed Jumper.,51,62
10:51,256,Paulius Satkus Offensive Rebound.,51,62
10:50,147,Foul on Harald Frey.,51,62
10:50,256,Paulius Satkus made Free Throw.,52,62
10:50,256,Paulius Satkus made Free Throw.,53,62
10:28,147,Sarp Gobeloglu missed Three Point Jumper.,53,62
10:28,147,Sarp Gobeloglu Offensive Rebound.,53,62
10:19,147,Tyler Hall missed Three Point Jumper.,53,62
10:19,256,Paulius Satkus Defensive Rebound.,53,62
10:00,256,Jackson Kent missed Three Point Jumper.,53,62
10:00,147,Harald Frey Defensive Rebound.,53,62
9:52,147,Sam Neumann missed Layup.,53,62
9:52,256,James Madison Defensive Rebound.,53,62
9:34,256,Shakir Brown missed Three Point Jumper.,53,62
9:34,147,Devonte Klines Defensive Rebound.,53,62
9:17,147,Harald Frey Turnover.,53,62
9:15,256,Shakir Brown Steal.,53,62
8:55,147,Foul on Harald Frey.,53,62
8:55,256,Terrence Johnson made Free Throw.,54,62
8:55,256,Terrence Johnson missed Free Throw.,54,62
8:55,147,Sarp Gobeloglu Defensive Rebound.,54,62
8:34,147,Tyler Hall missed Three Point Jumper.,54,62
8:34,256,Jackson Kent Defensive Rebound.,54,62
8:20,147,Foul on Zach Green.,54,62
8:20,256,Terrence Johnson made Free Throw.,55,62
8:20,256,Terrence Johnson made Free Throw.,56,62
7:58,147,Joe Mvuezolo Jr. missed Three Point Jumper.,56,62
7:58,256,Jackson Kent Defensive Rebound.,56,62
7:47,256,Shakir Brown missed Three Point Jumper.,56,62
7:47,147,Tyler Hall Defensive Rebound.,56,62
7:32,147,Sarp Gobeloglu missed Three Point Jumper.,56,62
7:32,147,Joe Mvuezolo Jr. Offensive Rebound.,56,62
7:28,147,Joe Mvuezolo Jr. missed Jumper.,56,62
7:28,256,Jackson Kent Defensive Rebound.,56,62
7:18,256,Foul on Ivan Lukic.,56,62
7:18,256,Ivan Lukic Turnover.,56,62
7:18,147,Montana St  Timeout,56,62
7:01,147,Quinton Everett missed Jumper.,56,62
7:01,256,Shakir Brown Defensive Rebound.,56,62
7:01,256,Foul on Ivan Lukic.,56,62
7:01,147,Foul on Zach Green.,56,62
6:46,147,Foul on Zach Green.,56,62
6:46,256,Tom Vodanovich made Free Throw.,57,62
6:46,256,Tom Vodanovich missed Free Throw.,57,62
6:46,147,Montana St Defensive Rebound.,57,62
6:29,256,Foul on Jackson Kent.,57,62
6:29,147,Tyler Hall made Free Throw.,57,63
6:29,147,Tyler Hall made Free Throw.,57,64
6:10,256,Jackson Kent made Layup. Assisted by Ramone Snowden.,59,64
5:40,147,Tyler Hall made Three Point Jumper.,59,67
5:27,147,Foul on Tyler Hall.,59,67
5:27,256,Terrence Johnson missed Free Throw.,59,67
5:27,256,James Madison Deadball Team Rebound.,59,67
5:27,256,Terrence Johnson missed Free Throw.,59,67
5:27,147,Zach Green Defensive Rebound.,59,67
5:02,256,Foul on Shakir Brown.,59,67
5:02,147,Devonte Klines made Free Throw.,59,68
5:02,147,Devonte Klines made Free Throw.,59,69
4:44,256,Joey McLean missed Three Point Jumper.,59,69
4:44,256,James Madison Offensive Rebound.,59,69
4:26,147,Foul on Zach Green.,59,69
4:26,256,Joey McLean made Free Throw.,60,69
4:26,256,Joey McLean missed Free Throw.,60,69
4:26,147,Zach Green Defensive Rebound.,60,69
4:24,256,Foul on Ramone Snowden.,60,69
4:24,147,Zach Green missed Free Throw.,60,69
4:24,147,Montana St Deadball Team Rebound.,60,69
4:24,147,Zach Green made Free Throw.,60,70
3:59,256,Shakir Brown missed Layup.,60,70
3:59,147,Sam Neumann Defensive Rebound.,60,70
3:54,147,Quinton Everett made Layup. Assisted by Sam Neumann.,60,72
3:40,147,Foul on Harald Frey.,60,72
3:40,256,James Madison  Timeout,60,72
3:40,256,Joey McLean made Free Throw.,61,72
3:40,256,Joey McLean made Free Throw.,62,72
3:34,256,Foul on Terrence Johnson.,62,72
3:34,147,Harald Frey made Free Throw.,62,73
3:34,147,Harald Frey missed Free Throw.,62,73
3:34,256,Ramone Snowden Defensive Rebound.,62,73
3:19,256,Tom Vodanovich made Three Point Jumper. Assisted by Shakir Brown.,65,73
2:38,147,Harald Frey missed Three Point Jumper.,65,73
2:38,256,Ramone Snowden Defensive Rebound.,65,73
2:20,256,Ramone Snowden missed Three Point Jumper.,65,73
2:20,147,Tyler Hall Defensive Rebound.,65,73
1:49,147,Devonte Klines missed Three Point Jumper.,65,73
1:49,256,Ramone Snowden Defensive Rebound.,65,73
1:42,256,Shakir Brown missed Three Point Jumper.,65,73
1:42,147,Devonte Klines Defensive Rebound.,65,73
1:02,147,Harald Frey made Layup. Assisted by Zach Green.,65,75
0:57,256,James Madison  Timeout,65,75
0:48,256,Joey McLean missed Layup.,65,75
0:48,256,James Madison Offensive Rebound.,65,75
0:48,147,Foul on Quinton Everett.,65,75
0:48,256,Ramone Snowden made Free Throw.,66,75
0:48,256,Ramone Snowden made Free Throw.,67,75
0:47,147,Harald Frey Turnover.,67,75
0:42,256,Joey McLean made Three Point Jumper.,70,75
0:39,256,Foul on Shakir Brown.,70,75
0:39,147,Harald Frey missed Free Throw.,70,75
0:39,147,Montana St Deadball Team Rebound.,70,75
0:39,147,Harald Frey made Free Throw.,70,76
0:25,147,Quinton Everett Steal.,70,76
0:25,256,Ramone Snowden Turnover.,70,76
0:22,256,Foul on Terrence Johnson.,70,76
0:22,256,James Madison  Timeout,70,76
0:22,147,Quinton Everett made Free Throw.,70,77
0:22,147,Quinton Everett made Free Throw.,70,78
0:16,256,Joey McLean missed Three Point Jumper.,70,78
0:16,147,Devonte Klines Defensive Rebound.,70,78
0:10,256,Foul on Jackson Kent.,70,78
0:10,147,Quinton Everett made Free Throw.,70,79
0:10,147,Quinton Everett made Free Throw.,70,80
0:04,256,Shakir Brown made Three Point Jumper.,73,80
0:00,147,End of Game,73,80
