UT Arlington,315,Niagara,250
10:25,250,Erick Neal Steal.,18,22
10:11,250,Kevin Hervey missed Layup.,18,22
10:11,250,Link Kabadyundi Offensive Rebound.,18,22
10:10,315,Foul on Kevin Larkin.,18,22
10:10,250,Link Kabadyundi made Free Throw.,19,22
10:10,250,Link Kabadyundi missed Free Throw.,19,22
10:10,315,Kevin Larkin Defensive Rebound.,19,22
9:48,315,Matt Scott made Three Point Jumper. Assisted by Kevin Larkin.,19,25
9:39,250,Kaelon Wilson missed Layup.,19,25
9:39,250,Link Kabadyundi Offensive Rebound.,19,25
9:35,250,Link Kabadyundi made Layup.,21,25
9:21,315,Marvin Prochet missed Three Point Jumper.,21,25
9:21,250,Link Kabadyundi Defensive Rebound.,21,25
9:12,315,Foul on Kevin Larkin.,21,25
8:58,250,Kaelon Wilson made Jumper.,23,25
8:27,315,Kierell Green missed Three Point Jumper.,23,25
8:27,250,Link Kabadyundi Defensive Rebound.,23,25
8:23,250,Kevin Hervey made Layup. Assisted by Erick Neal.,25,25
8:21,315,Foul on Kierell Green.,25,25
8:21,250,Kevin Hervey made Free Throw.,26,25
8:20,250,Foul on Erick Neal.,26,25
8:02,315,Keleaf Tate missed Layup.,26,25
8:02,250,Mairega Clarke Block.,26,25
8:02,315,Niagara Offensive Rebound.,26,25
7:57,315,Kahlil Dukes made Jumper. Assisted by James Towns.,26,27
7:36,250,Mairega Clarke Turnover.,26,27
7:34,315,Kierell Green Steal.,26,27
7:30,315,Keleaf Tate Turnover.,26,27
7:28,250,DJ Bryant Steal.,26,27
7:22,250,Mairega Clarke Turnover.,26,27
7:21,315,Greg King Steal.,26,27
7:19,250,Foul on DJ Bryant.,26,27
7:19,315,Official TV Timeout,26,27
7:19,315,James Towns made Free Throw.,26,28
7:19,315,James Towns made Free Throw.,26,29
6:59,250,Kevin Hervey made Layup. Assisted by Erick Neal.,28,29
6:48,315,Kahlil Dukes Turnover.,28,29
6:47,250,Kevin Hervey Steal.,28,29
6:17,250,Erick Neal missed Three Point Jumper.,28,29
6:17,250,Kaelon Wilson Offensive Rebound.,28,29
6:12,250,Kevin Hervey made Three Point Jumper. Assisted by Erick Neal.,31,29
5:59,315,Kierell Green Turnover.,31,29
5:59,315,Foul on Kierell Green.,31,29
5:47,250,Erick Neal Turnover.,31,29
5:36,315,James Towns missed Three Point Jumper.,31,29
5:36,250,Johnny Hamilton Defensive Rebound.,31,29
5:28,250,Erick Neal Turnover.,31,29
5:26,315,Kierell Green Steal.,31,29
5:24,315,Kierell Green made Dunk.,31,31
4:57,250,Erick Neal made Three Point Jumper. Assisted by Davion Turner.,34,31
4:50,315,Kahlil Dukes made Three Point Jumper. Assisted by James Towns.,34,34
4:25,250,Johnny Hamilton made Dunk. Assisted by Erick Neal.,36,34
4:18,315,Keleaf Tate made Three Point Jumper. Assisted by James Towns.,36,37
3:48,250,Kaelon Wilson missed Three Point Jumper.,36,37
3:48,315,Marvin Prochet Defensive Rebound.,36,37
3:41,250,Foul on Kaelon Wilson.,36,37
3:41,315,Official TV Timeout,36,37
3:41,315,James Towns made Free Throw.,36,38
3:41,315,James Towns missed Free Throw.,36,38
3:41,250,Kevin Hervey Defensive Rebound.,36,38
3:24,250,Kevin Hervey made Jumper. Assisted by Erick Neal.,38,38
3:08,315,Marvin Prochet made Three Point Jumper. Assisted by Kahlil Dukes.,38,41
2:47,250,Johnny Hamilton made Layup. Assisted by Erick Neal.,40,41
2:21,315,Keleaf Tate missed Three Point Jumper.,40,41
2:21,250,Kevin Hervey Defensive Rebound.,40,41
2:19,315,Foul on Matt Scott.,40,41
2:19,250,Kevin Hervey made Free Throw.,41,41
2:19,250,Kevin Hervey made Free Throw.,42,41
1:58,315,Keleaf Tate missed Jumper.,42,41
1:58,250,DJ Bryant Defensive Rebound.,42,41
1:35,315,Foul on Greg Kuakumensah.,42,41
1:35,250,Kaelon Wilson made Free Throw.,43,41
1:35,250,Kaelon Wilson made Free Throw.,44,41
1:20,315,Kahlil Dukes made Three Point Jumper. Assisted by Matt Scott.,44,44
0:54,250,Kaelon Wilson made Layup.,46,44
0:43,315,Keleaf Tate Turnover.,46,44
0:37,250,Kevin Hervey missed Three Point Jumper.,46,44
0:37,315,Keleaf Tate Defensive Rebound.,46,44
0:30,315,Marvin Prochet made Three Point Jumper. Assisted by Kahlil Dukes.,46,47
0:06,250,Erick Neal Turnover.,46,47
0:06,250,Foul on Erick Neal.,46,47
0:01,315,Matt Scott made Three Point Jumper.,46,50
0:00,315,End of 1st half,46,50
19:46,250,Erick Neal missed Three Point Jumper.,46,50
19:46,250,Johnny Hamilton Offensive Rebound.,46,50
19:43,250,Johnny Hamilton made Layup.,48,50
19:31,315,Kahlil Dukes made Jumper.,48,52
19:12,250,Kevin Hervey missed Three Point Jumper.,48,52
19:12,315,Matt Scott Defensive Rebound.,48,52
19:06,315,Matt Scott missed Three Point Jumper.,48,52
19:06,250,Kevin Hervey Defensive Rebound.,48,52
18:53,250,Kaelon Wilson missed Layup.,48,52
18:53,250,Johnny Hamilton Offensive Rebound.,48,52
18:48,250,Kaelon Wilson made Layup. Assisted by Erick Neal.,50,52
18:40,250,Foul on Nathan Hawkins.,50,52
18:40,315,Matt Scott made Free Throw.,50,53
18:40,315,Matt Scott made Free Throw.,50,54
18:28,250,Kevin Hervey made Dunk. Assisted by Erick Neal.,52,54
18:10,315,Keleaf Tate missed Three Point Jumper.,52,54
18:10,250,Johnny Hamilton Defensive Rebound.,52,54
17:58,250,Erick Neal Turnover.,52,54
17:57,315,Matt Scott Steal.,52,54
17:41,250,Foul on Nathan Hawkins.,52,54
17:41,315,Matt Scott made Free Throw.,52,55
17:41,315,Matt Scott made Free Throw.,52,56
17:41,315,Matt Scott made Free Throw.,52,57
17:21,250,Erick Neal missed Three Point Jumper.,52,57
17:21,315,Kahlil Dukes Defensive Rebound.,52,57
17:13,315,Matt Scott missed Jumper.,52,57
17:13,315,Dominic Robb Offensive Rebound.,52,57
17:10,315,Dominic Robb made Two Point Tip Shot.,52,59
16:36,315,Foul on Keleaf Tate.,52,59
16:36,250,Kaelon Wilson made Free Throw.,53,59
16:36,250,Kaelon Wilson missed Free Throw.,53,59
16:36,315,Dominic Robb Defensive Rebound.,53,59
16:26,315,Kahlil Dukes missed Layup.,53,59
16:26,250,Johnny Hamilton Block.,53,59
16:24,250,Johnny Hamilton Defensive Rebound.,53,59
16:20,250,Erick Neal made Layup.,55,59
15:53,315,Kahlil Dukes missed Jumper.,55,59
15:53,250,Kevin Hervey Block.,55,59
15:52,250,Kevin Hervey Defensive Rebound.,55,59
15:37,250,Kaelon Wilson missed Three Point Jumper.,55,59
15:37,315,Matt Scott Defensive Rebound.,55,59
15:31,315,Keleaf Tate missed Three Point Jumper.,55,59
15:31,250,Kevin Hervey Defensive Rebound.,55,59
15:19,250,Kaelon Wilson missed Layup.,55,59
15:19,250,Johnny Hamilton Offensive Rebound.,55,59
15:16,250,Johnny Hamilton missed Dunk.,55,59
15:16,315,Keleaf Tate Defensive Rebound.,55,59
15:11,315,Matt Scott missed Three Point Jumper.,55,59
15:11,315,Niagara Deadball Team Rebound.,55,59
15:10,250,Foul on Johnny Hamilton.,55,59
15:10,315,Official TV Timeout,55,59
14:59,315,Kahlil Dukes missed Jumper.,55,59
14:59,315,Matt Scott Offensive Rebound.,55,59
14:57,250,Foul on Link Kabadyundi.,55,59
14:57,315,Matt Scott missed Free Throw.,55,59
14:57,315,Niagara Deadball Team Rebound.,55,59
14:57,315,Matt Scott made Free Throw.,55,60
14:39,315,Foul on Keleaf Tate.,55,60
14:33,315,Foul on Keleaf Tate.,55,60
14:20,250,Erick Neal missed Three Point Jumper.,55,60
14:20,315,Dominic Robb Defensive Rebound.,55,60
14:01,315,Marvin Prochet missed Three Point Jumper.,55,60
14:01,250,Davion Turner Defensive Rebound.,55,60
13:55,250,Mairega Clarke made Layup. Assisted by Erick Neal.,57,60
13:48,250,Foul on Davion Turner.,57,60
13:48,315,James Towns made Free Throw.,57,61
13:48,315,James Towns made Free Throw.,57,62
13:39,250,Erick Neal made Jumper.,59,62
13:25,315,Dominic Robb missed Dunk.,59,62
13:25,250,Kevin Hervey Block.,59,62
13:23,250,Mairega Clarke Defensive Rebound.,59,62
13:18,250,Davion Turner Turnover.,59,62
13:02,315,James Towns missed Three Point Jumper.,59,62
13:02,250,Erick Neal Defensive Rebound.,59,62
12:56,250,Erick Neal missed Layup.,59,62
12:56,250,Link Kabadyundi Offensive Rebound.,59,62
12:48,250,Kevin Hervey missed Three Point Jumper.,59,62
12:48,315,Dominic Robb Defensive Rebound.,59,62
12:42,315,James Towns made Three Point Jumper. Assisted by Kahlil Dukes.,59,65
12:15,250,Erick Neal missed Three Point Jumper.,59,65
12:15,315,Dominic Robb Defensive Rebound.,59,65
12:06,315,Kahlil Dukes missed Three Point Jumper.,59,65
12:06,250,Davion Turner Defensive Rebound.,59,65
11:47,250,Kevin Hervey Turnover.,59,65
11:47,315,Official TV Timeout,59,65
11:40,315,James Towns Turnover.,59,65
11:38,250,Link Kabadyundi Steal.,59,65
11:13,250,Mairega Clarke Turnover.,59,65
11:09,250,Foul on Link Kabadyundi.,59,65
11:09,315,Matt Scott missed Jumper.,59,65
11:09,315,Niagara Offensive Rebound.,59,65
11:02,315,James Towns made Three Point Jumper. Assisted by Matt Scott.,59,68
10:34,250,Mairega Clarke made Three Point Jumper.,62,68
10:09,315,Dominic Robb missed Jumper.,62,68
10:09,250,Link Kabadyundi Defensive Rebound.,62,68
9:59,250,Link Kabadyundi made Jumper.,64,68
9:54,315,Foul on Kierell Green.,64,68
9:54,250,Link Kabadyundi made Free Throw.,65,68
9:36,315,Matt Scott made Jumper.,65,70
9:28,250,Davion Turner Turnover.,65,70
9:24,315,Kierell Green Turnover.,65,70
9:24,315,Foul on Kierell Green.,65,70
8:55,250,UT Arlington  Turnover.,65,70
8:31,315,James Towns missed Three Point Jumper.,65,70
8:31,250,Johnny Hamilton Defensive Rebound.,65,70
8:20,250,Erick Neal made Jumper.,67,70
8:11,315,Kahlil Dukes made Layup.,67,72
7:59,250,Erick Neal missed Three Point Jumper.,67,72
7:59,315,Kahlil Dukes Defensive Rebound.,67,72
7:45,315,Marvin Prochet missed Three Point Jumper.,67,72
7:45,250,Erick Neal Defensive Rebound.,67,72
7:36,315,Official TV Timeout,67,72
7:33,250,Erick Neal made Layup.,69,72
7:21,315,Greg King made Dunk. Assisted by James Towns.,69,74
6:59,315,Foul on James Towns.,69,74
6:59,250,Kevin Hervey made Free Throw.,70,74
6:59,250,Kevin Hervey made Free Throw.,71,74
6:38,315,Matt Scott made Three Point Jumper. Assisted by Kahlil Dukes.,71,77
6:12,250,Kaelon Wilson made Three Point Jumper. Assisted by Nathan Hawkins.,74,77
5:54,315,James Towns made Layup.,74,79
5:25,315,Foul on Greg King.,74,79
5:25,250,Kaelon Wilson missed Free Throw.,74,79
5:25,250,UT Arlington Deadball Team Rebound.,74,79
5:25,250,Kaelon Wilson made Free Throw.,75,79
5:09,315,James Towns Turnover.,75,79
4:54,250,Kaelon Wilson made Three Point Jumper. Assisted by Erick Neal.,78,79
4:49,250,Foul on Kevin Hervey.,78,79
4:49,315,Kahlil Dukes made Free Throw.,78,80
4:49,315,Kahlil Dukes made Free Throw.,78,81
4:30,250,Kevin Hervey made Jumper.,80,81
4:13,315,James Towns missed Layup.,80,81
4:13,250,Johnny Hamilton Block.,80,81
4:11,250,Johnny Hamilton Defensive Rebound.,80,81
4:07,250,Kaelon Wilson made Three Point Jumper.,83,81
4:02,250,UT Arlington  Timeout,83,81
3:40,315,Kahlil Dukes missed Jumper.,83,81
3:40,250,Kevin Hervey Defensive Rebound.,83,81
3:28,250,Johnny Hamilton missed Dunk.,83,81
3:28,250,Kevin Hervey Offensive Rebound.,83,81
3:25,250,Kevin Hervey made Layup.,85,81
3:13,315,Dominic Robb made Jumper.,85,83
2:57,250,Erick Neal made Layup.,87,83
2:38,315,Niagara  Timeout,87,83
2:38,315,Official TV Timeout,87,83
2:36,250,Foul on Kaelon Wilson.,87,83
2:36,315,Kahlil Dukes made Free Throw.,87,84
2:36,315,Kahlil Dukes made Free Throw.,87,85
2:13,250,Erick Neal missed Three Point Jumper.,87,85
2:13,315,Marvin Prochet Defensive Rebound.,87,85
1:55,315,Kahlil Dukes missed Three Point Jumper.,87,85
1:55,250,Johnny Hamilton Defensive Rebound.,87,85
1:29,250,Johnny Hamilton made Dunk. Assisted by Erick Neal.,89,85
1:24,315,Niagara  Timeout,89,85
1:10,315,Kahlil Dukes made Three Point Jumper. Assisted by Marvin Prochet.,89,88
0:47,250,Erick Neal made Jumper.,91,88
0:41,315,Niagara  Timeout,91,88
0:27,250,Foul on Kaelon Wilson.,91,88
0:27,315,Matt Scott made Free Throw.,91,89
0:27,315,Matt Scott made Free Throw.,91,90
0:23,315,Foul on Keleaf Tate.,91,90
0:23,250,Erick Neal made Free Throw.,92,90
0:23,250,Erick Neal made Free Throw.,93,90
0:14,315,Matt Scott missed Three Point Jumper.,93,90
0:14,250,Kevin Hervey Defensive Rebound.,93,90
0:12,315,Foul on Keleaf Tate.,93,90
0:12,250,Kevin Hervey made Free Throw.,94,90
0:12,250,Kevin Hervey made Free Throw.,95,90
0:06,315,Kahlil Dukes missed Three Point Jumper.,95,90
0:06,250,Kevin Hervey Defensive Rebound.,95,90
0:00,315,End of Game,95,90
