BYU,113,Massachusetts,252
12:59,252,Jahshire Hardnett made Layup.,13,10
12:42,113,Chris Baldwin made Layup. Assisted by Unique McLean.,13,12
12:27,252,Elijah Bryant made Jumper. Assisted by Yoeli Childs.,15,12
12:05,113,Carl Pierre made Three Point Jumper. Assisted by C.J. Anderson.,15,15
11:48,252,Zac Seljaas made Jumper. Assisted by Luke Worthington.,17,15
11:29,113,Luwane Pipkins missed Layup.,17,15
11:29,252,Yoeli Childs Defensive Rebound.,17,15
11:12,252,Foul on Jahshire Hardnett.,17,15
11:12,252,Jahshire Hardnett Turnover.,17,15
11:12,113,Official TV Timeout,17,15
10:45,113,Malik Hines made Jumper. Assisted by Carl Pierre.,17,17
10:45,252,Foul on Payton Dastrup.,17,17
10:45,113,Malik Hines made Free Throw.,17,18
10:26,252,Dalton Nixon Turnover.,17,18
10:23,113,Unique McLean Steal.,17,18
10:17,252,Foul on Payton Dastrup.,17,18
10:17,113,Rashaan Holloway made Free Throw.,17,19
10:17,113,Rashaan Holloway missed Free Throw.,17,19
10:17,252,Payton Dastrup Defensive Rebound.,17,19
10:02,252,Payton Dastrup missed Three Point Jumper.,17,19
10:02,113,Malik Hines Defensive Rebound.,17,19
9:38,113,Rashaan Holloway made Dunk. Assisted by C.J. Anderson.,17,21
9:15,252,Zac Seljaas made Three Point Jumper. Assisted by Payton Dastrup.,20,21
8:55,113,Malik Hines Turnover.,20,21
8:51,252,Yoeli Childs Steal.,20,21
8:39,252,Zac Seljaas missed Three Point Jumper.,20,21
8:39,113,Rashaan Holloway Defensive Rebound.,20,21
8:12,113,Rashaan Holloway missed Layup.,20,21
8:12,252,Payton Dastrup Block.,20,21
8:09,113,Rashaan Holloway Offensive Rebound.,20,21
8:07,113,Rashaan Holloway made Layup.,20,23
7:43,252,TJ Haws missed Jumper.,20,23
7:43,113,Malik Hines Defensive Rebound.,20,23
7:32,113,UMass  Timeout,20,23
7:32,113,Official TV Timeout,20,23
7:15,113,C.J. Anderson missed Jumper.,20,23
7:15,113,Chris Baldwin Offensive Rebound.,20,23
7:01,252,Foul on Zac Seljaas.,20,23
7:01,113,Luwane Pipkins made Free Throw.,20,24
7:01,113,Luwane Pipkins missed Free Throw.,20,24
7:01,252,Luke Worthington Defensive Rebound.,20,24
6:45,252,Yoeli Childs missed Jumper.,20,24
6:45,113,Chris Baldwin Defensive Rebound.,20,24
6:38,113,Luwane Pipkins missed Three Point Jumper.,20,24
6:38,252,Elijah Bryant Defensive Rebound.,20,24
6:28,252,Elijah Bryant missed Layup.,20,24
6:28,113,Chris Baldwin Block.,20,24
6:26,113,UMass Defensive Rebound.,20,24
6:05,113,Carl Pierre made Three Point Jumper. Assisted by Rashaan Holloway.,20,27
5:48,252,TJ Haws Turnover.,20,27
5:33,113,Chris Baldwin made Three Point Jumper. Assisted by Luwane Pipkins.,20,30
5:32,252,BYU  Timeout,20,30
5:09,252,Yoeli Childs missed Jumper.,20,30
5:09,113,Rashaan Holloway Block.,20,30
5:09,252,BYU Offensive Rebound.,20,30
5:09,113,Foul on Rashaan Holloway.,20,30
5:09,113,Technical Foul on Rashaan Holloway.,20,30
5:09,252,TJ Haws made Free Throw.,21,30
5:09,252,TJ Haws missed Free Throw.,21,30
5:09,252,BYU Deadball Team Rebound.,21,30
5:09,113,Foul on C.J. Anderson.,21,30
4:59,252,Zac Seljaas missed Three Point Jumper.,21,30
4:59,252,Kajon Brown Offensive Rebound.,21,30
4:50,252,Yoeli Childs missed Jumper.,21,30
4:50,252,Luke Worthington Offensive Rebound.,21,30
4:48,252,BYU  Turnover.,21,30
4:34,113,Chris Baldwin made Three Point Jumper. Assisted by C.J. Anderson.,21,33
4:10,252,Kajon Brown Turnover.,21,33
3:53,113,Chris Baldwin Turnover.,21,33
3:51,252,Yoeli Childs Steal.,21,33
3:47,252,Yoeli Childs missed Jumper.,21,33
3:47,252,Yoeli Childs Offensive Rebound.,21,33
3:42,113,Foul on Luwane Pipkins.,21,33
3:42,113,Official TV Timeout,21,33
3:37,113,Foul on Chris Baldwin.,21,33
3:37,252,Yoeli Childs made Free Throw.,22,33
3:37,252,Yoeli Childs missed Free Throw.,22,33
3:37,113,C.J. Anderson Defensive Rebound.,22,33
3:12,113,Luwane Pipkins Turnover.,22,33
2:50,252,Luke Worthington missed Layup.,22,33
2:50,113,Malik Hines Block.,22,33
2:49,252,BYU Offensive Rebound.,22,33
2:47,252,Luke Worthington made Layup. Assisted by Elijah Bryant.,24,33
2:24,113,Luwane Pipkins made Layup.,24,35
1:51,113,Foul on Malik Hines.,24,35
1:51,252,Luke Worthington made Free Throw.,25,35
1:51,252,Luke Worthington made Free Throw.,26,35
1:24,113,Unique McLean missed Layup.,26,35
1:24,252,Luke Worthington Defensive Rebound.,26,35
1:06,252,TJ Haws Turnover.,26,35
0:46,252,Foul on TJ Haws.,26,35
0:46,113,Luwane Pipkins made Free Throw.,26,36
0:46,113,Luwane Pipkins made Free Throw.,26,37
0:32,252,Rylan Bergersen made Jumper.,28,37
0:04,252,Foul on Luke Worthington.,28,37
0:04,113,Luwane Pipkins missed Free Throw.,28,37
0:04,113,UMass Deadball Team Rebound.,28,37
0:04,113,Luwane Pipkins made Free Throw.,28,38
0:01,252,TJ Haws missed Three Point Jumper.,28,38
0:00,113,UMass Deadball Team Rebound.,28,38
0:00,113,End of 1st half,28,38
19:43,113,Luwane Pipkins missed Layup.,28,38
19:43,252,Jahshire Hardnett Defensive Rebound.,28,38
19:36,252,Jahshire Hardnett missed Layup.,28,38
19:36,252,Luke Worthington Offensive Rebound.,28,38
19:35,113,Foul on Rashaan Holloway.,28,38
19:33,113,Foul on Chris Baldwin.,28,38
19:33,252,Luke Worthington made Free Throw.,29,38
19:33,252,Luke Worthington missed Free Throw.,29,38
19:33,113,C.J. Anderson Defensive Rebound.,29,38
19:17,113,Malik Hines made Layup. Assisted by Rayshawn Miller.,29,40
18:53,252,Luke Worthington made Jumper. Assisted by Yoeli Childs.,31,40
18:24,252,Foul on Elijah Bryant.,31,40
18:22,113,Foul on Malik Hines.,31,40
18:22,113,Malik Hines Turnover.,31,40
18:08,252,Elijah Bryant missed Three Point Jumper.,31,40
18:08,113,C.J. Anderson Defensive Rebound.,31,40
17:58,252,Foul on TJ Haws.,31,40
17:47,113,Luwane Pipkins missed Jumper.,31,40
17:47,252,Yoeli Childs Defensive Rebound.,31,40
17:20,252,Yoeli Childs made Layup. Assisted by TJ Haws.,33,40
17:11,113,Malik Hines made Layup. Assisted by C.J. Anderson.,33,42
16:54,252,Foul on Luke Worthington.,33,42
16:54,252,Luke Worthington Turnover.,33,42
16:39,113,Luwane Pipkins missed Jumper.,33,42
16:39,252,TJ Haws Defensive Rebound.,33,42
16:27,252,Elijah Bryant made Three Point Jumper. Assisted by Jahshire Hardnett.,36,42
16:08,113,Chris Baldwin Turnover.,36,42
15:53,252,TJ Haws missed Three Point Jumper.,36,42
15:53,113,Malik Hines Defensive Rebound.,36,42
15:42,113,C.J. Anderson missed Jumper.,36,42
15:42,252,Yoeli Childs Defensive Rebound.,36,42
15:37,252,Elijah Bryant made Layup. Assisted by Yoeli Childs.,38,42
15:34,113,UMass  Timeout,38,42
15:13,113,C.J. Anderson Turnover.,38,42
15:12,252,Jahshire Hardnett Steal.,38,42
15:07,252,Elijah Bryant missed Three Point Jumper.,38,42
15:07,252,Dalton Nixon Offensive Rebound.,38,42
14:53,113,Foul on Malik Hines.,38,42
14:53,113,Official TV Timeout,38,42
14:53,252,Yoeli Childs made Free Throw.,39,42
14:53,252,Yoeli Childs missed Free Throw.,39,42
14:53,113,C.J. Anderson Defensive Rebound.,39,42
14:34,113,Unique McLean made Layup.,39,44
14:15,252,TJ Haws missed Jumper.,39,44
14:15,252,BYU Offensive Rebound.,39,44
13:55,252,TJ Haws missed Layup.,39,44
13:55,252,TJ Haws Offensive Rebound.,39,44
13:52,252,TJ Haws missed Two Point Tip Shot.,39,44
13:52,113,Khalea Turner-Morris Defensive Rebound.,39,44
13:33,113,Carl Pierre missed Jumper.,39,44
13:33,252,Dalton Nixon Defensive Rebound.,39,44
13:14,113,Foul on Unique McLean.,39,44
13:06,113,Foul on Khalea Turner-Morris.,39,44
13:06,252,Elijah Bryant made Free Throw.,40,44
13:06,252,Elijah Bryant made Free Throw.,41,44
12:53,252,Foul on Jahshire Hardnett.,41,44
12:53,113,Luwane Pipkins made Free Throw.,41,45
12:53,113,Luwane Pipkins made Free Throw.,41,46
12:39,252,Dalton Nixon missed Jumper.,41,46
12:39,252,Elijah Bryant Offensive Rebound.,41,46
12:34,252,Yoeli Childs made Layup. Assisted by Elijah Bryant.,43,46
12:18,113,C.J. Anderson missed Layup.,43,46
12:18,252,Yoeli Childs Block.,43,46
12:18,113,UMass Offensive Rebound.,43,46
12:10,113,C.J. Anderson made Jumper.,43,48
11:52,252,Luke Worthington missed Layup.,43,48
11:52,252,Luke Worthington Offensive Rebound.,43,48
11:49,252,Luke Worthington missed Two Point Tip Shot.,43,48
11:49,252,Luke Worthington Offensive Rebound.,43,48
11:46,252,Luke Worthington missed Layup.,43,48
11:46,113,Rashaan Holloway Block.,43,48
11:45,252,BYU Offensive Rebound.,43,48
11:43,113,Official TV Timeout,43,48
11:31,252,Dalton Nixon missed Three Point Jumper.,43,48
11:31,113,Rashaan Holloway Defensive Rebound.,43,48
11:11,113,Carl Pierre missed Layup.,43,48
11:11,113,Rashaan Holloway Offensive Rebound.,43,48
11:09,113,Rashaan Holloway made Layup.,43,50
11:09,252,Foul on Zac Seljaas.,43,50
11:09,113,Rashaan Holloway made Free Throw.,43,51
10:57,252,Zac Seljaas made Layup. Assisted by Dalton Nixon.,45,51
10:30,113,Carl Pierre missed Three Point Jumper.,45,51
10:30,252,Dalton Nixon Defensive Rebound.,45,51
10:10,252,Dalton Nixon missed Layup.,45,51
10:10,113,Rashaan Holloway Block.,45,51
10:08,113,Rashaan Holloway Defensive Rebound.,45,51
9:59,113,C.J. Anderson Turnover.,45,51
9:58,252,Jahshire Hardnett Steal.,45,51
9:55,113,Foul on Unique McLean.,45,51
9:55,252,Elijah Bryant made Free Throw.,46,51
9:55,252,Elijah Bryant made Free Throw.,47,51
9:44,113,Luwane Pipkins missed Three Point Jumper.,47,51
9:44,252,Yoeli Childs Defensive Rebound.,47,51
9:33,252,Elijah Bryant missed Three Point Jumper.,47,51
9:33,252,Yoeli Childs Offensive Rebound.,47,51
9:19,252,Yoeli Childs missed Layup.,47,51
9:19,113,Chris Baldwin Defensive Rebound.,47,51
9:11,113,Rashaan Holloway Turnover.,47,51
9:10,252,TJ Haws Steal.,47,51
9:04,252,TJ Haws missed Three Point Jumper.,47,51
9:04,113,Rashaan Holloway Defensive Rebound.,47,51
8:45,252,Foul on Zac Seljaas.,47,51
8:45,113,Unique McLean made Free Throw.,47,52
8:45,113,Unique McLean made Free Throw.,47,53
8:34,252,Zac Seljaas missed Three Point Jumper.,47,53
8:34,113,Khalea Turner-Morris Defensive Rebound.,47,53
8:11,113,Luwane Pipkins missed Jumper.,47,53
8:11,113,Unique McLean Offensive Rebound.,47,53
8:07,113,Unique McLean made Dunk.,47,55
7:53,252,Foul on Zac Seljaas.,47,55
7:53,252,Zac Seljaas Turnover.,47,55
7:53,113,Official TV Timeout,47,55
7:31,113,Rashaan Holloway missed Layup.,47,55
7:31,252,Yoeli Childs Block.,47,55
7:29,252,Zac Seljaas Defensive Rebound.,47,55
7:16,252,Jahshire Hardnett made Layup.,49,55
6:54,252,Foul on Zac Seljaas.,49,55
6:54,113,Rashaan Holloway missed Free Throw.,49,55
6:54,113,UMass Deadball Team Rebound.,49,55
6:54,113,Rashaan Holloway made Free Throw.,49,56
6:40,252,Yoeli Childs missed Jumper.,49,56
6:40,113,Chris Baldwin Defensive Rebound.,49,56
6:30,113,Chris Baldwin missed Three Point Jumper.,49,56
6:30,252,Payton Dastrup Defensive Rebound.,49,56
6:14,252,Jahshire Hardnett missed Layup.,49,56
6:14,113,Rashaan Holloway Defensive Rebound.,49,56
5:49,113,Chris Baldwin missed Layup.,49,56
5:49,252,Payton Dastrup Block.,49,56
5:48,113,UMass Offensive Rebound.,49,56
5:41,113,Luwane Pipkins missed Jumper.,49,56
5:41,252,Payton Dastrup Defensive Rebound.,49,56
5:38,252,Jahshire Hardnett made Layup. Assisted by Payton Dastrup.,51,56
5:24,113,C.J. Anderson made Jumper.,51,58
5:06,252,TJ Haws missed Jumper.,51,58
5:06,252,BYU Offensive Rebound.,51,58
4:58,252,Elijah Bryant missed Layup.,51,58
4:58,113,Unique McLean Block.,51,58
4:56,113,Unique McLean Defensive Rebound.,51,58
4:44,113,Carl Pierre made Three Point Jumper. Assisted by C.J. Anderson.,51,61
4:21,252,Jahshire Hardnett made Layup.,53,61
4:01,113,Luwane Pipkins missed Three Point Jumper.,53,61
4:01,252,Yoeli Childs Defensive Rebound.,53,61
3:48,252,Payton Dastrup made Jumper. Assisted by Elijah Bryant.,55,61
3:25,113,Carl Pierre missed Three Point Jumper.,55,61
3:25,252,Jahshire Hardnett Defensive Rebound.,55,61
3:17,252,Jahshire Hardnett Turnover.,55,61
3:16,113,Malik Hines Steal.,55,61
3:12,113,Unique McLean missed Layup.,55,61
3:12,252,Payton Dastrup Defensive Rebound.,55,61
2:57,113,Foul on C.J. Anderson.,55,61
2:57,113,Official TV Timeout,55,61
2:57,252,Yoeli Childs made Free Throw.,56,61
2:57,252,Yoeli Childs made Free Throw.,57,61
2:41,113,C.J. Anderson missed Jumper.,57,61
2:41,252,Yoeli Childs Defensive Rebound.,57,61
2:22,252,Elijah Bryant made Three Point Jumper. Assisted by Yoeli Childs.,60,61
2:03,113,Unique McLean Turnover.,60,61
2:02,252,Payton Dastrup Steal.,60,61
2:01,113,Foul on C.J. Anderson.,60,61
2:01,252,Elijah Bryant made Free Throw.,61,61
2:01,252,Elijah Bryant made Free Throw.,62,61
1:43,113,C.J. Anderson Turnover.,62,61
1:42,252,Rylan Bergersen Steal.,62,61
1:30,252,Rylan Bergersen missed Three Point Jumper.,62,61
1:30,113,C.J. Anderson Defensive Rebound.,62,61
1:14,113,Rashaan Holloway made Layup. Assisted by C.J. Anderson.,62,63
1:07,252,BYU  Timeout,62,63
0:54,252,Yoeli Childs missed Layup.,62,63
0:54,252,Payton Dastrup Offensive Rebound.,62,63
0:51,252,Payton Dastrup made Layup.,64,63
0:43,113,UMass  Timeout,64,63
0:30,113,C.J. Anderson Turnover.,64,63
0:29,252,Elijah Bryant Steal.,64,63
0:21,113,Foul on C.J. Anderson.,64,63
0:21,252,Jahshire Hardnett made Free Throw.,65,63
0:21,252,Jahshire Hardnett made Free Throw.,66,63
0:13,113,Rashaan Holloway made Jumper. Assisted by C.J. Anderson.,66,65
0:13,252,Foul on Payton Dastrup.,66,65
0:13,113,Rashaan Holloway made Free Throw.,66,66
0:13,113,UMass  Timeout,66,66
0:04,252,Yoeli Childs made Dunk. Assisted by Jahshire Hardnett.,68,66
0:01,113,Luwane Pipkins missed Three Point Jumper.,68,66
0:01,113,UMass Deadball Team Rebound.,68,66
0:00,113,End of Game,68,66
