UNC Wilmington,2674,Valparaiso,350
2:39,350,Jordon Talley missed Layup.,32,28
2:39,2674,Jaume Sorolla Block.,32,28
2:37,2674,Bakari Evelyn Defensive Rebound.,32,28
2:30,2674,Bakari Evelyn made Layup.,32,30
2:13,350,Jaylen Fornes missed Layup.,32,30
2:13,2674,Jaume Sorolla Defensive Rebound.,32,30
1:52,2674,Micah Bradford made Layup.,32,32
1:38,350,Devontae Cacok missed Dunk.,32,32
1:38,350,Devontae Cacok Offensive Rebound.,32,32
1:27,350,UNC Wilmington  Timeout,32,32
1:21,350,Marcus Bryan made Layup. Assisted by Jordon Talley.,34,32
0:57,2674,Foul on Jaume Sorolla.,34,32
0:57,2674,Jaume Sorolla Turnover.,34,32
0:48,2674,Foul on Joe Burton.,34,32
0:48,350,Devontae Cacok made Free Throw.,35,32
0:48,350,Devontae Cacok missed Free Throw.,35,32
0:48,2674,Markus Golder Defensive Rebound.,35,32
0:25,2674,Markus Golder missed Layup.,35,32
0:25,2674,Markus Golder Offensive Rebound.,35,32
0:22,2674,Micah Bradford made Three Point Jumper. Assisted by Markus Golder.,35,35
0:02,350,JaQuel Richmond missed Three Point Jumper.,35,35
0:02,2674,Max Joseph Defensive Rebound.,35,35
0:00,2674,End of 1st half,35,35
19:44,2674,Foul on Parker Hazen.,35,35
19:44,350,Devontae Cacok made Free Throw.,36,35
19:44,350,Devontae Cacok made Free Throw.,37,35
19:30,2674,Tevonn Walker made Jumper.,37,37
19:24,350,Ty Taylor II Turnover.,37,37
19:13,2674,Tevonn Walker missed Jumper.,37,37
19:13,350,Devontae Cacok Defensive Rebound.,37,37
19:06,350,Jordon Talley missed Jumper.,37,37
19:06,350,Devontae Cacok Offensive Rebound.,37,37
19:01,350,Devontae Cacok missed Layup.,37,37
19:01,2674,Jaume Sorolla Defensive Rebound.,37,37
18:49,2674,Bakari Evelyn made Jumper.,37,39
18:22,350,Jordon Talley Turnover.,37,39
18:08,2674,Tevonn Walker missed Jumper.,37,39
18:08,2674,Joe Burton Offensive Rebound.,37,39
18:04,350,Foul on Marcus Bryan.,37,39
18:04,2674,Joe Burton made Free Throw.,37,40
18:04,2674,Joe Burton missed Free Throw.,37,40
18:04,350,Marcus Bryan Defensive Rebound.,37,40
17:52,350,Marcus Bryan missed Jumper.,37,40
17:52,350,Devontae Cacok Offensive Rebound.,37,40
17:47,350,Devontae Cacok missed Layup.,37,40
17:47,350,Ty Taylor II Offensive Rebound.,37,40
17:27,350,Jordon Talley missed Jumper.,37,40
17:27,2674,Jaume Sorolla Defensive Rebound.,37,40
17:16,2674,Parker Hazen missed Three Point Jumper.,37,40
17:16,2674,Jaume Sorolla Offensive Rebound.,37,40
17:14,350,Foul on Devontae Cacok.,37,40
16:59,2674,Tevonn Walker missed Layup.,37,40
16:59,2674,Tevonn Walker Offensive Rebound.,37,40
16:57,2674,Tevonn Walker missed Layup.,37,40
16:57,2674,Jaume Sorolla Offensive Rebound.,37,40
16:54,2674,Jaume Sorolla made Two Point Tip Shot.,37,42
16:39,350,Marcus Bryan missed Layup.,37,42
16:39,2674,Valparaiso Defensive Rebound.,37,42
16:27,2674,Bakari Evelyn made Layup.,37,44
16:24,350,UNC Wilmington  Timeout,37,44
16:02,2674,Official TV Timeout,37,44
16:00,2674,Foul on Joe Burton.,37,44
16:00,2674,Official TV Timeout,37,44
16:00,350,Jaylen Fornes made Free Throw.,38,44
16:00,350,Jaylen Fornes made Free Throw.,39,44
15:41,2674,Markus Golder Turnover.,39,44
15:33,350,JaQuel Richmond missed Jumper.,39,44
15:33,2674,Bakari Evelyn Defensive Rebound.,39,44
15:27,350,Foul on Jaylen Fornes.,39,44
15:27,2674,Bakari Evelyn made Free Throw.,39,45
15:27,2674,Bakari Evelyn made Free Throw.,39,46
15:13,350,Devontae Cacok Turnover.,39,46
14:50,2674,Jaume Sorolla made Jumper.,39,48
14:39,350,Devontae Cacok made Layup. Assisted by Jordon Talley.,41,48
14:26,2674,Markus Golder missed Layup.,41,48
14:26,350,Devontae Cacok Defensive Rebound.,41,48
14:21,350,Jordon Talley made Three Point Jumper. Assisted by JaQuel Richmond.,44,48
13:59,350,Foul on JaQuel Richmond.,44,48
13:50,2674,Micah Bradford missed Three Point Jumper.,44,48
13:50,350,Jeffrey Gary Defensive Rebound.,44,48
13:38,350,Ty Taylor II made Jumper.,46,48
13:18,2674,Parker Hazen missed Layup.,46,48
13:18,350,Devontae Cacok Block.,46,48
13:15,2674,Parker Hazen Offensive Rebound.,46,48
13:14,2674,Parker Hazen Turnover.,46,48
13:07,350,JaQuel Richmond made Jumper.,48,48
12:47,350,Foul on Devontae Cacok.,48,48
12:47,2674,Derrik Smits missed Free Throw.,48,48
12:47,2674,Valparaiso Deadball Team Rebound.,48,48
12:47,2674,Derrik Smits made Free Throw.,48,49
12:38,350,Foul on JaQuel Richmond.,48,49
12:38,350,JaQuel Richmond Turnover.,48,49
12:31,2674,Joe Burton Turnover.,48,49
12:14,350,Jay Estime' made Jumper.,50,49
11:54,2674,Derrik Smits missed Jumper.,50,49
11:54,2674,Tevonn Walker Offensive Rebound.,50,49
11:43,2674,Official TV Timeout,50,49
11:41,350,Foul on Jordon Talley.,50,49
11:41,2674,Tevonn Walker missed Free Throw.,50,49
11:41,350,Jay Estime' Defensive Rebound.,50,49
11:34,2674,Foul on Derrik Smits.,50,49
11:30,350,Ty Taylor II missed Jumper.,50,49
11:30,2674,John Kiser Defensive Rebound.,50,49
11:30,350,Foul on Devontae Cacok.,50,49
11:30,2674,John Kiser made Free Throw.,50,50
11:30,2674,John Kiser made Free Throw.,50,51
11:16,2674,Foul on Tevonn Walker.,50,51
11:14,350,Jaylen Fornes missed Three Point Jumper.,50,51
11:14,350,Marcus Bryan Offensive Rebound.,50,51
10:58,2674,Foul on Derrik Smits.,50,51
10:58,350,Jaylen Fornes missed Free Throw.,50,51
10:58,350,UNC Wilmington Deadball Team Rebound.,50,51
10:58,350,Jaylen Fornes missed Free Throw.,50,51
10:58,2674,Joe Burton Defensive Rebound.,50,51
10:45,350,Foul on Marcus Bryan.,50,51
10:45,2674,Bakari Evelyn made Free Throw.,50,52
10:45,2674,Bakari Evelyn made Free Throw.,50,53
10:37,350,Jordon Talley missed Layup.,50,53
10:37,2674,Joe Burton Defensive Rebound.,50,53
10:28,2674,Foul on Joe Burton.,50,53
10:28,2674,Joe Burton Turnover.,50,53
10:11,2674,Foul on Markus Golder.,50,53
10:11,350,Marcus Bryan missed Free Throw.,50,53
10:11,350,UNC Wilmington Deadball Team Rebound.,50,53
10:11,350,Marcus Bryan missed Free Throw.,50,53
10:11,2674,Jaume Sorolla Defensive Rebound.,50,53
9:56,2674,Max Joseph made Layup.,50,55
9:35,350,Jay Estime' missed Three Point Jumper.,50,55
9:35,2674,Jaume Sorolla Defensive Rebound.,50,55
9:18,2674,Markus Golder made Three Point Jumper. Assisted by Bakari Evelyn.,50,58
8:51,2674,Foul on Max Joseph.,50,58
8:51,350,Jordon Talley made Free Throw.,51,58
8:51,350,Jordon Talley made Free Throw.,52,58
8:41,350,Foul on JaQuel Richmond.,52,58
8:41,2674,Bakari Evelyn made Free Throw.,52,59
8:41,2674,Bakari Evelyn made Free Throw.,52,60
8:13,350,Jordon Talley missed Three Point Jumper.,52,60
8:13,2674,Bakari Evelyn Defensive Rebound.,52,60
7:45,2674,Jaume Sorolla missed Jumper.,52,60
7:45,350,Marcus Bryan Defensive Rebound.,52,60
7:26,350,Marcus Bryan made Jumper. Assisted by JaQuel Richmond.,54,60
7:05,2674,Bakari Evelyn Turnover.,54,60
7:02,350,Jay Estime' Steal.,54,60
6:57,350,Nick Powell missed Three Point Jumper.,54,60
6:57,2674,Bakari Evelyn Defensive Rebound.,54,60
6:55,350,Foul on Marcus Bryan.,54,60
6:55,2674,Official TV Timeout,54,60
6:55,2674,Bakari Evelyn made Free Throw.,54,61
6:55,2674,Bakari Evelyn made Free Throw.,54,62
6:36,350,Ty Taylor II made Jumper.,56,62
6:06,2674,Bakari Evelyn missed Jumper.,56,62
6:06,350,Marcus Bryan Defensive Rebound.,56,62
5:50,350,Marcus Bryan missed Jumper.,56,62
5:50,2674,Markus Golder Block.,56,62
5:48,350,Ty Taylor II Offensive Rebound.,56,62
5:41,350,Jay Estime' Turnover.,56,62
5:22,2674,Tevonn Walker made Jumper.,56,64
5:08,350,Jay Estime' made Layup. Assisted by Marcus Bryan.,58,64
4:53,350,Foul on JaQuel Richmond.,58,64
4:53,2674,Bakari Evelyn missed Free Throw.,58,64
4:53,2674,Valparaiso Deadball Team Rebound.,58,64
4:53,2674,Bakari Evelyn made Free Throw.,58,65
4:38,350,Marcus Bryan missed Jumper.,58,65
4:38,2674,Valparaiso Offensive Rebound.,58,65
4:37,2674,Foul on John Kiser.,58,65
4:37,350,Devontae Cacok made Free Throw.,59,65
4:37,350,Devontae Cacok made Free Throw.,60,65
4:14,350,Foul on Jordon Talley.,60,65
4:14,2674,Bakari Evelyn made Free Throw.,60,66
4:14,2674,Bakari Evelyn made Free Throw.,60,67
4:05,2674,Foul on Jaume Sorolla.,60,67
4:05,350,Ty Taylor II made Free Throw.,61,67
4:05,350,Ty Taylor II missed Free Throw.,61,67
4:05,2674,Bakari Evelyn Defensive Rebound.,61,67
3:45,2674,Tevonn Walker missed Three Point Jumper.,61,67
3:45,350,Marcus Bryan Defensive Rebound.,61,67
3:32,350,Jay Estime' made Layup. Assisted by Marcus Bryan.,63,67
3:15,2674,Bakari Evelyn made Jumper.,63,69
3:07,350,Ty Taylor II missed Layup.,63,69
3:07,2674,Tevonn Walker Defensive Rebound.,63,69
3:02,2674,Tevonn Walker Turnover.,63,69
3:02,2674,Official TV Timeout,63,69
2:40,350,Jordon Talley Turnover.,63,69
2:21,350,Foul on Jaylen Fornes.,63,69
2:21,2674,Markus Golder made Free Throw.,63,70
2:21,2674,Markus Golder made Free Throw.,63,71
1:58,350,Jaylen Fornes missed Three Point Jumper.,63,71
1:58,350,Ty Taylor II Offensive Rebound.,63,71
1:49,350,Ty Taylor II missed Three Point Jumper.,63,71
1:49,2674,Valparaiso Defensive Rebound.,63,71
1:49,350,Foul on Devontae Cacok.,63,71
1:49,2674,John Kiser missed Free Throw.,63,71
1:49,2674,Valparaiso Deadball Team Rebound.,63,71
1:49,2674,John Kiser made Free Throw.,63,72
1:40,350,JaQuel Richmond missed Three Point Jumper.,63,72
1:40,350,UNC Wilmington Deadball Team Rebound.,63,72
1:36,350,Jordon Talley missed Three Point Jumper.,63,72
1:36,2674,John Kiser Defensive Rebound.,63,72
1:03,2674,Valparaiso  Turnover.,63,72
0:58,350,Jordon Talley missed Layup.,63,72
0:58,2674,Jaume Sorolla Block.,63,72
0:58,350,UNC Wilmington Offensive Rebound.,63,72
0:54,350,Ty Taylor II missed Jumper.,63,72
0:54,2674,Tevonn Walker Defensive Rebound.,63,72
0:48,350,Foul on Marcus Bryan.,63,72
0:48,2674,Tevonn Walker made Free Throw.,63,73
0:48,2674,Tevonn Walker made Free Throw.,63,74
0:45,350,Ty Taylor II made Three Point Jumper. Assisted by Jordon Talley.,66,74
0:43,350,UNC Wilmington  Timeout,66,74
0:40,2674,John Kiser Turnover.,66,74
0:39,350,Jordon Talley Steal.,66,74
0:33,350,Ty Taylor II missed Three Point Jumper.,66,74
0:33,2674,Tevonn Walker Defensive Rebound.,66,74
0:33,350,Foul on Jay Estime'.,66,74
0:33,2674,Tevonn Walker made Free Throw.,66,75
0:33,2674,Tevonn Walker made Free Throw.,66,76
0:31,350,Jordon Talley missed Three Point Jumper.,66,76
0:31,2674,Tevonn Walker Defensive Rebound.,66,76
0:27,350,Foul on Jay Estime'.,66,76
0:27,2674,Tevonn Walker made Free Throw.,66,77
0:27,2674,Tevonn Walker missed Free Throw.,66,77
0:27,350,Jay Estime' Defensive Rebound.,66,77
0:22,350,Jordon Talley made Layup.,68,77
0:21,350,Foul on Jay Estime'.,68,77
0:21,2674,Tevonn Walker made Free Throw.,68,78
0:21,2674,Tevonn Walker made Free Throw.,68,79
0:11,350,Jordon Talley missed Layup.,68,79
0:11,350,Jordon Talley Offensive Rebound.,68,79
0:07,350,Jordon Talley made Layup.,70,79
0:00,2674,End of Game,70,79
