Vermont,43,Yale,261
7:13,261,Anthony Lamb made Jumper. Assisted by Ernie Duncan.,22,21
6:47,43,Miye Oni made Three Point Jumper. Assisted by Blake Reynolds.,22,24
6:21,261,Ben Shungu Turnover.,22,24
6:21,261,Foul on Ben Shungu.,22,24
6:09,43,Foul on Blake Reynolds.,22,24
6:09,43,Blake Reynolds Turnover.,22,24
5:54,261,Payton Henson missed Three Point Jumper.,22,24
5:54,43,Noah Yates Defensive Rebound.,22,24
5:45,43,Trey Phills Turnover.,22,24
5:45,43,Foul on Trey Phills.,22,24
5:36,261,Ernie Duncan Turnover.,22,24
5:35,43,Blake Reynolds Steal.,22,24
5:31,43,Miye Oni Turnover.,22,24
5:31,43,Foul on Miye Oni.,22,24
5:17,261,Anthony Lamb made Dunk. Assisted by Ernie Duncan.,24,24
5:02,43,Alex Copeland made Layup.,24,26
4:46,261,Ernie Duncan missed Three Point Jumper.,24,26
4:46,43,Azar Swain Defensive Rebound.,24,26
4:37,43,Alex Copeland missed Three Point Jumper.,24,26
4:37,261,Anthony Lamb Defensive Rebound.,24,26
4:08,261,Payton Henson made Three Point Jumper. Assisted by Ernie Duncan.,27,26
3:51,43,Miye Oni made Three Point Jumper. Assisted by Blake Reynolds.,27,29
3:36,261,Anthony Lamb made Layup. Assisted by Trae Bell-Haynes.,29,29
3:17,43,Miye Oni missed Three Point Jumper.,29,29
3:17,261,Anthony Lamb Defensive Rebound.,29,29
2:59,261,Trae Bell-Haynes missed Three Point Jumper.,29,29
2:59,43,Alex Copeland Defensive Rebound.,29,29
2:51,43,Alex Copeland made Layup.,29,31
2:32,261,Anthony Lamb missed Layup.,29,31
2:32,43,Miye Oni Defensive Rebound.,29,31
2:27,43,Azar Swain made Three Point Jumper. Assisted by Miye Oni.,29,34
2:22,43,Official TV Timeout,29,34
2:07,261,Drew Urquhart made Layup. Assisted by Trae Bell-Haynes.,31,34
1:50,43,Wyatt Yess missed Jumper.,31,34
1:50,261,Payton Henson Defensive Rebound.,31,34
1:24,261,Skyler Nash made Three Point Jumper. Assisted by Trae Bell-Haynes.,34,34
0:53,43,Yale  Timeout,34,34
0:51,43,Azar Swain missed Three Point Jumper.,34,34
0:51,261,Skyler Nash Defensive Rebound.,34,34
0:38,261,Ernie Duncan made Three Point Jumper. Assisted by Payton Henson.,37,34
0:13,43,Alex Copeland made Jumper.,37,36
0:03,261,Payton Henson Turnover.,37,36
0:02,43,Miye Oni missed Three Point Jumper.,37,36
0:02,43,Yale Offensive Rebound.,37,36
0:00,43,End of 1st half,37,36
19:40,261,Anthony Lamb made Jumper.,39,36
19:08,43,Paul Atkinson Turnover.,39,36
19:07,261,Trae Bell-Haynes Steal.,39,36
19:02,261,Everett Duncan missed Three Point Jumper.,39,36
19:02,261,Anthony Lamb Offensive Rebound.,39,36
18:57,261,Everett Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,42,36
18:39,43,Miye Oni missed Three Point Jumper.,42,36
18:39,261,Anthony Lamb Defensive Rebound.,42,36
18:27,261,Trae Bell-Haynes missed Layup.,42,36
18:27,261,Anthony Lamb Offensive Rebound.,42,36
18:23,261,Ernie Duncan missed Three Point Jumper.,42,36
18:23,43,Trey Phills Defensive Rebound.,42,36
18:09,43,Trey Phills Turnover.,42,36
17:56,261,Anthony Lamb missed Layup.,42,36
17:56,261,Anthony Lamb Offensive Rebound.,42,36
17:51,261,Anthony Lamb missed Layup.,42,36
17:51,43,Paul Atkinson Defensive Rebound.,42,36
17:33,43,Blake Reynolds Turnover.,42,36
17:32,261,Anthony Lamb Steal.,42,36
17:22,261,Payton Henson missed Three Point Jumper.,42,36
17:22,43,Blake Reynolds Defensive Rebound.,42,36
17:02,43,Alex Copeland made Three Point Jumper. Assisted by Blake Reynolds.,42,39
16:39,261,Trae Bell-Haynes missed Layup.,42,39
16:39,43,Paul Atkinson Defensive Rebound.,42,39
16:26,43,Paul Atkinson missed Jumper.,42,39
16:26,261,Ernie Duncan Defensive Rebound.,42,39
16:12,261,Anthony Lamb missed Layup.,42,39
16:12,43,Miye Oni Block.,42,39
16:11,43,Trey Phills Defensive Rebound.,42,39
16:08,261,Foul on Ernie Duncan.,42,39
16:08,261,Foul on Payton Henson.,42,39
15:58,43,Paul Atkinson made Layup. Assisted by Miye Oni.,42,41
15:49,43,Official TV Timeout,42,41
15:38,261,Payton Henson made Three Point Jumper. Assisted by Trae Bell-Haynes.,45,41
15:20,43,Miye Oni missed Layup.,45,41
15:20,43,Trey Phills Offensive Rebound.,45,41
15:16,43,Trey Phills made Layup.,45,43
15:03,43,Foul on Alex Copeland.,45,43
14:54,43,Foul on Trey Phills.,45,43
14:49,261,Trae Bell-Haynes missed Jumper.,45,43
14:49,43,Azar Swain Defensive Rebound.,45,43
14:41,43,Miye Oni Turnover.,45,43
14:29,261,Everett Duncan missed Three Point Jumper.,45,43
14:29,261,Vermont Offensive Rebound.,45,43
14:27,43,Foul on Blake Reynolds.,45,43
14:21,261,Anthony Lamb made Layup.,47,43
14:02,261,Foul on Payton Henson.,47,43
13:52,261,Foul on Anthony Lamb.,47,43
13:52,43,Alex Copeland made Free Throw.,47,44
13:52,43,Alex Copeland made Free Throw.,47,45
13:37,261,Trae Bell-Haynes Turnover.,47,45
13:35,43,Alex Copeland Steal.,47,45
13:32,43,Miye Oni made Dunk. Assisted by Azar Swain.,47,47
13:25,261,Foul on Trae Bell-Haynes.,47,47
13:25,43,Miye Oni made Free Throw.,47,48
13:18,261,Anthony Lamb made Layup.,49,48
13:05,43,Miye Oni missed Three Point Jumper.,49,48
13:05,261,Cam Ward Defensive Rebound.,49,48
12:54,261,Drew Urquhart made Layup. Assisted by Anthony Lamb.,51,48
12:36,43,Noah Yates missed Three Point Jumper.,51,48
12:36,261,Stef Smith Defensive Rebound.,51,48
12:26,43,Foul on Noah Yates.,51,48
12:26,261,Drew Urquhart made Free Throw.,52,48
12:26,261,Drew Urquhart made Free Throw.,53,48
12:09,43,Miye Oni Turnover.,53,48
11:59,43,Foul on Azar Swain.,53,48
11:59,43,Official TV Timeout,53,48
11:58,261,Cam Ward Turnover.,53,48
11:57,43,Miye Oni Steal.,53,48
11:55,261,Foul on Skyler Nash.,53,48
11:55,43,Miye Oni missed Free Throw.,53,48
11:55,43,Yale Deadball Team Rebound.,53,48
11:55,43,Miye Oni made Free Throw.,53,49
11:39,261,Skyler Nash missed Three Point Jumper.,53,49
11:39,261,Payton Henson Offensive Rebound.,53,49
11:32,261,Payton Henson made Layup.,55,49
11:17,43,Eric Monroe missed Three Point Jumper.,55,49
11:17,43,Yale Offensive Rebound.,55,49
11:09,43,Blake Reynolds made Layup. Assisted by Eric Monroe.,55,51
10:50,261,Cam Ward missed Jumper.,55,51
10:50,43,Wyatt Yess Defensive Rebound.,55,51
10:39,43,Eric Monroe made Three Point Jumper.,55,54
10:25,261,Stef Smith made Jumper. Assisted by Trae Bell-Haynes.,57,54
10:04,43,Blake Reynolds made Layup. Assisted by Wyatt Yess.,57,56
9:44,43,Foul on Noah Yates.,57,56
9:38,261,Payton Henson missed Layup.,57,56
9:38,43,Blake Reynolds Defensive Rebound.,57,56
9:31,43,Azar Swain missed Three Point Jumper.,57,56
9:31,261,Everett Duncan Defensive Rebound.,57,56
9:19,43,Foul on Wyatt Yess.,57,56
9:19,261,Anthony Lamb missed Free Throw.,57,56
9:19,43,Miye Oni Defensive Rebound.,57,56
9:03,43,Miye Oni made Three Point Jumper. Assisted by Eric Monroe.,57,59
8:46,261,Anthony Lamb made Layup. Assisted by Trae Bell-Haynes.,59,59
8:31,43,Alex Copeland Turnover.,59,59
8:22,43,Foul on Miye Oni.,59,59
8:22,261,Anthony Lamb missed Free Throw.,59,59
8:22,261,Vermont Deadball Team Rebound.,59,59
8:22,261,Anthony Lamb made Free Throw.,60,59
8:00,43,Wyatt Yess Turnover.,60,59
7:58,261,Payton Henson Steal.,60,59
7:37,261,Anthony Lamb made Jumper. Assisted by Trae Bell-Haynes.,62,59
7:14,43,Miye Oni missed Three Point Jumper.,62,59
7:14,261,Ernie Duncan Defensive Rebound.,62,59
7:08,261,Everett Duncan made Layup. Assisted by Ernie Duncan.,64,59
6:56,43,Alex Copeland made Jumper.,64,61
6:36,43,Foul on Wyatt Yess.,64,61
6:36,43,Official TV Timeout,64,61
6:36,261,Anthony Lamb missed Free Throw.,64,61
6:36,43,Miye Oni Defensive Rebound.,64,61
6:19,43,Alex Copeland missed Three Point Jumper.,64,61
6:19,261,Everett Duncan Defensive Rebound.,64,61
6:01,43,Foul on Miye Oni.,64,61
6:01,261,Anthony Lamb missed Free Throw.,64,61
6:01,261,Vermont Deadball Team Rebound.,64,61
6:01,261,Anthony Lamb made Free Throw.,65,61
5:44,43,Paul Atkinson missed Layup.,65,61
5:44,261,Anthony Lamb Block.,65,61
5:42,43,Yale Offensive Rebound.,65,61
5:38,43,Blake Reynolds Turnover.,65,61
5:38,43,Foul on Blake Reynolds.,65,61
5:16,261,Trae Bell-Haynes Turnover.,65,61
5:14,43,Paul Atkinson Steal.,65,61
5:12,261,Foul on Trae Bell-Haynes.,65,61
5:12,43,Trey Phills missed Free Throw.,65,61
5:12,43,Yale Deadball Team Rebound.,65,61
5:12,43,Trey Phills missed Free Throw.,65,61
5:12,261,Everett Duncan Defensive Rebound.,65,61
4:51,261,Payton Henson made Layup. Assisted by Trae Bell-Haynes.,67,61
4:33,43,Miye Oni missed Three Point Jumper.,67,61
4:33,261,Trae Bell-Haynes Defensive Rebound.,67,61
4:20,261,Payton Henson missed Jumper.,67,61
4:20,43,Miye Oni Defensive Rebound.,67,61
4:11,43,Trey Phills made Layup. Assisted by Miye Oni.,67,63
4:09,261,Anthony Lamb missed Layup.,67,63
4:09,261,Payton Henson Offensive Rebound.,67,63
4:09,261,Payton Henson made Layup.,69,63
4:09,43,Alex Copeland Turnover.,69,63
3:32,43,Official TV Timeout,69,63
3:11,261,Anthony Lamb Turnover.,69,63
3:10,43,Blake Reynolds Steal.,69,63
2:54,261,Foul on Everett Duncan.,69,63
2:54,43,Miye Oni made Free Throw.,69,64
2:54,43,Miye Oni made Free Throw.,69,65
2:32,261,Everett Duncan missed Three Point Jumper.,69,65
2:32,261,Trae Bell-Haynes Offensive Rebound.,69,65
2:06,261,Trae Bell-Haynes made Jumper.,71,65
1:55,43,Yale  Timeout,71,65
1:49,43,Blake Reynolds missed Three Point Jumper.,71,65
1:49,261,Trae Bell-Haynes Defensive Rebound.,71,65
1:19,261,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.,74,65
1:08,43,Azar Swain made Three Point Jumper. Assisted by Miye Oni.,74,68
0:54,43,Foul on Eric Monroe.,74,68
0:54,261,Ernie Duncan made Free Throw.,75,68
0:54,261,Ernie Duncan made Free Throw.,76,68
0:54,261,Vermont  Timeout,76,68
0:37,43,Alex Copeland missed Layup.,76,68
0:37,261,Everett Duncan Defensive Rebound.,76,68
0:29,261,Trae Bell-Haynes missed Layup.,76,68
0:29,43,Noah Yates Block.,76,68
0:26,43,Miye Oni Defensive Rebound.,76,68
0:21,43,Alex Copeland made Jumper.,76,70
0:18,261,Vermont  Timeout,76,70
0:17,43,Foul on Alex Copeland.,76,70
0:17,261,Everett Duncan missed Free Throw.,76,70
0:17,261,Vermont Deadball Team Rebound.,76,70
0:17,261,Everett Duncan made Free Throw.,77,70
0:12,43,Blake Reynolds missed Three Point Jumper.,77,70
0:12,261,Anthony Lamb Block.,77,70
0:10,43,Yale Offensive Rebound.,77,70
0:05,43,Miye Oni made Three Point Jumper. Assisted by Alex Copeland.,77,73
0:03,43,Yale  Timeout,77,73
0:03,43,Foul on Noah Yates.,77,73
0:03,261,Ernie Duncan made Free Throw.,78,73
0:03,261,Ernie Duncan made Free Throw.,79,73
0:00,43,Alex Copeland missed Three Point Jumper.,79,73
0:00,261,Vermont Defensive Rebound.,79,73
0:00,43,End of Game,79,73
