Black Hills State,Error,Weber State,2692
15:19,2692,Jerrick Harding made Layup.,7,20
14:58,-1,Patrick Mendes made Layup.,9,20
14:44,2692,Ryan Richardson missed Three Point Jumper.,9,20
14:44,-1,Antonio Capley Defensive Rebound.,9,20
14:28,-1,Dez Stoudamire made Layup.,11,20
14:10,2692,Brekkott Chapman made Jumper.,11,22
13:37,-1,Patrick Mendes missed Three Point Jumper.,11,22
13:37,2692,Ryan Richardson Defensive Rebound.,11,22
13:24,2692,Brekkott Chapman made Three Point Jumper. Assisted by Zach Braxton.,11,25
13:03,-1,Antonio Capley missed Jumper.,11,25
13:03,2692,Brekkott Chapman Defensive Rebound.,11,25
12:55,-1,Foul on Patrick Mendes.,11,25
12:51,2692,Brekkott Chapman made Three Point Jumper. Assisted by Ricky Nelson.,11,28
12:36,-1,Wyatt Krogman Turnover.,11,28
12:33,2692,Brekkott Chapman Steal.,11,28
12:30,2692,Trevon Ary-Turner missed Layup.,11,28
12:30,-1,Fraser Malcolm Defensive Rebound.,11,28
12:22,-1,Makaleb McInnis made Three Point Jumper. Assisted by Wyatt Krogman.,14,28
12:06,2692,Trevon Ary-Turner missed Three Point Jumper.,14,28
12:06,-1,Stefan Desnica Defensive Rebound.,14,28
12:02,2692,Foul on Zach Braxton.,14,28
12:02,2692,Official TV Timeout,14,28
11:47,-1,Fraser Malcolm made Three Point Jumper. Assisted by Wyatt Krogman.,17,28
11:33,-1,Foul on Zach McLemore.,17,28
11:27,2692,Brekkott Chapman made Three Point Jumper. Assisted by Ricky Nelson.,17,31
11:06,-1,Stefan Desnica Turnover.,17,31
11:04,2692,Ricky Nelson Steal.,17,31
11:02,2692,Dusty Baker made Three Point Jumper. Assisted by Ricky Nelson.,17,34
10:34,-1,Makaleb McInnis missed Layup.,17,34
10:34,2692,Brekkott Chapman Defensive Rebound.,17,34
10:17,2692,Brekkott Chapman missed Jumper.,17,34
10:17,-1,Wyatt Krogman Defensive Rebound.,17,34
9:59,-1,Fraser Malcolm missed Three Point Jumper.,17,34
9:59,2692,Brekkott Chapman Defensive Rebound.,17,34
9:48,2692,Dusty Baker made Three Point Jumper. Assisted by Trevon Ary-Turner.,17,37
9:36,2692,Foul on Trevon Ary-Turner.,17,37
9:28,2692,Foul on Ricky Nelson.,17,37
9:22,-1,Dez Stoudamire missed Three Point Jumper.,17,37
9:22,2692,Dusty Baker Defensive Rebound.,17,37
9:15,2692,Dusty Baker missed Three Point Jumper.,17,37
9:15,-1,Patrick Mendes Defensive Rebound.,17,37
8:58,-1,Zach McLemore missed Jumper.,17,37
8:58,2692,Trevon Ary-Turner Defensive Rebound.,17,37
8:45,2692,Trevon Ary-Turner made Three Point Jumper. Assisted by Dusty Baker.,17,40
8:17,2692,Foul on Jordan Dallas.,17,40
8:17,-1,Patrick Mendes made Free Throw.,18,40
8:17,-1,Patrick Mendes made Free Throw.,19,40
7:55,2692,Michal Kozak missed Three Point Jumper.,19,40
7:55,2692,Dusty Baker Offensive Rebound.,19,40
7:46,2692,Official TV Timeout,19,40
7:29,2692,Michal Kozak made Jumper. Assisted by Dusty Baker.,19,42
7:07,-1,Stefan Desnica made Three Point Jumper. Assisted by Connor O'Hearn.,22,42
6:51,2692,Jordan Dallas made Jumper. Assisted by Jerrick Harding.,22,44
6:24,-1,Patrick Mendes made Layup.,24,44
6:07,2692,Foul on Jerrick Harding.,24,44
6:07,2692,Jerrick Harding Turnover.,24,44
5:57,-1,Patrick Mendes missed Three Point Jumper.,24,44
5:57,2692,Jerrick Harding Defensive Rebound.,24,44
5:48,2692,Ryan Richardson missed Three Point Jumper.,24,44
5:48,-1,Makaleb McInnis Defensive Rebound.,24,44
5:38,-1,Connor O'Hearn made Three Point Jumper.,27,44
5:13,2692,Ryan Richardson made Three Point Jumper. Assisted by Trevon Ary-Turner.,27,47
4:47,-1,Foul on Wyatt Krogman.,27,47
4:47,-1,Wyatt Krogman Turnover.,27,47
4:36,2692,Zach Braxton made Layup.,27,49
4:13,-1,Fraser Malcolm missed Jumper.,27,49
4:13,2692,Ryan Richardson Defensive Rebound.,27,49
3:59,2692,Foul on Jerrick Harding.,27,49
3:59,2692,Jerrick Harding Turnover.,27,49
3:59,2692,Official TV Timeout,27,49
3:51,-1,Foul on Stefan Desnica.,27,49
3:51,-1,Stefan Desnica Turnover.,27,49
3:44,2692,Brekkott Chapman missed Three Point Jumper.,27,49
3:44,-1,Fraser Malcolm Defensive Rebound.,27,49
3:19,-1,Dez Stoudamire missed Three Point Jumper.,27,49
3:19,2692,Zach Braxton Defensive Rebound.,27,49
2:55,2692,Zach Braxton made Dunk. Assisted by Trevon Ary-Turner.,27,51
2:44,-1,Wyatt Krogman made Layup.,29,51
2:44,2692,Foul on Zach Braxton.,29,51
2:44,-1,Wyatt Krogman missed Free Throw.,29,51
2:44,2692,Brekkott Chapman Defensive Rebound.,29,51
2:37,2692,Ryan Richardson Turnover.,29,51
2:35,-1,Fraser Malcolm Steal.,29,51
2:31,2692,Foul on Ryan Richardson.,29,51
2:31,-1,Fraser Malcolm made Free Throw.,30,51
2:31,-1,Fraser Malcolm made Free Throw.,31,51
2:16,-1,Foul on Wyatt Krogman.,31,51
2:16,2692,Brekkott Chapman made Free Throw.,31,52
2:16,2692,Brekkott Chapman made Free Throw.,31,53
1:50,-1,Fraser Malcolm made Layup.,33,53
1:36,2692,Brekkott Chapman made Jumper. Assisted by Ricky Nelson.,33,55
1:04,-1,Zach McLemore missed Jumper.,33,55
1:04,2692,Brekkott Chapman Defensive Rebound.,33,55
0:54,2692,Brekkott Chapman missed Jumper.,33,55
0:54,-1,Patrick Mendes Defensive Rebound.,33,55
0:23,-1,Patrick Mendes made Layup.,35,55
0:03,2692,Ricky Nelson made Layup.,35,57
0:03,-1,Foul on Fraser Malcolm.,35,57
0:03,2692,Ricky Nelson made Free Throw.,35,58
0:01,-1,Patrick Mendes missed Three Point Jumper.,35,58
0:01,2692,Weber State Defensive Rebound.,35,58
0:00,2692,End of 1st half,35,58
19:49,2692,Jerrick Harding made Three Point Jumper. Assisted by Zach Braxton.,35,61
19:18,-1,Wyatt Krogman Turnover.,35,61
19:16,2692,Zach Braxton Steal.,35,61
19:12,2692,Ryan Richardson missed Three Point Jumper.,35,61
19:12,-1,Makaleb McInnis Defensive Rebound.,35,61
19:02,-1,Wyatt Krogman Turnover.,35,61
19:01,2692,Brekkott Chapman Steal.,35,61
18:50,2692,Jerrick Harding made Three Point Jumper. Assisted by Michal Kozak.,35,64
18:29,-1,Wyatt Krogman Turnover.,35,64
18:28,2692,Jerrick Harding Steal.,35,64
18:28,-1,Foul on Wyatt Krogman.,35,64
18:18,2692,Jerrick Harding missed Layup.,35,64
18:18,2692,Michal Kozak Offensive Rebound.,35,64
18:14,2692,Michal Kozak made Two Point Tip Shot.,35,66
17:58,-1,Dez Stoudamire missed Jumper.,35,66
17:58,2692,Jerrick Harding Defensive Rebound.,35,66
17:47,2692,Jerrick Harding made Three Point Jumper. Assisted by Michal Kozak.,35,69
17:39,2692,Foul on Brekkott Chapman.,35,69
17:39,-1,Makaleb McInnis made Free Throw.,36,69
17:39,-1,Makaleb McInnis made Free Throw.,37,69
17:23,2692,Michal Kozak made Three Point Jumper. Assisted by Jerrick Harding.,37,72
16:56,-1,Fraser Malcolm missed Three Point Jumper.,37,72
16:56,2692,Jerrick Harding Defensive Rebound.,37,72
16:48,2692,Jerrick Harding made Layup.,37,74
16:48,-1,Foul on Dez Stoudamire.,37,74
16:48,2692,Jerrick Harding made Free Throw.,37,75
16:30,-1,Patrick Mendes missed Layup.,37,75
16:30,2692,Michal Kozak Defensive Rebound.,37,75
16:19,2692,Foul on Ryan Richardson.,37,75
16:19,2692,Ryan Richardson Turnover.,37,75
16:02,2692,Foul on Michal Kozak.,37,75
15:57,-1,Stefan Desnica missed Three Point Jumper.,37,75
15:57,-1,Makaleb McInnis Offensive Rebound.,37,75
15:33,-1,Stefan Desnica missed Three Point Jumper.,37,75
15:33,2692,Ryan Richardson Defensive Rebound.,37,75
15:16,-1,Foul on Antonio Capley.,37,75
15:16,2692,Official TV Timeout,37,75
15:16,2692,Brekkott Chapman made Free Throw.,37,76
15:16,2692,Brekkott Chapman made Free Throw.,37,77
14:53,-1,Jacob Perkins missed Layup.,37,77
14:53,2692,Michal Kozak Defensive Rebound.,37,77
14:48,2692,Brekkott Chapman made Three Point Jumper. Assisted by Jerrick Harding.,37,80
14:32,-1,Foul on Jacob Perkins.,37,80
14:32,-1,Jacob Perkins Turnover.,37,80
14:15,2692,Michal Kozak Turnover.,37,80
14:13,-1,Stefan Desnica Steal.,37,80
14:04,-1,Stefan Desnica missed Three Point Jumper.,37,80
14:04,2692,Zach Braxton Defensive Rebound.,37,80
13:54,2692,Ryan Richardson made Jumper.,37,82
13:32,2692,Foul on Michal Kozak.,37,82
13:32,-1,Patrick Mendes missed Layup.,37,82
13:32,-1,Jacob Perkins Offensive Rebound.,37,82
13:28,2692,Foul on Brekkott Chapman.,37,82
13:28,-1,Fraser Malcolm Turnover.,37,82
13:22,2692,Brekkott Chapman made Three Point Jumper. Assisted by Zach Braxton.,37,85
13:15,-1,Makaleb McInnis missed Three Point Jumper.,37,85
13:15,-1,Black Hills State Offensive Rebound.,37,85
13:07,-1,Dez Stoudamire missed Jumper.,37,85
13:07,2692,Jordan Dallas Defensive Rebound.,37,85
13:00,2692,Ricky Nelson missed Jumper.,37,85
13:00,-1,Makaleb McInnis Defensive Rebound.,37,85
12:24,-1,Fraser Malcolm missed Three Point Jumper.,37,85
12:24,2692,Zach Braxton Defensive Rebound.,37,85
12:21,-1,Foul on Jacob Perkins.,37,85
12:05,2692,Zach Braxton made Layup.,37,87
11:53,-1,Zach McLemore made Jumper.,39,87
11:31,2692,Zach Braxton made Jumper. Assisted by Ricky Nelson.,39,89
11:23,-1,Foul on Stefan Desnica.,39,89
11:23,-1,Stefan Desnica Turnover.,39,89
11:23,2692,Official TV Timeout,39,89
11:10,2692,Jordan Dallas made Layup.,39,91
10:53,-1,Fraser Malcolm made Layup. Assisted by Zach McLemore.,41,91
10:32,2692,Dusty Baker made Three Point Jumper. Assisted by Jordan Dallas.,41,94
10:21,-1,Black Hills State  Timeout,41,94
10:14,-1,Makaleb McInnis Turnover.,41,94
10:01,2692,Brenden Morris Turnover.,41,94
9:58,-1,Makaleb McInnis Steal.,41,94
9:47,2692,Foul on Brenden Morris.,41,94
9:37,-1,Makaleb McInnis missed Jumper.,41,94
9:37,2692,Jordan Dallas Defensive Rebound.,41,94
9:27,2692,Trevon Ary-Turner Turnover.,41,94
9:10,-1,Dez Stoudamire missed Three Point Jumper.,41,94
9:10,2692,Jordan Dallas Defensive Rebound.,41,94
8:50,2692,Trevon Ary-Turner missed Three Point Jumper.,41,94
8:50,-1,Stefan Desnica Defensive Rebound.,41,94
8:21,-1,Dez Stoudamire missed Three Point Jumper.,41,94
8:21,2692,Jordan Dallas Defensive Rebound.,41,94
8:02,2692,Ricky Nelson missed Three Point Jumper.,41,94
8:02,-1,Patrick Mendes Defensive Rebound.,41,94
7:54,-1,Patrick Mendes missed Layup.,41,94
7:54,2692,Brenden Morris Defensive Rebound.,41,94
7:50,-1,Foul on Patrick Mendes.,41,94
7:50,2692,Official TV Timeout,41,94
7:50,2692,Brenden Morris missed Free Throw.,41,94
7:50,-1,Stefan Desnica Defensive Rebound.,41,94
7:42,2692,Foul on Riley Court.,41,94
7:42,-1,Patrick Mendes made Free Throw.,42,94
7:42,-1,Patrick Mendes made Free Throw.,43,94
7:32,2692,Riley Court missed Layup.,43,94
7:32,2692,Riley Court Offensive Rebound.,43,94
7:27,2692,Riley Court made Two Point Tip Shot.,43,96
7:15,-1,Wyatt Krogman missed Three Point Jumper.,43,96
7:15,2692,Trevon Ary-Turner Defensive Rebound.,43,96
6:50,2692,Jordan Dallas Turnover.,43,96
6:27,-1,Stefan Desnica Turnover.,43,96
6:25,2692,Ricky Nelson Steal.,43,96
6:21,2692,Ricky Nelson Turnover.,43,96
6:20,-1,Wyatt Krogman Steal.,43,96
6:16,-1,Fraser Malcolm missed Jumper.,43,96
6:16,2692,Brenden Morris Block.,43,96
6:09,2692,Brenden Morris Defensive Rebound.,43,96
6:00,2692,Trevon Ary-Turner missed Layup.,43,96
6:00,-1,Makaleb McInnis Defensive Rebound.,43,96
5:51,-1,Stefan Desnica made Layup. Assisted by Makaleb McInnis.,45,96
5:30,2692,Trevon Ary-Turner made Three Point Jumper. Assisted by Dusty Baker.,45,99
5:22,2692,Foul on Dusty Baker.,45,99
5:22,-1,Makaleb McInnis made Free Throw.,46,99
5:22,-1,Makaleb McInnis missed Free Throw.,46,99
5:22,2692,Brenden Morris Defensive Rebound.,46,99
5:14,2692,Dusty Baker missed Jumper.,46,99
5:14,-1,Connor O'Hearn Defensive Rebound.,46,99
4:55,2692,Foul on Riley Court.,46,99
4:55,-1,Zach McLemore made Free Throw.,47,99
4:55,-1,Zach McLemore missed Free Throw.,47,99
4:55,2692,Dusty Baker Defensive Rebound.,47,99
4:45,2692,Riley Court missed Jumper.,47,99
4:45,-1,Antonio Capley Defensive Rebound.,47,99
4:29,2692,Foul on Brenden Morris.,47,99
4:29,-1,Fraser Malcolm missed Free Throw.,47,99
4:29,-1,Black Hills State Deadball Team Rebound.,47,99
4:29,-1,Fraser Malcolm made Free Throw.,48,99
4:17,2692,Trevon Ary-Turner made Layup.,48,101
4:03,-1,Connor O'Hearn made Jumper.,50,101
3:53,2692,Weber State  Timeout,50,101
3:43,2692,Jordan Dallas made Jumper.,50,103
3:25,-1,Connor O'Hearn missed Three Point Jumper.,50,103
3:25,-1,Antonio Capley Offensive Rebound.,50,103
3:19,-1,Antonio Capley missed Two Point Tip Shot.,50,103
3:19,2692,Jordan Dallas Block.,50,103
3:15,-1,Makaleb McInnis Offensive Rebound.,50,103
3:04,-1,Zach McLemore missed Three Point Jumper.,50,103
3:04,2692,Jordan Dallas Defensive Rebound.,50,103
2:48,2692,Brenden Morris missed Three Point Jumper.,50,103
2:48,-1,Makaleb McInnis Defensive Rebound.,50,103
2:40,-1,Antonio Capley Turnover.,50,103
2:21,2692,Foul on Jordan Dallas.,50,103
2:21,2692,Jordan Dallas Turnover.,50,103
2:06,-1,Zach McLemore missed Three Point Jumper.,50,103
2:06,2692,Trevon Ary-Turner Defensive Rebound.,50,103
1:52,2692,Jordan Dallas made Jumper. Assisted by Riley Court.,50,105
1:26,-1,Patrick Mendes missed Layup.,50,105
1:26,2692,Trevon Ary-Turner Defensive Rebound.,50,105
1:20,2692,Trevon Ary-Turner Turnover.,50,105
1:18,-1,Patrick Mendes Steal.,50,105
1:16,2692,Foul on Jordan Dallas.,50,105
1:16,-1,Patrick Mendes made Free Throw.,51,105
1:16,-1,Patrick Mendes made Free Throw.,52,105
1:04,2692,Jordan Dallas missed Jumper.,52,105
1:04,-1,Fraser Malcolm Defensive Rebound.,52,105
0:43,-1,Jackson Ehrlin missed Jumper.,52,105
0:43,2692,Riley Court Defensive Rebound.,52,105
0:19,2692,Ricky Nelson missed Jumper.,52,105
0:19,-1,Jackson Ehrlin Defensive Rebound.,52,105
0:00,2692,End of Game,52,105
