South Carolina Upstate,2000,Abilene Christian,2908
11:28,2000,Payten Ricks Defensive Rebound.,61,49
11:18,2000,Jalone Friday missed Three Point Jumper.,61,49
11:18,2000,Hayden Farquhar Offensive Rebound.,61,49
11:13,2000,Hayden Farquhar missed Jumper.,61,49
11:13,2908,Deion Holmes Defensive Rebound.,61,49
11:11,2000,Foul on Hayden Farquhar.,61,49
10:48,2908,Malik Moore Turnover.,61,49
10:45,2000,Hayden Farquhar Steal.,61,49
10:43,2000,Jalone Friday Turnover.,61,49
10:43,2000,Foul on Jalone Friday.,61,49
10:36,2908,Jure Span made Three Point Jumper. Assisted by Deion Holmes.,64,49
10:24,2000,Hayden Farquhar made Three Point Jumper. Assisted by Drake Green.,64,52
10:05,2908,Ramel Thompkins missed Three Point Jumper.,64,52
10:05,2908,Malik Moore Offensive Rebound.,64,52
9:50,2908,Deion Holmes made Three Point Jumper. Assisted by Jure Span.,67,52
9:28,2000,Jaren Lewis missed Jumper.,67,52
9:28,2908,Malik Moore Defensive Rebound.,67,52
9:05,2908,Deion Holmes made Three Point Jumper. Assisted by Malik Moore.,70,52
8:42,2000,B.J. Maxwell Turnover.,70,52
8:41,2908,Mike Cunningham Steal.,70,52
8:21,2908,Isaiah Anderson made Layup. Assisted by Jure Span.,72,52
8:21,2000,Foul on Jaren Lewis.,72,52
8:21,2908,Isaiah Anderson made Free Throw.,73,52
8:05,2000,Drake Green made Three Point Jumper. Assisted by Jaren Lewis.,73,55
8:03,2000,Abilene Christian  Timeout,73,55
8:03,2000,Official TV Timeout,73,55
7:35,2908,Mike Cunningham missed Three Point Jumper.,73,55
7:35,2000,Drake Green Defensive Rebound.,73,55
7:23,2000,Hayden Howell Turnover.,73,55
7:22,2908,Jure Span Steal.,73,55
7:20,2908,Deion Holmes made Dunk. Assisted by Jure Span.,75,55
7:01,2000,B.J. Maxwell made Jumper. Assisted by Jaren Lewis.,75,57
6:42,2908,Deion Holmes Turnover.,75,57
6:16,2908,Foul on Isaiah Anderson.,75,57
6:16,2000,Jalone Friday made Free Throw.,75,58
6:16,2000,Jalone Friday missed Free Throw.,75,58
6:16,2908,Mike Cunningham Defensive Rebound.,75,58
6:05,2908,Deion Holmes missed Three Point Jumper.,75,58
6:05,2000,Tevin Foster Defensive Rebound.,75,58
5:57,2000,Tevin Foster missed Layup.,75,58
5:57,2000,Jaylen Franklin Offensive Rebound.,75,58
5:49,2000,Jaren Lewis made Layup.,75,60
5:21,2908,Mike Cunningham missed Jumper.,75,60
5:21,2000,Abilene Christian Defensive Rebound.,75,60
4:59,2000,Jalone Friday missed Jumper.,75,60
4:59,2000,Jaylen Franklin Offensive Rebound.,75,60
4:52,2000,Tevin Foster missed Layup.,75,60
4:52,2908,Jure Span Defensive Rebound.,75,60
4:32,2908,Jure Span Turnover.,75,60
4:31,2000,Jaren Lewis Steal.,75,60
4:28,2908,Foul on Malik Moore.,75,60
4:28,2000,Isaiah Tripp made Free Throw.,75,61
4:28,2000,Isaiah Tripp made Free Throw.,75,62
3:58,2908,Jure Span made Jumper.,77,62
3:48,2000,Jalone Friday made Three Point Jumper.,77,65
3:47,2000,Official TV Timeout,77,65
3:26,2000,Foul on Jaren Lewis.,77,65
3:26,2908,Malik Moore made Free Throw.,78,65
3:26,2908,Malik Moore made Free Throw.,79,65
3:15,2000,Isaiah Tripp missed Three Point Jumper.,79,65
3:15,2908,Malik Moore Defensive Rebound.,79,65
3:06,2908,Jure Span Turnover.,79,65
2:55,2000,Jalone Friday missed Jumper.,79,65
2:55,2908,Malik Moore Defensive Rebound.,79,65
2:34,2908,Mike Cunningham Turnover.,79,65
2:30,2000,Tevin Foster Steal.,79,65
2:28,2000,Jaylen Franklin made Dunk.,79,67
2:17,2908,Deion Holmes Turnover.,79,67
2:17,2908,South Carolina Upstate  Timeout,79,67
2:09,2908,Foul on Ramel Thompkins.,79,67
2:09,2000,Jalone Friday made Free Throw.,79,68
2:09,2000,Jalone Friday made Free Throw.,79,69
1:39,2908,Mike Cunningham Turnover.,79,69
1:38,2000,Tevin Foster Steal.,79,69
1:35,2000,Tevin Foster missed Layup.,79,69
1:35,2908,Deion Holmes Block.,79,69
1:33,2000,Jaylen Franklin Offensive Rebound.,79,69
1:33,2000,Jaylen Franklin made Layup.,79,71
1:08,2908,Deion Holmes missed Jumper.,79,71
1:08,2000,Jaren Lewis Defensive Rebound.,79,71
0:55,2000,Tevin Foster missed Three Point Jumper.,79,71
0:55,2908,Jure Span Defensive Rebound.,79,71
0:38,2908,Malik Moore made Three Point Jumper. Assisted by Jure Span.,82,71
0:31,2000,Jalone Friday missed Three Point Jumper.,82,71
0:31,2000,Jaren Lewis Offensive Rebound.,82,71
0:28,2908,Foul on Ramel Thompkins.,82,71
0:28,2000,Jaren Lewis made Free Throw.,82,72
0:28,2000,Jaren Lewis made Free Throw.,82,73
0:27,2000,Foul on Tevin Foster.,82,73
0:27,2908,Mike Cunningham made Free Throw.,83,73
0:27,2908,Mike Cunningham made Free Throw.,84,73
0:22,2000,Jaylen Franklin made Layup.,84,75
0:20,2000,Foul on Tevin Foster.,84,75
0:20,2908,Mike Cunningham made Free Throw.,85,75
0:20,2908,Mike Cunningham made Free Throw.,86,75
0:15,2000,Jalone Friday missed Three Point Jumper.,86,75
0:15,2908,Deion Holmes Defensive Rebound.,86,75
0:11,2000,Foul on Jaren Lewis.,86,75
0:11,2908,Deion Holmes made Free Throw.,87,75
0:11,2908,Deion Holmes made Free Throw.,88,75
0:06,2000,Tevin Foster made Three Point Jumper.,88,78
0:00,2000,End of Game,88,78
