Bowling Green,2097,Campbell,189
5:26,189,Dylan Frye Block.,59,60
5:24,189,Justin Turner Defensive Rebound.,59,60
5:10,189,Dylan Frye missed Jumper.,59,60
5:10,2097,Campbell Defensive Rebound.,59,60
5:09,189,Foul on Demajeo Wiggins.,59,60
4:46,2097,Mogga Lado missed Layup.,59,60
4:46,189,Demajeo Wiggins Defensive Rebound.,59,60
4:21,189,Rodrick Caldwell made Three Point Jumper. Assisted by Matt Fox.,62,60
4:02,2097,Shane Whitfield missed Jumper.,62,60
4:02,189,Dylan Frye Defensive Rebound.,62,60
3:55,189,Dylan Frye made Three Point Jumper.,65,60
3:45,2097,Campbell  Timeout,65,60
3:45,2097,Official TV Timeout,65,60
3:33,2097,Cory Gensler made Three Point Jumper. Assisted by Andrew Eudy.,65,63
3:14,189,Justin Turner made Three Point Jumper. Assisted by Dylan Frye.,68,63
2:46,2097,Jordan Whitfield Turnover.,68,63
2:35,189,Demajeo Wiggins made Layup. Assisted by Rodrick Caldwell.,70,63
2:23,189,Foul on Matt Fox.,70,63
2:23,2097,Shane Whitfield made Free Throw.,70,64
2:23,2097,Shane Whitfield made Free Throw.,70,65
2:06,189,Dylan Frye made Layup.,72,65
1:59,2097,Marcus Burk missed Jumper.,72,65
1:59,2097,Marcus Burk Offensive Rebound.,72,65
1:54,2097,Marcus Burk made Two Point Tip Shot.,72,67
1:27,189,Matt Fox missed Three Point Jumper.,72,67
1:27,189,Demajeo Wiggins Offensive Rebound.,72,67
1:18,189,Demajeo Wiggins Turnover.,72,67
1:17,2097,Andrew Eudy Steal.,72,67
1:14,2097,Jordan Whitfield missed Three Point Jumper.,72,67
1:14,189,Matt Fox Defensive Rebound.,72,67
1:02,189,Justin Turner missed Layup.,72,67
1:02,2097,Andrew Eudy Block.,72,67
1:02,189,Bowling Green Offensive Rebound.,72,67
0:45,189,Rodrick Caldwell missed Jumper.,72,67
0:45,2097,Shane Whitfield Defensive Rebound.,72,67
0:37,2097,Shane Whitfield Turnover.,72,67
0:36,189,Demajeo Wiggins Steal.,72,67
0:36,2097,Foul on Shane Whitfield.,72,67
0:36,189,Demajeo Wiggins made Free Throw.,73,67
0:36,189,Demajeo Wiggins made Free Throw.,74,67
0:17,2097,Shane Whitfield made Layup.,74,69
0:17,2097,Campbell  Timeout,74,69
0:16,2097,Foul on Jordan Whitfield.,74,69
0:16,189,Rodrick Caldwell made Free Throw.,75,69
0:16,189,Rodrick Caldwell made Free Throw.,76,69
0:10,2097,Cory Gensler missed Three Point Jumper.,76,69
0:10,189,Rodrick Caldwell Defensive Rebound.,76,69
0:06,2097,Foul on Marcus Burk.,76,69
0:06,189,Rodrick Caldwell made Free Throw.,77,69
0:06,189,Rodrick Caldwell made Free Throw.,78,69
0:02,2097,Marcus Burk made Three Point Jumper. Assisted by Jordan Whitfield.,78,72
0:00,2097,End of Game,78,72
