Northern Kentucky,235,Memphis,94
4:26,94,Jalen Tate made Dunk. Assisted by Carson Williams.,35,23
4:15,235,Jeremiah Martin missed Three Point Jumper.,35,23
4:15,94,Jalen Tate Defensive Rebound.,35,23
3:48,94,Drew McDonald made Jumper. Assisted by Lavone Holland II.,37,23
3:39,235,Jimario Rivers Turnover.,37,23
3:39,235,Official TV Timeout,37,23
3:13,94,Drew McDonald missed Jumper.,37,23
3:13,235,David Nickelberry Defensive Rebound.,37,23
2:47,235,Kyvon Davenport made Layup. Assisted by Jimario Rivers.,37,25
2:47,94,Foul on Jalen Tate.,37,25
2:47,235,Kyvon Davenport made Free Throw.,37,26
2:26,94,Lavone Holland II missed Three Point Jumper.,37,26
2:26,235,David Nickelberry Defensive Rebound.,37,26
2:17,235,Kyvon Davenport made Layup. Assisted by Jamal Johnson.,37,28
2:16,94,Foul on Drew McDonald.,37,28
2:16,235,Kyvon Davenport made Free Throw.,37,29
2:09,94,Carson Williams made Layup.,39,29
1:56,235,Jamal Johnson missed Three Point Jumper.,39,29
1:56,235,Jimario Rivers Offensive Rebound.,39,29
1:50,235,Jimario Rivers made Jumper.,39,31
1:31,235,Foul on Jimario Rivers.,39,31
1:31,94,Jeff Garrett missed Free Throw.,39,31
1:31,94,Northern Kentucky Deadball Team Rebound.,39,31
1:31,94,Jeff Garrett made Free Throw.,40,31
1:08,235,Jeremiah Martin missed Three Point Jumper.,40,31
1:08,235,David Nickelberry Offensive Rebound.,40,31
1:08,235,David Nickelberry missed Two Point Tip Shot.,40,31
1:08,94,Jeff Garrett Defensive Rebound.,40,31
0:44,94,Jordan Garnett missed Jumper.,40,31
0:44,94,Northern Kentucky Offensive Rebound.,40,31
0:37,94,Lavone Holland II missed Three Point Jumper.,40,31
0:37,94,Carson Williams Offensive Rebound.,40,31
0:09,94,Lavone Holland II missed Jumper.,40,31
0:09,94,Northern Kentucky Offensive Rebound.,40,31
0:02,94,Carson Williams missed Jumper.,40,31
0:02,235,Jamal Johnson Block.,40,31
0:02,235,David Nickelberry Defensive Rebound.,40,31
0:00,235,End of 1st half,40,31
19:52,235,Kareem Brewton Jr. missed Three Point Jumper.,40,31
19:52,235,Mike Parks Jr. Offensive Rebound.,40,31
19:47,235,Mike Parks Jr. made Layup.,40,33
19:27,94,Foul on Jalen Tate.,40,33
19:27,94,Jalen Tate Turnover.,40,33
19:16,235,Kyvon Davenport made Jumper.,40,35
18:55,94,Drew McDonald made Layup.,42,35
18:34,235,Kareem Brewton Jr. Turnover.,42,35
18:15,235,Foul on Kyvon Davenport.,42,35
18:15,94,Carson Williams missed Free Throw.,42,35
18:15,94,Northern Kentucky Deadball Team Rebound.,42,35
18:15,94,Carson Williams missed Free Throw.,42,35
18:15,235,Kyvon Davenport Defensive Rebound.,42,35
17:59,94,Foul on Mason Faulkner.,42,35
17:40,235,Jeremiah Martin made Jumper.,42,37
17:34,94,Jordan Garnett made Layup. Assisted by Lavone Holland II.,44,37
17:22,235,Kyvon Davenport missed Three Point Jumper.,44,37
17:22,235,Jimario Rivers Offensive Rebound.,44,37
17:19,235,Jimario Rivers made Layup.,44,39
17:02,94,Mason Faulkner Turnover.,44,39
16:47,235,Kareem Brewton Jr. made Jumper. Assisted by Victor Enoh.,44,41
16:16,94,Jordan Garnett missed Three Point Jumper.,44,41
16:16,94,Drew McDonald Offensive Rebound.,44,41
16:07,94,Mason Faulkner made Three Point Jumper. Assisted by Lavone Holland II.,47,41
15:50,235,Kareem Brewton Jr. Turnover.,47,41
15:48,94,Mason Faulkner Steal.,47,41
15:46,94,Dantez Walton missed Three Point Jumper.,47,41
15:46,235,Victor Enoh Defensive Rebound.,47,41
15:27,94,Foul on Mason Faulkner.,47,41
15:27,235,Official TV Timeout,47,41
15:07,94,Foul on Dantez Walton.,47,41
15:06,235,Jamal Johnson Turnover.,47,41
15:05,94,Mason Faulkner Steal.,47,41
14:51,94,Lavone Holland II made Jumper.,49,41
14:24,235,Malik Rhodes missed Three Point Jumper.,49,41
14:24,94,Northern Kentucky Defensive Rebound.,49,41
14:02,235,Foul on Malik Rhodes.,49,41
14:02,94,Lavone Holland II missed Free Throw.,49,41
14:02,94,Northern Kentucky Deadball Team Rebound.,49,41
14:02,94,Lavone Holland II made Free Throw.,50,41
14:01,235,Kyvon Davenport Turnover.,50,41
14:00,94,Dantez Walton Steal.,50,41
13:58,94,Dantez Walton missed Three Point Jumper.,50,41
13:58,94,Drew McDonald Offensive Rebound.,50,41
13:54,94,Lavone Holland II missed Three Point Jumper.,50,41
13:54,235,Kyvon Davenport Defensive Rebound.,50,41
13:22,235,Jamal Johnson made Jumper.,50,43
13:22,94,Foul on Dantez Walton.,50,43
13:22,235,Jamal Johnson made Free Throw.,50,44
12:55,94,Lavone Holland II made Three Point Jumper. Assisted by Jordan Garnett.,53,44
12:45,235,Jimario Rivers Turnover.,53,44
12:44,94,Lavone Holland II Steal.,53,44
12:38,94,Lavone Holland II missed Three Point Jumper.,53,44
12:38,235,Jimario Rivers Defensive Rebound.,53,44
12:35,94,Foul on Jordan Garnett.,53,44
12:33,235,Jeremiah Martin missed Layup.,53,44
12:33,235,Jamal Johnson Offensive Rebound.,53,44
12:30,235,Jamal Johnson missed Two Point Tip Shot.,53,44
12:30,235,Memphis Offensive Rebound.,53,44
12:18,235,David Nickelberry made Jumper.,53,46
12:18,94,Foul on Jordan Garnett.,53,46
12:18,235,David Nickelberry made Free Throw.,53,47
12:06,94,Jordan Garnett missed Layup.,53,47
12:06,94,Carson Williams Offensive Rebound.,53,47
11:59,94,Mason Faulkner made Three Point Jumper. Assisted by Lavone Holland II.,56,47
11:30,235,Kyvon Davenport made Dunk. Assisted by Jamal Johnson.,56,49
11:16,94,Mason Faulkner missed Three Point Jumper.,56,49
11:16,235,Memphis Defensive Rebound.,56,49
11:14,235,Official TV Timeout,56,49
11:14,235,Official TV Timeout,56,49
11:04,94,Foul on Carson Williams.,56,49
11:04,235,Jimario Rivers made Free Throw.,56,50
11:04,235,Jimario Rivers made Free Throw.,56,51
10:53,235,Foul on Jamal Johnson.,56,51
10:49,94,Jordan Garnett made Layup. Assisted by Drew McDonald.,58,51
10:17,235,Jeremiah Martin missed Jumper.,58,51
10:17,235,Memphis Offensive Rebound.,58,51
10:08,235,Jimario Rivers made Dunk. Assisted by David Nickelberry.,58,53
9:39,94,Jordan Garnett missed Three Point Jumper.,58,53
9:39,235,Memphis Defensive Rebound.,58,53
9:15,235,Jimario Rivers made Layup. Assisted by Jeremiah Martin.,58,55
9:15,94,Foul on Jalen Tate.,58,55
9:15,235,Jimario Rivers made Free Throw.,58,56
9:15,94,Northern Kentucky  Timeout,58,56
9:15,235,Official TV Timeout,58,56
9:03,94,Carson Williams missed Layup.,58,56
9:03,235,Kyvon Davenport Block.,58,56
9:03,235,Jimario Rivers Defensive Rebound.,58,56
8:58,235,David Nickelberry made Three Point Jumper. Assisted by Jeremiah Martin.,58,59
8:31,94,Lavone Holland II missed Three Point Jumper.,58,59
8:31,235,Jeremiah Martin Defensive Rebound.,58,59
8:10,235,David Nickelberry Turnover.,58,59
8:09,94,Lavone Holland II Steal.,58,59
8:05,94,Lavone Holland II made Three Point Jumper. Assisted by Jordan Garnett.,61,59
7:44,235,Kyvon Davenport missed Three Point Jumper.,61,59
7:44,94,Mason Faulkner Defensive Rebound.,61,59
7:23,94,Mason Faulkner Turnover.,61,59
7:23,235,Official TV Timeout,61,59
7:08,235,Kyvon Davenport Turnover.,61,59
7:07,94,Mason Faulkner Steal.,61,59
7:05,94,Mason Faulkner Turnover.,61,59
7:04,235,Jamal Johnson Steal.,61,59
6:55,235,Jeremiah Martin made Layup.,61,61
6:28,94,Lavone Holland II missed Three Point Jumper.,61,61
6:28,235,David Nickelberry Defensive Rebound.,61,61
6:00,235,Jamal Johnson made Three Point Jumper. Assisted by Jeremiah Martin.,61,64
5:30,94,Jordan Garnett missed Three Point Jumper.,61,64
5:30,235,Jamal Johnson Defensive Rebound.,61,64
5:11,235,Kyvon Davenport Turnover.,61,64
4:59,94,Lavone Holland II made Dunk. Assisted by Carson Williams.,63,64
4:25,235,Jamal Johnson made Three Point Jumper. Assisted by Jeremiah Martin.,63,67
4:03,235,Foul on Jimario Rivers.,63,67
4:03,94,Carson Williams made Free Throw.,64,67
4:03,94,Carson Williams made Free Throw.,65,67
3:47,235,Kyvon Davenport made Layup. Assisted by David Nickelberry.,65,69
3:47,94,Foul on Drew McDonald.,65,69
3:47,235,Official TV Timeout,65,69
3:47,235,Kyvon Davenport missed Free Throw.,65,69
3:47,94,Drew McDonald Defensive Rebound.,65,69
3:35,94,Drew McDonald missed Three Point Jumper.,65,69
3:35,235,Jimario Rivers Defensive Rebound.,65,69
3:28,94,Foul on Drew McDonald.,65,69
3:28,235,Jimario Rivers made Free Throw.,65,70
3:28,235,Jimario Rivers made Free Throw.,65,71
3:28,235,Memphis  Timeout,65,71
3:10,94,Lavone Holland II missed Three Point Jumper.,65,71
3:10,235,Jamal Johnson Defensive Rebound.,65,71
2:45,235,David Nickelberry missed Three Point Jumper.,65,71
2:45,94,Drew McDonald Defensive Rebound.,65,71
2:32,235,Foul on Jimario Rivers.,65,71
2:29,235,Foul on Kyvon Davenport.,65,71
2:25,94,Lavone Holland II missed Jumper.,65,71
2:25,235,Jimario Rivers Defensive Rebound.,65,71
2:02,94,Foul on Lavone Holland II.,65,71
2:02,235,Jeremiah Martin made Free Throw.,65,72
2:02,235,Jeremiah Martin made Free Throw.,65,73
1:51,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,68,73
1:48,94,Northern Kentucky  Timeout,68,73
1:28,235,Jeremiah Martin missed Layup.,68,73
1:28,94,Lavone Holland II Defensive Rebound.,68,73
1:22,94,Lavone Holland II missed Layup.,68,73
1:22,235,Jeremiah Martin Defensive Rebound.,68,73
1:14,94,Foul on Jalen Tate.,68,73
1:14,235,Jeremiah Martin missed Free Throw.,68,73
1:14,235,Memphis Deadball Team Rebound.,68,73
1:14,235,Jeremiah Martin made Free Throw.,68,74
1:14,235,Memphis  Timeout,68,74
1:02,235,Foul on Jamal Johnson.,68,74
1:02,94,Mason Faulkner made Free Throw.,69,74
1:02,94,Mason Faulkner missed Free Throw.,69,74
1:02,94,Dantez Walton Offensive Rebound.,69,74
0:55,94,Dantez Walton made Two Point Tip Shot.,71,74
0:31,94,Foul on Dantez Walton.,71,74
0:31,235,Jeremiah Martin made Free Throw.,71,75
0:31,235,Jeremiah Martin missed Free Throw.,71,75
0:31,94,Jordan Garnett Defensive Rebound.,71,75
0:25,94,Jordan Garnett made Three Point Jumper. Assisted by Lavone Holland II.,74,75
0:23,94,Northern Kentucky  Timeout,74,75
0:22,94,Foul on Jordan Garnett.,74,75
0:22,235,Jimario Rivers missed Free Throw.,74,75
0:22,235,Memphis Deadball Team Rebound.,74,75
0:22,235,Jimario Rivers missed Free Throw.,74,75
0:22,94,Drew McDonald Defensive Rebound.,74,75
0:08,94,Lavone Holland II missed Layup.,74,75
0:08,235,David Nickelberry Block.,74,75
0:08,235,Jamal Johnson Defensive Rebound.,74,75
0:06,94,Foul on Jordan Garnett.,74,75
0:06,235,Jamal Johnson missed Free Throw.,74,75
0:06,235,Memphis Deadball Team Rebound.,74,75
0:06,235,Jamal Johnson made Free Throw.,74,76
0:01,94,Lavone Holland II missed Three Point Jumper.,74,76
0:01,94,Northern Kentucky Deadball Team Rebound.,74,76
0:00,235,End of 2nd half,74,76
0:00,235,End of Game,74,76
