Charleston,Error,Alaska Anchorage,232
13:22,232,Evan Bailey missed Layup.,2,4
13:22,1,Maleke Haynes Block.,2,4
13:20,232,Grant Riller Offensive Rebound.,2,4
13:17,232,Grant Riller made Layup.,4,4
13:00,1,Josiah Wood made Three Point Jumper. Assisted by Maleke Haynes.,4,7
12:40,232,Cameron Johnson missed Layup.,4,7
12:40,232,Nick Harris Offensive Rebound.,4,7
12:37,232,Nick Harris made Two Point Tip Shot.,6,7
12:07,1,Brian Pearson missed Jumper.,6,7
12:07,232,Grant Riller Defensive Rebound.,6,7
11:58,232,Cameron Johnson missed Layup.,6,7
11:58,232,Charleston Offensive Rebound.,6,7
11:58,1,Official TV Timeout,6,7
11:35,232,Osinachi Smart made Dunk. Assisted by Cameron Johnson.,8,7
11:10,1,Jacob Lampkin made Layup. Assisted by Jack Macdonald.,8,9
10:55,232,Grant Riller missed Jumper.,8,9
10:55,1,Jack Macdonald Defensive Rebound.,8,9
10:28,1,Drew Peterson missed Three Point Jumper.,8,9
10:28,232,Marquise Pointer Defensive Rebound.,8,9
10:22,232,Evan Bailey missed Layup.,8,9
10:22,1,Dj Ursery Block.,8,9
10:22,232,Charleston Offensive Rebound.,8,9
10:10,232,Marquise Pointer made Jumper. Assisted by Grant Riller.,10,9
9:44,1,Curtis Ryan made Three Point Jumper. Assisted by Jack Macdonald.,10,12
9:18,232,Marquise Pointer missed Jumper.,10,12
9:18,1,Jack Macdonald Defensive Rebound.,10,12
8:49,1,Maleke Haynes missed Three Point Jumper.,10,12
8:49,232,Marquise Pointer Defensive Rebound.,10,12
8:43,1,Foul on Drew Peterson.,10,12
8:43,232,Marquise Pointer made Free Throw.,11,12
8:43,232,Marquise Pointer missed Free Throw.,11,12
8:43,1,Jacob Lampkin Defensive Rebound.,11,12
8:19,1,Jacob Lampkin made Layup. Assisted by Josiah Wood.,11,14
8:04,232,Jaylen McManus missed Three Point Jumper.,11,14
8:04,1,Brennan Rymer Defensive Rebound.,11,14
7:37,1,Curtis Ryan missed Three Point Jumper.,11,14
7:37,232,Nick Harris Defensive Rebound.,11,14
7:21,232,Joe Chealey made Three Point Jumper. Assisted by Grant Riller.,14,14
6:58,1,Jacob Lampkin missed Jumper.,14,14
6:58,1,Curtis Ryan Offensive Rebound.,14,14
6:55,1,Official TV Timeout,14,14
6:42,1,Malik Clements made Layup. Assisted by Brennan Rymer.,14,16
6:24,232,Joe Chealey made Jumper. Assisted by Cameron Johnson.,16,16
6:02,1,Brennan Rymer missed Layup.,16,16
6:02,232,Charleston Deadball Team Rebound.,16,16
6:01,1,Foul on Jacob Lampkin.,16,16
5:48,232,Nick Harris made Dunk. Assisted by Joe Chealey.,18,16
5:19,1,Jacob Lampkin made Jumper. Assisted by Malik Clements.,18,18
5:03,232,Evan Bailey made Three Point Jumper. Assisted by Cameron Johnson.,21,18
4:40,1,Malik Clements missed Three Point Jumper.,21,18
4:40,1,Curtis Ryan Offensive Rebound.,21,18
4:22,1,Drew Peterson made Three Point Jumper. Assisted by Curtis Ryan.,21,21
4:05,1,Foul on Malik Clements.,21,21
3:55,232,Nick Harris made Dunk. Assisted by Joe Chealey.,23,21
3:21,1,Jacob Lampkin missed Three Point Jumper.,23,21
3:21,232,Grant Riller Defensive Rebound.,23,21
3:10,232,Nick Harris made Layup. Assisted by Joe Chealey.,25,21
3:10,1,Foul on Dj Ursery.,25,21
3:10,1,Official TV Timeout,25,21
3:10,232,Nick Harris made Free Throw.,26,21
2:56,1,Foul on Jack Macdonald.,26,21
2:56,1,Jack Macdonald Turnover.,26,21
2:27,232,Joe Chealey missed Three Point Jumper.,26,21
2:27,1,Jacob Lampkin Defensive Rebound.,26,21
2:01,1,Jack Macdonald missed Three Point Jumper.,26,21
2:01,232,Cameron Johnson Block.,26,21
1:53,1,Drew Peterson Offensive Rebound.,26,21
1:52,1,Alaska Anchorage  Timeout,26,21
1:50,1,Alaska Anchorage  Turnover.,26,21
1:17,232,Charleston  Turnover.,26,21
1:04,1,Jacob Lampkin missed Layup.,26,21
1:04,232,Nick Harris Defensive Rebound.,26,21
0:42,232,Cameron Johnson missed Three Point Jumper.,26,21
0:42,232,Evan Bailey Offensive Rebound.,26,21
0:27,232,Joe Chealey missed Jumper.,26,21
0:27,1,Jack Macdonald Defensive Rebound.,26,21
0:05,1,Dj Ursery missed Jumper.,26,21
0:05,232,Cameron Johnson Defensive Rebound.,26,21
0:01,232,Cameron Johnson Turnover.,26,21
0:00,1,End of 1st half,26,21
19:23,232,Joe Chealey missed Jumper.,26,21
19:23,1,Dj Ursery Defensive Rebound.,26,21
18:52,1,Maleke Haynes missed Jumper.,26,21
18:52,232,Charleston Deadball Team Rebound.,26,21
18:45,232,Foul on Jaylen McManus.,26,21
18:45,232,Jaylen McManus Turnover.,26,21
18:24,1,Josiah Wood missed Layup.,26,21
18:24,232,Jaylen McManus Defensive Rebound.,26,21
18:15,232,Joe Chealey missed Three Point Jumper.,26,21
18:15,1,Dj Ursery Defensive Rebound.,26,21
17:43,1,Jacob Lampkin missed Jumper.,26,21
17:43,1,Jacob Lampkin Offensive Rebound.,26,21
17:41,1,Jacob Lampkin made Layup.,26,23
17:31,1,Foul on Josiah Wood.,26,23
17:22,232,Marquise Pointer made Three Point Jumper. Assisted by Jaylen McManus.,29,23
17:03,1,Malik Clements made Jumper. Assisted by Josiah Wood.,29,25
16:38,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,32,25
16:24,1,Jacob Lampkin missed Jumper.,32,25
16:24,232,Jaylen McManus Defensive Rebound.,32,25
15:52,232,Marquise Pointer missed Three Point Jumper.,32,25
15:52,1,Malik Clements Defensive Rebound.,32,25
15:45,1,Jacob Lampkin made Layup. Assisted by Maleke Haynes.,32,27
15:45,1,Official TV Timeout,32,27
15:28,1,Foul on Malik Clements.,32,27
15:08,232,Cameron Johnson missed Three Point Jumper.,32,27
15:08,1,Dj Ursery Defensive Rebound.,32,27
14:38,1,Jacob Lampkin made Layup. Assisted by Maleke Haynes.,32,29
14:17,1,Foul on Maleke Haynes.,32,29
13:51,232,Cameron Johnson missed Three Point Jumper.,32,29
13:51,1,Alaska Anchorage Deadball Team Rebound.,32,29
13:50,232,Foul on Jaylen McManus.,32,29
13:38,232,Foul on Joe Chealey.,32,29
13:27,1,Jacob Lampkin missed Layup.,32,29
13:27,232,Marquise Pointer Defensive Rebound.,32,29
13:24,1,Foul on Josiah Wood.,32,29
13:08,232,Marquise Pointer missed Three Point Jumper.,32,29
13:08,232,Osinachi Smart Offensive Rebound.,32,29
13:03,232,Osinachi Smart missed Layup.,32,29
13:03,1,Jacob Lampkin Block.,32,29
13:02,232,Osinachi Smart Offensive Rebound.,32,29
12:57,232,Joe Chealey missed Jumper.,32,29
12:57,1,Eric Jenkins Defensive Rebound.,32,29
12:38,1,Malik Clements missed Jumper.,32,29
12:38,232,Cameron Johnson Block.,32,29
12:36,1,Malik Clements Offensive Rebound.,32,29
12:36,1,Malik Clements Turnover.,32,29
12:34,232,Cameron Johnson Turnover.,32,29
12:34,1,Eric Jenkins Steal.,32,29
12:34,1,Eric Jenkins made Dunk.,32,31
12:16,232,Joe Chealey missed Layup.,32,31
12:16,232,Joe Chealey Offensive Rebound.,32,31
12:03,232,Joe Chealey missed Layup.,32,31
12:03,1,Jacob Lampkin Defensive Rebound.,32,31
12:01,1,Official TV Timeout,32,31
12:01,1,Alaska Anchorage  Turnover.,32,31
11:50,232,Grant Riller made Layup. Assisted by Joe Chealey.,34,31
11:50,1,Foul on Jacob Lampkin.,34,31
11:50,232,Grant Riller missed Free Throw.,34,31
11:50,232,Joe Chealey Offensive Rebound.,34,31
11:31,232,Nick Harris Turnover.,34,31
11:30,1,Dj Ursery Steal.,34,31
11:16,1,Dj Ursery made Layup. Assisted by Jacob Lampkin.,34,33
10:58,232,Grant Riller made Layup.,36,33
10:37,1,Maleke Haynes Turnover.,36,33
10:37,232,Cameron Johnson Steal.,36,33
10:31,1,Foul on Maleke Haynes.,36,33
10:12,232,Cameron Johnson missed Three Point Jumper.,36,33
10:12,1,Jacob Lampkin Defensive Rebound.,36,33
9:48,1,Jacob Lampkin missed Jumper.,36,33
9:48,232,Joe Chealey Defensive Rebound.,36,33
9:23,232,Grant Riller made Layup. Assisted by Joe Chealey.,38,33
8:45,232,Foul on Nick Harris.,38,33
8:40,1,Josiah Wood Turnover.,38,33
8:38,1,Foul on Maleke Haynes.,38,33
8:38,1,Technical Foul on Kylan Osborne.,38,33
8:38,1,Foul on Kylan Osborne.,38,33
8:38,232,Joe Chealey made Free Throw.,39,33
8:38,232,Joe Chealey made Free Throw.,40,33
8:38,1,Alaska Anchorage  Timeout,40,33
8:38,232,Grant Riller made Free Throw.,41,33
8:38,232,Grant Riller missed Free Throw.,41,33
8:38,1,Jacob Lampkin Defensive Rebound.,41,33
8:22,1,Malik Clements made Layup. Assisted by Maleke Haynes.,41,35
8:03,232,Grant Riller missed Three Point Jumper.,41,35
8:03,1,Maleke Haynes Defensive Rebound.,41,35
7:43,232,Foul on Grant Riller.,41,35
7:43,1,Official TV Timeout,41,35
7:43,1,Jacob Lampkin made Free Throw.,41,36
7:43,1,Jacob Lampkin missed Free Throw.,41,36
7:43,232,Nick Harris Defensive Rebound.,41,36
7:14,232,Joe Chealey made Three Point Jumper. Assisted by Cameron Johnson.,44,36
6:49,1,Josiah Wood made Layup. Assisted by Jacob Lampkin.,44,38
6:20,232,Cameron Johnson made Three Point Jumper. Assisted by Joe Chealey.,47,38
5:44,1,Josiah Wood made Layup. Assisted by Jacob Lampkin.,47,40
5:24,232,Grant Riller missed Three Point Jumper.,47,40
5:24,1,Dj Ursery Defensive Rebound.,47,40
5:14,1,Malik Clements missed Three Point Jumper.,47,40
5:14,232,Marquise Pointer Defensive Rebound.,47,40
5:04,232,Foul on Nick Harris.,47,40
5:04,232,Nick Harris Turnover.,47,40
4:45,1,Dj Ursery missed Jumper.,47,40
4:45,232,Cameron Johnson Defensive Rebound.,47,40
4:24,1,Foul on Brian Pearson.,47,40
4:24,232,Joe Chealey made Free Throw.,48,40
4:24,232,Joe Chealey missed Free Throw.,48,40
4:24,1,Josiah Wood Defensive Rebound.,48,40
4:11,1,Dj Ursery missed Layup.,48,40
4:11,1,Josiah Wood Offensive Rebound.,48,40
4:08,1,Dj Ursery made Layup. Assisted by Josiah Wood.,48,42
3:46,232,Joe Chealey made Layup. Assisted by Marquise Pointer.,50,42
3:14,1,Dj Ursery made Three Point Jumper. Assisted by Josiah Wood.,50,45
2:50,232,Marquise Pointer missed Three Point Jumper.,50,45
2:50,232,Nick Harris Offensive Rebound.,50,45
2:45,232,Joe Chealey missed Three Point Jumper.,50,45
2:45,1,Malik Clements Defensive Rebound.,50,45
2:25,1,Dj Ursery missed Layup.,50,45
2:25,232,Joe Chealey Defensive Rebound.,50,45
2:23,1,Foul on Brian Pearson.,50,45
2:23,1,Official TV Timeout,50,45
2:23,232,Joe Chealey made Free Throw.,51,45
2:23,232,Joe Chealey made Free Throw.,52,45
2:19,1,Official TV Timeout,50,45
1:53,1,Drew Peterson missed Three Point Jumper.,52,45
1:53,1,Jacob Lampkin Offensive Rebound.,52,45
1:34,1,Maleke Haynes Turnover.,52,45
1:33,232,Cameron Johnson Steal.,52,45
1:07,232,Grant Riller missed Three Point Jumper.,52,45
1:07,1,Malik Clements Defensive Rebound.,52,45
1:00,1,Alaska Anchorage  Timeout,52,45
0:52,1,Drew Peterson missed Three Point Jumper.,52,45
0:52,1,Malik Clements Offensive Rebound.,52,45
0:49,232,Foul on Joe Chealey.,52,45
0:49,1,Malik Clements made Free Throw.,52,46
0:49,1,Malik Clements missed Free Throw.,52,46
0:49,232,Grant Riller Defensive Rebound.,52,46
0:37,1,Foul on Maleke Haynes.,52,46
0:37,232,Cameron Johnson made Free Throw.,53,46
0:37,232,Cameron Johnson made Free Throw.,54,46
0:21,1,Malik Clements missed Three Point Jumper.,54,46
0:21,232,Nick Harris Defensive Rebound.,54,46
0:16,1,Foul on Josiah Wood.,54,46
0:16,232,Nick Harris missed Free Throw.,54,46
0:16,232,Charleston Deadball Team Rebound.,54,46
0:16,232,Nick Harris made Free Throw.,55,46
0:10,1,Maleke Haynes Turnover.,55,46
0:09,232,Nick Harris Steal.,55,46
0:00,1,End of Game,55,46
