Florida College,Error,Bethune-Cookman,2065
14:49,2065,Bethune-Cookman Offensive Rebound.,10,20
14:46,2065,Brandon Tabb made Three Point Jumper. Assisted by Malik Maitland.,10,23
14:25,-1,Kent Hegarty missed Jumper.,10,23
14:25,2065,Shawntrez Davis Defensive Rebound.,10,23
14:17,2065,Armani Collins missed Three Point Jumper.,10,23
14:17,2065,Brandon Tabb Offensive Rebound.,10,23
14:13,2065,Brandon Tabb missed Three Point Jumper.,10,23
14:13,2065,Malik Maitland Offensive Rebound.,10,23
13:52,2065,Armani Collins missed Three Point Jumper.,10,23
13:52,-1,Bryce Nickels Defensive Rebound.,10,23
13:35,-1,Jacob Roark missed Three Point Jumper.,10,23
13:35,-1,Florida College Offensive Rebound.,10,23
13:21,-1,Zach Brock Turnover.,10,23
13:05,2065,Shawntrez Davis Turnover.,10,23
13:04,-1,Kent Hegarty Steal.,10,23
12:47,-1,Jacob Roark missed Jumper.,10,23
12:47,2065,Armani Collins Defensive Rebound.,10,23
12:39,2065,Brandon Tabb missed Three Point Jumper.,10,23
12:39,2065,Isaiah Bailey Offensive Rebound.,10,23
12:16,2065,Houston Smith missed Jumper.,10,23
12:16,2065,Houston Smith Offensive Rebound.,10,23
12:11,2065,Houston Smith made Two Point Tip Shot.,10,25
12:01,-1,Jahkeal Samuel made Three Point Jumper.,13,25
11:40,2065,Brandon Tabb missed Three Point Jumper.,13,25
11:40,2065,Houston Smith Offensive Rebound.,13,25
11:36,2065,Houston Smith made Layup.,13,27
11:20,-1,Zach Brock missed Layup.,13,27
11:20,2065,Brandon Tabb Block.,13,27
11:19,2065,Armani Collins Defensive Rebound.,13,27
11:13,2065,Isaiah Bailey missed Layup.,13,27
11:13,-1,Kent Hegarty Block.,13,27
11:12,2065,Shawntrez Davis Offensive Rebound.,13,27
11:10,2065,Shawntrez Davis made Jumper.,13,29
10:52,-1,Jacob Roark missed Jumper.,13,29
10:52,-1,Jordan Benjamin Offensive Rebound.,13,29
10:49,-1,Jordan Benjamin made Two Point Tip Shot.,15,29
10:30,2065,Brandon Tabb made Three Point Jumper. Assisted by Isaiah Bailey.,15,32
10:10,-1,Kent Hegarty missed Layup.,15,32
10:10,2065,Houston Smith Defensive Rebound.,15,32
10:03,2065,Brandon Tabb missed Three Point Jumper.,15,32
10:03,-1,Jahkeal Samuel Defensive Rebound.,15,32
9:55,-1,Zach Brock made Three Point Jumper. Assisted by Kent Hegarty.,18,32
9:35,2065,Shawntrez Davis made Jumper. Assisted by Isaiah Bailey.,18,34
9:16,2065,Foul on Armani Collins.,18,34
9:16,2065,Official TV Timeout,18,34
8:58,-1,Lynorris Hamilton missed Three Point Jumper.,18,34
8:58,-1,Darwin Morales Offensive Rebound.,18,34
8:56,2065,Foul on Isaiah Bailey.,18,34
8:55,-1,Kerwiken Morpas missed Jumper.,18,34
8:55,2065,Isaiah Bailey Defensive Rebound.,18,34
8:45,2065,Soufiyane Diakite missed Three Point Jumper.,18,34
8:45,-1,Darwin Morales Defensive Rebound.,18,34
8:35,-1,Darwin Morales missed Jumper.,18,34
8:35,2065,Ulmer Manzie Defensive Rebound.,18,34
8:27,2065,Soufiyane Diakite made Dunk. Assisted by Malik Maitland.,18,36
8:10,2065,Foul on Armani Collins.,18,36
8:10,-1,Franck Tsoungui made Free Throw.,19,36
8:10,-1,Franck Tsoungui made Free Throw.,20,36
7:52,2065,Isaiah Bailey Turnover.,20,36
7:51,-1,Jacob Roark Steal.,20,36
7:48,-1,Lynorris Hamilton missed Three Point Jumper.,20,36
7:48,-1,Kerwiken Morpas Offensive Rebound.,20,36
7:42,-1,Kent Hegarty missed Jumper.,20,36
7:42,2065,Brandon Tabb Defensive Rebound.,20,36
7:37,2065,Brandon Tabb Turnover.,20,36
7:36,-1,Jacob Roark Steal.,20,36
7:32,-1,Kerwiken Morpas made Layup. Assisted by Kent Hegarty.,22,36
7:04,-1,Foul on Lynorris Hamilton.,22,36
7:04,2065,Official TV Timeout,22,36
7:04,2065,Brandon Tabb missed Three Point Jumper.,22,36
7:04,2065,Soufiyane Diakite Offensive Rebound.,22,36
6:56,2065,Brandon Tabb missed Three Point Jumper.,22,36
6:56,-1,Florida College Defensive Rebound.,22,36
6:40,-1,Franck Tsoungui missed Three Point Jumper.,22,36
6:40,-1,Kerwiken Morpas Offensive Rebound.,22,36
6:34,-1,Kerwiken Morpas made Layup.,24,36
6:20,2065,Isaiah Bailey missed Dunk.,24,36
6:20,-1,Kerwiken Morpas Defensive Rebound.,24,36
6:11,-1,Jacob Roark missed Three Point Jumper.,24,36
6:11,2065,Isaiah Bailey Defensive Rebound.,24,36
6:02,2065,Soufiyane Diakite missed Layup.,24,36
6:02,-1,Kerwiken Morpas Block.,24,36
6:00,-1,Jacob Roark Defensive Rebound.,24,36
5:55,-1,Franck Tsoungui Turnover.,24,36
5:55,2065,Malik Maitland Steal.,24,36
5:49,2065,Isaiah Bailey missed Three Point Jumper.,24,36
5:49,-1,Kent Hegarty Defensive Rebound.,24,36
5:29,-1,Jacob Roark missed Three Point Jumper.,24,36
5:29,2065,Brandon Tabb Defensive Rebound.,24,36
5:21,-1,Foul on Kerwiken Morpas.,24,36
5:21,2065,Shawntrez Davis made Free Throw.,24,37
5:21,2065,Shawntrez Davis made Free Throw.,24,38
4:44,-1,Jahkeal Samuel missed Three Point Jumper.,24,38
4:44,2065,Shawntrez Davis Defensive Rebound.,24,38
4:35,2065,Brandon Tabb missed Three Point Jumper.,24,38
4:35,-1,Lynorris Hamilton Defensive Rebound.,24,38
4:28,-1,Kent Hegarty missed Three Point Jumper.,24,38
4:28,2065,Brandon Tabb Defensive Rebound.,24,38
4:26,2065,Soufiyane Diakite made Dunk. Assisted by Brandon Tabb.,24,40
4:09,-1,Zach Brock missed Three Point Jumper.,24,40
4:09,2065,Isaiah Bailey Defensive Rebound.,24,40
4:01,2065,Isaiah Bailey missed Layup.,24,40
4:01,2065,Houston Smith Offensive Rebound.,24,40
3:57,-1,Foul on Jacob Roark.,24,40
3:57,2065,Official TV Timeout,24,40
3:57,2065,Houston Smith made Free Throw.,24,41
3:57,2065,Houston Smith made Free Throw.,24,42
3:06,-1,Jacob Roark Turnover.,24,42
3:06,2065,David Francis made Three Point Jumper. Assisted by Malik Maitland.,24,45
2:56,-1,Florida College  Turnover.,24,45
2:43,2065,David Francis made Layup. Assisted by Isaiah Bailey.,24,47
2:28,-1,Jacob Roark Turnover.,24,47
2:27,2065,Isaiah Bailey Steal.,24,47
2:25,-1,Foul on Franck Tsoungui.,24,47
2:22,2065,Isaiah Bailey missed Three Point Jumper.,24,47
2:22,2065,Houston Smith Offensive Rebound.,24,47
2:18,2065,Malik Maitland missed Three Point Jumper.,24,47
2:18,2065,David Francis Offensive Rebound.,24,47
2:13,2065,Isaiah Bailey Turnover.,24,47
2:11,-1,Darwin Morales Steal.,24,47
1:54,-1,Darwin Morales made Three Point Jumper. Assisted by Lynorris Hamilton.,27,47
1:33,2065,Malik Maitland Turnover.,27,47
1:33,-1,Lynorris Hamilton Steal.,27,47
1:29,2065,Foul on David Francis.,27,47
1:29,-1,Lynorris Hamilton made Free Throw.,28,47
1:29,-1,Lynorris Hamilton missed Free Throw.,28,47
1:29,-1,Jordan Benjamin Offensive Rebound.,28,47
1:28,2065,Foul on Brandon Tabb.,28,47
1:28,-1,Jordan Benjamin missed Free Throw.,28,47
1:28,-1,Florida College Deadball Team Rebound.,28,47
1:28,-1,Jordan Benjamin made Free Throw.,29,47
1:14,2065,Malik Maitland missed Jumper.,29,47
1:14,2065,Shawntrez Davis Offensive Rebound.,29,47
1:12,2065,Shawntrez Davis made Two Point Tip Shot.,29,49
1:07,2065,Foul on Brandon Tabb.,29,49
1:07,-1,Lynorris Hamilton missed Free Throw.,29,49
1:07,2065,Shawntrez Davis Defensive Rebound.,29,49
0:48,-1,Foul on Jahkeal Samuel.,29,49
0:48,2065,Shawntrez Davis missed Free Throw.,29,49
0:48,-1,Jahkeal Samuel Defensive Rebound.,29,49
0:39,-1,Lynorris Hamilton Turnover.,29,49
0:30,2065,Malik Maitland made Layup.,29,51
0:14,-1,Jahkeal Samuel missed Three Point Jumper.,29,51
0:14,-1,Jordan Benjamin Offensive Rebound.,29,51
0:10,-1,Jordan Benjamin missed Jumper.,29,51
0:10,2065,Houston Smith Defensive Rebound.,29,51
0:00,2065,End of 1st half,29,51
19:48,-1,Franck Tsoungui Turnover.,29,51
19:47,2065,Soufiyane Diakite Steal.,29,51
19:42,2065,Brandon Tabb made Three Point Jumper. Assisted by Isaiah Bailey.,29,54
19:31,-1,Zach Brock missed Three Point Jumper.,29,54
19:31,-1,Kerwiken Morpas Offensive Rebound.,29,54
19:26,-1,Kent Hegarty missed Three Point Jumper.,29,54
19:26,2065,Soufiyane Diakite Defensive Rebound.,29,54
19:23,-1,Foul on Franck Tsoungui.,29,54
19:01,2065,Isaiah Bailey Turnover.,29,54
19:00,-1,Jacob Roark Steal.,29,54
18:54,-1,Kerwiken Morpas missed Jumper.,29,54
18:54,2065,Shawntrez Davis Defensive Rebound.,29,54
18:46,2065,Brandon Tabb missed Three Point Jumper.,29,54
18:46,2065,Shawntrez Davis Offensive Rebound.,29,54
18:41,-1,Foul on Zach Brock.,29,54
18:39,-1,Foul on Kerwiken Morpas.,29,54
18:39,2065,Soufiyane Diakite made Free Throw.,29,55
18:39,2065,Soufiyane Diakite made Free Throw.,29,56
18:31,-1,Kent Hegarty made Three Point Jumper. Assisted by Jacob Roark.,32,56
18:11,2065,Malik Maitland missed Jumper.,32,56
18:11,2065,Soufiyane Diakite Offensive Rebound.,32,56
18:07,2065,Soufiyane Diakite missed Jumper.,32,56
18:07,-1,Kerwiken Morpas Defensive Rebound.,32,56
17:48,2065,Foul on Malik Maitland.,32,56
17:48,-1,Zach Brock made Free Throw.,33,56
17:48,-1,Zach Brock missed Free Throw.,33,56
17:48,-1,Florida College Deadball Team Rebound.,33,56
17:48,-1,Zach Brock made Free Throw.,34,56
17:33,2065,Shawntrez Davis Turnover.,34,56
17:32,-1,Kent Hegarty Steal.,34,56
17:28,-1,Theokarl Desrivieres missed Layup.,34,56
17:28,2065,Isaiah Bailey Defensive Rebound.,34,56
17:04,2065,Brandon Tabb missed Three Point Jumper.,34,56
17:04,-1,Kerwiken Morpas Defensive Rebound.,34,56
16:56,-1,Jacob Roark made Three Point Jumper.,37,56
16:28,2065,Malik Maitland Turnover.,37,56
16:07,-1,Theokarl Desrivieres made Layup. Assisted by Jacob Roark.,39,56
15:50,2065,Shawntrez Davis missed Jumper.,39,56
15:50,-1,Florida College Defensive Rebound.,39,56
15:47,2065,Official TV Timeout,39,56
15:26,-1,Jacob Roark missed Jumper.,39,56
15:26,2065,Shawntrez Davis Block.,39,56
15:25,2065,Brandon Tabb Defensive Rebound.,39,56
15:22,2065,Brandon Tabb made Dunk.,39,58
14:59,-1,Jacob Roark missed Three Point Jumper.,39,58
14:59,-1,Jordan Benjamin Offensive Rebound.,39,58
14:55,-1,Jordan Benjamin made Jumper.,41,58
14:39,2065,Malik Maitland missed Three Point Jumper.,41,58
14:39,-1,Jacob Roark Defensive Rebound.,41,58
14:30,-1,Jacob Roark Turnover.,41,58
14:30,2065,Malik Maitland Steal.,41,58
14:27,2065,Isaiah Bailey made Dunk. Assisted by Malik Maitland.,41,60
14:13,-1,Zach Brock missed Three Point Jumper.,41,60
14:13,2065,Shawntrez Davis Defensive Rebound.,41,60
14:06,2065,Shawntrez Davis missed Jumper.,41,60
14:06,-1,Jacob Roark Defensive Rebound.,41,60
13:48,2065,Foul on Brandon Tabb.,41,60
13:48,-1,Jordan Benjamin missed Free Throw.,41,60
13:48,-1,Florida College Deadball Team Rebound.,41,60
13:48,-1,Jordan Benjamin made Free Throw.,42,60
13:39,2065,Houston Smith missed Jumper.,42,60
13:39,-1,Jordan Benjamin Defensive Rebound.,42,60
13:30,-1,Kent Hegarty missed Three Point Jumper.,42,60
13:30,2065,David Francis Defensive Rebound.,42,60
13:11,2065,Armani Collins made Three Point Jumper. Assisted by Houston Smith.,42,63
12:56,2065,Foul on Armani Collins.,42,63
12:56,-1,Darwin Morales made Free Throw.,43,63
12:56,-1,Darwin Morales made Free Throw.,44,63
12:47,2065,Malik Maitland made Three Point Jumper.,44,66
12:30,-1,Lynorris Hamilton missed Jumper.,44,66
12:30,2065,Soufiyane Diakite Defensive Rebound.,44,66
12:25,2065,Armani Collins made Three Point Jumper. Assisted by Soufiyane Diakite.,44,69
12:17,-1,Darwin Morales made Jumper. Assisted by Lynorris Hamilton.,46,69
12:02,2065,Houston Smith missed Three Point Jumper.,46,69
12:02,-1,Jahkeal Samuel Defensive Rebound.,46,69
11:56,-1,Jahkeal Samuel Turnover.,46,69
11:55,2065,David Francis Steal.,46,69
11:52,2065,Soufiyane Diakite made Dunk. Assisted by David Francis.,46,71
11:41,-1,Jahkeal Samuel missed Three Point Jumper.,46,71
11:41,-1,Jordan Benjamin Offensive Rebound.,46,71
11:38,-1,Jordan Benjamin made Layup.,48,71
11:18,2065,Armani Collins missed Three Point Jumper.,48,71
11:18,-1,Franck Tsoungui Defensive Rebound.,48,71
11:08,-1,Jahkeal Samuel missed Layup.,48,71
11:08,2065,Armani Collins Defensive Rebound.,48,71
10:50,2065,David Francis made Layup. Assisted by Malik Maitland.,48,73
10:30,-1,Darwin Morales missed Three Point Jumper.,48,73
10:30,2065,David Francis Defensive Rebound.,48,73
10:18,2065,David Francis missed Layup.,48,73
10:18,-1,Jahkeal Samuel Block.,48,73
10:17,-1,Darwin Morales Defensive Rebound.,48,73
10:10,2065,Foul on Houston Smith.,48,73
10:10,2065,Official TV Timeout,48,73
10:10,-1,Franck Tsoungui made Free Throw.,49,73
10:10,-1,Franck Tsoungui made Free Throw.,50,73
9:59,-1,Foul on Kerwiken Morpas.,50,73
9:59,2065,Houston Smith made Free Throw.,50,74
9:59,2065,Houston Smith missed Free Throw.,50,74
9:59,-1,Franck Tsoungui Defensive Rebound.,50,74
9:41,-1,Kerwiken Morpas made Jumper. Assisted by Kent Hegarty.,52,74
9:22,-1,Foul on Jahkeal Samuel.,52,74
9:20,2065,Shawntrez Davis made Jumper. Assisted by Isaiah Bailey.,52,76
9:06,-1,Franck Tsoungui missed Layup.,52,76
9:06,2065,Shawntrez Davis Defensive Rebound.,52,76
9:00,-1,Foul on Kerwiken Morpas.,52,76
8:51,2065,Brandon Tabb missed Three Point Jumper.,52,76
8:51,-1,Zach Brock Defensive Rebound.,52,76
8:39,-1,Hayden Todd made Layup.,54,76
8:22,2065,Shawntrez Davis missed Three Point Jumper.,54,76
8:22,2065,Houston Smith Offensive Rebound.,54,76
8:18,-1,Foul on Zach Brock.,54,76
8:18,2065,Houston Smith made Free Throw.,54,77
8:18,2065,Houston Smith missed Free Throw.,54,77
8:18,-1,Theokarl Desrivieres Defensive Rebound.,54,77
8:07,-1,Theokarl Desrivieres Turnover.,54,77
8:07,-1,Foul on Theokarl Desrivieres.,54,77
7:54,2065,Malik Maitland missed Three Point Jumper.,54,77
7:54,2065,Bethune-Cookman Offensive Rebound.,54,77
7:48,2065,Official TV Timeout,54,77
7:45,2065,Brandon Tabb made Jumper.,54,79
7:29,-1,Jacob Roark missed Three Point Jumper.,54,79
7:29,2065,Soufiyane Diakite Defensive Rebound.,54,79
7:17,2065,Brandon Tabb made Three Point Jumper. Assisted by Isaiah Bailey.,54,82
7:04,-1,Bryce Nickels missed Jumper.,54,82
7:04,2065,Shawntrez Davis Block.,54,82
7:03,2065,Brandon Tabb Defensive Rebound.,54,82
6:59,2065,Isaiah Bailey made Layup. Assisted by Brandon Tabb.,54,84
6:59,-1,Foul on Hayden Todd.,54,84
6:59,2065,Isaiah Bailey made Free Throw.,54,85
6:49,2065,Foul on Soufiyane Diakite.,54,85
6:49,-1,Franck Tsoungui missed Free Throw.,54,85
6:49,-1,Florida College Deadball Team Rebound.,54,85
6:49,-1,Franck Tsoungui made Free Throw.,55,85
6:37,2065,Isaiah Bailey made Three Point Jumper. Assisted by Malik Maitland.,55,88
6:25,-1,Jacob Roark made Three Point Jumper. Assisted by Kent Hegarty.,58,88
6:08,2065,Isaiah Bailey Turnover.,58,88
5:56,-1,Jordan Benjamin made Layup.,60,88
5:46,2065,Isaiah Bailey missed Three Point Jumper.,60,88
5:46,-1,Franck Tsoungui Defensive Rebound.,60,88
5:36,-1,Jacob Roark missed Three Point Jumper.,60,88
5:36,2065,Shawntrez Davis Defensive Rebound.,60,88
5:07,2065,Isaiah Bailey made Jumper. Assisted by Soufiyane Diakite.,60,90
4:51,-1,Kent Hegarty missed Three Point Jumper.,60,90
4:51,-1,Jordan Benjamin Offensive Rebound.,60,90
4:39,-1,Zach Brock made Layup.,62,90
4:23,2065,Brandon Tabb missed Three Point Jumper.,62,90
4:23,-1,Jordan Benjamin Defensive Rebound.,62,90
4:21,2065,Foul on Shawntrez Davis.,62,90
4:14,-1,Franck Tsoungui Turnover.,62,90
4:14,2065,Shawntrez Davis Steal.,62,90
4:11,2065,Soufiyane Diakite made Layup. Assisted by Shawntrez Davis.,62,92
3:56,-1,Lynorris Hamilton missed Three Point Jumper.,62,92
3:56,-1,Franck Tsoungui Offensive Rebound.,62,92
3:51,-1,Darwin Morales made Three Point Jumper. Assisted by Franck Tsoungui.,65,92
3:23,2065,Armani Collins missed Three Point Jumper.,65,92
3:23,2065,Soufiyane Diakite Offensive Rebound.,65,92
3:14,2065,Malik Maitland missed Jumper.,65,92
3:14,-1,Darwin Morales Defensive Rebound.,65,92
3:04,-1,Bryce Nickels missed Layup.,65,92
3:04,2065,Shawntrez Davis Block.,65,92
3:02,2065,Malik Maitland Defensive Rebound.,65,92
2:58,2065,Shawntrez Davis missed Dunk.,65,92
2:58,-1,Lynorris Hamilton Defensive Rebound.,65,92
2:54,-1,Franck Tsoungui missed Three Point Jumper.,65,92
2:54,2065,Soufiyane Diakite Defensive Rebound.,65,92
2:34,2065,Bethune-Cookman  Timeout,65,92
2:34,2065,Official TV Timeout,65,92
2:23,2065,Houston Smith Turnover.,65,92
2:21,-1,Bryce Nickels Steal.,65,92
2:16,-1,Lynorris Hamilton missed Layup.,65,92
2:16,2065,David Francis Defensive Rebound.,65,92
2:08,2065,Ulmer Manzie made Layup. Assisted by Armani Collins.,65,94
1:59,-1,Darwin Morales missed Three Point Jumper.,65,94
1:59,2065,Bethune-Cookman Defensive Rebound.,65,94
1:47,2065,Official TV Timeout,65,94
1:30,2065,Armani Collins missed Three Point Jumper.,65,94
1:30,-1,Bryce Nickels Defensive Rebound.,65,94
1:19,-1,Hayden Todd made Layup.,67,94
1:02,-1,Foul on Jahkeal Samuel.,67,94
1:02,2065,Ulmer Manzie made Free Throw.,67,95
1:02,2065,Ulmer Manzie missed Free Throw.,67,95
1:02,-1,Bryce Nickels Defensive Rebound.,67,95
0:53,-1,Lynorris Hamilton missed Three Point Jumper.,67,95
0:53,2065,Ulmer Manzie Defensive Rebound.,67,95
0:41,2065,Rodney Ross missed Jumper.,67,95
0:41,2065,Armani Collins Offensive Rebound.,67,95
0:36,2065,Armani Collins missed Layup.,67,95
0:36,-1,Darwin Morales Defensive Rebound.,67,95
0:29,-1,Jahkeal Samuel missed Three Point Jumper.,67,95
0:29,2065,Armani Collins Defensive Rebound.,67,95
0:00,2065,End of Game,67,95
