Ball State,282,Indiana State,2050
12:13,2050,Foul on Tahjai Teague.,17,8
12:03,282,Jordan Barnes made Three Point Jumper.,17,11
11:48,2050,Zach Gunn made Three Point Jumper. Assisted by Jontrell Walker.,20,11
11:29,282,Brenton Scott missed Three Point Jumper.,20,11
11:29,2050,Ball State Defensive Rebound.,20,11
11:24,282,Official TV Timeout,20,11
11:12,282,Foul on Brenton Scott.,20,11
11:12,282,Foul on Clayton Hughes.,20,11
11:12,2050,Zach Gunn missed Three Point Jumper.,20,11
11:12,2050,Ishmael El-Amin Offensive Rebound.,20,11
11:06,2050,Zach Gunn missed Layup.,20,11
11:06,282,Clayton Hughes Block.,20,11
11:06,2050,Zach Gunn Offensive Rebound.,20,11
11:02,2050,Tahjai Teague made Jumper.,22,11
10:44,282,Bronson Kessinger made Dunk. Assisted by Jordan Barnes.,22,13
10:32,2050,Sean Sellers missed Three Point Jumper.,22,13
10:32,2050,Tahjai Teague Offensive Rebound.,22,13
10:27,2050,Ishmael El-Amin missed Three Point Jumper.,22,13
10:27,282,Jordan Barnes Defensive Rebound.,22,13
10:21,282,Jordan Barnes missed Three Point Jumper.,22,13
10:21,2050,Tahjai Teague Defensive Rebound.,22,13
9:50,2050,Jontrell Walker made Three Point Jumper.,25,13
9:40,282,Demonte Ojinnaka made Three Point Jumper.,25,16
9:28,2050,Ishmael El-Amin made Jumper.,27,16
9:14,282,Clayton Hughes missed Layup.,27,16
9:14,2050,Sean Sellers Defensive Rebound.,27,16
9:03,2050,Sean Sellers Turnover.,27,16
9:02,282,Brenton Scott Steal.,27,16
8:59,282,Brenton Scott made Layup.,27,18
8:41,282,Foul on Brenton Scott.,27,18
8:31,2050,Tayler Persons missed Layup.,27,18
8:31,282,Qiydar Davis Defensive Rebound.,27,18
8:17,282,Bronson Kessinger made Dunk. Assisted by Jordan Barnes.,27,20
7:52,2050,Jontrell Walker made Three Point Jumper. Assisted by Tayler Persons.,30,20
7:32,2050,Foul on Tahjai Teague.,30,20
7:32,282,Official TV Timeout,30,20
7:32,282,Qiydar Davis made Free Throw.,30,21
7:32,282,Qiydar Davis made Free Throw.,30,22
7:12,282,Foul on Jordan Barnes.,30,22
7:11,2050,Kyle Mallers made Free Throw.,31,22
7:11,2050,Kyle Mallers made Free Throw.,32,22
6:56,282,Bronson Kessinger Turnover.,32,22
6:56,2050,Kyle Mallers Steal.,32,22
6:43,2050,Tayler Persons Turnover.,32,22
6:41,282,Clayton Hughes Steal.,32,22
6:29,282,Qiydar Davis made Jumper.,32,24
6:11,2050,Kyle Mallers missed Three Point Jumper.,32,24
6:11,282,Clayton Hughes Defensive Rebound.,32,24
5:58,282,Jordan Barnes missed Three Point Jumper.,32,24
5:58,2050,Ball State Defensive Rebound.,32,24
5:33,2050,Francis Kiapway missed Three Point Jumper.,32,24
5:33,282,Indiana State Defensive Rebound.,32,24
5:05,282,Clayton Hughes missed Three Point Jumper.,32,24
5:05,2050,Trey Moses Defensive Rebound.,32,24
5:03,282,Foul on Brandon Murphy.,32,24
5:03,2050,Trey Moses missed Free Throw.,32,24
5:03,282,Emondre Rickman Defensive Rebound.,32,24
4:52,282,Qiydar Davis Turnover.,32,24
4:35,282,Foul on Demonte Ojinnaka.,32,24
4:35,2050,Kyle Mallers made Free Throw.,33,24
4:35,2050,Kyle Mallers missed Free Throw.,33,24
4:35,282,Emondre Rickman Defensive Rebound.,33,24
4:13,282,Demonte Ojinnaka made Three Point Jumper. Assisted by Trey Knight III.,33,27
4:02,2050,Sean Sellers made Three Point Jumper. Assisted by Ishmael El-Amin.,36,27
3:43,282,Clayton Hughes made Three Point Jumper.,36,30
3:26,2050,Zach Gunn missed Three Point Jumper.,36,30
3:26,282,Devin Thomas Defensive Rebound.,36,30
3:12,2050,Foul on Zach Gunn.,36,30
3:12,282,Official TV Timeout,36,30
2:58,282,Clayton Hughes Turnover.,36,30
2:47,2050,Ishmael El-Amin made Jumper. Assisted by Zach Gunn.,38,30
2:27,282,Devin Thomas Turnover.,38,30
2:27,282,Foul on Devin Thomas.,38,30
2:09,2050,Ishmael El-Amin missed Three Point Jumper.,38,30
2:09,282,Emondre Rickman Defensive Rebound.,38,30
1:48,282,Jordan Barnes missed Three Point Jumper.,38,30
1:48,2050,Tahjai Teague Defensive Rebound.,38,30
1:39,2050,Jontrell Walker Turnover.,38,30
1:39,2050,Foul on Jontrell Walker.,38,30
1:15,282,Devin Thomas made Three Point Jumper. Assisted by Jordan Barnes.,38,33
0:54,2050,Ishmael El-Amin Turnover.,38,33
0:54,2050,Foul on Ishmael El-Amin.,38,33
0:46,282,Jordan Barnes Turnover.,38,33
0:44,2050,Tahjai Teague Steal.,38,33
0:41,282,Foul on Demonte Ojinnaka.,38,33
0:41,2050,Tahjai Teague made Free Throw.,39,33
0:41,2050,Tahjai Teague missed Free Throw.,39,33
0:41,282,Jordan Barnes Defensive Rebound.,39,33
0:30,282,Brandon Murphy made Dunk. Assisted by Brenton Scott.,39,35
0:07,2050,Tayler Persons made Layup.,41,35
0:00,282,End of 1st half,41,35
19:54,282,Brandon Murphy Turnover.,41,35
19:54,282,Foul on Brandon Murphy.,41,35
19:50,2050,Francis Kiapway Turnover.,41,35
19:48,282,Qiydar Davis Steal.,41,35
19:40,282,Brenton Scott Turnover.,41,35
19:39,282,Foul on Brenton Scott.,41,35
19:09,2050,Kyle Mallers missed Three Point Jumper.,41,35
19:09,282,Jordan Barnes Defensive Rebound.,41,35
18:54,2050,Foul on Kyle Mallers.,41,35
18:49,282,Qiydar Davis made Layup. Assisted by Brandon Murphy.,41,37
18:19,2050,Tahjai Teague made Layup.,43,37
18:15,282,Devin Thomas missed Layup.,43,37
18:15,2050,Tahjai Teague Defensive Rebound.,43,37
18:14,2050,Tahjai Teague Turnover.,43,37
18:02,2050,Foul on Kyle Mallers.,43,37
18:02,282,Brandon Murphy missed Free Throw.,43,37
18:02,282,Indiana State Deadball Team Rebound.,43,37
18:02,282,Brandon Murphy made Free Throw.,43,38
17:46,282,Foul on Qiydar Davis.,43,38
17:31,2050,Tahjai Teague made Jumper.,45,38
17:13,282,Devin Thomas Turnover.,45,38
17:02,2050,Tahjai Teague Turnover.,45,38
16:45,282,Emondre Rickman missed Jumper.,45,38
16:45,2050,Zach Gunn Defensive Rebound.,45,38
16:36,2050,Tahjai Teague made Jumper. Assisted by Tayler Persons.,47,38
16:25,2050,Foul on Tahjai Teague.,47,38
16:09,282,Qiydar Davis missed Jumper.,47,38
16:09,2050,Trey Moses Defensive Rebound.,47,38
15:59,2050,Jontrell Walker made Layup.,49,38
15:59,282,Foul on Bronson Kessinger.,49,38
15:59,282,Official TV Timeout,49,38
15:59,2050,Jontrell Walker made Free Throw.,50,38
15:49,282,Tyreke Key missed Three Point Jumper.,50,38
15:49,2050,Sean Sellers Defensive Rebound.,50,38
15:39,2050,Francis Kiapway made Three Point Jumper. Assisted by Trey Moses.,53,38
15:29,2050,Foul on Francis Kiapway.,53,38
15:12,282,Tyreke Key made Layup.,53,40
14:51,282,Foul on Clayton Hughes.,53,40
14:44,2050,Tayler Persons made Layup. Assisted by Trey Moses.,55,40
14:23,282,Tyreke Key missed Layup.,55,40
14:23,2050,Kyle Mallers Defensive Rebound.,55,40
13:58,2050,Tayler Persons Turnover.,55,40
13:57,282,Clayton Hughes Steal.,55,40
13:54,282,Clayton Hughes made Dunk. Assisted by Jordan Barnes.,55,42
13:39,2050,Francis Kiapway Turnover.,55,42
13:37,282,Jordan Barnes Steal.,55,42
13:36,282,Jordan Barnes made Layup.,55,44
13:16,2050,Trey Moses Turnover.,55,44
13:16,2050,Ball State  Timeout,55,44
13:16,282,Official TV Timeout,55,44
13:08,282,Tyreke Key made Dunk. Assisted by Jordan Barnes.,55,46
12:42,2050,Ishmael El-Amin missed Jumper.,55,46
12:42,282,Tyreke Key Defensive Rebound.,55,46
12:31,282,Qiydar Davis made Layup.,55,48
12:11,2050,Ishmael El-Amin made Layup.,57,48
11:52,282,Jordan Barnes Turnover.,57,48
11:52,282,Official TV Timeout,57,48
11:29,282,Foul on Clayton Hughes.,57,48
11:29,2050,Ishmael El-Amin missed Free Throw.,57,48
11:29,2050,Ball State Deadball Team Rebound.,57,48
11:29,2050,Ishmael El-Amin missed Free Throw.,57,48
11:29,282,Emondre Rickman Defensive Rebound.,57,48
11:18,2050,Foul on Zach Gunn.,57,48
11:12,282,Qiydar Davis missed Layup.,57,48
11:12,282,Emondre Rickman Offensive Rebound.,57,48
11:10,282,Emondre Rickman missed Layup.,57,48
11:10,2050,Zach Gunn Defensive Rebound.,57,48
11:00,282,Foul on Emondre Rickman.,57,48
11:00,2050,Tahjai Teague made Free Throw.,58,48
11:00,2050,Tahjai Teague made Free Throw.,59,48
10:39,282,Jordan Barnes missed Layup.,59,48
10:39,282,Bronson Kessinger Offensive Rebound.,59,48
10:36,282,Bronson Kessinger made Two Point Tip Shot.,59,50
10:17,2050,Zach Gunn made Layup. Assisted by Jontrell Walker.,61,50
10:03,282,Tyreke Key missed Layup.,61,50
10:03,2050,Tahjai Teague Defensive Rebound.,61,50
9:57,2050,Ishmael El-Amin Turnover.,61,50
9:48,282,Brenton Scott made Jumper.,61,52
9:25,2050,Zach Gunn missed Layup.,61,52
9:25,282,Bronson Kessinger Defensive Rebound.,61,52
9:25,2050,Foul on Tahjai Teague.,61,52
8:59,282,Bronson Kessinger missed Layup.,61,52
8:59,2050,Trey Moses Defensive Rebound.,61,52
8:47,2050,Tayler Persons missed Layup.,61,52
8:47,282,Jordan Barnes Defensive Rebound.,61,52
8:42,282,Tyreke Key made Layup. Assisted by Jordan Barnes.,61,54
8:42,2050,Foul on Trey Moses.,61,54
8:42,282,Tyreke Key made Free Throw.,61,55
8:29,2050,Tayler Persons made Three Point Jumper. Assisted by Kyle Mallers.,64,55
8:14,2050,Foul on Kyle Mallers.,64,55
8:14,282,Qiydar Davis missed Free Throw.,64,55
8:14,2050,Kyle Mallers Defensive Rebound.,64,55
7:56,2050,Kyle Mallers Turnover.,64,55
7:55,282,Bronson Kessinger Steal.,64,55
7:51,282,Brenton Scott missed Three Point Jumper.,64,55
7:51,2050,Trey Moses Defensive Rebound.,64,55
7:48,282,Foul on Bronson Kessinger.,64,55
7:48,282,Official TV Timeout,64,55
7:45,2050,Trey Moses made Free Throw.,65,55
7:45,2050,Trey Moses made Free Throw.,66,55
7:34,2050,Foul on Trey Moses.,66,55
7:34,282,Brandon Murphy missed Free Throw.,66,55
7:34,282,Indiana State Deadball Team Rebound.,66,55
7:34,282,Brandon Murphy made Free Throw.,66,56
7:20,2050,Sean Sellers made Jumper.,68,56
7:04,282,Brenton Scott missed Three Point Jumper.,68,56
7:04,2050,Sean Sellers Defensive Rebound.,68,56
6:54,2050,Tayler Persons made Layup.,70,56
6:45,2050,Foul on Francis Kiapway.,70,56
6:45,282,Brenton Scott made Free Throw.,70,57
6:45,282,Brenton Scott missed Free Throw.,70,57
6:45,2050,Sean Sellers Defensive Rebound.,70,57
6:24,2050,Jontrell Walker made Layup.,72,57
6:18,282,Brenton Scott missed Three Point Jumper.,72,57
6:18,2050,Tayler Persons Defensive Rebound.,72,57
6:04,2050,Tayler Persons missed Jumper.,72,57
6:04,2050,Ball State Offensive Rebound.,72,57
6:03,2050,Francis Kiapway made Three Point Jumper. Assisted by Tayler Persons.,75,57
5:48,2050,Foul on Tayler Persons.,75,57
5:48,282,Jordan Barnes made Free Throw.,75,58
5:48,282,Jordan Barnes made Free Throw.,75,59
5:32,2050,Tayler Persons made Three Point Jumper.,78,59
5:22,282,Jordan Barnes made Three Point Jumper.,78,62
5:04,2050,Francis Kiapway missed Jumper.,78,62
5:04,282,Qiydar Davis Defensive Rebound.,78,62
4:54,282,Jordan Barnes made Jumper.,78,64
4:51,282,Indiana State  Timeout,78,64
4:40,2050,Kyle Mallers Turnover.,78,64
4:39,282,Qiydar Davis Steal.,78,64
4:35,2050,Foul on Trey Moses.,78,64
4:35,282,Qiydar Davis made Free Throw.,78,65
4:35,282,Qiydar Davis made Free Throw.,78,66
4:09,282,Foul on Jordan Barnes.,78,66
4:09,2050,Sean Sellers made Free Throw.,79,66
4:09,2050,Sean Sellers made Free Throw.,80,66
4:02,282,Bronson Kessinger made Layup. Assisted by Qiydar Davis.,80,68
3:47,282,Foul on Clayton Hughes.,80,68
3:47,282,Official TV Timeout,80,68
3:47,2050,Ishmael El-Amin made Free Throw.,81,68
3:47,2050,Ishmael El-Amin made Free Throw.,82,68
3:35,282,Brenton Scott made Three Point Jumper. Assisted by Qiydar Davis.,82,71
3:10,2050,Trey Moses missed Layup.,82,71
3:10,282,Qiydar Davis Block.,82,71
3:10,282,Jordan Barnes Defensive Rebound.,82,71
3:00,282,Brenton Scott missed Layup.,82,71
3:00,2050,Kyle Mallers Block.,82,71
3:00,2050,Sean Sellers Defensive Rebound.,82,71
2:46,2050,Tayler Persons made Jumper.,84,71
2:27,282,Bronson Kessinger made Layup. Assisted by Jordan Barnes.,84,73
2:04,2050,Kyle Mallers Turnover.,84,73
1:57,282,Qiydar Davis made Jumper.,84,75
1:46,2050,Jontrell Walker Turnover.,84,75
1:45,282,Brenton Scott Steal.,84,75
1:41,282,Brenton Scott missed Layup.,84,75
1:41,2050,Jontrell Walker Block.,84,75
1:41,2050,Jontrell Walker Defensive Rebound.,84,75
1:34,2050,Blake Huggins Turnover.,84,75
1:33,282,Tyreke Key Steal.,84,75
1:31,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,84,78
1:29,282,Indiana State  Timeout,84,78
1:27,2050,Kyle Mallers Turnover.,84,78
1:20,282,Jordan Barnes missed Layup.,84,78
1:20,282,Qiydar Davis Offensive Rebound.,84,78
1:19,2050,Foul on Tahjai Teague.,84,78
1:19,282,Qiydar Davis made Free Throw.,84,79
1:19,282,Qiydar Davis missed Free Throw.,84,79
1:19,2050,Jontrell Walker Defensive Rebound.,84,79
1:13,282,Foul on Clayton Hughes.,84,79
1:13,2050,Francis Kiapway made Free Throw.,85,79
1:13,2050,Francis Kiapway made Free Throw.,86,79
1:07,282,Jordan Barnes missed Jumper.,86,79
1:07,2050,Trey Moses Defensive Rebound.,86,79
0:54,282,Foul on Jordan Barnes.,86,79
0:54,2050,Francis Kiapway made Free Throw.,87,79
0:54,2050,Francis Kiapway missed Free Throw.,87,79
0:54,282,Qiydar Davis Defensive Rebound.,87,79
0:44,282,Jordan Barnes missed Layup.,87,79
0:44,282,Jordan Barnes Offensive Rebound.,87,79
0:44,282,Qiydar Davis made Three Point Jumper. Assisted by Jordan Barnes.,87,82
0:35,282,Foul on Jordan Barnes.,87,82
0:35,2050,Francis Kiapway made Free Throw.,88,82
0:35,2050,Francis Kiapway made Free Throw.,89,82
0:33,282,Jordan Barnes missed Three Point Jumper.,89,82
0:33,2050,Sean Sellers Defensive Rebound.,89,82
0:32,282,Foul on Qiydar Davis.,89,82
0:30,2050,Sean Sellers made Free Throw.,90,82
0:30,2050,Sean Sellers made Free Throw.,91,82
0:27,282,Brenton Scott missed Three Point Jumper.,91,82
0:27,282,Qiydar Davis Offensive Rebound.,91,82
0:22,282,Tyreke Key made Three Point Jumper.,91,85
0:16,282,Foul on Jordan Barnes.,91,85
0:16,2050,Jontrell Walker made Free Throw.,92,85
0:16,2050,Jontrell Walker made Free Throw.,93,85
0:14,282,Tyreke Key missed Three Point Jumper.,93,85
0:14,2050,Sean Sellers Defensive Rebound.,93,85
0:00,282,End of 2nd half,93,85
