Boston College,2507,Providence,103
12:45,103,Foul on Nik Popovic.,14,15
12:45,2507,Nate Watson missed Free Throw.,14,15
12:45,2507,Providence Deadball Team Rebound.,14,15
12:45,2507,Nate Watson missed Free Throw.,14,15
12:45,103,Nik Popovic Defensive Rebound.,14,15
12:36,103,Nik Popovic made Jumper. Assisted by Ky Bowman.,16,15
12:05,2507,Makai Ashton-Langford Turnover.,16,15
12:05,103,Steffon Mitchell Steal.,16,15
11:52,103,Jerome Robinson missed Three Point Jumper.,16,15
11:52,2507,Isaiah Jackson Defensive Rebound.,16,15
11:44,2507,Isaiah Jackson missed Three Point Jumper.,16,15
11:44,103,Jerome Robinson Defensive Rebound.,16,15
11:28,103,Jerome Robinson Turnover.,16,15
11:28,2507,Providence  Timeout,16,15
11:18,2507,Jalen Lindsey missed Jumper.,16,15
11:17,2507,Nate Watson Offensive Rebound.,16,15
11:12,2507,Makai Ashton-Langford made Three Point Jumper. Assisted by Kyron Cartwright.,16,18
11:06,103,Deontae Hawkins made Jumper.,18,18
10:45,2507,Alpha Diallo made Dunk.,18,20
10:13,103,Deontae Hawkins made Jumper.,20,20
9:59,2507,Alpha Diallo Turnover.,20,20
9:47,103,Deontae Hawkins made Three Point Jumper.,23,20
9:23,2507,Rodney Bullock missed Jumper.,23,20
9:23,2507,Rodney Bullock Offensive Rebound.,23,20
9:21,2507,Rodney Bullock made Layup.,23,22
9:04,103,Nik Popovic missed Jumper.,23,22
9:04,2507,Makai Ashton-Langford Defensive Rebound.,23,22
8:59,2507,Makai Ashton-Langford Turnover.,23,22
8:57,103,Steffon Mitchell Steal.,23,22
8:47,103,Jerome Robinson Turnover.,23,22
8:29,2507,Rodney Bullock made Three Point Jumper. Assisted by Kyron Cartwright.,23,25
8:08,103,Steffon Mitchell missed Three Point Jumper.,23,25
8:08,2507,Rodney Bullock Defensive Rebound.,23,25
7:57,2507,Maliek White made Three Point Jumper. Assisted by Kalif Young.,23,28
7:57,103,Boston College  Timeout,23,28
7:40,2507,Foul on Maliek White.,23,28
7:40,103,Deontae Hawkins missed Free Throw.,23,28
7:40,103,Boston College Deadball Team Rebound.,23,28
7:40,103,Deontae Hawkins missed Free Throw.,23,28
7:40,2507,Kalif Young Defensive Rebound.,23,28
7:21,2507,Kalif Young missed Jumper.,23,28
7:21,103,Deontae Hawkins Defensive Rebound.,23,28
7:15,103,Ky Bowman made Three Point Jumper.,26,28
6:42,2507,Maliek White missed Three Point Jumper.,26,28
6:42,103,Deontae Hawkins Defensive Rebound.,26,28
6:38,103,Ky Bowman Turnover.,26,28
6:18,103,Foul on Nik Popovic.,26,28
6:04,2507,Kyron Cartwright made Jumper.,26,30
5:53,2507,Foul on Jalen Lindsey.,26,30
5:53,103,Johncarlos Reyes missed Free Throw.,26,30
5:53,103,Boston College Deadball Team Rebound.,26,30
5:53,103,Johncarlos Reyes missed Free Throw.,26,30
5:53,103,Ky Bowman Offensive Rebound.,26,30
5:50,103,Ky Bowman missed Jumper.,26,30
5:50,103,Johncarlos Reyes Offensive Rebound.,26,30
5:47,103,Johncarlos Reyes missed Two Point Tip Shot.,26,30
5:47,103,Ky Bowman Offensive Rebound.,26,30
5:42,2507,Foul on Nate Watson.,26,30
5:38,103,Jordan Chatman missed Three Point Jumper.,26,30
5:38,2507,Nate Watson Defensive Rebound.,26,30
5:37,103,Foul on Johncarlos Reyes.,26,30
5:22,2507,Kyron Cartwright made Three Point Jumper. Assisted by Maliek White.,26,33
4:51,2507,Foul on Nate Watson.,26,33
4:51,103,Luka Kraljevic missed Free Throw.,26,33
4:51,103,Boston College Deadball Team Rebound.,26,33
4:51,103,Luka Kraljevic missed Free Throw.,26,33
4:51,2507,Kalif Young Defensive Rebound.,26,33
4:41,103,Foul on Deontae Hawkins.,26,33
4:34,2507,Kyron Cartwright Turnover.,26,33
4:33,103,Jordan Chatman Steal.,26,33
4:28,103,Ky Bowman made Three Point Jumper.,29,33
4:14,2507,Kalif Young made Layup. Assisted by Kyron Cartwright.,29,35
4:14,103,Foul on Luka Kraljevic.,29,35
4:14,2507,Kalif Young missed Free Throw.,29,35
4:14,103,Ky Bowman Defensive Rebound.,29,35
4:02,103,Ky Bowman missed Three Point Jumper.,29,35
4:02,2507,Kyron Cartwright Defensive Rebound.,29,35
4:00,103,Foul on Deontae Hawkins.,29,35
4:00,2507,Kyron Cartwright made Free Throw.,29,36
4:00,2507,Kyron Cartwright missed Free Throw.,29,36
4:00,2507,Alpha Diallo Offensive Rebound.,29,36
3:55,2507,Jalen Lindsey Turnover.,29,36
3:54,103,Boston College  Timeout,29,36
3:37,103,Deontae Hawkins missed Jumper.,29,36
3:37,2507,Jalen Lindsey Defensive Rebound.,29,36
3:27,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,29,39
3:05,103,Jerome Robinson Turnover.,29,39
3:05,2507,Jalen Lindsey Steal.,29,39
2:48,2507,Kyron Cartwright Turnover.,29,39
2:47,103,Ky Bowman Steal.,29,39
2:46,103,Ky Bowman made Layup. Assisted by Jerome Robinson.,31,39
2:17,2507,Alpha Diallo made Jumper.,31,41
1:51,103,Luka Kraljevic made Jumper. Assisted by Jerome Robinson.,33,41
1:39,2507,Jalen Lindsey Turnover.,33,41
1:39,103,Luka Kraljevic Turnover.,33,41
1:39,103,Foul on Luka Kraljevic.,33,41
1:36,103,Foul on Luka Kraljevic.,33,41
1:36,2507,Alpha Diallo made Free Throw.,33,42
1:36,2507,Alpha Diallo missed Free Throw.,33,42
1:36,103,Nik Popovic Defensive Rebound.,33,42
1:19,103,Jerome Robinson missed Three Point Jumper.,33,42
1:19,2507,Kyron Cartwright Defensive Rebound.,33,42
1:13,2507,Kyron Cartwright Turnover.,33,42
1:13,2507,Foul on Kyron Cartwright.,33,42
0:54,103,Jordan Chatman missed Jumper.,33,42
0:54,2507,Providence Defensive Rebound.,33,42
0:26,2507,Rodney Bullock missed Jumper.,33,42
0:26,2507,Alpha Diallo Offensive Rebound.,33,42
0:25,2507,Alpha Diallo made Jumper.,33,44
0:17,2507,Foul on Alpha Diallo.,33,44
0:17,2507,Providence  Timeout,33,44
0:17,103,Jerome Robinson made Free Throw.,34,44
0:17,103,Jerome Robinson made Free Throw.,35,44
0:03,2507,Alpha Diallo missed Jumper.,35,44
0:03,103,Steffon Mitchell Block.,35,44
0:01,103,Jerome Robinson Defensive Rebound.,35,44
0:00,2507,End of 1st half,35,44
19:39,103,Foul on Nik Popovic.,35,44
19:39,2507,Rodney Bullock made Free Throw.,35,45
19:39,2507,Rodney Bullock made Free Throw.,35,46
19:26,103,Johncarlos Reyes made Layup. Assisted by Ky Bowman.,37,46
19:01,2507,Kyron Cartwright made Jumper.,37,48
18:54,103,Jordan Chatman missed Three Point Jumper.,37,48
18:54,103,Ky Bowman Offensive Rebound.,37,48
18:39,103,Ky Bowman missed Jumper.,37,48
18:39,2507,Kalif Young Defensive Rebound.,37,48
18:14,2507,Alpha Diallo made Layup. Assisted by Kyron Cartwright.,37,50
17:51,103,Deontae Hawkins made Jumper.,39,50
17:25,2507,Rodney Bullock missed Three Point Jumper.,39,50
17:25,103,Boston College Deadball Team Rebound.,39,50
17:25,2507,Foul on Kalif Young.,39,50
17:11,103,Jerome Robinson missed Jumper.,39,50
17:11,103,Jordan Chatman Offensive Rebound.,39,50
17:08,2507,Foul on Kalif Young.,39,50
16:49,2507,Foul on Alpha Diallo.,39,50
16:38,103,Jerome Robinson missed Three Point Jumper.,39,50
16:38,103,Deontae Hawkins Offensive Rebound.,39,50
16:34,103,Deontae Hawkins missed Jumper.,39,50
16:34,2507,Rodney Bullock Defensive Rebound.,39,50
16:27,2507,Rodney Bullock missed Three Point Jumper.,39,50
16:27,2507,Kyron Cartwright Offensive Rebound.,39,50
16:23,2507,Rodney Bullock made Three Point Jumper. Assisted by Kyron Cartwright.,39,53
16:09,103,Deontae Hawkins missed Three Point Jumper.,39,53
16:09,2507,Kyron Cartwright Defensive Rebound.,39,53
15:55,2507,Jalen Lindsey missed Jumper.,39,53
15:55,103,Deontae Hawkins Defensive Rebound.,39,53
15:52,2507,Foul on Alpha Diallo.,39,53
15:49,103,Deontae Hawkins Turnover.,39,53
15:49,103,Foul on Deontae Hawkins.,39,53
15:41,103,Boston College  Timeout,39,53
15:12,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,39,56
14:56,103,Jerome Robinson missed Layup.,39,56
14:56,2507,Rodney Bullock Defensive Rebound.,39,56
14:30,2507,Rodney Bullock missed Jumper.,39,56
14:30,103,Deontae Hawkins Defensive Rebound.,39,56
14:23,103,Jerome Robinson made Three Point Jumper. Assisted by Ky Bowman.,42,56
13:54,2507,Nate Watson made Jumper.,42,58
13:32,103,Ky Bowman missed Jumper.,42,58
13:32,103,Jordan Chatman Offensive Rebound.,42,58
13:26,103,Jerome Robinson made Three Point Jumper. Assisted by Jordan Chatman.,45,58
13:05,2507,Nate Watson made Jumper.,45,60
13:05,103,Foul on Deontae Hawkins.,45,60
13:04,2507,Nate Watson made Free Throw.,45,61
12:47,103,Ky Bowman made Layup.,47,61
12:20,2507,Makai Ashton-Langford missed Jumper.,47,61
12:20,2507,Nate Watson Offensive Rebound.,47,61
12:16,2507,Nate Watson made Dunk.,47,63
11:58,103,Ky Bowman missed Jumper.,47,63
11:58,103,Johncarlos Reyes Offensive Rebound.,47,63
11:56,103,Johncarlos Reyes made Two Point Tip Shot.,49,63
11:42,2507,Drew Edwards made Layup.,49,65
11:35,2507,Foul on Makai Ashton-Langford.,49,65
11:35,103,Boston College  Timeout,49,65
11:35,103,Jordan Chatman made Free Throw.,50,65
11:35,103,Jordan Chatman made Free Throw.,51,65
11:06,2507,Makai Ashton-Langford made Layup.,51,67
10:52,103,Ky Bowman made Layup.,53,67
10:52,2507,Foul on Nate Watson.,53,67
10:52,103,Ky Bowman made Free Throw.,54,67
10:28,103,Foul on Ky Bowman.,54,67
10:08,2507,Kyron Cartwright made Jumper.,54,69
9:45,103,Jerome Robinson missed Jumper.,54,69
9:45,2507,Kalif Young Defensive Rebound.,54,69
9:24,2507,Rodney Bullock made Three Point Jumper. Assisted by Jalen Lindsey.,54,72
9:16,103,Boston College  Timeout,54,72
9:01,103,Ky Bowman missed Three Point Jumper.,54,72
9:01,2507,Alpha Diallo Defensive Rebound.,54,72
8:36,2507,Kalif Young missed Jumper.,54,72
8:36,103,Deontae Hawkins Block.,54,72
8:35,103,Steffon Mitchell Defensive Rebound.,54,72
8:11,2507,Foul on Kalif Young.,54,72
8:11,103,Jerome Robinson made Free Throw.,55,72
8:11,103,Jerome Robinson made Free Throw.,56,72
8:02,2507,Alpha Diallo Turnover.,56,72
8:00,103,Boston College  Timeout,56,72
7:53,103,Deontae Hawkins Turnover.,56,72
7:24,2507,Kyron Cartwright missed Three Point Jumper.,56,72
7:24,103,Jerome Robinson Defensive Rebound.,56,72
7:14,103,Jerome Robinson made Layup.,58,72
7:02,103,Foul on Steffon Mitchell.,58,72
6:50,2507,Alpha Diallo made Layup.,58,74
6:38,103,Nik Popovic missed Jumper.,58,74
6:38,2507,Kalif Young Defensive Rebound.,58,74
6:10,2507,Alpha Diallo missed Jumper.,58,74
6:10,2507,Kalif Young Offensive Rebound.,58,74
5:44,2507,Rodney Bullock made Jumper.,58,76
5:31,103,Boston College  Timeout,58,76
5:22,103,Jerome Robinson missed Layup.,58,76
5:22,2507,Kalif Young Defensive Rebound.,58,76
5:17,2507,Alpha Diallo made Jumper.,58,78
5:01,103,Jordan Chatman missed Three Point Jumper.,58,78
5:01,2507,Kalif Young Defensive Rebound.,58,78
4:58,103,Foul on Ky Bowman.,58,78
4:45,2507,Alpha Diallo made Dunk.,58,80
4:29,2507,Foul on Rodney Bullock.,58,80
4:29,103,Jerome Robinson missed Free Throw.,58,80
4:29,2507,Kalif Young Defensive Rebound.,58,80
4:00,2507,Rodney Bullock Turnover.,58,80
3:59,103,Jordan Chatman Steal.,58,80
3:55,103,Jerome Robinson missed Three Point Jumper.,58,80
3:55,103,Ky Bowman Offensive Rebound.,58,80
3:52,2507,Foul on Makai Ashton-Langford.,58,80
3:52,103,Boston College  Timeout,58,80
3:52,103,Ky Bowman missed Free Throw.,58,80
3:52,2507,Alpha Diallo Defensive Rebound.,58,80
3:36,2507,Jalen Lindsey Turnover.,58,80
3:34,103,Ky Bowman Steal.,58,80
3:32,103,Ky Bowman made Dunk.,60,80
2:57,2507,Rodney Bullock missed Three Point Jumper.,60,80
2:57,2507,Rodney Bullock Offensive Rebound.,60,80
2:41,2507,Makai Ashton-Langford made Layup. Assisted by Alpha Diallo.,60,82
2:26,103,Jerome Robinson missed Three Point Jumper.,60,82
2:26,103,Deontae Hawkins Offensive Rebound.,60,82
2:24,103,Deontae Hawkins made Layup.,62,82
1:57,103,Foul on Ky Bowman.,62,82
1:57,2507,Rodney Bullock missed Free Throw.,62,82
1:57,103,Ky Bowman Defensive Rebound.,62,82
1:52,103,Ky Bowman made Layup.,64,82
1:51,2507,Providence  Timeout,64,82
1:40,103,Foul on Jordan Chatman.,64,82
1:40,2507,Drew Edwards made Free Throw.,64,83
1:40,2507,Drew Edwards made Free Throw.,64,84
1:25,103,Vin Baker Jr. Turnover.,64,84
1:24,2507,Jalen Lindsey Steal.,64,84
1:05,2507,Makai Ashton-Langford missed Layup.,64,84
1:05,103,Deontae Hawkins Defensive Rebound.,64,84
0:54,103,Ky Bowman made Layup.,66,84
0:34,2507,Makai Ashton-Langford missed Three Point Jumper.,66,84
0:34,2507,Nate Watson Offensive Rebound.,66,84
0:30,103,Foul on Ky Bowman.,66,84
0:30,2507,Nate Watson made Free Throw.,66,85
0:30,2507,Nate Watson made Free Throw.,66,86
0:24,103,Ky Bowman Turnover.,66,86
0:00,2507,End of Game,66,86
