Tennessee Wesleyan,Error,Chattanooga,236
5:29,236,Dylan Brewster Defensive Rebound.,46,91
5:16,236,Foul on James Lewis Jr..,46,91
5:16,236,James Lewis Jr. Turnover.,46,91
5:06,-1,Djimon Wilson made Layup. Assisted by Todd Lansden.,48,91
4:44,236,Jonathan Bryant II Turnover.,48,91
4:43,-1,Noah Fager Steal.,48,91
4:30,-1,Joshua Chairs missed Jumper.,48,91
4:30,236,David Jean-Baptiste Defensive Rebound.,48,91
4:22,236,David Jean-Baptiste missed Layup.,48,91
4:22,-1,Djimon Wilson Block.,48,91
4:22,236,Chattanooga Offensive Rebound.,48,91
4:08,236,Makale Foreman made Jumper.,48,93
3:57,236,Foul on James Lewis Jr..,48,93
3:57,236,Official TV Timeout,48,93
3:57,-1,Matt Randolph made Free Throw.,49,93
3:57,-1,Matt Randolph made Free Throw.,50,93
3:30,-1,Jordan Hall missed Three Point Jumper.,50,93
3:30,236,Joshua Phillips Defensive Rebound.,50,93
3:21,236,Dylan Brewster missed Three Point Jumper.,50,93
3:21,-1,Joshua Chairs Defensive Rebound.,50,93
3:02,236,A.J. Bowers Turnover.,50,93
2:53,-1,Todd Lansden missed Jumper.,50,93
2:53,236,Joshua Phillips Defensive Rebound.,50,93
2:31,236,David Jean-Baptiste made Layup.,50,95
2:28,236,Chattanooga  Timeout,50,95
2:12,-1,Noah Fager made Three Point Jumper. Assisted by Joshua Chairs.,53,95
1:50,236,A.J. Bowers Turnover.,53,95
1:37,-1,Djimon Wilson made Layup.,55,95
1:14,236,Jonathan Bryant II missed Jumper.,55,95
1:14,-1,Djimon Wilson Defensive Rebound.,55,95
1:07,-1,Djimon Wilson missed Layup.,55,95
1:07,-1,Noah Fager Offensive Rebound.,55,95
1:04,-1,Noah Fager missed Layup.,55,95
1:04,236,A.J. Bowers Defensive Rebound.,55,95
0:37,236,Dylan Brewster Turnover.,55,95
0:37,-1,Matt Randolph Steal.,55,95
0:34,-1,Matt Randolph made Layup.,57,95
0:34,236,Foul on Jonathan Bryant II.,57,95
0:34,-1,Matt Randolph made Free Throw.,58,95
0:16,236,Jonathan Bryant II Turnover.,58,95
0:15,-1,Noah Fager Steal.,58,95
0:10,-1,Noah Fager missed Layup.,58,95
0:10,-1,Todd Lansden Offensive Rebound.,58,95
0:07,-1,Todd Lansden made Dunk.,60,95
0:00,236,End of Game,60,95
