Akron,2168,Dayton,2006
11:12,2006,Daniel Utomi missed Jumper.,13,16
11:06,2006,Emmanuel Olojakpoke made Jumper. Assisted by Daniel Utomi.,15,16
10:45,2168,Kostas Antetokounmpo Turnover.,15,16
10:28,2006,Jimond Ivey made Jumper.,17,16
10:12,2168,Jordan Davis made Jumper.,17,18
10:12,2006,Foul on Malcolm Duvivier.,17,18
10:06,2168,Jalen Crutcher missed Three Point Jumper.,17,18
10:06,2168,Jalen Crutcher Offensive Rebound.,17,18
9:52,2168,Matej Svoboda missed Three Point Jumper.,17,18
9:52,2006,Akron Defensive Rebound.,17,18
9:41,2006,Jimond Ivey missed Three Point Jumper.,17,18
9:41,2168,Darrell Davis Defensive Rebound.,17,18
9:18,2168,Kostas Antetokounmpo Turnover.,17,18
8:59,2006,Jimond Ivey missed Jumper.,17,18
8:59,2168,Josh Cunningham Defensive Rebound.,17,18
8:45,2168,Jalen Crutcher missed Jumper.,17,18
8:45,2168,Kostas Antetokounmpo Offensive Rebound.,17,18
8:42,2168,Kostas Antetokounmpo missed Two Point Tip Shot.,17,18
8:42,2168,Josh Cunningham Offensive Rebound.,17,18
8:41,2006,Foul on Mark Kostelac.,17,18
8:41,2168,Josh Cunningham made Free Throw.,17,19
8:41,2168,Josh Cunningham missed Free Throw.,17,19
8:41,2006,Jimond Ivey Defensive Rebound.,17,19
8:30,2006,Eric Parrish made Jumper. Assisted by Jimond Ivey.,19,19
8:01,2168,John Crosby missed Jumper.,19,19
8:01,2006,Jimond Ivey Defensive Rebound.,19,19
7:53,2006,Malcolm Duvivier missed Three Point Jumper.,19,19
7:53,2168,John Crosby Defensive Rebound.,19,19
7:45,2168,John Crosby made Jumper.,19,21
7:27,2006,Malcolm Duvivier missed Three Point Jumper.,19,21
7:27,2168,Matej Svoboda Defensive Rebound.,19,21
7:14,2168,Matej Svoboda missed Jumper.,19,21
7:14,2006,Daniel Utomi Defensive Rebound.,19,21
7:13,2168,Foul on Josh Cunningham.,19,21
7:13,2168,Official TV Timeout,19,21
7:12,2168,Official TV Timeout,19,21
6:58,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,22,21
6:36,2168,Kostas Antetokounmpo made Dunk. Assisted by Jalen Crutcher.,22,23
6:19,2006,Virshon Cotton Turnover.,22,23
6:03,2168,Josh Cunningham missed Jumper.,22,23
6:03,2006,Emmanuel Olojakpoke Defensive Rebound.,22,23
5:58,2006,Eric Parrish missed Jumper.,22,23
5:58,2168,Josh Cunningham Defensive Rebound.,22,23
5:33,2168,Kostas Antetokounmpo made Layup. Assisted by Matej Svoboda.,22,25
5:07,2168,Foul on Kostas Antetokounmpo.,22,25
5:07,2006,Emmanuel Olojakpoke missed Free Throw.,22,25
5:07,2006,Akron Deadball Team Rebound.,22,25
5:07,2006,Emmanuel Olojakpoke missed Free Throw.,22,25
5:07,2168,Matej Svoboda Defensive Rebound.,22,25
4:57,2168,Josh Cunningham missed Three Point Jumper.,22,25
4:57,2006,Eric Parrish Defensive Rebound.,22,25
4:46,2006,Emmanuel Olojakpoke made Dunk. Assisted by Malcolm Duvivier.,24,25
4:23,2168,Josh Cunningham made Dunk. Assisted by John Crosby.,24,27
3:53,2006,Jimond Ivey missed Three Point Jumper.,24,27
3:53,2168,Josh Cunningham Defensive Rebound.,24,27
3:27,2168,Matej Svoboda made Layup. Assisted by John Crosby.,24,29
3:27,2168,Official TV Timeout,24,29
3:17,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,27,29
3:04,2168,John Crosby Turnover.,27,29
3:01,2168,Foul on John Crosby.,27,29
2:40,2006,Daniel Utomi made Three Point Jumper. Assisted by Torrey Patton.,30,29
2:25,2168,Matej Svoboda missed Three Point Jumper.,30,29
2:25,2006,Jimond Ivey Defensive Rebound.,30,29
2:18,2168,Foul on Matej Svoboda.,30,29
2:17,2006,Jaden Sayles made Layup. Assisted by Jimond Ivey.,32,29
2:17,2168,Foul on Matej Svoboda.,32,29
2:17,2006,Jaden Sayles missed Free Throw.,32,29
2:17,2168,Josh Cunningham Defensive Rebound.,32,29
1:57,2006,Foul on Malcolm Duvivier.,32,29
1:57,2168,Josh Cunningham missed Free Throw.,32,29
1:57,2006,Daniel Utomi Defensive Rebound.,32,29
1:45,2006,Jaden Sayles made Jumper. Assisted by Torrey Patton.,34,29
1:24,2168,Jordan Davis missed Jumper.,34,29
1:24,2006,Jimond Ivey Defensive Rebound.,34,29
1:17,2168,Foul on John Crosby.,34,29
1:17,2006,Jaden Sayles made Free Throw.,35,29
1:17,2006,Jaden Sayles missed Free Throw.,35,29
1:17,2168,Josh Cunningham Defensive Rebound.,35,29
1:00,2168,Darrell Davis Turnover.,35,29
0:57,2006,Torrey Patton Steal.,35,29
0:45,2006,Jaden Sayles made Jumper. Assisted by Jimond Ivey.,37,29
0:42,2168,Dayton  Timeout,37,29
0:18,2168,Matej Svoboda made Three Point Jumper. Assisted by Jalen Crutcher.,37,32
0:01,2006,Daniel Utomi missed Three Point Jumper.,37,32
0:01,2168,Josh Cunningham Defensive Rebound.,37,32
0:00,2168,End of 1st half,37,32
19:34,2168,Kostas Antetokounmpo made Dunk. Assisted by Josh Cunningham.,37,34
19:11,2006,Malcolm Duvivier missed Jumper.,37,34
19:11,2168,Josh Cunningham Defensive Rebound.,37,34
19:01,2168,John Crosby Turnover.,37,34
19:00,2006,Jimond Ivey Steal.,37,34
18:58,2168,Foul on Darrell Davis.,37,34
18:57,2006,Malcolm Duvivier missed Three Point Jumper.,37,34
18:57,2168,Dayton Deadball Team Rebound.,37,34
18:38,2168,Darrell Davis made Three Point Jumper. Assisted by John Crosby.,37,37
18:04,2006,Malcolm Duvivier Turnover.,37,37
17:41,2168,Jordan Davis made Three Point Jumper. Assisted by Josh Cunningham.,37,40
17:25,2006,Jimond Ivey missed Jumper.,37,40
17:25,2168,Josh Cunningham Defensive Rebound.,37,40
17:16,2168,Darrell Davis made Three Point Jumper. Assisted by John Crosby.,37,43
17:12,2006,Akron  Timeout,37,43
17:12,2168,Official TV Timeout,37,43
16:57,2006,Jaden Sayles missed Jumper.,37,43
16:57,2168,John Crosby Defensive Rebound.,37,43
16:35,2006,Foul on Jimond Ivey.,37,43
16:25,2168,Darrell Davis made Jumper.,37,45
16:01,2006,Daniel Utomi Turnover.,37,45
16:00,2168,Kostas Antetokounmpo Steal.,37,45
15:53,2168,Darrell Davis missed Jumper.,37,45
15:53,2006,Jimond Ivey Defensive Rebound.,37,45
15:47,2168,Official TV Timeout,37,45
15:27,2168,Foul on Josh Cunningham.,37,45
15:27,2006,Daniel Utomi made Free Throw.,38,45
15:27,2006,Daniel Utomi made Free Throw.,39,45
15:27,2006,Daniel Utomi made Free Throw.,40,45
15:00,2168,Josh Cunningham missed Jumper.,40,45
15:00,2168,Kostas Antetokounmpo Offensive Rebound.,40,45
14:58,2168,Kostas Antetokounmpo Turnover.,40,45
14:46,2006,Malcolm Duvivier made Jumper.,42,45
14:25,2168,Jordan Davis made Three Point Jumper. Assisted by Josh Cunningham.,42,48
14:05,2006,Daniel Utomi missed Three Point Jumper.,42,48
14:05,2168,John Crosby Defensive Rebound.,42,48
13:55,2168,Jordan Davis Turnover.,42,48
13:54,2006,Eric Parrish Steal.,42,48
13:33,2168,Foul on Kostas Antetokounmpo.,42,48
13:33,2006,Jaden Sayles missed Free Throw.,42,48
13:33,2006,Akron Deadball Team Rebound.,42,48
13:33,2006,Jaden Sayles made Free Throw.,43,48
13:13,2168,Jalen Crutcher missed Three Point Jumper.,43,48
13:13,2006,Eric Parrish Defensive Rebound.,43,48
13:01,2006,Jimond Ivey made Layup.,45,48
12:31,2168,Jordan Davis missed Three Point Jumper.,45,48
12:31,2006,Jimond Ivey Defensive Rebound.,45,48
12:24,2006,Jimond Ivey Turnover.,45,48
12:22,2168,Jalen Crutcher Steal.,45,48
12:14,2168,Darrell Davis made Jumper.,45,50
11:52,2006,Jimond Ivey missed Three Point Jumper.,45,50
11:52,2168,Josh Cunningham Defensive Rebound.,45,50
11:39,2168,Jordan Davis missed Three Point Jumper.,45,50
11:39,2006,Virshon Cotton Defensive Rebound.,45,50
11:36,2168,Official TV Timeout,45,50
11:30,2006,Torrey Patton missed Three Point Jumper.,45,50
11:30,2168,Josh Cunningham Defensive Rebound.,45,50
11:26,2006,Foul on Emmanuel Olojakpoke.,45,50
11:14,2168,Jalen Crutcher made Three Point Jumper. Assisted by Jordan Davis.,45,53
11:03,2168,Foul on Matej Svoboda.,45,53
10:53,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,48,53
10:32,2168,Darrell Davis Turnover.,48,53
10:30,2006,Malcolm Duvivier Steal.,48,53
10:15,2168,Foul on Jalen Crutcher.,48,53
10:08,2006,Malcolm Duvivier missed Three Point Jumper.,48,53
10:08,2168,Jordan Davis Defensive Rebound.,48,53
9:59,2168,Jordan Davis made Three Point Jumper. Assisted by Jalen Crutcher.,48,56
9:35,2006,Malcolm Duvivier made Layup. Assisted by Daniel Utomi.,50,56
9:19,2006,Foul on Emmanuel Olojakpoke.,50,56
9:19,2168,Kostas Antetokounmpo missed Free Throw.,50,56
9:19,2168,Dayton Deadball Team Rebound.,50,56
9:19,2168,Kostas Antetokounmpo made Free Throw.,50,57
9:02,2006,Jimond Ivey missed Jumper.,50,57
9:02,2168,Jalen Crutcher Defensive Rebound.,50,57
8:57,2168,Jordan Davis made Three Point Jumper. Assisted by Jalen Crutcher.,50,60
8:34,2168,Foul on Kostas Antetokounmpo.,50,60
8:34,2006,Eric Parrish missed Free Throw.,50,60
8:34,2006,Akron Deadball Team Rebound.,50,60
8:34,2006,Eric Parrish missed Free Throw.,50,60
8:34,2168,Josh Cunningham Defensive Rebound.,50,60
8:21,2168,Foul on Josh Cunningham.,50,60
8:21,2168,Josh Cunningham Turnover.,50,60
7:59,2006,Jimond Ivey missed Three Point Jumper.,50,60
7:59,2168,Dayton Deadball Team Rebound.,50,60
7:58,2168,Official TV Timeout,50,60
7:47,2006,Foul on Jimond Ivey.,50,60
7:29,2168,Josh Cunningham made Dunk. Assisted by Jalen Crutcher.,50,62
7:05,2006,Malcolm Duvivier Turnover.,50,62
7:04,2168,Jalen Crutcher Steal.,50,62
7:01,2168,Josh Cunningham made Dunk. Assisted by Jalen Crutcher.,50,64
6:59,2006,Akron  Timeout,50,64
6:47,2006,Eric Parrish Turnover.,50,64
6:17,2168,Darrell Davis missed Jumper.,50,64
6:17,2168,Josh Cunningham Offensive Rebound.,50,64
6:14,2168,Josh Cunningham made Two Point Tip Shot.,50,66
5:58,2006,Jimond Ivey made Jumper.,52,66
5:34,2168,Jalen Crutcher missed Three Point Jumper.,52,66
5:34,2168,Jalen Crutcher Offensive Rebound.,52,66
5:30,2168,Dayton  Timeout,52,66
5:15,2168,Darrell Davis Turnover.,52,66
5:06,2006,Jimond Ivey missed Jumper.,52,66
5:06,2168,Jordan Davis Defensive Rebound.,52,66
4:49,2006,Foul on Eric Parrish.,52,66
4:38,2168,Jalen Crutcher missed Jumper.,52,66
4:38,2006,Emmanuel Olojakpoke Block.,52,66
4:36,2006,Daniel Utomi Defensive Rebound.,52,66
4:27,2006,Emmanuel Olojakpoke made Dunk. Assisted by Virshon Cotton.,54,66
4:16,2006,Foul on Eric Parrish.,54,66
4:04,2168,Matej Svoboda missed Jumper.,54,66
4:04,2168,Josh Cunningham Offensive Rebound.,54,66
4:03,2006,Foul on Eric Parrish.,54,66
4:03,2168,Josh Cunningham made Free Throw.,54,67
4:03,2168,Josh Cunningham made Free Throw.,54,68
3:45,2006,Jimond Ivey missed Jumper.,54,68
3:45,2168,Josh Cunningham Defensive Rebound.,54,68
3:29,2168,Josh Cunningham made Layup. Assisted by Jalen Crutcher.,54,70
3:29,2006,Foul on Jimond Ivey.,54,70
3:29,2168,Official TV Timeout,54,70
3:29,2168,Josh Cunningham made Free Throw.,54,71
3:18,2168,Foul on Josh Cunningham.,54,71
3:18,2006,Daniel Utomi made Free Throw.,55,71
3:18,2006,Daniel Utomi made Free Throw.,56,71
2:55,2168,Jalen Crutcher missed Three Point Jumper.,56,71
2:55,2168,Matej Svoboda Offensive Rebound.,56,71
2:24,2006,Foul on Malcolm Duvivier.,56,71
2:24,2168,Josh Cunningham missed Free Throw.,56,71
2:24,2168,Dayton Deadball Team Rebound.,56,71
2:24,2168,Josh Cunningham missed Free Throw.,56,71
2:24,2006,Jimond Ivey Defensive Rebound.,56,71
2:15,2006,Virshon Cotton made Jumper.,58,71
1:59,2168,Foul on Matej Svoboda.,58,71
1:59,2168,Matej Svoboda Turnover.,58,71
1:32,2006,Jimond Ivey missed Jumper.,58,71
1:32,2168,Kostas Antetokounmpo Defensive Rebound.,58,71
1:14,2006,Foul on Virshon Cotton.,58,71
1:14,2168,Darrell Davis made Free Throw.,58,72
1:14,2168,Darrell Davis made Free Throw.,58,73
1:05,2006,Eric Parrish Turnover.,58,73
0:40,2168,Jack Westerfield missed Three Point Jumper.,58,73
0:40,2006,Sina Gbadebo Defensive Rebound.,58,73
0:20,2006,Lucas Smith missed Three Point Jumper.,58,73
0:20,2006,Mark Kostelac Offensive Rebound.,58,73
0:17,2168,Dayton  Timeout,58,73
0:17,2006,Mark Kostelac made Jumper.,60,73
0:00,2168,End of Game,60,73
