Asbury,Error,Eastern Kentucky,2198
4:36,2198,Peyton Broughton made Layup.,23,32
4:26,-1,Clarien Washington missed Three Point Jumper.,23,32
4:26,2198,Jackson Davis Defensive Rebound.,23,32
4:13,2198,Dillon Avare missed Three Point Jumper.,23,32
4:13,-1,Trenton Thompson Defensive Rebound.,23,32
4:02,2198,Foul on A.J. Youngman.,23,32
4:02,-1,Clif Conley made Free Throw.,24,32
4:02,-1,Clif Conley made Free Throw.,25,32
4:02,-1,Clif Conley made Free Throw.,26,32
4:02,-1,Asbury  Timeout,26,32
3:46,2198,Nick Mayo missed Layup.,26,32
3:46,-1,Trenton Thompson Defensive Rebound.,26,32
3:37,-1,Clif Conley made Jumper.,28,32
3:04,2198,Zach Charles missed Layup.,28,32
3:04,2198,Zach Charles Offensive Rebound.,28,32
2:47,2198,Nick Mayo made Jumper. Assisted by Dedric Boyd.,28,34
2:22,-1,Jared Farris made Jumper. Assisted by Will Henderson.,30,34
2:10,2198,Peyton Broughton missed Three Point Jumper.,30,34
2:10,2198,Peyton Broughton Offensive Rebound.,30,34
2:06,2198,Peyton Broughton missed Two Point Tip Shot.,30,34
2:06,-1,Trenton Thompson Block.,30,34
2:04,-1,Trenton Thompson Defensive Rebound.,30,34
1:45,2198,Foul on Zach Charles.,30,34
1:45,-1,Trenton Thompson made Free Throw.,31,34
1:45,-1,Trenton Thompson made Free Throw.,32,34
1:45,-1,Trenton Thompson made Free Throw.,33,34
1:32,2198,Nick Mayo missed Three Point Jumper.,33,34
1:32,-1,Will Henderson Defensive Rebound.,33,34
1:16,-1,Will Henderson missed Jumper.,33,34
1:16,2198,Peyton Broughton Defensive Rebound.,33,34
1:04,2198,Nick Mayo missed Jumper.,33,34
1:04,-1,Clif Conley Defensive Rebound.,33,34
0:55,-1,Trenton Thompson missed Three Point Jumper.,33,34
0:55,2198,Nick Mayo Defensive Rebound.,33,34
0:48,-1,Foul on Trenton Thompson.,33,34
0:48,2198,Dedric Boyd made Free Throw.,33,35
0:48,2198,Dedric Boyd made Free Throw.,33,36
0:36,-1,Daulton Peters missed Three Point Jumper.,33,36
0:36,2198,Dillon Avare Defensive Rebound.,33,36
0:30,-1,Foul on Daulton Peters.,33,36
0:30,2198,Nick Mayo made Free Throw.,33,37
0:30,2198,Nick Mayo made Free Throw.,33,38
0:08,-1,Clarien Washington missed Three Point Jumper.,33,38
0:08,2198,Dedric Boyd Defensive Rebound.,33,38
0:00,-1,Foul on Clarien Washington.,33,38
0:00,2198,Dedric Boyd missed Free Throw.,33,38
0:00,2198,Eastern Kentucky Deadball Team Rebound.,33,38
0:00,2198,Dedric Boyd made Free Throw.,33,39
0:00,2198,End of 1st half,33,38
19:41,-1,Clif Conley missed Three Point Jumper.,33,39
19:41,2198,DeAndre Dishman Defensive Rebound.,33,39
19:21,2198,DeAndre Dishman made Layup. Assisted by Nick Mayo.,33,41
19:08,-1,Clarien Washington missed Jumper.,33,41
19:08,-1,Clarien Washington Offensive Rebound.,33,41
19:03,-1,Clarien Washington missed Two Point Tip Shot.,33,41
19:03,2198,Nick Mayo Block.,33,41
19:00,-1,Will Henderson Offensive Rebound.,33,41
18:56,-1,Will Henderson made Three Point Jumper.,36,41
18:35,2198,DeAndre Dishman made Dunk. Assisted by Dedric Boyd.,36,43
18:26,-1,Jared Farris missed Jumper.,36,43
18:26,2198,Jackson Davis Defensive Rebound.,36,43
18:16,2198,Dedric Boyd missed Jumper.,36,43
18:16,-1,Asbury Defensive Rebound.,36,43
17:59,-1,Trenton Thompson missed Three Point Jumper.,36,43
17:59,2198,Nick Mayo Defensive Rebound.,36,43
17:48,2198,Dedric Boyd missed Layup.,36,43
17:48,-1,Clif Conley Block.,36,43
17:46,2198,DeAndre Dishman Offensive Rebound.,36,43
17:44,2198,DeAndre Dishman made Two Point Tip Shot.,36,45
17:35,-1,Will Henderson Turnover.,36,45
17:34,2198,Jackson Davis Steal.,36,45
17:28,-1,Foul on Clarien Washington.,36,45
17:28,2198,Peyton Broughton made Free Throw.,36,46
17:28,2198,Peyton Broughton made Free Throw.,36,47
17:14,2198,Foul on DeAndre Dishman.,36,47
17:14,-1,Asbury  Turnover.,36,47
17:03,2198,Nick Mayo made Three Point Jumper. Assisted by Dedric Boyd.,36,50
16:51,-1,Clif Conley made Three Point Jumper. Assisted by Will Henderson.,39,50
16:31,2198,Jackson Davis made Layup. Assisted by Dedric Boyd.,39,52
16:20,-1,Jared Farris Turnover.,39,52
16:09,2198,DeAndre Dishman missed Jumper.,39,52
16:09,-1,Clarien Washington Defensive Rebound.,39,52
15:58,2198,Official TV Timeout,39,52
15:48,-1,Clif Conley missed Three Point Jumper.,39,52
15:48,2198,DeAndre Dishman Defensive Rebound.,39,52
15:30,2198,Dedric Boyd Turnover.,39,52
15:29,-1,Clif Conley Steal.,39,52
15:28,2198,Foul on Dedric Boyd.,39,52
15:28,-1,Clif Conley made Free Throw.,40,52
15:28,-1,Clif Conley made Free Throw.,41,52
15:11,-1,Foul on Daulton Peters.,41,52
15:11,2198,Peyton Broughton made Free Throw.,41,53
15:11,2198,Peyton Broughton made Free Throw.,41,54
15:06,-1,Daulton Peters made Three Point Jumper. Assisted by Will Henderson.,44,54
14:40,2198,Peyton Broughton made Three Point Jumper. Assisted by Dedric Boyd.,44,57
14:20,2198,Foul on Peyton Broughton.,44,57
14:20,-1,Trenton Thompson missed Three Point Jumper.,44,57
14:20,2198,Zach Charles Defensive Rebound.,44,57
14:06,2198,Jackson Davis missed Layup.,44,57
14:06,2198,Jackson Davis Offensive Rebound.,44,57
14:04,2198,Jackson Davis missed Two Point Tip Shot.,44,57
14:04,2198,Jackson Davis Offensive Rebound.,44,57
14:00,2198,Jackson Davis made Two Point Tip Shot.,44,59
13:36,-1,Trenton Thompson missed Three Point Jumper.,44,59
13:36,2198,Dedric Boyd Defensive Rebound.,44,59
13:28,2198,Dedric Boyd missed Jumper.,44,59
13:28,-1,Trenton Thompson Defensive Rebound.,44,59
13:23,-1,Austin Kindred made Three Point Jumper. Assisted by Will Henderson.,47,59
13:21,-1,Asbury  Timeout,47,59
13:21,2198,Official TV Timeout,47,59
13:09,-1,Foul on Daulton Peters.,47,59
12:55,-1,Foul on Dave McCorvey.,47,59
12:55,2198,Zach Charles made Free Throw.,47,60
12:55,2198,Zach Charles made Free Throw.,47,61
12:43,-1,Austin Kindred made Three Point Jumper. Assisted by Deion Cochran.,50,61
12:30,-1,Foul on Austin Kindred.,50,61
12:30,2198,Peyton Broughton missed Jumper.,50,61
12:30,2198,Nick Mayo Offensive Rebound.,50,61
12:30,2198,Nick Mayo made Two Point Tip Shot.,50,63
12:30,-1,Deion Cochran missed Three Point Jumper.,50,63
12:30,-1,Austin Kindred Offensive Rebound.,50,63
11:38,-1,Foul on Roshane O'Brian.,50,63
11:38,-1,Roshane O'Brian Turnover.,50,63
11:38,2198,Official TV Timeout,50,63
11:26,2198,Nick Mayo missed Jumper.,50,63
11:26,-1,Asbury Defensive Rebound.,50,63
11:08,2198,Foul on Nick Mayo.,50,63
10:49,-1,Dave McCorvey missed Jumper.,50,63
10:49,2198,Peyton Broughton Block.,50,63
10:47,-1,Roshane O'Brian Offensive Rebound.,50,63
10:45,-1,Roshane O'Brian made Two Point Tip Shot.,52,63
10:28,-1,Foul on Roshane O'Brian.,52,63
10:28,2198,Nick Mayo made Free Throw.,52,64
10:28,2198,Nick Mayo missed Free Throw.,52,64
10:28,-1,Roshane O'Brian Defensive Rebound.,52,64
10:28,-1,Deion Cochran missed Three Point Jumper.,52,64
10:28,2198,Dedric Boyd Defensive Rebound.,52,64
10:11,-1,Foul on Blaine May.,52,64
10:11,2198,Dedric Boyd made Free Throw.,52,65
10:11,2198,Dedric Boyd made Free Throw.,52,66
9:52,2198,Foul on Nick Mayo.,52,66
9:52,-1,Deion Cochran missed Free Throw.,52,66
9:52,-1,Asbury Deadball Team Rebound.,52,66
9:52,-1,Deion Cochran made Free Throw.,53,66
9:38,2198,A.J. Youngman made Three Point Jumper. Assisted by Nick Mayo.,53,69
9:27,-1,Roshane O'Brian missed Jumper.,53,69
9:27,-1,Dave McCorvey Offensive Rebound.,53,69
9:14,-1,Blaine May Turnover.,53,69
9:12,2198,Dillon Avare missed Three Point Jumper.,53,69
9:12,2198,Nick Mayo Offensive Rebound.,53,69
9:08,2198,Nick Mayo missed Two Point Tip Shot.,53,69
9:08,2198,Peyton Broughton Offensive Rebound.,53,69
9:05,2198,Peyton Broughton made Two Point Tip Shot.,53,71
8:50,2198,Foul on Dillon Avare.,53,71
8:50,-1,Deion Cochran made Free Throw.,54,71
8:50,-1,Deion Cochran made Free Throw.,55,71
8:41,2198,A.J. Youngman missed Three Point Jumper.,55,71
8:41,-1,Austin Kindred Defensive Rebound.,55,71
8:28,-1,Trenton Thompson missed Three Point Jumper.,55,71
8:28,2198,A.J. Youngman Defensive Rebound.,55,71
8:20,2198,Peyton Broughton made Layup. Assisted by A.J. Youngman.,55,73
8:20,-1,Foul on Will Henderson.,55,73
8:20,2198,Peyton Broughton made Free Throw.,55,74
8:00,-1,Clif Conley missed Jumper.,55,74
8:00,-1,Clif Conley Offensive Rebound.,55,74
7:54,-1,Dave McCorvey missed Layup.,55,74
7:54,2198,Dedric Boyd Defensive Rebound.,55,74
7:47,-1,Foul on Dave McCorvey.,55,74
7:47,2198,Official TV Timeout,55,74
7:47,2198,Dedric Boyd made Free Throw.,55,75
7:47,2198,Dedric Boyd made Free Throw.,55,76
7:30,-1,Will Henderson missed Three Point Jumper.,55,76
7:30,-1,Trenton Thompson Offensive Rebound.,55,76
7:26,-1,Trenton Thompson made Two Point Tip Shot.,57,76
7:07,2198,Peyton Broughton missed Three Point Jumper.,57,76
7:07,-1,Clif Conley Defensive Rebound.,57,76
6:57,-1,Trenton Thompson missed Jumper.,57,76
6:57,2198,Jackson Davis Defensive Rebound.,57,76
6:49,2198,Dedric Boyd missed Jumper.,57,76
6:49,2198,Dedric Boyd Offensive Rebound.,57,76
6:45,-1,Foul on Dave McCorvey.,57,76
6:45,2198,Dedric Boyd made Free Throw.,57,77
6:45,2198,Dedric Boyd made Free Throw.,57,78
6:34,-1,Clif Conley missed Three Point Jumper.,57,78
6:34,-1,Jared Farris Offensive Rebound.,57,78
6:29,2198,Foul on Jackson Davis.,57,78
6:29,-1,Jared Farris made Free Throw.,58,78
6:29,-1,Jared Farris made Free Throw.,59,78
6:14,2198,Dedric Boyd made Layup.,59,80
6:01,-1,Clif Conley Turnover.,59,80
6:00,2198,Dedric Boyd Steal.,59,80
5:58,2198,Peyton Broughton made Dunk. Assisted by Dedric Boyd.,59,82
5:41,2198,Foul on Dedric Boyd.,59,82
5:41,-1,Dave McCorvey made Free Throw.,60,82
5:41,-1,Dave McCorvey made Free Throw.,61,82
5:25,2198,Peyton Broughton made Jumper. Assisted by Jackson Davis.,61,84
5:13,-1,Will Henderson made Jumper.,63,84
4:54,2198,Dedric Boyd made Layup.,63,86
4:42,-1,Daulton Peters made Three Point Jumper. Assisted by Will Henderson.,66,86
4:21,2198,Jackson Davis made Layup. Assisted by Dillon Avare.,66,88
4:12,-1,Clif Conley made Three Point Jumper. Assisted by Daulton Peters.,69,88
4:09,-1,Asbury  Timeout,69,88
4:09,2198,Official TV Timeout,69,88
4:01,2198,Dillon Avare made Three Point Jumper. Assisted by Dedric Boyd.,69,91
3:51,2198,Foul on Dillon Avare.,69,91
3:51,-1,Daulton Peters missed Free Throw.,69,91
3:51,2198,Lachlan Anderson Defensive Rebound.,69,91
3:34,2198,Dedric Boyd made Jumper.,69,93
3:28,-1,Daulton Peters missed Three Point Jumper.,69,93
3:28,2198,A.J. Youngman Defensive Rebound.,69,93
3:19,2198,A.J. Youngman missed Jumper.,69,93
3:19,-1,Trenton Thompson Defensive Rebound.,69,93
3:07,-1,Clif Conley missed Three Point Jumper.,69,93
3:07,2198,Eastern Kentucky Defensive Rebound.,69,93
2:49,2198,Dillon Avare missed Three Point Jumper.,69,93
2:49,-1,Trenton Thompson Defensive Rebound.,69,93
2:33,2198,Foul on Peyton Broughton.,69,93
2:33,-1,Clif Conley made Free Throw.,70,93
2:33,-1,Clif Conley made Free Throw.,71,93
2:24,2198,Cameron Carmical missed Layup.,71,93
2:24,2198,Lachlan Anderson Offensive Rebound.,71,93
2:21,2198,Lachlan Anderson made Two Point Tip Shot.,71,95
2:12,-1,Will Henderson missed Three Point Jumper.,71,95
2:12,2198,A.J. Youngman Defensive Rebound.,71,95
1:54,2198,Peyton Broughton missed Jumper.,71,95
1:54,-1,Will Henderson Defensive Rebound.,71,95
1:46,-1,Clarien Washington missed Three Point Jumper.,71,95
1:46,2198,Lachlan Anderson Defensive Rebound.,71,95
1:43,-1,Foul on Trenton Thompson.,71,95
1:43,2198,Lachlan Anderson made Free Throw.,71,96
1:43,2198,Lachlan Anderson made Free Throw.,71,97
1:33,-1,Jeron Boykins missed Jumper.,71,97
1:33,2198,Lachlan Anderson Defensive Rebound.,71,97
1:15,2198,A.J. Youngman missed Three Point Jumper.,71,97
1:15,-1,Zach Freeman Defensive Rebound.,71,97
1:08,-1,Jack Schmitt missed Jumper.,71,97
1:08,2198,Lachlan Anderson Defensive Rebound.,71,97
1:00,2198,Cameron Carmical missed Three Point Jumper.,71,97
1:00,-1,Roshane O'Brian Defensive Rebound.,71,97
0:44,-1,Jack Schmitt missed Three Point Jumper.,71,97
0:44,2198,Kirkland Humphrey Defensive Rebound.,71,97
0:28,-1,Foul on Roshane O'Brian.,71,97
0:28,2198,Lachlan Anderson made Free Throw.,71,98
0:28,2198,Lachlan Anderson made Free Throw.,71,99
0:17,-1,Siah Holifield Turnover.,71,99
