Columbia,2142,Colgate,171
14:31,171,Tai Bibbs missed Three Point Jumper.,43,50
14:31,2142,Will Rayman Block.,43,50
14:29,2142,Sean O'Brien Defensive Rebound.,43,50
14:18,2142,Jordan Swopshire made Three Point Jumper. Assisted by Francisco Amiel.,43,53
14:02,171,Rodney Hunter Turnover.,43,53
13:40,2142,Francisco Amiel Turnover.,43,53
13:39,171,Jaron Faulds Steal.,43,53
13:34,2142,Foul on Dana Batt.,43,53
13:34,171,Tai Bibbs made Free Throw.,44,53
13:34,171,Tai Bibbs made Free Throw.,45,53
13:26,2142,Will Rayman made Jumper.,45,55
13:03,171,Lukas Meisner made Three Point Jumper. Assisted by Rodney Hunter.,48,55
12:46,2142,Will Rayman made Three Point Jumper. Assisted by Sean O'Brien.,48,58
12:24,171,Rodney Hunter made Layup. Assisted by Lukas Meisner.,50,58
12:12,2142,Jordan Swopshire made Three Point Jumper.,50,61
11:50,171,Quinton Adlesh missed Jumper.,50,61
11:50,2142,Malcolm Regisford Defensive Rebound.,50,61
11:42,2142,Jordan Swopshire made Three Point Jumper.,50,64
11:32,171,Columbia  Timeout,50,64
11:10,171,Quinton Adlesh missed Layup.,50,64
11:10,2142,Will Rayman Defensive Rebound.,50,64
10:54,2142,Will Rayman missed Three Point Jumper.,50,64
10:54,171,Nate Hickman Defensive Rebound.,50,64
10:52,2142,Foul on Hugh Baxter.,50,64
10:52,2142,Official TV Timeout,50,64
10:32,171,Lukas Meisner missed Three Point Jumper.,50,64
10:32,171,Tai Bibbs Offensive Rebound.,50,64
10:27,171,Tai Bibbs made Jumper.,52,64
10:17,171,Foul on Tai Bibbs.,52,64
10:00,2142,Francisco Amiel made Layup.,52,66
9:37,2142,Foul on Francisco Amiel.,52,66
9:30,171,Lukas Meisner made Layup. Assisted by Mike Smith.,54,66
9:02,171,Foul on Lukas Meisner.,54,66
8:56,171,Foul on Peter Barba.,54,66
8:42,2142,Foul on Hugh Baxter.,54,66
8:42,2142,Hugh Baxter Turnover.,54,66
8:26,171,Lukas Meisner made Three Point Jumper. Assisted by Tai Bibbs.,57,66
8:04,2142,Francisco Amiel missed Three Point Jumper.,57,66
8:04,171,Lukas Meisner Defensive Rebound.,57,66
7:54,171,Peter Barba made Three Point Jumper. Assisted by Mike Smith.,60,66
7:31,2142,Sean O'Brien missed Three Point Jumper.,60,66
7:31,2142,Sean O'Brien Offensive Rebound.,60,66
7:14,2142,Will Rayman missed Three Point Jumper.,60,66
7:14,171,Nate Hickman Defensive Rebound.,60,66
7:03,171,Peter Barba made Three Point Jumper. Assisted by Nate Hickman.,63,66
6:51,2142,Sean O'Brien missed Layup.,63,66
6:51,171,Lukas Meisner Block.,63,66
