SE Louisiana,2400,Mississippi Valley State,2545
7:59,2400,Nate Nahimy made Free Throw.,33,14
7:59,2400,Nate Nahimy made Free Throw.,33,15
7:42,2545,Eddy Polanco missed Three Point Jumper.,33,15
7:42,2545,Marlain Veal Offensive Rebound.,33,15
7:38,2400,Foul on Henry Taylor.,33,15
7:37,2545,Joshua Filmore missed Three Point Jumper.,33,15
7:37,2545,Marlain Veal Offensive Rebound.,33,15
7:13,2545,Marlain Veal missed Three Point Jumper.,33,15
7:13,2545,Eddy Polanco Offensive Rebound.,33,15
6:45,2545,Joshua Filmore missed Three Point Jumper.,33,15
6:45,2400,Henry Taylor Defensive Rebound.,33,15
6:20,2400,Henry Taylor missed Three Point Jumper.,33,15
6:20,2545,Joshua Filmore Defensive Rebound.,33,15
6:12,2400,Foul on Henry Taylor.,33,15
6:12,2545,Eddy Polanco made Free Throw.,34,15
6:12,2545,Eddy Polanco made Free Throw.,35,15
6:12,2545,Eddy Polanco made Free Throw.,36,15
6:03,2400,Tereke Eckwood missed Three Point Jumper.,36,15
6:03,2400,Lorenzo Hunt Offensive Rebound.,36,15
5:29,2545,Keith Charleston Turnover.,36,15
5:27,2400,Tereke Eckwood Steal.,36,15
5:23,2400,Lorenzo Hunt Turnover.,36,15
5:09,2545,Marlain Veal made Layup.,38,15
5:09,2400,Lorenzo Hunt made Layup.,38,17
5:03,2545,Foul on Moses Greenwood.,38,17
4:54,2400,Emmanuel Ejeh made Free Throw.,38,18
4:54,2400,Emmanuel Ejeh made Free Throw.,38,19
4:34,2545,Marlain Veal made Jumper.,40,19
4:21,2400,Emmanuel Ejeh made Layup. Assisted by Dante Scott.,40,21
3:54,2545,D'Angelo West missed Three Point Jumper.,40,21
3:54,2545,James Currington Offensive Rebound.,40,21
3:48,2545,James Currington missed Layup.,40,21
3:48,2400,Emmanuel Ejeh Block.,40,21
3:46,2400,Lorenzo Hunt Defensive Rebound.,40,21
3:43,2400,Lorenzo Hunt missed Layup.,40,21
3:43,2545,Marlain Veal Defensive Rebound.,40,21
3:27,2545,Jordan Capps missed Three Point Jumper.,40,21
3:27,2545,James Currington Offensive Rebound.,40,21
3:23,2400,Foul on Emmanuel Ejeh.,40,21
3:00,2400,Official TV Timeout,40,21
3:00,2545,James Currington made Free Throw.,41,21
3:00,2545,James Currington missed Free Throw.,41,21
3:00,2400,Mississippi Valley State Defensive Rebound.,41,21
2:38,2400,Lorenzo Hunt made Layup.,41,23
2:26,2545,D'Angelo West made Three Point Jumper. Assisted by James Currington.,44,23
2:03,2400,Emmanuel Ejeh Turnover.,44,23
2:03,2400,Foul on Emmanuel Ejeh.,44,23
1:53,2545,Jordan Capps made Layup. Assisted by Joshua Filmore.,46,23
1:32,2400,Jordan Evans missed Three Point Jumper.,46,23
1:32,2400,Kaleb Allison Offensive Rebound.,46,23
1:18,2400,Kaleb Allison made Layup. Assisted by Tereke Eckwood.,46,25
1:09,2545,Joshua Filmore missed Three Point Jumper.,46,25
1:09,2400,Tereke Eckwood Defensive Rebound.,46,25
1:00,2545,Foul on D'Angelo West.,46,25
1:00,2400,Tereke Eckwood made Free Throw.,46,26
1:00,2400,Tereke Eckwood made Free Throw.,46,27
0:40,2545,Jabbar Singleton missed Jumper.,46,27
0:40,2545,Brandon Gonzalez Offensive Rebound.,46,27
0:11,2545,D'Angelo West missed Three Point Jumper.,46,27
0:11,2545,James Currington Offensive Rebound.,46,27
0:05,2545,Marlain Veal missed Jumper.,46,27
0:05,2400,Dante Scott Defensive Rebound.,46,27
0:00,2400,End of 1st half,46,27
19:32,2545,Moses Greenwood missed Jumper.,46,27
19:32,2400,Dante Scott Defensive Rebound.,46,27
19:10,2400,Dante Scott made Three Point Jumper. Assisted by LaCurtis Allen.,46,30
18:37,2545,Joshua Filmore missed Three Point Jumper.,46,30
18:37,2400,Jamal Watson Defensive Rebound.,46,30
18:12,2400,Jamal Watson missed Jumper.,46,30
18:12,2545,Joshua Filmore Defensive Rebound.,46,30
18:04,2545,James Currington missed Jumper.,46,30
18:04,2400,Jamal Watson Defensive Rebound.,46,30
17:46,2400,Jamal Watson Turnover.,46,30
17:44,2545,Moses Greenwood Steal.,46,30
17:42,2545,James Currington made Dunk. Assisted by Moses Greenwood.,48,30
17:26,2545,Foul on Marlain Veal.,48,30
17:09,2400,Dante Scott made Jumper.,48,32
16:38,2545,Jabbar Singleton missed Three Point Jumper.,48,32
16:38,2400,Dante Scott Defensive Rebound.,48,32
16:32,2545,Foul on James Currington.,48,32
16:16,2400,Tereke Eckwood missed Three Point Jumper.,48,32
16:16,2545,Marlain Veal Defensive Rebound.,48,32
16:07,2545,Joshua Filmore missed Jumper.,48,32
16:07,2545,Moses Greenwood Offensive Rebound.,48,32
16:06,2400,Foul on LaCurtis Allen.,48,32
16:02,2400,Foul on Emmanuel Ejeh.,48,32
16:02,2545,Jordan Capps missed Free Throw.,48,32
16:02,2545,SE Louisiana Deadball Team Rebound.,48,32
16:02,2545,Jordan Capps missed Free Throw.,48,32
16:02,2400,Emmanuel Ejeh Defensive Rebound.,48,32
15:42,2400,Dante Scott missed Jumper.,48,32
15:42,2545,Keith Charleston Defensive Rebound.,48,32
15:17,2545,Jabbar Singleton made Three Point Jumper.,51,32
14:54,2400,Dante Scott missed Jumper.,51,32
14:54,2400,Emmanuel Ejeh Offensive Rebound.,51,32
14:48,2400,Emmanuel Ejeh made Layup.,51,34
14:37,2545,Jordan Capps missed Layup.,51,34
14:37,2400,Tereke Eckwood Block.,51,34
14:37,2545,Joshua Filmore Offensive Rebound.,51,34
14:37,2400,Foul on Lorenzo Hunt.,51,34
14:37,2400,Official TV Timeout,51,34
14:26,2545,Jordan Capps missed Layup.,51,34
14:26,2400,Emmanuel Ejeh Block.,51,34
14:25,2400,Dante Scott Defensive Rebound.,51,34
14:08,2400,Davere Creighton missed Three Point Jumper.,51,34
14:08,2400,Dante Scott Offensive Rebound.,51,34
14:02,2400,Davere Creighton missed Layup.,51,34
14:02,2545,Jordan Capps Block.,51,34
14:00,2545,Eddy Polanco Defensive Rebound.,51,34
13:48,2545,Keith Charleston Turnover.,51,34
13:48,2545,Foul on Keith Charleston.,51,34
13:18,2400,Davere Creighton missed Three Point Jumper.,51,34
13:18,2545,Keith Charleston Defensive Rebound.,51,34
13:08,2545,Jordan Capps made Layup. Assisted by Marlain Veal.,53,34
12:47,2545,Foul on Eddy Polanco.,53,34
12:47,2400,Dante Scott missed Free Throw.,53,34
12:47,2400,Mississippi Valley State Deadball Team Rebound.,53,34
12:47,2400,Dante Scott made Free Throw.,53,35
12:27,2545,Marlain Veal Turnover.,53,35
12:27,2400,Nate Nahimy Steal.,53,35
12:15,2400,Jordan Evans made Three Point Jumper. Assisted by Arinze Anakwenze.,53,38
11:59,2545,Jordan Capps Turnover.,53,38
11:58,2400,Official TV Timeout,53,38
11:49,2545,Foul on Quinton Thomas.,53,38
11:31,2400,Jordan Evans missed Jumper.,53,38
11:31,2545,Keith Charleston Defensive Rebound.,53,38
11:23,2400,Foul on Nate Nahimy.,53,38
11:14,2545,Jordan Capps Turnover.,53,38
10:55,2400,Davere Creighton made Jumper.,53,40
10:41,2400,Foul on Arinze Anakwenze.,53,40
10:32,2545,Eddy Polanco missed Three Point Jumper.,53,40
10:32,2400,Dante Scott Defensive Rebound.,53,40
10:23,2400,Nate Nahimy missed Jumper.,53,40
10:23,2400,Dante Scott Offensive Rebound.,53,40
10:06,2400,Davere Creighton missed Three Point Jumper.,53,40
10:06,2545,Marlain Veal Defensive Rebound.,53,40
9:59,2400,Foul on Arinze Anakwenze.,53,40
9:49,2400,Foul on LaCurtis Allen.,53,40
9:49,2545,Keith Charleston missed Free Throw.,53,40
9:49,2545,SE Louisiana Deadball Team Rebound.,53,40
9:49,2545,Keith Charleston missed Free Throw.,53,40
9:49,2400,Davere Creighton Defensive Rebound.,53,40
9:34,2400,Jordan Evans missed Jumper.,53,40
9:34,2400,Davere Creighton Offensive Rebound.,53,40
9:30,2400,Davere Creighton made Layup.,53,42
9:13,2545,Jordan Capps made Jumper.,55,42
9:13,2400,Foul on Davere Creighton.,55,42
9:12,2545,Jordan Capps missed Free Throw.,55,42
9:12,2400,Dante Scott Defensive Rebound.,55,42
9:02,2400,Jordan Evans missed Jumper.,55,42
9:02,2545,Joshua Filmore Defensive Rebound.,55,42
8:50,2400,Foul on LaCurtis Allen.,55,42
8:50,2545,Jordan Capps made Free Throw.,56,42
8:39,2400,Dante Scott Turnover.,56,42
8:39,2400,Foul on Dante Scott.,56,42
8:15,2545,Moses Greenwood missed Layup.,56,42
8:15,2545,SE Louisiana Offensive Rebound.,56,42
7:59,2400,Official TV Timeout,56,42
7:44,2545,Moses Greenwood made Jumper.,58,42
7:17,2545,Foul on Jordan Capps.,58,42
7:01,2545,Foul on Marlain Veal.,58,42
7:01,2400,Jordan Evans missed Free Throw.,58,42
7:01,2400,Mississippi Valley State Deadball Team Rebound.,58,42
7:01,2400,Jordan Evans made Free Throw.,58,43
7:01,2400,Jordan Evans missed Free Throw.,58,43
7:01,2545,Moses Greenwood Defensive Rebound.,58,43
6:43,2545,Moses Greenwood missed Layup.,58,43
6:43,2400,Tereke Eckwood Defensive Rebound.,58,43
6:35,2400,Jordan Evans made Layup. Assisted by Tereke Eckwood.,58,45
6:22,2545,Marlain Veal Turnover.,58,45
6:20,2400,Tereke Eckwood Steal.,58,45
6:16,2400,Jordan Evans made Layup. Assisted by Tereke Eckwood.,58,47
6:07,2545,SE Louisiana  Timeout,58,47
5:53,2400,Foul on Tereke Eckwood.,58,47
5:53,2545,Jordan Capps made Free Throw.,59,47
5:53,2545,Jordan Capps made Free Throw.,60,47
5:28,2400,Dante Scott made Layup.,60,49
5:07,2545,Marlain Veal missed Jumper.,60,49
5:07,2400,Mississippi Valley State Defensive Rebound.,60,49
4:49,2400,Jordan Evans made Three Point Jumper. Assisted by Dante Scott.,60,52
4:30,2545,Joshua Filmore missed Three Point Jumper.,60,52
4:30,2400,Jamal Watson Defensive Rebound.,60,52
4:12,2400,Dante Scott missed Jumper.,60,52
4:12,2545,Joshua Filmore Defensive Rebound.,60,52
3:53,2400,Foul on Lorenzo Hunt.,60,52
3:53,2545,Jordan Capps made Free Throw.,61,52
3:53,2545,Jordan Capps made Free Throw.,62,52
3:33,2400,Jamal Watson made Dunk. Assisted by Jeffery Lewis.,62,54
3:06,2545,Jordan Capps Turnover.,62,54
2:52,2400,Jordan Evans missed Jumper.,62,54
2:52,2545,Jordan Capps Defensive Rebound.,62,54
2:50,2400,Foul on Jordan Evans.,62,54
2:50,2545,Jordan Capps missed Free Throw.,62,54
2:50,2545,SE Louisiana Deadball Team Rebound.,62,54
2:50,2545,Jordan Capps made Free Throw.,63,54
2:36,2400,Jordan Evans made Jumper. Assisted by Jamal Watson.,63,56
2:17,2400,Foul on Tereke Eckwood.,63,56
2:17,2545,Marlain Veal made Free Throw.,64,56
2:17,2545,Marlain Veal made Free Throw.,65,56
2:17,2545,SE Louisiana  Timeout,65,56
2:07,2545,Foul on Jordan Capps.,65,56
2:07,2400,Tereke Eckwood missed Free Throw.,65,56
2:07,2400,Mississippi Valley State Deadball Team Rebound.,65,56
2:07,2400,Tereke Eckwood made Free Throw.,65,57
1:58,2545,James Currington made Dunk. Assisted by Jabbar Singleton.,67,57
1:48,2400,Tereke Eckwood missed Three Point Jumper.,67,57
1:48,2400,Jordan Evans Offensive Rebound.,67,57
1:42,2400,Jordan Evans missed Layup.,67,57
1:42,2545,James Currington Defensive Rebound.,67,57
1:28,2545,Jordan Capps made Layup. Assisted by Marlain Veal.,69,57
1:28,2400,Foul on Dante Scott.,69,57
1:28,2545,Jordan Capps missed Free Throw.,69,57
1:28,2400,Tereke Eckwood Defensive Rebound.,69,57
1:24,2400,Lorenzo Hunt made Jumper.,69,59
0:55,2545,Joshua Filmore missed Three Point Jumper.,69,59
0:55,2400,Jordan Evans Defensive Rebound.,69,59
0:45,2400,Lorenzo Hunt Turnover.,69,59
0:44,2545,Joshua Filmore Steal.,69,59
0:41,2545,Joshua Filmore made Layup.,71,59
0:37,2400,Tereke Eckwood Turnover.,71,59
0:36,2545,Jabbar Singleton Steal.,71,59
0:10,2545,Joshua Filmore missed Three Point Jumper.,71,59
0:10,2545,James Currington Offensive Rebound.,71,59
0:04,2545,James Currington made Dunk.,73,59
0:00,2400,End of Game,73,59
