Morehead St,259,Virginia Tech,2413
18:45,259,Nickeil Alexander-Walker made Layup.,23,55
18:27,2413,Djimon Henson made Jumper.,25,55
17:57,259,Ahmed Hill missed Layup.,25,55
17:57,2413,Alonzo Chatman Defensive Rebound.,25,55
17:53,259,Foul on Justin Robinson.,25,55
17:46,2413,Alonzo Chatman Turnover.,25,55
17:46,2413,Foul on Alonzo Chatman.,25,55
17:29,259,Ahmed Hill Turnover.,25,55
17:15,2413,Adrian Hicks Turnover.,25,55
17:03,259,Nickeil Alexander-Walker made Layup.,25,57
16:45,2413,Trell Thompson missed Three Point Jumper.,25,57
16:45,2413,Djimon Henson Offensive Rebound.,25,57
16:41,2413,Djimon Henson made Layup.,27,57
16:27,259,Justin Bibbs made Three Point Jumper. Assisted by Ahmed Hill.,27,60
16:00,2413,Trell Thompson made Jumper.,29,60
15:34,259,Justin Bibbs missed Three Point Jumper.,29,60
15:34,2413,Adrian Hicks Defensive Rebound.,29,60
15:26,2413,Trell Thompson missed Three Point Jumper.,29,60
15:26,2413,Alonzo Chatman Offensive Rebound.,29,60
15:21,2413,Adrian Hicks made Three Point Jumper. Assisted by Alonzo Chatman.,32,60
14:58,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Justin Bibbs.,32,63
14:40,2413,Djimon Henson missed Three Point Jumper.,32,63
14:31,2413,Alonzo Chatman Offensive Rebound.,32,63
14:22,259,Foul on Wabissa Bede.,32,63
14:22,259,Official TV Timeout,32,63
14:22,2413,Alonzo Chatman made Free Throw.,33,63
14:22,2413,Alonzo Chatman missed Free Throw.,33,63
14:22,2413,Morehead State Offensive Rebound.,33,63
13:57,2413,Adrian Hicks missed Jumper.,33,63
13:57,259,Defensive Rebound.,33,63
13:37,259,Chris Clarke Turnover.,33,63
13:09,259,Foul on  .,33,63
13:09,2413,Adrian Hicks missed Free Throw.,33,63
13:09,2413,Morehead State Deadball Team Rebound.,33,63
13:09,2413,Adrian Hicks made Free Throw.,34,63
12:58,259,made Layup. Assisted by Chris Clarke.,34,65
12:58,2413,Foul on James Baker.,34,65
12:58,259,made Free Throw.,34,66
12:40,2413,Alonzo Chatman made Layup. Assisted by Richard Feagin.,36,66
12:25,259,Chris Clarke missed Three Point Jumper.,36,66
12:25,2413,Adrian Hicks Defensive Rebound.,36,66
12:17,2413,Adrian Hicks missed Layup.,36,66
12:17,259,Chris Clarke Defensive Rebound.,36,66
12:15,259,Chris Clarke Turnover.,36,66
12:13,2413,James Baker made Dunk.,38,66
11:52,259,Justin Bibbs missed Three Point Jumper.,38,66
11:52,2413,Adrian Hicks Defensive Rebound.,38,66
11:45,2413,Adrian Hicks missed Layup.,38,66
11:45,2413,Trell Thompson Offensive Rebound.,38,66
11:42,2413,Trell Thompson missed Two Point Tip Shot.,38,66
11:42,2413,Trell Thompson Offensive Rebound.,38,66
11:39,2413,Trell Thompson missed Layup.,38,66
11:39,259,Defensive Rebound.,38,66
11:34,259,Wabissa Bede missed Three Point Jumper.,38,66
11:34,2413,James Baker Defensive Rebound.,38,66
11:27,2413,Richard Feagin missed Three Point Jumper.,38,66
11:27,259,Chris Clarke Defensive Rebound.,38,66
11:18,259,Chris Clarke Turnover.,38,66
11:18,259,Foul on Chris Clarke.,38,66
11:18,259,Official TV Timeout,38,66
11:18,2413,Morehead State  Timeout,38,66
11:02,2413,De'Von Cooper Turnover.,38,66
10:49,259,Ahmed Hill made Three Point Jumper. Assisted by Chris Clarke.,38,69
10:47,259,Virginia Tech  Timeout,38,69
10:36,2413,James Baker missed Three Point Jumper.,38,69
10:36,259,Chris Clarke Defensive Rebound.,38,69
10:20,259,P.J. Horne missed Layup.,38,69
10:20,2413,James Baker Block.,38,69
10:18,259,P.J. Horne Offensive Rebound.,38,69
10:16,259,P.J. Horne made Layup.,38,71
10:00,2413,Malek Green made Dunk. Assisted by Djimon Henson.,40,71
9:49,259,Justin Robinson made Layup.,40,73
9:49,2413,Foul on Richard Feagin.,40,73
9:49,259,Justin Robinson made Free Throw.,40,74
9:31,2413,Djimon Henson made Layup.,42,74
9:23,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,42,77
9:04,2413,Malek Green Turnover.,42,77
9:02,259,Chris Clarke Turnover.,42,77
8:49,259,Foul on Justin Robinson.,42,77
8:43,2413,Cedric Wright missed Layup.,42,77
8:43,259,Chris Clarke Block.,42,77
8:41,259,Nickeil Alexander-Walker Defensive Rebound.,42,77
8:34,259,P.J. Horne made Layup. Assisted by Chris Clarke.,42,79
8:33,2413,Foul on Cedric Wright.,42,79
8:33,259,P.J. Horne made Free Throw.,42,80
8:29,2413,Jordan Walker Turnover.,42,80
8:28,259,Tyrie Jackson Steal.,42,80
8:26,259,Devin Wilson made Layup. Assisted by Nickeil Alexander-Walker.,42,82
8:11,2413,Jordan Walker Turnover.,42,82
8:11,259,Virginia Tech  Timeout,42,82
8:02,259,Chris Clarke Turnover.,42,82
8:01,2413,Djimon Henson Steal.,42,82
7:49,2413,Cedric Wright made Layup. Assisted by Londell King.,44,82
7:31,259,P.J. Horne Turnover.,44,82
7:31,259,Foul on P.J. Horne.,44,82
7:23,2413,Jordan Walker made Three Point Jumper. Assisted by Adrian Hicks.,47,82
7:06,259,Devin Wilson Turnover.,47,82
7:05,2413,Cedric Wright Steal.,47,82
7:02,259,Foul on Tyrie Jackson.,47,82
7:02,2413,Adrian Hicks missed Free Throw.,47,82
7:02,2413,Londell King Offensive Rebound.,47,82
7:01,2413,Londell King made Layup.,49,82
7:01,259,Foul on Chris Clarke.,49,82
7:01,2413,Londell King made Free Throw.,50,82
6:50,259,Nickeil Alexander-Walker missed Jumper.,50,82
6:50,2413,Adrian Hicks Defensive Rebound.,50,82
6:39,2413,Djimon Henson Turnover.,50,82
6:36,259,Nickeil Alexander-Walker Steal.,50,82
6:33,259,Nickeil Alexander-Walker made Layup.,50,84
6:20,2413,Cedric Wright missed Jumper.,50,84
6:20,259,Defensive Rebound.,50,84
6:00,259,missed Jumper.,50,84
6:00,2413,Londell King Defensive Rebound.,50,84
5:50,2413,Jordan Walker Turnover.,50,84
5:49,259,Tyrie Jackson Steal.,50,84
5:44,259,Tyrie Jackson missed Layup.,50,84
5:44,2413,Londell King Block.,50,84
5:41,2413,Londell King Defensive Rebound.,50,84
5:26,2413,Cedric Wright made Layup.,52,84
5:23,259,Foul on  .,52,84
5:23,2413,Cedric Wright made Free Throw.,53,84
5:02,259,Devin Wilson missed Three Point Jumper.,53,84
5:02,2413,Morehead State Defensive Rebound.,53,84
4:37,2413,Trell Thompson made Layup.,55,84
4:10,259,Devin Wilson made Layup.,55,86
3:57,2413,Lamontray Harris missed Jumper.,55,86
3:57,259,P.J. Horne Defensive Rebound.,55,86
3:47,259,Tyrie Jackson made Three Point Jumper. Assisted by Wabissa Bede.,55,89
3:23,2413,Trell Thompson made Layup. Assisted by Adrian Hicks.,57,89
3:23,259,Foul on Justin Bibbs.,57,89
3:23,259,Official TV Timeout,57,89
3:23,2413,Trell Thompson missed Free Throw.,57,89
3:23,259,Tyrie Jackson Defensive Rebound.,57,89
3:06,259,Justin Bibbs missed Three Point Jumper.,57,89
3:06,259,Tyrie Jackson Offensive Rebound.,57,89
3:00,2413,Foul on Richard Feagin.,57,89
3:00,259,Tyrie Jackson made Free Throw.,57,90
3:00,259,Tyrie Jackson made Free Throw.,57,91
2:39,2413,Cedric Wright Turnover.,57,91
2:39,2413,Foul on Cedric Wright.,57,91
2:29,259,Justin Bibbs missed Layup.,57,91
2:29,2413,Cedric Wright Defensive Rebound.,57,91
2:16,2413,Londell King made Jumper.,59,91
2:03,2413,Foul on De'Von Cooper.,59,91
2:03,259,Tyrie Jackson made Free Throw.,59,92
2:03,259,Tyrie Jackson missed Free Throw.,59,92
2:03,2413,Cedric Wright Defensive Rebound.,59,92
1:47,259,Foul on P.J. Horne.,59,92
1:47,2413,Trell Thompson made Free Throw.,60,92
1:47,2413,Trell Thompson made Free Throw.,61,92
1:33,2413,Foul on Cedric Wright.,61,92
1:33,259,P.J. Horne made Free Throw.,61,93
1:33,259,P.J. Horne made Free Throw.,61,94
1:22,259,Foul on Devin Wilson.,61,94
1:22,2413,Londell King missed Free Throw.,61,94
1:22,2413,Morehead State Deadball Team Rebound.,61,94
1:22,2413,Londell King missed Free Throw.,61,94
1:22,2413,Morehead State Offensive Rebound.,61,94
1:16,2413,De'Von Cooper missed Jumper.,61,94
1:16,259,Wabissa Bede Defensive Rebound.,61,94
1:05,259,Wabissa Bede missed Layup.,61,94
1:05,2413,Londell King Block.,61,94
1:05,259,Virginia Tech Offensive Rebound.,61,94
1:05,259,Virginia Tech  Timeout,61,94
1:05,2413,Foul on De'Von Cooper.,61,94
1:05,259,Justin Ammerman made Free Throw.,61,95
1:05,259,Justin Ammerman made Free Throw.,61,96
0:54,2413,Cedric Wright made Layup. Assisted by De'Von Cooper.,63,96
0:23,259,Devin Wilson missed Three Point Jumper.,63,96
0:23,2413,Richard Feagin Defensive Rebound.,63,96
0:17,2413,Trell Thompson missed Layup.,63,96
0:17,259,Tyrie Jackson Defensive Rebound.,63,96
0:00,259,End of Game,63,96
