McNeese,235,Memphis,2377
13:04,235,K.J. Lawson Turnover.,3,19
12:51,2377,Kalob Ledoux missed Jumper.,3,19
12:51,235,Markel Crawford Defensive Rebound.,3,19
12:43,235,Craig Randall II made Three Point Jumper. Assisted by Markel Crawford.,3,22
12:26,2377,Jarren Greenwood made Jumper.,5,22
11:54,235,Christian Kessee missed Layup.,5,22
11:54,235,Dedric Lawson Offensive Rebound.,5,22
11:50,235,Dedric Lawson made Two Point Tip Shot.,5,24
11:35,2377,Jarren Greenwood missed Three Point Jumper.,5,24
11:35,235,Dedric Lawson Defensive Rebound.,5,24
11:22,235,Markel Crawford made Three Point Jumper. Assisted by Dedric Lawson.,5,27
10:52,2377,Jarren Greenwood made Three Point Jumper. Assisted by Jacob Ledoux.,8,27
10:37,235,Dedric Lawson missed Three Point Jumper.,8,27
10:37,2377,Kalob Ledoux Defensive Rebound.,8,27
10:28,2377,Foul on Kalob Ledoux.,8,27
10:28,2377,Kalob Ledoux Turnover.,8,27
10:28,235,Official TV Timeout,8,27
10:17,235,Jeremiah Martin missed Layup.,8,27
10:17,235,K.J. Lawson Offensive Rebound.,8,27
10:11,235,Jake McDowell missed Layup.,8,27
10:11,2377,LaBarrius Hill Defensive Rebound.,8,27
9:58,2377,LaBarrius Hill missed Jumper.,8,27
9:58,235,Craig Randall II Defensive Rebound.,8,27
9:50,235,Christian Kessee missed Three Point Jumper.,8,27
9:50,2377,Jacob Ledoux Defensive Rebound.,8,27
9:37,2377,LaBarrius Hill made Layup. Assisted by James Harvey.,10,27
9:12,235,Craig Randall II made Three Point Jumper. Assisted by Christian Kessee.,10,30
9:02,2377,James Harvey missed Three Point Jumper.,10,30
9:02,235,Craig Randall II Defensive Rebound.,10,30
8:44,235,Jake McDowell made Layup. Assisted by K.J. Lawson.,10,32
8:31,235,Foul on Jeremiah Martin.,10,32
8:31,2377,Jarren Greenwood made Free Throw.,11,32
8:31,2377,Jarren Greenwood made Free Throw.,12,32
8:12,235,Chad Rykhoek missed Jumper.,12,32
8:12,2377,Lance Potier Defensive Rebound.,12,32
8:02,2377,Jamaya Burr Turnover.,12,32
7:44,235,Craig Randall II missed Three Point Jumper.,12,32
7:44,2377,LaBarrius Hill Defensive Rebound.,12,32
7:43,235,Foul on Chad Rykhoek.,12,32
7:43,235,Official TV Timeout,12,32
7:43,2377,LaBarrius Hill made Free Throw.,13,32
7:43,2377,LaBarrius Hill made Free Throw.,14,32
7:27,235,Christian Kessee missed Three Point Jumper.,14,32
7:27,2377,Lance Potier Defensive Rebound.,14,32
7:19,2377,Jacob Ledoux made Layup.,16,32
6:54,235,Craig Randall II made Layup.,16,34
6:53,2377,Foul on Lance Potier.,16,34
6:53,235,Craig Randall II missed Free Throw.,16,34
6:53,2377,LaBarrius Hill Defensive Rebound.,16,34
6:32,2377,Lance Potier missed Three Point Jumper.,16,34
6:32,2377,James Harvey Offensive Rebound.,16,34
6:28,2377,James Harvey missed Jumper.,16,34
6:28,2377,McNeese Offensive Rebound.,16,34
6:20,2377,James Harvey made Three Point Jumper. Assisted by Jamaya Burr.,19,34
6:00,235,Craig Randall II Turnover.,19,34
5:35,235,Foul on Jake McDowell.,19,34
5:35,2377,Jamaya Burr missed Free Throw.,19,34
5:35,2377,McNeese Deadball Team Rebound.,19,34
5:35,2377,Jamaya Burr made Free Throw.,20,34
5:05,235,K.J. Lawson missed Layup.,20,34
5:05,235,Jake McDowell Offensive Rebound.,20,34
5:04,235,Jake McDowell missed Two Point Tip Shot.,20,34
5:04,235,Jake McDowell Offensive Rebound.,20,34
4:48,235,Jeremiah Martin Turnover.,20,34
4:46,2377,Jacob Ledoux Steal.,20,34
4:43,2377,Jacob Ledoux Turnover.,20,34
4:41,235,Keon Clergeot Steal.,20,34
4:38,235,Craig Randall II missed Layup.,20,34
4:38,2377,Jacob Ledoux Defensive Rebound.,20,34
4:31,2377,Jacob Ledoux missed Jumper.,20,34
4:31,235,K.J. Lawson Defensive Rebound.,20,34
4:02,235,Keon Clergeot missed Three Point Jumper.,20,34
4:02,235,Jeremiah Martin Offensive Rebound.,20,34
3:54,235,K.J. Lawson missed Jumper.,20,34
3:54,2377,Jacob Ledoux Defensive Rebound.,20,34
3:40,2377,Foul on Lance Potier.,20,34
3:40,2377,Lance Potier Turnover.,20,34
3:40,235,Official TV Timeout,20,34
3:11,235,Craig Randall II made Three Point Jumper. Assisted by K.J. Lawson.,20,37
2:50,2377,James Harvey made Three Point Jumper.,23,37
2:32,235,K.J. Lawson missed Jumper.,23,37
2:32,2377,Lance Potier Block.,23,37
2:32,235,Craig Randall II Offensive Rebound.,23,37
2:27,235,Craig Randall II missed Layup.,23,37
2:27,2377,Lance Potier Block.,23,37
2:27,235,Memphis Offensive Rebound.,23,37
2:17,235,Jeremiah Martin missed Three Point Jumper.,23,37
2:17,235,Dedric Lawson Offensive Rebound.,23,37
2:10,235,K.J. Lawson made Layup. Assisted by Dedric Lawson.,23,39
1:50,2377,James Harvey missed Jumper.,23,39
1:50,2377,Lance Potier Offensive Rebound.,23,39
1:32,2377,Kalob Ledoux Turnover.,23,39
1:31,235,Jeremiah Martin Steal.,23,39
1:29,235,Jeremiah Martin made Dunk.,23,41
1:18,2377,LaBarrius Hill missed Jumper.,23,41
1:18,235,K.J. Lawson Defensive Rebound.,23,41
1:16,2377,Foul on Lance Potier.,23,41
0:54,235,Craig Randall II missed Three Point Jumper.,23,41
0:54,235,K.J. Lawson Offensive Rebound.,23,41
0:50,235,Dedric Lawson made Layup. Assisted by Jeremiah Martin.,23,43
0:25,235,Foul on K.J. Lawson.,23,43
0:25,2377,Adrian Brown made Free Throw.,24,43
0:25,2377,Adrian Brown missed Free Throw.,24,43
0:25,235,Markel Crawford Defensive Rebound.,24,43
0:03,235,Jeremiah Martin missed Three Point Jumper.,24,43
0:03,235,Memphis Deadball Team Rebound.,24,43
0:00,235,End of 1st half,24,43
19:46,2377,Lance Potier made Jumper.,26,43
19:25,235,Dedric Lawson Turnover.,26,43
19:24,2377,James Harvey Steal.,26,43
19:19,2377,Jamaya Burr Turnover.,26,43
19:18,235,Markel Crawford Steal.,26,43
19:06,235,Jimario Rivers missed Jumper.,26,43
19:06,2377,McNeese Defensive Rebound.,26,43
18:46,2377,LaBarrius Hill Turnover.,26,43
18:44,235,Dedric Lawson Steal.,26,43
18:37,235,Dedric Lawson missed Layup.,26,43
18:37,2377,Jamaya Burr Defensive Rebound.,26,43
18:28,2377,James Harvey made Jumper. Assisted by Jamaya Burr.,28,43
18:10,235,K.J. Lawson made Jumper.,28,45
17:52,2377,Jarren Greenwood made Jumper.,30,45
17:44,235,Dedric Lawson made Three Point Jumper. Assisted by Jeremiah Martin.,30,48
17:11,2377,James Harvey Turnover.,30,48
17:09,235,Dedric Lawson Steal.,30,48
17:06,235,Jeremiah Martin made Dunk. Assisted by Dedric Lawson.,30,50
16:46,2377,Jarren Greenwood missed Jumper.,30,50
16:46,2377,LaBarrius Hill Offensive Rebound.,30,50
16:40,2377,LaBarrius Hill made Layup.,32,50
16:31,235,Markel Crawford missed Three Point Jumper.,32,50
16:31,235,Markel Crawford Offensive Rebound.,32,50
16:27,235,Dedric Lawson made Three Point Jumper. Assisted by Markel Crawford.,32,53
15:59,2377,Jarren Greenwood missed Layup.,32,53
15:59,235,K.J. Lawson Defensive Rebound.,32,53
15:53,235,Jeremiah Martin made Layup. Assisted by K.J. Lawson.,32,55
15:53,2377,Foul on Lance Potier.,32,55
15:53,235,Official TV Timeout,32,55
15:53,235,Jeremiah Martin missed Free Throw.,32,55
15:53,2377,Adrian Brown Defensive Rebound.,32,55
15:30,2377,Richard Laku missed Three Point Jumper.,32,55
15:30,235,Jimario Rivers Block.,32,55
15:30,235,Jimario Rivers Defensive Rebound.,32,55
15:25,235,K.J. Lawson made Layup. Assisted by Jeremiah Martin.,32,57
15:18,2377,James Harvey missed Layup.,32,57
15:18,2377,Richard Laku Offensive Rebound.,32,57
15:17,2377,Richard Laku made Two Point Tip Shot.,34,57
14:58,235,Dedric Lawson made Jumper. Assisted by K.J. Lawson.,34,59
14:43,2377,Adrian Brown missed Jumper.,34,59
14:43,235,Markel Crawford Defensive Rebound.,34,59
14:33,2377,Foul on Adrian Brown.,34,59
14:28,235,Markel Crawford missed Three Point Jumper.,34,59
14:28,2377,McNeese Defensive Rebound.,34,59
14:18,2377,Jamaya Burr missed Three Point Jumper.,34,59
14:18,235,Dedric Lawson Defensive Rebound.,34,59
14:10,235,Jimario Rivers made Layup. Assisted by Jeremiah Martin.,34,61
13:58,2377,Jamaya Burr made Layup.,36,61
13:52,235,Jimario Rivers made Dunk. Assisted by Jeremiah Martin.,36,63
13:26,2377,Jamaya Burr missed Jumper.,36,63
13:26,235,Dedric Lawson Defensive Rebound.,36,63
13:16,235,Dedric Lawson missed Three Point Jumper.,36,63
13:16,235,Jimario Rivers Offensive Rebound.,36,63
13:08,235,Craig Randall II missed Three Point Jumper.,36,63
13:08,2377,Jamaya Burr Defensive Rebound.,36,63
13:01,2377,Jamaya Burr made Layup.,38,63
12:36,235,Craig Randall II made Three Point Jumper. Assisted by Dedric Lawson.,38,66
12:23,2377,Adrian Brown Turnover.,38,66
12:22,235,Jimario Rivers Steal.,38,66
12:20,235,Markel Crawford made Dunk. Assisted by Jeremiah Martin.,38,68
12:07,2377,McNeese  Timeout,38,68
12:06,2377,McNeese  Timeout,38,68
11:58,2377,Kalob Ledoux Turnover.,38,68
11:57,235,Craig Randall II Steal.,38,68
11:54,2377,Foul on Jacob Ledoux.,38,68
11:54,235,Official TV Timeout,38,68
11:54,235,Craig Randall II missed Free Throw.,38,68
11:54,235,Memphis Deadball Team Rebound.,38,68
11:54,235,Craig Randall II made Free Throw.,38,69
11:47,2377,Kalob Ledoux missed Jumper.,38,69
11:47,235,Dedric Lawson Defensive Rebound.,38,69
11:16,235,Keon Clergeot made Layup. Assisted by Dedric Lawson.,38,71
11:06,2377,Jacob Ledoux made Layup.,40,71
10:57,2377,Foul on Richard Laku.,40,71
10:54,235,Chad Rykhoek made Jumper.,40,73
10:47,235,Foul on Keon Clergeot.,40,73
10:28,2377,Kalob Ledoux missed Three Point Jumper.,40,73
10:28,235,Dedric Lawson Defensive Rebound.,40,73
10:21,2377,Foul on Kalob Ledoux.,40,73
10:21,235,Chad Rykhoek missed Free Throw.,40,73
10:21,235,Memphis Deadball Team Rebound.,40,73
10:21,235,Chad Rykhoek missed Free Throw.,40,73
10:21,2377,James Harvey Defensive Rebound.,40,73
10:03,2377,Howard Thomas missed Layup.,40,73
10:03,235,Craig Randall II Block.,40,73
10:03,2377,Howard Thomas Offensive Rebound.,40,73
9:59,2377,Howard Thomas missed Layup.,40,73
9:59,235,Chad Rykhoek Block.,40,73
9:59,235,Dedric Lawson Defensive Rebound.,40,73
9:54,2377,Foul on Jacob Ledoux.,40,73
9:54,235,Keon Clergeot missed Free Throw.,40,73
9:54,235,Memphis Deadball Team Rebound.,40,73
9:54,235,Keon Clergeot made Free Throw.,40,74
9:47,2377,James Harvey Turnover.,40,74
9:36,235,Craig Randall II made Three Point Jumper. Assisted by Christian Kessee.,40,77
9:08,2377,Lance Potier missed Layup.,40,77
9:08,235,Chad Rykhoek Defensive Rebound.,40,77
9:01,235,Jimario Rivers made Layup. Assisted by Craig Randall II.,40,79
8:51,235,Foul on Chad Rykhoek.,40,79
8:51,2377,Jarren Greenwood missed Free Throw.,40,79
8:51,2377,McNeese Deadball Team Rebound.,40,79
8:51,2377,Jarren Greenwood made Free Throw.,41,79
8:29,2377,Foul on Jacob Ledoux.,41,79
8:29,235,Craig Randall II missed Free Throw.,41,79
8:29,2377,Lance Potier Defensive Rebound.,41,79
8:15,2377,Howard Thomas Turnover.,41,79
8:11,235,Keon Clergeot made Dunk. Assisted by Christian Kessee.,41,81
7:56,2377,James Harvey missed Three Point Jumper.,41,81
7:56,235,Keon Clergeot Defensive Rebound.,41,81
7:47,235,Official TV Timeout,41,81
7:45,235,Dedric Lawson missed Jumper.,41,81
7:45,2377,Jacob Ledoux Defensive Rebound.,41,81
7:39,2377,Jacob Ledoux Turnover.,41,81
7:37,235,Chad Rykhoek Steal.,41,81
7:35,235,Chad Rykhoek Turnover.,41,81
7:34,2377,Adrian Brown Steal.,41,81
7:32,235,Chad Rykhoek Defensive Rebound.,41,81
7:32,2377,Adrian Brown missed Layup.,41,81
7:24,2377,Foul on Adrian Brown.,41,81
7:24,235,Chad Rykhoek made Free Throw.,41,82
7:24,235,Chad Rykhoek missed Free Throw.,41,82
7:24,2377,Lance Potier Defensive Rebound.,41,82
7:24,2377,Foul on Adrian Brown.,41,81
7:18,2377,James Harvey made Three Point Jumper. Assisted by Jamaya Burr.,44,82
6:48,235,Christian Kessee made Jumper.,44,84
6:33,2377,Adrian Brown missed Jumper.,44,84
6:33,235,Dedric Lawson Defensive Rebound.,44,84
6:24,235,Chad Rykhoek made Dunk. Assisted by Christian Kessee.,44,86
6:11,235,Foul on Chad Rykhoek.,44,86
6:11,2377,Jacob Ledoux missed Free Throw.,44,86
6:11,2377,McNeese Deadball Team Rebound.,44,86
6:11,2377,Jacob Ledoux missed Free Throw.,44,86
6:11,235,K.J. Lawson Defensive Rebound.,44,86
5:56,235,Christian Kessee made Jumper. Assisted by Markel Crawford.,44,88
5:28,2377,Lance Potier missed Layup.,44,88
5:28,235,Jimario Rivers Block.,44,88
5:28,2377,Lance Potier Offensive Rebound.,44,88
5:25,2377,Lance Potier made Layup.,46,88
5:19,235,Foul on Christian Kessee.,46,88
5:19,235,Christian Kessee Turnover.,46,88
5:11,2377,Jamaya Burr made Jumper.,48,88
4:46,235,Jimario Rivers made Layup. Assisted by K.J. Lawson.,48,90
4:32,2377,Jamaya Burr missed Jumper.,48,90
4:32,2377,LaBarrius Hill Offensive Rebound.,48,90
4:28,2377,LaBarrius Hill made Layup.,50,90
4:28,235,Foul on Jimario Rivers.,50,90
4:28,2377,LaBarrius Hill made Free Throw.,51,90
4:20,235,K.J. Lawson made Layup. Assisted by Markel Crawford.,51,92
4:08,2377,LaBarrius Hill made Jumper. Assisted by Jarren Greenwood.,53,92
4:08,235,Foul on Markel Crawford.,53,92
4:08,2377,LaBarrius Hill missed Free Throw.,53,92
4:08,235,Markel Crawford Defensive Rebound.,53,92
3:48,235,Keon Clergeot made Three Point Jumper. Assisted by Markel Crawford.,53,95
3:37,235,Foul on Jimario Rivers.,53,95
3:37,235,Official TV Timeout,53,95
3:37,2377,Jacob Ledoux made Free Throw.,54,95
3:37,2377,Jacob Ledoux made Free Throw.,55,95
3:27,235,Jonathan Bins missed Jumper.,55,95
3:27,2377,LaBarrius Hill Block.,55,95
3:27,235,Memphis Offensive Rebound.,55,95
3:20,235,Alex Moffatt Turnover.,55,95
3:20,2377,Jarren Greenwood Steal.,55,95
3:17,2377,Jarren Greenwood Turnover.,55,95
3:16,235,Christian Kessee Steal.,55,95
3:05,235,Keon Clergeot missed Three Point Jumper.,55,95
3:05,235,Jonathan Bins Offensive Rebound.,55,95
2:57,235,Jonathan Bins made Three Point Jumper. Assisted by Christian Kessee.,55,98
2:38,2377,Foul on Jacob Ledoux.,55,98
2:38,2377,Jacob Ledoux Turnover.,55,98
2:38,235,Alex Moffatt Turnover.,55,98
2:37,2377,Jamaya Burr Steal.,55,98
2:35,2377,Jamaya Burr made Layup.,57,98
2:13,235,Christian Kessee missed Jumper.,57,98
2:13,2377,Jamaya Burr Defensive Rebound.,57,98
2:06,2377,Jarren Greenwood made Three Point Jumper. Assisted by Jamaya Burr.,60,98
1:45,2377,Foul on LaBarrius Hill.,60,98
1:45,235,Keon Clergeot made Free Throw.,60,99
1:45,235,Keon Clergeot made Free Throw.,60,100
1:38,2377,Jarren Greenwood made Jumper. Assisted by Jamaya Burr.,62,100
1:20,235,Kaleb Castro made Three Point Jumper. Assisted by Jonathan Bins.,62,103
1:08,2377,Lance Potier missed Jumper.,62,103
1:08,235,Kaleb Castro Defensive Rebound.,62,103
0:57,235,Keon Clergeot missed Layup.,62,103
0:57,2377,Richard Laku Defensive Rebound.,62,103
0:52,2377,Jamaya Burr made Layup.,64,103
0:52,235,Foul on Alex Moffatt.,64,103
0:52,2377,Jamaya Burr made Free Throw.,65,103
0:50,2377,Foul on Jamaya Burr.,65,103
0:50,235,Keon Clergeot missed Free Throw.,65,103
0:50,235,Memphis Deadball Team Rebound.,65,103
0:50,235,Keon Clergeot made Free Throw.,65,104
0:41,2377,James Harvey missed Three Point Jumper.,65,104
0:41,2377,Richard Laku Offensive Rebound.,65,104
0:38,2377,Richard Laku Turnover.,65,104
0:25,235,Jonathan Bins Turnover.,65,104
0:04,235,Foul on Kaleb Castro.,65,104
0:04,2377,Jamaya Burr missed Free Throw.,65,104
0:04,235,Jake McDowell Defensive Rebound.,65,104
0:00,235,End of 2nd half,65,104
0:00,235,End of Game,65,104
