Florida A&amp;M,151,East Carolina,50
0:29,50,Desmond Williams made Jumper. Assisted by Elijah Mays.,21,46
0:18,151,East Carolina  Timeout,21,46
0:00,151,End of 1st half,21,46
19:50,151,Foul on Andre Washington.,21,46
19:41,50,Desmond Williams made Jumper.,23,46
19:21,151,Caleb White missed Three Point Jumper.,23,46
19:21,151,Andre Washington Offensive Rebound.,23,46
19:18,151,Andre Washington made Jumper.,23,48
19:03,151,Foul on Andre Washington.,23,48
18:47,50,Trey Warren missed Jumper.,23,48
18:47,151,Andre Washington Block.,23,48
18:46,151,Caleb White Defensive Rebound.,23,48
18:37,151,B.J. Tyson Turnover.,23,48
18:36,50,K'Ja Johnson Steal.,23,48
18:33,50,Desmond Williams made Layup.,25,48
18:02,50,Foul on Trey Warren.,25,48
18:02,151,B.J. Tyson made Free Throw.,25,49
18:02,151,B.J. Tyson made Free Throw.,25,50
17:56,50,K'Ja Johnson made Layup.,27,50
17:40,50,Foul on Leon Williams.,27,50
17:40,151,Andre Washington missed Free Throw.,27,50
17:40,151,East Carolina Deadball Team Rebound.,27,50
17:40,151,Andre Washington made Free Throw.,27,51
17:27,50,Desmond Williams made Jumper. Assisted by K'Ja Johnson.,29,51
17:01,151,Kentrell Barkley made Three Point Jumper.,29,54
16:43,151,Foul on Kentrell Barkley.,29,54
16:43,50,Desmond Williams missed Free Throw.,29,54
16:43,50,Florida A&M Deadball Team Rebound.,29,54
16:43,50,Desmond Williams made Free Throw.,30,54
16:41,50,Foul on Leon Williams.,30,54
16:21,151,B.J. Tyson missed Three Point Jumper.,30,54
16:21,50,Marcus Barham Defensive Rebound.,30,54
16:13,151,Foul on Caleb White.,30,54
16:13,50,Desmond Williams made Free Throw.,31,54
16:13,50,Desmond Williams made Free Throw.,32,54
15:56,151,B.J. Tyson made Jumper. Assisted by Caleb White.,32,56
15:45,50,Trey Warren made Jumper.,34,56
15:27,151,Foul on Andre Washington.,34,56
15:27,151,Andre Washington Turnover.,34,56
15:27,151,Official TV Timeout,34,56
15:00,50,Marcus Barham missed Jumper.,34,56
15:00,50,Trey Warren Offensive Rebound.,34,56
14:58,50,Trey Warren made Layup.,36,56
14:38,151,Caleb White missed Three Point Jumper.,36,56
14:38,50,Desmond Williams Block.,36,56
14:36,151,Caleb White Offensive Rebound.,36,56
14:34,151,Kentrell Barkley missed Three Point Jumper.,36,56
14:34,50,K'Ja Johnson Defensive Rebound.,36,56
14:26,50,Marcus Barham missed Layup.,36,56
14:26,151,Kentrell Barkley Block.,36,56
14:26,50,Florida A&M Offensive Rebound.,36,56
14:06,151,Foul on Jabari Craig.,36,56
14:03,50,Foul on Trey Warren.,36,56
14:03,50,Trey Warren Turnover.,36,56
13:47,151,Kentrell Barkley Turnover.,36,56
13:47,50,K'Ja Johnson Steal.,36,56
13:45,50,K'Ja Johnson Turnover.,36,56
13:23,151,B.J. Tyson missed Three Point Jumper.,36,56
13:23,50,Desmond Williams Defensive Rebound.,36,56
12:57,50,Desmond Williams missed Jumper.,36,56
12:57,50,Trey Warren Offensive Rebound.,36,56
12:54,50,Trey Warren made Two Point Tip Shot.,38,56
12:54,151,Foul on Jabari Craig.,38,56
12:54,50,Trey Warren made Free Throw.,39,56
12:49,151,Caleb White Turnover.,39,56
12:32,50,K'Ja Johnson Turnover.,39,56
12:32,151,B.J. Tyson Steal.,39,56
12:18,151,Caleb White missed Jumper.,39,56
12:18,151,Jabari Craig Offensive Rebound.,39,56
12:15,50,Foul on Leon Williams.,39,56
12:02,151,Kentrell Barkley made Three Point Jumper. Assisted by Caleb White.,39,59
11:53,151,Foul on Jabari Craig.,39,59
11:53,151,Official TV Timeout,39,59
11:53,50,Derrick Dandridge missed Free Throw.,39,59
11:53,151,Kentrell Barkley Defensive Rebound.,39,59
11:37,50,Foul on K'Ja Johnson.,39,59
11:37,50,Foul on Derrick Dandridge.,39,59
11:37,151,Clarence Williams made Free Throw.,39,60
11:37,151,Clarence Williams made Free Throw.,39,61
11:25,50,Leon Williams Turnover.,39,61
11:13,151,Caleb White made Three Point Jumper. Assisted by Jeremy Sheppard.,39,64
10:58,50,Justin Ravenel missed Jumper.,39,64
10:58,151,Caleb White Defensive Rebound.,39,64
10:38,151,Kentrell Barkley Turnover.,39,64
10:37,50,Elijah Mays Steal.,39,64
10:34,151,Foul on Kentrell Barkley.,39,64
10:34,50,Craig Bowman made Free Throw.,40,64
10:34,50,Craig Bowman made Free Throw.,41,64
10:13,151,Jeremy Sheppard missed Three Point Jumper.,41,64
10:13,151,Kentrell Barkley Offensive Rebound.,41,64
9:49,151,Clarence Williams missed Jumper.,41,64
9:49,151,East Carolina Offensive Rebound.,41,64
9:45,151,Deng Riak made Dunk. Assisted by Jeremy Sheppard.,41,66
9:28,151,Foul on Clarence Williams.,41,66
9:28,50,Leon Williams made Free Throw.,42,66
9:28,50,Leon Williams missed Free Throw.,42,66
9:28,151,Clarence Williams Defensive Rebound.,42,66
9:08,50,Foul on Trey Warren.,42,66
9:08,151,Clarence Williams made Free Throw.,42,67
9:08,151,Clarence Williams missed Free Throw.,42,67
9:08,50,Leon Williams Defensive Rebound.,42,67
8:59,151,Foul on Deng Riak.,42,67
8:59,50,Desmond Williams made Free Throw.,43,67
8:59,50,Desmond Williams made Free Throw.,44,67
8:32,151,B.J. Tyson made Layup. Assisted by Jeremy Sheppard.,44,69
8:09,50,Desmond Williams missed Jumper.,44,69
8:09,50,Leon Williams Offensive Rebound.,44,69
8:05,50,Leon Williams made Jumper.,46,69
7:47,151,B.J. Tyson Turnover.,46,69
7:46,50,K'Ja Johnson Steal.,46,69
7:44,50,K'Ja Johnson missed Layup.,46,69
7:44,50,Marcus Barham Offensive Rebound.,46,69
7:42,50,Leon Williams missed Jumper.,46,69
7:41,50,Leon Williams Offensive Rebound.,46,69
7:40,50,Leon Williams missed Jumper.,46,69
7:40,50,Nick Severado Offensive Rebound.,46,69
7:39,50,Nick Severado made Jumper.,48,69
7:32,151,East Carolina  Timeout,48,69
7:23,50,Nick Severado Turnover.,48,69
7:22,151,Raquan Wilkins Steal.,48,69
7:19,50,Desmond Williams made Layup. Assisted by Marcus Barham.,50,69
7:00,151,Official TV Timeout,50,69
6:53,151,B.J. Tyson missed Three Point Jumper.,50,69
6:53,50,K'Ja Johnson Defensive Rebound.,50,69
6:46,50,Desmond Williams made Layup. Assisted by K'Ja Johnson.,52,69
6:26,151,Kentrell Barkley missed Three Point Jumper.,52,69
6:26,151,Clarence Williams Offensive Rebound.,52,69
6:20,50,Foul on Marcus Barham.,52,69
6:20,151,Clarence Williams missed Free Throw.,52,69
6:20,151,East Carolina Deadball Team Rebound.,52,69
6:20,151,Clarence Williams made Free Throw.,52,70
6:15,50,Trey Warren made Layup. Assisted by Desmond Williams.,54,70
5:45,151,Caleb White made Three Point Jumper. Assisted by B.J. Tyson.,54,73
5:33,50,Leon Williams missed Three Point Jumper.,54,73
5:33,151,Clarence Williams Defensive Rebound.,54,73
5:09,151,Clarence Williams missed Jumper.,54,73
5:09,50,Trey Warren Defensive Rebound.,54,73
4:56,50,Leon Williams missed Jumper.,54,73
4:56,151,Clarence Williams Defensive Rebound.,54,73
4:49,50,Foul on K'Ja Johnson.,54,73
4:49,151,B.J. Tyson missed Free Throw.,54,73
4:49,151,East Carolina Deadball Team Rebound.,54,73
4:49,151,B.J. Tyson missed Free Throw.,54,73
4:49,50,Justin Ravenel Defensive Rebound.,54,73
4:31,50,Derrick Dandridge made Jumper. Assisted by Justin Ravenel.,56,73
4:11,151,B.J. Tyson made Layup. Assisted by Caleb White.,56,75
3:51,50,Trey Warren missed Layup.,56,75
3:51,151,Clarence Williams Block.,56,75
3:50,151,B.J. Tyson Defensive Rebound.,56,75
3:46,151,Kentrell Barkley made Layup. Assisted by B.J. Tyson.,56,77
3:45,151,Official TV Timeout,56,77
3:21,50,Justin Ravenel missed Three Point Jumper.,56,77
3:21,50,Trey Warren Offensive Rebound.,56,77
3:16,151,Foul on Deng Riak.,56,77
3:16,50,Trey Warren made Free Throw.,57,77
3:16,50,Trey Warren made Free Throw.,58,77
2:50,50,Foul on Justin Ravenel.,58,77
2:50,151,Kentrell Barkley made Free Throw.,58,78
2:49,151,Kentrell Barkley made Free Throw.,58,79
2:32,50,Derrick Dandridge missed Layup.,58,79
2:32,151,Andre Washington Block.,58,79
2:31,50,Trey Warren Offensive Rebound.,58,79
2:27,50,Trey Warren Turnover.,58,79
2:26,151,B.J. Tyson Steal.,58,79
2:24,151,B.J. Tyson made Layup.,58,81
2:10,50,Derrick Dandridge missed Jumper.,58,81
2:10,50,Trey Warren Offensive Rebound.,58,81
2:06,50,Trey Warren missed Two Point Tip Shot.,58,81
2:06,151,Kentrell Barkley Defensive Rebound.,58,81
1:58,151,B.J. Tyson missed Layup.,58,81
1:58,50,Trey Warren Block.,58,81
1:56,50,K'Ja Johnson Defensive Rebound.,58,81
1:53,151,Foul on Caleb White.,58,81
1:53,50,Justin Ravenel made Free Throw.,59,81
1:53,50,Justin Ravenel made Free Throw.,60,81
1:28,151,Deng Riak Turnover.,60,81
1:24,50,Florida A&M  Timeout,60,81
1:16,50,Justin Ravenel missed Three Point Jumper.,60,81
1:16,151,Deng Riak Defensive Rebound.,60,81
0:59,50,Foul on Derrick Dandridge.,60,81
0:59,151,B.J. Tyson made Free Throw.,60,82
0:59,151,B.J. Tyson missed Free Throw.,60,82
0:59,50,Derrick Dandridge Defensive Rebound.,60,82
0:35,50,Desmond Williams missed Three Point Jumper.,60,82
0:35,50,Derrick Dandridge Offensive Rebound.,60,82
0:31,50,Derrick Dandridge missed Jumper.,60,82
0:31,50,Leon Williams Offensive Rebound.,60,82
0:29,50,Leon Williams made Jumper.,62,82
0:00,151,End of Game,62,82
