Pennsylvania,2115,Central Connecticut,219
2:17,2115,Central Connecticut St Deadball Team Rebound.,85,58
2:15,2115,Tidell Pierre made Free Throw.,85,59
2:10,219,Ray Jerome missed Three Point Jumper.,85,59
2:10,219,Ray Jerome Offensive Rebound.,85,59
2:04,219,Collin McManus made Layup. Assisted by Jakub Mijakowski.,87,59
1:39,2115,Chris Williams missed Three Point Jumper.,87,59
1:39,2115,Harrison Kay Offensive Rebound.,87,59
1:31,219,Foul on Ray Jerome.,87,59
1:31,2115,Harrison Kay made Free Throw.,87,60
1:31,2115,Harrison Kay made Free Throw.,87,61
1:21,2115,Foul on Harrison Kay.,87,61
1:21,219,Ray Jerome missed Free Throw.,87,61
1:21,219,Collin McManus Offensive Rebound.,87,61
1:19,219,Jakub Mijakowski missed Three Point Jumper.,87,61
1:19,219,Dan Dwyer Offensive Rebound.,87,61
1:14,219,Collin McManus missed Jumper.,87,61
1:14,2115,Antwann Anderson Defensive Rebound.,87,61
0:54,2115,Harrison Kay Turnover.,87,61
0:45,219,Devon Goodman missed Layup.,87,61
0:45,219,Devon Goodman Offensive Rebound.,87,61
0:37,219,Jakub Mijakowski missed Three Point Jumper.,87,61
0:37,2115,Harrison Kay Defensive Rebound.,87,61
0:27,2115,Chris Williams made Jumper. Assisted by Kevin Seymour.,87,63
0:11,2115,Foul on Antwann Anderson.,87,63
0:11,219,Devon Goodman missed Free Throw.,87,63
0:11,219,Pennsylvania Deadball Team Rebound.,87,63
0:11,219,Devon Goodman missed Free Throw.,87,63
0:11,2115,Kevin Seymour Defensive Rebound.,87,63
0:05,219,Foul on Dan Dwyer.,87,63
0:05,2115,Donyell Marshall Jr. made Free Throw.,87,64
0:05,2115,Donyell Marshall Jr. made Free Throw.,87,65
0:00,2115,End of Game,87,65
