North Carolina A&amp;T,98,Western Kentucky,2448
6:18,2448,Austin Williams made Three Point Jumper. Assisted by Donte Watson.,24,24
5:57,98,Junior Lomomba missed Three Point Jumper.,24,24
5:57,2448,Donte Watson Defensive Rebound.,24,24
5:35,2448,Raymon Pratt Turnover.,24,24
5:19,98,Pancake Thomas missed Jumper.,24,24
5:19,98,Justin Johnson Offensive Rebound.,24,24
5:17,98,Justin Johnson made Two Point Tip Shot.,24,26
5:00,2448,Sam Hunt made Jumper.,26,26
4:53,2448,Foul on Raymon Pratt.,26,26
4:53,98,Que Johnson made Free Throw.,26,27
4:53,98,Que Johnson missed Free Throw.,26,27
4:53,98,Marty Leahy Offensive Rebound.,26,27
4:49,98,Marty Leahy Turnover.,26,27
4:49,2448,Eliel Gonzalez Steal.,26,27
4:35,98,Foul on Junior Lomomba.,26,27
4:35,2448,Aaron Scales missed Free Throw.,26,27
4:35,2448,North Carolina A&T Deadball Team Rebound.,26,27
4:35,2448,Aaron Scales missed Free Throw.,26,27
4:35,98,Pancake Thomas Defensive Rebound.,26,27
4:35,2448,Foul on Raymon Pratt.,26,27
4:35,98,Marty Leahy made Free Throw.,26,28
4:35,98,Marty Leahy made Free Throw.,26,29
4:12,2448,Eliel Gonzalez missed Jumper.,26,29
4:12,98,Justin Johnson Defensive Rebound.,26,29
4:12,2448,Foul on Aaron Scales.,26,29
4:12,98,Justin Johnson made Free Throw.,26,30
4:12,98,Justin Johnson made Free Throw.,26,31
3:57,2448,Sam Hunt made Jumper.,28,31
3:50,98,Pancake Thomas made Jumper.,28,33
3:22,2448,Donte Watson made Layup.,30,33
3:11,98,Junior Lomomba missed Layup.,30,33
3:11,2448,Aaron Scales Block.,30,33
3:10,2448,Donte Watson Defensive Rebound.,30,33
2:48,98,Foul on Justin Johnson.,30,33
2:48,98,Official TV Timeout,30,33
2:48,2448,Aaron Scales made Free Throw.,31,33
2:48,2448,Aaron Scales made Free Throw.,32,33
2:23,98,Junior Lomomba Turnover.,32,33
1:59,2448,Sam Hunt Turnover.,32,33
1:57,98,Que Johnson Steal.,32,33
1:54,98,Que Johnson made Layup.,32,35
1:25,2448,Aaron Scales missed Jumper.,32,35
1:25,98,Que Johnson Defensive Rebound.,32,35
1:19,2448,Foul on Martin Jones.,32,35
1:19,98,Que Johnson made Free Throw.,32,36
1:19,98,Que Johnson made Free Throw.,32,37
0:59,98,Foul on Junior Lomomba.,32,37
0:59,2448,Eliel Gonzalez made Free Throw.,33,37
0:59,2448,Eliel Gonzalez made Free Throw.,34,37
0:40,98,Que Johnson made Three Point Jumper. Assisted by Damari Parris.,34,40
0:17,2448,Sam Hunt missed Jumper.,34,40
0:17,98,Que Johnson Defensive Rebound.,34,40
0:11,98,Western Kentucky  Timeout,34,40
0:05,98,Marty Leahy missed Three Point Jumper.,34,40
0:05,98,Western Kentucky Offensive Rebound.,34,40
0:00,98,Que Johnson made Jumper. Assisted by Damari Parris.,34,42
0:00,98,End of 1st half,34,42
19:43,98,Justin Johnson missed Jumper.,34,42
19:43,2448,Aaron Scales Defensive Rebound.,34,42
19:16,2448,Sam Hunt made Layup.,36,42
18:52,98,Que Johnson missed Three Point Jumper.,36,42
18:52,2448,Donte Watson Defensive Rebound.,36,42
18:34,2448,Donte Watson made Three Point Jumper.,39,42
18:20,98,Junior Lomomba Turnover.,39,42
18:19,2448,Eliel Gonzalez Steal.,39,42
18:18,98,Foul on Junior Lomomba.,39,42
18:14,2448,Eliel Gonzalez missed Free Throw.,39,42
18:14,2448,North Carolina A&T Deadball Team Rebound.,39,42
18:08,2448,Eliel Gonzalez missed Free Throw.,39,42
18:08,98,Justin Johnson Defensive Rebound.,39,42
17:57,98,Pancake Thomas made Three Point Jumper. Assisted by Junior Lomomba.,39,45
17:42,98,Foul on Ben Lawson.,39,45
17:35,98,Foul on Junior Lomomba.,39,45
17:21,2448,Aaron Scales made Jumper.,41,45
17:10,98,Ben Lawson made Dunk. Assisted by Justin Johnson.,41,47
16:47,2448,Davaris McGowens Turnover.,41,47
16:37,2448,Foul on Davaris McGowens.,41,47
16:19,98,Que Johnson missed Three Point Jumper.,41,47
16:19,98,Justin Johnson Offensive Rebound.,41,47
16:10,98,Pancake Thomas missed Three Point Jumper.,41,47
16:10,2448,Eliel Gonzalez Defensive Rebound.,41,47
15:46,2448,Foul on Aaron Scales.,41,47
15:46,2448,Aaron Scales Turnover.,41,47
15:46,98,Official TV Timeout,41,47
15:31,98,Justin Johnson missed Layup.,41,47
15:31,98,Ben Lawson Offensive Rebound.,41,47
15:31,2448,Foul on Austin Williams.,41,47
15:21,98,Damari Parris missed Three Point Jumper.,41,47
15:21,2448,Donte Watson Defensive Rebound.,41,47
14:58,2448,Eliel Gonzalez missed Three Point Jumper.,41,47
14:58,98,Pancake Thomas Defensive Rebound.,41,47
14:51,2448,Foul on Austin Williams.,41,47
14:32,98,Que Johnson Turnover.,41,47
14:05,2448,Sam Hunt missed Three Point Jumper.,41,47
14:05,98,Justin Johnson Defensive Rebound.,41,47
13:51,98,Ben Lawson made Jumper.,41,49
13:33,2448,Donte Watson missed Three Point Jumper.,41,49
13:33,98,Ben Lawson Defensive Rebound.,41,49
13:21,98,Justin Johnson missed Jumper.,41,49
13:21,98,Ben Lawson Offensive Rebound.,41,49
13:17,98,Ben Lawson missed Jumper.,41,49
13:17,2448,Sam Hunt Defensive Rebound.,41,49
12:57,2448,Sam Hunt Turnover.,41,49
12:34,98,Damari Parris missed Jumper.,41,49
12:34,2448,North Carolina A&T Defensive Rebound.,41,49
12:16,2448,Sam Hunt missed Layup.,41,49
12:16,98,Justin Johnson Block.,41,49
12:15,98,Pancake Thomas Defensive Rebound.,41,49
12:02,2448,Foul on Mike Owona.,41,49
12:02,98,Justin Johnson made Free Throw.,41,50
12:02,98,Justin Johnson made Free Throw.,41,51
11:38,2448,Sam Hunt Turnover.,41,51
11:33,98,Tobias Howard made Layup. Assisted by Damari Parris.,41,53
11:04,2448,Eliel Gonzalez Turnover.,41,53
11:02,98,Damari Parris Steal.,41,53
11:00,98,Marty Leahy missed Jumper.,41,53
11:00,2448,Mike Owona Defensive Rebound.,41,53
10:38,2448,Sam Hunt made Jumper.,43,53
10:20,98,Anton Waters Turnover.,43,53
10:20,98,Official TV Timeout,43,53
10:03,2448,James Whitaker missed Jumper.,43,53
10:03,98,Anton Waters Defensive Rebound.,43,53
9:48,2448,Foul on Sam Hunt.,43,53
9:48,98,Marty Leahy made Free Throw.,43,54
9:48,98,Marty Leahy made Free Throw.,43,55
9:29,2448,Sam Hunt made Layup.,45,55
9:23,98,Damari Parris Turnover.,45,55
9:22,2448,James Whitaker Steal.,45,55
9:20,98,Foul on Marty Leahy.,45,55
9:20,2448,James Whitaker missed Free Throw.,45,55
9:20,2448,North Carolina A&T Deadball Team Rebound.,45,55
9:20,2448,James Whitaker made Free Throw.,46,55
9:02,98,Tobias Howard missed Jumper.,46,55
9:02,2448,Donte Watson Defensive Rebound.,46,55
8:35,2448,Eliel Gonzalez Turnover.,46,55
8:33,98,Marty Leahy Steal.,46,55
8:27,2448,Foul on Aaron Scales.,46,55
8:27,98,Anton Waters missed Free Throw.,46,55
8:27,98,Western Kentucky Deadball Team Rebound.,46,55
8:27,98,Anton Waters made Free Throw.,46,56
8:04,98,Foul on Anton Waters.,46,56
8:04,2448,Sam Hunt made Free Throw.,47,56
8:04,2448,Sam Hunt made Free Throw.,48,56
7:50,98,Anton Waters made Layup. Assisted by Damari Parris.,48,58
7:37,2448,Sam Hunt made Jumper.,50,58
7:05,98,Marty Leahy missed Jumper.,50,58
7:05,98,Anton Waters Offensive Rebound.,50,58
7:02,98,Anton Waters missed Layup.,50,58
7:02,2448,Eliel Gonzalez Defensive Rebound.,50,58
6:44,2448,James Whitaker missed Jumper.,50,58
6:44,98,Marty Leahy Defensive Rebound.,50,58
6:32,98,Anton Waters made Jumper.,50,60
6:18,2448,Donte Watson missed Three Point Jumper.,50,60
6:18,98,Marty Leahy Defensive Rebound.,50,60
6:15,2448,Foul on Donte Watson.,50,60
6:15,98,Marty Leahy missed Free Throw.,50,60
6:15,2448,Davaris McGowens Defensive Rebound.,50,60
6:04,2448,Sam Hunt missed Jumper.,50,60
6:04,98,Ben Lawson Defensive Rebound.,50,60
5:45,2448,Foul on Mike Owona.,50,60
5:44,98,Ben Lawson made Free Throw.,50,61
5:44,98,Ben Lawson made Free Throw.,50,62
5:19,2448,Eliel Gonzalez missed Layup.,50,62
5:19,98,Ben Lawson Defensive Rebound.,50,62
5:18,2448,Foul on Mike Owona.,50,62
5:18,98,Justin Johnson made Free Throw.,50,63
5:18,98,Justin Johnson made Free Throw.,50,64
5:04,2448,Sam Hunt missed Three Point Jumper.,50,64
5:04,98,Justin Johnson Defensive Rebound.,50,64
4:50,2448,Foul on Sam Hunt.,50,64
4:50,98,Pancake Thomas made Free Throw.,50,65
4:50,98,Pancake Thomas missed Free Throw.,50,65
4:50,2448,Davaris McGowens Defensive Rebound.,50,65
4:33,2448,Mike Owona Turnover.,50,65
4:18,2448,Foul on Aaron Scales.,50,65
4:18,98,Junior Lomomba made Free Throw.,50,66
4:18,98,Junior Lomomba made Free Throw.,50,67
3:59,2448,James Whitaker made Jumper.,52,67
3:59,98,Foul on Justin Johnson.,52,67
3:59,2448,James Whitaker made Free Throw.,53,67
3:42,98,Official TV Timeout,53,67
3:32,98,Ben Lawson made Layup. Assisted by Junior Lomomba.,53,69
3:32,2448,Foul on Davaris McGowens.,53,69
3:32,98,Ben Lawson made Free Throw.,53,70
3:17,98,Foul on Junior Lomomba.,53,70
3:17,2448,James Whitaker missed Free Throw.,53,70
3:17,98,Justin Johnson Defensive Rebound.,53,70
2:59,98,Pancake Thomas Turnover.,53,70
2:57,2448,Austin Williams Steal.,53,70
2:56,2448,Austin Williams made Layup.,55,70
2:39,98,Pancake Thomas missed Three Point Jumper.,55,70
2:39,98,Ben Lawson Offensive Rebound.,55,70
2:38,2448,Foul on Davaris McGowens.,55,70
2:38,98,Ben Lawson missed Free Throw.,55,70
2:38,98,Western Kentucky Deadball Team Rebound.,55,70
2:38,98,Ben Lawson made Free Throw.,55,71
2:25,2448,Sam Hunt missed Three Point Jumper.,55,71
2:25,98,Que Johnson Defensive Rebound.,55,71
2:02,98,Justin Johnson made Dunk. Assisted by Marty Leahy.,55,73
1:50,98,Foul on Damari Parris.,55,73
1:50,2448,Austin Williams made Free Throw.,56,73
1:50,2448,Austin Williams missed Free Throw.,56,73
1:50,98,Marko Stajkovski Defensive Rebound.,56,73
1:21,98,Anton Waters made Jumper. Assisted by Tyler Miller.,56,75
1:06,2448,Sam Hunt missed Jumper.,56,75
1:06,2448,Austin Williams Offensive Rebound.,56,75
1:03,2448,Austin Williams Turnover.,56,75
1:03,98,Damari Parris Steal.,56,75
0:59,2448,Foul on James Whitaker.,56,75
0:59,98,Anton Waters made Free Throw.,56,76
0:59,98,Anton Waters made Free Throw.,56,77
0:48,2448,Amari Hamilton Turnover.,56,77
0:27,98,Anton Waters missed Jumper.,56,77
0:27,2448,Mike Owona Block.,56,77
0:25,2448,Donte Watson Defensive Rebound.,56,77
0:22,2448,Raymon Pratt missed Layup.,56,77
0:22,98,Damari Parris Defensive Rebound.,56,77
0:00,98,End of Game,56,77
