Blue Mountain College,Error,Alcorn State,2016
9:41,-1,Jay Howard made Free Throw.,44,62
9:28,2016,Reginal Johnson made Layup. Assisted by Juwan Henderson.,44,64
9:13,-1,Jay Howard missed Layup.,44,64
9:13,-1,Adam Fleming Offensive Rebound.,44,64
9:11,2016,Foul on Reginal Johnson.,44,64
9:10,-1,Adam Fleming made Free Throw.,45,64
9:10,-1,Adam Fleming made Free Throw.,46,64
8:48,2016,Avery Patterson made Jumper.,46,66
8:33,-1,Kyler Mahar Turnover.,46,66
8:30,2016,Avery Patterson Steal.,46,66
8:27,2016,Avery Patterson Turnover.,46,66
8:27,-1,Justin McClellon Steal.,46,66
8:17,-1,Harrison Fancher missed Three Point Jumper.,46,66
8:17,2016,Reginal Johnson Defensive Rebound.,46,66
7:54,2016,Marquis Vance made Layup.,46,68
7:34,-1,Jay Howard Turnover.,46,68
7:34,-1,Foul on Jay Howard.,46,68
7:34,2016,Official TV Timeout,46,68
7:20,2016,Denzel Dulin made Layup. Assisted by Maurice Howard.,46,70
7:20,-1,Foul on Adam Fleming.,46,70
7:20,2016,Denzel Dulin made Free Throw.,46,71
6:57,-1,Jay Howard made Layup.,48,71
6:57,2016,Foul on A.J. Mosby.,48,71
6:57,-1,Jay Howard missed Free Throw.,48,71
6:57,2016,Marquis Vance Defensive Rebound.,48,71
6:42,2016,Marquis Vance made Jumper.,48,73
6:28,2016,Foul on Denzel Dulin.,48,73
6:28,-1,Jay Howard made Free Throw.,49,73
6:28,-1,Jay Howard made Free Throw.,50,73
6:15,2016,Devon Brewer missed Layup.,50,73
6:15,2016,Reginal Johnson Offensive Rebound.,50,73
6:10,2016,Reginal Johnson made Two Point Tip Shot.,50,75
5:57,-1,Harrison Fancher missed Three Point Jumper.,50,75
5:57,2016,A.J. Mosby Defensive Rebound.,50,75
5:51,2016,Denzel Dulin missed Three Point Jumper.,50,75
5:51,-1,Jay Howard Defensive Rebound.,50,75
5:42,-1,Jay Howard Turnover.,50,75
5:41,2016,Reginal Johnson Steal.,50,75
5:37,2016,A.J. Mosby missed Layup.,50,75
5:37,-1,Kyler Mahar Defensive Rebound.,50,75
5:14,-1,Harrison Fancher missed Jumper.,50,75
5:14,2016,Reginal Johnson Defensive Rebound.,50,75
5:07,2016,Maurice Howard missed Three Point Jumper.,50,75
5:07,2016,Denzel Dulin Offensive Rebound.,50,75
5:03,-1,Foul on Harrison Fancher.,50,75
5:03,2016,Denzel Dulin made Free Throw.,50,76
5:03,2016,Denzel Dulin missed Free Throw.,50,76
5:03,-1,Adam Fleming Defensive Rebound.,50,76
4:41,-1,Jay Howard made Three Point Jumper.,53,76
4:32,2016,Denzel Dulin made Layup.,53,78
4:20,-1,Pierre Garel missed Three Point Jumper.,53,78
4:20,2016,Maurice Howard Defensive Rebound.,53,78
4:01,2016,Maurice Howard Turnover.,53,78
3:59,-1,Pierre Garel Steal.,53,78
3:44,2016,Official TV Timeout,53,78
3:39,-1,Jay Howard missed Jumper.,53,78
3:39,2016,Devon Brewer Defensive Rebound.,53,78
3:14,2016,Devon Brewer missed Layup.,53,78
3:14,-1,Pierre Garel Defensive Rebound.,53,78
3:01,-1,Jay Howard made Jumper.,55,78
2:44,-1,Foul on Kyler Mahar.,55,78
2:44,2016,Yalen Reed missed Free Throw.,55,78
2:44,2016,Alcorn St Deadball Team Rebound.,55,78
2:44,2016,Yalen Reed missed Free Throw.,55,78
2:44,2016,Yalen Reed Offensive Rebound.,55,78
2:24,2016,Yalen Reed made Jumper. Assisted by Devon Brewer.,55,80
2:12,-1,Dominic Hudson missed Three Point Jumper.,55,80
2:12,2016,Alcorn St Defensive Rebound.,55,80
1:34,2016,Devon Brewer Turnover.,55,80
1:25,-1,Adam Fleming missed Jumper.,55,80
1:25,2016,Kobe Wilson Defensive Rebound.,55,80
1:09,2016,Tyler Carter Turnover.,55,80
1:08,-1,Dominic Hudson Steal.,55,80
0:51,-1,Dominic Hudson missed Three Point Jumper.,55,80
0:51,2016,Tyler Carter Defensive Rebound.,55,80
0:34,2016,Tyler Carter made Three Point Jumper. Assisted by Juwan Henderson.,55,83
0:21,2016,Foul on Juwan Henderson.,55,83
0:21,-1,Jay Howard made Free Throw.,56,83
0:21,-1,Jay Howard made Free Throw.,57,83
0:00,2016,End of Game,57,83
