South Florida,2226,Florida Atlantic,58
14:40,58,Jake Bodway missed Three Point Jumper.,43,49
14:40,2226,Jailyn Ingram Defensive Rebound.,43,49
14:37,58,Foul on Tulio Da Silva.,43,49
14:37,2226,Jailyn Ingram made Free Throw.,43,50
14:37,2226,Jailyn Ingram made Free Throw.,43,51
14:34,58,Malik Fitts made Three Point Jumper. Assisted by Jake Bodway.,46,51
14:12,2226,Adonis Filer made Three Point Jumper. Assisted by Nick Rutherford.,46,54
13:45,58,Tulio Da Silva missed Three Point Jumper.,46,54
13:45,2226,Adonis Filer Defensive Rebound.,46,54
13:09,2226,Jailyn Ingram made Jumper. Assisted by Nick Rutherford.,46,56
13:03,58,South Florida  Timeout,46,56
12:39,58,Geno Thorpe missed Jumper.,46,56
12:39,2226,William Pfister Defensive Rebound.,46,56
12:19,2226,Adonis Filer made Three Point Jumper. Assisted by Nick Rutherford.,46,59
11:59,2226,Foul on Adonis Filer.,46,59
11:56,58,Luis Santos made Jumper. Assisted by Malik Fitts.,48,59
11:32,2226,Jailyn Ingram made Jumper.,48,61
10:59,58,Luis Santos missed Jumper.,48,61
10:59,2226,Adonis Filer Defensive Rebound.,48,61
10:51,2226,Gerdarius Troutman missed Three Point Jumper.,48,61
10:51,58,Geno Thorpe Defensive Rebound.,48,61
10:35,58,Troy Holston missed Jumper.,48,61
10:35,58,Luis Santos Offensive Rebound.,48,61
10:31,2226,Foul on Jailyn Ingram.,48,61
10:27,58,Luis Santos made Layup. Assisted by Geno Thorpe.,50,61
10:10,2226,Ronald Delph missed Jumper.,50,61
10:10,2226,Marcus Neely Offensive Rebound.,50,61
10:10,58,Foul on Tulio Da Silva.,50,61
10:10,2226,Nick Rutherford missed Free Throw.,50,61
10:10,58,Troy Holston Defensive Rebound.,50,61
9:56,58,Geno Thorpe missed Three Point Jumper.,50,61
9:56,58,Malik Fitts Offensive Rebound.,50,61
9:50,58,Malik Fitts Turnover.,50,61
9:32,58,Foul on Troy Holston.,50,61
9:32,2226,Gerdarius Troutman made Free Throw.,50,62
9:32,2226,Gerdarius Troutman missed Free Throw.,50,62
9:32,2226,William Pfister Offensive Rebound.,50,62
9:26,2226,Adonis Filer made Three Point Jumper.,50,65
9:21,58,South Florida  Timeout,50,65
9:04,58,Geno Thorpe missed Jumper.,50,65
9:04,2226,William Pfister Defensive Rebound.,50,65
8:46,2226,William Pfister missed Layup.,50,65
8:46,58,Tulio Da Silva Defensive Rebound.,50,65
8:31,2226,Foul on Adonis Filer.,50,65
8:26,58,Tulio Da Silva missed Jumper.,50,65
8:26,58,Luis Santos Offensive Rebound.,50,65
8:09,58,Geno Thorpe made Jumper.,52,65
7:50,58,Foul on Luis Santos.,52,65
7:50,2226,Official TV Timeout,52,65
7:50,2226,Ronald Delph missed Free Throw.,52,65
7:50,58,South Florida Deadball Team Rebound.,52,65
7:49,2226,Ronald Delph made Free Throw.,52,66
7:34,58,Malik Fitts missed Jumper.,52,66
7:34,2226,Ronald Delph Defensive Rebound.,52,66
7:33,2226,Foul on Gerdarius Troutman.,52,66
7:13,58,Malik Fitts missed Three Point Jumper.,52,66
7:13,2226,Marcus Neely Defensive Rebound.,52,66
6:46,2226,Jailyn Ingram made Three Point Jumper. Assisted by Nick Rutherford.,52,69
6:28,58,Geno Thorpe missed Jumper.,52,69
6:28,2226,Nick Rutherford Block.,52,69
6:26,2226,Nick Rutherford Defensive Rebound.,52,69
6:23,2226,Nick Rutherford Turnover.,52,69
6:21,58,Geno Thorpe Steal.,52,69
6:19,58,Geno Thorpe made Layup.,54,69
6:08,58,Foul on Malik Fitts.,54,69
6:08,2226,Jailyn Ingram made Free Throw.,54,70
6:02,58,Troy Holston Turnover.,54,70
5:53,2226,Gerdarius Troutman missed Jumper.,54,70
5:53,58,Troy Holston Defensive Rebound.,54,70
5:44,58,Troy Holston made Jumper.,56,70
5:25,2226,Jailyn Ingram Turnover.,56,70
5:15,58,Troy Holston missed Jumper.,56,70
5:15,2226,Ronald Delph Defensive Rebound.,56,70
4:59,2226,Jailyn Ingram Turnover.,56,70
4:57,58,Ruben Guerrero Steal.,56,70
4:54,58,Troy Holston Turnover.,56,70
4:47,58,Foul on Geno Thorpe.,56,70
4:47,2226,Jailyn Ingram missed Free Throw.,56,70
4:47,58,South Florida Deadball Team Rebound.,56,70
4:47,2226,Jailyn Ingram made Free Throw.,56,71
4:29,58,Ruben Guerrero made Dunk. Assisted by Jake Bodway.,58,71
4:27,2226,Nick Rutherford Turnover.,58,71
4:24,58,Troy Holston missed Three Point Jumper.,58,71
4:24,2226,Jailyn Ingram Defensive Rebound.,58,71
4:03,58,Foul on Tulio Da Silva.,58,71
4:03,2226,Jailyn Ingram missed Free Throw.,58,71
4:03,58,South Florida Deadball Team Rebound.,58,71
4:03,2226,Jailyn Ingram made Free Throw.,58,72
3:52,2226,Foul on Frank Booker.,58,72
3:52,2226,Official TV Timeout,58,72
3:52,58,Jake Bodway made Free Throw.,59,72
3:52,58,Jake Bodway made Free Throw.,60,72
3:45,2226,Adonis Filer Turnover.,60,72
3:38,2226,Foul on Jailyn Ingram.,60,72
3:38,58,Bo Zeigler missed Free Throw.,60,72
3:38,2226,Ronald Delph Defensive Rebound.,60,72
3:30,58,Foul on Jake Bodway.,60,72
3:30,2226,Nick Rutherford missed Free Throw.,60,72
3:30,58,South Florida Deadball Team Rebound.,60,72
3:30,2226,Nick Rutherford made Free Throw.,60,73
3:14,58,Tulio Da Silva missed Jumper.,60,73
3:14,2226,Adonis Filer Defensive Rebound.,60,73
3:03,58,Foul on Jake Bodway.,60,73
3:03,2226,Nick Rutherford missed Free Throw.,60,73
3:03,58,South Florida Deadball Team Rebound.,60,73
3:03,2226,Nick Rutherford made Free Throw.,60,74
2:55,58,Geno Thorpe missed Three Point Jumper.,60,74
2:55,2226,Jeantal Cylla Defensive Rebound.,60,74
2:37,2226,Nick Rutherford made Jumper.,60,76
2:10,58,Geno Thorpe missed Jumper.,60,76
2:10,2226,Jeantal Cylla Block.,60,76
2:03,2226,Jeantal Cylla Defensive Rebound.,60,76
1:57,2226,Jeantal Cylla missed Layup.,60,76
1:57,58,Geno Thorpe Defensive Rebound.,60,76
1:54,58,Troy Holston missed Layup.,60,76
1:54,2226,Ronald Delph Defensive Rebound.,60,76
1:50,2226,Jeantal Cylla made Layup. Assisted by Nick Rutherford.,60,78
1:42,58,South Florida  Timeout,60,78
1:25,58,Jake Bodway missed Jumper.,60,78
1:25,58,Tulio Da Silva Offensive Rebound.,60,78
1:21,58,Tulio Da Silva made Layup.,62,78
1:09,58,Jake Bodway missed Jumper.,62,78
1:09,2226,Nick Rutherford Block.,62,78
1:05,2226,Adonis Filer Defensive Rebound.,62,78
0:49,2226,Nick Rutherford Turnover.,62,78
0:37,58,Troy Holston missed Jumper.,62,78
0:37,2226,Adonis Filer Defensive Rebound.,62,78
0:06,2226,- Team Turnover.,62,78
0:00,2226,End of Game,62,78
