Dalton State,Error,Jacksonville State,55
11:59,-1,Foul on - Harden.,15,17
11:59,55,Jacksonville St  Timeout,15,17
11:59,55,Mohamed Abuarisha missed Free Throw.,15,17
11:59,-1,- Simmons Defensive Rebound.,15,17
11:39,-1,- Boyd missed Three Point Jumper.,15,17
11:39,55,Jacara Cross Defensive Rebound.,15,17
11:32,55,Deshawn Jones Turnover.,15,17
10:57,-1,- Harden missed Jumper.,15,17
10:57,55,Jacara Cross Defensive Rebound.,15,17
10:46,55,Christian Cunningham missed Layup.,15,17
10:46,-1,- Jasnos Block.,15,17
10:43,55,Christian Cunningham Offensive Rebound.,15,17
10:34,-1,Foul on - Jasnos.,15,17
10:34,55,Malcolm Drumwright made Free Throw.,15,18
10:34,55,Malcolm Drumwright made Free Throw.,15,19
10:19,55,Foul on Jacara Cross.,15,19
10:19,-1,- Simmons missed Free Throw.,15,19
10:19,-1,Dalton State Deadball Team Rebound.,15,19
10:19,-1,- Simmons missed Free Throw.,15,19
10:19,55,Christian Cunningham Defensive Rebound.,15,19
9:54,55,Malcolm Drumwright missed Jumper.,15,19
9:54,-1,- Simmons Defensive Rebound.,15,19
9:52,55,Foul on Christian Cunningham.,15,19
9:37,-1,- Jasnos missed Layup.,15,19
9:37,55,Jacara Cross Defensive Rebound.,15,19
9:19,55,Jacara Cross missed Jumper.,15,19
9:19,55,Greg Tucker Offensive Rebound.,15,19
8:56,55,Jacara Cross Turnover.,15,19
8:39,-1,- Simmons missed Layup.,15,19
8:39,55,Jacara Cross Defensive Rebound.,15,19
8:27,55,Malcolm Drumwright Turnover.,15,19
8:27,-1,Foul on - Box.,15,19
8:27,55,Greg Tucker made Free Throw.,15,20
8:27,55,Greg Tucker made Free Throw.,15,21
8:11,-1,- Ruffin missed Three Point Jumper.,15,21
8:11,-1,- Harden Offensive Rebound.,15,21
8:09,55,Foul on Malcolm Drumwright.,15,21
8:09,-1,- Harden missed Free Throw.,15,21
8:09,-1,Dalton State Deadball Team Rebound.,15,21
8:09,-1,- Harden made Free Throw.,16,21
7:48,55,Andre Statam Turnover.,16,21
7:46,-1,- Ruffin Steal.,16,21
7:43,-1,- Ruffin missed Layup.,16,21
7:43,55,Tyrik Edwards Defensive Rebound.,16,21
7:37,55,Erik Durham made Layup. Assisted by Greg Tucker.,16,23
7:14,-1,- Black missed Layup.,16,23
7:14,-1,- Wilson Offensive Rebound.,16,23
7:13,-1,- Black Turnover.,16,23
7:13,55,Jacksonville St  Timeout,16,23
7:01,55,Tyrik Edwards missed Layup.,16,23
7:01,-1,- Wilson Defensive Rebound.,16,23
6:51,-1,- Harden missed Jumper.,16,23
6:51,55,Erik Durham Defensive Rebound.,16,23
6:22,55,Greg Tucker missed Three Point Jumper.,16,23
6:22,-1,Dalton State Defensive Rebound.,16,23
6:08,-1,- Box missed Three Point Jumper.,16,23
6:08,55,Jacara Cross Defensive Rebound.,16,23
5:46,-1,Foul on - Wilson.,16,23
5:46,55,Greg Tucker made Free Throw.,16,24
5:46,55,Greg Tucker missed Free Throw.,16,24
5:46,-1,- Wilson Defensive Rebound.,16,24
5:32,-1,- Simmons made Layup. Assisted by - Wilson.,18,24
5:17,55,Norbertas Giga made Three Point Jumper. Assisted by Greg Tucker.,18,27
4:57,-1,- Simmons Turnover.,18,27
4:50,55,Derrick Green missed Three Point Jumper.,18,27
4:50,-1,- Wilson Defensive Rebound.,18,27
4:31,-1,Jerrico Williams missed Layup.,18,27
4:31,55,Norbertas Giga Defensive Rebound.,18,27
4:14,55,Derrick Green missed Layup.,18,27
4:14,-1,- Wilson Defensive Rebound.,18,27
4:01,-1,- Box Turnover.,18,27
4:00,55,Jacara Cross Steal.,18,27
3:59,55,Jacara Cross Turnover.,18,27
3:58,-1,- Wilson Steal.,18,27
3:45,55,Foul on Ashton Spears.,18,27
3:42,-1,Dalton State  Timeout,18,27
3:42,-1,- Harden missed Free Throw.,18,27
3:42,-1,Dalton State Deadball Team Rebound.,18,27
3:42,-1,- Harden made Free Throw.,19,27
3:16,-1,Foul on - Wilson.,19,27
3:16,55,Erik Durham made Free Throw.,19,28
3:16,55,Erik Durham made Free Throw.,19,29
2:54,-1,- Harden missed Layup.,19,29
2:54,55,Norbertas Giga Defensive Rebound.,19,29
2:42,55,Norbertas Giga Turnover.,19,29
2:40,-1,- Black Steal.,19,29
2:31,-1,- Black missed Layup.,19,29
2:31,-1,- Simmons Offensive Rebound.,19,29
2:16,-1,- Harden made Jumper. Assisted by - Wilson.,21,29
1:51,55,Erik Durham Turnover.,21,29
1:40,-1,- Simmons missed Jumper.,21,29
1:40,55,Erik Durham Defensive Rebound.,21,29
1:22,55,Erik Durham made Three Point Jumper. Assisted by Malcolm Drumwright.,21,32
1:00,-1,- Box Turnover.,21,32
0:58,55,Ashton Spears Steal.,21,32
0:47,55,Erik Durham missed Three Point Jumper.,21,32
0:47,-1,Jerrico Williams Defensive Rebound.,21,32
0:37,-1,- Black missed Layup.,21,32
0:37,55,Jacara Cross Block.,21,32
0:34,55,Ashton Spears Defensive Rebound.,21,32
0:30,-1,Foul on - Wilson.,21,32
0:30,55,Ashton Spears missed Free Throw.,21,32
0:30,55,Jacksonville St Deadball Team Rebound.,21,32
0:30,55,Ashton Spears missed Free Throw.,21,32
0:30,-1,- Simmons Defensive Rebound.,21,32
0:20,-1,- Black Turnover.,21,32
0:04,-1,Foul on - Jasnos.,21,32
0:04,55,Malcolm Drumwright made Free Throw.,21,33
0:04,55,Jacksonville St  Timeout,21,33
0:00,55,End of 1st half,21,33
19:49,55,Greg Tucker missed Layup.,21,33
19:49,-1,- Simmons Defensive Rebound.,21,33
19:24,-1,- Wilson missed Jumper.,21,33
19:24,55,Erik Durham Defensive Rebound.,21,33
19:12,-1,Foul on - Wilson.,21,33
19:12,55,Norbertas Giga missed Free Throw.,21,33
19:12,55,Jacksonville St Deadball Team Rebound.,21,33
19:12,55,Norbertas Giga made Free Throw.,21,34
18:59,-1,- Jasnos missed Jumper.,21,34
18:59,55,Norbertas Giga Defensive Rebound.,21,34
18:49,55,Christian Cunningham made Layup. Assisted by Norbertas Giga.,21,36
18:39,-1,- Dungan Turnover.,21,36
18:37,55,Malcolm Drumwright Steal.,21,36
18:35,55,Malcolm Drumwright made Layup.,21,38
18:17,-1,- Simmons made Layup.,23,38
17:55,55,Christian Cunningham missed Layup.,23,38
17:55,-1,- Simmons Block.,23,38
17:52,-1,- Simmons Defensive Rebound.,23,38
17:42,-1,- Dungan missed Layup.,23,38
17:42,55,Christian Cunningham Defensive Rebound.,23,38
17:26,-1,Foul on - Simmons.,23,38
17:26,55,Malcolm Drumwright missed Free Throw.,23,38
17:26,55,Jacksonville St Deadball Team Rebound.,23,38
17:26,55,Malcolm Drumwright made Free Throw.,23,39
17:26,-1,- Black made Three Point Jumper. Assisted by - Dungan.,26,39
17:13,55,Greg Tucker Turnover.,26,39
17:12,-1,- Simmons Steal.,26,39
16:54,-1,- Black made Three Point Jumper. Assisted by - Dungan.,29,39
16:14,55,Jacksonville St  Timeout,29,39
16:01,55,Norbertas Giga missed Layup.,29,39
16:01,55,Jacara Cross Offensive Rebound.,29,39
15:59,55,Jacara Cross Turnover.,29,39
15:42,-1,- Jasnos missed Layup.,29,39
15:42,-1,- Simmons Offensive Rebound.,29,39
15:37,-1,- Simmons missed Layup.,29,39
15:37,55,Norbertas Giga Defensive Rebound.,29,39
15:33,55,Tyrik Edwards Turnover.,29,39
15:31,-1,- Box Steal.,29,39
15:29,-1,- Box made Layup.,31,39
15:17,-1,Foul on - Dungan.,31,39
15:17,55,Jacksonville St  Timeout,31,39
15:17,55,Jacara Cross missed Free Throw.,31,39
15:17,55,Jacksonville St Deadball Team Rebound.,31,39
15:17,55,Jacara Cross made Free Throw.,31,40
15:04,-1,- Black Turnover.,31,40
15:02,55,Tyrik Edwards Steal.,31,40
14:55,55,Erik Durham missed Three Point Jumper.,31,40
14:55,55,Norbertas Giga Offensive Rebound.,31,40
14:49,55,Erik Durham made Layup. Assisted by Norbertas Giga.,31,42
14:34,55,Foul on Jacara Cross.,31,42
14:30,-1,- Black missed Three Point Jumper.,31,42
14:30,-1,- Harden Offensive Rebound.,31,42
14:23,-1,- Harden made Layup.,33,42
14:11,55,Malcolm Drumwright Turnover.,33,42
14:09,-1,- Jasnos Steal.,33,42
14:07,55,Foul on Malcolm Drumwright.,33,42
13:50,-1,- Simmons Turnover.,33,42
13:41,-1,Foul on - Black.,33,42
13:37,55,Jacksonville St  Timeout,33,42
13:26,-1,Foul on - Jasnos.,33,42
13:26,55,Tyrik Edwards made Free Throw.,33,43
13:26,55,Tyrik Edwards made Free Throw.,33,44
13:11,55,Foul on Jacara Cross.,33,44
13:11,-1,- Simmons made Free Throw.,34,44
13:11,-1,- Simmons made Free Throw.,35,44
13:06,-1,Foul on - Box.,35,44
13:06,55,Norbertas Giga made Free Throw.,35,45
13:06,55,Norbertas Giga made Free Throw.,35,46
13:02,-1,- Harden Turnover.,35,46
12:59,55,Erik Durham Steal.,35,46
12:56,55,Erik Durham made Jumper.,35,48
12:45,-1,- Simmons missed Jumper.,35,48
12:45,-1,- Harden Offensive Rebound.,35,48
12:39,-1,- Harden missed Layup.,35,48
12:39,55,Christian Cunningham Defensive Rebound.,35,48
12:29,-1,Foul on - Box.,35,48
12:29,55,Christian Cunningham made Free Throw.,35,49
12:29,55,Christian Cunningham made Free Throw.,35,50
12:18,55,Foul on Malcolm Drumwright.,35,50
12:03,-1,- Black missed Jumper.,35,50
12:03,55,Jacksonville St Defensive Rebound.,35,50
11:59,55,Jacksonville St  Timeout,35,50
11:35,55,Malcolm Drumwright made Three Point Jumper. Assisted by Norbertas Giga.,35,53
11:20,-1,- Ruffin Turnover.,35,53
11:18,55,Christian Cunningham Steal.,35,53
11:15,55,Malcolm Drumwright made Layup. Assisted by Christian Cunningham.,35,55
10:57,-1,Jerrico Williams made Jumper. Assisted by - Harden.,37,55
10:46,-1,Foul on Jerrico Williams.,37,55
10:46,55,Christian Cunningham made Free Throw.,37,56
10:46,55,Christian Cunningham made Free Throw.,37,57
10:42,-1,- Harden missed Jumper.,37,57
10:42,55,Christian Cunningham Defensive Rebound.,37,57
10:25,55,Greg Tucker made Three Point Jumper. Assisted by Malcolm Drumwright.,37,60
10:12,55,Foul on Tyrik Edwards.,37,60
10:03,-1,- Harden made Jumper.,39,60
9:41,55,Greg Tucker missed Three Point Jumper.,39,60
9:41,55,Andre Statam Offensive Rebound.,39,60
9:35,55,Jacara Cross missed Layup.,39,60
9:35,-1,Jerrico Williams Block.,39,60
9:35,-1,- Hevia Defensive Rebound.,39,60
9:35,-1,- Jasnos Turnover.,39,60
9:35,55,Ashton Spears Steal.,39,60
9:35,55,Jacara Cross made Layup.,39,62
9:25,55,Foul on Andre Statam.,39,62
9:12,-1,- Jasnos missed Jumper.,39,62
9:12,55,Tyrik Edwards Defensive Rebound.,39,62
8:58,55,Jacara Cross missed Layup.,39,62
8:58,55,Jacara Cross Offensive Rebound.,39,62
8:54,55,Jacara Cross made Layup.,39,64
8:35,-1,- Jasnos missed Three Point Jumper.,39,64
8:35,55,Andre Statam Defensive Rebound.,39,64
8:21,55,Andre Statam missed Jumper.,39,64
8:21,-1,- Dungan Defensive Rebound.,39,64
8:03,-1,Jerrico Williams made Layup.,41,64
7:42,55,Andre Statam made Three Point Jumper. Assisted by Tyrik Edwards.,41,67
7:25,-1,- Dungan missed Jumper.,41,67
7:25,55,Andre Statam Defensive Rebound.,41,67
7:15,55,Andre Statam made Three Point Jumper. Assisted by Ashton Spears.,41,70
6:29,55,Foul on Jacara Cross.,41,70
6:29,-1,Dalton State  Timeout,41,70
6:10,-1,- Jasnos missed Free Throw.,41,70
6:10,55,Andre Statam Defensive Rebound.,41,70
5:59,55,Tyrik Edwards missed Layup.,41,70
5:59,-1,- Jasnos Block.,41,70
5:56,55,Norbertas Giga Offensive Rebound.,41,70
5:53,55,Norbertas Giga made Layup.,41,72
5:34,-1,- Dungan missed Three Point Jumper.,41,72
5:34,-1,- Simmons Offensive Rebound.,41,72
5:29,-1,- Simmons missed Jumper.,41,72
5:29,-1,- Jasnos Offensive Rebound.,41,72
5:27,55,Foul on Norbertas Giga.,41,72
5:27,-1,- Simmons made Free Throw.,42,72
5:27,-1,- Simmons missed Free Throw.,42,72
5:27,55,Norbertas Giga Defensive Rebound.,42,72
4:56,55,Mohamed Abuarisha missed Jumper.,42,72
4:56,-1,Jerrico Williams Defensive Rebound.,42,72
4:36,55,Foul on Andre Statam.,42,72
4:36,-1,Jerrico Williams made Free Throw.,43,72
4:36,-1,Jerrico Williams made Free Throw.,44,72
4:29,-1,Foul on - Hevia.,44,72
4:29,55,Tyrik Edwards made Free Throw.,44,73
4:29,55,Tyrik Edwards made Free Throw.,44,74
4:13,-1,- Dungan missed Jumper.,44,74
4:13,55,Norbertas Giga Defensive Rebound.,44,74
3:49,55,Andre Statam made Three Point Jumper. Assisted by Norbertas Giga.,44,77
3:25,55,Foul on Ashton Spears.,44,77
3:25,-1,Dalton State  Timeout,44,77
3:25,-1,- Dungan made Free Throw.,45,77
3:25,-1,- Dungan made Free Throw.,46,77
3:15,55,Des Curry missed Layup.,46,77
3:15,-1,Jerrico Williams Defensive Rebound.,46,77
2:58,-1,Jerrico Williams missed Jumper.,46,77
2:58,55,Derrick Green Defensive Rebound.,46,77
2:58,55,Foul on Mohamed Abuarisha.,46,77
2:58,-1,- Simmons made Free Throw.,47,77
2:58,-1,- Simmons made Free Throw.,48,77
2:47,55,Andre Statam made Layup.,48,79
2:21,-1,Jerrico Williams Turnover.,48,79
2:07,55,Mohamed Abuarisha missed Jumper.,48,79
2:07,-1,- Nadiradze Defensive Rebound.,48,79
1:54,-1,- Wilson missed Jumper.,48,79
1:54,55,Andre Statam Defensive Rebound.,48,79
1:29,55,Mohamed Abuarisha made Layup.,48,81
1:14,-1,- Boyd missed Three Point Jumper.,48,81
1:14,-1,- Hevia Offensive Rebound.,48,81
1:08,-1,- Boyd missed Three Point Jumper.,48,81
1:08,55,Mohamed Abuarisha Defensive Rebound.,48,81
0:51,55,Deshawn Jones missed Layup.,48,81
0:51,-1,Jerrico Williams Block.,48,81
0:51,55,Jacksonville St Offensive Rebound.,48,81
0:38,55,Mohamed Abuarisha Turnover.,48,81
0:36,-1,- Dempsey Steal.,48,81
0:29,-1,- Wilson made Layup. Assisted by Jerrico Williams.,50,81
0:00,55,End of Game,50,81
