UT San Antonio,2320,Lamar,2636
12:28,2320,Foul on Dorian Chatman.,4,17
12:28,2636,Nick Billingsley made Free Throw.,5,17
12:28,2636,Nick Billingsley made Free Throw.,6,17
12:22,2636,Foul on Gino Littles.,6,17
12:22,2320,Torey Noel missed Free Throw.,6,17
12:22,2320,Lamar Deadball Team Rebound.,6,17
12:22,2320,Torey Noel missed Free Throw.,6,17
12:22,2636,Jeff Beverly Defensive Rebound.,6,17
12:05,2636,Jeff Beverly made Jumper.,8,17
11:43,2320,Torey Noel Turnover.,8,17
11:41,2636,Giovanni De Nicolao Steal.,8,17
11:37,2636,Jeff Beverly made Layup. Assisted by Giovanni De Nicolao.,10,17
11:17,2320,Marcus Owens made Jumper. Assisted by Nick Garth.,10,19
11:02,2636,Jeff Beverly missed Jumper.,10,19
11:02,2320,Dorian Chatman Defensive Rebound.,10,19
11:01,2636,Foul on Austin Karrer.,10,19
11:01,2320,Official TV Timeout,10,19
10:49,2320,Marcus Owens Turnover.,10,19
10:38,2636,Giovanni De Nicolao missed Three Point Jumper.,10,19
10:38,2320,Josh Nzeakor Defensive Rebound.,10,19
10:11,2320,Marcus Owens missed Three Point Jumper.,10,19
10:11,2636,Giovanni De Nicolao Defensive Rebound.,10,19
9:58,2636,Nick Allen made Layup. Assisted by Giovanni De Nicolao.,12,19
9:47,2320,Marcus Owens made Three Point Jumper. Assisted by Torey Noel.,12,22
9:26,2636,Nick Billingsley missed Three Point Jumper.,12,22
9:26,2320,Josh Nzeakor Defensive Rebound.,12,22
9:18,2320,Nick Garth missed Three Point Jumper.,12,22
9:18,2636,Nick Allen Defensive Rebound.,12,22
9:06,2636,Nick Allen missed Three Point Jumper.,12,22
9:06,2320,Marcus Owens Defensive Rebound.,12,22
8:36,2320,Torey Noel Turnover.,12,22
8:24,2636,Nick Allen missed Jumper.,12,22
8:24,2320,Josh Nzeakor Defensive Rebound.,12,22
8:22,2636,Foul on Jeff Beverly.,12,22
8:22,2320,Josh Nzeakor missed Free Throw.,12,22
8:22,2636,Lucas O'Brien Defensive Rebound.,12,22
8:09,2636,Giovanni De Nicolao Turnover.,12,22
7:56,2320,Joey Frenchwood missed Three Point Jumper.,12,22
7:56,2636,George Willborn III Defensive Rebound.,12,22
7:47,2636,Nick Allen made Layup. Assisted by George Willborn III.,14,22
7:15,2320,Joey Frenchwood Turnover.,14,22
7:15,2320,Official TV Timeout,14,22
7:13,2636,George Willborn III missed Layup.,14,22
7:13,2636,Giovanni De Nicolao Offensive Rebound.,14,22
6:58,2636,Lucas O'Brien made Layup. Assisted by Nick Allen.,16,22
6:37,2320,Cameron McGee missed Three Point Jumper.,16,22
6:37,2320,Dorian Chatman Offensive Rebound.,16,22
6:35,2636,Foul on Nick Allen.,16,22
6:35,2320,Dorian Chatman made Free Throw.,16,23
6:35,2320,Dorian Chatman missed Free Throw.,16,23
6:35,2636,Lucas O'Brien Defensive Rebound.,16,23
6:24,2636,Nick Allen missed Three Point Jumper.,16,23
6:24,2636,Nick Allen Offensive Rebound.,16,23
6:21,2320,Foul on Tyrin Atwood.,16,23
6:00,2636,George Willborn III missed Three Point Jumper.,16,23
6:00,2320,Lamar Defensive Rebound.,16,23
5:44,2320,Josh Nzeakor missed Layup.,16,23
5:44,2636,Gino Littles Defensive Rebound.,16,23
5:29,2320,Foul on Josh Nzeakor.,16,23
5:16,2636,Lucas O'Brien missed Three Point Jumper.,16,23
5:16,2320,Dorian Chatman Defensive Rebound.,16,23
5:01,2320,Josh Nzeakor missed Layup.,16,23
5:01,2636,George Willborn III Defensive Rebound.,16,23
4:52,2636,Lucas O'Brien Turnover.,16,23
4:50,2320,Dorian Chatman Steal.,16,23
4:45,2320,Cameron McGee missed Layup.,16,23
4:45,2636,George Willborn III Defensive Rebound.,16,23
4:45,2636,Foul on Byron Frohnen.,16,23
4:45,2320,Josh Nzeakor missed Free Throw.,16,23
4:45,2320,Lamar Deadball Team Rebound.,16,23
4:45,2320,Josh Nzeakor missed Free Throw.,16,23
4:45,2636,Nick Allen Defensive Rebound.,16,23
4:30,2320,Foul on Josh Nzeakor.,16,23
4:30,2636,Lucas O'Brien made Free Throw.,17,23
4:30,2636,Lucas O'Brien made Free Throw.,18,23
4:12,2320,Dorian Chatman missed Jumper.,18,23
4:12,2636,Nick Allen Defensive Rebound.,18,23
3:55,2636,Giovanni De Nicolao missed Jumper.,18,23
3:55,2320,Marcus Owens Defensive Rebound.,18,23
3:29,2320,Joey Frenchwood missed Jumper.,18,23
3:29,2636,Nick Allen Defensive Rebound.,18,23
3:09,2636,Lucas O'Brien missed Three Point Jumper.,18,23
3:09,2320,Cameron McGee Defensive Rebound.,18,23
3:00,2320,Christian Albright missed Layup.,18,23
3:00,2636,Lucas O'Brien Defensive Rebound.,18,23
2:44,2320,Foul on Marcus Owens.,18,23
2:44,2320,Official TV Timeout,18,23
2:44,2636,Byron Frohnen missed Free Throw.,18,23
2:44,2636,Lucas O'Brien Offensive Rebound.,18,23
2:25,2636,Giovanni De Nicolao made Jumper.,20,23
2:07,2320,Marcus Owens missed Three Point Jumper.,20,23
2:07,2320,Christian Albright Offensive Rebound.,20,23
2:03,2320,Christian Albright made Layup.,20,25
1:45,2636,Nick Billingsley missed Jumper.,20,25
1:45,2320,Joey Frenchwood Defensive Rebound.,20,25
1:39,2320,Joey Frenchwood made Layup. Assisted by Nick Garth.,20,27
1:28,2320,Foul on Christian Albright.,20,27
1:28,2636,Lucas O'Brien made Free Throw.,21,27
1:28,2636,Lucas O'Brien missed Free Throw.,21,27
1:28,2320,Dorian Chatman Defensive Rebound.,21,27
1:07,2320,Nick Garth made Three Point Jumper. Assisted by Marcus Owens.,21,30
0:48,2636,Bola Alade Turnover.,21,30
0:24,2636,Foul on Bola Alade.,21,30
0:24,2320,Joey Frenchwood made Free Throw.,21,31
0:24,2320,Joey Frenchwood made Free Throw.,21,32
0:03,2636,Byron Frohnen missed Jumper.,21,32
0:03,2636,Nick Allen Offensive Rebound.,21,32
0:00,2320,End of 1st half,21,32
19:49,2636,Giovanni De Nicolao made Three Point Jumper. Assisted by Byron Frohnen.,24,32
19:36,2320,Colton Weisbrod missed Jumper.,24,32
19:36,2636,Byron Frohnen Defensive Rebound.,24,32
19:24,2636,Giovanni De Nicolao missed Three Point Jumper.,24,32
19:24,2320,Josh Nzeakor Defensive Rebound.,24,32
19:18,2636,Foul on George Willborn III.,24,32
19:09,2636,Foul on George Willborn III.,24,32
18:53,2320,Torey Noel made Three Point Jumper.,24,35
18:34,2636,Jeff Beverly missed Three Point Jumper.,24,35
18:34,2320,Josh Nzeakor Defensive Rebound.,24,35
18:00,2320,Torey Noel missed Three Point Jumper.,24,35
18:00,2636,Nick Allen Defensive Rebound.,24,35
17:37,2636,Byron Frohnen missed Jumper.,24,35
17:37,2320,Colton Weisbrod Defensive Rebound.,24,35
17:26,2320,Josh Nzeakor missed Layup.,24,35
17:26,2636,Byron Frohnen Defensive Rebound.,24,35
17:16,2636,Jeff Beverly made Jumper. Assisted by Giovanni De Nicolao.,26,35
16:52,2320,Marcus Owens made Three Point Jumper. Assisted by Joey Frenchwood.,26,38
16:45,2636,Jeff Beverly made Layup. Assisted by Giovanni De Nicolao.,28,38
16:45,2320,Foul on Josh Nzeakor.,28,38
16:45,2636,Jeff Beverly made Free Throw.,29,38
16:23,2320,Joey Frenchwood missed Jumper.,29,38
16:23,2636,Nick Allen Defensive Rebound.,29,38
16:04,2636,Gino Littles made Three Point Jumper. Assisted by Giovanni De Nicolao.,32,38
15:31,2320,Joey Frenchwood made Three Point Jumper. Assisted by Torey Noel.,32,41
15:13,2636,Jeff Beverly missed Three Point Jumper.,32,41
15:13,2320,Marcus Owens Defensive Rebound.,32,41
15:10,2636,Foul on Austin Karrer.,32,41
15:10,2320,Official TV Timeout,32,41
14:55,2320,Dorian Chatman missed Layup.,32,41
14:55,2636,Nick Allen Block.,32,41
14:55,2636,Austin Karrer Defensive Rebound.,32,41
14:51,2636,Gino Littles Turnover.,32,41
14:49,2320,Marcus Owens Steal.,32,41
14:46,2320,Colton Weisbrod made Layup. Assisted by Dorian Chatman.,32,43
14:22,2320,Foul on Marcus Owens.,32,43
14:22,2636,Jeff Beverly made Free Throw.,33,43
14:22,2636,Jeff Beverly made Free Throw.,34,43
13:54,2320,Nick Garth missed Layup.,34,43
13:54,2636,Gino Littles Defensive Rebound.,34,43
13:36,2636,Nick Allen missed Three Point Jumper.,34,43
13:36,2636,Nick Allen Offensive Rebound.,34,43
13:31,2636,Nick Allen made Layup.,36,43
13:11,2320,Dorian Chatman missed Jumper.,36,43
13:11,2636,Nick Allen Defensive Rebound.,36,43
12:53,2636,Giovanni De Nicolao made Layup.,38,43
12:45,2320,Torey Noel missed Layup.,38,43
12:45,2636,Giovanni De Nicolao Defensive Rebound.,38,43
12:25,2636,Nick Allen made Layup.,40,43
12:18,2320,Lamar  Timeout,40,43
12:06,2636,Foul on Austin Karrer.,40,43
12:06,2320,Colton Weisbrod made Free Throw.,40,44
12:06,2320,Colton Weisbrod made Free Throw.,40,45
11:53,2636,Gino Littles missed Jumper.,40,45
11:53,2320,Lamar Defensive Rebound.,40,45
11:52,2320,Official TV Timeout,40,45
11:40,2320,Joey Frenchwood made Three Point Jumper. Assisted by Dorian Chatman.,40,48
11:22,2636,George Willborn III missed Layup.,40,48
11:22,2320,Dorian Chatman Block.,40,48
11:22,2320,Lamar Defensive Rebound.,40,48
11:04,2320,Dorian Chatman missed Three Point Jumper.,40,48
11:04,2636,Gino Littles Defensive Rebound.,40,48
10:36,2320,Foul on Dorian Chatman.,40,48
10:34,2636,George Willborn III made Layup. Assisted by Giovanni De Nicolao.,42,48
10:15,2320,Joey Frenchwood missed Three Point Jumper.,42,48
10:15,2636,George Willborn III Defensive Rebound.,42,48
10:09,2636,George Willborn III made Layup.,44,48
10:09,2320,Foul on Nick Garth.,44,48
10:09,2636,George Willborn III missed Free Throw.,44,48
10:09,2320,Marcus Owens Defensive Rebound.,44,48
9:41,2320,Marcus Owens missed Three Point Jumper.,44,48
9:41,2320,Dorian Chatman Offensive Rebound.,44,48
9:32,2320,Nick Garth missed Three Point Jumper.,44,48
9:32,2320,Dorian Chatman Offensive Rebound.,44,48
9:27,2320,Nick Garth made Three Point Jumper. Assisted by Dorian Chatman.,44,51
9:11,2636,Nick Allen missed Jumper.,44,51
9:11,2320,Colton Weisbrod Defensive Rebound.,44,51
9:02,2320,Nick Garth missed Three Point Jumper.,44,51
9:02,2636,Byron Frohnen Defensive Rebound.,44,51
8:58,2320,Foul on Dorian Chatman.,44,51
8:47,2636,Byron Frohnen missed Jumper.,44,51
8:47,2320,Colton Weisbrod Defensive Rebound.,44,51
8:26,2320,Colton Weisbrod made Layup. Assisted by Dorian Chatman.,44,53
8:26,2636,Foul on Byron Frohnen.,44,53
8:26,2320,Colton Weisbrod made Free Throw.,44,54
7:59,2636,George Willborn III made Layup. Assisted by Nick Allen.,46,54
7:59,2320,Foul on Nick Garth.,46,54
7:59,2320,Official TV Timeout,46,54
7:59,2636,George Willborn III made Free Throw.,47,54
7:46,2320,Nick Garth missed Three Point Jumper.,47,54
7:46,2320,Torey Noel Offensive Rebound.,47,54
7:39,2320,Colton Weisbrod missed Layup.,47,54
7:39,2636,Jeff Beverly Block.,47,54
7:39,2320,Lamar Offensive Rebound.,47,54
7:31,2320,Nick Garth made Jumper.,47,56
7:18,2636,Byron Frohnen made Layup. Assisted by Giovanni De Nicolao.,49,56
6:49,2320,Nick Garth made Three Point Jumper.,49,59
6:24,2636,Jeff Beverly made Layup. Assisted by Giovanni De Nicolao.,51,59
6:00,2320,Dorian Chatman made Jumper.,51,61
5:46,2636,UT San Antonio  Timeout,51,61
5:38,2636,Giovanni De Nicolao Turnover.,51,61
5:37,2320,Torey Noel Steal.,51,61
5:33,2320,Torey Noel missed Layup.,51,61
5:33,2636,Nick Allen Defensive Rebound.,51,61
5:23,2636,Byron Frohnen missed Layup.,51,61
5:23,2320,Dorian Chatman Block.,51,61
5:23,2636,Nick Allen Offensive Rebound.,51,61
5:19,2636,Nick Allen missed Layup.,51,61
5:19,2320,Dorian Chatman Block.,51,61
5:19,2320,Marcus Owens Defensive Rebound.,51,61
5:14,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,51,64
5:01,2636,Giovanni De Nicolao Turnover.,51,64
5:01,2636,Foul on Giovanni De Nicolao.,51,64
5:00,2636,Foul on Giovanni De Nicolao.,51,64
5:00,2320,Torey Noel made Free Throw.,51,65
5:00,2320,Torey Noel made Free Throw.,51,66
4:38,2320,Foul on Colton Weisbrod.,51,66
4:38,2636,Lucas O'Brien made Free Throw.,52,66
4:38,2636,Lucas O'Brien made Free Throw.,53,66
4:23,2320,Nick Garth made Three Point Jumper. Assisted by Torey Noel.,53,69
4:09,2636,George Willborn III Turnover.,53,69
4:08,2320,Marcus Owens Steal.,53,69
4:05,2320,Nick Garth missed Three Point Jumper.,53,69
4:05,2636,Lucas O'Brien Defensive Rebound.,53,69
3:45,2636,Lucas O'Brien missed Jumper.,53,69
3:45,2320,Dorian Chatman Defensive Rebound.,53,69
3:34,2636,Foul on Giovanni De Nicolao.,53,69
3:34,2320,Official TV Timeout,53,69
3:34,2320,Nick Garth made Free Throw.,53,70
3:34,2320,Nick Garth made Free Throw.,53,71
3:21,2636,Jeff Beverly made Jumper.,55,71
2:50,2320,Nick Garth missed Three Point Jumper.,55,71
2:50,2320,Dorian Chatman Offensive Rebound.,55,71
2:49,2320,Lamar  Turnover.,55,71
2:35,2636,Nick Allen made Layup.,57,71
2:35,2320,Foul on Colton Weisbrod.,57,71
2:35,2636,Nick Allen made Free Throw.,58,71
2:10,2320,Marcus Owens made Jumper.,58,73
2:01,2636,George Willborn III missed Three Point Jumper.,58,73
2:01,2320,Torey Noel Defensive Rebound.,58,73
1:56,2636,Foul on Giovanni De Nicolao.,58,73
1:56,2320,Torey Noel made Free Throw.,58,74
1:56,2320,Torey Noel missed Free Throw.,58,74
1:56,2320,Torey Noel Offensive Rebound.,58,74
1:24,2320,Lamar  Turnover.,58,74
1:13,2636,Jeff Beverly missed Jumper.,58,74
1:13,2320,Colton Weisbrod Defensive Rebound.,58,74
1:08,2320,Nick Garth made Layup. Assisted by Colton Weisbrod.,58,76
0:41,2636,Byron Frohnen Turnover.,58,76
0:40,2320,Dorian Chatman Steal.,58,76
0:17,2320,Colton Weisbrod made Layup. Assisted by Torey Noel.,58,78
0:10,2636,Gino Littles missed Three Point Jumper.,58,78
0:10,2320,Lamar Defensive Rebound.,58,78
