Oklahoma State,153,North Carolina,197
15:36,153,Justin Jackson Offensive Rebound.,42,67
15:30,153,Justin Jackson made Layup.,42,69
15:21,197,Cameron McGriff missed Jumper.,42,69
15:21,153,Justin Jackson Defensive Rebound.,42,69
15:12,153,Kenny Williams missed Three Point Jumper.,42,69
15:12,197,Oklahoma St Defensive Rebound.,42,69
14:54,197,Leyton Hammonds Turnover.,42,69
14:54,153,Tony Bradley Steal.,42,69
14:41,197,Foul on Phil Forte III.,42,69
14:35,153,Justin Jackson missed Three Point Jumper.,42,69
14:35,153,Tony Bradley Offensive Rebound.,42,69
14:30,197,Foul on Leyton Hammonds.,42,69
14:30,153,Tony Bradley missed Free Throw.,42,69
14:30,153,North Carolina Deadball Team Rebound.,42,69
14:30,153,Tony Bradley made Free Throw.,42,70
14:23,197,Jawun Evans made Three Point Jumper.,45,70
14:04,153,Justin Jackson missed Three Point Jumper.,45,70
14:04,197,Jawun Evans Defensive Rebound.,45,70
13:55,197,Lindy Waters III made Three Point Jumper. Assisted by Jawun Evans.,48,70
13:48,153,Joel Berry II Turnover.,48,70
13:48,197,Tavarius Shine Steal.,48,70
13:40,197,Jawun Evans made Jumper.,50,70
13:38,197,Foul on Tavarius Shine.,50,70
13:32,153,Seventh Woods Turnover.,50,70
13:32,197,Jawun Evans Steal.,50,70
13:28,153,Foul on Seventh Woods.,50,70
13:28,197,Jawun Evans made Free Throw.,51,70
13:28,197,Jawun Evans missed Free Throw.,51,70
13:28,153,Isaiah Hicks Defensive Rebound.,51,70
13:12,153,Tony Bradley made Dunk. Assisted by Justin Jackson.,51,72
12:59,197,Jawun Evans Turnover.,51,72
12:59,153,Justin Jackson Steal.,51,72
12:54,153,Nate Britt Turnover.,51,72
12:54,197,Lindy Waters III Steal.,51,72
12:32,197,Lindy Waters III Turnover.,51,72
12:23,197,Foul on Phil Forte III.,51,72
12:23,153,Nate Britt made Free Throw.,51,73
12:23,153,Nate Britt made Free Throw.,51,74
12:16,197,Lindy Waters III missed Three Point Jumper.,51,74
12:16,153,Isaiah Hicks Defensive Rebound.,51,74
12:11,153,Isaiah Hicks Turnover.,51,74
12:00,197,Jeffrey Carroll made Layup.,53,74
11:42,153,Nate Britt made Layup.,53,76
11:31,153,Foul on Seventh Woods.,53,76
11:31,153,Official TV Timeout,53,76
11:17,197,Tavarius Shine missed Layup.,53,76
11:17,153,Joel Berry II Defensive Rebound.,53,76
11:09,153,Joel Berry II made Jumper.,53,78
11:00,197,Jawun Evans missed Jumper.,53,78
11:00,197,Jeffrey Carroll Offensive Rebound.,53,78
10:57,153,Foul on Nate Britt.,53,78
10:48,197,Jawun Evans Turnover.,53,78
10:48,153,Joel Berry II Steal.,53,78
10:42,153,Isaiah Hicks Turnover.,53,78
10:33,197,Mitchell Solomon missed Jumper.,53,78
10:33,153,Joel Berry II Defensive Rebound.,53,78
10:15,153,Isaiah Hicks made Dunk. Assisted by Justin Jackson.,53,80
9:55,197,Jawun Evans missed Three Point Jumper.,53,80
9:49,153,North Carolina Offensive Rebound.,53,80
9:37,197,Foul on Mitchell Solomon.,53,80
9:37,197,Mitchell Solomon Turnover.,53,80
9:21,153,Isaiah Hicks made Jumper.,53,82
9:21,197,Foul on Jeffrey Carroll.,53,82
9:21,153,Isaiah Hicks made Free Throw.,53,83
9:01,197,Jawun Evans Turnover.,53,83
9:01,153,Joel Berry II Steal.,53,83
8:50,197,Foul on Cameron McGriff.,53,83
8:50,153,Justin Jackson made Free Throw.,53,84
8:50,153,Justin Jackson made Free Throw.,53,85
8:44,197,Jawun Evans made Layup.,55,85
8:34,153,Nate Britt made Jumper. Assisted by Joel Berry II.,55,87
8:21,197,Jawun Evans made Layup.,57,87
8:11,153,Joel Berry II missed Three Point Jumper.,57,87
8:11,197,Thomas Dziagwa Defensive Rebound.,57,87
8:01,197,Thomas Dziagwa made Three Point Jumper. Assisted by Brandon Averette.,60,87
7:41,153,Nate Britt missed Jumper.,60,87
7:41,153,Kennedy Meeks Offensive Rebound.,60,87
7:41,153,Kennedy Meeks missed Two Point Tip Shot.,60,87
7:41,197,Thomas Dziagwa Defensive Rebound.,60,87
7:39,153,Foul on Kennedy Meeks.,60,87
7:39,153,Official TV Timeout,60,87
7:39,197,Thomas Dziagwa made Free Throw.,61,87
7:39,197,Thomas Dziagwa made Free Throw.,62,87
7:19,153,Kennedy Meeks missed Jumper.,62,87
7:19,197,Mitchell Solomon Block.,62,87
7:19,153,Justin Jackson Offensive Rebound.,62,87
7:09,153,Justin Jackson made Layup.,62,89
7:03,197,Mitchell Solomon missed Layup.,62,89
7:03,153,Kennedy Meeks Defensive Rebound.,62,89
6:43,153,Joel Berry II made Three Point Jumper. Assisted by Nate Britt.,62,92
6:33,197,Brandon Averette made Jumper.,64,92
6:25,153,Isaiah Hicks made Dunk. Assisted by Justin Jackson.,64,94
6:13,197,Brandon Averette missed Jumper.,64,94
6:13,197,Mitchell Solomon Offensive Rebound.,64,94
6:09,153,Foul on Kennedy Meeks.,64,94
6:09,197,Mitchell Solomon made Free Throw.,65,94
6:09,197,Mitchell Solomon made Free Throw.,66,94
5:55,197,Foul on Lucas N'Guessan.,66,94
5:55,153,Kennedy Meeks made Free Throw.,66,95
5:55,153,Kennedy Meeks made Free Throw.,66,96
5:46,197,Brandon Averette missed Jumper.,66,96
5:46,153,Tony Bradley Block.,66,96
5:46,197,Thomas Dziagwa Offensive Rebound.,66,96
5:36,197,Lindy Waters III made Three Point Jumper. Assisted by Lucas N'Guessan.,69,96
5:10,153,Isaiah Hicks missed Jumper.,69,96
5:10,197,Lindy Waters III Defensive Rebound.,69,96
5:08,153,Foul on Kennedy Meeks.,69,96
5:08,197,Lindy Waters III made Free Throw.,70,96
5:08,197,Lindy Waters III made Free Throw.,71,96
4:47,153,Tony Bradley made Dunk. Assisted by Justin Jackson.,71,98
4:31,197,Jeffrey Carroll missed Three Point Jumper.,71,98
4:31,153,Kenny Williams Defensive Rebound.,71,98
4:05,153,Kenny Williams made Three Point Jumper. Assisted by Justin Jackson.,71,101
3:48,197,Brandon Averette missed Layup.,71,101
3:48,153,Isaiah Hicks Defensive Rebound.,71,101
3:28,153,Nate Britt missed Jumper.,71,101
3:28,153,Justin Jackson Offensive Rebound.,71,101
3:22,197,Foul on Lindy Waters III.,71,101
3:22,153,Official TV Timeout,71,101
3:22,153,Justin Jackson made Free Throw.,71,102
3:22,153,Justin Jackson made Free Throw.,71,103
2:59,197,Thomas Dziagwa missed Three Point Jumper.,71,103
2:59,153,Brandon Robinson Defensive Rebound.,71,103
2:54,153,Jump Ball won by North Carolina,71,103
2:38,153,Nate Britt missed Three Point Jumper.,71,103
2:38,197,Will Lienhard Defensive Rebound.,71,103
2:11,197,Will Lienhard made Layup.,73,103
1:55,153,North Carolina  Timeout,73,103
1:42,153,Brandon Robinson missed Three Point Jumper.,73,103
1:42,153,Kanler Coker Offensive Rebound.,73,103
1:42,153,Kanler Coker made Two Point Tip Shot.,73,105
1:15,197,Lindy Waters III missed Three Point Jumper.,73,105
1:15,153,Brandon Robinson Defensive Rebound.,73,105
1:07,153,Shea Rush missed Layup.,73,105
1:07,153,Brandon Robinson Offensive Rebound.,73,105
1:06,197,Foul on Will Lienhard.,73,105
1:06,153,Brandon Robinson made Free Throw.,73,106
1:06,153,Brandon Robinson made Free Throw.,73,107
0:47,153,Shea Rush Defensive Rebound.,73,107
0:47,197,Will Lienhard missed Layup.,73,107
0:21,153,Stilman White Turnover.,73,107
0:21,197,Brandon Averette Steal.,73,107
0:20,197,Brandon Averette made Layup.,75,107
0:00,153,End of Game,75,107
