Florida National,Error,North Florida,2454
2:52,2454,North Florida Deadball Team Rebound.,30,43
2:52,2454,Romelo Banks missed Free Throw.,30,43
2:52,-1,Aaron Carpenter Defensive Rebound.,30,43
2:38,-1,Jermohn Queen missed Jumper.,30,43
2:38,-1,Antonio Sims Offensive Rebound.,30,43
2:26,2454,Foul on Aaron Horne.,30,43
2:25,-1,Aaron Carpenter Turnover.,30,43
2:24,2454,Aaron Horne Steal.,30,43
2:21,2454,CJ Fisher made Layup.,30,45
2:02,-1,Jermohn Queen made Layup.,32,45
2:02,2454,Foul on Karlos Odum.,32,45
2:02,-1,Florida National  Timeout,32,45
2:02,-1,Jermohn Queen made Free Throw.,33,45
1:58,2454,Garrett Sams Turnover.,33,45
1:57,-1,Jermohn Queen Steal.,33,45
1:49,-1,Aaron Carpenter missed Layup.,33,45
1:49,-1,Antonio Sims Offensive Rebound.,33,45
1:37,-1,Terence Johnson Turnover.,33,45
1:36,2454,Garrett Sams Steal.,33,45
1:27,-1,Foul on Aaron Carpenter.,33,45
1:27,2454,Karlos Odum missed Free Throw.,33,45
1:27,2454,North Florida Deadball Team Rebound.,33,45
1:27,2454,Karlos Odum made Free Throw.,33,46
1:10,2454,Foul on CJ Fisher.,33,46
1:10,-1,Jermohn Queen made Free Throw.,34,46
1:10,-1,Jermohn Queen made Free Throw.,35,46
0:54,2454,Garrett Sams made Three Point Jumper. Assisted by Chris Davenport.,35,49
0:23,-1,Terence Johnson made Layup.,37,49
0:01,2454,Garrett Sams made Three Point Jumper. Assisted by Chris Davenport.,37,52
0:00,2454,End of 1st half,37,52
19:57,-1,Aaron Carpenter missed Three Point Jumper.,37,52
19:57,2454,Chris Davenport Defensive Rebound.,37,52
19:26,2454,Romelo Banks made Jumper.,37,54
19:11,-1,Terence Johnson missed Jumper.,37,54
19:11,2454,Chris Davenport Defensive Rebound.,37,54
19:09,2454,Chris Davenport Turnover.,37,54
19:07,-1,Aaron Carpenter missed Three Point Jumper.,37,54
19:07,2454,Chris Davenport Defensive Rebound.,37,54
19:00,2454,Dallas Moore missed Layup.,37,54
19:00,2454,Nick Malonga Offensive Rebound.,37,54
18:58,2454,Nick Malonga made Layup.,37,56
18:37,-1,Antonio Sims Turnover.,37,56
18:27,2454,Chris Davenport Turnover.,37,56
18:10,-1,Jermohn Queen missed Three Point Jumper.,37,56
18:10,2454,Dallas Moore Defensive Rebound.,37,56
17:59,2454,Nick Malonga missed Three Point Jumper.,37,56
17:59,2454,Aaron Bodager Offensive Rebound.,37,56
17:49,2454,Dallas Moore made Three Point Jumper. Assisted by Chris Davenport.,37,59
17:18,-1,Aaron Carpenter made Layup.,39,59
17:07,2454,Chris Davenport missed Three Point Jumper.,39,59
17:07,2454,Romelo Banks Offensive Rebound.,39,59
17:02,2454,Romelo Banks made Jumper.,39,61
16:52,-1,Alvaro Simoza missed Layup.,39,61
16:52,2454,Nick Malonga Defensive Rebound.,39,61
16:34,2454,Dallas Moore missed Three Point Jumper.,39,61
16:34,2454,Romelo Banks Offensive Rebound.,39,61
16:32,-1,Foul on Terence Johnson.,39,61
16:32,-1,Florida National  Timeout,39,61
16:32,2454,Romelo Banks missed Free Throw.,39,61
16:32,2454,North Florida Deadball Team Rebound.,39,61
16:32,2454,Romelo Banks made Free Throw.,39,62
16:16,-1,Aaron Carpenter missed Three Point Jumper.,39,62
16:16,2454,Romelo Banks Defensive Rebound.,39,62
16:08,2454,Garrett Sams made Three Point Jumper. Assisted by Dallas Moore.,39,65
16:06,2454,North Florida  Timeout,39,65
15:56,-1,Alvaro Simoza made Layup. Assisted by Terence Johnson.,41,65
15:43,2454,Dallas Moore Turnover.,41,65
15:40,-1,Jermohn Queen Steal.,41,65
15:34,2454,Foul on Dallas Moore.,41,65
15:26,2454,Garrett Sams Turnover.,41,65
15:23,2454,Wajid Aminu Steal.,41,65
15:19,2454,Dallas Moore made Three Point Jumper. Assisted by Aaron Bodager.,41,68
14:57,-1,Aaron Carpenter missed Three Point Jumper.,41,68
14:57,2454,Romelo Banks Defensive Rebound.,41,68
14:49,2454,Dallas Moore made Layup. Assisted by Romelo Banks.,41,70
14:32,2454,Foul on Romelo Banks.,41,70
14:32,-1,Terence Johnson made Free Throw.,42,70
14:32,-1,Terence Johnson made Free Throw.,43,70
14:22,2454,Dallas Moore missed Layup.,43,70
14:22,-1,Dustin Cousin Defensive Rebound.,43,70
13:56,2454,Foul on Aaron Horne.,43,70
13:52,-1,Terence Johnson made Jumper.,45,70
13:34,-1,Foul on Terence Johnson.,45,70
13:24,2454,Wajid Aminu made Jumper. Assisted by Dallas Moore.,45,72
13:18,-1,Jermohn Queen missed Jumper.,45,72
13:18,2454,Wajid Aminu Defensive Rebound.,45,72
13:09,2454,Karlos Odum made Layup. Assisted by Wajid Aminu.,45,74
13:09,-1,Foul on Alvaro Simoza.,45,74
13:09,2454,Karlos Odum made Free Throw.,45,75
12:52,-1,Bryan Smith missed Jumper.,45,75
12:52,2454,Garrett Sams Defensive Rebound.,45,75
12:47,2454,Dallas Moore made Dunk. Assisted by Garrett Sams.,45,77
12:27,-1,Bryan Smith missed Jumper.,45,77
12:27,2454,North Florida Defensive Rebound.,45,77
12:11,2454,Wajid Aminu Turnover.,45,77
11:58,-1,Dustin Cousin Turnover.,45,77
11:57,2454,CJ Fisher Steal.,45,77
11:48,-1,Foul on Dustin Cousin.,45,77
11:48,2454,Official TV Timeout,45,77
11:48,2454,Karlos Odum made Free Throw.,45,78
11:48,2454,Karlos Odum made Free Throw.,45,79
11:41,-1,Deontrea Dixon Turnover.,45,79
11:39,2454,Wajid Aminu Steal.,45,79
11:37,2454,Aaron Horne missed Layup.,45,79
11:37,-1,Florida National Defensive Rebound.,45,79
11:36,2454,Foul on Karlos Odum.,45,79
11:24,-1,Bryan Smith missed Jumper.,45,79
11:24,2454,Chris Davenport Defensive Rebound.,45,79
11:16,2454,Garrett Sams missed Layup.,45,79
11:16,2454,Aaron Horne Offensive Rebound.,45,79
11:14,2454,Aaron Horne made Layup.,45,81
11:03,-1,Jermohn Queen missed Layup.,45,81
11:03,2454,Karlos Odum Block.,45,81
11:03,-1,Florida National Offensive Rebound.,45,81
11:00,-1,Antonio Sims missed Jumper.,45,81
11:00,2454,Garrett Sams Defensive Rebound.,45,81
10:52,2454,Karlos Odum made Dunk. Assisted by Aaron Horne.,45,83
10:27,-1,Jermohn Queen Turnover.,45,83
10:11,2454,Karlos Odum made Dunk. Assisted by Chris Davenport.,45,85
9:54,-1,Tavares Atkins made Dunk. Assisted by Jermohn Queen.,47,85
9:48,2454,Aaron Horne made Layup. Assisted by CJ Fisher.,47,87
9:48,-1,Foul on Tavares Atkins.,47,87
9:48,2454,Aaron Horne made Free Throw.,47,88
9:37,-1,Antonio Sims missed Layup.,47,88
9:37,2454,Romelo Banks Block.,47,88
9:36,2454,Romelo Banks Defensive Rebound.,47,88
9:29,2454,Chris Davenport made Dunk.,47,90
9:10,-1,Terence Johnson missed Jumper.,47,90
9:10,2454,Romelo Banks Defensive Rebound.,47,90
8:46,-1,Foul on Antonio Sims.,47,90
8:40,2454,CJ Fisher made Layup.,47,92
8:26,-1,Jermohn Queen made Jumper.,49,92
8:17,2454,Wajid Aminu made Layup. Assisted by CJ Fisher.,49,94
8:00,-1,Jermohn Queen made Layup.,51,94
7:31,2454,Osborn Blount missed Layup.,51,94
7:31,2454,Wajid Aminu Offensive Rebound.,51,94
7:29,2454,Wajid Aminu made Layup.,51,96
7:06,-1,Terence Johnson made Three Point Jumper. Assisted by Antonio Sims.,54,96
7:06,-1,Florida National  Timeout,54,96
6:53,2454,Wajid Aminu made Dunk. Assisted by Osborn Blount.,54,98
6:39,-1,Jermohn Queen missed Layup.,54,98
6:39,2454,Wajid Aminu Block.,54,98
6:36,2454,Aaron Horne Defensive Rebound.,54,98
6:28,2454,Aaron Horne made Layup. Assisted by CJ Fisher.,54,100
6:12,-1,Aaron Carpenter missed Three Point Jumper.,54,100
6:12,-1,Terence Johnson Offensive Rebound.,54,100
6:09,-1,Terence Johnson made Jumper.,56,100
5:58,2454,Osborn Blount missed Jumper.,56,100
5:58,-1,Chris Miranda Defensive Rebound.,56,100
5:53,-1,Chris Miranda Turnover.,56,100
5:53,2454,Karlos Odum Steal.,56,100
5:53,-1,Foul on Chris Miranda.,56,100
5:53,2454,Karlos Odum missed Free Throw.,56,100
5:53,2454,North Florida Deadball Team Rebound.,56,100
5:53,2454,Karlos Odum made Free Throw.,56,101
5:53,-1,Terence Johnson missed Three Point Jumper.,56,101
5:53,-1,Aaron Carpenter Offensive Rebound.,56,101
5:53,-1,Aaron Carpenter made Layup.,58,101
5:52,-1,Foul on Jermohn Queen.,58,101
5:43,2454,CJ Fisher missed Free Throw.,58,101
5:43,-1,Florida National Defensive Rebound.,58,101
5:17,-1,Antonio Sims made Three Point Jumper. Assisted by Terence Johnson.,61,101
5:06,-1,Foul on Jermohn Queen.,61,101
5:06,2454,CJ Fisher made Free Throw.,61,102
5:06,2454,CJ Fisher missed Free Throw.,61,102
5:06,-1,Florida National Defensive Rebound.,61,102
4:58,-1,Antonio Sims missed Three Point Jumper.,61,102
4:58,2454,Osborn Blount Defensive Rebound.,61,102
4:52,2454,Karlos Odum made Dunk. Assisted by Osborn Blount.,61,104
4:42,-1,Jermohn Queen missed Layup.,61,104
4:42,2454,Karlos Odum Defensive Rebound.,61,104
4:29,2454,Karlos Odum made Layup. Assisted by CJ Fisher.,61,106
4:15,-1,Aaron Carpenter missed Jumper.,61,106
4:15,-1,Antonio Sims Offensive Rebound.,61,106
4:12,2454,Foul on CJ Fisher.,61,106
4:01,-1,Jermohn Queen missed Jumper.,61,106
4:01,2454,Aaron Horne Defensive Rebound.,61,106
3:51,2454,Wajid Aminu made Dunk. Assisted by Osborn Blount.,61,108
3:32,-1,Jermohn Queen missed Jumper.,61,108
3:32,2454,Wajid Aminu Defensive Rebound.,61,108
3:29,2454,Official TV Timeout,61,108
3:05,2454,Aaron Horne missed Jumper.,61,108
3:05,-1,Aaron Carpenter Defensive Rebound.,61,108
2:50,-1,Alvaro Simoza made Layup.,63,108
2:22,2454,Chase Driscoll Turnover.,63,108
2:22,2454,Foul on Garrett Sams.,63,108
2:11,-1,Deontrea Dixon missed Three Point Jumper.,63,108
2:11,-1,William Bunton Offensive Rebound.,63,108
2:08,-1,William Bunton missed Jumper.,63,108
2:08,2454,CJ Fisher Defensive Rebound.,63,108
1:59,2454,CJ Fisher made Layup.,63,110
1:50,-1,William Bunton Turnover.,63,110
1:49,2454,Aaron Horne Steal.,63,110
1:40,2454,CJ Fisher Turnover.,63,110
1:38,-1,Bryan Smith Steal.,63,110
1:35,-1,Bryan Smith missed Three Point Jumper.,63,110
1:35,2454,Wajid Aminu Defensive Rebound.,63,110
1:19,2454,Aaron Horne missed Layup.,63,110
1:19,2454,Wajid Aminu Offensive Rebound.,63,110
1:17,2454,Wajid Aminu made Dunk.,63,112
1:05,-1,Bryan Smith made Three Point Jumper. Assisted by Deontrea Dixon.,66,112
0:39,2454,Chase Driscoll missed Jumper.,66,112
0:39,-1,Florida National Defensive Rebound.,66,112
0:31,-1,Bryan Smith missed Three Point Jumper.,66,112
0:31,2454,Aaron Horne Defensive Rebound.,66,112
0:25,2454,Aaron Horne Turnover.,66,112
0:24,-1,Jermohn Queen Steal.,66,112
0:20,-1,Jermohn Queen missed Jumper.,66,112
0:20,2454,Garrett Sams Defensive Rebound.,66,112
0:00,2454,End of Game,66,112
