SIU-Edwardsville,2032,Arkansas State,2565
10:53,2565,Keenan Simmons made Layup. Assisted by Justin Benton.,7,13
10:44,2032,Donte Thomas made Layup.,7,15
10:39,2565,Carlos Anderson missed Jumper.,7,15
10:39,2032,Devin Carter Defensive Rebound.,7,15
10:30,2032,Tamas Bruce Turnover.,7,15
10:29,2565,Keenan Simmons Steal.,7,15
10:14,2565,Burak Eslik missed Three Point Jumper.,7,15
10:14,2032,Jahmiah Simmons Defensive Rebound.,7,15
10:04,2032,Donte Thomas missed Jumper.,7,15
10:04,2565,Tre Harris Defensive Rebound.,7,15
9:44,2565,Keenan Simmons made Jumper. Assisted by Justin Benton.,9,15
9:20,2032,Donte Thomas missed Layup.,9,15
9:20,2565,Keenan Simmons Block.,9,15
9:18,2032,Tamas Bruce Offensive Rebound.,9,15
9:16,2032,Tamas Bruce made Layup.,9,17
9:02,2565,Tre Harris missed Jumper.,9,17
9:02,2032,Tamas Bruce Defensive Rebound.,9,17
8:45,2032,Tamas Bruce Turnover.,9,17
8:32,2565,Carlos Anderson made Jumper.,11,17
8:06,2032,Devin Carter made Three Point Jumper. Assisted by Donte Thomas.,11,20
7:39,2565,Christian Ellis made Layup.,13,20
7:22,2032,Rashad Lindsey missed Three Point Jumper.,13,20
7:22,2565,Keenan Simmons Defensive Rebound.,13,20
7:01,2032,Foul on Donte Thomas.,13,20
7:01,2032,Official TV Timeout,13,20
6:48,2565,Christian Ellis made Free Throw.,14,20
6:48,2565,Christian Ellis made Free Throw.,15,20
6:34,2032,Devin Carter missed Three Point Jumper.,15,20
6:34,2565,Christian Ellis Defensive Rebound.,15,20
6:11,2565,Burak Eslik made Jumper.,17,20
5:44,2032,Deven Simms made Layup.,17,22
5:27,2565,Keenan Simmons Turnover.,17,22
5:27,2565,Foul on Keenan Simmons.,17,22
5:06,2032,Nelson Nweke made Layup. Assisted by Deven Simms.,17,24
4:52,2565,Christian Ellis made Layup.,19,24
4:29,2565,Foul on Carlos Anderson.,19,24
4:29,2032,Devin Carter missed Free Throw.,19,24
4:29,2565,Keenan Simmons Defensive Rebound.,19,24
4:16,2565,Burak Eslik missed Jumper.,19,24
4:16,2032,Deven Simms Defensive Rebound.,19,24
3:56,2032,Rashad Lindsey Turnover.,19,24
3:56,2032,Official TV Timeout,19,24
3:39,2565,Justin Benton missed Three Point Jumper.,19,24
3:39,2032,Christian Willis Defensive Rebound.,19,24
3:28,2032,Donte Thomas missed Jumper.,19,24
3:28,2565,Carlos Anderson Defensive Rebound.,19,24
3:02,2032,Foul on Tamas Bruce.,19,24
2:51,2032,Foul on Donte Thomas.,19,24
2:51,2565,Tre Harris missed Jumper.,19,24
2:51,2565,Keenan Simmons Offensive Rebound.,19,24
2:43,2565,Keenan Simmons made Jumper.,21,24
2:12,2032,Deven Simms missed Jumper.,21,24
2:12,2032,Christian Willis Offensive Rebound.,21,24
2:05,2032,Devin Carter missed Three Point Jumper.,21,24
2:05,2032,Arkansas St Offensive Rebound.,21,24
2:03,2565,Foul on Glen Pierre Jr..,21,24
2:03,2032,Tamas Bruce missed Free Throw.,21,24
2:03,2032,Deven Simms Offensive Rebound.,21,24
2:01,2032,Tamas Bruce made Dunk. Assisted by Deven Simms.,21,26
1:47,2565,Tre Harris made Three Point Jumper. Assisted by Christian Ellis.,24,26
1:19,2565,Foul on Brandon Jackson.,24,26
1:19,2032,Tamas Bruce missed Free Throw.,24,26
1:19,2032,Arkansas St Deadball Team Rebound.,24,26
1:19,2032,Tamas Bruce made Free Throw.,24,27
1:10,2565,Brandon Jackson missed Dunk.,24,27
1:10,2032,Tamas Bruce Block.,24,27
1:09,2032,Arkansas St Defensive Rebound.,24,27
0:51,2032,Jahmiah Simmons Turnover.,24,27
0:48,2565,Keenan Simmons Steal.,24,27
0:33,2032,Foul on Tamas Bruce.,24,27
0:33,2565,Brandon Jackson missed Free Throw.,24,27
0:33,2565,Carlos Anderson Offensive Rebound.,24,27
0:25,2565,SIU-Edwardsville  Timeout,24,27
0:03,2565,Carlos Anderson missed Jumper.,24,27
0:03,2032,Devin Carter Block.,24,27
0:01,2032,Rashad Lindsey Defensive Rebound.,24,27
0:00,2032,Rashad Lindsey missed Three Point Jumper.,24,27
0:00,2032,Arkansas St Deadball Team Rebound.,24,27
0:00,2032,End of 1st half,24,27
19:39,2032,Tamas Bruce missed Layup.,24,27
19:39,2565,Keenan Simmons Defensive Rebound.,24,27
19:18,2565,Christian Ellis made Layup.,26,27
19:18,2032,Foul on Donte Thomas.,26,27
19:18,2565,Christian Ellis made Free Throw.,27,27
18:59,2032,Tamas Bruce Turnover.,27,27
18:58,2565,Jalen Henry Steal.,27,27
18:50,2032,Foul on C.J. Foster.,27,27
18:46,2565,Carlos Anderson made Jumper.,29,27
18:29,2032,Rashad Lindsey made Three Point Jumper. Assisted by Jahmiah Simmons.,29,30
18:07,2565,Jalen Henry missed Jumper.,29,30
18:07,2565,Christian Ellis Offensive Rebound.,29,30
18:01,2032,Foul on Devin Carter.,29,30
18:01,2565,Jalen Henry made Free Throw.,30,30
18:01,2565,Jalen Henry missed Free Throw.,30,30
18:01,2032,Devin Carter Defensive Rebound.,30,30
17:50,2032,Rashad Lindsey Turnover.,30,30
17:49,2565,Burak Eslik Steal.,30,30
17:47,2565,Keenan Simmons made Dunk. Assisted by Christian Ellis.,32,30
17:24,2032,Deven Simms made Jumper.,32,32
17:03,2565,Carlos Anderson Turnover.,32,32
17:03,2032,Deven Simms Steal.,32,32
17:03,2565,Foul on Jalen Henry.,32,32
16:45,2032,Devin Carter Turnover.,32,32
16:45,2032,Foul on Devin Carter.,32,32
16:27,2565,Carlos Anderson Turnover.,32,32
16:25,2032,Tamas Bruce Steal.,32,32
16:22,2032,Connor Kern missed Three Point Jumper.,32,32
16:22,2565,Carlos Anderson Defensive Rebound.,32,32
16:13,2032,Foul on Connor Kern.,32,32
16:13,2565,Burak Eslik made Free Throw.,33,32
16:13,2565,Burak Eslik made Free Throw.,34,32
15:52,2032,Tamas Bruce Turnover.,34,32
15:52,2032,Foul on Tamas Bruce.,34,32
15:52,2032,Official TV Timeout,34,32
15:40,2565,Burak Eslik made Three Point Jumper. Assisted by Carlos Anderson.,37,32
15:13,2565,Foul on Christian Ellis.,37,32
15:13,2032,Rashad Lindsey missed Free Throw.,37,32
15:13,2032,Arkansas St Deadball Team Rebound.,37,32
15:13,2032,Rashad Lindsey made Free Throw.,37,33
15:03,2032,Foul on Connor Kern.,37,33
15:03,2565,Burak Eslik made Free Throw.,38,33
15:03,2565,Burak Eslik made Free Throw.,39,33
14:34,2032,C.J. Foster missed Jumper.,39,33
14:34,2032,Arkansas St Offensive Rebound.,39,33
14:32,2032,Arkansas St  Turnover.,39,33
14:16,2565,Burak Eslik missed Jumper.,39,33
14:16,2565,Carlos Anderson Offensive Rebound.,39,33
14:12,2565,Carlos Anderson missed Two Point Tip Shot.,39,33
14:12,2032,Deven Simms Defensive Rebound.,39,33
14:03,2032,Devin Carter made Three Point Jumper. Assisted by C.J. Foster.,39,36
13:42,2565,Burak Eslik missed Three Point Jumper.,39,36
13:42,2032,C.J. Foster Defensive Rebound.,39,36
13:31,2032,Deven Simms missed Jumper.,39,36
13:31,2565,Christian Ellis Defensive Rebound.,39,36
12:59,2565,Glen Pierre Jr. missed Jumper.,39,36
12:59,2032,Deven Simms Defensive Rebound.,39,36
12:48,2032,Rashad Lindsey missed Layup.,39,36
12:48,2032,Nelson Nweke Offensive Rebound.,39,36
12:45,2032,Nelson Nweke missed Two Point Tip Shot.,39,36
12:45,2032,Nelson Nweke Offensive Rebound.,39,36
12:41,2032,Nelson Nweke made Two Point Tip Shot.,39,38
12:20,2565,Carlos Anderson missed Layup.,39,38
12:20,2032,Deven Simms Block.,39,38
12:19,2032,Nelson Nweke Defensive Rebound.,39,38
12:15,2032,Deven Simms made Layup. Assisted by Rashad Lindsey.,39,40
12:12,2565,SIU-Edwardsville  Timeout,39,40
12:12,2032,Official TV Timeout,39,40
12:01,2565,Tre Harris Turnover.,39,40
11:49,2032,C.J. Foster made Dunk.,39,42
11:32,2565,Keenan Simmons missed Layup.,39,42
11:32,2032,Devin Carter Defensive Rebound.,39,42
11:25,2032,Donte Thomas made Layup.,39,44
11:08,2565,Tre Harris made Jumper.,41,44
10:45,2565,Foul on Brandon Jackson.,41,44
10:45,2032,Donte Thomas missed Free Throw.,41,44
10:45,2032,Arkansas St Deadball Team Rebound.,41,44
10:45,2032,Donte Thomas made Free Throw.,41,45
10:26,2565,Jalen Henry missed Jumper.,41,45
10:26,2032,Devin Carter Defensive Rebound.,41,45
10:16,2032,Jahmiah Simmons Turnover.,41,45
9:59,2032,Foul on Jahmiah Simmons.,41,45
9:58,2565,Jalen Henry made Free Throw.,42,45
9:58,2565,Jalen Henry made Free Throw.,43,45
9:45,2032,Rashad Lindsey made Three Point Jumper. Assisted by Donte Thomas.,43,48
9:27,2565,Tre Harris missed Jumper.,43,48
9:27,2032,Jahmiah Simmons Defensive Rebound.,43,48
9:17,2032,Devin Carter missed Three Point Jumper.,43,48
9:17,2565,Tre Harris Defensive Rebound.,43,48
8:58,2565,Tre Harris Turnover.,43,48
8:39,2565,Foul on Jalen Henry.,43,48
8:39,2032,Donte Thomas made Free Throw.,43,49
8:39,2032,Donte Thomas made Free Throw.,43,50
8:25,2565,Christian Ellis Turnover.,43,50
8:14,2565,Foul on Christian Ellis.,43,50
7:56,2032,C.J. Foster missed Layup.,43,50
7:56,2032,Jahmiah Simmons Offensive Rebound.,43,50
7:52,2032,Jahmiah Simmons Turnover.,43,50
7:52,2565,Glen Pierre Jr. Steal.,43,50
7:51,2032,Foul on C.J. Foster.,43,50
7:51,2032,Official TV Timeout,43,50
7:51,2565,Glen Pierre Jr. missed Free Throw.,43,50
7:51,2032,Deven Simms Defensive Rebound.,43,50
7:33,2032,Deven Simms made Layup.,43,52
7:16,2565,Tre Harris missed Three Point Jumper.,43,52
7:16,2032,Rashad Lindsey Defensive Rebound.,43,52
7:06,2032,Devin Carter made Layup. Assisted by Donte Thomas.,43,54
7:06,2565,Foul on Glen Pierre Jr..,43,54
7:06,2032,Devin Carter made Free Throw.,43,55
6:56,2565,Christian Ellis made Layup.,45,55
6:40,2032,Donte Thomas missed Layup.,45,55
6:40,2032,Jahmiah Simmons Offensive Rebound.,45,55
6:37,2032,Jahmiah Simmons Turnover.,45,55
6:35,2565,Keenan Simmons Steal.,45,55
6:31,2565,Christian Ellis Turnover.,45,55
6:11,2032,Rashad Lindsey Turnover.,45,55
6:09,2565,Carlos Anderson Steal.,45,55
5:58,2565,Tre Harris missed Jumper.,45,55
5:58,2565,SIU-Edwardsville Offensive Rebound.,45,55
5:56,2032,Arkansas St  Timeout,45,55
5:55,2565,Tre Harris missed Jumper.,45,55
5:55,2032,Devin Carter Defensive Rebound.,45,55
5:42,2032,Rashad Lindsey made Layup.,45,57
5:28,2032,Foul on Jahmiah Simmons.,45,57
5:28,2565,Carlos Anderson made Free Throw.,46,57
5:28,2565,Carlos Anderson made Free Throw.,47,57
5:05,2032,Deven Simms Turnover.,47,57
4:47,2032,Foul on Jahmiah Simmons.,47,57
4:47,2565,Jalen Henry made Free Throw.,48,57
4:47,2565,Jalen Henry made Free Throw.,49,57
4:30,2032,Donte Thomas made Layup.,49,59
4:20,2565,Tre Harris missed Jumper.,49,59
4:20,2565,Jalen Henry Offensive Rebound.,49,59
4:16,2565,Jalen Henry missed Jumper.,49,59
4:16,2032,Jahmiah Simmons Block.,49,59
4:14,2032,Donte Thomas Defensive Rebound.,49,59
4:10,2032,Donte Thomas Turnover.,49,59
3:59,2565,Carlos Anderson Turnover.,49,59
3:59,2565,Foul on Carlos Anderson.,49,59
3:59,2032,Official TV Timeout,49,59
3:34,2032,Deven Simms made Jumper.,49,61
3:17,2565,Tre Harris made Three Point Jumper.,52,61
2:41,2032,Devin Carter made Three Point Jumper. Assisted by Rashad Lindsey.,52,64
2:29,2565,Tre Harris Turnover.,52,64
2:04,2032,Jahmiah Simmons made Layup.,52,66
2:04,2565,Foul on Keenan Simmons.,52,66
2:04,2032,Jahmiah Simmons made Free Throw.,52,67
1:57,2565,Christian Ellis Turnover.,52,67
1:55,2032,Deven Simms Steal.,52,67
1:40,2032,Rashad Lindsey made Layup.,52,69
1:30,2565,Tre Harris Turnover.,52,69
1:29,2032,Deven Simms Steal.,52,69
1:18,2032,Deven Simms made Layup.,52,71
1:14,2565,SIU-Edwardsville  Timeout,52,71
1:07,2565,Burak Eslik missed Three Point Jumper.,52,71
1:07,2032,Deven Simms Defensive Rebound.,52,71
0:55,2032,Arkansas St  Timeout,52,71
0:42,2032,Christian Willis Turnover.,52,71
0:36,2565,Christian Ellis missed Layup.,52,71
0:36,2032,Christian Davis Block.,52,71
0:36,2565,SIU-Edwardsville Offensive Rebound.,52,71
0:36,2565,Burak Eslik made Three Point Jumper. Assisted by Christian Ellis.,55,71
0:22,2032,Salif Boudie made Layup. Assisted by Christian Willis.,55,73
0:18,2565,Christian Ellis Turnover.,55,73
0:18,2032,Andrew Riley Steal.,55,73
0:12,2565,Foul on Christian Ellis.,55,73
0:12,2032,Andrew Riley made Free Throw.,55,74
0:12,2032,Andrew Riley made Free Throw.,55,75
0:06,2565,Christian Ellis made Layup.,57,75
0:00,2032,End of Game,57,75
