Robert Morris,2306,Kansas State,2523
18:52,2523,Kavon Stewart Defensive Rebound.,19,38
18:27,2523,Braden Burke missed Jumper.,19,38
18:27,2306,Dean Wade Defensive Rebound.,19,38
17:57,2523,Aaron Tate Defensive Rebound.,19,38
17:55,2306,Foul on Wesley Iwundu.,19,38
17:33,2523,Isaiah Still missed Layup.,19,38
17:33,2523,Roberto Mantovani Offensive Rebound.,19,38
17:30,2523,Roberto Mantovani made Layup.,21,38
17:19,2306,Kamau Stokes Turnover.,21,38
17:01,2306,Foul on Kamau Stokes.,21,38
16:51,2523,Lorenzen Wright Jr. missed Three Point Jumper.,21,38
16:51,2523,Isaiah Still Offensive Rebound.,21,38
16:44,2523,Isaiah Still made Layup.,23,38
16:34,2306,D.J. Johnson Turnover.,23,38
16:33,2523,Isaiah Still Steal.,23,38
16:28,2523,Isaiah Still Turnover.,23,38
16:26,2306,Kamau Stokes Steal.,23,38
16:21,2523,Foul on Billy Giles.,23,38
16:21,2306,Dean Wade made Free Throw.,23,39
16:21,2306,Dean Wade made Free Throw.,23,40
16:02,2523,Isaiah Still missed Three Point Jumper.,23,40
16:02,2523,Aaron Tate Offensive Rebound.,23,40
15:58,2523,Aaron Tate missed Layup.,23,40
15:58,2306,Isaiah Maurice Block.,23,40
15:56,2523,Aaron Tate Offensive Rebound.,23,40
15:47,2523,Lorenzen Wright Jr. missed Jumper.,23,40
15:47,2523,Aaron Tate Offensive Rebound.,23,40
15:42,2523,Aaron Tate missed Two Point Tip Shot.,23,40
15:42,2523,Lorenzen Wright Jr. Offensive Rebound.,23,40
15:36,2523,Isaiah Still missed Three Point Jumper.,23,40
15:36,2523,Aaron Tate Offensive Rebound.,23,40
15:33,2523,Aaron Tate missed Layup.,23,40
15:33,2523,Isaiah Still Offensive Rebound.,23,40
15:30,2523,Isaiah Still missed Layup.,23,40
15:30,2523,Aaron Tate Offensive Rebound.,23,40
15:17,2523,Aaron Tate missed Layup.,23,40
15:17,2306,Isaiah Maurice Defensive Rebound.,23,40
15:09,2306,Carlbe Ervin II Turnover.,23,40
15:09,2306,Official TV Timeout,23,40
14:39,2523,Robert Morris  Turnover.,23,40
14:16,2306,Dean Wade missed Three Point Jumper.,23,40
14:16,2523,Kavon Stewart Defensive Rebound.,23,40
13:59,2523,Braden Burke missed Layup.,23,40
13:59,2306,Carlbe Ervin II Block.,23,40
13:56,2523,Matty McConnell Offensive Rebound.,23,40
13:52,2523,Kavon Stewart missed Jumper.,23,40
13:52,2306,Xavier Sneed Defensive Rebound.,23,40
13:42,2523,Foul on Braden Burke.,23,40
13:38,2306,Barry Brown missed Layup.,23,40
13:38,2523,Matty McConnell Defensive Rebound.,23,40
13:31,2523,Isaiah Still missed Three Point Jumper.,23,40
13:31,2306,Carlbe Ervin II Defensive Rebound.,23,40
13:24,2306,Dean Wade made Layup. Assisted by Carlbe Ervin II.,23,42
13:08,2523,Braden Burke Turnover.,23,42
13:08,2523,Foul on Braden Burke.,23,42
12:51,2523,Foul on Billy Giles.,23,42
12:51,2306,Xavier Sneed missed Free Throw.,23,42
12:51,2306,Kansas St Deadball Team Rebound.,23,42
12:51,2306,Xavier Sneed made Free Throw.,23,43
12:33,2523,Lorenzen Wright Jr. Turnover.,23,43
12:03,2306,Kansas St  Turnover.,23,43
11:48,2523,Kavon Stewart Turnover.,23,43
11:47,2306,Xavier Sneed Steal.,23,43
11:44,2306,Barry Brown made Dunk. Assisted by Xavier Sneed.,23,45
11:16,2523,Matty McConnell missed Jumper.,23,45
11:16,2306,Xavier Sneed Defensive Rebound.,23,45
11:04,2306,Kamau Stokes made Three Point Jumper. Assisted by Barry Brown.,23,48
10:44,2306,Official TV Timeout,23,48
10:34,2523,Clive Allen Turnover.,23,48
10:20,2306,D.J. Johnson made Layup.,23,50
10:20,2523,Foul on Roberto Mantovani.,23,50
10:20,2306,D.J. Johnson missed Free Throw.,23,50
10:20,2523,Aaron Tate Defensive Rebound.,23,50
10:08,2306,Foul on D.J. Johnson.,23,50
10:07,2523,Lorenzen Wright Jr. missed Three Point Jumper.,23,50
10:00,2306,Isaiah Maurice Defensive Rebound.,23,50
9:54,2306,D.J. Johnson made Dunk. Assisted by Carlbe Ervin II.,23,52
9:45,2523,Matty McConnell made Three Point Jumper. Assisted by Clive Allen.,26,52
9:09,2306,Carlbe Ervin II Turnover.,26,52
9:09,2306,Foul on Carlbe Ervin II.,26,52
8:57,2306,Foul on Dante Williams.,26,52
8:51,2523,Clive Allen made Three Point Jumper. Assisted by Matty McConnell.,29,52
8:32,2523,Foul on Billy Giles.,29,52
8:17,2306,Brian Patrick made Three Point Jumper. Assisted by Xavier Sneed.,29,55
7:54,2523,Matty McConnell missed Three Point Jumper.,29,55
7:54,2306,Isaiah Maurice Defensive Rebound.,29,55
7:42,2306,Official TV Timeout,29,55
7:32,2306,Isaiah Maurice Turnover.,29,55
7:31,2523,Isaiah Still Steal.,29,55
7:28,2523,Kavon Stewart missed Jumper.,29,55
7:28,2523,Isaiah Still Offensive Rebound.,29,55
7:27,2306,Foul on Dante Williams.,29,55
7:27,2523,Isaiah Still made Free Throw.,30,55
7:27,2523,Isaiah Still made Free Throw.,31,55
7:20,2306,Isaiah Maurice Turnover.,31,55
7:19,2523,Roberto Mantovani Steal.,31,55
7:15,2523,Isaiah Still missed Layup.,31,55
7:15,2523,Conrad Stephens Offensive Rebound.,31,55
7:11,2523,Conrad Stephens Turnover.,31,55
7:10,2306,Carlbe Ervin II Steal.,31,55
6:43,2306,Austin Budke Turnover.,31,55
6:31,2523,Matty McConnell missed Three Point Jumper.,31,55
6:31,2523,Matty McConnell Offensive Rebound.,31,55
6:24,2523,Matty McConnell Turnover.,31,55
6:09,2306,Dante Williams missed Jumper.,31,55
6:09,2523,Isaiah Still Defensive Rebound.,31,55
5:56,2523,Isaiah Still missed Three Point Jumper.,31,55
5:56,2306,Carlbe Ervin II Defensive Rebound.,31,55
5:25,2306,Carlbe Ervin II missed Three Point Jumper.,31,55
5:25,2523,Matty McConnell Defensive Rebound.,31,55
5:16,2306,Foul on Carlbe Ervin II.,31,55
5:16,2523,Kavon Stewart made Free Throw.,32,55
5:16,2523,Kavon Stewart made Free Throw.,33,55
5:03,2306,Brian Patrick missed Three Point Jumper.,33,55
5:03,2523,Kavon Stewart Defensive Rebound.,33,55
4:54,2523,Kavon Stewart Turnover.,33,55
4:53,2306,Carlbe Ervin II Steal.,33,55
4:51,2306,Brian Patrick Turnover.,33,55
4:50,2523,Jordan Lester Steal.,33,55
4:46,2523,Isaiah Still missed Three Point Jumper.,33,55
4:46,2306,Kansas St Deadball Team Rebound.,33,55
4:43,2523,Foul on Conrad Stephens.,33,55
4:43,2306,Austin Budke missed Free Throw.,33,55
4:43,2523,Jordan Lester Defensive Rebound.,33,55
4:36,2523,Isaiah Still missed Three Point Jumper.,33,55
4:36,2306,Austin Budke Defensive Rebound.,33,55
4:17,2306,Carlbe Ervin II made Layup. Assisted by Austin Budke.,33,57
4:02,2523,Isaiah Still made Layup.,35,57
4:02,2306,Foul on Isaiah Maurice.,35,57
4:02,2523,Isaiah Still made Free Throw.,36,57
3:34,2306,Carlbe Ervin II missed Three Point Jumper.,36,57
3:34,2306,Isaiah Maurice Offensive Rebound.,36,57
3:29,2306,Isaiah Maurice made Layup.,36,59
3:15,2523,Isaiah Still missed Jumper.,36,59
3:15,2523,Isaiah Still Offensive Rebound.,36,59
3:11,2306,Foul on Isaiah Maurice.,36,59
3:11,2306,Official TV Timeout,36,59
3:11,2523,Isaiah Still made Free Throw.,37,59
3:11,2523,Isaiah Still missed Free Throw.,37,59
3:11,2306,Pierson McAtee Defensive Rebound.,37,59
2:42,2306,Pierson McAtee missed Three Point Jumper.,37,59
2:42,2306,Zach Winter Offensive Rebound.,37,59
2:22,2306,Zach Winter missed Jumper.,37,59
2:22,2523,Kavon Stewart Defensive Rebound.,37,59
2:17,2306,Foul on Isaiah Maurice.,37,59
2:17,2523,Kavon Stewart made Free Throw.,38,59
2:17,2523,Kavon Stewart missed Free Throw.,38,59
2:17,2306,Pierson McAtee Defensive Rebound.,38,59
1:56,2306,Zach Winter Turnover.,38,59
1:40,2523,Clive Allen missed Jumper.,38,59
1:40,2523,Jordan Lester Offensive Rebound.,38,59
1:31,2523,Braden Burke missed Jumper.,38,59
1:31,2306,Pierson McAtee Defensive Rebound.,38,59
1:17,2306,Dante Williams missed Jumper.,38,59
1:17,2523,Jordan Lester Defensive Rebound.,38,59
1:08,2523,Jordan Lester made Jumper.,40,59
1:01,2306,Kansas St  Timeout,40,59
1:01,2306,Official TV Timeout,40,59
0:40,2306,Zach Winter missed Layup.,40,59
0:40,2306,Zach Winter Offensive Rebound.,40,59
0:31,2306,Zach Winter made Layup.,40,61
0:22,2523,Conrad Stephens Turnover.,40,61
0:00,2306,End of Game,40,61
