Buena Vista,Error,Omaha,2437
5:53,2437,Tra-Deon Hollins Turnover.,24,38
5:36,63,Connor Sonius Turnover.,24,38
5:22,63,Foul on Canyon Hopkins.,24,38
5:22,2437,Tre'Shawn Thurman made Free Throw.,24,39
5:22,2437,Tre'Shawn Thurman made Free Throw.,24,40
5:11,2437,Foul on Kyler Erickson.,24,40
5:09,63,Owen Statlander missed Three Point Jumper.,24,40
5:09,2437,JT Gibson Defensive Rebound.,24,40
5:00,2437,Tra-Deon Hollins missed Jumper.,24,40
5:00,63,Buena Vista University Defensive Rebound.,24,40
4:44,63,Thomas Wisecup missed Three Point Jumper.,24,40
4:44,63,David Jeffries Offensive Rebound.,24,40
4:38,63,Connor Sonius made Three Point Jumper. Assisted by David Jeffries.,27,40
4:29,63,Foul on Owen Statlander.,27,40
4:29,2437,Daniel Meyer missed Free Throw.,27,40
4:29,2437,Omaha Deadball Team Rebound.,27,40
4:29,2437,Daniel Meyer missed Free Throw.,27,40
4:29,63,David Jeffries Defensive Rebound.,27,40
4:17,2437,Foul on Kyler Erickson.,27,40
4:16,63,Connor Sonius missed Jumper.,27,40
4:16,2437,Tre'Shawn Thurman Defensive Rebound.,27,40
4:00,2437,Mitchell Hahn missed Three Point Jumper.,27,40
4:00,63,Buena Vista University Deadball Team Rebound.,27,40
3:54,2437,Foul on Kyler Erickson.,27,40
3:54,2437,Official TV Timeout,27,40
3:46,63,David Jeffries made Jumper.,29,40
3:32,2437,Tre'Shawn Thurman made Jumper.,29,42
3:11,63,Sean Morgan Turnover.,29,42
3:00,2437,Tre'Shawn Thurman made Layup.,29,44
3:00,63,Foul on Sean Morgan.,29,44
3:00,2437,Tre'Shawn Thurman missed Free Throw.,29,44
3:00,63,David Jeffries Defensive Rebound.,29,44
2:45,2437,Foul on Tre'Shawn Thurman.,29,44
2:29,63,Kennedy Drey missed Layup.,29,44
2:29,2437,Mitchell Hahn Block.,29,44
2:28,63,Buena Vista University Offensive Rebound.,29,44
2:19,63,Kennedy Drey made Three Point Jumper. Assisted by Tim Jeffries.,32,44
2:07,63,Foul on Tim Jeffries.,32,44
2:07,2437,Daniel Meyer missed Free Throw.,32,44
2:07,2437,Omaha Deadball Team Rebound.,32,44
2:07,2437,Daniel Meyer missed Free Throw.,32,44
2:07,63,Adam Juhl Defensive Rebound.,32,44
1:42,63,Kennedy Drey made Layup. Assisted by Canyon Hopkins.,34,44
1:33,2437,Daniel Norl made Three Point Jumper.,34,47
1:17,63,Kennedy Drey missed Jumper.,34,47
1:17,2437,Daniel Meyer Block.,34,47
1:16,2437,Tra-Deon Hollins Defensive Rebound.,34,47
1:03,2437,Zach Jackson made Three Point Jumper. Assisted by Tra-Deon Hollins.,34,50
0:49,63,Adam Juhl Turnover.,34,50
0:47,2437,Tra-Deon Hollins Steal.,34,50
0:45,2437,Zach Jackson made Layup. Assisted by Tra-Deon Hollins.,34,52
0:44,63,Buena Vista University  Timeout,34,52
0:34,63,Tim Jeffries Turnover.,34,52
0:33,2437,Tra-Deon Hollins Steal.,34,52
0:29,2437,Daniel Meyer made Layup. Assisted by Zach Jackson.,34,54
0:04,63,Kennedy Drey missed Jumper.,34,54
0:04,2437,Daniel Norl Defensive Rebound.,34,54
0:00,2437,End of 1st half,34,54
19:50,63,Owen Statlander made Layup. Assisted by Thomas Wisecup.,36,54
19:38,2437,Zach Jackson missed Three Point Jumper.,36,54
19:38,63,Paul Gallagher Defensive Rebound.,36,54
19:18,63,Thomas Wisecup missed Three Point Jumper.,36,54
19:18,2437,Daniel Meyer Defensive Rebound.,36,54
19:10,2437,Zach Jackson made Three Point Jumper. Assisted by Tra-Deon Hollins.,36,57
18:52,63,Thomas Wisecup Turnover.,36,57
18:43,2437,Daniel Meyer made Layup.,36,59
18:43,63,Foul on Paul Gallagher.,36,59
18:43,2437,Daniel Meyer missed Free Throw.,36,59
18:43,63,David Jeffries Defensive Rebound.,36,59
18:24,63,Owen Statlander missed Jumper.,36,59
18:24,2437,Zach Jackson Defensive Rebound.,36,59
18:16,2437,Marcus Tyus made Three Point Jumper. Assisted by Tra-Deon Hollins.,36,62
17:57,63,David Jeffries Turnover.,36,62
17:55,2437,Tra-Deon Hollins Steal.,36,62
17:52,2437,Marcus Tyus made Layup. Assisted by Tra-Deon Hollins.,36,64
17:43,63,Owen Statlander Turnover.,36,64
17:39,2437,Tra-Deon Hollins Steal.,36,64
17:38,2437,Tra-Deon Hollins Turnover.,36,64
17:38,63,David Jeffries Steal.,36,64
17:38,2437,Foul on Tra-Deon Hollins.,36,64
17:33,63,Kennedy Drey missed Layup.,36,64
17:33,2437,Mitchell Hahn Block.,36,64
17:31,63,David Jeffries Offensive Rebound.,36,64
17:31,2437,Foul on Daniel Meyer.,36,64
17:31,63,David Jeffries made Free Throw.,37,64
17:31,63,David Jeffries missed Free Throw.,37,64
17:31,2437,Mitchell Hahn Defensive Rebound.,37,64
17:23,2437,Marcus Tyus missed Layup.,37,64
17:23,63,David Jeffries Block.,37,64
17:22,2437,Zach Jackson Offensive Rebound.,37,64
17:07,2437,KJ Robinson made Three Point Jumper.,37,67
16:49,63,Owen Statlander missed Jumper.,37,67
16:49,2437,KJ Robinson Defensive Rebound.,37,67
16:38,2437,Mitchell Hahn made Three Point Jumper. Assisted by Marcus Tyus.,37,70
16:20,63,Kennedy Drey missed Three Point Jumper.,37,70
16:20,63,David Jeffries Offensive Rebound.,37,70
16:15,63,David Jeffries missed Jumper.,37,70
16:15,2437,Marcus Tyus Defensive Rebound.,37,70
16:05,2437,Zach Pirog made Jumper. Assisted by Marcus Tyus.,37,72
15:46,63,David Jeffries missed Jumper.,37,72
15:46,2437,Zach Pirog Defensive Rebound.,37,72
15:38,2437,Marcus Tyus missed Three Point Jumper.,37,72
15:38,63,Buena Vista University Deadball Team Rebound.,37,72
15:36,2437,Foul on Zach Pirog.,37,72
15:36,2437,Official TV Timeout,37,72
15:24,63,Sean Morgan made Layup. Assisted by Kennedy Drey.,39,72
15:16,2437,Daniel Norl missed Layup.,39,72
15:16,63,Sean Morgan Block.,39,72
15:14,63,David Jeffries Defensive Rebound.,39,72
15:11,63,David Jeffries missed Layup.,39,72
15:11,2437,Mitchell Hahn Block.,39,72
15:09,63,Kennedy Drey Offensive Rebound.,39,72
15:08,2437,Foul on Zach Pirog.,39,72
15:08,63,Kennedy Drey missed Free Throw.,39,72
15:08,63,Buena Vista University Deadball Team Rebound.,39,72
15:08,63,Kennedy Drey missed Free Throw.,39,72
15:08,2437,Zach Pirog Defensive Rebound.,39,72
14:48,63,Foul on Kennedy Drey.,39,72
14:48,2437,JT Gibson made Free Throw.,39,73
14:48,2437,JT Gibson missed Free Throw.,39,73
14:48,63,Kennedy Drey Defensive Rebound.,39,73
14:35,63,Thomas Wisecup missed Jumper.,39,73
14:35,2437,Zach Pirog Block.,39,73
14:33,63,Buena Vista University Offensive Rebound.,39,73
14:18,63,Thomas Wisecup made Three Point Jumper. Assisted by Sean Morgan.,42,73
13:55,2437,Daniel Norl missed Three Point Jumper.,42,73
13:55,63,Sean Morgan Defensive Rebound.,42,73
13:45,63,Foul on Thomas Wisecup.,42,73
13:45,63,Thomas Wisecup Turnover.,42,73
13:31,2437,JT Gibson made Three Point Jumper. Assisted by Tre'Shawn Thurman.,42,76
13:10,63,Canyon Hopkins missed Jumper.,42,76
13:10,63,Canyon Hopkins Offensive Rebound.,42,76
13:00,63,Tim Jeffries missed Layup.,42,76
13:00,63,Tim Jeffries Offensive Rebound.,42,76
12:54,63,Sean Morgan missed Jumper.,42,76
12:54,2437,Zach Jackson Defensive Rebound.,42,76
12:39,2437,Daniel Norl made Jumper.,42,78
12:15,63,Thomas Wisecup missed Three Point Jumper.,42,78
12:15,2437,Tra-Deon Hollins Defensive Rebound.,42,78
12:06,2437,Tre'Shawn Thurman missed Dunk.,42,78
12:06,63,Connor Sonius Defensive Rebound.,42,78
12:00,2437,Foul on Kyler Erickson.,42,78
12:00,63,Connor Sonius made Free Throw.,43,78
12:00,63,Connor Sonius made Free Throw.,44,78
11:51,63,Foul on Tim Jeffries.,44,78
11:51,2437,Official TV Timeout,44,78
11:48,63,Foul on Sean Morgan.,44,78
11:44,2437,Tre'Shawn Thurman made Layup.,44,80
11:18,63,Tim Jeffries missed Layup.,44,80
11:18,2437,Zach Pirog Block.,44,80
11:16,63,Kennedy Drey Offensive Rebound.,44,80
11:15,63,Kennedy Drey made Layup.,46,80
10:59,63,Foul on Tim Jeffries.,46,80
10:59,2437,Kyler Erickson made Free Throw.,46,81
10:59,2437,Kyler Erickson made Free Throw.,46,82
10:47,63,Tim Jeffries made Jumper.,48,82
10:39,63,Foul on Adam Juhl.,48,82
10:39,2437,Kyler Erickson made Free Throw.,48,83
10:39,2437,Kyler Erickson made Free Throw.,48,84
10:23,2437,Foul on Zach Pirog.,48,84
10:23,63,Kennedy Drey missed Free Throw.,48,84
10:23,63,Buena Vista University Deadball Team Rebound.,48,84
10:23,63,Kennedy Drey missed Free Throw.,48,84
10:23,2437,Tra-Deon Hollins Defensive Rebound.,48,84
10:19,2437,Tra-Deon Hollins made Jumper.,48,86
9:59,63,Kennedy Drey missed Jumper.,48,86
9:59,2437,Zach Jackson Defensive Rebound.,48,86
9:52,2437,Kyler Erickson made Three Point Jumper. Assisted by Tra-Deon Hollins.,48,89
9:27,63,Tim Jeffries missed Layup.,48,89
9:27,2437,Zach Pirog Block.,48,89
9:25,63,Adam Juhl Offensive Rebound.,48,89
9:21,63,Canyon Hopkins made Jumper.,50,89
9:07,2437,Tra-Deon Hollins made Jumper.,50,91
8:51,63,Adam Juhl missed Three Point Jumper.,50,91
8:51,2437,Zach Jackson Defensive Rebound.,50,91
8:42,2437,Kyler Erickson missed Three Point Jumper.,50,91
8:42,63,Paul Gallagher Defensive Rebound.,50,91
8:34,63,Adam Juhl made Three Point Jumper. Assisted by Tim Jeffries.,53,91
8:25,2437,Zach Jackson made Free Throw.,53,92
8:25,2437,Zach Jackson made Free Throw.,53,93
8:25,63,Foul on Paul Gallagher.,53,91
8:15,63,Owen Statlander missed Three Point Jumper.,53,93
8:15,2437,KJ Robinson Defensive Rebound.,53,93
8:00,2437,KJ Robinson made Three Point Jumper. Assisted by Daniel Norl.,53,96
7:40,63,David Jeffries missed Layup.,53,96
7:40,2437,Mitchell Hahn Block.,53,96
7:39,63,Buena Vista University Offensive Rebound.,53,96
7:39,2437,Official TV Timeout,53,96
7:30,63,Adam Juhl missed Three Point Jumper.,53,96
7:30,2437,Mitchell Hahn Defensive Rebound.,53,96
7:20,2437,Alex Allbery missed Three Point Jumper.,53,96
7:20,63,Kennedy Drey Defensive Rebound.,53,96
7:06,63,David Jeffries missed Three Point Jumper.,53,96
7:06,63,David Jeffries Offensive Rebound.,53,96
6:59,63,David Jeffries missed Layup.,53,96
6:59,63,David Jeffries Offensive Rebound.,53,96
6:57,63,David Jeffries missed Layup.,53,96
6:57,2437,Mitchell Hahn Defensive Rebound.,53,96
6:51,2437,KJ Robinson missed Layup.,53,96
6:51,2437,Daniel Meyer Offensive Rebound.,53,96
6:48,2437,Daniel Meyer missed Two Point Tip Shot.,53,96
6:48,2437,Daniel Meyer Offensive Rebound.,53,96
6:46,2437,Daniel Meyer made Layup.,53,98
6:35,63,Kennedy Drey missed Three Point Jumper.,53,98
6:35,2437,Daniel Norl Defensive Rebound.,53,98
6:26,2437,Alex Allbery made Three Point Jumper. Assisted by KJ Robinson.,53,101
6:08,63,Owen Statlander missed Jumper.,53,101
6:08,2437,Daniel Norl Defensive Rebound.,53,101
5:53,2437,Alex Allbery Turnover.,53,101
5:52,63,Grant Wright Steal.,53,101
5:50,63,David Jeffries made Layup. Assisted by Grant Wright.,55,101
5:48,2437,Foul on Mitchell Hahn.,55,101
5:48,63,David Jeffries made Free Throw.,56,101
5:36,2437,JT Gibson made Jumper. Assisted by KJ Robinson.,56,103
5:20,63,Grant Wright missed Three Point Jumper.,56,103
5:20,2437,Alex Allbery Defensive Rebound.,56,103
5:12,2437,JT Gibson missed Three Point Jumper.,56,103
5:12,63,Canyon Hopkins Defensive Rebound.,56,103
4:42,63,David Jeffries Turnover.,56,103
4:41,2437,JT Gibson Steal.,56,103
4:35,2437,Daniel Norl missed Three Point Jumper.,56,103
4:35,63,Buena Vista University Defensive Rebound.,56,103
4:20,63,Thomas Wisecup missed Jumper.,56,103
4:20,2437,Daniel Norl Defensive Rebound.,56,103
4:11,2437,Daniel Meyer missed Layup.,56,103
4:11,2437,Daniel Meyer Offensive Rebound.,56,103
4:09,2437,Daniel Meyer made Layup.,56,105
3:54,2437,Official TV Timeout,56,105
3:40,63,Matt Goodman Turnover.,56,105
3:37,2437,KJ Robinson Steal.,56,105
3:22,2437,Alex Allbery made Jumper.,56,107
3:05,2437,Foul on Zach Pirog.,56,107
3:05,63,Matt Goodman made Free Throw.,57,107
3:05,63,Matt Goodman made Free Throw.,58,107
2:49,2437,Alex Allbery Turnover.,58,107
2:48,63,Matt Goodman Steal.,58,107
2:43,63,Connor Sonius made Layup.,60,107
2:26,2437,JT Gibson missed Three Point Jumper.,60,107
2:26,63,Matt Goodman Defensive Rebound.,60,107
2:09,63,Matt Goodman made Layup.,62,107
2:08,2437,Foul on Zach Pirog.,62,107
2:08,63,Matt Goodman made Free Throw.,63,107
1:55,2437,JT Gibson missed Three Point Jumper.,63,107
1:55,63,Matt Goodman Defensive Rebound.,63,107
1:40,63,Trey Robinson missed Three Point Jumper.,63,107
1:40,2437,Alex Allbery Defensive Rebound.,63,107
1:19,2437,Alex Allbery missed Jumper.,63,107
1:19,63,Brady Dicks Defensive Rebound.,63,107
1:09,63,Brady Dicks Turnover.,63,107
1:07,2437,Daniel Norl Steal.,63,107
1:06,2437,Daniel Norl missed Layup.,63,107
1:06,2437,Daniel Norl Offensive Rebound.,63,107
1:03,63,Foul on Trey Robinson.,63,107
1:03,2437,Daniel Norl made Free Throw.,63,108
1:03,2437,Daniel Norl made Free Throw.,63,109
0:49,63,Connor Winkleman Turnover.,63,109
0:22,2437,Kyler Erickson made Three Point Jumper. Assisted by KJ Robinson.,63,112
0:09,63,Matt Goodman made Layup. Assisted by Connor Sonius.,65,112
0:00,2437,End of Game,65,112
