IUPUI,269,Marquette,85
3:50,269,Matt Heldt Block.,28,47
3:47,269,Katin Reinhardt Defensive Rebound.,28,47
3:41,269,Duane Wilson made Three Point Jumper. Assisted by Katin Reinhardt.,28,50
3:26,85,Evan Hall made Layup. Assisted by Kellon Thomas.,30,50
3:03,269,Duane Wilson made Three Point Jumper. Assisted by Jajuan Johnson.,30,53
2:49,269,Foul on Matt Heldt.,30,53
2:49,269,Official TV Timeout,30,53
2:49,85,Matt O'Leary made Free Throw.,31,53
2:49,85,Matt O'Leary made Free Throw.,32,53
2:37,269,Traci Carter Turnover.,32,53
2:36,85,Ron Patterson Steal.,32,53
2:31,85,Ron Patterson made Three Point Jumper. Assisted by Kellon Thomas.,35,53
2:00,269,Traci Carter missed Layup.,35,53
2:00,85,T.J. Henderson Defensive Rebound.,35,53
1:41,85,D.J. McCall missed Jumper.,35,53
1:41,269,Luke Fischer Block.,35,53
1:39,269,Sam Hauser Defensive Rebound.,35,53
1:36,269,Haanif Cheatham made Layup. Assisted by Jajuan Johnson.,35,55
1:14,85,Ron Patterson missed Three Point Jumper.,35,55
1:14,269,Haanif Cheatham Defensive Rebound.,35,55
1:13,85,Foul on Aaron Brennan.,35,55
1:13,269,Haanif Cheatham made Free Throw.,35,56
1:13,269,Haanif Cheatham made Free Throw.,35,57
1:00,269,Foul on Haanif Cheatham.,35,57
1:00,85,T.J. Henderson made Free Throw.,36,57
1:00,85,T.J. Henderson missed Free Throw.,36,57
1:00,269,Sam Hauser Defensive Rebound.,36,57
0:54,269,Marquette  Timeout,36,57
0:39,269,Foul on Luke Fischer.,36,57
0:39,269,Luke Fischer Turnover.,36,57
0:25,85,Ron Patterson missed Jumper.,36,57
0:25,85,Aaron Brennan Offensive Rebound.,36,57
0:02,269,Foul on Matt Heldt.,36,57
0:02,85,D.J. McCall missed Free Throw.,36,57
0:02,85,IUPUI Deadball Team Rebound.,36,57
0:02,85,D.J. McCall made Free Throw.,37,57
0:00,269,End of 1st half,37,57
19:40,269,Traci Carter Turnover.,37,57
19:40,85,Ron Patterson Steal.,37,57
19:28,85,Evan Hall missed Jumper.,37,57
19:28,269,Matt Heldt Defensive Rebound.,37,57
19:14,269,Haanif Cheatham made Layup.,37,59
18:52,269,Foul on Matt Heldt.,37,59
18:52,85,Darell Combs made Free Throw.,38,59
18:52,85,Darell Combs made Free Throw.,39,59
18:28,269,Haanif Cheatham made Jumper. Assisted by Traci Carter.,39,61
18:07,85,Kellon Thomas missed Jumper.,39,61
18:07,269,Sam Hauser Defensive Rebound.,39,61
17:58,269,Traci Carter made Layup.,39,63
17:58,85,Foul on Ron Patterson.,39,63
17:58,269,Traci Carter missed Free Throw.,39,63
17:58,85,Matt O'Leary Defensive Rebound.,39,63
17:50,85,Ron Patterson missed Three Point Jumper.,39,63
17:50,269,Markus Howard Defensive Rebound.,39,63
17:43,269,Markus Howard missed Layup.,39,63
17:43,85,Matt O'Leary Defensive Rebound.,39,63
17:31,269,Foul on Haanif Cheatham.,39,63
17:31,85,Darell Combs made Free Throw.,40,63
17:31,85,Darell Combs made Free Throw.,41,63
17:17,269,Traci Carter Turnover.,41,63
17:15,85,Ron Patterson Steal.,41,63
17:13,85,Ron Patterson made Dunk.,43,63
16:55,85,Foul on Darell Combs.,43,63
16:52,269,Andrew Rowsey missed Jumper.,43,63
16:52,85,Matt O'Leary Defensive Rebound.,43,63
16:44,85,Darell Combs missed Layup.,43,63
16:44,269,Luke Fischer Block.,43,63
16:44,85,IUPUI Offensive Rebound.,43,63
16:43,85,Darell Combs missed Layup.,43,63
16:43,269,Luke Fischer Defensive Rebound.,43,63
16:29,269,Luke Fischer made Jumper. Assisted by Duane Wilson.,43,65
16:13,85,Matt O'Leary made Layup. Assisted by Ron Patterson.,45,65
15:56,269,Andrew Rowsey missed Three Point Jumper.,45,65
15:56,85,Matt O'Leary Defensive Rebound.,45,65
15:47,85,Ron Patterson missed Layup.,45,65
15:47,269,Katin Reinhardt Defensive Rebound.,45,65
15:35,269,Andrew Rowsey missed Three Point Jumper.,45,65
15:35,269,Andrew Rowsey Offensive Rebound.,45,65
15:28,269,Luke Fischer made Layup. Assisted by Duane Wilson.,45,67
15:06,269,Foul on Duane Wilson.,45,67
15:06,269,Official TV Timeout,45,67
14:51,269,Foul on Katin Reinhardt.,45,67
14:51,85,Matt O'Leary missed Free Throw.,45,67
14:51,85,IUPUI Deadball Team Rebound.,45,67
14:51,85,Matt O'Leary made Free Throw.,46,67
14:39,269,Katin Reinhardt missed Jumper.,46,67
14:39,269,Marquette Offensive Rebound.,46,67
14:32,269,Jajuan Johnson missed Jumper.,46,67
14:32,269,Luke Fischer Offensive Rebound.,46,67
14:28,269,Katin Reinhardt made Three Point Jumper. Assisted by Duane Wilson.,46,70
14:10,85,D.J. McCall Turnover.,46,70
14:09,269,Duane Wilson Steal.,46,70
14:03,269,Jajuan Johnson made Three Point Jumper. Assisted by Katin Reinhardt.,46,73
14:03,85,IUPUI  Timeout,46,73
13:48,85,Darell Combs made Jumper.,48,73
13:26,269,Luke Fischer Turnover.,48,73
13:15,85,Foul on Aaron Brennan.,48,73
13:15,85,Aaron Brennan Turnover.,48,73
13:03,269,Markus Howard missed Jumper.,48,73
13:03,85,D.J. McCall Defensive Rebound.,48,73
12:55,85,IUPUI  Timeout,48,73
12:45,269,Foul on Luke Fischer.,48,73
12:37,85,Giovanni Fraser made Layup. Assisted by Darell Combs.,50,73
12:37,269,Foul on Luke Fischer.,50,73
12:37,85,Giovanni Fraser missed Free Throw.,50,73
12:37,269,Katin Reinhardt Defensive Rebound.,50,73
12:11,85,Foul on Giovanni Fraser.,50,73
12:09,269,Jajuan Johnson made Jumper. Assisted by Markus Howard.,50,75
11:57,85,D.J. McCall made Layup. Assisted by T.J. Henderson.,52,75
11:44,85,Foul on Aaron Brennan.,52,75
11:44,269,Official TV Timeout,52,75
11:44,269,Haanif Cheatham made Free Throw.,52,76
11:44,269,Haanif Cheatham made Free Throw.,52,77
11:28,85,Aaron Brennan missed Three Point Jumper.,52,77
11:28,269,Jajuan Johnson Defensive Rebound.,52,77
11:10,269,Foul on Sam Hauser.,52,77
11:10,269,Sam Hauser Turnover.,52,77
11:01,85,D.J. McCall made Dunk.,54,77
10:40,269,Katin Reinhardt Turnover.,54,77
10:39,85,T.J. Henderson Steal.,54,77
10:36,85,T.J. Henderson Turnover.,54,77
10:35,269,Markus Howard Steal.,54,77
10:29,269,Sam Hauser made Three Point Jumper. Assisted by Haanif Cheatham.,54,80
10:11,85,D.J. McCall missed Jumper.,54,80
10:11,269,Sam Hauser Defensive Rebound.,54,80
10:03,269,Haanif Cheatham made Layup. Assisted by Markus Howard.,54,82
9:49,269,Foul on Markus Howard.,54,82
9:49,85,Josh James made Free Throw.,55,82
9:49,85,Josh James made Free Throw.,56,82
9:31,269,Katin Reinhardt missed Jumper.,56,82
9:31,85,Josh James Defensive Rebound.,56,82
9:18,85,Ron Patterson missed Jumper.,56,82
9:18,269,Sam Hauser Defensive Rebound.,56,82
9:08,269,Sam Hauser missed Three Point Jumper.,56,82
9:08,85,Matt O'Leary Defensive Rebound.,56,82
8:54,85,Matt O'Leary missed Layup.,56,82
8:54,269,Marquette Deadball Team Rebound.,56,82
8:54,85,Foul on Josh James.,56,82
8:31,269,Katin Reinhardt missed Three Point Jumper.,56,82
8:31,269,Sam Hauser Offensive Rebound.,56,82
8:29,269,Sam Hauser made Two Point Tip Shot.,56,84
8:12,85,Darell Combs missed Three Point Jumper.,56,84
8:12,85,IUPUI Deadball Team Rebound.,56,84
8:07,85,Kellon Thomas missed Jumper.,56,84
8:07,269,Duane Wilson Defensive Rebound.,56,84
7:57,269,Duane Wilson made Layup.,56,86
7:46,85,Ron Patterson made Three Point Jumper. Assisted by Darell Combs.,59,86
7:19,269,Haanif Cheatham made Layup.,59,88
7:12,85,Kellon Thomas Turnover.,59,88
7:11,269,Katin Reinhardt Steal.,59,88
7:10,269,Haanif Cheatham missed Layup.,59,88
7:10,269,Haanif Cheatham Offensive Rebound.,59,88
7:06,269,Haanif Cheatham made Two Point Tip Shot.,59,90
6:57,269,Foul on Haanif Cheatham.,59,90
6:57,269,Official TV Timeout,59,90
6:57,85,Darell Combs made Free Throw.,60,90
6:57,85,Darell Combs made Free Throw.,61,90
6:46,269,Luke Fischer made Dunk. Assisted by Jajuan Johnson.,61,92
6:27,85,Darell Combs made Jumper.,63,92
6:15,269,Jajuan Johnson Turnover.,63,92
6:14,85,Evan Hall Steal.,63,92
6:06,269,Foul on Traci Carter.,63,92
6:06,85,Matt O'Leary missed Free Throw.,63,92
6:06,85,IUPUI Deadball Team Rebound.,63,92
6:06,85,Matt O'Leary made Free Throw.,64,92
5:45,269,Jajuan Johnson made Jumper.,64,94
5:33,85,Ron Patterson missed Three Point Jumper.,64,94
5:33,269,Andrew Rowsey Defensive Rebound.,64,94
5:20,269,Jajuan Johnson missed Three Point Jumper.,64,94
5:20,85,Kellon Thomas Defensive Rebound.,64,94
5:12,85,Evan Hall made Layup. Assisted by Darell Combs.,66,94
4:58,85,Foul on Darell Combs.,66,94
4:58,269,Duane Wilson missed Free Throw.,66,94
4:58,269,Marquette Deadball Team Rebound.,66,94
4:58,269,Duane Wilson made Free Throw.,66,95
4:34,85,Ron Patterson made Dunk. Assisted by Matt O'Leary.,68,95
4:17,269,Andrew Rowsey made Three Point Jumper. Assisted by Katin Reinhardt.,68,98
4:07,269,Foul on Duane Wilson.,68,98
4:07,85,Darell Combs made Free Throw.,69,98
4:07,85,Darell Combs made Free Throw.,70,98
3:48,269,Duane Wilson made Layup.,70,100
3:35,85,Darell Combs missed Jumper.,70,100
3:35,269,Jajuan Johnson Defensive Rebound.,70,100
3:31,269,Official TV Timeout,70,100
3:26,85,Foul on Giovanni Fraser.,70,100
3:26,269,Andrew Rowsey made Free Throw.,70,101
3:26,269,Andrew Rowsey made Free Throw.,70,102
3:12,85,Giovanni Fraser missed Jumper.,70,102
3:12,85,D.J. McCall Offensive Rebound.,70,102
3:09,85,D.J. McCall missed Two Point Tip Shot.,70,102
3:09,269,Katin Reinhardt Defensive Rebound.,70,102
2:59,269,Andrew Rowsey Turnover.,70,102
2:58,85,Ron Patterson Steal.,70,102
2:55,85,T.J. Henderson made Layup.,72,102
2:31,269,Foul on Matt Heldt.,72,102
2:31,269,Matt Heldt Turnover.,72,102
2:21,85,Giovanni Fraser made Jumper.,74,102
2:21,269,Foul on Deon Franklin.,74,102
2:21,85,Giovanni Fraser missed Free Throw.,74,102
2:21,269,Sam Hauser Defensive Rebound.,74,102
2:10,85,Foul on T.J. Henderson.,74,102
2:10,269,Cam Marotta made Free Throw.,74,103
2:10,269,Cam Marotta made Free Throw.,74,104
1:54,85,D.J. McCall Offensive Rebound.,74,104
1:54,85,Giovanni Fraser missed Jumper.,74,104
1:54,269,Deon Franklin Block.,74,104
1:53,269,Foul on Andrew Rowsey.,74,104
1:53,85,D.J. McCall made Free Throw.,75,104
1:53,85,D.J. McCall missed Free Throw.,75,104
1:53,85,Giovanni Fraser Offensive Rebound.,75,104
1:46,85,T.J. Henderson missed Three Point Jumper.,75,104
1:46,85,D.J. McCall Offensive Rebound.,75,104
1:40,85,D.J. McCall missed Jumper.,75,104
1:40,85,Giovanni Fraser Offensive Rebound.,75,104
1:36,85,Giovanni Fraser Turnover.,75,104
1:35,269,Andrew Rowsey Steal.,75,104
1:27,269,Cam Marotta missed Three Point Jumper.,75,104
1:27,269,Sam Hauser Offensive Rebound.,75,104
1:22,269,Deon Franklin missed Three Point Jumper.,75,104
1:22,85,Chad Hudson Defensive Rebound.,75,104
1:04,85,D.J. McCall made Jumper.,77,104
1:04,269,Foul on Deon Franklin.,77,104
1:04,85,D.J. McCall missed Free Throw.,77,104
1:04,269,Cam Marotta Defensive Rebound.,77,104
0:37,269,Andrew Rowsey missed Three Point Jumper.,77,104
0:37,85,T.J. Henderson Defensive Rebound.,77,104
0:28,85,Chad Hudson missed Layup.,77,104
0:28,85,D.J. McCall Offensive Rebound.,77,104
0:26,85,D.J. McCall made Two Point Tip Shot.,79,104
0:00,269,End of Game,79,104
