Georgia,2305,Kansas,61
13:53,2305,Frank Mason III made Layup.,12,11
13:32,61,Foul on Derek Ogbeide.,12,11
13:32,61,Derek Ogbeide Turnover.,12,11
13:21,2305,Josh Jackson made Layup. Assisted by Landen Lucas.,12,13
13:06,61,E'Torrion Wilridge Turnover.,12,13
12:40,2305,Frank Mason III missed Layup.,12,13
12:40,61,Yante Maten Defensive Rebound.,12,13
12:32,2305,Foul on Landen Lucas.,12,13
12:32,61,Yante Maten missed Free Throw.,12,13
12:32,61,Georgia Deadball Team Rebound.,12,13
12:32,61,Yante Maten missed Free Throw.,12,13
12:32,2305,Landen Lucas Defensive Rebound.,12,13
12:20,2305,Josh Jackson made Jumper. Assisted by Sviatoslav Mykhailiuk.,12,15
11:58,2305,Foul on Landen Lucas.,12,15
11:58,2305,Official TV Timeout,12,15
11:49,61,J.J. Frazier missed Jumper.,12,15
11:49,61,Yante Maten Offensive Rebound.,12,15
11:47,61,Yante Maten made Layup.,14,15
11:47,2305,Foul on Udoka Azubuike.,14,15
11:47,61,Yante Maten made Free Throw.,15,15
11:39,2305,Lagerald Vick missed Layup.,15,15
11:38,61,Jordan Harris Block.,15,15
11:38,61,Jordan Harris Defensive Rebound.,15,15
11:33,61,Jordan Harris missed Layup.,15,15
11:33,61,Mike Edwards Offensive Rebound.,15,15
11:29,61,Mike Edwards missed Layup.,15,15
11:29,2305,Udoka Azubuike Block.,15,15
11:29,61,Georgia Offensive Rebound.,15,15
11:15,61,Yante Maten missed Jumper.,15,15
11:15,61,Mike Edwards Offensive Rebound.,15,15
11:07,61,J.J. Frazier missed Jumper.,15,15
11:07,61,Yante Maten Offensive Rebound.,15,15
11:04,2305,Foul on Udoka Azubuike.,15,15
11:03,61,Yante Maten made Free Throw.,16,15
11:03,61,Yante Maten made Free Throw.,17,15
10:45,2305,Lagerald Vick missed Three Point Jumper.,17,15
10:45,2305,Kansas Offensive Rebound.,17,15
10:34,2305,Devonte' Graham made Three Point Jumper. Assisted by Josh Jackson.,17,18
10:27,61,Jordan Harris Turnover.,17,18
10:27,2305,Devonte' Graham Steal.,17,18
10:09,2305,Devonte' Graham missed Three Point Jumper.,17,18
10:09,61,Juwan Parker Defensive Rebound.,17,18
9:52,61,J.J. Frazier missed Three Point Jumper.,17,18
9:52,2305,Kansas Deadball Team Rebound.,17,18
9:44,2305,Josh Jackson missed Jumper.,17,18
9:44,61,William Jackson II Defensive Rebound.,17,18
9:22,2305,Foul on Carlton Bragg Jr..,17,18
9:22,61,William Jackson II missed Free Throw.,17,18
9:22,61,Georgia Deadball Team Rebound.,17,18
9:22,61,William Jackson II made Free Throw.,18,18
8:59,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,18,18
8:59,2305,Carlton Bragg Jr. Offensive Rebound.,18,18
8:44,2305,Devonte' Graham missed Jumper.,18,18
8:44,61,Juwan Parker Defensive Rebound.,18,18
8:44,2305,Foul on Carlton Bragg Jr..,18,18
8:20,61,Mike Edwards missed Three Point Jumper.,18,18
8:20,2305,Josh Jackson Defensive Rebound.,18,18
8:09,61,Foul on William Jackson II.,18,18
8:09,2305,Josh Jackson made Free Throw.,18,19
8:09,2305,Josh Jackson missed Free Throw.,18,19
8:09,61,Pape Diatta Defensive Rebound.,18,19
7:54,2305,Foul on Dwight Coleby.,18,19
7:54,2305,Official TV Timeout,18,19
7:54,61,Mike Edwards made Free Throw.,19,19
7:54,61,Mike Edwards made Free Throw.,20,19
7:35,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,20,19
7:35,2305,Dwight Coleby Offensive Rebound.,20,19
7:18,61,Foul on Juwan Parker.,20,19
7:17,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,20,19
7:17,2305,Josh Jackson Offensive Rebound.,20,19
7:07,2305,Frank Mason III made Three Point Jumper. Assisted by Devonte' Graham.,20,22
6:52,61,Juwan Parker missed Three Point Jumper.,20,22
6:52,2305,Frank Mason III Defensive Rebound.,20,22
6:35,61,Foul on Pape Diatta.,20,22
6:35,2305,Devonte' Graham missed Free Throw.,20,22
6:35,2305,Kansas Deadball Team Rebound.,20,22
6:35,2305,Devonte' Graham made Free Throw.,20,23
6:21,61,Pape Diatta missed Three Point Jumper.,20,23
6:21,2305,Frank Mason III Defensive Rebound.,20,23
6:10,2305,Devonte' Graham made Jumper.,20,25
6:02,61,Georgia  Timeout,20,25
6:01,61,Pape Diatta Turnover.,20,25
5:49,2305,Josh Jackson made Jumper.,20,27
5:22,61,Yante Maten made Jumper. Assisted by J.J. Frazier.,22,27
4:51,2305,Frank Mason III missed Jumper.,22,27
4:51,2305,Josh Jackson Offensive Rebound.,22,27
4:51,2305,Josh Jackson missed Dunk.,22,27
4:51,61,Georgia Defensive Rebound.,22,27
4:40,61,J.J. Frazier missed Three Point Jumper.,22,27
4:40,2305,Lagerald Vick Defensive Rebound.,22,27
4:37,61,Foul on Yante Maten.,22,27
4:37,2305,Lagerald Vick made Free Throw.,22,28
4:37,2305,Lagerald Vick made Free Throw.,22,29
4:18,61,Juwan Parker missed Layup.,22,29
4:18,2305,Dwight Coleby Block.,22,29
4:18,2305,Lagerald Vick Defensive Rebound.,22,29
4:05,2305,Dwight Coleby missed Layup.,22,29
4:05,61,Houston Kessler Defensive Rebound.,22,29
3:53,61,Juwan Parker missed Jumper.,22,29
3:53,2305,Dwight Coleby Block.,22,29
3:53,2305,Sviatoslav Mykhailiuk Defensive Rebound.,22,29
3:40,2305,Lagerald Vick missed Layup.,22,29
3:40,61,J.J. Frazier Defensive Rebound.,22,29
3:37,2305,Foul on Sviatoslav Mykhailiuk.,22,29
3:37,2305,Official TV Timeout,22,29
3:37,61,Jordan Harris missed Free Throw.,22,29
3:37,61,Georgia Deadball Team Rebound.,22,29
3:37,61,Jordan Harris made Free Throw.,23,29
3:29,2305,Foul on Lagerald Vick.,23,29
3:29,2305,Lagerald Vick Turnover.,23,29
3:11,61,Yante Maten missed Jumper.,23,29
3:11,2305,Josh Jackson Defensive Rebound.,23,29
2:55,2305,Devonte' Graham made Three Point Jumper. Assisted by Josh Jackson.,23,32
2:21,2305,Foul on Dwight Coleby.,23,32
2:21,61,Mike Edwards missed Free Throw.,23,32
2:21,61,Georgia Deadball Team Rebound.,23,32
2:21,61,Mike Edwards made Free Throw.,24,32
2:06,2305,Frank Mason III missed Layup.,24,32
2:06,61,Juwan Parker Block.,24,32
2:06,2305,Frank Mason III Offensive Rebound.,24,32
2:06,2305,Frank Mason III made Layup.,24,34
2:06,61,Foul on Yante Maten.,24,34
2:06,2305,Frank Mason III made Free Throw.,24,35
1:43,61,William Jackson II missed Three Point Jumper.,24,35
1:43,2305,Josh Jackson Defensive Rebound.,24,35
1:16,2305,Devonte' Graham missed Three Point Jumper.,24,35
1:16,61,William Jackson II Defensive Rebound.,24,35
0:58,61,Yante Maten missed Jumper.,24,35
0:58,2305,Josh Jackson Block.,24,35
0:58,61,Yante Maten Offensive Rebound.,24,35
0:52,61,Yante Maten missed Layup.,24,35
0:52,2305,Dwight Coleby Defensive Rebound.,24,35
0:50,2305,Lagerald Vick missed Layup.,24,35
0:50,2305,Lagerald Vick Offensive Rebound.,24,35
0:50,2305,Lagerald Vick Turnover.,24,35
0:32,2305,Foul on Lagerald Vick.,24,35
0:32,61,Juwan Parker made Free Throw.,25,35
0:32,61,Juwan Parker missed Free Throw.,25,35
0:32,2305,Josh Jackson Defensive Rebound.,25,35
0:08,2305,Devonte' Graham missed Three Point Jumper.,25,35
0:08,61,Mike Edwards Defensive Rebound.,25,35
0:05,61,Mike Edwards Turnover.,25,35
0:02,2305,Carlton Bragg Jr. missed Jumper.,25,35
0:02,61,Georgia Defensive Rebound.,25,35
0:00,2305,End of 1st half,25,35
20:00,61,Jump Ball won by Georgia,25,35
19:51,2305,Foul on Carlton Bragg Jr..,25,35
19:31,61,Yante Maten made Three Point Jumper. Assisted by Derek Ogbeide.,28,35
19:14,2305,Foul on Landen Lucas.,28,35
19:14,2305,Landen Lucas Turnover.,28,35
19:05,61,Yante Maten missed Jumper.,28,35
19:05,61,Derek Ogbeide Offensive Rebound.,28,35
19:02,61,Derek Ogbeide made Layup.,30,35
18:44,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,30,38
18:35,61,Yante Maten missed Jumper.,30,38
18:35,2305,Udoka Azubuike Defensive Rebound.,30,38
18:16,2305,Frank Mason III missed Three Point Jumper.,30,38
18:16,61,J.J. Frazier Defensive Rebound.,30,38
18:10,61,J.J. Frazier missed Jumper.,30,38
18:10,2305,Josh Jackson Defensive Rebound.,30,38
17:56,2305,Frank Mason III missed Layup.,30,38
17:56,2305,Lagerald Vick Offensive Rebound.,30,38
17:42,2305,Lagerald Vick missed Layup.,30,38
17:42,2305,Lagerald Vick Offensive Rebound.,30,38
17:42,2305,Lagerald Vick made Two Point Tip Shot.,30,40
17:21,61,Juwan Parker made Jumper.,32,40
17:01,61,Foul on William Jackson II.,32,40
17:01,2305,Josh Jackson made Free Throw.,32,41
17:01,2305,Josh Jackson made Free Throw.,32,42
16:47,61,Juwan Parker made Layup.,34,42
16:38,2305,Devonte' Graham Turnover.,34,42
16:27,61,Jordan Harris Turnover.,34,42
16:27,2305,Frank Mason III Steal.,34,42
16:04,2305,Frank Mason III made Layup.,34,44
15:53,2305,Foul on Josh Jackson.,34,44
15:53,2305,Official TV Timeout,34,44
15:32,61,Juwan Parker missed Dunk.,34,44
15:32,2305,Dwight Coleby Block.,34,44
15:32,61,Georgia Offensive Rebound.,34,44
15:27,61,J.J. Frazier missed Three Point Jumper.,34,44
15:27,2305,Devonte' Graham Defensive Rebound.,34,44
14:57,2305,Lagerald Vick missed Three Point Jumper.,34,44
14:57,61,Juwan Parker Defensive Rebound.,34,44
14:35,61,Juwan Parker missed Three Point Jumper.,34,44
14:35,2305,Frank Mason III Defensive Rebound.,34,44
14:31,2305,Foul on Josh Jackson.,34,44
14:31,2305,Josh Jackson Turnover.,34,44
14:20,61,Jordan Harris Turnover.,34,44
14:20,2305,Sviatoslav Mykhailiuk Steal.,34,44
14:16,2305,Frank Mason III made Layup.,34,46
14:16,61,Foul on J.J. Frazier.,34,46
14:13,2305,Josh Jackson Turnover.,34,46
13:59,61,Pape Diatta missed Three Point Jumper.,34,46
13:59,2305,Kansas Defensive Rebound.,34,46
13:30,2305,Devonte' Graham missed Three Point Jumper.,34,46
13:30,2305,Josh Jackson Offensive Rebound.,34,46
13:15,2305,Josh Jackson made Dunk. Assisted by Dwight Coleby.,34,48
13:06,61,Georgia  Timeout,34,48
12:48,61,Tyree Crump missed Three Point Jumper.,34,48
12:48,61,Derek Ogbeide Offensive Rebound.,34,48
12:41,61,Derek Ogbeide Turnover.,34,48
12:41,2305,Devonte' Graham Steal.,34,48
12:31,2305,Devonte' Graham made Layup.,34,50
12:07,61,Yante Maten missed Jumper.,34,50
12:07,61,Tyree Crump Offensive Rebound.,34,50
12:00,61,J.J. Frazier missed Three Point Jumper.,34,50
12:00,2305,Josh Jackson Defensive Rebound.,34,50
11:48,61,Foul on Juwan Parker.,34,50
11:48,2305,Official TV Timeout,34,50
11:43,2305,Frank Mason III Turnover.,34,50
11:43,61,Juwan Parker Steal.,34,50
11:20,61,Derek Ogbeide missed Jumper.,34,50
11:20,2305,Dwight Coleby Defensive Rebound.,34,50
11:10,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,34,50
11:10,2305,Lagerald Vick Offensive Rebound.,34,50
11:03,2305,Lagerald Vick missed Layup.,34,50
11:03,2305,Lagerald Vick Offensive Rebound.,34,50
10:50,2305,Dwight Coleby made Dunk. Assisted by Frank Mason III.,34,52
10:38,61,Yante Maten missed Layup.,34,52
10:38,2305,Dwight Coleby Block.,34,52
10:38,2305,Dwight Coleby Defensive Rebound.,34,52
10:23,61,Foul on Juwan Parker.,34,52
10:23,61,Georgia  Timeout,34,52
10:12,2305,Frank Mason III Turnover.,34,52
10:12,61,Jordan Harris Steal.,34,52
10:08,2305,Foul on Frank Mason III.,34,52
10:06,61,J.J. Frazier Turnover.,34,52
10:06,2305,Devonte' Graham Steal.,34,52
9:58,2305,Devonte' Graham missed Jumper.,34,52
9:58,61,J.J. Frazier Defensive Rebound.,34,52
9:55,2305,Foul on Sviatoslav Mykhailiuk.,34,52
9:44,61,Yante Maten made Jumper. Assisted by Derek Ogbeide.,36,52
9:26,2305,Josh Jackson missed Jumper.,36,52
9:26,61,Yante Maten Block.,36,52
9:26,61,Yante Maten Defensive Rebound.,36,52
9:15,61,Jordan Harris made Layup. Assisted by J.J. Frazier.,38,52
9:00,2305,Lagerald Vick made Jumper.,38,54
8:38,61,Juwan Parker missed Jumper.,38,54
8:38,2305,Lagerald Vick Defensive Rebound.,38,54
8:24,2305,Josh Jackson missed Jumper.,38,54
8:24,61,Juwan Parker Defensive Rebound.,38,54
8:17,61,J.J. Frazier missed Three Point Jumper.,38,54
8:17,61,Yante Maten Offensive Rebound.,38,54
8:13,2305,Foul on Dwight Coleby.,38,54
8:13,61,Yante Maten made Free Throw.,39,54
8:13,61,Yante Maten made Free Throw.,40,54
7:48,2305,Frank Mason III missed Three Point Jumper.,40,54
7:48,61,Pape Diatta Defensive Rebound.,40,54
7:38,61,J.J. Frazier Turnover.,40,54
7:38,2305,Frank Mason III Steal.,40,54
7:34,2305,Lagerald Vick made Layup. Assisted by Devonte' Graham.,40,56
7:34,61,Foul on Jordan Harris.,40,56
7:34,2305,Official TV Timeout,40,56
7:34,2305,Lagerald Vick made Free Throw.,40,57
7:19,61,William Jackson II made Three Point Jumper. Assisted by Jordan Harris.,43,57
6:49,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,43,57
6:49,61,Georgia Defensive Rebound.,43,57
6:27,61,Yante Maten missed Jumper.,43,57
6:27,2305,Sviatoslav Mykhailiuk Defensive Rebound.,43,57
6:19,2305,Foul on Landen Lucas.,43,57
6:19,2305,Landen Lucas Turnover.,43,57
6:05,61,William Jackson II made Three Point Jumper. Assisted by Jordan Harris.,46,57
5:38,2305,Lagerald Vick missed Jumper.,46,57
5:38,61,Pape Diatta Block.,46,57
5:38,61,Pape Diatta Defensive Rebound.,46,57
5:28,2305,Foul on Dwight Coleby.,46,57
5:28,61,Yante Maten missed Free Throw.,46,57
5:28,61,Georgia Deadball Team Rebound.,46,57
5:28,61,Yante Maten made Free Throw.,47,57
5:05,2305,Devonte' Graham missed Layup.,47,57
5:05,61,Yante Maten Defensive Rebound.,47,57
4:55,61,Jordan Harris missed Layup.,47,57
4:55,61,Yante Maten Offensive Rebound.,47,57
4:53,61,Yante Maten made Layup.,49,57
4:52,2305,Kansas  Timeout,49,57
4:41,2305,Frank Mason III Turnover.,49,57
4:41,61,William Jackson II Steal.,49,57
4:10,61,Yante Maten missed Jumper.,49,57
4:10,61,Pape Diatta Offensive Rebound.,49,57
4:00,61,Jordan Harris Turnover.,49,57
3:59,2305,Official TV Timeout,49,57
3:48,2305,Frank Mason III made Layup.,49,59
3:20,61,Mike Edwards missed Layup.,49,59
3:20,2305,Landen Lucas Defensive Rebound.,49,59
3:06,2305,Foul on Landen Lucas.,49,59
3:06,2305,Landen Lucas Turnover.,49,59
2:47,2305,Foul on Dwight Coleby.,49,59
2:47,61,Yante Maten made Free Throw.,50,59
2:47,61,Yante Maten missed Free Throw.,50,59
2:47,2305,Devonte' Graham Defensive Rebound.,50,59
2:27,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,50,62
2:21,61,William Jackson II Turnover.,50,62
2:21,61,Georgia  Timeout,50,62
2:07,2305,Carlton Bragg Jr. made Layup. Assisted by Josh Jackson.,50,64
2:07,61,Foul on Mike Edwards.,50,64
2:07,2305,Carlton Bragg Jr. made Free Throw.,50,65
2:03,61,William Jackson II missed Three Point Jumper.,50,65
2:03,2305,Sviatoslav Mykhailiuk Defensive Rebound.,50,65
1:33,2305,Sviatoslav Mykhailiuk missed Layup.,50,65
1:33,61,Derek Ogbeide Block.,50,65
1:33,2305,Kansas Offensive Rebound.,50,65
1:27,2305,Devonte' Graham missed Jumper.,50,65
1:27,61,Yante Maten Defensive Rebound.,50,65
1:16,61,Yante Maten missed Jumper.,50,65
1:16,61,Derek Ogbeide Offensive Rebound.,50,65
1:14,2305,Foul on Josh Jackson.,50,65
1:14,61,Derek Ogbeide missed Free Throw.,50,65
1:14,61,Georgia Deadball Team Rebound.,50,65
1:14,61,Derek Ogbeide missed Free Throw.,50,65
1:14,2305,Josh Jackson Defensive Rebound.,50,65
0:45,2305,Frank Mason III Turnover.,50,65
0:45,61,Pape Diatta Steal.,50,65
0:38,61,Derek Ogbeide made Dunk. Assisted by Yante Maten.,52,65
0:07,2305,Frank Mason III Turnover.,52,65
0:07,61,Mike Edwards Steal.,52,65
0:07,61,Jordan Harris missed Layup.,52,65
0:07,61,Yante Maten Offensive Rebound.,52,65
0:07,61,Yante Maten made Layup.,54,65
0:00,2305,End of Game,54,65
