CS Fullerton,2501,Portland,2239
3:53,2501,Josh McSwiggan Defensive Rebound.,20,29
3:52,2501,Official TV Timeout,20,29
3:42,2501,Franklin Porter Turnover.,20,29
3:42,2239,Khalil Ahmad Steal.,20,29
3:17,2239,Davon Clare Turnover.,20,29
3:04,2501,JoJo Walker Turnover.,20,29
3:03,2239,Khalil Ahmad Steal.,20,29
3:00,2239,Kyle Allman made Dunk. Assisted by Khalil Ahmad.,22,29
2:35,2501,Franklin Porter Turnover.,22,29
2:23,2239,Khalil Ahmad made Jumper.,24,29
1:57,2501,Philipp Hartwich made Dunk. Assisted by JoJo Walker.,24,31
1:57,2239,Foul on Kyle Allman.,24,31
1:57,2501,Philipp Hartwich missed Free Throw.,24,31
1:57,2239,CSU Fullerton Deadball Team Rebound.,24,31
1:49,2239,Kyle Allman missed Jumper.,24,31
1:49,2501,Malcolm Porter Defensive Rebound.,24,31
1:39,2501,Marcus Shaver Jr. Turnover.,24,31
1:38,2239,Austen Awosika Steal.,24,31
1:35,2239,Khalil Ahmad made Layup.,26,31
1:28,2501,Portland  Timeout,26,31
1:18,2239,Foul on Jackson Rowe.,26,31
1:18,2501,Josh McSwiggan made Free Throw.,26,32
1:18,2501,Josh McSwiggan made Free Throw.,26,33
1:11,2501,Foul on Franklin Porter.,26,33
1:11,2239,Kyle Allman missed Free Throw.,26,33
1:11,2239,CSU Fullerton Deadball Team Rebound.,26,33
1:11,2239,Kyle Allman made Free Throw.,27,33
1:05,2501,Marcus Shaver Jr. Turnover.,27,33
0:57,2239,Kyle Allman made Jumper.,29,33
0:27,2501,Malcolm Porter missed Jumper.,29,33
0:27,2239,Davon Clare Defensive Rebound.,29,33
0:21,2239,Kyle Allman made Layup. Assisted by Austen Awosika.,31,33
0:21,2501,Foul on Josh McSwiggan.,31,33
0:21,2239,Kyle Allman made Free Throw.,32,33
0:16,2501,Malcolm Porter Turnover.,32,33
0:16,2239,CSU Fullerton  Timeout,32,33
0:02,2239,Davon Clare missed Jumper.,32,33
0:02,2501,Philipp Hartwich Defensive Rebound.,32,33
0:00,2501,End of 1st half,32,33
19:48,2239,Kyle Allman made Layup.,34,33
19:20,2501,Foul on Marcus Shaver Jr..,34,33
19:20,2501,Marcus Shaver Jr. Turnover.,34,33
19:05,2239,Jamal Smith missed Three Point Jumper.,34,33
19:05,2239,CSU Fullerton Deadball Team Rebound.,34,33
19:02,2501,Foul on Philipp Hartwich.,34,33
18:51,2239,Khalil Ahmad Turnover.,34,33
18:50,2501,Marcus Shaver Jr. Steal.,34,33
18:46,2501,Marcus Shaver Jr. made Layup.,34,35
18:27,2239,Kyle Allman made Jumper. Assisted by Jamal Smith.,36,35
18:11,2501,Josh McSwiggan missed Three Point Jumper.,36,35
18:11,2239,Khalil Ahmad Defensive Rebound.,36,35
17:54,2239,Dominik Heinzl made Dunk. Assisted by Jamal Smith.,38,35
17:38,2501,Marcus Shaver Jr. missed Three Point Jumper.,38,35
17:38,2239,CSU Fullerton Defensive Rebound.,38,35
17:17,2239,Jackson Rowe missed Layup.,38,35
17:17,2501,Philipp Hartwich Block.,38,35
17:15,2501,Franklin Porter Defensive Rebound.,38,35
17:13,2239,Foul on Kyle Allman.,38,35
17:13,2501,JoJo Walker made Free Throw.,38,36
17:13,2501,JoJo Walker missed Free Throw.,38,36
17:13,2239,Dominik Heinzl Defensive Rebound.,38,36
16:51,2239,Jamal Smith Turnover.,38,36
16:33,2501,Franklin Porter missed Three Point Jumper.,38,36
16:33,2239,Dominik Heinzl Defensive Rebound.,38,36
16:23,2239,Khalil Ahmad made Three Point Jumper. Assisted by Austen Awosika.,41,36
16:04,2501,Josh McSwiggan missed Three Point Jumper.,41,36
16:04,2501,Portland Deadball Team Rebound.,41,36
16:02,2239,Foul on Dominik Heinzl.,41,36
15:58,2501,Franklin Porter made Three Point Jumper. Assisted by JoJo Walker.,41,39
15:32,2239,Khalil Ahmad made Three Point Jumper. Assisted by Jackson Rowe.,44,39
14:58,2501,Marcus Shaver Jr. missed Three Point Jumper.,44,39
14:58,2239,Jackson Rowe Defensive Rebound.,44,39
14:50,2239,Austen Awosika made Layup.,46,39
14:50,2501,Foul on Marcus Shaver Jr..,46,39
14:50,2501,Official TV Timeout,46,39
14:50,2239,Austen Awosika missed Free Throw.,46,39
14:50,2501,Philipp Hartwich Defensive Rebound.,46,39
14:38,2501,JoJo Walker Turnover.,46,39
14:16,2239,Khalil Ahmad missed Three Point Jumper.,46,39
14:16,2239,Austen Awosika Offensive Rebound.,46,39
14:13,2239,Austen Awosika missed Jumper.,46,39
14:13,2239,Khalil Ahmad Offensive Rebound.,46,39
13:49,2239,Khalil Ahmad made Three Point Jumper. Assisted by Dominik Heinzl.,49,39
13:24,2501,Franklin Porter missed Three Point Jumper.,49,39
13:24,2239,CSU Fullerton Defensive Rebound.,49,39
13:10,2239,Jackson Rowe missed Three Point Jumper.,49,39
13:10,2501,JoJo Walker Defensive Rebound.,49,39
13:01,2501,Franklin Porter missed Layup.,49,39
13:01,2501,Josh McSwiggan Offensive Rebound.,49,39
12:50,2501,Josh McSwiggan missed Three Point Jumper.,49,39
12:50,2239,Khalil Ahmad Defensive Rebound.,49,39
12:35,2239,Khalil Ahmad Turnover.,49,39
12:18,2239,Foul on Khalil Ahmad.,49,39
12:18,2501,JoJo Walker made Free Throw.,49,40
12:18,2501,JoJo Walker missed Free Throw.,49,40
12:18,2239,Jackson Rowe Defensive Rebound.,49,40
12:04,2239,Davon Clare missed Layup.,49,40
12:04,2239,Jackson Rowe Offensive Rebound.,49,40
12:02,2239,Jackson Rowe missed Layup.,49,40
12:02,2501,Franklin Porter Defensive Rebound.,49,40
11:58,2501,Marcus Shaver Jr. made Layup. Assisted by Franklin Porter.,49,42
11:36,2501,Foul on Franklin Porter.,49,42
11:36,2501,Official TV Timeout,49,42
11:36,2239,Khalil Ahmad made Free Throw.,50,42
11:36,2239,Khalil Ahmad made Free Throw.,51,42
11:36,2239,Khalil Ahmad missed Free Throw.,51,42
11:36,2501,Philipp Hartwich Defensive Rebound.,51,42
11:22,2501,Josh McSwiggan made Dunk. Assisted by Marcus Shaver Jr..,51,44
11:12,2239,Davon Clare made Three Point Jumper. Assisted by Jackson Rowe.,54,44
10:39,2239,Foul on Jackson Rowe.,54,44
10:26,2501,Marcus Shaver Jr. missed Three Point Jumper.,54,44
10:26,2501,Philipp Hartwich Offensive Rebound.,54,44
10:16,2239,Foul on Davon Clare.,54,44
10:15,2239,Foul on Jamal Smith.,54,44
10:12,2501,D'Marques Tyson missed Three Point Jumper.,54,44
10:12,2239,Davon Clare Defensive Rebound.,54,44
10:00,2239,Davon Clare missed Jumper.,54,44
10:00,2501,Philipp Hartwich Block.,54,44
9:58,2501,Marcus Shaver Jr. Defensive Rebound.,54,44
9:55,2501,Malcolm Porter made Layup. Assisted by Marcus Shaver Jr..,54,46
9:48,2239,CSU Fullerton  Timeout,54,46
9:37,2239,Dominik Heinzl Turnover.,54,46
9:26,2501,D'Marques Tyson missed Three Point Jumper.,54,46
9:26,2501,Portland Deadball Team Rebound.,54,46
9:24,2239,Foul on Khalil Ahmad.,54,46
9:24,2501,Josh McSwiggan made Free Throw.,54,47
9:24,2501,Josh McSwiggan made Free Throw.,54,48
9:11,2239,Kyle Allman Turnover.,54,48
9:00,2501,JoJo Walker Turnover.,54,48
8:51,2239,Kyle Allman missed Jumper.,54,48
8:51,2501,JoJo Walker Defensive Rebound.,54,48
8:48,2239,Foul on Kyle Allman.,54,48
8:48,2501,JoJo Walker missed Free Throw.,54,48
8:48,2239,Davon Clare Defensive Rebound.,54,48
8:41,2501,Foul on JoJo Walker.,54,48
8:31,2239,Kyle Allman missed Layup.,54,48
8:31,2501,Philipp Hartwich Block.,54,48
8:30,2239,Dominik Heinzl Offensive Rebound.,54,48
8:24,2239,Dominik Heinzl made Layup.,56,48
8:11,2501,Philipp Hartwich made Dunk. Assisted by Josh McSwiggan.,56,50
7:56,2239,Dominik Heinzl Turnover.,56,50
7:54,2501,Malcolm Porter Steal.,56,50
7:50,2501,D'Marques Tyson missed Three Point Jumper.,56,50
7:50,2239,Austen Awosika Defensive Rebound.,56,50
7:31,2239,Dominik Heinzl made Layup. Assisted by Kyle Allman.,58,50
7:02,2501,Malcolm Porter missed Three Point Jumper.,58,50
7:02,2239,Jamal Smith Defensive Rebound.,58,50
6:49,2239,Jamal Smith made Layup.,60,50
6:45,2501,Official TV Timeout,60,50
6:36,2501,Philipp Hartwich made Dunk. Assisted by JoJo Walker.,60,52
6:36,2239,Foul on Davon Clare.,60,52
6:36,2501,Philipp Hartwich missed Free Throw.,60,52
6:36,2239,Jackson Rowe Defensive Rebound.,60,52
6:10,2239,Davon Clare missed Three Point Jumper.,60,52
6:10,2501,Josh McSwiggan Defensive Rebound.,60,52
5:52,2501,Josh McSwiggan made Layup.,60,54
5:52,2239,Foul on Jamal Smith.,60,54
5:52,2501,Josh McSwiggan missed Free Throw.,60,54
5:52,2239,Jackson Rowe Defensive Rebound.,60,54
5:22,2239,Jackson Rowe Turnover.,60,54
5:21,2501,Josh McSwiggan Steal.,60,54
5:11,2239,Foul on Khalil Ahmad.,60,54
5:11,2501,Malcolm Porter made Free Throw.,60,55
5:11,2501,Malcolm Porter made Free Throw.,60,56
4:53,2239,Kyle Allman made Layup.,62,56
4:29,2501,Josh McSwiggan made Layup.,62,58
4:13,2501,Foul on Malcolm Porter.,62,58
3:55,2239,Davon Clare missed Jumper.,62,58
3:55,2501,Philipp Hartwich Defensive Rebound.,62,58
3:44,2501,Malcolm Porter missed Layup.,62,58
3:44,2239,Kyle Allman Defensive Rebound.,62,58
3:30,2501,Foul on Josh McSwiggan.,62,58
3:30,2501,Official TV Timeout,62,58
3:30,2239,Jamal Smith made Free Throw.,63,58
3:30,2239,Jamal Smith made Free Throw.,64,58
3:11,2501,JoJo Walker missed Layup.,64,58
3:11,2239,Davon Clare Block.,64,58
3:10,2239,Austen Awosika Defensive Rebound.,64,58
3:01,2501,Foul on Marcus Shaver Jr..,64,58
3:01,2239,Kyle Allman made Free Throw.,65,58
3:01,2239,Kyle Allman made Free Throw.,66,58
2:50,2501,Philipp Hartwich made Dunk. Assisted by JoJo Walker.,66,60
2:22,2239,Jamal Smith missed Jumper.,66,60
2:22,2239,CSU Fullerton Offensive Rebound.,66,60
1:54,2239,Austen Awosika made Layup.,68,60
1:43,2239,Foul on Jackson Rowe.,68,60
1:43,2501,JoJo Walker made Free Throw.,68,61
1:43,2501,Portland  Timeout,68,61
1:43,2501,JoJo Walker made Free Throw.,68,62
1:35,2239,Jackson Rowe made Layup. Assisted by Kyle Allman.,70,62
1:20,2501,Philipp Hartwich Turnover.,70,62
1:19,2239,Austen Awosika Steal.,70,62
0:51,2501,Foul on JoJo Walker.,70,62
0:51,2239,Khalil Ahmad made Free Throw.,71,62
0:51,2239,Khalil Ahmad made Free Throw.,72,62
0:51,2239,CSU Fullerton  Timeout,72,62
0:43,2501,Josh McSwiggan made Layup.,72,64
0:28,2501,Foul on Marcus Shaver Jr..,72,64
0:28,2239,Kyle Allman missed Free Throw.,72,64
0:28,2239,CSU Fullerton Deadball Team Rebound.,72,64
0:28,2239,Kyle Allman made Free Throw.,73,64
0:25,2501,Franklin Porter missed Three Point Jumper.,73,64
0:25,2239,Jackson Rowe Defensive Rebound.,73,64
0:21,2501,Foul on Philipp Hartwich.,73,64
0:21,2239,Jackson Rowe missed Free Throw.,73,64
0:21,2239,CSU Fullerton Deadball Team Rebound.,73,64
0:21,2239,Jackson Rowe made Free Throw.,74,64
0:14,2501,Franklin Porter made Jumper.,74,66
0:12,2501,Foul on Malcolm Porter.,74,66
0:12,2239,Austen Awosika made Free Throw.,75,66
0:12,2239,Austen Awosika made Free Throw.,76,66
0:08,2501,JoJo Walker missed Three Point Jumper.,76,66
0:08,2501,Malcolm Porter Offensive Rebound.,76,66
0:02,2501,Franklin Porter missed Three Point Jumper.,76,66
0:02,2501,Philipp Hartwich Offensive Rebound.,76,66
0:00,2501,End of Game,76,66
