Coastal Carolina,2261,Hampton,324
4:19,324,Amidou Bamba made Layup. Assisted by Jaylen Shaw.,71,69
4:01,2261,Jermaine Marrow missed Three Point Jumper.,71,69
4:01,324,Artur Labinowicz Defensive Rebound.,71,69
3:52,324,Amidou Bamba made Jumper. Assisted by Jaylen Shaw.,73,69
3:42,2261,Kalin Fisher made Jumper. Assisted by Jermaine Marrow.,73,71
3:25,324,Zac Cuthbertson missed Three Point Jumper.,73,71
3:25,2261,Trevond Barnes Defensive Rebound.,73,71
3:23,324,Foul on Amidou Bamba.,73,71
3:23,2261,Trevond Barnes made Free Throw.,73,72
3:23,2261,Trevond Barnes made Free Throw.,73,73
3:01,324,Zac Cuthbertson missed Jumper.,73,73
3:01,324,Demario Beck Offensive Rebound.,73,73
3:01,2261,Foul on Akim Mitchell.,73,73
3:01,324,Demario Beck made Free Throw.,74,73
3:01,324,Demario Beck missed Free Throw.,74,73
3:01,2261,Greg Heckstall Defensive Rebound.,74,73
2:32,2261,Kalin Fisher made Three Point Jumper.,74,76
2:10,2261,Foul on Trevond Barnes.,74,76
2:10,324,Jaylen Shaw made Jumper.,76,76
2:10,324,Jaylen Shaw made Free Throw.,77,76
2:10,2261,Akim Mitchell Turnover.,77,76
2:10,324,Demario Beck Steal.,77,76
2:10,324,Jaylen Shaw missed Layup.,77,76
2:10,2261,Greg Heckstall Block.,77,76
2:10,324,Matt Lindsey Offensive Rebound.,77,76
2:10,324,Jaylen Shaw missed Jumper.,77,76
2:10,324,Demario Beck Offensive Rebound.,77,76
2:10,2261,A.J. Astroth Block.,77,76
2:10,324,Artur Labinowicz Offensive Rebound.,77,76
2:10,2261,Kalin Fisher missed Layup.,77,76
2:10,324,Zac Cuthbertson Defensive Rebound.,77,76
0:55,324,Coastal Carolina  Timeout,77,76
0:44,324,Demario Beck made Jumper. Assisted by Jaylen Shaw.,79,76
0:42,2261,Hampton  Timeout,79,76
0:32,2261,Jermaine Marrow missed Layup.,79,76
0:32,324,Demario Beck Block.,79,76
0:30,324,Jaylen Shaw Defensive Rebound.,79,76
0:30,2261,Foul on Akim Mitchell.,79,76
0:30,324,Jaylen Shaw made Free Throw.,80,76
0:30,324,Jaylen Shaw missed Free Throw.,80,76
0:30,2261,Kalin Fisher Defensive Rebound.,80,76
0:21,2261,Trevond Barnes made Dunk. Assisted by Greg Heckstall.,80,78
0:21,2261,Hampton  Timeout,80,78
0:20,2261,Foul on Akim Mitchell.,80,78
0:20,324,Jaylen Shaw made Free Throw.,81,78
0:20,324,Jaylen Shaw made Free Throw.,82,78
0:14,2261,Jermaine Marrow made Layup. Assisted by Kalin Fisher.,82,80
0:14,324,Foul on Demario Beck.,82,80
0:12,2261,Jermaine Marrow made Free Throw.,82,81
0:12,2261,Foul on Jermaine Marrow.,82,81
0:12,324,Jaylen Shaw made Free Throw.,83,81
0:12,324,Jaylen Shaw made Free Throw.,84,81
0:00,2261,Kalin Fisher missed Three Point Jumper.,84,81
0:00,324,Ajay Sanders Defensive Rebound.,84,81
0:00,2261,Foul on Trevond Barnes.,84,81
0:00,324,Ajay Sanders missed Free Throw.,84,81
0:00,324,Coastal Carolina Deadball Team Rebound.,84,81
0:00,324,Ajay Sanders made Free Throw.,85,81
0:00,2261,End of Game,84,81
