Prairie View A&amp;M,62,Hawai'i,2504
12:50,2504,Gary Blackston missed Jumper.,12,16
12:50,62,Jack Purchase Defensive Rebound.,12,16
12:44,2504,Foul on Keion Alexander.,12,16
12:33,62,Leland Green missed Three Point Jumper.,12,16
12:33,2504,Shay'rone Jett Defensive Rebound.,12,16
12:25,2504,Gary Blackston Turnover.,12,16
12:05,62,Leland Green missed Three Point Jumper.,12,16
12:05,62,Jack Purchase Offensive Rebound.,12,16
11:56,62,Brocke Stepteau made Three Point Jumper. Assisted by Leland Green.,12,19
11:37,2504,Dennis Jones Turnover.,12,19
11:37,62,Official TV Timeout,12,19
11:30,62,Brocke Stepteau Turnover.,12,19
11:30,62,Foul on Brocke Stepteau.,12,19
11:14,2504,Austin Starr missed Jumper.,12,19
11:14,62,Hawai'i Deadball Team Rebound.,12,19
11:10,2504,Foul on JD Wallace.,12,19
11:10,62,Gibson Johnson made Free Throw.,12,20
11:10,62,Gibson Johnson made Free Throw.,12,21
10:56,2504,Zachary Hamilton missed Jumper.,12,21
10:56,62,Gibson Johnson Defensive Rebound.,12,21
10:40,62,Samuta Avea missed Jumper.,12,21
10:40,2504,Shay'rone Jett Block.,12,21
10:38,62,Samuta Avea Offensive Rebound.,12,21
10:36,62,Samuta Avea made Jumper.,12,23
10:31,62,Foul on Jack Purchase.,12,23
10:22,2504,Dennis Jones missed Jumper.,12,23
10:22,62,Brandon Thomas Defensive Rebound.,12,23
10:12,62,Brandon Thomas missed Three Point Jumper.,12,23
10:12,2504,Prairie View A&M Deadball Team Rebound.,12,23
9:45,2504,Dennis Jones missed Jumper.,12,23
9:45,62,Gibson Johnson Block.,12,23
9:45,62,Hawai'i Defensive Rebound.,12,23
9:19,2504,Foul on Austin Starr.,12,23
9:19,62,Brocke Stepteau made Free Throw.,12,24
9:19,62,Brocke Stepteau made Free Throw.,12,25
9:04,2504,Austin Starr missed Three Point Jumper.,12,25
9:04,62,Samuta Avea Defensive Rebound.,12,25
8:53,62,Samuta Avea Turnover.,12,25
8:51,2504,Zachary Hamilton Steal.,12,25
8:49,62,Foul on Sheriff Drammeh.,12,25
8:49,2504,Dennis Jones missed Free Throw.,12,25
8:49,2504,Prairie View A&M Deadball Team Rebound.,12,25
8:49,2504,Dennis Jones made Free Throw.,13,25
8:38,62,Samuta Avea made Three Point Jumper. Assisted by Brocke Stepteau.,13,28
8:23,2504,Dennis Jones missed Jumper.,13,28
8:23,62,Samuta Avea Defensive Rebound.,13,28
8:07,62,Gibson Johnson Turnover.,13,28
8:06,2504,Gary Blackston Steal.,13,28
8:03,2504,Gary Blackston made Jumper.,15,28
7:39,62,Leland Green Turnover.,15,28
7:39,62,Official TV Timeout,15,28
7:23,2504,Zachary Hamilton made Three Point Jumper.,18,28
6:55,62,Michael Thomas made Jumper. Assisted by Jack Purchase.,18,30
6:39,2504,Zachary Hamilton missed Three Point Jumper.,18,30
6:39,62,Drew Buggs Defensive Rebound.,18,30
6:23,62,Drew Buggs made Layup.,18,32
6:04,2504,Gary Blackston made Jumper.,20,32
5:33,62,Michael Thomas missed Jumper.,20,32
5:33,2504,Gary Blackston Defensive Rebound.,20,32
5:25,62,Foul on Michael Thomas.,20,32
5:25,2504,Gary Blackston missed Free Throw.,20,32
5:25,2504,Prairie View A&M Deadball Team Rebound.,20,32
5:25,2504,Gary Blackston missed Free Throw.,20,32
5:25,62,Drew Buggs Defensive Rebound.,20,32
5:13,62,Jack Purchase missed Three Point Jumper.,20,32
5:13,2504,Prairie View A&M Defensive Rebound.,20,32
4:51,2504,Gary Blackston missed Jumper.,20,32
4:50,62,Drew Buggs Block.,20,32
4:49,2504,Keion Alexander Offensive Rebound.,20,32
4:47,2504,Austin Starr missed Three Point Jumper.,20,32
4:47,62,Brandon Thomas Defensive Rebound.,20,32
4:21,62,Gibson Johnson Turnover.,20,32
4:19,2504,Keion Alexander Steal.,20,32
4:05,2504,Dennis Jones missed Three Point Jumper.,20,32
4:05,62,Jack Purchase Defensive Rebound.,20,32
3:55,2504,Foul on Isaih Hood.,20,32
3:55,62,Official TV Timeout,20,32
3:55,62,Drew Buggs made Free Throw.,20,33
3:55,62,Drew Buggs made Free Throw.,20,34
3:34,2504,Dennis Jones missed Layup.,20,34
3:34,2504,Shay'rone Jett Offensive Rebound.,20,34
3:31,62,Foul on Jack Purchase.,20,34
3:31,2504,Shay'rone Jett missed Free Throw.,20,34
3:31,2504,Prairie View A&M Deadball Team Rebound.,20,34
3:31,2504,Shay'rone Jett made Free Throw.,21,34
3:21,62,Leland Green Turnover.,21,34
3:20,2504,Gary Blackston Steal.,21,34
3:17,2504,Gary Blackston made Dunk.,23,34
3:06,62,Drew Buggs Turnover.,23,34
3:06,2504,Zachary Hamilton Steal.,23,34
2:50,2504,Zachary Hamilton Turnover.,23,34
2:50,2504,Foul on Zachary Hamilton.,23,34
2:21,62,Brandon Thomas missed Three Point Jumper.,23,34
2:21,62,Hawai'i Deadball Team Rebound.,23,34
2:18,62,Hawai'i  Turnover.,23,34
2:00,2504,Austin Starr missed Three Point Jumper.,23,34
2:00,62,Hawai'i Deadball Team Rebound.,23,34
1:55,2504,Foul on Shay'rone Jett.,23,34
1:55,62,Brocke Stepteau made Free Throw.,23,35
1:55,62,Brocke Stepteau missed Free Throw.,23,35
1:55,2504,Gary Blackston Defensive Rebound.,23,35
1:41,2504,Zachary Hamilton made Three Point Jumper.,26,35
1:20,62,Michael Thomas missed Jumper.,26,35
1:20,2504,Zachary Hamilton Defensive Rebound.,26,35
1:10,2504,Shay'rone Jett made Three Point Jumper. Assisted by Zachary Hamilton.,29,35
1:04,62,Hawai'i  Timeout,29,35
0:43,62,Brocke Stepteau missed Jumper.,29,35
0:43,2504,Keion Alexander Block.,29,35
0:40,2504,Keion Alexander Defensive Rebound.,29,35
0:36,2504,Dennis Jones missed Layup.,29,35
0:36,62,Michael Thomas Defensive Rebound.,29,35
0:34,62,Michael Thomas Turnover.,29,35
0:33,2504,Gary Blackston Steal.,29,35
0:12,2504,Prairie View A&M  Timeout,29,35
0:06,2504,Austin Starr missed Three Point Jumper.,29,35
0:05,2504,Austin Starr Offensive Rebound.,29,35
0:03,2504,Prairie View A&M  Turnover.,29,35
0:01,2504,Foul on Jordan Lumpkins.,29,35
0:00,62,Drew Buggs made Free Throw.,29,36
0:00,62,Drew Buggs missed Free Throw.,29,36
0:00,2504,Keion Alexander Defensive Rebound.,29,36
0:00,62,End of 1st half,29,36
19:41,2504,Gary Blackston missed Three Point Jumper.,29,36
19:41,62,Sheriff Drammeh Defensive Rebound.,29,36
19:33,2504,Foul on Gary Blackston.,29,36
19:23,62,Gibson Johnson Turnover.,29,36
19:22,2504,Zachary Hamilton Steal.,29,36
19:17,2504,Zachary Hamilton missed Three Point Jumper.,29,36
19:17,62,Gibson Johnson Defensive Rebound.,29,36
19:10,62,Leland Green Turnover.,29,36
19:09,2504,JD Wallace Steal.,29,36
19:06,2504,Zachary Hamilton missed Layup.,29,36
19:06,2504,JD Wallace Offensive Rebound.,29,36
19:03,2504,Dennis Jones missed Jumper.,29,36
19:03,2504,Dennis Jones Offensive Rebound.,29,36
18:59,62,Foul on Drew Buggs.,29,36
18:59,2504,Dennis Jones made Free Throw.,30,36
18:59,2504,Dennis Jones missed Free Throw.,30,36
18:59,62,Michael Thomas Defensive Rebound.,30,36
18:37,62,Michael Thomas Turnover.,30,36
18:35,2504,Dennis Jones Steal.,30,36
18:34,62,Foul on Leland Green.,30,36
18:34,2504,Dennis Jones missed Free Throw.,30,36
18:34,2504,Prairie View A&M Deadball Team Rebound.,30,36
18:34,2504,Dennis Jones missed Free Throw.,30,36
18:34,62,Gibson Johnson Defensive Rebound.,30,36
18:20,62,Michael Thomas made Dunk. Assisted by Drew Buggs.,30,38
17:56,62,Foul on Leland Green.,30,38
17:56,2504,Dennis Jones missed Free Throw.,30,38
17:56,2504,Prairie View A&M Deadball Team Rebound.,30,38
17:56,2504,Dennis Jones missed Free Throw.,30,38
17:56,62,Michael Thomas Defensive Rebound.,30,38
17:47,62,Drew Buggs missed Jumper.,30,38
17:47,62,Sheriff Drammeh Offensive Rebound.,30,38
17:36,2504,Foul on Shay'rone Jett.,30,38
17:24,62,Leland Green Turnover.,30,38
17:23,2504,Gary Blackston Steal.,30,38
17:21,2504,Gary Blackston made Layup.,32,38
17:04,2504,Foul on Austin Starr.,32,38
16:54,2504,Foul on Shay'rone Jett.,32,38
16:51,62,Drew Buggs made Three Point Jumper. Assisted by Sheriff Drammeh.,32,41
16:35,62,Foul on Sheriff Drammeh.,32,41
16:21,2504,Gary Blackston made Jumper.,34,41
16:00,62,Brocke Stepteau made Three Point Jumper. Assisted by Samuta Avea.,34,44
15:50,2504,Zachary Hamilton missed Jumper.,34,44
15:50,62,Michael Thomas Defensive Rebound.,34,44
15:20,62,Drew Buggs missed Jumper.,34,44
15:20,2504,Prairie View A&M Defensive Rebound.,34,44
15:14,62,Official TV Timeout,34,44
14:57,2504,Gary Blackston missed Jumper.,34,44
14:57,62,Drew Buggs Defensive Rebound.,34,44
14:48,62,Gibson Johnson made Layup. Assisted by Michael Thomas.,34,46
14:48,2504,Foul on Zachary Hamilton.,34,46
14:48,62,Gibson Johnson made Free Throw.,34,47
14:35,2504,Zachary Hamilton made Jumper.,36,47
14:21,62,Samuta Avea missed Three Point Jumper.,36,47
14:21,2504,Zachary Hamilton Defensive Rebound.,36,47
14:04,2504,Austin Starr made Jumper.,38,47
13:45,62,Samuta Avea missed Jumper.,38,47
13:45,2504,Keion Alexander Block.,38,47
13:45,62,Hawai'i Offensive Rebound.,38,47
13:44,2504,Foul on Keion Alexander.,38,47
13:44,62,Jack Purchase made Free Throw.,38,48
13:44,62,Jack Purchase missed Free Throw.,38,48
13:44,2504,JD Wallace Defensive Rebound.,38,48
13:29,62,Foul on Brocke Stepteau.,38,48
13:23,2504,Zachary Hamilton missed Jumper.,38,48
13:23,2504,Gary Blackston Offensive Rebound.,38,48
13:19,2504,Gary Blackston made Layup.,40,48
13:19,62,Foul on Drew Buggs.,40,48
13:19,2504,Gary Blackston made Free Throw.,41,48
12:56,62,Brocke Stepteau missed Three Point Jumper.,41,48
12:56,2504,Gary Blackston Defensive Rebound.,41,48
12:41,2504,Austin Starr Turnover.,41,48
12:30,62,Drew Buggs missed Layup.,41,48
12:30,2504,Keion Alexander Block.,41,48
12:26,2504,Isaih Hood Defensive Rebound.,41,48
12:09,62,Foul on Michael Thomas.,41,48
12:09,2504,Gary Blackston missed Free Throw.,41,48
12:09,2504,Prairie View A&M Deadball Team Rebound.,41,48
12:09,2504,Gary Blackston made Free Throw.,42,48
11:57,62,Jack Purchase missed Three Point Jumper.,42,48
11:57,2504,Prairie View A&M Defensive Rebound.,42,48
11:53,62,Official TV Timeout,42,48
11:26,2504,Shay'rone Jett missed Jumper.,42,48
11:26,62,Drew Buggs Defensive Rebound.,42,48
11:15,2504,Foul on Shay'rone Jett.,42,48
11:15,62,Gibson Johnson made Free Throw.,42,49
11:15,62,Gibson Johnson made Free Throw.,42,50
10:53,2504,Austin Starr missed Three Point Jumper.,42,50
10:53,62,Sheriff Drammeh Defensive Rebound.,42,50
10:48,2504,Foul on Keion Alexander.,42,50
10:48,2504,Technical Foul on Keion Alexander.,42,50
10:48,2504,Foul on Keion Alexander.,42,50
10:48,62,Brocke Stepteau made Free Throw.,42,51
10:48,62,Brocke Stepteau made Free Throw.,42,52
10:48,62,Sheriff Drammeh made Free Throw.,42,53
10:48,62,Sheriff Drammeh made Free Throw.,42,54
10:19,2504,Gary Blackston missed Jumper.,42,54
10:19,62,Jack Purchase Block.,42,54
10:17,2504,Prairie View A&M Deadball Team Rebound.,42,54
10:17,2504,Prairie View A&M  Turnover.,42,54
10:05,62,Sheriff Drammeh missed Three Point Jumper.,42,54
10:05,2504,Zachary Hamilton Defensive Rebound.,42,54
9:45,2504,Zachary Hamilton missed Jumper.,42,54
9:45,2504,Juan Hood Offensive Rebound.,42,54
9:24,2504,Gary Blackston made Three Point Jumper. Assisted by Zachary Hamilton.,45,54
9:10,62,Jack Purchase missed Three Point Jumper.,45,54
9:10,2504,Keion Alexander Defensive Rebound.,45,54
8:58,62,Foul on Brandon Thomas.,45,54
8:58,2504,Gary Blackston Turnover.,45,54
8:48,2504,Foul on Jordan Lumpkins.,45,54
8:48,62,Gibson Johnson made Free Throw.,45,55
8:48,62,Gibson Johnson missed Free Throw.,45,55
8:48,2504,Gary Blackston Defensive Rebound.,45,55
8:47,62,Foul on Michael Thomas.,45,55
8:47,2504,Keion Alexander made Free Throw.,46,55
8:47,2504,Keion Alexander missed Free Throw.,46,55
8:47,62,Hawai'i Defensive Rebound.,46,55
8:31,2504,Foul on Jordan Lumpkins.,46,55
8:31,62,Michael Thomas made Free Throw.,46,56
8:31,62,Michael Thomas made Free Throw.,46,57
8:16,2504,Gary Blackston made Three Point Jumper.,49,57
7:51,62,Sheriff Drammeh missed Three Point Jumper.,49,57
7:51,62,Hawai'i Offensive Rebound.,49,57
7:47,62,Official TV Timeout,49,57
7:41,62,Sheriff Drammeh Turnover.,49,57
7:41,62,Foul on Sheriff Drammeh.,49,57
7:21,2504,Zachary Hamilton missed Layup.,49,57
7:21,62,Drew Buggs Defensive Rebound.,49,57
7:18,62,Hawai'i  Timeout,49,57
6:48,62,Drew Buggs missed Three Point Jumper.,49,57
6:48,62,Hawai'i Deadball Team Rebound.,49,57
6:48,62,Hawai'i  Turnover.,49,57
6:25,2504,Zachary Hamilton made Three Point Jumper. Assisted by Austin Starr.,52,57
5:49,62,Brandon Thomas missed Three Point Jumper.,52,57
5:49,62,Michael Thomas Offensive Rebound.,52,57
5:44,2504,Foul on Austin Starr.,52,57
5:44,62,Michael Thomas made Free Throw.,52,58
5:44,62,Michael Thomas made Free Throw.,52,59
5:27,2504,Prairie View A&M  Timeout,52,59
5:16,2504,Zachary Hamilton made Jumper.,54,59
4:59,2504,Foul on Gary Blackston.,54,59
4:59,62,Drew Buggs made Free Throw.,54,60
4:59,62,Drew Buggs made Free Throw.,54,61
4:34,2504,Gary Blackston missed Jumper.,54,61
4:34,62,Michael Thomas Block.,54,61
4:33,2504,Gary Blackston Offensive Rebound.,54,61
4:32,2504,Gary Blackston made Jumper.,56,61
4:17,62,Gibson Johnson missed Jumper.,56,61
4:17,2504,Zachary Hamilton Defensive Rebound.,56,61
3:48,2504,Austin Starr missed Jumper.,56,61
3:48,62,Michael Thomas Defensive Rebound.,56,61
3:27,62,Brocke Stepteau Turnover.,56,61
3:26,2504,Zachary Hamilton Steal.,56,61
3:26,62,Foul on Leland Green.,56,61
3:26,62,Official TV Timeout,56,61
3:26,2504,Zachary Hamilton missed Free Throw.,56,61
3:26,2504,Prairie View A&M Deadball Team Rebound.,56,61
3:26,2504,Zachary Hamilton made Free Throw.,57,61
2:59,62,Brocke Stepteau made Three Point Jumper. Assisted by Sheriff Drammeh.,57,64
2:36,2504,Dennis Jones Turnover.,57,64
2:16,62,Drew Buggs made Layup.,57,66
1:56,2504,Zachary Hamilton missed Three Point Jumper.,57,66
1:56,62,Michael Thomas Defensive Rebound.,57,66
1:25,62,Michael Thomas made Layup. Assisted by Brocke Stepteau.,57,68
1:13,62,Foul on Sheriff Drammeh.,57,68
1:13,2504,Gary Blackston made Free Throw.,58,68
1:13,2504,Gary Blackston made Free Throw.,59,68
1:04,2504,Foul on Gary Blackston.,59,68
1:03,62,Brocke Stepteau made Free Throw.,59,69
1:03,62,Brocke Stepteau made Free Throw.,59,70
0:59,2504,Gary Blackston missed Three Point Jumper.,59,70
0:59,62,Hawai'i Defensive Rebound.,59,70
0:55,2504,Foul on Dennis Jones.,59,70
0:55,62,Leland Green made Free Throw.,59,71
0:55,62,Leland Green missed Free Throw.,59,71
0:55,2504,Zachary Hamilton Defensive Rebound.,59,71
0:50,62,Foul on Michael Thomas.,59,71
0:50,2504,Gary Blackston missed Free Throw.,59,71
0:50,2504,Prairie View A&M Deadball Team Rebound.,59,71
0:50,2504,Gary Blackston made Free Throw.,60,71
0:48,2504,Foul on Gary Blackston.,60,71
0:48,62,Drew Buggs missed Free Throw.,60,71
0:48,62,Hawai'i Deadball Team Rebound.,60,71
0:48,62,Drew Buggs made Free Throw.,60,72
0:42,2504,Zachary Hamilton missed Jumper.,60,72
0:42,62,Brocke Stepteau Defensive Rebound.,60,72
0:11,62,Leland Green missed Jumper.,60,72
0:11,62,Michael Thomas Offensive Rebound.,60,72
0:05,62,Michael Thomas Turnover.,60,72
0:05,62,Foul on Michael Thomas.,60,72
0:00,2504,Zachary Hamilton missed Jumper.,60,72
0:00,62,Gibson Johnson Defensive Rebound.,60,72
0:00,62,End of Game,60,72
