Indiana State,249,North Texas,282
11:22,249,Roosevelt Smart Offensive Rebound.,9,11
11:18,249,Roosevelt Smart missed Layup.,9,11
11:18,249,Michael Miller Offensive Rebound.,9,11
11:03,249,Foul on Tope Arikawe.,9,11
11:03,249,Tope Arikawe Turnover.,9,11
10:44,282,Tyreke Key Turnover.,9,11
10:25,249,Ryan Woolridge made Layup.,9,13
9:51,282,Emondre Rickman missed Jumper.,9,13
9:51,249,Shane Temara Defensive Rebound.,9,13
9:43,249,Shane Temara made Dunk. Assisted by Ryan Woolridge.,9,15
9:24,282,Jordan Barnes missed Jumper.,9,15
9:24,249,Zachary Simmons Block.,9,15
9:22,249,Zachary Simmons Defensive Rebound.,9,15
9:19,249,Zachary Simmons Turnover.,9,15
9:00,282,Brandon Murphy made Jumper.,11,15
8:44,249,A.J. Lawson made Layup.,11,17
8:36,282,Qiydar Davis made Three Point Jumper. Assisted by Jordan Barnes.,14,17
8:15,249,Ryan Woolridge missed Layup.,14,17
8:15,282,Tyreke Key Defensive Rebound.,14,17
8:02,282,Qiydar Davis made Three Point Jumper.,17,17
7:37,249,Official TV Timeout,17,17
7:31,249,Roosevelt Smart missed Three Point Jumper.,17,17
7:31,249,Shane Temara Offensive Rebound.,17,17
7:02,249,Roosevelt Smart missed Jumper.,17,17
7:02,282,Indiana State Defensive Rebound.,17,17
6:45,282,Qiydar Davis missed Jumper.,17,17
6:45,282,Brandon Murphy Offensive Rebound.,17,17
6:43,249,Foul on Ryan Woolridge.,17,17
6:38,282,Jordan Barnes missed Three Point Jumper.,17,17
6:38,249,Tope Arikawe Defensive Rebound.,17,17
6:27,249,Roosevelt Smart Turnover.,17,17
6:25,282,Jordan Barnes Steal.,17,17
6:22,282,Jordan Barnes missed Layup.,17,17
6:22,249,Tope Arikawe Block.,17,17
6:20,282,Qiydar Davis Offensive Rebound.,17,17
6:15,282,Qiydar Davis made Layup.,19,17
5:50,249,Roosevelt Smart missed Three Point Jumper.,19,17
5:50,282,Qiydar Davis Defensive Rebound.,19,17
5:44,282,Brenton Scott made Layup.,21,17
5:44,249,Foul on Roosevelt Smart.,21,17
5:44,282,Brenton Scott missed Free Throw.,21,17
5:44,249,Tope Arikawe Defensive Rebound.,21,17
5:13,282,Foul on Clayton Hughes.,21,17
5:10,249,A.J. Lawson made Three Point Jumper. Assisted by Ryan Woolridge.,21,20
4:36,282,Jordan Barnes missed Jumper.,21,20
4:36,282,Devin Thomas Offensive Rebound.,21,20
4:32,249,Foul on DJ Draper.,21,20
4:32,282,Devin Thomas made Free Throw.,22,20
4:32,282,Devin Thomas made Free Throw.,23,20
3:59,249,North Texas  Turnover.,23,20
3:59,249,Official TV Timeout,23,20
3:36,282,Emondre Rickman missed Jumper.,23,20
3:36,249,Zachary Simmons Block.,23,20
3:33,249,Zachary Simmons Defensive Rebound.,23,20
3:16,282,Foul on Jordan Barnes.,23,20
3:16,249,A.J. Lawson missed Free Throw.,23,20
3:16,249,North Texas Deadball Team Rebound.,23,20
3:16,249,A.J. Lawson made Free Throw.,23,21
2:59,282,Qiydar Davis missed Three Point Jumper.,23,21
2:59,249,Roosevelt Smart Defensive Rebound.,23,21
2:35,249,Roosevelt Smart missed Three Point Jumper.,23,21
2:35,249,Ryan Woolridge Offensive Rebound.,23,21
2:31,249,Ryan Woolridge missed Jumper.,23,21
2:31,282,Qiydar Davis Block.,23,21
2:27,282,Jordan Barnes Defensive Rebound.,23,21
2:23,282,Brenton Scott missed Three Point Jumper.,23,21
2:23,249,Allante Holston Defensive Rebound.,23,21
2:08,249,Zachary Simmons made Jumper.,23,23
1:47,282,Tyreke Key made Three Point Jumper. Assisted by Qiydar Davis.,26,23
1:24,249,Zachary Simmons Turnover.,26,23
1:22,282,Qiydar Davis Steal.,26,23
1:10,282,Tyreke Key made Jumper.,28,23
1:02,249,North Texas  Timeout,28,23
0:46,249,Zachary Simmons missed Jumper.,28,23
0:46,282,Jordan Barnes Defensive Rebound.,28,23
0:41,249,Foul on Zachary Simmons.,28,23
0:41,282,Tyreke Key made Free Throw.,29,23
0:41,282,Tyreke Key made Free Throw.,30,23
0:25,249,Shane Temara Turnover.,30,23
0:21,282,Indiana State  Timeout,30,23
0:04,282,Jordan Barnes missed Jumper.,30,23
0:04,249,Zachary Simmons Defensive Rebound.,30,23
0:00,249,End of 1st half,30,23
19:35,249,A.J. Lawson Turnover.,30,23
19:32,282,Brandon Murphy Steal.,30,23
19:29,249,Foul on Zachary Simmons.,30,23
19:29,282,Tyreke Key missed Free Throw.,30,23
19:29,282,Indiana State Deadball Team Rebound.,30,23
19:29,282,Tyreke Key made Free Throw.,31,23
19:04,282,Foul on Tyreke Key.,31,23
19:04,249,Ryan Woolridge missed Free Throw.,31,23
19:04,249,North Texas Deadball Team Rebound.,31,23
19:04,249,Ryan Woolridge made Free Throw.,31,24
18:42,282,Tyreke Key missed Three Point Jumper.,31,24
18:42,249,Roosevelt Smart Defensive Rebound.,31,24
18:35,249,Roosevelt Smart made Layup.,31,26
18:19,282,Jordan Barnes made Three Point Jumper. Assisted by Brandon Murphy.,34,26
17:58,249,Shane Temara made Three Point Jumper. Assisted by A.J. Lawson.,34,29
17:43,282,Jordan Barnes missed Three Point Jumper.,34,29
17:43,282,Brandon Murphy Offensive Rebound.,34,29
17:38,282,Bronson Kessinger made Layup.,36,29
17:26,249,Roosevelt Smart missed Three Point Jumper.,36,29
17:26,282,Brandon Murphy Defensive Rebound.,36,29
17:15,282,Jordan Barnes made Three Point Jumper.,39,29
17:06,249,North Texas  Timeout,39,29
17:05,249,Shane Temara missed Three Point Jumper.,39,29
17:05,282,Brandon Murphy Defensive Rebound.,39,29
16:58,282,Qiydar Davis missed Jumper.,39,29
16:58,249,North Texas Defensive Rebound.,39,29
16:52,282,Foul on Brandon Murphy.,39,29
16:36,249,Ryan Woolridge missed Jumper.,39,29
16:36,282,Devin Thomas Defensive Rebound.,39,29
16:28,282,Devin Thomas Turnover.,39,29
16:25,249,Allante Holston Steal.,39,29
16:20,249,Shane Temara made Jumper.,39,31
16:20,282,Foul on Brandon Murphy.,39,31
16:20,249,Shane Temara made Free Throw.,39,32
16:00,282,Brandon Murphy missed Jumper.,39,32
16:00,249,Tope Arikawe Defensive Rebound.,39,32
15:52,249,Ryan Woolridge made Layup.,39,34
15:39,282,Brenton Scott made Jumper.,41,34
15:20,249,Allante Holston missed Jumper.,41,34
15:20,282,Brenton Scott Defensive Rebound.,41,34
14:49,282,Jordan Barnes made Three Point Jumper. Assisted by Brandon Murphy.,44,34
14:37,249,Ryan Woolridge missed Jumper.,44,34
14:37,282,Qiydar Davis Defensive Rebound.,44,34
14:27,282,Brenton Scott missed Three Point Jumper.,44,34
14:27,249,Allante Holston Defensive Rebound.,44,34
14:11,249,Official TV Timeout,44,34
13:55,249,Roosevelt Smart made Three Point Jumper. Assisted by Ryan Woolridge.,44,37
13:31,282,Devin Thomas missed Jumper.,44,37
13:31,249,Roosevelt Smart Defensive Rebound.,44,37
13:16,249,Ryan Woolridge missed Jumper.,44,37
13:16,282,Indiana State Defensive Rebound.,44,37
13:12,249,Foul on Tope Arikawe.,44,37
12:42,282,Emondre Rickman missed Jumper.,44,37
12:42,249,Bryce Jackson Defensive Rebound.,44,37
12:26,282,Foul on Emondre Rickman.,44,37
12:26,249,Allante Holston missed Free Throw.,44,37
12:26,249,North Texas Deadball Team Rebound.,44,37
12:26,249,Allante Holston made Free Throw.,44,38
12:12,282,Brenton Scott missed Jumper.,44,38
12:12,249,Roosevelt Smart Defensive Rebound.,44,38
11:49,249,A.J. Lawson made Layup.,44,40
11:46,249,Official TV Timeout,44,40
11:33,282,Bronson Kessinger made Jumper.,46,40
11:20,282,Foul on Brenton Scott.,46,40
11:07,249,Bryce Jackson Turnover.,46,40
10:43,249,Foul on A.J. Lawson.,46,40
10:43,282,Brandon Murphy missed Free Throw.,46,40
10:43,282,Indiana State Deadball Team Rebound.,46,40
10:43,282,Brandon Murphy missed Free Throw.,46,40
10:43,249,Roosevelt Smart Defensive Rebound.,46,40
10:11,249,Shane Temara made Jumper. Assisted by A.J. Lawson.,46,42
9:47,282,Brenton Scott missed Three Point Jumper.,46,42
9:47,249,Ryan Woolridge Defensive Rebound.,46,42
9:39,249,A.J. Lawson missed Jumper.,46,42
9:39,282,Tyreke Key Defensive Rebound.,46,42
9:33,282,Tyreke Key made Layup.,48,42
9:19,282,Foul on Brenton Scott.,48,42
8:56,249,Roosevelt Smart missed Three Point Jumper.,48,42
8:56,282,Qiydar Davis Defensive Rebound.,48,42
8:30,282,Qiydar Davis made Dunk. Assisted by Jordan Barnes.,50,42
8:17,249,North Texas  Timeout,50,42
8:01,249,Roosevelt Smart missed Jumper.,50,42
8:01,249,Tope Arikawe Offensive Rebound.,50,42
7:40,249,A.J. Lawson made Jumper.,50,44
7:08,282,Brandon Murphy missed Jumper.,50,44
7:08,282,Brandon Murphy Offensive Rebound.,50,44
7:05,282,Brandon Murphy made Layup.,52,44
7:05,249,Foul on Tope Arikawe.,52,44
7:05,282,Brandon Murphy made Free Throw.,53,44
6:55,249,Roosevelt Smart made Three Point Jumper. Assisted by Allante Holston.,53,47
6:30,282,Jordan Barnes Turnover.,53,47
6:29,249,Ryan Woolridge Steal.,53,47
6:27,282,Foul on Qiydar Davis.,53,47
6:27,249,Roosevelt Smart made Free Throw.,53,48
6:27,249,Roosevelt Smart made Free Throw.,53,49
6:15,282,Foul on Qiydar Davis.,53,49
6:15,282,Qiydar Davis Turnover.,53,49
6:15,282,Indiana State  Timeout,53,49
6:05,249,Shane Temara made Layup. Assisted by A.J. Lawson.,53,51
5:36,282,Jordan Barnes made Jumper.,55,51
5:08,249,Roosevelt Smart missed Three Point Jumper.,55,51
5:08,282,Qiydar Davis Defensive Rebound.,55,51
4:47,249,Foul on Shane Temara.,55,51
4:47,282,Brenton Scott made Free Throw.,56,51
4:47,282,Brenton Scott made Free Throw.,57,51
4:24,249,A.J. Lawson missed Jumper.,57,51
4:24,249,Zachary Simmons Offensive Rebound.,57,51
4:21,249,Zachary Simmons made Dunk.,57,53
4:11,282,Tyreke Key made Layup.,59,53
3:51,249,Ryan Woolridge missed Jumper.,59,53
3:51,282,Qiydar Davis Defensive Rebound.,59,53
3:21,282,Jordan Barnes missed Jumper.,59,53
3:21,249,Ryan Woolridge Defensive Rebound.,59,53
2:55,249,Official TV Timeout,59,53
2:55,282,Foul on Bronson Kessinger.,59,53
2:55,249,Roosevelt Smart made Free Throw.,59,54
2:55,249,Roosevelt Smart made Free Throw.,59,55
2:26,282,Jordan Barnes missed Three Point Jumper.,59,55
2:26,249,Ryan Woolridge Defensive Rebound.,59,55
2:13,249,A.J. Lawson missed Three Point Jumper.,59,55
2:13,249,Zachary Simmons Offensive Rebound.,59,55
2:07,249,Ryan Woolridge missed Jumper.,59,55
2:07,282,Qiydar Davis Defensive Rebound.,59,55
1:38,249,Foul on Roosevelt Smart.,59,55
1:38,282,Qiydar Davis missed Free Throw.,59,55
1:38,282,Indiana State Deadball Team Rebound.,59,55
1:38,282,Qiydar Davis made Free Throw.,60,55
1:17,249,Roosevelt Smart missed Three Point Jumper.,60,55
1:17,249,Ryan Woolridge Offensive Rebound.,60,55
1:12,249,Zachary Simmons made Layup.,60,57
1:01,282,Indiana State  Timeout,60,57
0:40,282,Brenton Scott missed Jumper.,60,57
0:40,282,Brandon Murphy Offensive Rebound.,60,57
0:36,282,Brandon Murphy made Dunk.,62,57
0:28,249,Ryan Woolridge made Three Point Jumper. Assisted by Zachary Simmons.,62,60
0:28,249,North Texas  Timeout,62,60
0:26,249,Foul on Ryan Woolridge.,62,60
0:26,282,Jordan Barnes made Free Throw.,63,60
0:26,282,Jordan Barnes made Free Throw.,64,60
0:18,249,Roosevelt Smart made Three Point Jumper. Assisted by Ryan Woolridge.,64,63
0:18,249,Foul on Ryan Woolridge.,64,63
0:18,282,Jordan Barnes made Free Throw.,65,63
0:18,282,Jordan Barnes made Free Throw.,66,63
0:10,249,A.J. Lawson made Layup.,66,65
0:09,249,Foul on Roosevelt Smart.,66,65
0:09,282,Jordan Barnes made Free Throw.,67,65
0:09,282,Jordan Barnes made Free Throw.,68,65
0:01,249,A.J. Lawson made Three Point Jumper.,68,68
0:00,249,Roosevelt Smart missed Three Point Jumper.,68,68
0:00,249,Shane Temara Offensive Rebound.,68,68
0:00,249,End of 2nd half,68,68
0:00,249,End of Game,67,66
4:45,282,Jordan Barnes made Three Point Jumper. Assisted by Bronson Kessinger.,71,68
4:14,249,Zachary Simmons made Layup. Assisted by A.J. Lawson.,71,70
3:58,282,Brenton Scott Turnover.,71,70
3:56,249,A.J. Lawson Steal.,71,70
3:53,282,Foul on Qiydar Davis.,71,70
3:53,249,A.J. Lawson missed Free Throw.,71,70
3:53,249,North Texas Deadball Team Rebound.,71,70
3:53,249,A.J. Lawson made Free Throw.,71,71
3:30,282,Qiydar Davis made Jumper.,73,71
2:57,249,A.J. Lawson missed Jumper.,73,71
2:57,282,Brandon Murphy Defensive Rebound.,73,71
2:26,282,Bronson Kessinger missed Three Point Jumper.,73,71
2:26,249,Roosevelt Smart Defensive Rebound.,73,71
2:17,249,Roosevelt Smart Turnover.,73,71
2:15,282,Qiydar Davis Steal.,73,71
1:59,282,Qiydar Davis Turnover.,73,71
1:59,282,Foul on Qiydar Davis.,73,71
1:33,249,Shane Temara made Three Point Jumper. Assisted by Ryan Woolridge.,73,74
1:25,282,Indiana State  Timeout,73,74
1:05,249,Foul on Roosevelt Smart.,73,74
1:05,282,Brandon Murphy missed Free Throw.,73,74
1:05,282,Indiana State Deadball Team Rebound.,73,74
1:05,282,Brandon Murphy made Free Throw.,74,74
0:55,282,Foul on Jordan Barnes.,74,74
0:55,249,Roosevelt Smart made Free Throw.,74,75
0:55,249,Roosevelt Smart made Free Throw.,74,76
0:36,282,Tyreke Key missed Jumper.,74,76
0:36,249,Zachary Simmons Block.,74,76
0:32,249,A.J. Lawson Defensive Rebound.,74,76
0:29,282,Foul on Brenton Scott.,74,76
0:29,249,Roosevelt Smart made Free Throw.,74,77
0:29,249,Roosevelt Smart made Free Throw.,74,78
0:16,282,Brandon Murphy missed Jumper.,74,78
0:16,249,Roosevelt Smart Defensive Rebound.,74,78
0:12,282,Foul on Qiydar Davis.,74,78
0:12,249,Roosevelt Smart missed Free Throw.,74,78
0:12,249,North Texas Deadball Team Rebound.,74,78
0:12,249,Roosevelt Smart made Free Throw.,74,79
0:05,282,Brenton Scott missed Three Point Jumper.,74,79
0:05,282,Indiana State Offensive Rebound.,74,79
0:04,249,North Texas  Timeout,74,79
0:02,249,Foul on A.J. Lawson.,74,79
0:02,282,Jordan Barnes made Free Throw.,75,79
0:02,282,Jordan Barnes made Free Throw.,76,79
0:02,282,Indiana State  Timeout,76,79
0:02,282,Jordan Barnes missed Free Throw.,75,79
0:02,282,Indiana State Deadball Team Rebound.,75,79
