Stetson,2184,Duquesne,56
8:56,56,Divine Myles missed Free Throw.,14,18
8:56,2184,Eric Williams Jr. Defensive Rebound.,14,18
8:25,2184,Chas Brown missed Jumper.,14,18
8:25,2184,Duquesne Deadball Team Rebound.,14,18
8:23,2184,Duquesne  Turnover.,14,18
8:06,56,B.J. Glasford Turnover.,14,18
7:42,2184,Chas Brown missed Layup.,14,18
7:42,2184,Kellon Taylor Offensive Rebound.,14,18
7:38,56,Foul on Divine Myles.,14,18
7:38,2184,Official TV Timeout,14,18
7:38,2184,Mike Lewis II made Free Throw.,14,19
7:38,2184,Mike Lewis II made Free Throw.,14,20
7:38,2184,Mike Lewis II made Free Throw.,14,21
7:20,56,Christiaan Jones missed Jumper.,14,21
7:20,56,Stetson Offensive Rebound.,14,21
7:11,56,Divine Myles missed Three Point Jumper.,14,21
7:11,2184,Chas Brown Defensive Rebound.,14,21
7:03,2184,Rene Castro-Caneddy missed Three Point Jumper.,14,21
7:03,56,Larry Dennis Defensive Rebound.,14,21
6:57,56,Larry Dennis Turnover.,14,21
6:56,2184,Eric Williams Jr. Steal.,14,21
6:54,2184,Mike Lewis II missed Three Point Jumper.,14,21
6:54,56,Angel Rivera Defensive Rebound.,14,21
6:49,56,Divine Myles made Layup. Assisted by Angel Rivera.,16,21
6:33,2184,Chas Brown made Jumper. Assisted by Eric Williams Jr..,16,23
6:33,56,Foul on B.J. Glasford.,16,23
6:33,2184,Chas Brown missed Free Throw.,16,23
6:33,56,Larry Dennis Defensive Rebound.,16,23
6:10,56,Larry Dennis Turnover.,16,23
6:08,2184,Eric Williams Jr. Steal.,16,23
5:45,2184,Chas Brown missed Jumper.,16,23
5:45,2184,Kellon Taylor Offensive Rebound.,16,23
5:39,2184,Kellon Taylor made Two Point Tip Shot.,16,25
5:29,2184,Foul on Tarin Smith.,16,25
5:29,56,Angel Rivera missed Free Throw.,16,25
5:29,56,Stetson Deadball Team Rebound.,16,25
5:29,56,Angel Rivera made Free Throw.,17,25
5:21,2184,Eric James Turnover.,17,25
5:18,56,Angel Rivera Turnover.,17,25
5:17,2184,Rene Castro-Caneddy Steal.,17,25
5:05,2184,Eric Williams Jr. made Dunk. Assisted by Rene Castro-Caneddy.,17,27
4:52,56,Abayomi Iyiola missed Jumper.,17,27
4:52,2184,Eric Williams Jr. Defensive Rebound.,17,27
4:24,56,Foul on Abayomi Iyiola.,17,27
4:24,2184,Jordan Robinson made Free Throw.,17,28
4:24,2184,Jordan Robinson made Free Throw.,17,29
4:24,56,B.J. Glasford missed Three Point Jumper.,17,29
4:24,2184,Eric James Defensive Rebound.,17,29
3:51,2184,Kellon Taylor Turnover.,17,29
3:50,56,Luke Doyle Steal.,17,29
3:45,56,Divine Myles missed Layup.,17,29
3:45,2184,Kellon Taylor Block.,17,29
3:45,2184,Rene Castro-Caneddy Defensive Rebound.,17,29
3:45,2184,Official TV Timeout,17,29
3:40,2184,Mike Lewis II missed Jumper.,17,29
3:40,56,B.J. Glasford Defensive Rebound.,17,29
3:33,2184,Foul on Kellon Taylor.,17,29
3:33,56,Keith Matthews missed Free Throw.,17,29
3:33,2184,Eric Williams Jr. Defensive Rebound.,17,29
3:33,2184,Eric James missed Three Point Jumper.,17,29
3:33,56,B.J. Glasford Defensive Rebound.,17,29
3:14,2184,Mike Lewis II missed Three Point Jumper.,17,29
3:14,56,Divine Myles Defensive Rebound.,17,29
3:09,56,Keith Matthews made Layup. Assisted by Divine Myles.,19,29
2:41,2184,Tarin Smith made Three Point Jumper. Assisted by Jordan Robinson.,19,32
2:24,56,Divine Myles made Layup.,21,32
2:04,2184,Tarin Smith made Three Point Jumper. Assisted by Eric Williams Jr..,21,35
1:51,56,Luke Doyle missed Three Point Jumper.,21,35
1:51,2184,Tarin Smith Defensive Rebound.,21,35
1:25,2184,Mike Lewis II made Jumper.,21,37
1:13,56,Angel Rivera missed Three Point Jumper.,21,37
1:13,56,Keith Matthews Offensive Rebound.,21,37
1:01,56,Divine Myles made Three Point Jumper. Assisted by Angel Rivera.,24,37
0:41,2184,Eric Williams Jr. missed Layup.,24,37
0:41,2184,Kellon Taylor Offensive Rebound.,24,37
0:38,2184,Kellon Taylor made Layup.,24,39
0:31,56,Stetson  Timeout,24,39
0:10,56,B.J. Glasford Turnover.,24,39
0:09,2184,Tarin Smith Steal.,24,39
0:04,2184,Tarin Smith missed Layup.,24,39
0:04,56,Luke Doyle Defensive Rebound.,24,39
0:00,2184,End of 1st half,24,39
19:43,56,B.J. Glasford missed Jumper.,24,39
19:43,2184,Eric Williams Jr. Defensive Rebound.,24,39
19:20,2184,Mike Lewis II made Three Point Jumper. Assisted by Rene Castro-Caneddy.,24,42
19:04,56,Angel Rivera missed Layup.,24,42
19:04,2184,Tydus Verhoeven Block.,24,42
19:02,2184,Eric Williams Jr. Defensive Rebound.,24,42
18:49,2184,Tydus Verhoeven Turnover.,24,42
18:49,2184,Foul on Tydus Verhoeven.,24,42
18:34,56,Divine Myles made Three Point Jumper.,27,42
18:11,2184,Chas Brown missed Layup.,27,42
18:11,56,Angel Rivera Defensive Rebound.,27,42
18:03,56,Angel Rivera Turnover.,27,42
18:02,2184,Mike Lewis II Steal.,27,42
17:59,2184,Mike Lewis II made Three Point Jumper. Assisted by Rene Castro-Caneddy.,27,45
17:42,56,Luke Doyle missed Three Point Jumper.,27,45
17:42,56,Larry Dennis Offensive Rebound.,27,45
17:31,56,Divine Myles made Jumper.,29,45
17:16,2184,Eric Williams Jr. missed Three Point Jumper.,29,45
17:16,56,Divine Myles Defensive Rebound.,29,45
17:08,56,Divine Myles missed Layup.,29,45
17:08,56,Larry Dennis Offensive Rebound.,29,45
17:05,56,Larry Dennis missed Layup.,29,45
17:05,56,Luke Doyle Offensive Rebound.,29,45
17:01,56,Luke Doyle made Three Point Jumper.,32,45
16:48,56,Foul on Divine Myles.,32,45
16:48,2184,Rene Castro-Caneddy made Free Throw.,32,46
16:48,2184,Rene Castro-Caneddy made Free Throw.,32,47
16:34,56,Abayomi Iyiola made Jumper. Assisted by Kenny Aninye.,34,47
16:23,2184,Rene Castro-Caneddy Turnover.,34,47
16:15,56,Luke Doyle missed Three Point Jumper.,34,47
16:15,56,Divine Myles Offensive Rebound.,34,47
16:07,56,Kenny Aninye missed Jumper.,34,47
16:07,2184,Jordan Robinson Defensive Rebound.,34,47
15:44,2184,Jordan Robinson made Layup. Assisted by Eric Williams Jr..,34,49
15:33,56,Divine Myles made Layup.,36,49
15:19,2184,Rene Castro-Caneddy Turnover.,36,49
15:18,56,Divine Myles Steal.,36,49
15:16,56,Divine Myles made Layup. Assisted by B.J. Glasford.,38,49
15:05,2184,Duquesne  Timeout,38,49
15:05,2184,Official TV Timeout,38,49
14:46,2184,Tydus Verhoeven Turnover.,38,49
14:46,2184,Official TV Timeout,38,49
14:25,56,B.J. Glasford missed Jumper.,38,49
14:25,56,B.J. Glasford Offensive Rebound.,38,49
14:22,2184,Foul on Kellon Taylor.,38,49
14:22,56,B.J. Glasford missed Free Throw.,38,49
14:22,56,Stetson Deadball Team Rebound.,38,49
14:22,56,B.J. Glasford missed Free Throw.,38,49
14:22,2184,Kellon Taylor Defensive Rebound.,38,49
14:05,2184,Mike Lewis II Turnover.,38,49
14:03,56,B.J. Glasford Steal.,38,49
14:02,56,Abayomi Iyiola made Layup. Assisted by Luke Doyle.,40,49
13:44,2184,Mike Lewis II missed Jumper.,40,49
13:44,56,Abayomi Iyiola Defensive Rebound.,40,49
13:43,2184,Foul on Eric Williams Jr..,40,49
13:30,56,Abayomi Iyiola missed Jumper.,40,49
13:30,2184,Eric Williams Jr. Defensive Rebound.,40,49
13:16,2184,Chas Brown Turnover.,40,49
12:48,56,B.J. Glasford missed Three Point Jumper.,40,49
12:48,2184,Eric Williams Jr. Defensive Rebound.,40,49
12:15,56,Foul on Abayomi Iyiola.,40,49
12:15,2184,Tarin Smith missed Free Throw.,40,49
12:15,2184,Duquesne Deadball Team Rebound.,40,49
12:15,2184,Tarin Smith made Free Throw.,40,50
11:58,56,B.J. Glasford missed Layup.,40,50
11:58,2184,Chas Brown Defensive Rebound.,40,50
11:55,56,Foul on B.J. Glasford.,40,50
11:55,2184,Official TV Timeout,40,50
11:32,2184,Tydus Verhoeven missed Jumper.,40,50
11:32,56,Luke Doyle Defensive Rebound.,40,50
11:27,56,Divine Myles Turnover.,40,50
11:27,2184,Tarin Smith Steal.,40,50
11:10,2184,Tarin Smith made Three Point Jumper. Assisted by Rene Castro-Caneddy.,40,53
10:47,56,Abayomi Iyiola missed Layup.,40,53
10:47,2184,Rene Castro-Caneddy Defensive Rebound.,40,53
10:27,2184,Rene Castro-Caneddy missed Three Point Jumper.,40,53
10:27,56,Abayomi Iyiola Defensive Rebound.,40,53
10:12,56,Divine Myles missed Three Point Jumper.,40,53
10:12,2184,Chas Brown Defensive Rebound.,40,53
9:59,2184,Tarin Smith made Three Point Jumper. Assisted by Rene Castro-Caneddy.,40,56
9:37,56,Luke Doyle made Three Point Jumper. Assisted by Divine Myles.,43,56
9:34,56,Stetson  Timeout,43,56
9:11,2184,Rene Castro-Caneddy missed Three Point Jumper.,43,56
9:11,56,Stetson Defensive Rebound.,43,56
8:44,56,Leo Goodman missed Jumper.,43,56
8:44,2184,Eric Williams Jr. Defensive Rebound.,43,56
8:21,56,Foul on Abayomi Iyiola.,43,56
8:21,2184,Eric Williams Jr. missed Free Throw.,43,56
8:21,2184,Duquesne Deadball Team Rebound.,43,56
8:21,2184,Eric Williams Jr. missed Free Throw.,43,56
8:21,56,Leo Goodman Defensive Rebound.,43,56
7:53,56,Christiaan Jones missed Three Point Jumper.,43,56
7:53,2184,Jordan Robinson Defensive Rebound.,43,56
7:31,2184,Tarin Smith missed Jumper.,43,56
7:31,56,Larry Dennis Defensive Rebound.,43,56
7:27,2184,Official TV Timeout,43,56
7:13,56,B.J. Glasford missed Jumper.,43,56
7:13,56,Larry Dennis Offensive Rebound.,43,56
6:56,56,Leo Goodman missed Three Point Jumper.,43,56
6:56,56,Stetson Deadball Team Rebound.,43,56
6:56,56,Stetson  Turnover.,43,56
6:31,56,Foul on Larry Dennis.,43,56
6:31,2184,Eric Williams Jr. missed Free Throw.,43,56
6:31,2184,Duquesne Deadball Team Rebound.,43,56
6:31,2184,Eric Williams Jr. made Free Throw.,43,57
6:16,56,Divine Myles made Jumper.,45,57
5:50,2184,Tarin Smith made Layup.,45,59
5:37,56,Divine Myles made Layup.,47,59
5:09,56,Foul on Larry Dennis.,47,59
5:05,2184,Mike Lewis II made Three Point Jumper. Assisted by Kellon Taylor.,47,62
4:41,56,Christiaan Jones made Three Point Jumper. Assisted by Angel Rivera.,50,62
4:14,2184,Chas Brown made Dunk. Assisted by Eric Williams Jr..,50,64
3:57,56,B.J. Glasford Turnover.,50,64
3:55,2184,Tarin Smith Steal.,50,64
3:53,2184,Tarin Smith made Layup.,50,66
3:38,2184,Official TV Timeout,50,66
3:25,56,B.J. Glasford missed Three Point Jumper.,50,66
3:25,2184,Eric Williams Jr. Defensive Rebound.,50,66
2:57,2184,Tarin Smith missed Three Point Jumper.,50,66
2:57,2184,Eric Williams Jr. Offensive Rebound.,50,66
2:28,2184,Tarin Smith made Layup.,50,68
2:13,56,Luke Doyle missed Three Point Jumper.,50,68
2:13,2184,Rene Castro-Caneddy Defensive Rebound.,50,68
1:52,2184,Jordan Robinson made Dunk. Assisted by Rene Castro-Caneddy.,50,70
1:38,2184,Foul on Tarin Smith.,50,70
1:38,56,Angel Rivera missed Free Throw.,50,70
1:38,56,Stetson Deadball Team Rebound.,50,70
1:38,56,Angel Rivera missed Free Throw.,50,70
1:38,2184,Eric Williams Jr. Defensive Rebound.,50,70
1:16,2184,Rene Castro-Caneddy missed Layup.,50,70
1:16,56,Divine Myles Defensive Rebound.,50,70
1:11,56,Christiaan Jones made Dunk.,52,70
1:03,56,Foul on Divine Myles.,52,70
1:03,2184,Tarin Smith made Free Throw.,52,71
1:03,2184,Tarin Smith missed Free Throw.,52,71
1:03,56,Luke Doyle Defensive Rebound.,52,71
0:59,56,Raine McKeython made Three Point Jumper. Assisted by Luke Doyle.,55,71
0:52,56,Foul on Kenny Aninye.,55,71
0:52,2184,Rene Castro-Caneddy made Free Throw.,55,72
0:52,2184,Rene Castro-Caneddy made Free Throw.,55,73
0:43,56,Raine McKeython made Jumper.,57,73
0:14,2184,Eric Williams Jr. missed Dunk.,57,73
0:14,56,Raine McKeython Defensive Rebound.,57,73
0:09,56,Raine McKeython made Layup.,59,73
0:00,2184,End of Game,59,73
