Northern Kentucky,2193,East Tennessee State,94
7:23,2193,Desonta Bradford missed Three Point Jumper.,23,28
7:23,94,Lavone Holland II Defensive Rebound.,23,28
6:59,94,Lavone Holland II missed Jumper.,23,28
6:59,2193,Jermaine Long Defensive Rebound.,23,28
6:55,2193,Desonta Bradford made Dunk. Assisted by Kanayo Obi-Rapu.,23,30
6:29,94,Tre Cobbs Turnover.,23,30
6:29,2193,Official TV Timeout,23,30
6:01,94,Foul on Lavone Holland II.,23,30
6:01,2193,Jermaine Long made Free Throw.,23,31
6:01,2193,Jermaine Long made Free Throw.,23,32
5:36,94,Carson Williams made Layup.,25,32
5:10,2193,Devontavius Payne missed Layup.,25,32
5:10,94,Mason Faulkner Defensive Rebound.,25,32
4:42,94,Lavone Holland II missed Layup.,25,32
4:42,2193,Mladen Armus Defensive Rebound.,25,32
4:33,2193,Bo Hodges missed Layup.,25,32
4:33,94,Carson Williams Defensive Rebound.,25,32
4:27,94,Carson Williams Turnover.,25,32
4:26,2193,Jermaine Long Steal.,25,32
4:24,94,Foul on Lavone Holland II.,25,32
4:24,2193,Bo Hodges made Free Throw.,25,33
4:24,2193,Bo Hodges made Free Throw.,25,34
4:06,94,Lavone Holland II Turnover.,25,34
4:05,2193,Devontavius Payne Steal.,25,34
4:02,2193,Jalan McCloud made Layup. Assisted by Devontavius Payne.,25,36
3:41,94,Carson Williams missed Jumper.,25,36
3:41,94,Jeff Garrett Offensive Rebound.,25,36
3:34,94,Mason Faulkner missed Three Point Jumper.,25,36
3:34,94,Jeff Garrett Offensive Rebound.,25,36
3:32,94,Jeff Garrett Turnover.,25,36
3:32,2193,Official TV Timeout,25,36
3:17,2193,Devontavius Payne made Layup.,25,38
2:50,2193,Foul on Jalan McCloud.,25,38
2:50,94,Mason Faulkner made Free Throw.,26,38
2:34,2193,Bo Hodges made Layup.,26,40
2:19,94,Jeff Garrett missed Layup.,26,40
2:19,2193,Peter Jurkin Defensive Rebound.,26,40
2:07,94,Foul on Jordan Garnett.,26,40
2:07,2193,Peter Jurkin made Free Throw.,26,41
2:07,2193,Peter Jurkin made Free Throw.,26,42
1:38,94,Mason Faulkner missed Three Point Jumper.,26,42
1:38,94,Carson Williams Offensive Rebound.,26,42
1:33,94,Carson Williams made Layup.,28,42
1:11,94,Foul on Jalen Tate.,28,42
1:10,2193,Jermaine Long made Free Throw.,28,43
1:10,2193,Jermaine Long made Free Throw.,28,44
0:52,94,Carson Williams missed Layup.,28,44
0:52,2193,Jermaine Long Defensive Rebound.,28,44
0:46,2193,Jermaine Long missed Jumper.,28,44
0:46,2193,Peter Jurkin Offensive Rebound.,28,44
0:43,2193,Peter Jurkin made Layup.,28,46
0:18,94,Mason Faulkner Turnover.,28,46
0:17,2193,Jason Williams Steal.,28,46
0:15,2193,Jason Williams Turnover.,28,46
0:15,2193,East Tennessee State  Timeout,28,46
0:04,94,Jordan Garnett missed Three Point Jumper.,28,46
0:04,2193,Peter Jurkin Defensive Rebound.,28,46
0:00,2193,End of 1st half,28,46
19:41,94,Jordan Garnett missed Three Point Jumper.,28,46
19:41,2193,Desonta Bradford Defensive Rebound.,28,46
19:20,2193,Desonta Bradford made Jumper.,28,48
19:20,94,Foul on Jordan Garnett.,28,48
19:20,2193,Desonta Bradford made Free Throw.,28,49
19:01,2193,Foul on David Burrell.,28,49
19:00,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,30,49
18:36,2193,Foul on Jermaine Long.,30,49
18:15,2193,Foul on Jalan McCloud.,30,49
18:15,94,Lavone Holland II made Free Throw.,31,49
18:15,94,Lavone Holland II made Free Throw.,32,49
18:05,2193,Desonta Bradford made Jumper.,32,51
17:59,94,Jordan Garnett made Layup. Assisted by Lavone Holland II.,34,51
17:41,2193,Bo Hodges missed Jumper.,34,51
17:41,94,Lavone Holland II Defensive Rebound.,34,51
17:26,2193,Foul on Jermaine Long.,34,51
17:26,94,Jordan Garnett missed Free Throw.,34,51
17:26,94,Northern Kentucky Deadball Team Rebound.,34,51
17:26,94,Jordan Garnett missed Free Throw.,34,51
17:26,2193,Desonta Bradford Defensive Rebound.,34,51
17:06,94,Foul on Jalen Tate.,34,51
17:06,2193,Bo Hodges made Free Throw.,34,52
17:06,2193,Bo Hodges made Free Throw.,34,53
16:41,94,Jordan Garnett made Layup. Assisted by Lavone Holland II.,36,53
16:06,2193,Devontavius Payne missed Three Point Jumper.,36,53
16:06,2193,Mladen Armus Offensive Rebound.,36,53
16:02,94,Foul on Jordan Garnett.,36,53
15:43,2193,Bo Hodges made Layup.,36,55
15:25,2193,Foul on Bo Hodges.,36,55
15:25,2193,Official TV Timeout,36,55
15:23,94,Drew McDonald made Layup.,38,55
15:01,2193,Peter Jurkin made Dunk. Assisted by Jason Williams.,38,57
14:36,94,Drew McDonald missed Three Point Jumper.,38,57
14:36,2193,Bo Hodges Block.,38,57
14:34,94,Northern Kentucky Offensive Rebound.,38,57
14:27,94,Drew McDonald made Layup.,40,57
14:13,2193,Peter Jurkin missed Three Point Jumper.,40,57
14:13,94,Drew McDonald Defensive Rebound.,40,57
13:59,94,Jalen Tate missed Three Point Jumper.,40,57
13:59,2193,Kanayo Obi-Rapu Defensive Rebound.,40,57
13:53,2193,Jason Williams Turnover.,40,57
13:52,94,Jordan Garnett Steal.,40,57
13:48,94,Jordan Garnett Turnover.,40,57
13:48,2193,Devontavius Payne Steal.,40,57
13:48,94,Foul on Jordan Garnett.,40,57
13:29,94,Foul on Drew McDonald.,40,57
13:29,2193,Peter Jurkin made Free Throw.,40,58
13:29,2193,Peter Jurkin made Free Throw.,40,59
13:16,94,Carson Williams made Jumper.,42,59
13:14,2193,Desonta Bradford Turnover.,42,59
13:13,94,Jalen Tate Steal.,42,59
13:11,94,Dantez Walton made Layup.,44,59
13:11,2193,Foul on Desonta Bradford.,44,59
13:11,94,Dantez Walton made Free Throw.,45,59
12:54,2193,Jalan McCloud made Layup.,45,61
12:43,94,Carson Williams made Layup.,47,61
12:37,2193,Desonta Bradford Turnover.,47,61
12:36,94,Jalen Tate Steal.,47,61
12:34,94,Dantez Walton missed Three Point Jumper.,47,61
12:34,2193,Desonta Bradford Defensive Rebound.,47,61
12:19,2193,Desonta Bradford made Layup.,47,63
12:09,94,Carson Williams made Layup. Assisted by Mason Faulkner.,49,63
11:45,2193,Desonta Bradford missed Three Point Jumper.,49,63
11:45,94,Jalen Tate Defensive Rebound.,49,63
11:36,2193,Official TV Timeout,49,63
11:35,94,Lavone Holland II made Layup. Assisted by Mason Faulkner.,51,63
11:09,2193,Jalan McCloud missed Three Point Jumper.,51,63
11:09,94,Dantez Walton Defensive Rebound.,51,63
11:00,94,Dantez Walton Turnover.,51,63
10:59,2193,Mladen Armus Steal.,51,63
10:52,2193,Bo Hodges made Layup. Assisted by Jalan McCloud.,51,65
10:29,94,Lavone Holland II missed Jumper.,51,65
10:29,2193,Mladen Armus Defensive Rebound.,51,65
10:00,2193,Bo Hodges Turnover.,51,65
9:57,94,Drew McDonald Steal.,51,65
9:53,94,Dantez Walton missed Layup.,51,65
9:53,2193,Bo Hodges Block.,51,65
9:50,2193,Desonta Bradford Defensive Rebound.,51,65
9:46,2193,Devontavius Payne made Three Point Jumper. Assisted by Desonta Bradford.,51,68
9:42,2193,East Tennessee State  Timeout,51,68
9:22,94,Drew McDonald missed Layup.,51,68
9:22,2193,Mladen Armus Defensive Rebound.,51,68
9:00,2193,Mladen Armus missed Layup.,51,68
9:00,94,Jalen Tate Defensive Rebound.,51,68
8:54,94,Mason Faulkner missed Three Point Jumper.,51,68
8:54,2193,Mladen Armus Defensive Rebound.,51,68
8:42,94,Foul on Jalen Tate.,51,68
8:42,2193,Jalan McCloud made Free Throw.,51,69
8:42,2193,Jalan McCloud missed Free Throw.,51,69
8:42,94,Jeff Garrett Defensive Rebound.,51,69
8:22,94,Drew McDonald made Layup.,53,69
8:02,2193,Mladen Armus Turnover.,53,69
8:00,94,Jordan Garnett Steal.,53,69
7:40,94,Lavone Holland II made Dunk.,55,69
7:25,2193,Jalan McCloud missed Layup.,55,69
7:25,2193,Mladen Armus Offensive Rebound.,55,69
7:22,2193,Mladen Armus made Layup.,55,71
7:09,94,Jeff Garrett missed Layup.,55,71
7:09,2193,Mladen Armus Block.,55,71
7:08,2193,Devontavius Payne Defensive Rebound.,55,71
6:56,2193,Jermaine Long made Jumper.,55,73
6:49,94,Northern Kentucky  Timeout,55,73
6:23,94,Tyler Sharpe missed Layup.,55,73
6:23,2193,Peter Jurkin Block.,55,73
6:22,2193,Peter Jurkin Defensive Rebound.,55,73
6:00,2193,Jalan McCloud made Jumper.,55,75
5:35,94,Carson Williams made Three Point Jumper. Assisted by Lavone Holland II.,58,75
5:21,2193,Bo Hodges made Dunk. Assisted by Devontavius Payne.,58,77
5:05,94,Carson Williams Turnover.,58,77
4:45,94,Foul on Drew McDonald.,58,77
4:45,2193,Peter Jurkin missed Free Throw.,58,77
4:45,94,Drew McDonald Defensive Rebound.,58,77
4:27,94,Drew McDonald missed Three Point Jumper.,58,77
4:27,2193,Bo Hodges Block.,58,77
4:25,2193,Peter Jurkin Defensive Rebound.,58,77
4:20,2193,Jalan McCloud made Jumper.,58,79
4:10,94,Jordan Garnett missed Three Point Jumper.,58,79
4:10,94,Carson Williams Offensive Rebound.,58,79
4:03,94,Carson Williams made Layup.,60,79
3:56,2193,East Tennessee State  Timeout,60,79
3:56,2193,Official TV Timeout,60,79
3:31,2193,Desonta Bradford missed Jumper.,60,79
3:31,94,Lavone Holland II Defensive Rebound.,60,79
3:16,2193,Foul on Devontavius Payne.,60,79
3:16,94,Jalen Tate made Free Throw.,61,79
3:16,94,Jalen Tate made Free Throw.,62,79
2:57,2193,Bo Hodges made Jumper. Assisted by Jermaine Long.,62,81
2:39,94,Lavone Holland II made Layup.,64,81
2:39,2193,Foul on Jermaine Long.,64,81
2:39,94,Lavone Holland II made Free Throw.,65,81
2:12,2193,Jermaine Long missed Three Point Jumper.,65,81
2:12,94,Drew McDonald Defensive Rebound.,65,81
1:58,94,Jalen Tate missed Layup.,65,81
1:58,94,Drew McDonald Offensive Rebound.,65,81
1:53,94,Drew McDonald made Layup.,67,81
1:47,94,Foul on Lavone Holland II.,67,81
1:47,2193,Devontavius Payne missed Free Throw.,67,81
1:47,94,Drew McDonald Defensive Rebound.,67,81
1:35,94,Lavone Holland II missed Three Point Jumper.,67,81
1:35,2193,Desonta Bradford Defensive Rebound.,67,81
1:30,2193,Devontavius Payne made Layup. Assisted by Desonta Bradford.,67,83
1:19,94,Lavone Holland II missed Jumper.,67,83
1:19,2193,Bo Hodges Defensive Rebound.,67,83
0:57,2193,Desonta Bradford missed Jumper.,67,83
0:57,94,Drew McDonald Defensive Rebound.,67,83
0:43,2193,Foul on Peter Jurkin.,67,83
0:43,94,Jordan Garnett made Free Throw.,68,83
0:43,94,Jordan Garnett made Free Throw.,69,83
0:31,94,Foul on Tre Cobbs.,69,83
0:31,2193,Jalan McCloud made Free Throw.,69,84
0:31,2193,Jalan McCloud missed Free Throw.,69,84
0:31,94,Dantez Walton Defensive Rebound.,69,84
0:22,94,Tre Cobbs made Layup.,71,84
0:00,2193,End of Game,71,84
